year,region_type,region_year_spec,region_id,region_level,lockdown_social_distancing_2_count
232,2020,NUTS,2016,UKD44,3,3
233,2020,NUTS,2016,UKD7,2,2
234,2020,NUTS,2016,UKD72,3,2
235,2020,NUTS,2016,UKE,1,2
236,2020,NUTS,2016,UKE2,2,1
237,2020,NUTS,2016,UKE21,3,1
238,2020,NUTS,2016,UKE4,2,1
239,2020,NUTS,2016,UKE42,3,1
240,2020,NUTS,2016,UKF,1,3
241,2020,NUTS,2016,UKF1,2,2
242,2020,NUTS,2016,UKF14,3,2
243,2020,NUTS,2016,UKF2,2,1
244,2020,NUTS,2016,UKF24,3,1
245,2020,NUTS,2016,UKG,1,10
246,2020,NUTS,2016,UKG1,2,9
247,2020,NUTS,2016,UKG13,3,9
248,2020,NUTS,2016,UKG3,2,1
249,2020,NUTS,2016,UKG33,3,1
250,2020,NUTS,2016,UKH,1,22
251,2020,NUTS,2016,UKH1,2,10
252,2020,NUTS,2016,UKH12,3,8
253,2020,NUTS,2016,UKH17,3,2
254,2020,NUTS,2016,UKH2,2,11
255,2020,NUTS,2016,UKH23,3,11
256,2020,NUTS,2016,UKH3,2,1
257,2020,NUTS,2016,UKH34,3,1
258,2020,NUTS,2016,UKI,1,69
259,2020,NUTS,2016,UKI3,2,68
260,2020,NUTS,2016,UKI31,3,39
261,2020,NUTS,2016,UKI32,3,5
262,2020,NUTS,2016,UKI33,3,24
263,2020,NUTS,2016,UKI4,2,1
264,2020,NUTS,2016,UKI44,3,1
265,2020,NUTS,2016,UKJ,1,33
266,2020,NUTS,2016,UKJ1,2,25
267,2020,NUTS,2016,UKJ14,3,25
268,2020,NUTS,2016,UKJ2,2,4
269,2020,NUTS,2016,UKJ22,3,3
270,2020,NUTS,2016,UKJ25,3,1
271,2020,NUTS,2016,UKJ3,2,4
272,2020,NUTS,2016,UKJ32,3,4
273,2020,NUTS,2016,UKK,1,14
274,2020,NUTS,2016,UKK1,2,8
275,2020,NUTS,2016,UKK11,3,7
276,2020,NUTS,2016,UKK12,3,1
277,2020,NUTS,2016,UKK2,2,1
278,2020,NUTS,2016,UKK21,3,1
279,2020,NUTS,2016,UKK4,2,5
280,2020,NUTS,2016,UKK43,3,5
281,2020,NUTS,2016,UKL,1,3
282,2020,NUTS,2016,UKL1,2,3
283,2020,NUTS,2016,UKL12,3,1
284,2020,NUTS,2016,UKL18,3,2
285,2020,NUTS,2016,UKM,1,11
286,2020,NUTS,2016,UKM7,2,8
287,2020,NUTS,2016,UKM72,3,2
288,2020,NUTS,2016,UKM75,3,6
289,2020,NUTS,2016,UKM8,2,3
290,2020,NUTS,2016,UKM82,3,3
291,2021,NUTS,2021,AT,0,8
292,2021,NUTS,2021,AT1,1,4
293,2021,NUTS,2021,AT13,2,4
294,2021,NUTS,2021,AT130,3,4
295,2021,NUTS,2021,AT2,1,2
296,2021,NUTS,2021,AT22,2,2
297,2021,NUTS,2021,AT221,3,2
298,2021,NUTS,2021,AT3,1,2
299,2021,NUTS,2021,AT31,2,1
300,2021,NUTS,2021,AT312,3,1
301,2021,NUTS,2021,AT33,2,1
302,2021,NUTS,2021,AT332,3,1
303,2021,NUTS,2021,BE,0,1
304,2021,NUTS,2021,BE1,1,1
305,2021,NUTS,2021,BE10,2,1
306,2021,NUTS,2021,BE100,3,1
307,2021,NUTS,2021,CY,0,3
308,2021,NUTS,2021,CY0,1,3
309,2021,NUTS,2021,CY00,2,3
310,2021,NUTS,2021,CY000,3,3
311,2021,NUTS,2021,DE,0,7
312,2021,NUTS,2021,DE2,1,3
313,2021,NUTS,2021,DE21,2,3
314,2021,NUTS,2021,DE212,3,3
315,2021,NUTS,2021,DE3,1,3
316,2021,NUTS,2021,DE30,2,3
317,2021,NUTS,2021,DE300,3,3
318,2021,NUTS,2021,DE4,1,1
319,2021,NUTS,2021,DE40,2,1
320,2021,NUTS,2021,DE404,3,1
321,2021,NUTS,2021,DK,0,2
322,2021,NUTS,2021,DK0,1,2
323,2021,NUTS,2021,DK01,2,2
324,2021,NUTS,2021,DK011,3,2
325,2021,NUTS,2021,EL,0,1
326,2021,NUTS,2021,EL3,1,1
327,2021,NUTS,2021,EL30,2,1
328,2021,NUTS,2021,EL303,3,1
329,2021,NUTS,2021,ES,0,3
330,2021,NUTS,2021,ES3,1,3
331,2021,NUTS,2021,ES30,2,3
332,2021,NUTS,2021,ES300,3,3
333,2021,NUTS,2021,FR,0,3
334,2021,NUTS,2021,FRH,1,1
335,2021,NUTS,2021,FRH0,2,1
336,2021,NUTS,2021,FRH03,3,1
337,2021,NUTS,2021,FRK,1,2
338,2021,NUTS,2021,FRK2,2,2
339,2021,NUTS,2021,FRK26,3,2
340,2021,NUTS,2021,NO,0,1
341,2021,NUTS,2021,NO0,1,1
342,2021,NUTS,2021,NO0A,2,1
343,2021,NUTS,2021,NO0A1,3,1
344,2021,NUTS,2021,PT,0,1
345,2021,NUTS,2021,PT1,1,1
346,2021,NUTS,2021,PT11,2,1
347,2021,NUTS,2021,PT119,3,1
348,2021,NUTS,2021,SI,0,1
349,2021,NUTS,2021,SI0,1,1
350,2021,NUTS,2021,SI04,2,1
351,2021,NUTS,2021,SI041,3,1
352,2021,NUTS,2021,UK,0,19
353,2021,NUTS,2021,UKD,1,3
354,2021,NUTS,2021,UKD3,2,2
355,2021,NUTS,2021,UKD33,3,2
356,2021,NUTS,2021,UKD7,2,1
357,2021,NUTS,2021,UKD72,3,1
358,2021,NUTS,2021,UKH,1,2
359,2021,NUTS,2021,UKH1,2,2
360,2021,NUTS,2021,UKH12,3,2
361,2021,NUTS,2021,UKI,1,6
362,2021,NUTS,2021,UKI3,2,5
363,2021,NUTS,2021,UKI31,3,3
364,2021,NUTS,2021,UKI32,3,1
365,2021,NUTS,2021,UKI33,3,1
366,2021,NUTS,2021,UKI5,2,1
367,2021,NUTS,2021,UKI51,3,1
368,2021,NUTS,2021,UKK,1,2
369,2021,NUTS,2021,UKK1,2,1
370,2021,NUTS,2021,UKK11,3,1
371,2021,NUTS,2021,UKK4,2,1
372,2021,NUTS,2021,UKK43,3,1
373,2021,NUTS,2021,UKL,1,1
374,2021,NUTS,2021,UKL1,2,1
375,2021,NUTS,2021,UKL18,3,1
376,2021,NUTS,2021,UKM,1,5
377,2021,NUTS,2021,UKM7,2,1
378,2021,NUTS,2021,UKM75,3,1
379,2021,NUTS,2021,UKM8,2,4
380,2021,NUTS,2021,UKM82,3,4
