year,region_type,region_year_spec,region_id,region_level,airborne_count
184,2020,NUTS,2016,UKJ22,3,2
185,2020,NUTS,2016,UKJ25,3,2
186,2020,NUTS,2016,UKK,1,5
187,2020,NUTS,2016,UKK1,2,4
188,2020,NUTS,2016,UKK11,3,4
189,2020,NUTS,2016,UKK3,2,1
190,2020,NUTS,2016,UKK30,3,1
191,2020,NUTS,2016,UKL,1,3
192,2020,NUTS,2016,UKL2,2,3
193,2020,NUTS,2016,UKL22,3,3
194,2020,NUTS,2016,UKM,1,8
195,2020,NUTS,2016,UKM7,2,6
196,2020,NUTS,2016,UKM75,3,6
197,2020,NUTS,2016,UKM8,2,2
198,2020,NUTS,2016,UKM82,3,2
199,2021,NUTS,2021,BE,0,3
200,2021,NUTS,2021,BE2,1,1
201,2021,NUTS,2021,BE23,2,1
202,2021,NUTS,2021,BE234,3,1
203,2021,NUTS,2021,BE3,1,2
204,2021,NUTS,2021,BE33,2,1
205,2021,NUTS,2021,BE332,3,1
206,2021,NUTS,2021,BE35,2,1
207,2021,NUTS,2021,BE352,3,1
208,2021,NUTS,2021,CH,0,1
209,2021,NUTS,2021,CH0,1,1
210,2021,NUTS,2021,CH03,2,1
211,2021,NUTS,2021,CH031,3,1
212,2021,NUTS,2021,DE,0,3
213,2021,NUTS,2021,DE1,1,1
214,2021,NUTS,2021,DE13,2,1
215,2021,NUTS,2021,DE131,3,1
216,2021,NUTS,2021,DE2,1,1
217,2021,NUTS,2021,DE21,2,1
218,2021,NUTS,2021,DE212,3,1
219,2021,NUTS,2021,DEG,1,1
220,2021,NUTS,2021,DEG0,2,1
221,2021,NUTS,2021,DEG05,3,1
222,2021,NUTS,2021,FR,0,2
223,2021,NUTS,2021,FRH,1,1
224,2021,NUTS,2021,FRH0,2,1
225,2021,NUTS,2021,FRH03,3,1
226,2021,NUTS,2021,FRL,1,1
227,2021,NUTS,2021,FRL0,2,1
228,2021,NUTS,2021,FRL04,3,1
229,2021,NUTS,2021,IS,0,1
230,2021,NUTS,2021,IS0,1,1
231,2021,NUTS,2021,IS00,2,1
232,2021,NUTS,2021,IS001,3,1
233,2021,NUTS,2021,IT,0,1
234,2021,NUTS,2021,ITI,1,1
235,2021,NUTS,2021,ITI4,2,1
236,2021,NUTS,2021,ITI45,3,1
237,2021,NUTS,2021,NL,0,2
238,2021,NUTS,2021,NL3,1,2
239,2021,NUTS,2021,NL32,2,1
240,2021,NUTS,2021,NL329,3,1
241,2021,NUTS,2021,NL33,2,1
242,2021,NUTS,2021,NL333,3,1
243,2021,NUTS,2021,UK,0,6
244,2021,NUTS,2021,UKH,1,1
245,2021,NUTS,2021,UKH1,2,1
246,2021,NUTS,2021,UKH12,3,1
247,2021,NUTS,2021,UKI,1,1
248,2021,NUTS,2021,UKI3,2,1
249,2021,NUTS,2021,UKI33,3,1
250,2021,NUTS,2021,UKJ,1,1
251,2021,NUTS,2021,UKJ3,2,1
252,2021,NUTS,2021,UKJ32,3,1
253,2021,NUTS,2021,UKK,1,3
254,2021,NUTS,2021,UKK1,2,3
255,2021,NUTS,2021,UKK11,3,2
256,2021,NUTS,2021,UKK12,3,1
