year,region_type,region_year_spec,region_id,region_level,detection_diagnosis_count
54,2020,NUTS,2016,DEA2,2,1
55,2020,NUTS,2016,DEA23,3,1
56,2020,NUTS,2016,DEA5,2,3
57,2020,NUTS,2016,DEA51,3,2
58,2020,NUTS,2016,DEA56,3,1
59,2020,NUTS,2016,DEE,1,1
60,2020,NUTS,2016,DEE0,2,1
61,2020,NUTS,2016,DEE02,3,1
62,2020,NUTS,2016,DK,0,4
63,2020,NUTS,2016,DK0,1,4
64,2020,NUTS,2016,DK01,2,2
65,2020,NUTS,2016,DK011,3,2
66,2020,NUTS,2016,DK03,2,2
67,2020,NUTS,2016,DK031,3,2
68,2020,NUTS,2016,EL,0,2
69,2020,NUTS,2016,EL4,1,2
70,2020,NUTS,2016,EL43,2,2
71,2020,NUTS,2016,EL431,3,1
72,2020,NUTS,2016,EL433,3,1
73,2020,NUTS,2016,ES,0,5
74,2020,NUTS,2016,ES2,1,2
75,2020,NUTS,2016,ES21,2,2
76,2020,NUTS,2016,ES213,3,2
77,2020,NUTS,2016,ES5,1,1
78,2020,NUTS,2016,ES51,2,1
79,2020,NUTS,2016,ES511,3,1
80,2020,NUTS,2016,ES7,1,2
81,2020,NUTS,2016,ES70,2,2
82,2020,NUTS,2016,ES709,3,2
83,2020,NUTS,2016,FI,0,1
84,2020,NUTS,2016,FI1,1,1
85,2020,NUTS,2016,FI1B,2,1
86,2020,NUTS,2016,FI1B1,3,1
87,2020,NUTS,2016,FR,0,3
88,2020,NUTS,2016,FR1,1,1
89,2020,NUTS,2016,FR10,2,1
90,2020,NUTS,2016,FR101,3,1
91,2020,NUTS,2016,FRJ,1,2
92,2020,NUTS,2016,FRJ1,2,2
93,2020,NUTS,2016,FRJ13,3,2
94,2020,NUTS,2016,IE,0,3
95,2020,NUTS,2016,IE0,1,3
96,2020,NUTS,2016,IE05,2,3
97,2020,NUTS,2016,IE051,3,1
98,2020,NUTS,2016,IE053,3,2
99,2020,NUTS,2016,IS,0,1
100,2020,NUTS,2016,IS0,1,1
101,2020,NUTS,2016,IS00,2,1
102,2020,NUTS,2016,IS001,3,1
103,2020,NUTS,2016,IT,0,5
104,2020,NUTS,2016,ITF,1,1
105,2020,NUTS,2016,ITF3,2,1
106,2020,NUTS,2016,ITF33,3,1
107,2020,NUTS,2016,ITH,1,1
108,2020,NUTS,2016,ITH4,2,1
109,2020,NUTS,2016,ITH42,3,1
110,2020,NUTS,2016,ITI,1,3
111,2020,NUTS,2016,ITI1,2,1
112,2020,NUTS,2016,ITI14,3,1
113,2020,NUTS,2016,ITI4,2,2
114,2020,NUTS,2016,ITI43,3,2
115,2020,NUTS,2016,NL,0,10
116,2020,NUTS,2016,NL2,1,2
117,2020,NUTS,2016,NL22,2,2
118,2020,NUTS,2016,NL226,3,2
119,2020,NUTS,2016,NL3,1,8
120,2020,NUTS,2016,NL32,2,2
121,2020,NUTS,2016,NL329,3,2
122,2020,NUTS,2016,NL33,2,6
123,2020,NUTS,2016,NL337,3,3
124,2020,NUTS,2016,NL33C,3,3
125,2020,NUTS,2016,SE,0,10
126,2020,NUTS,2016,SE1,1,10
127,2020,NUTS,2016,SE11,2,10
128,2020,NUTS,2016,SE110,3,10
129,2020,NUTS,2016,TR,0,3
130,2020,NUTS,2016,TR3,1,1
131,2020,NUTS,2016,TR31,2,1
132,2020,NUTS,2016,TR310,3,1
133,2020,NUTS,2016,TR5,1,2
134,2020,NUTS,2016,TR51,2,2
135,2020,NUTS,2016,TR510,3,2
136,2020,NUTS,2016,UK,0,49
137,2020,NUTS,2016,UKD,1,3
138,2020,NUTS,2016,UKD1,2,1
139,2020,NUTS,2016,UKD12,3,1
140,2020,NUTS,2016,UKD4,2,1
141,2020,NUTS,2016,UKD44,3,1
142,2020,NUTS,2016,UKD7,2,1
143,2020,NUTS,2016,UKD72,3,1
144,2020,NUTS,2016,UKE,1,1
145,2020,NUTS,2016,UKE3,2,1
146,2020,NUTS,2016,UKE32,3,1
147,2020,NUTS,2016,UKF,1,4
148,2020,NUTS,2016,UKF1,2,2
149,2020,NUTS,2016,UKF14,3,2
150,2020,NUTS,2016,UKF2,2,2
151,2020,NUTS,2016,UKF21,3,2
152,2020,NUTS,2016,UKH,1,6
153,2020,NUTS,2016,UKH1,2,4
154,2020,NUTS,2016,UKH12,3,4
155,2020,NUTS,2016,UKH2,2,2
156,2020,NUTS,2016,UKH23,3,2
157,2020,NUTS,2016,UKI,1,19
158,2020,NUTS,2016,UKI3,2,18
159,2020,NUTS,2016,UKI31,3,9
160,2020,NUTS,2016,UKI32,3,3
161,2020,NUTS,2016,UKI33,3,6
162,2020,NUTS,2016,UKI7,2,1
163,2020,NUTS,2016,UKI74,3,1
164,2020,NUTS,2016,UKJ,1,12
165,2020,NUTS,2016,UKJ1,2,5
166,2020,NUTS,2016,UKJ14,3,5
167,2020,NUTS,2016,UKJ2,2,4
168,2020,NUTS,2016,UKJ25,3,4
169,2020,NUTS,2016,UKJ3,2,2
170,2020,NUTS,2016,UKJ37,3,2
171,2020,NUTS,2016,UKJ4,2,1
172,2020,NUTS,2016,UKJ44,3,1
173,2020,NUTS,2016,UKL,1,1
174,2020,NUTS,2016,UKL2,2,1
175,2020,NUTS,2016,UKL22,3,1
176,2020,NUTS,2016,UKM,1,3
177,2020,NUTS,2016,UKM7,2,2
178,2020,NUTS,2016,UKM75,3,2
179,2020,NUTS,2016,UKM8,2,1
180,2020,NUTS,2016,UKM82,3,1
181,2021,NUTS,2021,AT,0,1
182,2021,NUTS,2021,AT1,1,1
183,2021,NUTS,2021,AT13,2,1
184,2021,NUTS,2021,AT130,3,1
185,2021,NUTS,2021,BE,0,2
186,2021,NUTS,2021,BE2,1,2
187,2021,NUTS,2021,BE21,2,1
188,2021,NUTS,2021,BE211,3,1
189,2021,NUTS,2021,BE23,2,1
190,2021,NUTS,2021,BE234,3,1
191,2021,NUTS,2021,DE,0,2
192,2021,NUTS,2021,DE3,1,2
193,2021,NUTS,2021,DE30,2,2
194,2021,NUTS,2021,DE300,3,2
195,2021,NUTS,2021,IT,0,2
196,2021,NUTS,2021,ITC,1,2
197,2021,NUTS,2021,ITC4,2,2
198,2021,NUTS,2021,ITC48,3,1
199,2021,NUTS,2021,ITC4C,3,1
200,2021,NUTS,2021,NL,0,1
201,2021,NUTS,2021,NL2,1,1
202,2021,NUTS,2021,NL22,2,1
203,2021,NUTS,2021,NL226,3,1
204,2021,NUTS,2021,UK,0,3
205,2021,NUTS,2021,UKG,1,2
206,2021,NUTS,2021,UKG3,2,2
207,2021,NUTS,2021,UKG31,3,2
208,2021,NUTS,2021,UKH,1,1
209,2021,NUTS,2021,UKH1,2,1
210,2021,NUTS,2021,UKH17,3,1
