year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_hes_total_fte
2006,NUTS,2010,AT3,1,
2007,NUTS,2010,AT3,1,
2009,NUTS,2010,AT3,1,
2011,NUTS,2010,AT3,1,3926.0
2013,NUTS,2010,AT3,1,4065.0
2015,NUTS,2010,AT3,1,
2017,NUTS,2010,AT3,1,
2019,NUTS,2010,AT3,1,4546.0
1981,NUTS,2010,AT31,2,197.0
1985,NUTS,2010,AT31,2,220.0
1989,NUTS,2010,AT31,2,276.0
1993,NUTS,2010,AT31,2,368.0
1998,NUTS,2010,AT31,2,453.0
2002,NUTS,2010,AT31,2,544.0
2004,NUTS,2010,AT31,2,660.0
2006,NUTS,2010,AT31,2,797.0
2007,NUTS,2010,AT31,2,860.0
2009,NUTS,2010,AT31,2,984.0
2011,NUTS,2010,AT31,2,1150.0
2013,NUTS,2010,AT31,2,1202.0
2015,NUTS,2010,AT31,2,1179.0
2017,NUTS,2010,AT31,2,1163.0
2019,NUTS,2010,AT31,2,1259.0
1981,NUTS,2010,AT32,2,255.0
1985,NUTS,2010,AT32,2,309.0
1989,NUTS,2010,AT32,2,325.0
1993,NUTS,2010,AT32,2,396.0
1998,NUTS,2010,AT32,2,416.0
2002,NUTS,2010,AT32,2,
2004,NUTS,2010,AT32,2,
2006,NUTS,2010,AT32,2,594.0
2007,NUTS,2010,AT32,2,645.0
2009,NUTS,2010,AT32,2,718.0
2011,NUTS,2010,AT32,2,749.0
2013,NUTS,2010,AT32,2,789.0
2015,NUTS,2010,AT32,2,898.0
2017,NUTS,2010,AT32,2,903.0
2019,NUTS,2010,AT32,2,1003.0
1981,NUTS,2010,AT33,2,532.0
1985,NUTS,2010,AT33,2,625.0
1989,NUTS,2010,AT33,2,749.0
1993,NUTS,2010,AT33,2,834.0
1998,NUTS,2010,AT33,2,1013.0
2002,NUTS,2010,AT33,2,1100.0
2004,NUTS,2010,AT33,2,1455.0
2006,NUTS,2010,AT33,2,1624.0
2007,NUTS,2010,AT33,2,1766.0
2009,NUTS,2010,AT33,2,1894.0
2011,NUTS,2010,AT33,2,1983.0
2013,NUTS,2010,AT33,2,2017.0
2015,NUTS,2010,AT33,2,2087.0
2017,NUTS,2010,AT33,2,2023.0
2019,NUTS,2010,AT33,2,2200.0
1981,NUTS,2010,AT34,2,3.0
1985,NUTS,2010,AT34,2,2.0
1989,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,AT34,2,
2004,NUTS,2010,AT34,2,
2006,NUTS,2010,AT34,2,
2007,NUTS,2010,AT34,2,
2009,NUTS,2010,AT34,2,
2011,NUTS,2010,AT34,2,44.0
2013,NUTS,2010,AT34,2,57.0
2015,NUTS,2010,AT34,2,
2017,NUTS,2010,AT34,2,
2019,NUTS,2010,AT34,2,85.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,569.0
2013,NUTS,2010,BA,0,868.0
2014,NUTS,2010,BA,0,1371.0
2019,NUTS,2010,BA,0,1590.0
1981,NUTS,2010,BE,0,10820.0
1982,NUTS,2010,BE,0,11023.0
1983,NUTS,2010,BE,0,10986.0
1984,NUTS,2010,BE,0,10950.0
1985,NUTS,2010,BE,0,11042.0
1986,NUTS,2010,BE,0,11097.0
1987,NUTS,2010,BE,0,11017.0
1988,NUTS,2010,BE,0,11172.0
1989,NUTS,2010,BE,0,14540.0
1991,NUTS,2010,BE,0,14800.0
1993,NUTS,2010,BE,0,12176.0
1994,NUTS,2010,BE,0,12608.0
1995,NUTS,2010,BE,0,12714.0
1996,NUTS,2010,BE,0,12183.0
1997,NUTS,2010,BE,0,12751.0
1998,NUTS,2010,BE,0,13773.0
1999,NUTS,2010,BE,0,14957.0
2000,NUTS,2010,BE,0,15884.0
2001,NUTS,2010,BE,0,16234.0
2002,NUTS,2010,BE,0,16108.0
2003,NUTS,2010,BE,0,16532.0
2004,NUTS,2010,BE,0,17456.0
2005,NUTS,2010,BE,0,17767.0
2006,NUTS,2010,BE,0,18711.0
2007,NUTS,2010,BE,0,19544.0
2008,NUTS,2010,BE,0,20670.0
2009,NUTS,2010,BE,0,21617.0
2010,NUTS,2010,BE,0,22371.0
2011,NUTS,2010,BE,0,22709.0
2012,NUTS,2010,BE,0,22770.0
2013,NUTS,2010,BE,0,23156.0
2014,NUTS,2010,BE,0,23733.0
2015,NUTS,2010,BE,0,26156.0
2016,NUTS,2010,BE,0,24953.0
2017,NUTS,2010,BE,0,25060.0
2018,NUTS,2010,BE,0,25363.0
2019,NUTS,2010,BE,0,25872.0
2020,NUTS,2010,BE,0,28064.0
2002,NUTS,2010,BE1,1,3219.0
2003,NUTS,2010,BE1,1,3333.0
2004,NUTS,2010,BE1,1,3433.0
2005,NUTS,2010,BE1,1,3448.0
2006,NUTS,2010,BE1,1,3618.0
2007,NUTS,2010,BE1,1,3734.0
2008,NUTS,2010,BE1,1,3942.0
2009,NUTS,2010,BE1,1,4098.0
2010,NUTS,2010,BE1,1,4014.0
2011,NUTS,2010,BE1,1,4017.0
2012,NUTS,2010,BE1,1,4046.0
2013,NUTS,2010,BE1,1,4069.0
2014,NUTS,2010,BE1,1,4471.0
2015,NUTS,2010,BE1,1,5121.0
2016,NUTS,2010,BE1,1,4984.0
2017,NUTS,2010,BE1,1,5069.0
2018,NUTS,2010,BE1,1,4818.0
2019,NUTS,2010,BE1,1,4809.0
2002,NUTS,2010,BE10,2,3219.0
2003,NUTS,2010,BE10,2,3333.0
2004,NUTS,2010,BE10,2,3433.0
2005,NUTS,2010,BE10,2,3448.0
2006,NUTS,2010,BE10,2,3618.0
2007,NUTS,2010,BE10,2,3734.0
2008,NUTS,2010,BE10,2,3942.0
2009,NUTS,2010,BE10,2,4098.0
2010,NUTS,2010,BE10,2,4014.0
2011,NUTS,2010,BE10,2,4017.0
2012,NUTS,2010,BE10,2,4046.0
2013,NUTS,2010,BE10,2,4069.0
2014,NUTS,2010,BE10,2,4471.0
2015,NUTS,2010,BE10,2,5121.0
2016,NUTS,2010,BE10,2,4984.0
2017,NUTS,2010,BE10,2,5069.0
2018,NUTS,2010,BE10,2,4818.0
2019,NUTS,2010,BE10,2,4809.0
2002,NUTS,2010,BE2,1,8279.0
2003,NUTS,2010,BE2,1,8610.0
2004,NUTS,2010,BE2,1,9760.0
2005,NUTS,2010,BE2,1,9987.0
2006,NUTS,2010,BE2,1,10383.0
2007,NUTS,2010,BE2,1,10894.0
2008,NUTS,2010,BE2,1,11560.0
2009,NUTS,2010,BE2,1,12195.0
2010,NUTS,2010,BE2,1,12873.0
2011,NUTS,2010,BE2,1,13140.0
2012,NUTS,2010,BE2,1,13399.0
2013,NUTS,2010,BE2,1,13808.0
2014,NUTS,2010,BE2,1,14013.0
2015,NUTS,2010,BE2,1,14154.0
2016,NUTS,2010,BE2,1,13917.0
2017,NUTS,2010,BE2,1,14103.0
2018,NUTS,2010,BE2,1,14712.0
2019,NUTS,2010,BE2,1,15223.0
2010,NUTS,2010,BE21,2,
2011,NUTS,2010,BE21,2,
2012,NUTS,2010,BE21,2,
2013,NUTS,2010,BE21,2,
2014,NUTS,2010,BE21,2,
2015,NUTS,2010,BE21,2,
2016,NUTS,2010,BE21,2,
2017,NUTS,2010,BE21,2,
2018,NUTS,2010,BE21,2,
2019,NUTS,2010,BE21,2,
2010,NUTS,2010,BE22,2,
2011,NUTS,2010,BE22,2,
2012,NUTS,2010,BE22,2,
2013,NUTS,2010,BE22,2,
2014,NUTS,2010,BE22,2,
2015,NUTS,2010,BE22,2,
2016,NUTS,2010,BE22,2,
2017,NUTS,2010,BE22,2,
2018,NUTS,2010,BE22,2,
2019,NUTS,2010,BE22,2,
2010,NUTS,2010,BE23,2,
2011,NUTS,2010,BE23,2,
2012,NUTS,2010,BE23,2,
2013,NUTS,2010,BE23,2,
2014,NUTS,2010,BE23,2,
2015,NUTS,2010,BE23,2,
2016,NUTS,2010,BE23,2,
2017,NUTS,2010,BE23,2,
2018,NUTS,2010,BE23,2,
2019,NUTS,2010,BE23,2,
2010,NUTS,2010,BE24,2,
2011,NUTS,2010,BE24,2,
2012,NUTS,2010,BE24,2,
2013,NUTS,2010,BE24,2,
2014,NUTS,2010,BE24,2,
2015,NUTS,2010,BE24,2,
2016,NUTS,2010,BE24,2,
2017,NUTS,2010,BE24,2,
2018,NUTS,2010,BE24,2,
2019,NUTS,2010,BE24,2,
2010,NUTS,2010,BE25,2,
2011,NUTS,2010,BE25,2,
2012,NUTS,2010,BE25,2,
2013,NUTS,2010,BE25,2,
2014,NUTS,2010,BE25,2,
2015,NUTS,2010,BE25,2,
2016,NUTS,2010,BE25,2,
2017,NUTS,2010,BE25,2,
2018,NUTS,2010,BE25,2,
2019,NUTS,2010,BE25,2,
2002,NUTS,2010,BE3,1,4610.0
2003,NUTS,2010,BE3,1,4589.0
2004,NUTS,2010,BE3,1,4264.0
2005,NUTS,2010,BE3,1,4332.0
2006,NUTS,2010,BE3,1,4710.0
2007,NUTS,2010,BE3,1,4916.0
2008,NUTS,2010,BE3,1,5169.0
2009,NUTS,2010,BE3,1,5324.0
2010,NUTS,2010,BE3,1,5483.0
2011,NUTS,2010,BE3,1,5552.0
2012,NUTS,2010,BE3,1,5325.0
2013,NUTS,2010,BE3,1,5279.0
2014,NUTS,2010,BE3,1,5249.0
2015,NUTS,2010,BE3,1,6880.0
2016,NUTS,2010,BE3,1,6052.0
2017,NUTS,2010,BE3,1,5889.0
2018,NUTS,2010,BE3,1,5834.0
2019,NUTS,2010,BE3,1,5840.0
2010,NUTS,2010,BE31,2,
2011,NUTS,2010,BE31,2,
2012,NUTS,2010,BE31,2,
2013,NUTS,2010,BE31,2,
2014,NUTS,2010,BE31,2,
2015,NUTS,2010,BE31,2,
2016,NUTS,2010,BE31,2,
2017,NUTS,2010,BE31,2,
2018,NUTS,2010,BE31,2,
2019,NUTS,2010,BE31,2,
2010,NUTS,2010,BE32,2,
2011,NUTS,2010,BE32,2,
2012,NUTS,2010,BE32,2,
2013,NUTS,2010,BE32,2,
2014,NUTS,2010,BE32,2,
2015,NUTS,2010,BE32,2,
2016,NUTS,2010,BE32,2,
2017,NUTS,2010,BE32,2,
2018,NUTS,2010,BE32,2,
2019,NUTS,2010,BE32,2,
2010,NUTS,2010,BE33,2,
2011,NUTS,2010,BE33,2,
2012,NUTS,2010,BE33,2,
2013,NUTS,2010,BE33,2,
2014,NUTS,2010,BE33,2,
2015,NUTS,2010,BE33,2,
2016,NUTS,2010,BE33,2,
2017,NUTS,2010,BE33,2,
2018,NUTS,2010,BE33,2,
2019,NUTS,2010,BE33,2,
2010,NUTS,2010,BE34,2,
2011,NUTS,2010,BE34,2,
2012,NUTS,2010,BE34,2,
2013,NUTS,2010,BE34,2,
2014,NUTS,2010,BE34,2,
2015,NUTS,2010,BE34,2,
2016,NUTS,2010,BE34,2,
2017,NUTS,2010,BE34,2,
2018,NUTS,2010,BE34,2,
2019,NUTS,2010,BE34,2,
2010,NUTS,2010,BE35,2,
2011,NUTS,2010,BE35,2,
2012,NUTS,2010,BE35,2,
2013,NUTS,2010,BE35,2,
2014,NUTS,2010,BE35,2,
2015,NUTS,2010,BE35,2,
2016,NUTS,2010,BE35,2,
2017,NUTS,2010,BE35,2,
2018,NUTS,2010,BE35,2,
2019,NUTS,2010,BE35,2,
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1993,NUTS,2010,BG,0,13924.0
1994,NUTS,2010,BG,0,5699.0
1995,NUTS,2010,BG,0,7208.0
1996,NUTS,2010,BG,0,6967.0
1997,NUTS,2010,BG,0,3308.0
1998,NUTS,2010,BG,0,3081.0
1999,NUTS,2010,BG,0,2855.0
2000,NUTS,2010,BG,0,2414.0
2001,NUTS,2010,BG,0,2563.0
2002,NUTS,2010,BG,0,2851.0
2003,NUTS,2010,BG,0,2875.0
2004,NUTS,2010,BG,0,3036.0
2005,NUTS,2010,BG,0,3367.0
2006,NUTS,2010,BG,0,3464.0
2007,NUTS,2010,BG,0,4269.0
2008,NUTS,2010,BG,0,4511.0
2009,NUTS,2010,BG,0,5367.0
2010,NUTS,2010,BG,0,4362.0
2011,NUTS,2010,BG,0,5216.0
2012,NUTS,2010,BG,0,4356.0
2013,NUTS,2010,BG,0,4517.0
2014,NUTS,2010,BG,0,5064.0
2015,NUTS,2010,BG,0,4521.0
2016,NUTS,2010,BG,0,5707.0
2017,NUTS,2010,BG,0,4414.0
2018,NUTS,2010,BG,0,4404.0
2019,NUTS,2010,BG,0,4123.0
2020,NUTS,2010,BG,0,4059.0
2002,NUTS,2010,BG3,1,1136.0
2003,NUTS,2010,BG3,1,1236.0
2004,NUTS,2010,BG3,1,1361.0
2005,NUTS,2010,BG3,1,1587.0
2006,NUTS,2010,BG3,1,1590.0
2007,NUTS,2010,BG3,1,1731.0
2008,NUTS,2010,BG3,1,1788.0
2009,NUTS,2010,BG3,1,
2010,NUTS,2010,BG3,1,
2011,NUTS,2010,BG3,1,1846.0
2012,NUTS,2010,BG3,1,1739.0
2013,NUTS,2010,BG3,1,1842.0
2014,NUTS,2010,BG3,1,2321.0
2015,NUTS,2010,BG3,1,1965.0
2016,NUTS,2010,BG3,1,1872.0
2017,NUTS,2010,BG3,1,1768.0
2018,NUTS,2010,BG3,1,1872.0
2019,NUTS,2010,BG3,1,1884.0
2002,NUTS,2010,BG31,2,
2003,NUTS,2010,BG31,2,
2004,NUTS,2010,BG31,2,
2005,NUTS,2010,BG31,2,
2006,NUTS,2010,BG31,2,
2007,NUTS,2010,BG31,2,
2008,NUTS,2010,BG31,2,
2009,NUTS,2010,BG31,2,
2010,NUTS,2010,BG31,2,
2011,NUTS,2010,BG31,2,
2012,NUTS,2010,BG31,2,
2013,NUTS,2010,BG31,2,
2014,NUTS,2010,BG31,2,
2015,NUTS,2010,BG31,2,
2016,NUTS,2010,BG31,2,
2017,NUTS,2010,BG31,2,
2018,NUTS,2010,BG31,2,
2019,NUTS,2010,BG31,2,
2002,NUTS,2010,BG32,2,415.0
2003,NUTS,2010,BG32,2,297.0
2004,NUTS,2010,BG32,2,352.0
2005,NUTS,2010,BG32,2,743.0
2006,NUTS,2010,BG32,2,
2007,NUTS,2010,BG32,2,
2008,NUTS,2010,BG32,2,663.0
2009,NUTS,2010,BG32,2,547.0
2010,NUTS,2010,BG32,2,423.0
2011,NUTS,2010,BG32,2,499.0
2012,NUTS,2010,BG32,2,464.0
2013,NUTS,2010,BG32,2,487.0
2014,NUTS,2010,BG32,2,893.0
2015,NUTS,2010,BG32,2,644.0
2016,NUTS,2010,BG32,2,510.0
2017,NUTS,2010,BG32,2,496.0
2018,NUTS,2010,BG32,2,522.0
2019,NUTS,2010,BG32,2,432.0
2002,NUTS,2010,BG33,2,
2003,NUTS,2010,BG33,2,
2004,NUTS,2010,BG33,2,
2005,NUTS,2010,BG33,2,
2006,NUTS,2010,BG33,2,475.0
2007,NUTS,2010,BG33,2,420.0
2008,NUTS,2010,BG33,2,381.0
2009,NUTS,2010,BG33,2,
2010,NUTS,2010,BG33,2,583.0
2011,NUTS,2010,BG33,2,
2012,NUTS,2010,BG33,2,811.0
2013,NUTS,2010,BG33,2,805.0
2014,NUTS,2010,BG33,2,991.0
2015,NUTS,2010,BG33,2,899.0
2016,NUTS,2010,BG33,2,
2017,NUTS,2010,BG33,2,
2018,NUTS,2010,BG33,2,
2019,NUTS,2010,BG33,2,
2002,NUTS,2010,BG34,2,373.0
2003,NUTS,2010,BG34,2,432.0
2004,NUTS,2010,BG34,2,390.0
2005,NUTS,2010,BG34,2,323.0
2006,NUTS,2010,BG34,2,371.0
2007,NUTS,2010,BG34,2,519.0
2008,NUTS,2010,BG34,2,
2009,NUTS,2010,BG34,2,
2010,NUTS,2010,BG34,2,504.0
2011,NUTS,2010,BG34,2,480.0
2012,NUTS,2010,BG34,2,
2013,NUTS,2010,BG34,2,
2014,NUTS,2010,BG34,2,
2015,NUTS,2010,BG34,2,
2016,NUTS,2010,BG34,2,368.0
2017,NUTS,2010,BG34,2,347.0
2018,NUTS,2010,BG34,2,
2019,NUTS,2010,BG34,2,
2002,NUTS,2010,BG4,1,1715.0
2003,NUTS,2010,BG4,1,1639.0
2004,NUTS,2010,BG4,1,1675.0
2005,NUTS,2010,BG4,1,1780.0
2006,NUTS,2010,BG4,1,1874.0
2007,NUTS,2010,BG4,1,2538.0
2008,NUTS,2010,BG4,1,2723.0
2009,NUTS,2010,BG4,1,
2010,NUTS,2010,BG4,1,
2011,NUTS,2010,BG4,1,3370.0
2012,NUTS,2010,BG4,1,2617.0
2013,NUTS,2010,BG4,1,2675.0
2014,NUTS,2010,BG4,1,2743.0
2015,NUTS,2010,BG4,1,2556.0
2016,NUTS,2010,BG4,1,3835.0
2017,NUTS,2010,BG4,1,2646.0
2018,NUTS,2010,BG4,1,2532.0
2019,NUTS,2010,BG4,1,2239.0
1999,NUTS,2010,BG41,2,1498.0
2000,NUTS,2010,BG41,2,1480.0
2002,NUTS,2010,BG41,2,1451.0
2003,NUTS,2010,BG41,2,1312.0
2004,NUTS,2010,BG41,2,1328.0
2005,NUTS,2010,BG41,2,1462.0
2006,NUTS,2010,BG41,2,
2007,NUTS,2010,BG41,2,
2008,NUTS,2010,BG41,2,2101.0
2009,NUTS,2010,BG41,2,2680.0
2010,NUTS,2010,BG41,2,2139.0
2011,NUTS,2010,BG41,2,
2012,NUTS,2010,BG41,2,
2013,NUTS,2010,BG41,2,2202.0
2014,NUTS,2010,BG41,2,
2015,NUTS,2010,BG41,2,2001.0
2016,NUTS,2010,BG41,2,3406.0
2017,NUTS,2010,BG41,2,2151.0
2018,NUTS,2010,BG41,2,2004.0
2019,NUTS,2010,BG41,2,1594.0
2002,NUTS,2010,BG42,2,264.0
2003,NUTS,2010,BG42,2,327.0
2004,NUTS,2010,BG42,2,347.0
2005,NUTS,2010,BG42,2,318.0
2006,NUTS,2010,BG42,2,
2007,NUTS,2010,BG42,2,
2008,NUTS,2010,BG42,2,622.0
2009,NUTS,2010,BG42,2,
2010,NUTS,2010,BG42,2,
2011,NUTS,2010,BG42,2,
2012,NUTS,2010,BG42,2,
2013,NUTS,2010,BG42,2,473.0
2014,NUTS,2010,BG42,2,
2015,NUTS,2010,BG42,2,555.0
2016,NUTS,2010,BG42,2,429.0
2017,NUTS,2010,BG42,2,495.0
2018,NUTS,2010,BG42,2,528.0
2019,NUTS,2010,BG42,2,645.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1986,NUTS,2010,CH,0,7100.0
1988,NUTS,2010,CH,0,8800.0
1989,NUTS,2010,CH,0,9700.0
1992,NUTS,2010,CH,0,12200.0
1994,NUTS,2010,CH,0,12540.0
1996,NUTS,2010,CH,0,14320.0
1998,NUTS,2010,CH,0,14248.0
2000,NUTS,2010,CH,0,15200.0
2002,NUTS,2010,CH,0,16915.0
2004,NUTS,2010,CH,0,18355.0
2006,NUTS,2010,CH,0,19290.0
2008,NUTS,2010,CH,0,21425.0
2010,NUTS,2010,CH,0,24719.0
2012,NUTS,2010,CH,0,26945.0
2015,NUTS,2010,CH,0,29717.0
2017,NUTS,2010,CH,0,31523.0
2019,NUTS,2010,CH,0,33190.0
1991,NUTS,2010,CN_X_HK,5,144800.0
1992,NUTS,2010,CN_X_HK,5,128100.0
1993,NUTS,2010,CN_X_HK,5,139300.0
1994,NUTS,2010,CN_X_HK,5,172300.0
1995,NUTS,2010,CN_X_HK,5,144200.0
1996,NUTS,2010,CN_X_HK,5,148100.0
1997,NUTS,2010,CN_X_HK,5,165800.0
1998,NUTS,2010,CN_X_HK,5,168800.0
1999,NUTS,2010,CN_X_HK,5,176000.0
2000,NUTS,2010,CN_X_HK,5,159246.0
2001,NUTS,2010,CN_X_HK,5,171126.0
2002,NUTS,2010,CN_X_HK,5,181498.0
2003,NUTS,2010,CN_X_HK,5,189257.0
2004,NUTS,2010,CN_X_HK,5,212075.0
2005,NUTS,2010,CN_X_HK,5,227163.0
2006,NUTS,2010,CN_X_HK,5,242505.0
2007,NUTS,2010,CN_X_HK,5,253901.0
2008,NUTS,2010,CN_X_HK,5,266813.0
2009,NUTS,2010,CN_X_HK,5,275191.0
