year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_total_fte_t
2013,NUTS,2010,BE1,1,203.0
2014,NUTS,2010,BE1,1,165.0
2015,NUTS,2010,BE1,1,204.0
2016,NUTS,2010,BE1,1,207.0
2017,NUTS,2010,BE1,1,272.0
2018,NUTS,2010,BE1,1,1893.0
2019,NUTS,2010,BE1,1,1898.0
2011,NUTS,2010,BE10,2,212.0
2012,NUTS,2010,BE10,2,208.0
2013,NUTS,2010,BE10,2,203.0
2014,NUTS,2010,BE10,2,165.0
2015,NUTS,2010,BE10,2,204.0
2016,NUTS,2010,BE10,2,207.0
2017,NUTS,2010,BE10,2,272.0
2018,NUTS,2010,BE10,2,1893.0
2019,NUTS,2010,BE10,2,1898.0
2011,NUTS,2010,BE2,1,389.0
2012,NUTS,2010,BE2,1,101.0
2013,NUTS,2010,BE2,1,112.0
2014,NUTS,2010,BE2,1,124.0
2015,NUTS,2010,BE2,1,182.0
2016,NUTS,2010,BE2,1,264.0
2017,NUTS,2010,BE2,1,281.0
2018,NUTS,2010,BE2,1,282.0
2019,NUTS,2010,BE2,1,302.0
2011,NUTS,2010,BE3,1,1.0
2014,NUTS,2010,BE3,1,1.0
2015,NUTS,2010,BE3,1,1.0
2016,NUTS,2010,BE3,1,27.0
2017,NUTS,2010,BE3,1,21.0
2018,NUTS,2010,BE3,1,23.0
2019,NUTS,2010,BE3,1,21.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,93.0
2012,NUTS,2010,BG,0,122.0
2013,NUTS,2010,BG,0,185.0
2014,NUTS,2010,BG,0,129.0
2015,NUTS,2010,BG,0,163.0
2016,NUTS,2010,BG,0,53.0
2017,NUTS,2010,BG,0,151.0
2018,NUTS,2010,BG,0,118.0
2019,NUTS,2010,BG,0,143.0
2020,NUTS,2010,BG,0,153.0
2011,NUTS,2010,BG3,1,7.0
2012,NUTS,2010,BG3,1,4.0
2013,NUTS,2010,BG3,1,16.0
2014,NUTS,2010,BG3,1,10.0
2015,NUTS,2010,BG3,1,11.0
2016,NUTS,2010,BG3,1,4.0
2017,NUTS,2010,BG3,1,11.0
2018,NUTS,2010,BG3,1,13.0
2019,NUTS,2010,BG3,1,12.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG33,2,16.0
2015,NUTS,2010,BG33,2,7.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG4,1,86.0
2012,NUTS,2010,BG4,1,118.0
2013,NUTS,2010,BG4,1,169.0
2014,NUTS,2010,BG4,1,119.0
2015,NUTS,2010,BG4,1,152.0
2016,NUTS,2010,BG4,1,49.0
2017,NUTS,2010,BG4,1,140.0
2018,NUTS,2010,BG4,1,105.0
2019,NUTS,2010,BG4,1,131.0
2015,NUTS,2010,BG41,2,146.0
2016,NUTS,2010,BG41,2,31.0
2017,NUTS,2010,BG41,2,101.0
2018,NUTS,2010,BG41,2,60.0
2019,NUTS,2010,BG41,2,88.0
2015,NUTS,2010,BG42,2,6.0
2016,NUTS,2010,BG42,2,18.0
2017,NUTS,2010,BG42,2,39.0
2018,NUTS,2010,BG42,2,45.0
2019,NUTS,2010,BG42,2,43.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,CY,0,148.0
2012,NUTS,2010,CY,0,159.0
2013,NUTS,2010,CY,0,148.0
2014,NUTS,2010,CY,0,201.0
2015,NUTS,2010,CY,0,174.0
2016,NUTS,2010,CY,0,177.0
2017,NUTS,2010,CY,0,200.0
2018,NUTS,2010,CY,0,207.0
2019,NUTS,2010,CY,0,310.0
2020,NUTS,2010,CY,0,320.0
2011,NUTS,2010,CZ,0,332.0
2012,NUTS,2010,CZ,0,319.0
2013,NUTS,2010,CZ,0,273.0
2014,NUTS,2010,CZ,0,282.0
2015,NUTS,2010,CZ,0,247.0
2016,NUTS,2010,CZ,0,220.0
2017,NUTS,2010,CZ,0,276.0
2018,NUTS,2010,CZ,0,232.0
2019,NUTS,2010,CZ,0,276.0
2020,NUTS,2010,CZ,0,278.0
2011,NUTS,2010,CZ0,1,332.0
2012,NUTS,2010,CZ0,1,319.0
2013,NUTS,2010,CZ0,1,273.0
2014,NUTS,2010,CZ0,1,282.0
2015,NUTS,2010,CZ0,1,247.0
2016,NUTS,2010,CZ0,1,220.0
2017,NUTS,2010,CZ0,1,276.0
2018,NUTS,2010,CZ0,1,232.0
2019,NUTS,2010,CZ0,1,276.0
2020,NUTS,2010,CZ0,1,278.0
2011,NUTS,2010,CZ01,2,159.0
2012,NUTS,2010,CZ01,2,148.0
2013,NUTS,2010,CZ01,2,141.0
2014,NUTS,2010,CZ01,2,144.0
2015,NUTS,2010,CZ01,2,121.0
2016,NUTS,2010,CZ01,2,130.0
2017,NUTS,2010,CZ01,2,136.0
2018,NUTS,2010,CZ01,2,118.0
2019,NUTS,2010,CZ01,2,146.0
2020,NUTS,2010,CZ01,2,157.0
2011,NUTS,2010,CZ02,2,5.0
2012,NUTS,2010,CZ02,2,5.0
2013,NUTS,2010,CZ02,2,24.0
2014,NUTS,2010,CZ02,2,8.0
2015,NUTS,2010,CZ02,2,12.0
2016,NUTS,2010,CZ02,2,8.0
2017,NUTS,2010,CZ02,2,5.0
2018,NUTS,2010,CZ02,2,3.0
2019,NUTS,2010,CZ02,2,2.0
2020,NUTS,2010,CZ02,2,4.0
2011,NUTS,2010,CZ03,2,23.0
2012,NUTS,2010,CZ03,2,39.0
2013,NUTS,2010,CZ03,2,44.0
2014,NUTS,2010,CZ03,2,53.0
2015,NUTS,2010,CZ03,2,75.0
2016,NUTS,2010,CZ03,2,61.0
2017,NUTS,2010,CZ03,2,80.0
2018,NUTS,2010,CZ03,2,64.0
2019,NUTS,2010,CZ03,2,71.0
2020,NUTS,2010,CZ03,2,63.0
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,1.0
2019,NUTS,2010,CZ04,2,1.0
2020,NUTS,2010,CZ04,2,1.0
2011,NUTS,2010,CZ05,2,34.0
2012,NUTS,2010,CZ05,2,34.0
2013,NUTS,2010,CZ05,2,18.0
2014,NUTS,2010,CZ05,2,6.0
2015,NUTS,2010,CZ05,2,1.0
2016,NUTS,2010,CZ05,2,3.0
2017,NUTS,2010,CZ05,2,17.0
2018,NUTS,2010,CZ05,2,0.0
2019,NUTS,2010,CZ05,2,10.0
2020,NUTS,2010,CZ05,2,15.0
2011,NUTS,2010,CZ06,2,53.0
2012,NUTS,2010,CZ06,2,29.0
2013,NUTS,2010,CZ06,2,29.0
2014,NUTS,2010,CZ06,2,32.0
2015,NUTS,2010,CZ06,2,19.0
2016,NUTS,2010,CZ06,2,5.0
2017,NUTS,2010,CZ06,2,13.0
2018,NUTS,2010,CZ06,2,24.0
2019,NUTS,2010,CZ06,2,24.0
2020,NUTS,2010,CZ06,2,17.0
2011,NUTS,2010,CZ07,2,16.0
2012,NUTS,2010,CZ07,2,10.0
2013,NUTS,2010,CZ07,2,10.0
2014,NUTS,2010,CZ07,2,17.0
2015,NUTS,2010,CZ07,2,9.0
2016,NUTS,2010,CZ07,2,9.0
2017,NUTS,2010,CZ07,2,7.0
2018,NUTS,2010,CZ07,2,5.0
2019,NUTS,2010,CZ07,2,11.0
2020,NUTS,2010,CZ07,2,11.0
2011,NUTS,2010,CZ08,2,41.0
2012,NUTS,2010,CZ08,2,54.0
2013,NUTS,2010,CZ08,2,7.0
2014,NUTS,2010,CZ08,2,22.0
2015,NUTS,2010,CZ08,2,10.0
2016,NUTS,2010,CZ08,2,5.0
2017,NUTS,2010,CZ08,2,18.0
2018,NUTS,2010,CZ08,2,16.0
2019,NUTS,2010,CZ08,2,11.0
2020,NUTS,2010,CZ08,2,10.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DK,0,272.0
2012,NUTS,2010,DK,0,301.0
2013,NUTS,2010,DK,0,290.0
2014,NUTS,2010,DK,0,289.0
2015,NUTS,2010,DK,0,296.0
2016,NUTS,2010,DK,0,315.0
2017,NUTS,2010,DK,0,271.0
2018,NUTS,2010,DK,0,232.0
2019,NUTS,2010,DK,0,264.0
2020,NUTS,2010,DK,0,265.0
2011,NUTS,2010,DK0,1,272.0
2012,NUTS,2010,DK0,1,300.0
2013,NUTS,2010,DK0,1,290.0
2014,NUTS,2010,DK0,1,289.0
2015,NUTS,2010,DK0,1,296.0
2016,NUTS,2010,DK0,1,315.0
2017,NUTS,2010,DK0,1,271.0
2018,NUTS,2010,DK0,1,233.0
2019,NUTS,2010,DK0,1,264.0
2011,NUTS,2010,DK01,2,265.0
2012,NUTS,2010,DK01,2,287.0
2013,NUTS,2010,DK01,2,277.0
2014,NUTS,2010,DK01,2,275.0
2015,NUTS,2010,DK01,2,277.0
2016,NUTS,2010,DK01,2,296.0
2017,NUTS,2010,DK01,2,255.0
2019,NUTS,2010,DK01,2,257.0
2011,NUTS,2010,DK02,2,7.0
2012,NUTS,2010,DK02,2,7.0
2013,NUTS,2010,DK02,2,7.0
2014,NUTS,2010,DK02,2,7.0
2015,NUTS,2010,DK02,2,10.0
2016,NUTS,2010,DK02,2,9.0
2017,NUTS,2010,DK02,2,5.0
2019,NUTS,2010,DK02,2,7.0
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,7.0
2013,NUTS,2010,DK03,2,7.0
2014,NUTS,2010,DK03,2,7.0
2015,NUTS,2010,DK03,2,9.0
2016,NUTS,2010,DK03,2,10.0
2017,NUTS,2010,DK03,2,11.0
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,11.0
2011,NUTS,2010,EA19,2,20045.0
2012,NUTS,2010,EA19,2,20124.0
2013,NUTS,2010,EA19,2,16077.0
2014,NUTS,2010,EA19,2,17299.0
2015,NUTS,2010,EA19,2,17592.0
2016,NUTS,2010,EA19,2,18365.0
2017,NUTS,2010,EA19,2,17994.0
2018,NUTS,2010,EA19,2,19528.0
2019,NUTS,2010,EA19,2,20817.0
2020,NUTS,2010,EA19,2,21399.0
2011,NUTS,2010,EE,0,92.0
2012,NUTS,2010,EE,0,93.0
2013,NUTS,2010,EE,0,88.0
2014,NUTS,2010,EE,0,96.0
2015,NUTS,2010,EE,0,98.0
2016,NUTS,2010,EE,0,107.0
2017,NUTS,2010,EE,0,99.0
2018,NUTS,2010,EE,0,121.0
2019,NUTS,2010,EE,0,93.0
2020,NUTS,2010,EE,0,98.0
2011,NUTS,2010,EL,0,331.0
2012,NUTS,2010,EL,0,340.0
2013,NUTS,2010,EL,0,530.0
2014,NUTS,2010,EL,0,518.0
2015,NUTS,2010,EL,0,516.0
2016,NUTS,2010,EL,0,533.0
2017,NUTS,2010,EL,0,522.0
2018,NUTS,2010,EL,0,554.0
2019,NUTS,2010,EL,0,457.0
2020,NUTS,2010,EL,0,365.0
2011,NUTS,2010,EL3,1,255.0
2013,NUTS,2010,EL3,1,360.0
2015,NUTS,2010,EL3,1,348.0
2017,NUTS,2010,EL3,1,383.0
2019,NUTS,2010,EL3,1,285.0
2011,NUTS,2010,EL30,2,255.0
2013,NUTS,2010,EL30,2,360.0
2015,NUTS,2010,EL30,2,348.0
2017,NUTS,2010,EL30,2,383.0
2019,NUTS,2010,EL30,2,285.0
2011,NUTS,2010,EL4,1,11.0
2013,NUTS,2010,EL4,1,53.0
2015,NUTS,2010,EL4,1,52.0
2017,NUTS,2010,EL4,1,71.0
2019,NUTS,2010,EL4,1,68.0
2011,NUTS,2010,EL41,2,2.0
2013,NUTS,2010,EL41,2,3.0
2015,NUTS,2010,EL41,2,3.0
2017,NUTS,2010,EL41,2,5.0
2019,NUTS,2010,EL41,2,18.0
2011,NUTS,2010,EL42,2,8.0
2013,NUTS,2010,EL42,2,9.0
2015,NUTS,2010,EL42,2,7.0
2017,NUTS,2010,EL42,2,15.0
2019,NUTS,2010,EL42,2,20.0
2011,NUTS,2010,EL43,2,1.0
2013,NUTS,2010,EL43,2,41.0
2015,NUTS,2010,EL43,2,42.0
2017,NUTS,2010,EL43,2,51.0
2019,NUTS,2010,EL43,2,30.0
2011,NUTS,2010,EL5,1,58.0
2013,NUTS,2010,EL5,1,105.0
2015,NUTS,2010,EL5,1,106.0
2017,NUTS,2010,EL5,1,51.0
2019,NUTS,2010,EL5,1,77.0
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,3.0
2015,NUTS,2010,EL51,2,3.0
2017,NUTS,2010,EL51,2,4.0
2019,NUTS,2010,EL51,2,2.0
2011,NUTS,2010,EL52,2,48.0
2013,NUTS,2010,EL52,2,90.0
2015,NUTS,2010,EL52,2,92.0
2017,NUTS,2010,EL52,2,35.0
2019,NUTS,2010,EL52,2,62.0
2011,NUTS,2010,EL53,2,8.0
2013,NUTS,2010,EL53,2,6.0
2015,NUTS,2010,EL53,2,6.0
2017,NUTS,2010,EL53,2,5.0
2019,NUTS,2010,EL53,2,6.0
2011,NUTS,2010,EL54,2,3.0
2013,NUTS,2010,EL54,2,6.0
2015,NUTS,2010,EL54,2,6.0
2017,NUTS,2010,EL54,2,8.0
2019,NUTS,2010,EL54,2,7.0
2011,NUTS,2010,EL6,1,6.0
2013,NUTS,2010,EL6,1,12.0
2015,NUTS,2010,EL6,1,10.0
2017,NUTS,2010,EL6,1,15.0
2019,NUTS,2010,EL6,1,27.0
2011,NUTS,2010,EL61,2,1.0
2013,NUTS,2010,EL61,2,2.0
2015,NUTS,2010,EL61,2,1.0
2017,NUTS,2010,EL61,2,3.0
2019,NUTS,2010,EL61,2,3.0
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
2017,NUTS,2010,EL62,2,1.0
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,2.0
2015,NUTS,2010,EL63,2,1.0
2017,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,4.0
2013,NUTS,2010,EL64,2,4.0
2015,NUTS,2010,EL64,2,4.0
2017,NUTS,2010,EL64,2,4.0
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,2.0
2013,NUTS,2010,EL65,2,3.0
2015,NUTS,2010,EL65,2,3.0
2017,NUTS,2010,EL65,2,8.0
2019,NUTS,2010,EL65,2,24.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,425.0
2012,NUTS,2010,ES,0,442.0
2013,NUTS,2010,ES,0,395.0
2014,NUTS,2010,ES,0,399.0
2015,NUTS,2010,ES,0,430.0
2016,NUTS,2010,ES,0,580.0
2017,NUTS,2010,ES,0,509.0
2018,NUTS,2010,ES,0,572.0
2019,NUTS,2010,ES,0,558.0
2020,NUTS,2010,ES,0,556.0
2011,NUTS,2010,ES1,1,57.0
2012,NUTS,2010,ES1,1,63.0
2013,NUTS,2010,ES1,1,46.0
2015,NUTS,2010,ES1,1,51.0
2016,NUTS,2010,ES1,1,75.0
2017,NUTS,2010,ES1,1,68.0
2018,NUTS,2010,ES1,1,94.0
2014,NUTS,2010,ES11,2,4.0
2015,NUTS,2010,ES11,2,5.0
2016,NUTS,2010,ES11,2,29.0
2017,NUTS,2010,ES11,2,32.0
2018,NUTS,2010,ES11,2,39.0
2019,NUTS,2010,ES11,2,37.0
2012,NUTS,2010,ES12,2,7.0
2013,NUTS,2010,ES12,2,3.0
2014,NUTS,2010,ES12,2,4.0
2015,NUTS,2010,ES12,2,5.0
2016,NUTS,2010,ES12,2,4.0
2017,NUTS,2010,ES12,2,3.0
2018,NUTS,2010,ES12,2,5.0
2019,NUTS,2010,ES12,2,3.0
2011,NUTS,2010,ES13,2,50.0
2015,NUTS,2010,ES13,2,41.0
2016,NUTS,2010,ES13,2,41.0
2017,NUTS,2010,ES13,2,32.0
2018,NUTS,2010,ES13,2,50.0
2011,NUTS,2010,ES2,1,35.0
2013,NUTS,2010,ES2,1,36.0
2015,NUTS,2010,ES2,1,32.0
2019,NUTS,2010,ES2,1,19.0
2011,NUTS,2010,ES21,2,22.0
2012,NUTS,2010,ES21,2,30.0
2013,NUTS,2010,ES21,2,22.0
2014,NUTS,2010,ES21,2,17.0
2015,NUTS,2010,ES21,2,21.0
2016,NUTS,2010,ES21,2,22.0
2017,NUTS,2010,ES21,2,18.0
2018,NUTS,2010,ES21,2,15.0
2019,NUTS,2010,ES21,2,17.0
2011,NUTS,2010,ES22,2,6.0
2015,NUTS,2010,ES22,2,5.0
2011,NUTS,2010,ES23,2,3.0
2012,NUTS,2010,ES23,2,4.0
2014,NUTS,2010,ES23,2,2.0
2015,NUTS,2010,ES23,2,2.0
2016,NUTS,2010,ES23,2,1.0
2017,NUTS,2010,ES23,2,1.0
2018,NUTS,2010,ES23,2,1.0
2011,NUTS,2010,ES24,2,5.0
2012,NUTS,2010,ES24,2,5.0
2013,NUTS,2010,ES24,2,4.0
2014,NUTS,2010,ES24,2,1.0
2015,NUTS,2010,ES24,2,4.0
2016,NUTS,2010,ES24,2,3.0
2017,NUTS,2010,ES24,2,3.0
2018,NUTS,2010,ES24,2,1.0
2011,NUTS,2010,ES3,1,133.0
2012,NUTS,2010,ES3,1,136.0
2013,NUTS,2010,ES3,1,125.0
2014,NUTS,2010,ES3,1,105.0
2015,NUTS,2010,ES3,1,122.0
2016,NUTS,2010,ES3,1,129.0
2017,NUTS,2010,ES3,1,130.0
2018,NUTS,2010,ES3,1,152.0
2019,NUTS,2010,ES3,1,154.0
2011,NUTS,2010,ES30,2,133.0
2012,NUTS,2010,ES30,2,136.0
2013,NUTS,2010,ES30,2,125.0
2014,NUTS,2010,ES30,2,105.0
2015,NUTS,2010,ES30,2,122.0
2016,NUTS,2010,ES30,2,129.0
2017,NUTS,2010,ES30,2,130.0
2018,NUTS,2010,ES30,2,152.0
2019,NUTS,2010,ES30,2,154.0
2011,NUTS,2010,ES4,1,29.0
2013,NUTS,2010,ES4,1,12.0
2014,NUTS,2010,ES4,1,13.0
2015,NUTS,2010,ES4,1,24.0
2016,NUTS,2010,ES4,1,23.0
2018,NUTS,2010,ES4,1,26.0
2019,NUTS,2010,ES4,1,23.0
2012,NUTS,2010,ES41,2,11.0
2013,NUTS,2010,ES41,2,8.0
2014,NUTS,2010,ES41,2,11.0
2015,NUTS,2010,ES41,2,13.0
2017,NUTS,2010,ES41,2,12.0
2018,NUTS,2010,ES41,2,8.0
2019,NUTS,2010,ES41,2,7.0
2013,NUTS,2010,ES42,2,1.0
2014,NUTS,2010,ES42,2,0.0
2015,NUTS,2010,ES42,2,8.0
2017,NUTS,2010,ES42,2,10.0
2011,NUTS,2010,ES43,2,3.0
2013,NUTS,2010,ES43,2,2.0
2014,NUTS,2010,ES43,2,2.0
2015,NUTS,2010,ES43,2,4.0
2016,NUTS,2010,ES43,2,5.0
2011,NUTS,2010,ES5,1,128.0
2012,NUTS,2010,ES5,1,115.0
2013,NUTS,2010,ES5,1,114.0
2014,NUTS,2010,ES5,1,142.0
2015,NUTS,2010,ES5,1,131.0
2016,NUTS,2010,ES5,1,236.0
2017,NUTS,2010,ES5,1,188.0
2018,NUTS,2010,ES5,1,198.0
2011,NUTS,2010,ES51,2,110.0
2012,NUTS,2010,ES51,2,97.0
2013,NUTS,2010,ES51,2,91.0
2014,NUTS,2010,ES51,2,117.0
2015,NUTS,2010,ES51,2,120.0
2016,NUTS,2010,ES51,2,220.0
2017,NUTS,2010,ES51,2,174.0
2018,NUTS,2010,ES51,2,182.0
2019,NUTS,2010,ES51,2,178.0
2011,NUTS,2010,ES52,2,14.0
2012,NUTS,2010,ES52,2,14.0
2013,NUTS,2010,ES52,2,19.0
2014,NUTS,2010,ES52,2,22.0
2015,NUTS,2010,ES52,2,8.0
2016,NUTS,2010,ES52,2,8.0
2017,NUTS,2010,ES52,2,7.0
2018,NUTS,2010,ES52,2,9.0
2019,NUTS,2010,ES52,2,9.0
2011,NUTS,2010,ES53,2,4.0
2012,NUTS,2010,ES53,2,4.0
2013,NUTS,2010,ES53,2,4.0
2014,NUTS,2010,ES53,2,4.0
2015,NUTS,2010,ES53,2,4.0
2016,NUTS,2010,ES53,2,8.0
2017,NUTS,2010,ES53,2,7.0
2018,NUTS,2010,ES53,2,8.0
2011,NUTS,2010,ES6,1,37.0
2012,NUTS,2010,ES6,1,67.0
2013,NUTS,2010,ES6,1,58.0
2014,NUTS,2010,ES6,1,54.0
2015,NUTS,2010,ES6,1,66.0
2016,NUTS,2010,ES6,1,86.0
2017,NUTS,2010,ES6,1,67.0
2018,NUTS,2010,ES6,1,78.0
2019,NUTS,2010,ES6,1,84.0
2011,NUTS,2010,ES61,2,25.0
2012,NUTS,2010,ES61,2,55.0
2013,NUTS,2010,ES61,2,56.0
2014,NUTS,2010,ES61,2,52.0
2015,NUTS,2010,ES61,2,58.0
2016,NUTS,2010,ES61,2,82.0
2017,NUTS,2010,ES61,2,63.0
2018,NUTS,2010,ES61,2,74.0
2019,NUTS,2010,ES61,2,82.0
2012,NUTS,2010,ES62,2,11.0
2013,NUTS,2010,ES62,2,2.0
2014,NUTS,2010,ES62,2,3.0
2015,NUTS,2010,ES62,2,9.0
2016,NUTS,2010,ES62,2,4.0
2018,NUTS,2010,ES62,2,3.0
2019,NUTS,2010,ES62,2,2.0
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,7.0
2012,NUTS,2010,ES7,1,7.0
2013,NUTS,2010,ES7,1,5.0
2014,NUTS,2010,ES7,1,6.0
2015,NUTS,2010,ES7,1,4.0
2016,NUTS,2010,ES7,1,4.0
2017,NUTS,2010,ES7,1,4.0
2018,NUTS,2010,ES7,1,3.0
2011,NUTS,2010,ES70,2,7.0
2012,NUTS,2010,ES70,2,7.0
2013,NUTS,2010,ES70,2,5.0
2014,NUTS,2010,ES70,2,6.0
2015,NUTS,2010,ES70,2,4.0
2016,NUTS,2010,ES70,2,4.0
2017,NUTS,2010,ES70,2,4.0
2018,NUTS,2010,ES70,2,3.0
2011,NUTS,2010,ESZ,1,0.0
2011,NUTS,2010,ESZZ,2,0.0
2011,NUTS,2010,EU27_2020,7,21341.0
2012,NUTS,2010,EU27_2020,7,21560.0
2013,NUTS,2010,EU27_2020,7,17458.0
2014,NUTS,2010,EU27_2020,7,18661.0
2015,NUTS,2010,EU27_2020,7,18766.0
2016,NUTS,2010,EU27_2020,7,19983.0
2017,NUTS,2010,EU27_2020,7,20161.0
