year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_mio_eur
2016,NUTS,2010,BE22,2,399.356
2017,NUTS,2010,BE22,2,441.247
2011,NUTS,2010,BE23,2,1018.595
2012,NUTS,2010,BE23,2,1183.601
2013,NUTS,2010,BE23,2,1263.746
2014,NUTS,2010,BE23,2,1199.87
2015,NUTS,2010,BE23,2,1252.03
2016,NUTS,2010,BE23,2,1422.496
2017,NUTS,2010,BE23,2,1466.897
2011,NUTS,2010,BE24,2,1452.6
2012,NUTS,2010,BE24,2,1617.583
2013,NUTS,2010,BE24,2,1665.357
2014,NUTS,2010,BE24,2,1780.471
2015,NUTS,2010,BE24,2,1880.728
2016,NUTS,2010,BE24,2,1863.782
2017,NUTS,2010,BE24,2,2029.828
2011,NUTS,2010,BE25,2,401.01
2012,NUTS,2010,BE25,2,535.622
2013,NUTS,2010,BE25,2,547.668
2014,NUTS,2010,BE25,2,434.097
2015,NUTS,2010,BE25,2,471.826
2016,NUTS,2010,BE25,2,525.369
2017,NUTS,2010,BE25,2,603.673
2011,NUTS,2010,BE3,1,2176.09
2012,NUTS,2010,BE3,1,2202.873
2013,NUTS,2010,BE3,1,2275.023
2014,NUTS,2010,BE3,1,2272.593
2015,NUTS,2010,BE3,1,2346.887
2016,NUTS,2010,BE3,1,2447.633
2017,NUTS,2010,BE3,1,2710.07
2018,NUTS,2010,BE3,1,3356.283
2019,NUTS,2010,BE3,1,3724.371
2011,NUTS,2010,BE31,2,1136.474
2012,NUTS,2010,BE31,2,1279.528
2013,NUTS,2010,BE31,2,1302.57
2014,NUTS,2010,BE31,2,1050.411
2015,NUTS,2010,BE31,2,1030.75
2016,NUTS,2010,BE31,2,1281.931
2017,NUTS,2010,BE31,2,1404.494
2011,NUTS,2010,BE32,2,448.554
2012,NUTS,2010,BE32,2,399.13
2013,NUTS,2010,BE32,2,420.07
2014,NUTS,2010,BE32,2,501.103
2015,NUTS,2010,BE32,2,508.681
2016,NUTS,2010,BE32,2,408.422
2017,NUTS,2010,BE32,2,478.041
2011,NUTS,2010,BE33,2,428.264
2012,NUTS,2010,BE33,2,415.671
2013,NUTS,2010,BE33,2,444.81
2014,NUTS,2010,BE33,2,526.888
2015,NUTS,2010,BE33,2,600.501
2016,NUTS,2010,BE33,2,618.411
2017,NUTS,2010,BE33,2,675.318
2011,NUTS,2010,BE34,2,23.753
2012,NUTS,2010,BE34,2,16.318
2013,NUTS,2010,BE34,2,14.471
2014,NUTS,2010,BE34,2,45.345
2015,NUTS,2010,BE34,2,52.634
2016,NUTS,2010,BE34,2,18.11
2017,NUTS,2010,BE34,2,19.191
2011,NUTS,2010,BE35,2,139.045
2012,NUTS,2010,BE35,2,92.227
2013,NUTS,2010,BE35,2,93.103
2014,NUTS,2010,BE35,2,148.847
2015,NUTS,2010,BE35,2,154.321
2016,NUTS,2010,BE35,2,120.759
2017,NUTS,2010,BE35,2,133.026
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,219.637
2012,NUTS,2010,BG,0,253.695
2013,NUTS,2010,BG,0,266.736
2014,NUTS,2010,BG,0,339.927
2015,NUTS,2010,BG,0,434.838
2016,NUTS,2010,BG,0,375.434
2017,NUTS,2010,BG,0,388.707
2018,NUTS,2010,BG,0,423.818
2019,NUTS,2010,BG,0,512.39
2020,NUTS,2010,BG,0,523.464
2011,NUTS,2010,BG3,1,23.784
2012,NUTS,2010,BG3,1,26.59
2013,NUTS,2010,BG3,1,34.15
2014,NUTS,2010,BG3,1,42.838
2015,NUTS,2010,BG3,1,72.842
2016,NUTS,2010,BG3,1,74.57
2017,NUTS,2010,BG3,1,77.836
2018,NUTS,2010,BG3,1,79.73
2019,NUTS,2010,BG3,1,89.078
2011,NUTS,2010,BG31,2,3.666
2012,NUTS,2010,BG31,2,4.693
2013,NUTS,2010,BG31,2,5.456
2014,NUTS,2010,BG31,2,6.085
2015,NUTS,2010,BG31,2,17.008
2016,NUTS,2010,BG31,2,15.212
2017,NUTS,2010,BG31,2,15.996
2018,NUTS,2010,BG31,2,19.142
2019,NUTS,2010,BG31,2,16.416
2011,NUTS,2010,BG32,2,4.054
2012,NUTS,2010,BG32,2,3.806
2013,NUTS,2010,BG32,2,5.01
2014,NUTS,2010,BG32,2,5.451
2015,NUTS,2010,BG32,2,19.03
2016,NUTS,2010,BG32,2,15.673
2017,NUTS,2010,BG32,2,15.455
2018,NUTS,2010,BG32,2,13.607
2019,NUTS,2010,BG32,2,15.575
2011,NUTS,2010,BG33,2,9.067
2012,NUTS,2010,BG33,2,10.176
2013,NUTS,2010,BG33,2,15.207
2014,NUTS,2010,BG33,2,17.263
2015,NUTS,2010,BG33,2,18.185
2016,NUTS,2010,BG33,2,26.355
2017,NUTS,2010,BG33,2,26.396
2018,NUTS,2010,BG33,2,25.437
2019,NUTS,2010,BG33,2,32.648
2011,NUTS,2010,BG34,2,6.997
2012,NUTS,2010,BG34,2,7.915
2013,NUTS,2010,BG34,2,8.477
2014,NUTS,2010,BG34,2,14.04
2015,NUTS,2010,BG34,2,18.619
2016,NUTS,2010,BG34,2,17.329
2017,NUTS,2010,BG34,2,19.989
2018,NUTS,2010,BG34,2,21.545
2019,NUTS,2010,BG34,2,24.439
2011,NUTS,2010,BG4,1,195.853
2012,NUTS,2010,BG4,1,227.105
2013,NUTS,2010,BG4,1,232.586
2014,NUTS,2010,BG4,1,297.089
2015,NUTS,2010,BG4,1,361.997
2016,NUTS,2010,BG4,1,300.865
2017,NUTS,2010,BG4,1,310.872
2018,NUTS,2010,BG4,1,344.088
2019,NUTS,2010,BG4,1,423.312
2011,NUTS,2010,BG41,2,184.348
2012,NUTS,2010,BG41,2,213.189
2013,NUTS,2010,BG41,2,220.015
2014,NUTS,2010,BG41,2,281.638
2015,NUTS,2010,BG41,2,328.702
2016,NUTS,2010,BG41,2,267.248
2017,NUTS,2010,BG41,2,275.412
2018,NUTS,2010,BG41,2,308.75
2019,NUTS,2010,BG41,2,376.336
2011,NUTS,2010,BG42,2,11.505
2012,NUTS,2010,BG42,2,13.916
2013,NUTS,2010,BG42,2,12.571
2014,NUTS,2010,BG42,2,15.451
2015,NUTS,2010,BG42,2,33.294
2016,NUTS,2010,BG42,2,33.617
2017,NUTS,2010,BG42,2,35.46
2018,NUTS,2010,BG42,2,35.339
2019,NUTS,2010,BG42,2,46.977
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,15350.547
2015,NUTS,2010,CH,0,19255.903
2017,NUTS,2010,CH,0,18932.77
2019,NUTS,2010,CH,0,20572.036
2012,NUTS,2010,CH0,1,15350.547
2015,NUTS,2010,CH0,1,19255.903
2017,NUTS,2010,CH0,1,18932.77
2019,NUTS,2010,CH0,1,20572.036
2011,NUTS,2010,CN_X_HK,5,96565.243
2012,NUTS,2010,CN_X_HK,5,127059.283
2013,NUTS,2010,CN_X_HK,5,145097.102
2014,NUTS,2010,CN_X_HK,5,159004.48
2015,NUTS,2010,CN_X_HK,5,203201.994
2016,NUTS,2010,CN_X_HK,5,213225.272
2017,NUTS,2010,CN_X_HK,5,230778.995
2018,NUTS,2010,CN_X_HK,5,252019.433
2019,NUTS,2010,CN_X_HK,5,286259.161
2011,NUTS,2010,CY,0,89.883
2012,NUTS,2010,CY,0,85.322
2013,NUTS,2010,CY,0,87.469
2014,NUTS,2010,CY,0,89.521
2015,NUTS,2010,CY,0,85.286
2016,NUTS,2010,CY,0,98.815
2017,NUTS,2010,CY,0,110.214
2018,NUTS,2010,CY,0,133.097
2019,NUTS,2010,CY,0,164.435
2020,NUTS,2010,CY,0,177.2
2011,NUTS,2010,CY0,1,89.883
2012,NUTS,2010,CY0,1,85.322
2013,NUTS,2010,CY0,1,87.469
2014,NUTS,2010,CY0,1,89.521
2015,NUTS,2010,CY0,1,85.286
2016,NUTS,2010,CY0,1,98.815
2017,NUTS,2010,CY0,1,110.214
2018,NUTS,2010,CY0,1,133.097
2019,NUTS,2010,CY0,1,164.435
2020,NUTS,2010,CY0,1,177.2
2011,NUTS,2010,CY00,2,89.883
2012,NUTS,2010,CY00,2,85.322
2013,NUTS,2010,CY00,2,87.469
2014,NUTS,2010,CY00,2,89.521
2015,NUTS,2010,CY00,2,85.286
2016,NUTS,2010,CY00,2,98.815
2017,NUTS,2010,CY00,2,110.214
2018,NUTS,2010,CY00,2,133.097
2019,NUTS,2010,CY00,2,164.435
2020,NUTS,2010,CY00,2,177.2
2011,NUTS,2010,CZ,0,2551.989
2012,NUTS,2010,CZ,0,2877.264
2013,NUTS,2010,CZ,0,2996.666
2014,NUTS,2010,CZ,0,3090.662
2015,NUTS,2010,CZ,0,3250.243
2016,NUTS,2010,CZ,0,2963.274
2017,NUTS,2010,CZ,0,3433.337
2018,NUTS,2010,CZ,0,4006.462
2019,NUTS,2010,CZ,0,4348.346
2020,NUTS,2010,CZ,0,4285.863
2011,NUTS,2010,CZ0,1,2551.989
2012,NUTS,2010,CZ0,1,2877.264
2013,NUTS,2010,CZ0,1,2996.666
2014,NUTS,2010,CZ0,1,3090.662
2015,NUTS,2010,CZ0,1,3250.243
2016,NUTS,2010,CZ0,1,2963.274
2017,NUTS,2010,CZ0,1,3433.337
2018,NUTS,2010,CZ0,1,4006.462
2019,NUTS,2010,CZ0,1,4348.346
2020,NUTS,2010,CZ0,1,4285.863
2011,NUTS,2010,CZ01,2,932.957
2012,NUTS,2010,CZ01,2,981.717
2013,NUTS,2010,CZ01,2,1007.111
2014,NUTS,2010,CZ01,2,1069.247
2015,NUTS,2010,CZ01,2,1209.703
2016,NUTS,2010,CZ01,2,1022.116
2017,NUTS,2010,CZ01,2,1216.815
2018,NUTS,2010,CZ01,2,1437.514
2019,NUTS,2010,CZ01,2,1562.709
2020,NUTS,2010,CZ01,2,1642.702
2011,NUTS,2010,CZ02,2,258.24
2012,NUTS,2010,CZ02,2,265.517
2013,NUTS,2010,CZ02,2,374.069
2014,NUTS,2010,CZ02,2,358.761
2015,NUTS,2010,CZ02,2,366.234
2016,NUTS,2010,CZ02,2,413.38
2017,NUTS,2010,CZ02,2,545.356
2018,NUTS,2010,CZ02,2,637.233
2019,NUTS,2010,CZ02,2,652.922
2020,NUTS,2010,CZ02,2,556.398
2011,NUTS,2010,CZ03,2,216.937
2012,NUTS,2010,CZ03,2,251.152
2013,NUTS,2010,CZ03,2,256.636
2014,NUTS,2010,CZ03,2,262.411
2015,NUTS,2010,CZ03,2,266.563
2016,NUTS,2010,CZ03,2,232.787
2017,NUTS,2010,CZ03,2,248.494
2018,NUTS,2010,CZ03,2,304.249
2019,NUTS,2010,CZ03,2,345.386
2020,NUTS,2010,CZ03,2,312.234
2011,NUTS,2010,CZ04,2,39.344
2012,NUTS,2010,CZ04,2,52.813
2013,NUTS,2010,CZ04,2,46.157
2014,NUTS,2010,CZ04,2,49.654
2015,NUTS,2010,CZ04,2,47.627
2016,NUTS,2010,CZ04,2,38.28
2017,NUTS,2010,CZ04,2,42.255
2018,NUTS,2010,CZ04,2,50.692
2019,NUTS,2010,CZ04,2,64.389
2020,NUTS,2010,CZ04,2,62.331
2011,NUTS,2010,CZ05,2,244.484
2012,NUTS,2010,CZ05,2,291.172
2013,NUTS,2010,CZ05,2,267.258
2014,NUTS,2010,CZ05,2,268.574
2015,NUTS,2010,CZ05,2,262.352
2016,NUTS,2010,CZ05,2,258.683
2017,NUTS,2010,CZ05,2,297.092
2018,NUTS,2010,CZ05,2,354.328
2019,NUTS,2010,CZ05,2,379.463
2020,NUTS,2010,CZ05,2,361.701
2011,NUTS,2010,CZ06,2,486.875
2012,NUTS,2010,CZ06,2,618.995
2013,NUTS,2010,CZ06,2,667.656
2014,NUTS,2010,CZ06,2,672.342
2015,NUTS,2010,CZ06,2,705.125
2016,NUTS,2010,CZ06,2,605.766
2017,NUTS,2010,CZ06,2,640.789
2018,NUTS,2010,CZ06,2,704.523
2019,NUTS,2010,CZ06,2,795.361
2020,NUTS,2010,CZ06,2,825.621
2011,NUTS,2010,CZ07,2,172.888
2012,NUTS,2010,CZ07,2,233.605
2013,NUTS,2010,CZ07,2,204.568
2014,NUTS,2010,CZ07,2,222.466
2015,NUTS,2010,CZ07,2,202.22
2016,NUTS,2010,CZ07,2,201.782
2017,NUTS,2010,CZ07,2,255.366
2018,NUTS,2010,CZ07,2,299.652
2019,NUTS,2010,CZ07,2,332.079
2020,NUTS,2010,CZ07,2,299.086
2011,NUTS,2010,CZ08,2,200.264
2012,NUTS,2010,CZ08,2,182.292
2013,NUTS,2010,CZ08,2,173.211
2014,NUTS,2010,CZ08,2,187.207
2015,NUTS,2010,CZ08,2,190.419
2016,NUTS,2010,CZ08,2,190.48
2017,NUTS,2010,CZ08,2,187.17
2018,NUTS,2010,CZ08,2,218.272
2019,NUTS,2010,CZ08,2,216.037
2020,NUTS,2010,CZ08,2,225.79
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,75569.073
2012,NUTS,2010,DE,0,79110.378
2013,NUTS,2010,DE,0,79729.508
2014,NUTS,2010,DE,0,84246.766
2015,NUTS,2010,DE,0,88781.819
2016,NUTS,2010,DE,0,92173.556
2017,NUTS,2010,DE,0,99553.616
2018,NUTS,2010,DE,0,104669.045
2019,NUTS,2010,DE,0,110025.41
2020,NUTS,2010,DE,0,105885.0
2011,NUTS,2010,DE1,1,19458.393
2013,NUTS,2010,DE1,1,20187.717
2015,NUTS,2010,DE1,1,22717.874
2017,NUTS,2010,DE1,1,27895.324
2019,NUTS,2010,DE1,1,30261.49
2011,NUTS,2010,DE11,2,10328.272
2013,NUTS,2010,DE11,2,10629.623
2015,NUTS,2010,DE11,2,12199.262
2017,NUTS,2010,DE11,2,15918.813
2019,NUTS,2010,DE11,2,16457.17
2011,NUTS,2010,DE12,2,4211.012
2013,NUTS,2010,DE12,2,4518.899
2015,NUTS,2010,DE12,2,5158.716
2017,NUTS,2010,DE12,2,5923.091
2019,NUTS,2010,DE12,2,6830.49
2011,NUTS,2010,DE13,2,1916.985
2013,NUTS,2010,DE13,2,1930.577
2015,NUTS,2010,DE13,2,2081.216
2017,NUTS,2010,DE13,2,2313.348
2019,NUTS,2010,DE13,2,2601.85
2011,NUTS,2010,DE14,2,3002.123
2013,NUTS,2010,DE14,2,3108.518
2015,NUTS,2010,DE14,2,3278.68
2017,NUTS,2010,DE14,2,3740.171
2019,NUTS,2010,DE14,2,4371.98
2011,NUTS,2010,DE2,1,14396.726
2013,NUTS,2010,DE2,1,15922.07
2015,NUTS,2010,DE2,1,17342.839
2017,NUTS,2010,DE2,1,18684.253
2019,NUTS,2010,DE2,1,21687.96
2011,NUTS,2010,DE21,2,8655.142
2013,NUTS,2010,DE21,2,9801.59
2015,NUTS,2010,DE21,2,10548.858
2017,NUTS,2010,DE21,2,10695.678
2019,NUTS,2010,DE21,2,12582.56
2015,NUTS,2010,DE22,2,548.987
2017,NUTS,2010,DE22,2,631.621
2019,NUTS,2010,DE22,2,797.31
2015,NUTS,2010,DE23,2,844.252
2017,NUTS,2010,DE23,2,1134.887
2019,NUTS,2010,DE23,2,1317.5
2011,NUTS,2010,DE24,2,565.594
2013,NUTS,2010,DE24,2,622.495
2015,NUTS,2010,DE24,2,702.219
2017,NUTS,2010,DE24,2,830.761
2019,NUTS,2010,DE24,2,1059.64
2011,NUTS,2010,DE25,2,2153.024
2013,NUTS,2010,DE25,2,2436.608
2015,NUTS,2010,DE25,2,2629.948
2017,NUTS,2010,DE25,2,2745.744
2019,NUTS,2010,DE25,2,3064.91
2011,NUTS,2010,DE26,2,1004.646
2013,NUTS,2010,DE26,2,1058.099
2015,NUTS,2010,DE26,2,1007.535
2017,NUTS,2010,DE26,2,1479.286
2019,NUTS,2010,DE26,2,1577.26
2011,NUTS,2010,DE27,2,736.429
2013,NUTS,2010,DE27,2,784.042
2015,NUTS,2010,DE27,2,1059.04
2017,NUTS,2010,DE27,2,1166.176
2019,NUTS,2010,DE27,2,1288.78
2011,NUTS,2010,DE3,1,3597.501
2013,NUTS,2010,DE3,1,4007.942
2015,NUTS,2010,DE3,1,4396.424
2017,NUTS,2010,DE3,1,4742.507
2019,NUTS,2010,DE3,1,5221.56
2011,NUTS,2010,DE30,2,3597.501
2013,NUTS,2010,DE30,2,4007.942
2015,NUTS,2010,DE30,2,4396.424
2017,NUTS,2010,DE30,2,4742.507
2019,NUTS,2010,DE30,2,5221.56
2011,NUTS,2010,DE4,1,950.532
2013,NUTS,2010,DE4,1,932.985
2015,NUTS,2010,DE4,1,1089.191
2017,NUTS,2010,DE4,1,1192.372
2019,NUTS,2010,DE4,1,1355.63
2011,NUTS,2010,DE40,2,950.532
2013,NUTS,2010,DE40,2,932.985
2015,NUTS,2010,DE40,2,1089.191
2017,NUTS,2010,DE40,2,1192.372
2019,NUTS,2010,DE40,2,1355.63
2011,NUTS,2010,DE5,1,750.3
2013,NUTS,2010,DE5,1,791.165
2015,NUTS,2010,DE5,1,865.574
2017,NUTS,2010,DE5,1,907.384
2019,NUTS,2010,DE5,1,1004.89
2011,NUTS,2010,DE50,2,750.3
2013,NUTS,2010,DE50,2,791.165
2015,NUTS,2010,DE50,2,865.574
2017,NUTS,2010,DE50,2,907.384
2019,NUTS,2010,DE50,2,1004.89
2011,NUTS,2010,DE6,1,2095.005
2013,NUTS,2010,DE6,1,2303.621
2015,NUTS,2010,DE6,1,2418.245
2017,NUTS,2010,DE6,1,2495.817
2019,NUTS,2010,DE6,1,2694.47
2011,NUTS,2010,DE60,2,2095.005
2013,NUTS,2010,DE60,2,2313.621
2015,NUTS,2010,DE60,2,2418.245
2017,NUTS,2010,DE60,2,2495.817
2019,NUTS,2010,DE60,2,2694.47
2011,NUTS,2010,DE7,1,6824.715
2013,NUTS,2010,DE7,1,6856.23
2015,NUTS,2010,DE7,1,7395.827
2017,NUTS,2010,DE7,1,8174.496
2019,NUTS,2010,DE7,1,9116.37
2011,NUTS,2010,DE71,2,5548.831
2013,NUTS,2010,DE71,2,5409.933
2015,NUTS,2010,DE71,2,5912.639
2017,NUTS,2010,DE71,2,6561.113
2019,NUTS,2010,DE71,2,7353.76
2011,NUTS,2010,DE72,2,641.778
2013,NUTS,2010,DE72,2,736.3
2015,NUTS,2010,DE72,2,829.44
2017,NUTS,2010,DE72,2,901.072
2019,NUTS,2010,DE72,2,834.6
2011,NUTS,2010,DE73,2,634.207
2013,NUTS,2010,DE73,2,709.997
2015,NUTS,2010,DE73,2,652.748
2017,NUTS,2010,DE73,2,712.311
2019,NUTS,2010,DE73,2,928.0
2011,NUTS,2010,DE8,1,741.539
2013,NUTS,2010,DE8,1,681.269
2015,NUTS,2010,DE8,1,751.992
2017,NUTS,2010,DE8,1,784.007
2019,NUTS,2010,DE8,1,845.01
2011,NUTS,2010,DE80,2,741.539
2013,NUTS,2010,DE80,2,681.269
2015,NUTS,2010,DE80,2,751.992
2017,NUTS,2010,DE80,2,784.007
2019,NUTS,2010,DE80,2,845.01
2011,NUTS,2010,DE9,1,6461.083
2013,NUTS,2010,DE9,1,6999.963
2015,NUTS,2010,DE9,1,8865.699
2017,NUTS,2010,DE9,1,8921.263
2019,NUTS,2010,DE9,1,9628.04
2011,NUTS,2010,DE91,2,4053.502
2013,NUTS,2010,DE91,2,4379.839
2015,NUTS,2010,DE91,2,5904.067
2017,NUTS,2010,DE91,2,5875.971
2019,NUTS,2010,DE91,2,6228.85
2011,NUTS,2010,DE92,2,1504.835
2013,NUTS,2010,DE92,2,1605.877
2015,NUTS,2010,DE92,2,1778.203
2017,NUTS,2010,DE92,2,1812.184
2019,NUTS,2010,DE92,2,2038.14
2011,NUTS,2010,DE93,2,372.638
2013,NUTS,2010,DE93,2,430.409
2015,NUTS,2010,DE93,2,428.419
2017,NUTS,2010,DE93,2,425.921
2019,NUTS,2010,DE93,2,425.24
2011,NUTS,2010,DE94,2,530.108
2013,NUTS,2010,DE94,2,583.838
2015,NUTS,2010,DE94,2,754.009
2017,NUTS,2010,DE94,2,807.187
2019,NUTS,2010,DE94,2,935.81
2011,NUTS,2010,DEA,1,11536.012
2013,NUTS,2010,DEA,1,11740.355
2015,NUTS,2010,DEA,1,12672.713
2017,NUTS,2010,DEA,1,14319.21
2019,NUTS,2010,DEA,1,15509.28
2011,NUTS,2010,DEA1,2,3350.503
2013,NUTS,2010,DEA1,2,3181.277
2015,NUTS,2010,DEA1,2,3544.42
2017,NUTS,2010,DEA1,2,4121.557
2019,NUTS,2010,DEA1,2,4418.32
2011,NUTS,2010,DEA2,2,4700.793
2013,NUTS,2010,DEA2,2,4658.46
2015,NUTS,2010,DEA2,2,4953.293
2017,NUTS,2010,DEA2,2,5523.768
2019,NUTS,2010,DEA2,2,5925.6
2011,NUTS,2010,DEA3,2,765.301
2013,NUTS,2010,DEA3,2,824.006
2015,NUTS,2010,DEA3,2,907.009
2017,NUTS,2010,DEA3,2,1043.633
