year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_hc_total_t
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,874.0
2013,NUTS,2010,BA,0,1388.0
2014,NUTS,2010,BA,0,2596.0
2019,NUTS,2010,BA,0,2271.0
2011,NUTS,2010,BE,0,42341.0
2012,NUTS,2010,BE,0,42356.0
2013,NUTS,2010,BE,0,42981.0
2014,NUTS,2010,BE,0,46804.0
2015,NUTS,2010,BE,0,44858.0
2016,NUTS,2010,BE,0,45867.0
2017,NUTS,2010,BE,0,46389.0
2018,NUTS,2010,BE,0,50190.0
2019,NUTS,2010,BE,0,50161.0
2011,NUTS,2010,BE1,1,8966.0
2012,NUTS,2010,BE1,1,8862.0
2013,NUTS,2010,BE1,1,8915.0
2014,NUTS,2010,BE1,1,9937.0
2015,NUTS,2010,BE1,1,8813.0
2016,NUTS,2010,BE1,1,8991.0
2017,NUTS,2010,BE1,1,8764.0
2018,NUTS,2010,BE1,1,10410.0
2019,NUTS,2010,BE1,1,9877.0
2011,NUTS,2010,BE10,2,8966.0
2012,NUTS,2010,BE10,2,8862.0
2013,NUTS,2010,BE10,2,8915.0
2014,NUTS,2010,BE10,2,9937.0
2015,NUTS,2010,BE10,2,8813.0
2016,NUTS,2010,BE10,2,8991.0
2017,NUTS,2010,BE10,2,8764.0
2018,NUTS,2010,BE10,2,10410.0
2019,NUTS,2010,BE10,2,9877.0
2011,NUTS,2010,BE2,1,23632.0
2012,NUTS,2010,BE2,1,23843.0
2013,NUTS,2010,BE2,1,24480.0
2014,NUTS,2010,BE2,1,26394.0
2015,NUTS,2010,BE2,1,26710.0
2016,NUTS,2010,BE2,1,26547.0
2017,NUTS,2010,BE2,1,26662.0
2018,NUTS,2010,BE2,1,27990.0
2019,NUTS,2010,BE2,1,28560.0
2011,NUTS,2010,BE3,1,9743.0
2012,NUTS,2010,BE3,1,9651.0
2013,NUTS,2010,BE3,1,9586.0
2014,NUTS,2010,BE3,1,10473.0
2015,NUTS,2010,BE3,1,9335.0
2016,NUTS,2010,BE3,1,10329.0
2017,NUTS,2010,BE3,1,10963.0
2018,NUTS,2010,BE3,1,11790.0
2019,NUTS,2010,BE3,1,11724.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,8258.0
2012,NUTS,2010,BG,0,8368.0
2013,NUTS,2010,BG,0,8279.0
2014,NUTS,2010,BG,0,9795.0
2015,NUTS,2010,BG,0,9325.0
2016,NUTS,2010,BG,0,10025.0
2017,NUTS,2010,BG,0,9287.0
2018,NUTS,2010,BG,0,9765.0
2019,NUTS,2010,BG,0,9376.0
2011,NUTS,2010,BG3,1,3145.0
2012,NUTS,2010,BG3,1,3442.0
2013,NUTS,2010,BG3,1,3485.0
2014,NUTS,2010,BG3,1,4417.0
2015,NUTS,2010,BG3,1,4366.0
2016,NUTS,2010,BG3,1,3900.0
2017,NUTS,2010,BG3,1,4068.0
2018,NUTS,2010,BG3,1,4233.0
2019,NUTS,2010,BG3,1,4166.0
2011,NUTS,2010,BG32,2,1141.0
2012,NUTS,2010,BG32,2,1107.0
2013,NUTS,2010,BG32,2,1058.0
2014,NUTS,2010,BG32,2,1393.0
2015,NUTS,2010,BG32,2,1402.0
2016,NUTS,2010,BG32,2,1066.0
2017,NUTS,2010,BG32,2,1104.0
2018,NUTS,2010,BG32,2,1126.0
2019,NUTS,2010,BG32,2,978.0
2012,NUTS,2010,BG33,2,1289.0
2013,NUTS,2010,BG33,2,1397.0
2014,NUTS,2010,BG33,2,1939.0
2015,NUTS,2010,BG33,2,1937.0
2011,NUTS,2010,BG34,2,796.0
2016,NUTS,2010,BG34,2,890.0
2017,NUTS,2010,BG34,2,813.0
2011,NUTS,2010,BG4,1,5113.0
2012,NUTS,2010,BG4,1,4926.0
2013,NUTS,2010,BG4,1,4794.0
2014,NUTS,2010,BG4,1,5378.0
2015,NUTS,2010,BG4,1,4959.0
2016,NUTS,2010,BG4,1,6125.0
2017,NUTS,2010,BG4,1,5219.0
2018,NUTS,2010,BG4,1,5532.0
2019,NUTS,2010,BG4,1,5210.0
2012,NUTS,2010,BG41,2,3959.0
2013,NUTS,2010,BG41,2,3755.0
2014,NUTS,2010,BG41,2,4135.0
2015,NUTS,2010,BG41,2,3822.0
2016,NUTS,2010,BG41,2,5066.0
2017,NUTS,2010,BG41,2,3999.0
2018,NUTS,2010,BG41,2,4201.0
2019,NUTS,2010,BG41,2,3469.0
2012,NUTS,2010,BG42,2,967.0
2013,NUTS,2010,BG42,2,1039.0
2014,NUTS,2010,BG42,2,1243.0
2015,NUTS,2010,BG42,2,1137.0
2016,NUTS,2010,BG42,2,1059.0
2017,NUTS,2010,BG42,2,1220.0
2018,NUTS,2010,BG42,2,1331.0
2019,NUTS,2010,BG42,2,1741.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,64182.0
2015,NUTS,2010,CH,0,65456.0
2017,NUTS,2010,CH,0,67981.0
2019,NUTS,2010,CH,0,71860.0
2011,NUTS,2010,CN_X_HK,5,631772.0
2012,NUTS,2010,CN_X_HK,5,677787.0
2013,NUTS,2010,CN_X_HK,5,715430.0
2014,NUTS,2010,CN_X_HK,5,762794.0
2015,NUTS,2010,CN_X_HK,5,838786.0
2016,NUTS,2010,CN_X_HK,5,851764.0
2017,NUTS,2010,CN_X_HK,5,913590.0
2018,NUTS,2010,CN_X_HK,5,984292.0
2019,NUTS,2010,CN_X_HK,5,1233180.0
2011,NUTS,2010,CY,0,1436.0
2012,NUTS,2010,CY,0,1449.0
2013,NUTS,2010,CY,0,1764.0
2014,NUTS,2010,CY,0,1702.0
2015,NUTS,2010,CY,0,1685.0
2016,NUTS,2010,CY,0,1674.0
2017,NUTS,2010,CY,0,1751.0
2018,NUTS,2010,CY,0,1870.0
2019,NUTS,2010,CY,0,2030.0
2011,NUTS,2010,CZ,0,29149.0
2012,NUTS,2010,CZ,0,30301.0
2013,NUTS,2010,CZ,0,32173.0
2014,NUTS,2010,CZ,0,32680.0
2015,NUTS,2010,CZ,0,33891.0
2016,NUTS,2010,CZ,0,31915.0
2017,NUTS,2010,CZ,0,34234.0
2018,NUTS,2010,CZ,0,36177.0
2019,NUTS,2010,CZ,0,37442.0
2020,NUTS,2010,CZ,0,37871.0
2011,NUTS,2010,CZ0,1,29149.0
2012,NUTS,2010,CZ0,1,30301.0
2013,NUTS,2010,CZ0,1,32173.0
2014,NUTS,2010,CZ0,1,32680.0
2015,NUTS,2010,CZ0,1,33891.0
2016,NUTS,2010,CZ0,1,31915.0
2017,NUTS,2010,CZ0,1,34234.0
2018,NUTS,2010,CZ0,1,36177.0
2019,NUTS,2010,CZ0,1,37442.0
2020,NUTS,2010,CZ0,1,37871.0
2011,NUTS,2010,CZ01,2,11239.0
2012,NUTS,2010,CZ01,2,10468.0
2013,NUTS,2010,CZ01,2,11697.0
2014,NUTS,2010,CZ01,2,11886.0
2015,NUTS,2010,CZ01,2,11512.0
2016,NUTS,2010,CZ01,2,10575.0
2017,NUTS,2010,CZ01,2,12160.0
2018,NUTS,2010,CZ01,2,12849.0
2019,NUTS,2010,CZ01,2,13196.0
2020,NUTS,2010,CZ01,2,13196.0
2011,NUTS,2010,CZ02,2,169.0
2012,NUTS,2010,CZ02,2,190.0
2013,NUTS,2010,CZ02,2,286.0
2014,NUTS,2010,CZ02,2,393.0
2015,NUTS,2010,CZ02,2,405.0
2016,NUTS,2010,CZ02,2,338.0
2017,NUTS,2010,CZ02,2,347.0
2018,NUTS,2010,CZ02,2,364.0
2019,NUTS,2010,CZ02,2,387.0
2020,NUTS,2010,CZ02,2,393.0
2011,NUTS,2010,CZ03,2,3061.0
2012,NUTS,2010,CZ03,2,3012.0
2013,NUTS,2010,CZ03,2,3243.0
2014,NUTS,2010,CZ03,2,3405.0
2015,NUTS,2010,CZ03,2,3317.0
2016,NUTS,2010,CZ03,2,3338.0
2017,NUTS,2010,CZ03,2,3494.0
2018,NUTS,2010,CZ03,2,3652.0
2019,NUTS,2010,CZ03,2,3646.0
2020,NUTS,2010,CZ03,2,3546.0
2011,NUTS,2010,CZ04,2,364.0
2012,NUTS,2010,CZ04,2,354.0
2013,NUTS,2010,CZ04,2,516.0
2014,NUTS,2010,CZ04,2,532.0
2015,NUTS,2010,CZ04,2,535.0
2016,NUTS,2010,CZ04,2,528.0
2017,NUTS,2010,CZ04,2,548.0
2018,NUTS,2010,CZ04,2,612.0
2019,NUTS,2010,CZ04,2,524.0
2020,NUTS,2010,CZ04,2,640.0
2011,NUTS,2010,CZ05,2,2535.0
2012,NUTS,2010,CZ05,2,2375.0
2013,NUTS,2010,CZ05,2,2692.0
2014,NUTS,2010,CZ05,2,2646.0
2015,NUTS,2010,CZ05,2,2697.0
2016,NUTS,2010,CZ05,2,2669.0
2017,NUTS,2010,CZ05,2,2849.0
2018,NUTS,2010,CZ05,2,2960.0
2019,NUTS,2010,CZ05,2,3224.0
2020,NUTS,2010,CZ05,2,3261.0
2011,NUTS,2010,CZ06,2,6787.0
2012,NUTS,2010,CZ06,2,8122.0
2013,NUTS,2010,CZ06,2,8065.0
2014,NUTS,2010,CZ06,2,7828.0
2015,NUTS,2010,CZ06,2,9159.0
2016,NUTS,2010,CZ06,2,8111.0
2017,NUTS,2010,CZ06,2,8858.0
2018,NUTS,2010,CZ06,2,9293.0
2019,NUTS,2010,CZ06,2,9829.0
2020,NUTS,2010,CZ06,2,10156.0
2011,NUTS,2010,CZ07,2,2136.0
2012,NUTS,2010,CZ07,2,2608.0
2013,NUTS,2010,CZ07,2,2989.0
2014,NUTS,2010,CZ07,2,2970.0
2015,NUTS,2010,CZ07,2,3235.0
2016,NUTS,2010,CZ07,2,3261.0
2017,NUTS,2010,CZ07,2,2907.0
2018,NUTS,2010,CZ07,2,2995.0
2019,NUTS,2010,CZ07,2,3317.0
2020,NUTS,2010,CZ07,2,3385.0
2011,NUTS,2010,CZ08,2,2858.0
2012,NUTS,2010,CZ08,2,3172.0
2013,NUTS,2010,CZ08,2,2685.0
2014,NUTS,2010,CZ08,2,3020.0
2015,NUTS,2010,CZ08,2,3031.0
2016,NUTS,2010,CZ08,2,3095.0
2017,NUTS,2010,CZ08,2,3071.0
2018,NUTS,2010,CZ08,2,3452.0
2019,NUTS,2010,CZ08,2,3319.0
2020,NUTS,2010,CZ08,2,3294.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,312537.0
2012,NUTS,2010,DE,0,323394.0
2013,NUTS,2010,DE,0,335928.0
2014,NUTS,2010,DE,0,340112.0
2015,NUTS,2010,DE,0,343660.0
2016,NUTS,2010,DE,0,345145.0
2017,NUTS,2010,DE,0,352264.0
2018,NUTS,2010,DE,0,359808.0
2019,NUTS,2010,DE,0,364216.0
2011,NUTS,2010,DE1,1,46065.0
2012,NUTS,2010,DE1,1,48412.0
2013,NUTS,2010,DE1,1,48969.0
2014,NUTS,2010,DE1,1,50416.0
2015,NUTS,2010,DE1,1,50592.0
2016,NUTS,2010,DE1,1,50877.0
2017,NUTS,2010,DE1,1,52380.0
2018,NUTS,2010,DE1,1,53042.0
2019,NUTS,2010,DE1,1,52696.0
2011,NUTS,2010,DE11,2,8825.0
2012,NUTS,2010,DE11,2,9852.0
2013,NUTS,2010,DE11,2,9857.0
2014,NUTS,2010,DE11,2,9978.0
2015,NUTS,2010,DE11,2,10037.0
2016,NUTS,2010,DE11,2,10374.0
2017,NUTS,2010,DE11,2,10609.0
2018,NUTS,2010,DE11,2,10666.0
2019,NUTS,2010,DE11,2,10572.0
2011,NUTS,2010,DE12,2,16318.0
2012,NUTS,2010,DE12,2,16708.0
2013,NUTS,2010,DE12,2,16985.0
2014,NUTS,2010,DE12,2,17117.0
2015,NUTS,2010,DE12,2,16877.0
2016,NUTS,2010,DE12,2,16975.0
2017,NUTS,2010,DE12,2,17304.0
2018,NUTS,2010,DE12,2,17746.0
2019,NUTS,2010,DE12,2,17232.0
2011,NUTS,2010,DE13,2,10149.0
2012,NUTS,2010,DE13,2,10602.0
2013,NUTS,2010,DE13,2,10884.0
2014,NUTS,2010,DE13,2,11743.0
2015,NUTS,2010,DE13,2,11753.0
2016,NUTS,2010,DE13,2,11742.0
2017,NUTS,2010,DE13,2,12088.0
2018,NUTS,2010,DE13,2,12054.0
2019,NUTS,2010,DE13,2,12181.0
2011,NUTS,2010,DE14,2,10772.0
2012,NUTS,2010,DE14,2,11250.0
2013,NUTS,2010,DE14,2,11242.0
2014,NUTS,2010,DE14,2,11577.0
2015,NUTS,2010,DE14,2,11924.0
2016,NUTS,2010,DE14,2,11786.0
2017,NUTS,2010,DE14,2,12379.0
2018,NUTS,2010,DE14,2,12576.0
2019,NUTS,2010,DE14,2,12711.0
2011,NUTS,2010,DE2,1,44114.0
2012,NUTS,2010,DE2,1,46200.0
2013,NUTS,2010,DE2,1,49645.0
2014,NUTS,2010,DE2,1,50366.0
2015,NUTS,2010,DE2,1,50886.0
2016,NUTS,2010,DE2,1,50450.0
2017,NUTS,2010,DE2,1,51155.0
2018,NUTS,2010,DE2,1,52082.0
2019,NUTS,2010,DE2,1,54624.0
2011,NUTS,2010,DE21,2,20723.0
2012,NUTS,2010,DE21,2,21499.0
2013,NUTS,2010,DE21,2,23830.0
2014,NUTS,2010,DE21,2,24182.0
2015,NUTS,2010,DE21,2,24497.0
2016,NUTS,2010,DE21,2,23772.0
2017,NUTS,2010,DE21,2,23738.0
2018,NUTS,2010,DE21,2,23955.0
2019,NUTS,2010,DE21,2,24629.0
2011,NUTS,2010,DE22,2,1083.0
2012,NUTS,2010,DE22,2,1124.0
2013,NUTS,2010,DE22,2,1309.0
2014,NUTS,2010,DE22,2,1405.0
2015,NUTS,2010,DE22,2,1416.0
2016,NUTS,2010,DE22,2,1536.0
2017,NUTS,2010,DE22,2,1585.0
2018,NUTS,2010,DE22,2,1762.0
2019,NUTS,2010,DE22,2,1876.0
2011,NUTS,2010,DE23,2,3997.0
2012,NUTS,2010,DE23,2,4169.0
2013,NUTS,2010,DE23,2,4212.0
2014,NUTS,2010,DE23,2,4318.0
2015,NUTS,2010,DE23,2,4351.0
2016,NUTS,2010,DE23,2,4361.0
2017,NUTS,2010,DE23,2,4431.0
2018,NUTS,2010,DE23,2,4535.0
2019,NUTS,2010,DE23,2,4635.0
2011,NUTS,2010,DE24,2,3230.0
2012,NUTS,2010,DE24,2,3382.0
2013,NUTS,2010,DE24,2,3472.0
2014,NUTS,2010,DE24,2,3453.0
2015,NUTS,2010,DE24,2,3555.0
2016,NUTS,2010,DE24,2,3558.0
2017,NUTS,2010,DE24,2,3585.0
2018,NUTS,2010,DE24,2,3740.0
2019,NUTS,2010,DE24,2,3831.0
2011,NUTS,2010,DE25,2,7688.0
2012,NUTS,2010,DE25,2,8213.0
2013,NUTS,2010,DE25,2,8687.0
2014,NUTS,2010,DE25,2,8853.0
2015,NUTS,2010,DE25,2,8911.0
2016,NUTS,2010,DE25,2,9006.0
2017,NUTS,2010,DE25,2,9209.0
2018,NUTS,2010,DE25,2,9272.0
2019,NUTS,2010,DE25,2,9638.0
2011,NUTS,2010,DE26,2,5596.0
2012,NUTS,2010,DE26,2,5912.0
2013,NUTS,2010,DE26,2,6165.0
2014,NUTS,2010,DE26,2,6130.0
2015,NUTS,2010,DE26,2,5991.0
2016,NUTS,2010,DE26,2,6022.0
2017,NUTS,2010,DE26,2,6347.0
2018,NUTS,2010,DE26,2,6485.0
2019,NUTS,2010,DE26,2,6624.0
2011,NUTS,2010,DE27,2,1796.0
2012,NUTS,2010,DE27,2,1901.0
2013,NUTS,2010,DE27,2,1970.0
2014,NUTS,2010,DE27,2,2025.0
2015,NUTS,2010,DE27,2,2165.0
2016,NUTS,2010,DE27,2,2196.0
2017,NUTS,2010,DE27,2,2260.0
2018,NUTS,2010,DE27,2,2333.0
2019,NUTS,2010,DE27,2,3390.0
2011,NUTS,2010,DE3,1,18850.0
2012,NUTS,2010,DE3,1,20041.0
2013,NUTS,2010,DE3,1,20110.0
2014,NUTS,2010,DE3,1,20294.0
2015,NUTS,2010,DE3,1,20699.0
2016,NUTS,2010,DE3,1,20557.0
2017,NUTS,2010,DE3,1,20392.0
2018,NUTS,2010,DE3,1,20626.0
2019,NUTS,2010,DE3,1,21031.0
2011,NUTS,2010,DE30,2,18850.0
2012,NUTS,2010,DE30,2,20041.0
2013,NUTS,2010,DE30,2,20110.0
2014,NUTS,2010,DE30,2,20294.0
2015,NUTS,2010,DE30,2,20699.0
2016,NUTS,2010,DE30,2,20557.0
2017,NUTS,2010,DE30,2,20392.0
2018,NUTS,2010,DE30,2,20626.0
2019,NUTS,2010,DE30,2,21031.0
2011,NUTS,2010,DE4,1,5063.0
2012,NUTS,2010,DE4,1,5278.0
2013,NUTS,2010,DE4,1,5363.0
2014,NUTS,2010,DE4,1,5431.0
2015,NUTS,2010,DE4,1,5396.0
2016,NUTS,2010,DE4,1,5533.0
2017,NUTS,2010,DE4,1,5875.0
2018,NUTS,2010,DE4,1,6173.0
2019,NUTS,2010,DE4,1,6279.0
2011,NUTS,2010,DE40,2,5063.0
2012,NUTS,2010,DE40,2,5278.0
2013,NUTS,2010,DE40,2,5363.0
2014,NUTS,2010,DE40,2,5431.0
2015,NUTS,2010,DE40,2,5396.0
2016,NUTS,2010,DE40,2,5533.0
2017,NUTS,2010,DE40,2,5875.0
2018,NUTS,2010,DE40,2,6173.0
2019,NUTS,2010,DE40,2,6279.0
2011,NUTS,2010,DE5,1,3989.0
2012,NUTS,2010,DE5,1,3983.0
2013,NUTS,2010,DE5,1,4085.0
2014,NUTS,2010,DE5,1,4143.0
2015,NUTS,2010,DE5,1,4055.0
2016,NUTS,2010,DE5,1,4091.0
2017,NUTS,2010,DE5,1,4087.0
2018,NUTS,2010,DE5,1,4056.0
2019,NUTS,2010,DE5,1,4147.0
2011,NUTS,2010,DE50,2,3989.0
2012,NUTS,2010,DE50,2,3983.0
2013,NUTS,2010,DE50,2,4085.0
2014,NUTS,2010,DE50,2,4143.0
2015,NUTS,2010,DE50,2,4055.0
2016,NUTS,2010,DE50,2,4091.0
2017,NUTS,2010,DE50,2,4087.0
2018,NUTS,2010,DE50,2,4056.0
2019,NUTS,2010,DE50,2,4147.0
2011,NUTS,2010,DE6,1,9499.0
2012,NUTS,2010,DE6,1,9523.0
2013,NUTS,2010,DE6,1,10057.0
2014,NUTS,2010,DE6,1,10088.0
2015,NUTS,2010,DE6,1,10454.0
2016,NUTS,2010,DE6,1,10987.0
2017,NUTS,2010,DE6,1,11248.0
2018,NUTS,2010,DE6,1,11623.0
2019,NUTS,2010,DE6,1,12106.0
2011,NUTS,2010,DE60,2,9499.0
2012,NUTS,2010,DE60,2,9523.0
2013,NUTS,2010,DE60,2,10057.0
2014,NUTS,2010,DE60,2,10088.0
2015,NUTS,2010,DE60,2,10454.0
2016,NUTS,2010,DE60,2,10987.0
2017,NUTS,2010,DE60,2,11248.0
2018,NUTS,2010,DE60,2,11623.0
2019,NUTS,2010,DE60,2,12106.0
2011,NUTS,2010,DE7,1,22116.0
2012,NUTS,2010,DE7,1,21491.0
2013,NUTS,2010,DE7,1,23078.0
2014,NUTS,2010,DE7,1,23018.0
2015,NUTS,2010,DE7,1,23115.0
2016,NUTS,2010,DE7,1,23401.0
2017,NUTS,2010,DE7,1,23860.0
2018,NUTS,2010,DE7,1,24491.0
2019,NUTS,2010,DE7,1,24879.0
2011,NUTS,2010,DE71,2,11425.0
2012,NUTS,2010,DE71,2,10701.0
2013,NUTS,2010,DE71,2,11919.0
2014,NUTS,2010,DE71,2,12046.0
2015,NUTS,2010,DE71,2,12101.0
2016,NUTS,2010,DE71,2,12399.0
2017,NUTS,2010,DE71,2,12770.0
2018,NUTS,2010,DE71,2,13296.0
2019,NUTS,2010,DE71,2,13295.0
2011,NUTS,2010,DE72,2,7702.0
2012,NUTS,2010,DE72,2,7818.0
2013,NUTS,2010,DE72,2,8112.0
2014,NUTS,2010,DE72,2,7958.0
2015,NUTS,2010,DE72,2,7938.0
2016,NUTS,2010,DE72,2,7958.0
2017,NUTS,2010,DE72,2,7948.0
2018,NUTS,2010,DE72,2,8020.0
2019,NUTS,2010,DE72,2,8309.0
2011,NUTS,2010,DE73,2,2988.0
2012,NUTS,2010,DE73,2,2971.0
2013,NUTS,2010,DE73,2,3046.0
2014,NUTS,2010,DE73,2,3015.0
2015,NUTS,2010,DE73,2,3076.0
2016,NUTS,2010,DE73,2,3044.0
2017,NUTS,2010,DE73,2,3142.0
2018,NUTS,2010,DE73,2,3174.0
2019,NUTS,2010,DE73,2,3275.0
2011,NUTS,2010,DE8,1,6005.0
2012,NUTS,2010,DE8,1,6420.0
2013,NUTS,2010,DE8,1,6547.0
2014,NUTS,2010,DE8,1,6629.0
2015,NUTS,2010,DE8,1,6410.0
2016,NUTS,2010,DE8,1,6323.0
2017,NUTS,2010,DE8,1,6444.0
2018,NUTS,2010,DE8,1,6404.0
2019,NUTS,2010,DE8,1,6600.0
2011,NUTS,2010,DE80,2,6005.0
2012,NUTS,2010,DE80,2,6420.0
2013,NUTS,2010,DE80,2,6547.0
2014,NUTS,2010,DE80,2,6629.0
2015,NUTS,2010,DE80,2,6410.0
2016,NUTS,2010,DE80,2,6323.0
2017,NUTS,2010,DE80,2,6444.0
2018,NUTS,2010,DE80,2,6404.0
2019,NUTS,2010,DE80,2,6600.0
2011,NUTS,2010,DE9,1,25166.0
2012,NUTS,2010,DE9,1,26075.0
2013,NUTS,2010,DE9,1,26976.0
2014,NUTS,2010,DE9,1,27156.0
2015,NUTS,2010,DE9,1,27094.0
2016,NUTS,2010,DE9,1,27288.0
2017,NUTS,2010,DE9,1,27893.0
2018,NUTS,2010,DE9,1,28408.0
2019,NUTS,2010,DE9,1,28309.0
2011,NUTS,2010,DE91,2,10570.0
2012,NUTS,2010,DE91,2,10880.0
2013,NUTS,2010,DE91,2,11271.0
2014,NUTS,2010,DE91,2,11038.0
2015,NUTS,2010,DE91,2,11078.0
2016,NUTS,2010,DE91,2,11309.0
2017,NUTS,2010,DE91,2,11580.0
2018,NUTS,2010,DE91,2,11999.0
2019,NUTS,2010,DE91,2,11808.0
2011,NUTS,2010,DE92,2,8944.0
2012,NUTS,2010,DE92,2,9069.0
2013,NUTS,2010,DE92,2,9482.0
2014,NUTS,2010,DE92,2,9502.0
2015,NUTS,2010,DE92,2,9610.0
2016,NUTS,2010,DE92,2,9724.0
2017,NUTS,2010,DE92,2,9992.0
2018,NUTS,2010,DE92,2,10053.0
2019,NUTS,2010,DE92,2,10117.0
2011,NUTS,2010,DE93,2,898.0
2012,NUTS,2010,DE93,2,1153.0
2013,NUTS,2010,DE93,2,1140.0
2014,NUTS,2010,DE93,2,1079.0
2015,NUTS,2010,DE93,2,852.0
2016,NUTS,2010,DE93,2,849.0
2017,NUTS,2010,DE93,2,874.0
2018,NUTS,2010,DE93,2,869.0
2019,NUTS,2010,DE93,2,818.0
2011,NUTS,2010,DE94,2,4753.0
2012,NUTS,2010,DE94,2,4973.0
2013,NUTS,2010,DE94,2,5084.0
2014,NUTS,2010,DE94,2,5537.0
2015,NUTS,2010,DE94,2,5554.0
2016,NUTS,2010,DE94,2,5406.0
2017,NUTS,2010,DE94,2,5446.0
2018,NUTS,2010,DE94,2,5488.0
2019,NUTS,2010,DE94,2,5566.0
2011,NUTS,2010,DEA,1,61039.0
2012,NUTS,2010,DEA,1,63289.0
2013,NUTS,2010,DEA,1,66370.0
2014,NUTS,2010,DEA,1,68162.0
2015,NUTS,2010,DEA,1,69174.0
2016,NUTS,2010,DEA,1,70517.0
2017,NUTS,2010,DEA,1,73308.0
2018,NUTS,2010,DEA,1,74963.0
2019,NUTS,2010,DEA,1,75183.0
2011,NUTS,2010,DEA1,2,11860.0
2012,NUTS,2010,DEA1,2,13006.0
2013,NUTS,2010,DEA1,2,13540.0
2014,NUTS,2010,DEA1,2,14074.0
