year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_total_hc_f
2015,NUTS,2010,CZ0,1,135.0
2016,NUTS,2010,CZ0,1,127.0
2017,NUTS,2010,CZ0,1,144.0
2018,NUTS,2010,CZ0,1,119.0
2019,NUTS,2010,CZ0,1,179.0
2020,NUTS,2010,CZ0,1,190.0
2011,NUTS,2010,CZ01,2,109.0
2012,NUTS,2010,CZ01,2,86.0
2013,NUTS,2010,CZ01,2,79.0
2014,NUTS,2010,CZ01,2,84.0
2015,NUTS,2010,CZ01,2,71.0
2016,NUTS,2010,CZ01,2,83.0
2017,NUTS,2010,CZ01,2,79.0
2018,NUTS,2010,CZ01,2,68.0
2019,NUTS,2010,CZ01,2,93.0
2020,NUTS,2010,CZ01,2,109.0
2011,NUTS,2010,CZ02,2,2.0
2012,NUTS,2010,CZ02,2,2.0
2013,NUTS,2010,CZ02,2,8.0
2014,NUTS,2010,CZ02,2,11.0
2015,NUTS,2010,CZ02,2,10.0
2016,NUTS,2010,CZ02,2,1.0
2017,NUTS,2010,CZ02,2,0.0
2018,NUTS,2010,CZ02,2,1.0
2019,NUTS,2010,CZ02,2,1.0
2020,NUTS,2010,CZ02,2,5.0
2011,NUTS,2010,CZ03,2,16.0
2012,NUTS,2010,CZ03,2,20.0
2013,NUTS,2010,CZ03,2,17.0
2014,NUTS,2010,CZ03,2,18.0
2015,NUTS,2010,CZ03,2,32.0
2016,NUTS,2010,CZ03,2,30.0
2017,NUTS,2010,CZ03,2,34.0
2018,NUTS,2010,CZ03,2,33.0
2019,NUTS,2010,CZ03,2,31.0
2020,NUTS,2010,CZ03,2,35.0
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,3.0
2019,NUTS,2010,CZ04,2,3.0
2020,NUTS,2010,CZ04,2,3.0
2011,NUTS,2010,CZ05,2,2.0
2012,NUTS,2010,CZ05,2,2.0
2013,NUTS,2010,CZ05,2,2.0
2014,NUTS,2010,CZ05,2,0.0
2015,NUTS,2010,CZ05,2,0.0
2016,NUTS,2010,CZ05,2,0.0
2017,NUTS,2010,CZ05,2,17.0
2019,NUTS,2010,CZ05,2,10.0
2020,NUTS,2010,CZ05,2,14.0
2011,NUTS,2010,CZ06,2,28.0
2012,NUTS,2010,CZ06,2,15.0
2013,NUTS,2010,CZ06,2,12.0
2014,NUTS,2010,CZ06,2,17.0
2015,NUTS,2010,CZ06,2,14.0
2016,NUTS,2010,CZ06,2,2.0
2017,NUTS,2010,CZ06,2,6.0
2018,NUTS,2010,CZ06,2,8.0
2019,NUTS,2010,CZ06,2,13.0
2020,NUTS,2010,CZ06,2,9.0
2011,NUTS,2010,CZ07,2,13.0
2012,NUTS,2010,CZ07,2,9.0
2013,NUTS,2010,CZ07,2,3.0
2014,NUTS,2010,CZ07,2,3.0
2015,NUTS,2010,CZ07,2,2.0
2016,NUTS,2010,CZ07,2,2.0
2017,NUTS,2010,CZ07,2,2.0
2018,NUTS,2010,CZ07,2,0.0
2019,NUTS,2010,CZ07,2,7.0
2020,NUTS,2010,CZ07,2,7.0
2011,NUTS,2010,CZ08,2,1.0
2012,NUTS,2010,CZ08,2,2.0
2013,NUTS,2010,CZ08,2,1.0
2014,NUTS,2010,CZ08,2,9.0
2015,NUTS,2010,CZ08,2,6.0
2016,NUTS,2010,CZ08,2,9.0
2017,NUTS,2010,CZ08,2,5.0
2018,NUTS,2010,CZ08,2,6.0
2019,NUTS,2010,CZ08,2,21.0
2020,NUTS,2010,CZ08,2,8.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DK,0,249.0
2012,NUTS,2010,DK,0,290.0
2013,NUTS,2010,DK,0,264.0
2014,NUTS,2010,DK,0,271.0
2015,NUTS,2010,DK,0,290.0
2016,NUTS,2010,DK,0,290.0
2017,NUTS,2010,DK,0,227.0
2018,NUTS,2010,DK,0,194.0
2019,NUTS,2010,DK,0,231.0
2011,NUTS,2010,DK0,1,249.0
2012,NUTS,2010,DK0,1,290.0
2013,NUTS,2010,DK0,1,264.0
2014,NUTS,2010,DK0,1,271.0
2015,NUTS,2010,DK0,1,290.0
2016,NUTS,2010,DK0,1,290.0
2017,NUTS,2010,DK0,1,227.0
2018,NUTS,2010,DK0,1,194.0
2019,NUTS,2010,DK0,1,231.0
2011,NUTS,2010,DK01,2,238.0
2012,NUTS,2010,DK01,2,272.0
2013,NUTS,2010,DK01,2,257.0
2014,NUTS,2010,DK01,2,264.0
2015,NUTS,2010,DK01,2,273.0
2016,NUTS,2010,DK01,2,268.0
2017,NUTS,2010,DK01,2,212.0
2019,NUTS,2010,DK01,2,222.0
2011,NUTS,2010,DK02,2,11.0
2012,NUTS,2010,DK02,2,11.0
2013,NUTS,2010,DK02,2,0.0
2014,NUTS,2010,DK02,2,0.0
2015,NUTS,2010,DK02,2,8.0
2016,NUTS,2010,DK02,2,11.0
2017,NUTS,2010,DK02,2,9.0
2019,NUTS,2010,DK02,2,9.0
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,7.0
2013,NUTS,2010,DK03,2,7.0
2014,NUTS,2010,DK03,2,7.0
2015,NUTS,2010,DK03,2,9.0
2016,NUTS,2010,DK03,2,11.0
2017,NUTS,2010,DK03,2,6.0
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,6.0
2011,NUTS,2010,EA19,2,14459.0
2012,NUTS,2010,EA19,2,14413.0
2013,NUTS,2010,EA19,2,11719.0
2014,NUTS,2010,EA19,2,12595.0
2016,NUTS,2010,EA19,2,13456.0
2017,NUTS,2010,EA19,2,13277.0
2011,NUTS,2010,EE,0,80.0
2012,NUTS,2010,EE,0,95.0
2013,NUTS,2010,EE,0,80.0
2014,NUTS,2010,EE,0,77.0
2015,NUTS,2010,EE,0,72.0
2016,NUTS,2010,EE,0,86.0
2017,NUTS,2010,EE,0,77.0
2018,NUTS,2010,EE,0,90.0
2019,NUTS,2010,EE,0,84.0
2011,NUTS,2010,EL,0,323.0
2013,NUTS,2010,EL,0,446.0
2015,NUTS,2010,EL,0,449.0
2017,NUTS,2010,EL,0,500.0
2019,NUTS,2010,EL,0,382.0
2011,NUTS,2010,EL3,1,280.0
2011,NUTS,2010,EL30,2,280.0
2011,NUTS,2010,EL4,1,7.0
2011,NUTS,2010,EL41,2,2.0
2011,NUTS,2010,EL42,2,5.0
2011,NUTS,2010,EL43,2,0.0
2011,NUTS,2010,EL5,1,33.0
2011,NUTS,2010,EL51,2,0.0
2011,NUTS,2010,EL52,2,28.0
2011,NUTS,2010,EL53,2,3.0
2011,NUTS,2010,EL54,2,2.0
2011,NUTS,2010,EL6,1,3.0
2011,NUTS,2010,EL61,2,0.0
2011,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,2.0
2011,NUTS,2010,EL65,2,1.0
2011,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZ,1,0.0
2011,NUTS,2010,ELZZ,2,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,435.0
2012,NUTS,2010,ES,0,427.0
2013,NUTS,2010,ES,0,399.0
2014,NUTS,2010,ES,0,389.0
2015,NUTS,2010,ES,0,427.0
2016,NUTS,2010,ES,0,515.0
2017,NUTS,2010,ES,0,500.0
2018,NUTS,2010,ES,0,479.0
2019,NUTS,2010,ES,0,449.0
2011,NUTS,2010,ES1,1,42.0
2012,NUTS,2010,ES1,1,37.0
2013,NUTS,2010,ES1,1,35.0
2015,NUTS,2010,ES1,1,44.0
2016,NUTS,2010,ES1,1,54.0
2017,NUTS,2010,ES1,1,59.0
2018,NUTS,2010,ES1,1,60.0
2014,NUTS,2010,ES11,2,8.0
2015,NUTS,2010,ES11,2,10.0
2016,NUTS,2010,ES11,2,27.0
2017,NUTS,2010,ES11,2,33.0
2018,NUTS,2010,ES11,2,31.0
2019,NUTS,2010,ES11,2,30.0
2012,NUTS,2010,ES12,2,5.0
2013,NUTS,2010,ES12,2,2.0
2014,NUTS,2010,ES12,2,3.0
2015,NUTS,2010,ES12,2,3.0
2016,NUTS,2010,ES12,2,1.0
2017,NUTS,2010,ES12,2,2.0
2018,NUTS,2010,ES12,2,2.0
2019,NUTS,2010,ES12,2,1.0
2011,NUTS,2010,ES13,2,37.0
2015,NUTS,2010,ES13,2,31.0
2016,NUTS,2010,ES13,2,26.0
2017,NUTS,2010,ES13,2,24.0
2018,NUTS,2010,ES13,2,27.0
2011,NUTS,2010,ES2,1,36.0
2013,NUTS,2010,ES2,1,43.0
2015,NUTS,2010,ES2,1,43.0
2019,NUTS,2010,ES2,1,21.0
2011,NUTS,2010,ES21,2,22.0
2012,NUTS,2010,ES21,2,29.0
2013,NUTS,2010,ES21,2,24.0
2014,NUTS,2010,ES21,2,21.0
2015,NUTS,2010,ES21,2,29.0
2016,NUTS,2010,ES21,2,28.0
2017,NUTS,2010,ES21,2,25.0
2018,NUTS,2010,ES21,2,11.0
2019,NUTS,2010,ES21,2,15.0
2011,NUTS,2010,ES22,2,6.0
2015,NUTS,2010,ES22,2,6.0
2011,NUTS,2010,ES23,2,2.0
2012,NUTS,2010,ES23,2,4.0
2014,NUTS,2010,ES23,2,1.0
2015,NUTS,2010,ES23,2,0.0
2016,NUTS,2010,ES23,2,0.0
2017,NUTS,2010,ES23,2,0.0
2018,NUTS,2010,ES23,2,1.0
2011,NUTS,2010,ES24,2,6.0
2012,NUTS,2010,ES24,2,8.0
2013,NUTS,2010,ES24,2,6.0
2014,NUTS,2010,ES24,2,7.0
2015,NUTS,2010,ES24,2,8.0
2016,NUTS,2010,ES24,2,5.0
2017,NUTS,2010,ES24,2,5.0
2018,NUTS,2010,ES24,2,3.0
2011,NUTS,2010,ES3,1,117.0
2012,NUTS,2010,ES3,1,128.0
2013,NUTS,2010,ES3,1,119.0
2014,NUTS,2010,ES3,1,110.0
2015,NUTS,2010,ES3,1,126.0
2016,NUTS,2010,ES3,1,143.0
2017,NUTS,2010,ES3,1,155.0
2018,NUTS,2010,ES3,1,202.0
2019,NUTS,2010,ES3,1,189.0
2011,NUTS,2010,ES30,2,117.0
2012,NUTS,2010,ES30,2,128.0
2013,NUTS,2010,ES30,2,119.0
2014,NUTS,2010,ES30,2,110.0
2015,NUTS,2010,ES30,2,126.0
2016,NUTS,2010,ES30,2,143.0
2017,NUTS,2010,ES30,2,155.0
2018,NUTS,2010,ES30,2,202.0
2019,NUTS,2010,ES30,2,189.0
2011,NUTS,2010,ES4,1,56.0
2013,NUTS,2010,ES4,1,21.0
2014,NUTS,2010,ES4,1,19.0
2015,NUTS,2010,ES4,1,49.0
2016,NUTS,2010,ES4,1,40.0
2018,NUTS,2010,ES4,1,41.0
2019,NUTS,2010,ES4,1,28.0
2012,NUTS,2010,ES41,2,16.0
2013,NUTS,2010,ES41,2,12.0
2014,NUTS,2010,ES41,2,11.0
2015,NUTS,2010,ES41,2,15.0
2017,NUTS,2010,ES41,2,13.0
2018,NUTS,2010,ES41,2,13.0
2019,NUTS,2010,ES41,2,11.0
2013,NUTS,2010,ES42,2,2.0
2014,NUTS,2010,ES42,2,2.0
2015,NUTS,2010,ES42,2,26.0
2017,NUTS,2010,ES42,2,24.0
2011,NUTS,2010,ES43,2,5.0
2013,NUTS,2010,ES43,2,7.0
2014,NUTS,2010,ES43,2,6.0
2015,NUTS,2010,ES43,2,8.0
2016,NUTS,2010,ES43,2,9.0
2011,NUTS,2010,ES5,1,136.0
2012,NUTS,2010,ES5,1,133.0
2013,NUTS,2010,ES5,1,131.0
2014,NUTS,2010,ES5,1,137.0
2015,NUTS,2010,ES5,1,129.0
2016,NUTS,2010,ES5,1,198.0
2017,NUTS,2010,ES5,1,158.0
2018,NUTS,2010,ES5,1,129.0
2011,NUTS,2010,ES51,2,103.0
2012,NUTS,2010,ES51,2,98.0
2013,NUTS,2010,ES51,2,96.0
2014,NUTS,2010,ES51,2,101.0
2015,NUTS,2010,ES51,2,103.0
2016,NUTS,2010,ES51,2,174.0
2017,NUTS,2010,ES51,2,136.0
2018,NUTS,2010,ES51,2,121.0
2019,NUTS,2010,ES51,2,121.0
2011,NUTS,2010,ES52,2,25.0
2012,NUTS,2010,ES52,2,25.0
2013,NUTS,2010,ES52,2,29.0
2014,NUTS,2010,ES52,2,31.0
2015,NUTS,2010,ES52,2,21.0
2016,NUTS,2010,ES52,2,19.0
2017,NUTS,2010,ES52,2,17.0
2018,NUTS,2010,ES52,2,5.0
2019,NUTS,2010,ES52,2,5.0
2011,NUTS,2010,ES53,2,8.0
2012,NUTS,2010,ES53,2,10.0
2013,NUTS,2010,ES53,2,6.0
2014,NUTS,2010,ES53,2,5.0
2015,NUTS,2010,ES53,2,5.0
2016,NUTS,2010,ES53,2,5.0
2017,NUTS,2010,ES53,2,5.0
2018,NUTS,2010,ES53,2,3.0
2011,NUTS,2010,ES6,1,44.0
2012,NUTS,2010,ES6,1,55.0
2013,NUTS,2010,ES6,1,45.0
2014,NUTS,2010,ES6,1,42.0
2015,NUTS,2010,ES6,1,30.0
2016,NUTS,2010,ES6,1,36.0
2017,NUTS,2010,ES6,1,34.0
2018,NUTS,2010,ES6,1,24.0
2019,NUTS,2010,ES6,1,26.0
2011,NUTS,2010,ES61,2,38.0
2012,NUTS,2010,ES61,2,49.0
2013,NUTS,2010,ES61,2,43.0
2014,NUTS,2010,ES61,2,38.0
2015,NUTS,2010,ES61,2,22.0
2016,NUTS,2010,ES61,2,28.0
2017,NUTS,2010,ES61,2,28.0
2018,NUTS,2010,ES61,2,23.0
2019,NUTS,2010,ES61,2,25.0
2012,NUTS,2010,ES62,2,5.0
2013,NUTS,2010,ES62,2,2.0
2014,NUTS,2010,ES62,2,4.0
2015,NUTS,2010,ES62,2,8.0
2016,NUTS,2010,ES62,2,8.0
2018,NUTS,2010,ES62,2,1.0
2019,NUTS,2010,ES62,2,1.0
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,4.0
2012,NUTS,2010,ES7,1,5.0
2013,NUTS,2010,ES7,1,5.0
2014,NUTS,2010,ES7,1,6.0
2015,NUTS,2010,ES7,1,6.0
2016,NUTS,2010,ES7,1,6.0
2017,NUTS,2010,ES7,1,6.0
2018,NUTS,2010,ES7,1,2.0
2011,NUTS,2010,ES70,2,4.0
2012,NUTS,2010,ES70,2,5.0
2013,NUTS,2010,ES70,2,5.0
2014,NUTS,2010,ES70,2,6.0
2015,NUTS,2010,ES70,2,6.0
2016,NUTS,2010,ES70,2,6.0
2017,NUTS,2010,ES70,2,6.0
2018,NUTS,2010,ES70,2,2.0
2011,NUTS,2010,ESZ,1,0.0
2011,NUTS,2010,ESZZ,2,0.0
2011,NUTS,2010,EU27_2020,7,15348.0
2012,NUTS,2010,EU27_2020,7,15400.0
2013,NUTS,2010,EU27_2020,7,12637.0
2014,NUTS,2010,EU27_2020,7,13616.0
2016,NUTS,2010,EU27_2020,7,14787.0
2017,NUTS,2010,EU27_2020,7,15081.0
2011,NUTS,2010,FI,0,541.0
2012,NUTS,2010,FI,0,516.0
2013,NUTS,2010,FI,0,508.0
2014,NUTS,2010,FI,0,547.0
2015,NUTS,2010,FI,0,547.0
2016,NUTS,2010,FI,0,563.0
2017,NUTS,2010,FI,0,563.0
2018,NUTS,2010,FI,0,594.0
2019,NUTS,2010,FI,0,619.0
2011,NUTS,2010,FR,0,4028.0
2012,NUTS,2010,FR,0,4414.0
2013,NUTS,2010,FR,0,4457.0
2014,NUTS,2010,FR,0,4911.0
2016,NUTS,2010,FR,0,5028.0
2017,NUTS,2010,FR,0,4903.0
2011,NUTS,2010,HR,0,15.0
2011,NUTS,2010,HR0,1,15.0
2011,NUTS,2010,HR03,2,15.0
2011,NUTS,2010,HR04,2,0.0
2012,NUTS,2010,HR04,2,0.0
2013,NUTS,2010,HRZ,1,0.0
2014,NUTS,2010,HRZ,1,0.0
2013,NUTS,2010,HRZZ,2,0.0
2014,NUTS,2010,HRZZ,2,0.0
2011,NUTS,2010,IS,0,88.0
2016,NUTS,2010,IS,0,0.0
2017,NUTS,2010,IS,0,0.0
2018,NUTS,2010,IS,0,0.0
2011,NUTS,2010,IT,0,4420.0
2012,NUTS,2010,IT,0,4468.0
2013,NUTS,2010,IT,0,4615.0
2014,NUTS,2010,IT,0,4937.0
2015,NUTS,2010,IT,0,5312.0
2016,NUTS,2010,IT,0,5196.0
2017,NUTS,2010,IT,0,5065.0
2018,NUTS,2010,IT,0,4794.0
2019,NUTS,2010,IT,0,5830.0
2011,NUTS,2010,ITC,1,2441.0
2012,NUTS,2010,ITC,1,2407.0
2013,NUTS,2010,ITC,1,2484.0
2014,NUTS,2010,ITC,1,2264.0
2015,NUTS,2010,ITC,1,2360.0
2016,NUTS,2010,ITC,1,2400.0
2017,NUTS,2010,ITC,1,1927.0
2018,NUTS,2010,ITC,1,1971.0
2019,NUTS,2010,ITC,1,2135.0
2011,NUTS,2010,ITC1,2,384.0
2012,NUTS,2010,ITC1,2,499.0
2013,NUTS,2010,ITC1,2,564.0
2014,NUTS,2010,ITC1,2,487.0
2015,NUTS,2010,ITC1,2,481.0
2016,NUTS,2010,ITC1,2,460.0
2017,NUTS,2010,ITC1,2,391.0
2018,NUTS,2010,ITC1,2,417.0
2019,NUTS,2010,ITC1,2,454.0
2011,NUTS,2010,ITC2,2,14.0
2012,NUTS,2010,ITC2,2,24.0
2013,NUTS,2010,ITC2,2,26.0
2014,NUTS,2010,ITC2,2,23.0
2015,NUTS,2010,ITC2,2,22.0
2016,NUTS,2010,ITC2,2,20.0
2017,NUTS,2010,ITC2,2,21.0
2018,NUTS,2010,ITC2,2,25.0
2019,NUTS,2010,ITC2,2,28.0
2011,NUTS,2010,ITC3,2,120.0
2012,NUTS,2010,ITC3,2,126.0
2013,NUTS,2010,ITC3,2,135.0
2014,NUTS,2010,ITC3,2,99.0
2015,NUTS,2010,ITC3,2,132.0
2016,NUTS,2010,ITC3,2,106.0
2017,NUTS,2010,ITC3,2,88.0
2018,NUTS,2010,ITC3,2,97.0
2019,NUTS,2010,ITC3,2,172.0
2011,NUTS,2010,ITC4,2,1923.0
2012,NUTS,2010,ITC4,2,1758.0
2013,NUTS,2010,ITC4,2,1759.0
2014,NUTS,2010,ITC4,2,1655.0
2015,NUTS,2010,ITC4,2,1725.0
2016,NUTS,2010,ITC4,2,1814.0
2017,NUTS,2010,ITC4,2,1427.0
2018,NUTS,2010,ITC4,2,1432.0
2019,NUTS,2010,ITC4,2,1481.0
2011,NUTS,2010,ITF,1,324.0
2012,NUTS,2010,ITF,1,272.0
2013,NUTS,2010,ITF,1,281.0
2014,NUTS,2010,ITF,1,390.0
2017,NUTS,2010,ITF,1,343.0
2018,NUTS,2010,ITF,1,348.0
