year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_mio_nac
2015,NUTS,2010,BE21,2,2476.961
2016,NUTS,2010,BE21,2,2668.949
2017,NUTS,2010,BE21,2,2934.777
2018,NUTS,2010,BE21,2,
2019,NUTS,2010,BE21,2,
2006,NUTS,2010,BE22,2,188.539
2007,NUTS,2010,BE22,2,230.822
2008,NUTS,2010,BE22,2,216.236
2009,NUTS,2010,BE22,2,221.369
2010,NUTS,2010,BE22,2,231.653
2011,NUTS,2010,BE22,2,276.669
2012,NUTS,2010,BE22,2,294.944
2013,NUTS,2010,BE22,2,318.323
2014,NUTS,2010,BE22,2,336.426
2015,NUTS,2010,BE22,2,351.49
2016,NUTS,2010,BE22,2,399.356
2017,NUTS,2010,BE22,2,441.247
2018,NUTS,2010,BE22,2,
2019,NUTS,2010,BE22,2,
2006,NUTS,2010,BE23,2,690.975
2007,NUTS,2010,BE23,2,756.184
2008,NUTS,2010,BE23,2,836.722
2009,NUTS,2010,BE23,2,851.801
2010,NUTS,2010,BE23,2,945.261
2011,NUTS,2010,BE23,2,1018.595
2012,NUTS,2010,BE23,2,1183.601
2013,NUTS,2010,BE23,2,1263.746
2014,NUTS,2010,BE23,2,1199.87
2015,NUTS,2010,BE23,2,1252.03
2016,NUTS,2010,BE23,2,1422.496
2017,NUTS,2010,BE23,2,1466.897
2018,NUTS,2010,BE23,2,
2019,NUTS,2010,BE23,2,
2006,NUTS,2010,BE24,2,1029.468
2007,NUTS,2010,BE24,2,1121.491
2008,NUTS,2010,BE24,2,1281.869
2009,NUTS,2010,BE24,2,1293.887
2010,NUTS,2010,BE24,2,1414.857
2011,NUTS,2010,BE24,2,1452.6
2012,NUTS,2010,BE24,2,1617.583
2013,NUTS,2010,BE24,2,1665.357
2014,NUTS,2010,BE24,2,1780.471
2015,NUTS,2010,BE24,2,1880.728
2016,NUTS,2010,BE24,2,1863.782
2017,NUTS,2010,BE24,2,2029.828
2018,NUTS,2010,BE24,2,
2019,NUTS,2010,BE24,2,
2006,NUTS,2010,BE25,2,328.437
2007,NUTS,2010,BE25,2,358.082
2008,NUTS,2010,BE25,2,358.332
2009,NUTS,2010,BE25,2,344.584
2010,NUTS,2010,BE25,2,355.226
2011,NUTS,2010,BE25,2,401.01
2012,NUTS,2010,BE25,2,535.622
2013,NUTS,2010,BE25,2,547.668
2014,NUTS,2010,BE25,2,434.097
2015,NUTS,2010,BE25,2,471.826
2016,NUTS,2010,BE25,2,525.369
2017,NUTS,2010,BE25,2,603.673
2018,NUTS,2010,BE25,2,
2019,NUTS,2010,BE25,2,
2002,NUTS,2010,BE3,1,1217.917
2003,NUTS,2010,BE3,1,1276.81
2004,NUTS,2010,BE3,1,1363.464
2005,NUTS,2010,BE3,1,1308.998
2006,NUTS,2010,BE3,1,1488.05
2007,NUTS,2010,BE3,1,1634.635
2008,NUTS,2010,BE3,1,1685.4
2009,NUTS,2010,BE3,1,1785.246
2010,NUTS,2010,BE3,1,1923.117
2011,NUTS,2010,BE3,1,2176.09
2012,NUTS,2010,BE3,1,2202.873
2013,NUTS,2010,BE3,1,2275.023
2014,NUTS,2010,BE3,1,2272.593
2015,NUTS,2010,BE3,1,2346.887
2016,NUTS,2010,BE3,1,2447.633
2017,NUTS,2010,BE3,1,2710.07
2018,NUTS,2010,BE3,1,3356.283
2019,NUTS,2010,BE3,1,3724.371
2006,NUTS,2010,BE31,2,742.915
2007,NUTS,2010,BE31,2,845.98
2008,NUTS,2010,BE31,2,854.521
2009,NUTS,2010,BE31,2,921.719
2010,NUTS,2010,BE31,2,970.553
2011,NUTS,2010,BE31,2,1136.474
2012,NUTS,2010,BE31,2,1279.528
2013,NUTS,2010,BE31,2,1302.57
2014,NUTS,2010,BE31,2,1050.411
2015,NUTS,2010,BE31,2,1030.75
2016,NUTS,2010,BE31,2,1281.931
2017,NUTS,2010,BE31,2,1404.494
2018,NUTS,2010,BE31,2,
2019,NUTS,2010,BE31,2,
2006,NUTS,2010,BE32,2,263.431
2007,NUTS,2010,BE32,2,277.347
2008,NUTS,2010,BE32,2,326.987
2009,NUTS,2010,BE32,2,351.377
2010,NUTS,2010,BE32,2,416.545
2011,NUTS,2010,BE32,2,448.554
2012,NUTS,2010,BE32,2,399.13
2013,NUTS,2010,BE32,2,420.07
2014,NUTS,2010,BE32,2,501.103
2015,NUTS,2010,BE32,2,508.681
2016,NUTS,2010,BE32,2,408.422
2017,NUTS,2010,BE32,2,478.041
2018,NUTS,2010,BE32,2,
2019,NUTS,2010,BE32,2,
2006,NUTS,2010,BE33,2,350.667
2007,NUTS,2010,BE33,2,374.722
2008,NUTS,2010,BE33,2,357.888
2009,NUTS,2010,BE33,2,359.656
2010,NUTS,2010,BE33,2,388.05
2011,NUTS,2010,BE33,2,428.264
2012,NUTS,2010,BE33,2,415.671
2013,NUTS,2010,BE33,2,444.81
2014,NUTS,2010,BE33,2,526.888
2015,NUTS,2010,BE33,2,600.501
2016,NUTS,2010,BE33,2,618.411
2017,NUTS,2010,BE33,2,675.318
2018,NUTS,2010,BE33,2,
2019,NUTS,2010,BE33,2,
2006,NUTS,2010,BE34,2,28.162
2007,NUTS,2010,BE34,2,29.423
2008,NUTS,2010,BE34,2,19.342
2009,NUTS,2010,BE34,2,17.199
2010,NUTS,2010,BE34,2,18.662
2011,NUTS,2010,BE34,2,23.753
2012,NUTS,2010,BE34,2,16.318
2013,NUTS,2010,BE34,2,14.471
2014,NUTS,2010,BE34,2,45.345
2015,NUTS,2010,BE34,2,52.634
2016,NUTS,2010,BE34,2,18.11
2017,NUTS,2010,BE34,2,19.191
2018,NUTS,2010,BE34,2,
2019,NUTS,2010,BE34,2,
2006,NUTS,2010,BE35,2,102.876
2007,NUTS,2010,BE35,2,107.164
2008,NUTS,2010,BE35,2,126.663
2009,NUTS,2010,BE35,2,135.295
2010,NUTS,2010,BE35,2,129.307
2011,NUTS,2010,BE35,2,139.045
2012,NUTS,2010,BE35,2,92.227
2013,NUTS,2010,BE35,2,93.103
2014,NUTS,2010,BE35,2,148.847
2015,NUTS,2010,BE35,2,154.321
2016,NUTS,2010,BE35,2,120.759
2017,NUTS,2010,BE35,2,133.026
2018,NUTS,2010,BE35,2,
2019,NUTS,2010,BE35,2,
1989,NUTS,2010,BEZ,1,886.69
1991,NUTS,2010,BEZ,1,986.95
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
1989,NUTS,2010,BEZZ,2,886.69
1991,NUTS,2010,BEZZ,2,986.95
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1987,NUTS,2010,BG,0,0.924
1988,NUTS,2010,BG,0,1.062
1989,NUTS,2010,BG,0,1.042
1990,NUTS,2010,BG,0,1.081
1991,NUTS,2010,BG,0,2.073
1992,NUTS,2010,BG,0,3.303
1993,NUTS,2010,BG,0,3.539
1994,NUTS,2010,BG,0,4.601
1995,NUTS,2010,BG,0,5.447
1996,NUTS,2010,BG,0,9.148
1997,NUTS,2010,BG,0,88.591
1998,NUTS,2010,BG,0,127.598
1999,NUTS,2010,BG,0,134.45
2000,NUTS,2010,BG,0,139.265
2001,NUTS,2010,BG,0,138.539
2002,NUTS,2010,BG,0,158.327
2003,NUTS,2010,BG,0,173.01
2004,NUTS,2010,BG,0,194.0
2005,NUTS,2010,BG,0,208.142
2006,NUTS,2010,BG,0,237.036
2007,NUTS,2010,BG,0,273.047
2008,NUTS,2010,BG,0,325.855
2009,NUTS,2010,BG,0,361.06
2010,NUTS,2010,BG,0,421.612
2011,NUTS,2010,BG,0,429.566
2012,NUTS,2010,BG,0,496.176
2013,NUTS,2010,BG,0,521.682
2014,NUTS,2010,BG,0,664.829
2015,NUTS,2010,BG,0,850.457
2016,NUTS,2010,BG,0,734.274
2017,NUTS,2010,BG,0,760.234
2018,NUTS,2010,BG,0,828.904
2019,NUTS,2010,BG,0,1002.132
2020,NUTS,2010,BG,0,1023.79
2002,NUTS,2010,BG3,1,24.522
2003,NUTS,2010,BG3,1,26.453
2004,NUTS,2010,BG3,1,25.498
2005,NUTS,2010,BG3,1,23.406
2006,NUTS,2010,BG3,1,35.689
2007,NUTS,2010,BG3,1,35.971
2008,NUTS,2010,BG3,1,44.08
2009,NUTS,2010,BG3,1,52.211
2010,NUTS,2010,BG3,1,49.101
2011,NUTS,2010,BG3,1,46.516
2012,NUTS,2010,BG3,1,52.005
2013,NUTS,2010,BG3,1,66.791
2014,NUTS,2010,BG3,1,83.783
2015,NUTS,2010,BG3,1,142.464
2016,NUTS,2010,BG3,1,145.843
2017,NUTS,2010,BG3,1,152.231
2018,NUTS,2010,BG3,1,155.936
2019,NUTS,2010,BG3,1,174.218
2002,NUTS,2010,BG31,2,3.602
2003,NUTS,2010,BG31,2,3.732
2004,NUTS,2010,BG31,2,4.602
2005,NUTS,2010,BG31,2,4.55
2006,NUTS,2010,BG31,2,6.067
2007,NUTS,2010,BG31,2,7.177
2008,NUTS,2010,BG31,2,6.557
2009,NUTS,2010,BG31,2,8.123
2010,NUTS,2010,BG31,2,6.609
2011,NUTS,2010,BG31,2,7.169
2012,NUTS,2010,BG31,2,9.179
2013,NUTS,2010,BG31,2,10.671
2014,NUTS,2010,BG31,2,11.9
2015,NUTS,2010,BG31,2,33.265
2016,NUTS,2010,BG31,2,29.752
2017,NUTS,2010,BG31,2,31.285
2018,NUTS,2010,BG31,2,37.437
2019,NUTS,2010,BG31,2,32.106
2002,NUTS,2010,BG32,2,7.352
2003,NUTS,2010,BG32,2,6.174
2004,NUTS,2010,BG32,2,6.187
2005,NUTS,2010,BG32,2,3.265
2006,NUTS,2010,BG32,2,4.867
2007,NUTS,2010,BG32,2,4.035
2008,NUTS,2010,BG32,2,5.298
2009,NUTS,2010,BG32,2,7.12
2010,NUTS,2010,BG32,2,7.15
2011,NUTS,2010,BG32,2,7.929
2012,NUTS,2010,BG32,2,7.443
2013,NUTS,2010,BG32,2,9.799
2014,NUTS,2010,BG32,2,10.661
2015,NUTS,2010,BG32,2,37.218
2016,NUTS,2010,BG32,2,30.654
2017,NUTS,2010,BG32,2,30.226
2018,NUTS,2010,BG32,2,26.612
2019,NUTS,2010,BG32,2,30.462
2002,NUTS,2010,BG33,2,6.802
2003,NUTS,2010,BG33,2,9.431
2004,NUTS,2010,BG33,2,9.299
2005,NUTS,2010,BG33,2,10.332
2006,NUTS,2010,BG33,2,14.995
2007,NUTS,2010,BG33,2,13.202
2008,NUTS,2010,BG33,2,17.156
2009,NUTS,2010,BG33,2,22.01
2010,NUTS,2010,BG33,2,16.961
2011,NUTS,2010,BG33,2,17.733
2012,NUTS,2010,BG33,2,19.902
2013,NUTS,2010,BG33,2,29.741
2014,NUTS,2010,BG33,2,33.763
2015,NUTS,2010,BG33,2,35.566
2016,NUTS,2010,BG33,2,51.545
2017,NUTS,2010,BG33,2,51.626
2018,NUTS,2010,BG33,2,49.75
2019,NUTS,2010,BG33,2,63.852
2002,NUTS,2010,BG34,2,6.766
2003,NUTS,2010,BG34,2,7.116
2004,NUTS,2010,BG34,2,5.41
2005,NUTS,2010,BG34,2,5.259
2006,NUTS,2010,BG34,2,9.76
2007,NUTS,2010,BG34,2,11.557
2008,NUTS,2010,BG34,2,15.069
2009,NUTS,2010,BG34,2,14.958
2010,NUTS,2010,BG34,2,18.381
2011,NUTS,2010,BG34,2,13.685
2012,NUTS,2010,BG34,2,15.481
2013,NUTS,2010,BG34,2,16.58
2014,NUTS,2010,BG34,2,27.459
2015,NUTS,2010,BG34,2,36.415
2016,NUTS,2010,BG34,2,33.892
2017,NUTS,2010,BG34,2,39.094
2018,NUTS,2010,BG34,2,42.137
2019,NUTS,2010,BG34,2,47.798
2002,NUTS,2010,BG4,1,133.805
2003,NUTS,2010,BG4,1,146.556
2004,NUTS,2010,BG4,1,168.448
2005,NUTS,2010,BG4,1,184.736
2006,NUTS,2010,BG4,1,201.347
2007,NUTS,2010,BG4,1,237.076
2008,NUTS,2010,BG4,1,281.775
2009,NUTS,2010,BG4,1,308.849
2010,NUTS,2010,BG4,1,372.511
2011,NUTS,2010,BG4,1,383.05
2012,NUTS,2010,BG4,1,444.171
2013,NUTS,2010,BG4,1,454.891
2014,NUTS,2010,BG4,1,581.046
2015,NUTS,2010,BG4,1,707.993
2016,NUTS,2010,BG4,1,588.431
2017,NUTS,2010,BG4,1,608.003
2018,NUTS,2010,BG4,1,672.968
2019,NUTS,2010,BG4,1,827.914
1999,NUTS,2010,BG41,2,111.792
2000,NUTS,2010,BG41,2,115.246
2002,NUTS,2010,BG41,2,127.223
2003,NUTS,2010,BG41,2,137.98
2004,NUTS,2010,BG41,2,160.492
2005,NUTS,2010,BG41,2,174.666
2006,NUTS,2010,BG41,2,190.596
2007,NUTS,2010,BG41,2,218.124
2008,NUTS,2010,BG41,2,246.9
2009,NUTS,2010,BG41,2,288.297
2010,NUTS,2010,BG41,2,349.91
2011,NUTS,2010,BG41,2,360.548
2012,NUTS,2010,BG41,2,416.954
2013,NUTS,2010,BG41,2,430.305
2014,NUTS,2010,BG41,2,550.827
2015,NUTS,2010,BG41,2,642.876
2016,NUTS,2010,BG41,2,522.683
2017,NUTS,2010,BG41,2,538.651
2018,NUTS,2010,BG41,2,603.853
2019,NUTS,2010,BG41,2,736.037
2002,NUTS,2010,BG42,2,6.582
2003,NUTS,2010,BG42,2,8.576
2004,NUTS,2010,BG42,2,7.956
2005,NUTS,2010,BG42,2,10.07
2006,NUTS,2010,BG42,2,10.751
2007,NUTS,2010,BG42,2,18.952
2008,NUTS,2010,BG42,2,34.875
2009,NUTS,2010,BG42,2,20.552
2010,NUTS,2010,BG42,2,22.601
2011,NUTS,2010,BG42,2,22.502
2012,NUTS,2010,BG42,2,27.217
2013,NUTS,2010,BG42,2,24.586
2014,NUTS,2010,BG42,2,30.219
2015,NUTS,2010,BG42,2,65.117
2016,NUTS,2010,BG42,2,65.748
