year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_pps
2018,NUTS,2010,BE10,2,58.231
2019,NUTS,2010,BE10,2,68.004
2011,NUTS,2010,BE2,1,40.499
2012,NUTS,2010,BE2,1,13.159
2013,NUTS,2010,BE2,1,12.943
2014,NUTS,2010,BE2,1,13.73
2015,NUTS,2010,BE2,1,19.862
2016,NUTS,2010,BE2,1,23.498
2017,NUTS,2010,BE2,1,24.046
2018,NUTS,2010,BE2,1,26.021
2019,NUTS,2010,BE2,1,32.608
2011,NUTS,2010,BE3,1,0.134
2012,NUTS,2010,BE3,1,0.0
2013,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.072
2015,NUTS,2010,BE3,1,0.072
2016,NUTS,2010,BE3,1,0.111
2017,NUTS,2010,BE3,1,0.113
2018,NUTS,2010,BE3,1,0.12
2019,NUTS,2010,BE3,1,0.126
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,3.123
2012,NUTS,2010,BG,0,7.51
2013,NUTS,2010,BG,0,3.32
2014,NUTS,2010,BG,0,5.448
2015,NUTS,2010,BG,0,4.932
2016,NUTS,2010,BG,0,2.291
2017,NUTS,2010,BG,0,6.559
2018,NUTS,2010,BG,0,4.826
2019,NUTS,2010,BG,0,6.08
2020,NUTS,2010,BG,0,6.522
2011,NUTS,2010,BG3,1,0.105
2012,NUTS,2010,BG3,1,0.033
2014,NUTS,2010,BG3,1,0.277
2015,NUTS,2010,BG3,1,0.261
2016,NUTS,2010,BG3,1,0.05
2017,NUTS,2010,BG3,1,0.167
2018,NUTS,2010,BG3,1,0.359
2019,NUTS,2010,BG3,1,0.123
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG33,2,0.236
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG4,1,3.018
2012,NUTS,2010,BG4,1,7.477
2014,NUTS,2010,BG4,1,5.171
2015,NUTS,2010,BG4,1,4.671
2016,NUTS,2010,BG4,1,2.241
2017,NUTS,2010,BG4,1,6.392
2018,NUTS,2010,BG4,1,4.467
2019,NUTS,2010,BG4,1,5.957
2012,NUTS,2010,BG41,2,7.24
2013,NUTS,2010,BG41,2,2.394
2014,NUTS,2010,BG41,2,5.057
2015,NUTS,2010,BG41,2,4.505
2016,NUTS,2010,BG41,2,1.059
2017,NUTS,2010,BG41,2,4.947
2018,NUTS,2010,BG41,2,3.025
2019,NUTS,2010,BG41,2,3.502
2012,NUTS,2010,BG42,2,0.237
2014,NUTS,2010,BG42,2,0.114
2015,NUTS,2010,BG42,2,0.166
2016,NUTS,2010,BG42,2,1.182
2017,NUTS,2010,BG42,2,1.445
2018,NUTS,2010,BG42,2,1.442
2019,NUTS,2010,BG42,2,2.455
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,185.488
2015,NUTS,2010,CH,0,304.566
2017,NUTS,2010,CH,0,304.082
2019,NUTS,2010,CH,0,352.638
2012,NUTS,2010,CH0,1,185.488
2015,NUTS,2010,CH0,1,304.566
2017,NUTS,2010,CH0,1,304.082
2019,NUTS,2010,CH0,1,352.638
2011,NUTS,2010,CY,0,14.806
2012,NUTS,2010,CY,0,11.493
2013,NUTS,2010,CY,0,11.568
2014,NUTS,2010,CY,0,14.259
2015,NUTS,2010,CY,0,13.179
2016,NUTS,2010,CY,0,13.863
2017,NUTS,2010,CY,0,14.364
2018,NUTS,2010,CY,0,16.236
2019,NUTS,2010,CY,0,20.529
2020,NUTS,2010,CY,0,21.834
2011,NUTS,2010,CY0,1,14.806
2012,NUTS,2010,CY0,1,11.493
2013,NUTS,2010,CY0,1,11.568
2014,NUTS,2010,CY0,1,14.259
2015,NUTS,2010,CY0,1,13.179
2016,NUTS,2010,CY0,1,13.863
2017,NUTS,2010,CY0,1,14.364
2018,NUTS,2010,CY0,1,16.236
2019,NUTS,2010,CY0,1,20.529
2020,NUTS,2010,CY0,1,21.834
2011,NUTS,2010,CY00,2,14.806
2012,NUTS,2010,CY00,2,11.493
2013,NUTS,2010,CY00,2,11.568
2014,NUTS,2010,CY00,2,14.259
2015,NUTS,2010,CY00,2,13.179
2016,NUTS,2010,CY00,2,13.863
2017,NUTS,2010,CY00,2,14.364
2018,NUTS,2010,CY00,2,16.236
2019,NUTS,2010,CY00,2,20.529
2020,NUTS,2010,CY00,2,21.834
2011,NUTS,2010,CZ,0,19.287
2012,NUTS,2010,CZ,0,20.521
2013,NUTS,2010,CZ,0,15.093
2014,NUTS,2010,CZ,0,19.79
2015,NUTS,2010,CZ,0,19.033
2016,NUTS,2010,CZ,0,10.887
2017,NUTS,2010,CZ,0,13.947
2018,NUTS,2010,CZ,0,12.452
2019,NUTS,2010,CZ,0,17.024
2020,NUTS,2010,CZ,0,17.295
2011,NUTS,2010,CZ0,1,19.287
2012,NUTS,2010,CZ0,1,20.521
2013,NUTS,2010,CZ0,1,15.093
2014,NUTS,2010,CZ0,1,19.79
2015,NUTS,2010,CZ0,1,19.033
2016,NUTS,2010,CZ0,1,10.887
2017,NUTS,2010,CZ0,1,13.947
2018,NUTS,2010,CZ0,1,12.452
2019,NUTS,2010,CZ0,1,17.024
2020,NUTS,2010,CZ0,1,17.295
2011,NUTS,2010,CZ01,2,9.106
2012,NUTS,2010,CZ01,2,9.859
2013,NUTS,2010,CZ01,2,8.206
2014,NUTS,2010,CZ01,2,8.641
2015,NUTS,2010,CZ01,2,7.945
2016,NUTS,2010,CZ01,2,7.671
2017,NUTS,2010,CZ01,2,8.14
2018,NUTS,2010,CZ01,2,6.776
2019,NUTS,2010,CZ01,2,8.764
2020,NUTS,2010,CZ01,2,8.8
2011,NUTS,2010,CZ02,2,0.227
2012,NUTS,2010,CZ02,2,0.248
2013,NUTS,2010,CZ02,2,1.101
2014,NUTS,2010,CZ02,2,0.506
2015,NUTS,2010,CZ02,2,0.502
2016,NUTS,2010,CZ02,2,0.257
2017,NUTS,2010,CZ02,2,0.312
2018,NUTS,2010,CZ02,2,0.175
2019,NUTS,2010,CZ02,2,0.104
2020,NUTS,2010,CZ02,2,0.142
2011,NUTS,2010,CZ03,2,1.046
2012,NUTS,2010,CZ03,2,2.907
2013,NUTS,2010,CZ03,2,0.597
2014,NUTS,2010,CZ03,2,1.308
2015,NUTS,2010,CZ03,2,4.995
2016,NUTS,2010,CZ03,2,1.565
2017,NUTS,2010,CZ03,2,2.713
2018,NUTS,2010,CZ03,2,2.436
2019,NUTS,2010,CZ03,2,1.9
2020,NUTS,2010,CZ03,2,1.907
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.026
2019,NUTS,2010,CZ04,2,0.046
2020,NUTS,2010,CZ04,2,0.048
2011,NUTS,2010,CZ05,2,2.192
2012,NUTS,2010,CZ05,2,1.827
2013,NUTS,2010,CZ05,2,2.358
2014,NUTS,2010,CZ05,2,0.725
2015,NUTS,2010,CZ05,2,0.149
2016,NUTS,2010,CZ05,2,0.119
2017,NUTS,2010,CZ05,2,0.514
2018,NUTS,2010,CZ05,2,0.007
2019,NUTS,2010,CZ05,2,3.476
2020,NUTS,2010,CZ05,2,3.749
2011,NUTS,2010,CZ06,2,2.927
2012,NUTS,2010,CZ06,2,1.514
2013,NUTS,2010,CZ06,2,2.178
2014,NUTS,2010,CZ06,2,2.467
2015,NUTS,2010,CZ06,2,4.381
2016,NUTS,2010,CZ06,2,0.543
2017,NUTS,2010,CZ06,2,0.912
2018,NUTS,2010,CZ06,2,1.407
2019,NUTS,2010,CZ06,2,1.051
2020,NUTS,2010,CZ06,2,1.082
2011,NUTS,2010,CZ07,2,0.684
2012,NUTS,2010,CZ07,2,0.494
2013,NUTS,2010,CZ07,2,0.421
2014,NUTS,2010,CZ07,2,0.769
2015,NUTS,2010,CZ07,2,0.574
2016,NUTS,2010,CZ07,2,0.561
2017,NUTS,2010,CZ07,2,0.413
2018,NUTS,2010,CZ07,2,0.562
2019,NUTS,2010,CZ07,2,0.906
2020,NUTS,2010,CZ07,2,0.964
2011,NUTS,2010,CZ08,2,3.104
2012,NUTS,2010,CZ08,2,3.672
2013,NUTS,2010,CZ08,2,0.231
2014,NUTS,2010,CZ08,2,5.376
2015,NUTS,2010,CZ08,2,0.487
2016,NUTS,2010,CZ08,2,0.17
2017,NUTS,2010,CZ08,2,0.942
2018,NUTS,2010,CZ08,2,1.063
2019,NUTS,2010,CZ08,2,0.778
2020,NUTS,2010,CZ08,2,0.602
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DK,0,20.006
2012,NUTS,2010,DK,0,22.755
2013,NUTS,2010,DK,0,23.443
2014,NUTS,2010,DK,0,23.073
2015,NUTS,2010,DK,0,21.648
2016,NUTS,2010,DK,0,22.459
2017,NUTS,2010,DK,0,19.786
2018,NUTS,2010,DK,0,23.355
2019,NUTS,2010,DK,0,27.546
2020,NUTS,2010,DK,0,30.224
2011,NUTS,2010,DK0,1,20.006
2012,NUTS,2010,DK0,1,22.755
2013,NUTS,2010,DK0,1,23.433
2014,NUTS,2010,DK0,1,23.171
2015,NUTS,2010,DK0,1,21.648
2016,NUTS,2010,DK0,1,22.459
2017,NUTS,2010,DK0,1,19.786
2018,NUTS,2010,DK0,1,23.355
2019,NUTS,2010,DK0,1,27.546
2020,NUTS,2010,DK0,1,30.224
2011,NUTS,2010,DK01,2,19.601
2012,NUTS,2010,DK01,2,21.915
2013,NUTS,2010,DK01,2,22.678
2014,NUTS,2010,DK01,2,22.486
2015,NUTS,2010,DK01,2,20.468
2016,NUTS,2010,DK01,2,21.38
2017,NUTS,2010,DK01,2,19.087
2019,NUTS,2010,DK01,2,27.045
2011,NUTS,2010,DK02,2,0.405
2012,NUTS,2010,DK02,2,0.391
2013,NUTS,2010,DK02,2,0.343
2014,NUTS,2010,DK02,2,0.391
2015,NUTS,2010,DK02,2,0.886
2016,NUTS,2010,DK02,2,0.785
2017,NUTS,2010,DK02,2,0.4
2019,NUTS,2010,DK02,2,0.501
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,0.449
2013,NUTS,2010,DK03,2,0.402
2014,NUTS,2010,DK03,2,0.293
2015,NUTS,2010,DK03,2,0.295
2016,NUTS,2010,DK03,2,0.294
2017,NUTS,2010,DK03,2,0.3
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,0.3
2011,NUTS,2010,EA19,2,1626.579
2012,NUTS,2010,EA19,2,1590.19
2013,NUTS,2010,EA19,2,1437.967
2014,NUTS,2010,EA19,2,1534.887
2015,NUTS,2010,EA19,2,1625.236
2016,NUTS,2010,EA19,2,1567.603
2017,NUTS,2010,EA19,2,1396.13
2018,NUTS,2010,EA19,2,1467.35
2019,NUTS,2010,EA19,2,1655.779
2020,NUTS,2010,EA19,2,1788.942
2011,NUTS,2010,EE,0,5.096
2012,NUTS,2010,EE,0,5.688
2013,NUTS,2010,EE,0,4.756
2014,NUTS,2010,EE,0,4.657
2015,NUTS,2010,EE,0,7.275
2016,NUTS,2010,EE,0,5.485
2017,NUTS,2010,EE,0,5.52
2018,NUTS,2010,EE,0,7.742
2019,NUTS,2010,EE,0,6.468
2020,NUTS,2010,EE,0,9.846
2011,NUTS,2010,EE0,1,5.096
2012,NUTS,2010,EE0,1,5.688
2013,NUTS,2010,EE0,1,4.756
2014,NUTS,2010,EE0,1,4.657
2015,NUTS,2010,EE0,1,7.275
2016,NUTS,2010,EE0,1,5.485
2017,NUTS,2010,EE0,1,5.52
2018,NUTS,2010,EE0,1,7.742
2019,NUTS,2010,EE0,1,6.468
2020,NUTS,2010,EE0,1,9.846
2011,NUTS,2010,EE00,2,5.096
2012,NUTS,2010,EE00,2,5.688
2013,NUTS,2010,EE00,2,4.756
2014,NUTS,2010,EE00,2,4.657
2015,NUTS,2010,EE00,2,7.275
2016,NUTS,2010,EE00,2,5.485
2017,NUTS,2010,EE00,2,5.52
2018,NUTS,2010,EE00,2,7.742
2019,NUTS,2010,EE00,2,6.468
2020,NUTS,2010,EE00,2,9.846
2011,NUTS,2010,EL,0,14.675
2012,NUTS,2010,EL,0,13.811
2013,NUTS,2010,EL,0,20.855
2014,NUTS,2010,EL,0,21.667
2015,NUTS,2010,EL,0,22.554
2016,NUTS,2010,EL,0,18.415
2017,NUTS,2010,EL,0,19.584
2018,NUTS,2010,EL,0,27.782
2019,NUTS,2010,EL,0,23.864
2020,NUTS,2010,EL,0,17.321
2011,NUTS,2010,EL3,1,12.534
2013,NUTS,2010,EL3,1,14.661
2015,NUTS,2010,EL3,1,16.311
2017,NUTS,2010,EL3,1,14.82
2018,NUTS,2010,EL3,1,18.55
2019,NUTS,2010,EL3,1,17.629
2011,NUTS,2010,EL30,2,12.534
2013,NUTS,2010,EL30,2,14.661
2015,NUTS,2010,EL30,2,16.311
2017,NUTS,2010,EL30,2,14.82
2018,NUTS,2010,EL30,2,18.55
2019,NUTS,2010,EL30,2,17.629
2011,NUTS,2010,EL4,1,0.263
2013,NUTS,2010,EL4,1,1.806
2015,NUTS,2010,EL4,1,1.794
2017,NUTS,2010,EL4,1,2.185
2018,NUTS,2010,EL4,1,2.281
2019,NUTS,2010,EL4,1,2.465
2011,NUTS,2010,EL41,2,0.053
2013,NUTS,2010,EL41,2,0.069
2015,NUTS,2010,EL41,2,0.071
2017,NUTS,2010,EL41,2,0.203
2018,NUTS,2010,EL41,2,0.24
2019,NUTS,2010,EL41,2,0.399
2011,NUTS,2010,EL42,2,0.192
2013,NUTS,2010,EL42,2,0.697
2015,NUTS,2010,EL42,2,0.413
2017,NUTS,2010,EL42,2,0.502
2018,NUTS,2010,EL42,2,0.432
2019,NUTS,2010,EL42,2,0.483
2011,NUTS,2010,EL43,2,0.019
2013,NUTS,2010,EL43,2,1.04
2015,NUTS,2010,EL43,2,1.31
2017,NUTS,2010,EL43,2,1.481
2018,NUTS,2010,EL43,2,1.609
2019,NUTS,2010,EL43,2,1.583
2011,NUTS,2010,EL5,1,1.656
2013,NUTS,2010,EL5,1,3.988
2015,NUTS,2010,EL5,1,4.131
2017,NUTS,2010,EL5,1,1.935
2018,NUTS,2010,EL5,1,3.206
2019,NUTS,2010,EL5,1,2.779
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,0.057
2015,NUTS,2010,EL51,2,0.059
2017,NUTS,2010,EL51,2,0.119
2018,NUTS,2010,EL51,2,0.12
2019,NUTS,2010,EL51,2,0.048
2011,NUTS,2010,EL52,2,1.296
2013,NUTS,2010,EL52,2,3.371
2015,NUTS,2010,EL52,2,3.564
2017,NUTS,2010,EL52,2,1.242
2018,NUTS,2010,EL52,2,2.509
2019,NUTS,2010,EL52,2,2.308
2011,NUTS,2010,EL53,2,0.248
2013,NUTS,2010,EL53,2,0.217
2015,NUTS,2010,EL53,2,0.153
2017,NUTS,2010,EL53,2,0.299
2018,NUTS,2010,EL53,2,0.324
2019,NUTS,2010,EL53,2,0.181
2011,NUTS,2010,EL54,2,0.113
2013,NUTS,2010,EL54,2,0.343
2015,NUTS,2010,EL54,2,0.354
2017,NUTS,2010,EL54,2,0.275
2018,NUTS,2010,EL54,2,0.252
2019,NUTS,2010,EL54,2,0.242
2011,NUTS,2010,EL6,1,0.221
2013,NUTS,2010,EL6,1,0.4
2015,NUTS,2010,EL6,1,0.319
2017,NUTS,2010,EL6,1,0.645
2018,NUTS,2010,EL6,1,3.746
2019,NUTS,2010,EL6,1,0.991
2011,NUTS,2010,EL61,2,0.056
2013,NUTS,2010,EL61,2,0.069
2015,NUTS,2010,EL61,2,0.059
2017,NUTS,2010,EL61,2,0.143
2018,NUTS,2010,EL61,2,0.156
2019,NUTS,2010,EL61,2,0.121
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
2017,NUTS,2010,EL62,2,0.012
2018,NUTS,2010,EL62,2,0.0
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,0.046
2015,NUTS,2010,EL63,2,0.012
2017,NUTS,2010,EL63,2,0.0
2018,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,0.053
2013,NUTS,2010,EL64,2,0.057
2015,NUTS,2010,EL64,2,0.059
2017,NUTS,2010,EL64,2,0.06
2018,NUTS,2010,EL64,2,0.0
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,0.113
2013,NUTS,2010,EL65,2,0.229
2015,NUTS,2010,EL65,2,0.189
2017,NUTS,2010,EL65,2,0.43
2018,NUTS,2010,EL65,2,3.59
2019,NUTS,2010,EL65,2,0.87
2011,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZ,1,0.0
2018,NUTS,2010,ELZ,1,0.0
2011,NUTS,2010,ELZZ,2,0.0
2015,NUTS,2010,ELZZ,2,0.0
2018,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,24.548
2012,NUTS,2010,ES,0,26.686
2013,NUTS,2010,ES,0,23.039
2014,NUTS,2010,ES,0,23.345
2015,NUTS,2010,ES,0,29.199
2016,NUTS,2010,ES,0,34.576
2017,NUTS,2010,ES,0,32.655
2018,NUTS,2010,ES,0,41.864
2019,NUTS,2010,ES,0,45.127
2020,NUTS,2010,ES,0,48.994
2011,NUTS,2010,ES1,1,2.996
2012,NUTS,2010,ES1,1,3.769
2013,NUTS,2010,ES1,1,3.719
2015,NUTS,2010,ES1,1,3.244
2016,NUTS,2010,ES1,1,5.403
2017,NUTS,2010,ES1,1,5.443
2018,NUTS,2010,ES1,1,5.367
2014,NUTS,2010,ES11,2,0.128
2015,NUTS,2010,ES11,2,0.0
2016,NUTS,2010,ES11,2,2.161
2017,NUTS,2010,ES11,2,2.177
2018,NUTS,2010,ES11,2,3.22
2019,NUTS,2010,ES11,2,2.149
2012,NUTS,2010,ES12,2,0.272
2013,NUTS,2010,ES12,2,0.147
2014,NUTS,2010,ES12,2,0.149
2015,NUTS,2010,ES12,2,0.0
2016,NUTS,2010,ES12,2,0.0
2017,NUTS,2010,ES12,2,0.0
2018,NUTS,2010,ES12,2,0.0
2019,NUTS,2010,ES12,2,0.0
2011,NUTS,2010,ES13,2,2.706
2015,NUTS,2010,ES13,2,3.244
2016,NUTS,2010,ES13,2,3.242
2017,NUTS,2010,ES13,2,2.177
2018,NUTS,2010,ES13,2,3.22
2011,NUTS,2010,ES2,1,2.472
2013,NUTS,2010,ES2,1,2.325
2015,NUTS,2010,ES2,1,2.163
2019,NUTS,2010,ES2,1,1.075
2011,NUTS,2010,ES21,2,1.881
2012,NUTS,2010,ES21,2,2.015
2013,NUTS,2010,ES21,2,1.531
2014,NUTS,2010,ES21,2,1.488
2015,NUTS,2010,ES21,2,2.163
2016,NUTS,2010,ES21,2,1.081
2017,NUTS,2010,ES21,2,1.089
2018,NUTS,2010,ES21,2,1.073
2019,NUTS,2010,ES21,2,1.075
2011,NUTS,2010,ES22,2,0.138
2015,NUTS,2010,ES22,2,0.0
2011,NUTS,2010,ES23,2,0.17
2012,NUTS,2010,ES23,2,0.219
2014,NUTS,2010,ES23,2,0.079
2015,NUTS,2010,ES23,2,0.0
2016,NUTS,2010,ES23,2,0.0
2017,NUTS,2010,ES23,2,0.0
2018,NUTS,2010,ES23,2,0.0
2011,NUTS,2010,ES24,2,0.282
2012,NUTS,2010,ES24,2,0.369
2013,NUTS,2010,ES24,2,0.226
2014,NUTS,2010,ES24,2,0.057
2015,NUTS,2010,ES24,2,0.0
2016,NUTS,2010,ES24,2,0.0
2017,NUTS,2010,ES24,2,0.0
2018,NUTS,2010,ES24,2,0.0
2011,NUTS,2010,ES3,1,6.415
2012,NUTS,2010,ES3,1,6.234
2013,NUTS,2010,ES3,1,5.609
2014,NUTS,2010,ES3,1,4.868
2015,NUTS,2010,ES3,1,5.407
2016,NUTS,2010,ES3,1,5.403
2017,NUTS,2010,ES3,1,6.531
2018,NUTS,2010,ES3,1,10.734
2019,NUTS,2010,ES3,1,16.117
2011,NUTS,2010,ES30,2,6.415
2012,NUTS,2010,ES30,2,6.234
2013,NUTS,2010,ES30,2,5.609
2014,NUTS,2010,ES30,2,4.868
2015,NUTS,2010,ES30,2,5.407
2016,NUTS,2010,ES30,2,5.403
2017,NUTS,2010,ES30,2,6.531
2018,NUTS,2010,ES30,2,10.734
2019,NUTS,2010,ES30,2,16.117
2011,NUTS,2010,ES4,1,0.842
2013,NUTS,2010,ES4,1,0.385
2014,NUTS,2010,ES4,1,0.349
2015,NUTS,2010,ES4,1,1.081
2016,NUTS,2010,ES4,1,1.081
2018,NUTS,2010,ES4,1,1.073
2019,NUTS,2010,ES4,1,1.075
2012,NUTS,2010,ES41,2,0.334
2013,NUTS,2010,ES41,2,0.244
2014,NUTS,2010,ES41,2,0.272
2015,NUTS,2010,ES41,2,0.0
2017,NUTS,2010,ES41,2,0.0
2018,NUTS,2010,ES41,2,0.0
2019,NUTS,2010,ES41,2,0.0
2013,NUTS,2010,ES42,2,0.045
2014,NUTS,2010,ES42,2,0.015
2015,NUTS,2010,ES42,2,0.0
2017,NUTS,2010,ES42,2,0.0
2011,NUTS,2010,ES43,2,0.089
2013,NUTS,2010,ES43,2,0.095
2014,NUTS,2010,ES43,2,0.063
2015,NUTS,2010,ES43,2,0.0
2016,NUTS,2010,ES43,2,0.0
2011,NUTS,2010,ES5,1,9.849
2012,NUTS,2010,ES5,1,10.711
2013,NUTS,2010,ES5,1,8.51
2014,NUTS,2010,ES5,1,9.961
2015,NUTS,2010,ES5,1,16.222
2016,NUTS,2010,ES5,1,18.368
2017,NUTS,2010,ES5,1,16.327
2018,NUTS,2010,ES5,1,19.322
2011,NUTS,2010,ES51,2,8.772
2012,NUTS,2010,ES51,2,9.778
