year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_fte_rse_pnp
2015,NUTS,2010,CZ07,2,2.0
2016,NUTS,2010,CZ07,2,2.0
2017,NUTS,2010,CZ07,2,2.0
2018,NUTS,2010,CZ07,2,0.0
2019,NUTS,2010,CZ07,2,2.0
2020,NUTS,2010,CZ07,2,1.0
2001,NUTS,2010,CZ08,2,1.0
2002,NUTS,2010,CZ08,2,4.0
2003,NUTS,2010,CZ08,2,2.0
2004,NUTS,2010,CZ08,2,0.0
2005,NUTS,2010,CZ08,2,0.0
2006,NUTS,2010,CZ08,2,0.0
2007,NUTS,2010,CZ08,2,0.0
2008,NUTS,2010,CZ08,2,0.0
2009,NUTS,2010,CZ08,2,0.0
2010,NUTS,2010,CZ08,2,0.0
2011,NUTS,2010,CZ08,2,1.0
2012,NUTS,2010,CZ08,2,6.0
2013,NUTS,2010,CZ08,2,1.0
2014,NUTS,2010,CZ08,2,4.0
2015,NUTS,2010,CZ08,2,2.0
2016,NUTS,2010,CZ08,2,2.0
2017,NUTS,2010,CZ08,2,3.0
2018,NUTS,2010,CZ08,2,4.0
2019,NUTS,2010,CZ08,2,4.0
2020,NUTS,2010,CZ08,2,2.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
1999,NUTS,2010,DK,0,96.0
2000,NUTS,2010,DK,0,75.0
2001,NUTS,2010,DK,0,69.0
2002,NUTS,2010,DK,0,72.0
2003,NUTS,2010,DK,0,65.0
2004,NUTS,2010,DK,0,77.0
2005,NUTS,2010,DK,0,100.0
2006,NUTS,2010,DK,0,109.0
2007,NUTS,2010,DK,0,107.0
2009,NUTS,2010,DK,0,104.0
2010,NUTS,2010,DK,0,116.0
2011,NUTS,2010,DK,0,122.0
2012,NUTS,2010,DK,0,129.0
2013,NUTS,2010,DK,0,125.0
2014,NUTS,2010,DK,0,130.0
2015,NUTS,2010,DK,0,128.0
2016,NUTS,2010,DK,0,142.0
2017,NUTS,2010,DK,0,124.0
2018,NUTS,2010,DK,0,108.0
2019,NUTS,2010,DK,0,130.0
1999,NUTS,2010,DK0,1,96.0
2000,NUTS,2010,DK0,1,75.0
2001,NUTS,2010,DK0,1,69.0
2002,NUTS,2010,DK0,1,72.0
2003,NUTS,2010,DK0,1,65.0
2009,NUTS,2010,DK0,1,104.0
2010,NUTS,2010,DK0,1,116.0
2011,NUTS,2010,DK0,1,122.0
2012,NUTS,2010,DK0,1,129.0
2013,NUTS,2010,DK0,1,125.0
2014,NUTS,2010,DK0,1,130.0
2015,NUTS,2010,DK0,1,128.0
2016,NUTS,2010,DK0,1,142.0
2017,NUTS,2010,DK0,1,124.0
2018,NUTS,2010,DK0,1,108.0
2019,NUTS,2010,DK0,1,130.0
2009,NUTS,2010,DK01,2,103.0
2010,NUTS,2010,DK01,2,111.0
2011,NUTS,2010,DK01,2,117.0
2012,NUTS,2010,DK01,2,121.0
2013,NUTS,2010,DK01,2,116.0
2014,NUTS,2010,DK01,2,121.0
2015,NUTS,2010,DK01,2,121.0
2016,NUTS,2010,DK01,2,133.0
2017,NUTS,2010,DK01,2,117.0
2019,NUTS,2010,DK01,2,130.0
2009,NUTS,2010,DK02,2,0.0
2010,NUTS,2010,DK02,2,4.0
2011,NUTS,2010,DK02,2,4.0
2012,NUTS,2010,DK02,2,4.0
2013,NUTS,2010,DK02,2,6.0
2014,NUTS,2010,DK02,2,6.0
2015,NUTS,2010,DK02,2,4.0
2016,NUTS,2010,DK02,2,4.0
2017,NUTS,2010,DK02,2,2.0
2019,NUTS,2010,DK02,2,0.0
2009,NUTS,2010,DK03,2,1.0
2010,NUTS,2010,DK03,2,0.0
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,4.0
2013,NUTS,2010,DK03,2,3.0
2014,NUTS,2010,DK03,2,3.0
2015,NUTS,2010,DK03,2,3.0
2016,NUTS,2010,DK03,2,5.0
2017,NUTS,2010,DK03,2,5.0
2009,NUTS,2010,DK04,2,0.0
2010,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2010,NUTS,2010,DK05,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,5.0
1996,NUTS,2010,EE,0,8.0
