year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_cab_p_mhab
2011,NUTS,2010,AT34,2,12.294
2012,NUTS,2010,AT34,2,4.502
2011,NUTS,2010,AT341,3,3.755
2012,NUTS,2010,AT341,3,11.381
2011,NUTS,2010,AT342,3,14.924
2012,NUTS,2010,AT342,3,2.367
2011,NUTS,2010,BE,0,6.835
2012,NUTS,2010,BE,0,8.442
2011,NUTS,2010,BE1,1,5.278
2012,NUTS,2010,BE1,1,9.263
2011,NUTS,2010,BE10,2,5.278
2012,NUTS,2010,BE10,2,9.263
2011,NUTS,2010,BE100,3,5.278
2012,NUTS,2010,BE100,3,9.263
2011,NUTS,2010,BE2,1,9.378
2012,NUTS,2010,BE2,1,12.446
2011,NUTS,2010,BE21,2,12.948
2012,NUTS,2010,BE21,2,21.574
2011,NUTS,2010,BE211,3,17.164
2012,NUTS,2010,BE211,3,31.576
2011,NUTS,2010,BE212,3,12.838
2012,NUTS,2010,BE212,3,9.178
2011,NUTS,2010,BE213,3,3.406
2012,NUTS,2010,BE213,3,7.883
2011,NUTS,2010,BE22,2,3.448
2012,NUTS,2010,BE22,2,1.174
2011,NUTS,2010,BE221,3,2.422
2011,NUTS,2010,BE222,3,3.538
2012,NUTS,2010,BE222,3,4.24
2011,NUTS,2010,BE223,3,5.417
2011,NUTS,2010,BE23,2,9.241
2012,NUTS,2010,BE23,2,11.471
2011,NUTS,2010,BE231,3,10.687
2012,NUTS,2010,BE231,3,0.609
2011,NUTS,2010,BE232,3,5.815
2012,NUTS,2010,BE232,3,6.284
2011,NUTS,2010,BE234,3,12.406
2012,NUTS,2010,BE234,3,19.112
2011,NUTS,2010,BE235,3,14.499
2011,NUTS,2010,BE236,3,3.837
2012,NUTS,2010,BE236,3,20.985
2011,NUTS,2010,BE24,2,14.586
2012,NUTS,2010,BE24,2,17.298
2011,NUTS,2010,BE241,3,7.712
2012,NUTS,2010,BE241,3,5.698
2011,NUTS,2010,BE242,3,23.037
2012,NUTS,2010,BE242,3,31.581
2011,NUTS,2010,BE25,2,3.57
2012,NUTS,2010,BE25,2,3.365
2012,NUTS,2010,BE252,3,9.934
2011,NUTS,2010,BE254,3,6.466
2012,NUTS,2010,BE254,3,5.98
2011,NUTS,2010,BE255,3,5.44
2012,NUTS,2010,BE255,3,3.775
2011,NUTS,2010,BE256,3,10.244
2012,NUTS,2010,BE256,3,4.549
2012,NUTS,2010,BE257,3,5.471
2011,NUTS,2010,BE3,1,2.504
2012,NUTS,2010,BE3,1,1.016
2011,NUTS,2010,BE31,2,9.123
2012,NUTS,2010,BE31,2,3.748
2011,NUTS,2010,BE310,3,9.123
2012,NUTS,2010,BE310,3,3.748
2011,NUTS,2010,BE32,2,1.174
2011,NUTS,2010,BE323,3,2.64
2011,NUTS,2010,BE325,3,4.501
2011,NUTS,2010,BE327,3,0.344
2011,NUTS,2010,BE33,2,2.606
2012,NUTS,2010,BE33,2,1.991
2012,NUTS,2010,BE331,3,2.998
2011,NUTS,2010,BE332,3,1.061
2012,NUTS,2010,BE332,3,0.535
2011,NUTS,2010,BE334,3,13.041
2011,NUTS,2010,BE336,3,15.342
2012,NUTS,2010,BE336,3,19.534
2011,NUTS,2010,BE35,2,2.086
2011,NUTS,2010,BE352,3,3.279
2011,NUTS,2010,BG,0,0.271
2012,NUTS,2010,BG,0,0.364
2012,NUTS,2010,BG3,1,0.247
2012,NUTS,2010,BG31,2,0.203
2012,NUTS,2010,BG311,3,1.709
2012,NUTS,2010,BG32,2,0.586
2012,NUTS,2010,BG322,3,4.119
2012,NUTS,2010,BG34,2,0.233
2012,NUTS,2010,BG343,3,1.922
2011,NUTS,2010,BG4,1,0.553
2012,NUTS,2010,BG4,1,0.486
2011,NUTS,2010,BG41,2,0.937
2012,NUTS,2010,BG41,2,0.741
2011,NUTS,2010,BG411,3,1.548
2012,NUTS,2010,BG411,3,1.219
2012,NUTS,2010,BG42,2,0.116
2012,NUTS,2010,BG421,3,0.25
2011,NUTS,2010,CH,0,13.148
2012,NUTS,2010,CH,0,12.125
2011,NUTS,2010,CH0,1,13.085
2012,NUTS,2010,CH0,1,11.948
2011,NUTS,2010,CH01,2,12.341
2012,NUTS,2010,CH01,2,16.049
2011,NUTS,2010,CH011,3,21.815
2012,NUTS,2010,CH011,3,28.074
2011,NUTS,2010,CH012,3,7.196
2012,NUTS,2010,CH012,3,4.732
2011,NUTS,2010,CH013,3,1.092
2012,NUTS,2010,CH013,3,4.886
2011,NUTS,2010,CH02,2,10.315
2012,NUTS,2010,CH02,2,8.907
2011,NUTS,2010,CH021,3,10.706
2012,NUTS,2010,CH021,3,5.563
2011,NUTS,2010,CH022,3,2.083
2012,NUTS,2010,CH022,3,15.667
2011,NUTS,2010,CH023,3,2.742
2012,NUTS,2010,CH023,3,0.973
2011,NUTS,2010,CH024,3,36.784
2012,NUTS,2010,CH024,3,30.315
2012,NUTS,2010,CH025,3,4.678
2011,NUTS,2010,CH03,2,13.924
2012,NUTS,2010,CH03,2,13.029
2011,NUTS,2010,CH031,3,19.627
2012,NUTS,2010,CH031,3,5.369
2011,NUTS,2010,CH032,3,11.662
2012,NUTS,2010,CH032,3,3.632
2011,NUTS,2010,CH033,3,13.214
2012,NUTS,2010,CH033,3,19.521
2011,NUTS,2010,CH04,2,23.313
2012,NUTS,2010,CH04,2,20.231
2011,NUTS,2010,CH040,3,23.313
2012,NUTS,2010,CH040,3,20.231
2011,NUTS,2010,CH05,2,7.557
2012,NUTS,2010,CH05,2,5.234
2011,NUTS,2010,CH052,3,1.441
2011,NUTS,2010,CH053,3,4.715
2012,NUTS,2010,CH053,3,20.258
2011,NUTS,2010,CH055,3,13.865
2012,NUTS,2010,CH055,3,5.34
2012,NUTS,2010,CH056,3,2.585
2011,NUTS,2010,CH057,3,5.353
2012,NUTS,2010,CH057,3,6.628
2011,NUTS,2010,CH06,2,13.97
2012,NUTS,2010,CH06,2,6.679
2011,NUTS,2010,CH061,3,9.719
2012,NUTS,2010,CH061,3,5.184
2011,NUTS,2010,CH063,3,13.358
2012,NUTS,2010,CH063,3,6.761
2011,NUTS,2010,CH065,3,12.188
2012,NUTS,2010,CH065,3,7.988
2011,NUTS,2010,CH066,3,38.46
2012,NUTS,2010,CH066,3,15.204
2011,NUTS,2010,CH07,2,2.487
2012,NUTS,2010,CH07,2,5.936
2011,NUTS,2010,CH070,3,2.487
2012,NUTS,2010,CH070,3,5.936
2012,NUTS,2010,CY,0,1.16
2012,NUTS,2010,CY0,1,1.16
2012,NUTS,2010,CY00,2,1.16
2012,NUTS,2010,CY000,3,1.16
2011,NUTS,2010,CZ,0,0.966
2012,NUTS,2010,CZ,0,0.534
2011,NUTS,2010,CZ0,1,0.871
2012,NUTS,2010,CZ0,1,0.534
2011,NUTS,2010,CZ01,2,2.172
2012,NUTS,2010,CZ01,2,2.875
2011,NUTS,2010,CZ010,3,2.172
2012,NUTS,2010,CZ010,3,2.875
2011,NUTS,2010,CZ02,2,1.494
2011,NUTS,2010,CZ020,3,1.494
2011,NUTS,2010,CZ04,2,1.766
2011,NUTS,2010,CZ041,3,6.583
2011,NUTS,2010,CZ06,2,1.528
2012,NUTS,2010,CZ06,2,0.941
2011,NUTS,2010,CZ063,3,0.976
2011,NUTS,2010,CZ064,3,1.77
2012,NUTS,2010,CZ064,3,1.355
2012,NUTS,2010,CZ07,2,0.269
2012,NUTS,2010,CZ071,3,0.517
2012,NUTS,2010,CZ08,2,0.106
2012,NUTS,2010,CZ080,3,0.106
2011,NUTS,2010,DE,0,11.613
2012,NUTS,2010,DE,0,10.222
2011,NUTS,2010,DE1,1,23.736
2012,NUTS,2010,DE1,1,21.011
2011,NUTS,2010,DE11,2,15.87
2012,NUTS,2010,DE11,2,10.59
2011,NUTS,2010,DE111,3,21.217
2012,NUTS,2010,DE111,3,15.553
2011,NUTS,2010,DE112,3,47.12
2012,NUTS,2010,DE112,3,10.34
2011,NUTS,2010,DE113,3,14.005
2012,NUTS,2010,DE113,3,10.847
2011,NUTS,2010,DE114,3,8.909
2011,NUTS,2010,DE115,3,27.626
2012,NUTS,2010,DE115,3,23.243
2011,NUTS,2010,DE116,3,8.617
2012,NUTS,2010,DE116,3,11.017
2012,NUTS,2010,DE117,3,12.072
2011,NUTS,2010,DE118,3,10.781
2012,NUTS,2010,DE118,3,2.129
2011,NUTS,2010,DE119,3,7.621
2012,NUTS,2010,DE119,3,14.702
2011,NUTS,2010,DE11A,3,5.307
2012,NUTS,2010,DE11A,3,7.429
2011,NUTS,2010,DE11D,3,1.384
2012,NUTS,2010,DE11D,3,5.284
2011,NUTS,2010,DE12,2,46.122
2012,NUTS,2010,DE12,2,47.622
2011,NUTS,2010,DE122,3,52.585
2012,NUTS,2010,DE122,3,32.203
2011,NUTS,2010,DE123,3,25.262
2012,NUTS,2010,DE123,3,25.221
2011,NUTS,2010,DE124,3,15.786
2012,NUTS,2010,DE124,3,19.083
2011,NUTS,2010,DE125,3,26.203
2012,NUTS,2010,DE125,3,39.296
2011,NUTS,2010,DE126,3,9.963
2012,NUTS,2010,DE126,3,6.287
2011,NUTS,2010,DE128,3,144.711
2012,NUTS,2010,DE128,3,170.033
2011,NUTS,2010,DE129,3,7.514
2011,NUTS,2010,DE12A,3,26.896
2012,NUTS,2010,DE12A,3,1.593
2011,NUTS,2010,DE12B,3,10.726
2012,NUTS,2010,DE12B,3,22.02
2011,NUTS,2010,DE12C,3,38.206
2012,NUTS,2010,DE12C,3,18.285
2011,NUTS,2010,DE13,2,13.337
2012,NUTS,2010,DE13,2,15.781
2011,NUTS,2010,DE131,3,20.429
2012,NUTS,2010,DE131,3,37.095
2011,NUTS,2010,DE132,3,13.253
2012,NUTS,2010,DE132,3,3.963
2011,NUTS,2010,DE133,3,32.082
2012,NUTS,2010,DE133,3,77.163
2011,NUTS,2010,DE134,3,8.191
2012,NUTS,2010,DE134,3,4.188
2012,NUTS,2010,DE135,3,16.797
2011,NUTS,2010,DE136,3,18.157
2012,NUTS,2010,DE136,3,2.425
2011,NUTS,2010,DE137,3,7.452
2012,NUTS,2010,DE137,3,19.895
2011,NUTS,2010,DE138,3,20.001
2012,NUTS,2010,DE138,3,10.408
2011,NUTS,2010,DE139,3,8.623
2012,NUTS,2010,DE139,3,4.479
2011,NUTS,2010,DE13A,3,4.033
2012,NUTS,2010,DE13A,3,11.564
2011,NUTS,2010,DE14,2,19.812
2012,NUTS,2010,DE14,2,10.06
2011,NUTS,2010,DE141,3,44.424
2012,NUTS,2010,DE141,3,7.544
2011,NUTS,2010,DE142,3,25.982
2012,NUTS,2010,DE142,3,31.625
2011,NUTS,2010,DE143,3,10.616
2012,NUTS,2010,DE143,3,6.233
2011,NUTS,2010,DE144,3,32.899
2012,NUTS,2010,DE144,3,24.905
2011,NUTS,2010,DE145,3,13.181
2012,NUTS,2010,DE145,3,7.902
2011,NUTS,2010,DE146,3,10.987
2012,NUTS,2010,DE146,3,7.915
2011,NUTS,2010,DE147,3,8.543
2012,NUTS,2010,DE147,3,2.384
2011,NUTS,2010,DE148,3,16.356
2012,NUTS,2010,DE148,3,4.786
2011,NUTS,2010,DE149,3,5.145
2011,NUTS,2010,DE2,1,25.125
2012,NUTS,2010,DE2,1,20.949
2011,NUTS,2010,DE21,2,43.691
2012,NUTS,2010,DE21,2,34.36
2011,NUTS,2010,DE211,3,50.604
2012,NUTS,2010,DE211,3,59.496
2011,NUTS,2010,DE212,3,71.372
2012,NUTS,2010,DE212,3,57.895
2011,NUTS,2010,DE213,3,24.47
2012,NUTS,2010,DE213,3,24.385
2012,NUTS,2010,DE214,3,1.852
2011,NUTS,2010,DE215,3,24.71
2012,NUTS,2010,DE215,3,16.797
2011,NUTS,2010,DE216,3,17.816
2012,NUTS,2010,DE216,3,11.607
2011,NUTS,2010,DE217,3,42.296
2012,NUTS,2010,DE217,3,11.553
2011,NUTS,2010,DE218,3,81.115
2012,NUTS,2010,DE218,3,82.557
2011,NUTS,2010,DE219,3,17.358
2012,NUTS,2010,DE219,3,32.981
2011,NUTS,2010,DE21A,3,26.218
2012,NUTS,2010,DE21A,3,9.282
2011,NUTS,2010,DE21B,3,24.222
2012,NUTS,2010,DE21B,3,21.465
2011,NUTS,2010,DE21C,3,40.335
2012,NUTS,2010,DE21C,3,32.554
2011,NUTS,2010,DE21E,3,15.965
2012,NUTS,2010,DE21E,3,2.864
2011,NUTS,2010,DE21F,3,5.228
2012,NUTS,2010,DE21F,3,8.648
2011,NUTS,2010,DE21G,3,12.06
2012,NUTS,2010,DE21G,3,18.07
2011,NUTS,2010,DE21H,3,75.693
2012,NUTS,2010,DE21H,3,55.555
2011,NUTS,2010,DE21I,3,6.346
2012,NUTS,2010,DE21I,3,5.441
2011,NUTS,2010,DE21J,3,41.918
2012,NUTS,2010,DE21J,3,16.927
2011,NUTS,2010,DE21K,3,16.655
2012,NUTS,2010,DE21K,3,19.036
2011,NUTS,2010,DE21L,3,55.802
2012,NUTS,2010,DE21L,3,17.706
2011,NUTS,2010,DE21M,3,3.929
2012,NUTS,2010,DE21M,3,1.931
2011,NUTS,2010,DE21N,3,19.324
2012,NUTS,2010,DE21N,3,4.877
2011,NUTS,2010,DE22,2,4.28
2012,NUTS,2010,DE22,2,1.509
2011,NUTS,2010,DE221,3,32.881
2012,NUTS,2010,DE223,3,2.236
2011,NUTS,2010,DE226,3,1.502
2011,NUTS,2010,DE227,3,12.367
2012,NUTS,2010,DE227,3,10.039
2011,NUTS,2010,DE22A,3,4.239
2012,NUTS,2010,DE22A,3,1.695
2011,NUTS,2010,DE22B,3,5.123
2011,NUTS,2010,DE23,2,13.32
2012,NUTS,2010,DE23,2,14.84
2012,NUTS,2010,DE231,3,34.46
2011,NUTS,2010,DE232,3,38.74
2012,NUTS,2010,DE232,3,12.081
2011,NUTS,2010,DE233,3,4.051
2011,NUTS,2010,DE234,3,4.278
2012,NUTS,2010,DE234,3,21.488
2011,NUTS,2010,DE235,3,7.793
2012,NUTS,2010,DE235,3,2.578
2011,NUTS,2010,DE236,3,9.392
2012,NUTS,2010,DE236,3,9.771
2011,NUTS,2010,DE237,3,12.036
2011,NUTS,2010,DE238,3,21.763
2012,NUTS,2010,DE238,3,45.011
2011,NUTS,2010,DE239,3,8.193
2012,NUTS,2010,DE239,3,5.248
2011,NUTS,2010,DE24,2,4.667
2012,NUTS,2010,DE24,2,7.71
2011,NUTS,2010,DE241,3,3.571
2012,NUTS,2010,DE241,3,34.958
2012,NUTS,2010,DE242,3,13.678
2012,NUTS,2010,DE244,3,5.446
2011,NUTS,2010,DE245,3,6.934
2011,NUTS,2010,DE246,3,1.885
2012,NUTS,2010,DE246,3,11.821
2011,NUTS,2010,DE248,3,31.42
2012,NUTS,2010,DE248,3,28.973
2011,NUTS,2010,DE25,2,40.922
2012,NUTS,2010,DE25,2,32.678
2012,NUTS,2010,DE251,3,8.189
2011,NUTS,2010,DE252,3,164.254
2012,NUTS,2010,DE252,3,140.699
2011,NUTS,2010,DE253,3,22.857
2012,NUTS,2010,DE253,3,14.099
2011,NUTS,2010,DE254,3,42.479
2012,NUTS,2010,DE254,3,35.644
2011,NUTS,2010,DE255,3,12.86
2011,NUTS,2010,DE256,3,2.779
2012,NUTS,2010,DE256,3,1.392
2011,NUTS,2010,DE257,3,53.101
2012,NUTS,2010,DE257,3,75.578
2011,NUTS,2010,DE258,3,74.035
2012,NUTS,2010,DE258,3,61.75
2011,NUTS,2010,DE259,3,28.389
2012,NUTS,2010,DE259,3,8.904
2011,NUTS,2010,DE25A,3,28.188
2012,NUTS,2010,DE25A,3,10.258
2011,NUTS,2010,DE25B,3,37.363
2012,NUTS,2010,DE25B,3,9.679
2011,NUTS,2010,DE26,2,11.547
2012,NUTS,2010,DE26,2,5.209
2011,NUTS,2010,DE261,3,38.44
2012,NUTS,2010,DE261,3,3.633
2011,NUTS,2010,DE262,3,6.178
2011,NUTS,2010,DE263,3,18.685
2012,NUTS,2010,DE263,3,8.744
2011,NUTS,2010,DE264,3,12.915
2012,NUTS,2010,DE264,3,9.526
2011,NUTS,2010,DE265,3,11.985
2012,NUTS,2010,DE266,3,4.009
2011,NUTS,2010,DE268,3,9.389
2011,NUTS,2010,DE269,3,5.454
2012,NUTS,2010,DE269,3,3.755
2011,NUTS,2010,DE26A,3,9.784
2012,NUTS,2010,DE26A,3,5.267
2011,NUTS,2010,DE26B,3,5.664
2012,NUTS,2010,DE26B,3,16.043
2011,NUTS,2010,DE26C,3,17.711
2012,NUTS,2010,DE26C,3,3.129
2011,NUTS,2010,DE27,2,7.737
2012,NUTS,2010,DE27,2,12.575
2011,NUTS,2010,DE271,3,26.444
2012,NUTS,2010,DE271,3,23.139
2011,NUTS,2010,DE272,3,23.899
2012,NUTS,2010,DE273,3,8.033
2011,NUTS,2010,DE275,3,2.579
2012,NUTS,2010,DE275,3,23.355
2011,NUTS,2010,DE276,3,6.581
2012,NUTS,2010,DE276,3,29.757
2012,NUTS,2010,DE277,3,7.187
2011,NUTS,2010,DE278,3,4.151
2012,NUTS,2010,DE278,3,4.16
2012,NUTS,2010,DE279,3,4.996
2011,NUTS,2010,DE27A,3,29.962
2012,NUTS,2010,DE27A,3,10.389
2011,NUTS,2010,DE27B,3,7.469
2012,NUTS,2010,DE27B,3,13.659
2012,NUTS,2010,DE27E,3,6.669
2011,NUTS,2010,DE3,1,17.233
2012,NUTS,2010,DE3,1,13.636
2011,NUTS,2010,DE30,2,17.233
2012,NUTS,2010,DE30,2,13.636
2011,NUTS,2010,DE300,3,17.233
2012,NUTS,2010,DE300,3,13.636
2011,NUTS,2010,DE4,1,4.774
2012,NUTS,2010,DE4,1,5.678
2011,NUTS,2010,DE40,2,4.774
2012,NUTS,2010,DE40,2,5.678
2011,NUTS,2010,DE401,3,4.598
2011,NUTS,2010,DE402,3,4.898
2011,NUTS,2010,DE403,3,4.144
2012,NUTS,2010,DE403,3,8.333
2011,NUTS,2010,DE404,3,15.933
2012,NUTS,2010,DE404,3,7.866
2011,NUTS,2010,DE405,3,11.309
2012,NUTS,2010,DE405,3,30.234
2011,NUTS,2010,DE406,3,1.545
2012,NUTS,2010,DE406,3,5.571
2011,NUTS,2010,DE408,3,6.456
2012,NUTS,2010,DE408,3,1.611
2011,NUTS,2010,DE40A,3,5.514
2012,NUTS,2010,DE40A,3,12.678
2011,NUTS,2010,DE40C,3,1.36
2012,NUTS,2010,DE40C,3,1.368
2012,NUTS,2010,DE40D,3,9.794
2011,NUTS,2010,DE40E,3,15.848
2012,NUTS,2010,DE40E,3,8.897
2011,NUTS,2010,DE40G,3,3.956
2012,NUTS,2010,DE40H,3,1.548
2011,NUTS,2010,DE5,1,6.554
2012,NUTS,2010,DE5,1,2.268
2011,NUTS,2010,DE50,2,6.554
2012,NUTS,2010,DE50,2,2.268
2011,NUTS,2010,DE501,3,5.481
2012,NUTS,2010,DE501,3,2.736
2011,NUTS,2010,DE502,3,11.732
2011,NUTS,2010,DE6,1,5.363
2012,NUTS,2010,DE6,1,5.876
2011,NUTS,2010,DE60,2,5.363
2012,NUTS,2010,DE60,2,5.876
2011,NUTS,2010,DE600,3,5.363
2012,NUTS,2010,DE600,3,5.876
2011,NUTS,2010,DE7,1,7.903
2012,NUTS,2010,DE7,1,10.024
2011,NUTS,2010,DE71,2,10.235
2012,NUTS,2010,DE71,2,14.209
2011,NUTS,2010,DE711,3,26.869
2012,NUTS,2010,DE711,3,95.202
2011,NUTS,2010,DE712,3,16.67
2012,NUTS,2010,DE712,3,23.542
2011,NUTS,2010,DE713,3,10.379
2012,NUTS,2010,DE713,3,29.909
2011,NUTS,2010,DE714,3,5.435
2012,NUTS,2010,DE714,3,6.095
2011,NUTS,2010,DE715,3,5.064
2012,NUTS,2010,DE715,3,1.903
2011,NUTS,2010,DE716,3,19.744
2012,NUTS,2010,DE716,3,12.861
2011,NUTS,2010,DE717,3,0.981
2012,NUTS,2010,DE717,3,5.017
2011,NUTS,2010,DE718,3,4.177
2012,NUTS,2010,DE718,3,6.175
2011,NUTS,2010,DE719,3,3.266
2012,NUTS,2010,DE719,3,2.548
2011,NUTS,2010,DE71A,3,14.556
2012,NUTS,2010,DE71A,3,23.898
2012,NUTS,2010,DE71B,3,3.409
2011,NUTS,2010,DE71C,3,16.092
2012,NUTS,2010,DE71C,3,7.733
2012,NUTS,2010,DE71D,3,2.73
2011,NUTS,2010,DE71E,3,8.959
2012,NUTS,2010,DE71E,3,5.965
2011,NUTS,2010,DE72,2,7.443
2012,NUTS,2010,DE72,2,5.839
2011,NUTS,2010,DE721,3,4.874
2012,NUTS,2010,DE721,3,4.157
2011,NUTS,2010,DE722,3,15.105
2012,NUTS,2010,DE722,3,15.051
2011,NUTS,2010,DE723,3,1.933
2011,NUTS,2010,DE724,3,8.284
2012,NUTS,2010,DE724,3,4.784
2011,NUTS,2010,DE725,3,2.284
2011,NUTS,2010,DE73,2,1.024
2012,NUTS,2010,DE73,2,0.411
2012,NUTS,2010,DE732,3,1.154
2011,NUTS,2010,DE735,3,1.369
2012,NUTS,2010,DE735,3,1.377
2011,NUTS,2010,DE736,3,6.178
2011,NUTS,2010,DE8,1,0.81
2012,NUTS,2010,DE8,1,1.223
2011,NUTS,2010,DE80,2,0.81
2012,NUTS,2010,DE80,2,1.223
2012,NUTS,2010,DE804,3,10.493
2011,NUTS,2010,DE807,3,2.816
2012,NUTS,2010,DE807,3,8.554
2011,NUTS,2010,DE80D,3,9.474
2011,NUTS,2010,DE9,1,6.869
2012,NUTS,2010,DE9,1,6.543
2011,NUTS,2010,DE91,2,8.171
2012,NUTS,2010,DE91,2,7.005
2011,NUTS,2010,DE911,3,23.707
2012,NUTS,2010,DE911,3,27.619
2011,NUTS,2010,DE913,3,25.772
2012,NUTS,2010,DE913,3,10.85
2011,NUTS,2010,DE914,3,7.24
2012,NUTS,2010,DE914,3,5.814
2011,NUTS,2010,DE915,3,6.776
2011,NUTS,2010,DE91A,3,3.423
2011,NUTS,2010,DE91B,3,5.49
2012,NUTS,2010,DE91B,3,16.442
2011,NUTS,2010,DE92,2,16.243
2012,NUTS,2010,DE92,2,14.559
2012,NUTS,2010,DE922,3,2.343
2012,NUTS,2010,DE923,3,11.527
2011,NUTS,2010,DE925,3,20.116
2012,NUTS,2010,DE925,3,18.821
2011,NUTS,2010,DE928,3,8.28
2012,NUTS,2010,DE928,3,5.196
2011,NUTS,2010,DE929,3,24.485
2012,NUTS,2010,DE929,3,20.018
2011,NUTS,2010,DE93,2,2.068
2012,NUTS,2010,DE93,2,1.675
2011,NUTS,2010,DE931,3,2.801
2011,NUTS,2010,DE932,3,1.646
2011,NUTS,2010,DE933,3,2.714
2012,NUTS,2010,DE933,3,2.016
2011,NUTS,2010,DE938,3,7.162
2011,NUTS,2010,DE939,3,5.073
2012,NUTS,2010,DE939,3,6.733
2012,NUTS,2010,DE93A,3,10.688
2011,NUTS,2010,DE94,2,1.211
2012,NUTS,2010,DE94,2,2.653
2012,NUTS,2010,DE942,3,6.404
2011,NUTS,2010,DE943,3,6.166
2011,NUTS,2010,DE944,3,6.093
2012,NUTS,2010,DE944,3,7.575
2012,NUTS,2010,DE947,3,1.752
2012,NUTS,2010,DE949,3,2.137
2012,NUTS,2010,DE94A,3,10.081
2012,NUTS,2010,DE94B,3,10.534
2012,NUTS,2010,DE94C,3,2.0
2012,NUTS,2010,DE94D,3,7.837
2011,NUTS,2010,DE94E,3,2.808
2012,NUTS,2010,DE94E,3,0.702
2011,NUTS,2010,DEA,1,6.236
2012,NUTS,2010,DEA,1,5.194
2011,NUTS,2010,DEA1,2,4.033
2012,NUTS,2010,DEA1,2,4.144
2011,NUTS,2010,DEA11,3,5.215
2012,NUTS,2010,DEA11,3,11.259
2011,NUTS,2010,DEA12,3,6.128
2012,NUTS,2010,DEA12,3,7.643
2011,NUTS,2010,DEA13,3,1.879
2011,NUTS,2010,DEA14,3,1.404
2012,NUTS,2010,DEA14,3,2.133
2011,NUTS,2010,DEA15,3,2.597
2011,NUTS,2010,DEA16,3,9.979
2012,NUTS,2010,DEA16,3,3.171
2012,NUTS,2010,DEA18,3,9.124
2011,NUTS,2010,DEA19,3,6.253
2011,NUTS,2010,DEA1A,3,6.662
2012,NUTS,2010,DEA1A,3,3.72
2012,NUTS,2010,DEA1B,3,2.175
2011,NUTS,2010,DEA1C,3,6.059
2012,NUTS,2010,DEA1C,3,5.663
2011,NUTS,2010,DEA1D,3,8.279
2012,NUTS,2010,DEA1D,3,1.51
2012,NUTS,2010,DEA1E,3,10.005
2011,NUTS,2010,DEA1F,3,2.134
2012,NUTS,2010,DEA1F,3,1.07
2011,NUTS,2010,DEA2,2,8.553
2012,NUTS,2010,DEA2,2,4.506
2011,NUTS,2010,DEA22,3,29.332
2012,NUTS,2010,DEA22,3,12.198
2011,NUTS,2010,DEA23,3,10.098
2012,NUTS,2010,DEA23,3,1.809
2011,NUTS,2010,DEA24,3,5.163
2012,NUTS,2010,DEA24,3,2.047
2011,NUTS,2010,DEA26,3,1.868
2012,NUTS,2010,DEA26,3,3.744
2011,NUTS,2010,DEA27,3,3.684
2011,NUTS,2010,DEA28,3,1.309
2011,NUTS,2010,DEA29,3,0.981
2011,NUTS,2010,DEA2A,3,1.175
2012,NUTS,2010,DEA2A,3,7.155
2011,NUTS,2010,DEA2B,3,12.639
2012,NUTS,2010,DEA2B,3,19.915
2011,NUTS,2010,DEA2C,3,7.85
