year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_hc_f
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,4177.0
2015,NUTS,2010,CH,0,5554.0
2017,NUTS,2010,CH,0,6250.0
2019,NUTS,2010,CH,0,6690.0
2012,NUTS,2010,CH01,2,797.0
2015,NUTS,2010,CH01,2,1227.0
2017,NUTS,2010,CH01,2,1005.0
2019,NUTS,2010,CH01,2,1211.0
2012,NUTS,2010,CH02,2,792.0
2015,NUTS,2010,CH02,2,489.0
2017,NUTS,2010,CH02,2,554.0
2019,NUTS,2010,CH02,2,470.0
2012,NUTS,2010,CH03,2,782.0
2015,NUTS,2010,CH03,2,2242.0
2017,NUTS,2010,CH03,2,2788.0
2019,NUTS,2010,CH03,2,3164.0
2012,NUTS,2010,CH04,2,1198.0
2015,NUTS,2010,CH04,2,726.0
2017,NUTS,2010,CH04,2,770.0
2019,NUTS,2010,CH04,2,684.0
2012,NUTS,2010,CH05,2,269.0
2015,NUTS,2010,CH05,2,357.0
2017,NUTS,2010,CH05,2,349.0
2019,NUTS,2010,CH05,2,464.0
2012,NUTS,2010,CH06,2,150.0
2015,NUTS,2010,CH06,2,466.0
2017,NUTS,2010,CH06,2,658.0
2019,NUTS,2010,CH06,2,608.0
2012,NUTS,2010,CH07,2,189.0
2015,NUTS,2010,CH07,2,47.0
2017,NUTS,2010,CH07,2,128.0
2019,NUTS,2010,CH07,2,89.0
2011,NUTS,2010,CY,0,97.0
2012,NUTS,2010,CY,0,100.0
2013,NUTS,2010,CY,0,106.0
2014,NUTS,2010,CY,0,107.0
2015,NUTS,2010,CY,0,94.0
2016,NUTS,2010,CY,0,107.0
2017,NUTS,2010,CY,0,134.0
2018,NUTS,2010,CY,0,187.0
2019,NUTS,2010,CY,0,200.0
2011,NUTS,2010,CZ,0,2198.0
2012,NUTS,2010,CZ,0,2405.0
2013,NUTS,2010,CZ,0,2662.0
2014,NUTS,2010,CZ,0,2975.0
2015,NUTS,2010,CZ,0,2887.0
2016,NUTS,2010,CZ,0,2861.0
2017,NUTS,2010,CZ,0,2990.0
2018,NUTS,2010,CZ,0,3155.0
2019,NUTS,2010,CZ,0,3407.0
2020,NUTS,2010,CZ,0,3639.0
2011,NUTS,2010,CZ0,1,2198.0
2012,NUTS,2010,CZ0,1,2405.0
2013,NUTS,2010,CZ0,1,2662.0
2014,NUTS,2010,CZ0,1,2975.0
2015,NUTS,2010,CZ0,1,2886.0
2016,NUTS,2010,CZ0,1,2861.0
2017,NUTS,2010,CZ0,1,2990.0
2018,NUTS,2010,CZ0,1,3155.0
2019,NUTS,2010,CZ0,1,3407.0
2020,NUTS,2010,CZ0,1,3639.0
2011,NUTS,2010,CZ01,2,556.0
2012,NUTS,2010,CZ01,2,734.0
2013,NUTS,2010,CZ01,2,816.0
2014,NUTS,2010,CZ01,2,850.0
2015,NUTS,2010,CZ01,2,867.0
2016,NUTS,2010,CZ01,2,1080.0
2017,NUTS,2010,CZ01,2,980.0
2018,NUTS,2010,CZ01,2,1027.0
2019,NUTS,2010,CZ01,2,1003.0
2020,NUTS,2010,CZ01,2,1100.0
2011,NUTS,2010,CZ02,2,435.0
2012,NUTS,2010,CZ02,2,444.0
2013,NUTS,2010,CZ02,2,346.0
2014,NUTS,2010,CZ02,2,322.0
2015,NUTS,2010,CZ02,2,337.0
2016,NUTS,2010,CZ02,2,182.0
2017,NUTS,2010,CZ02,2,278.0
2018,NUTS,2010,CZ02,2,340.0
2019,NUTS,2010,CZ02,2,364.0
2020,NUTS,2010,CZ02,2,364.0
2011,NUTS,2010,CZ03,2,96.0
2012,NUTS,2010,CZ03,2,109.0
2013,NUTS,2010,CZ03,2,126.0
2014,NUTS,2010,CZ03,2,141.0
2015,NUTS,2010,CZ03,2,152.0
2016,NUTS,2010,CZ03,2,167.0
2017,NUTS,2010,CZ03,2,184.0
2018,NUTS,2010,CZ03,2,197.0
2019,NUTS,2010,CZ03,2,233.0
2020,NUTS,2010,CZ03,2,245.0
2011,NUTS,2010,CZ04,2,69.0
2012,NUTS,2010,CZ04,2,72.0
2013,NUTS,2010,CZ04,2,98.0
2014,NUTS,2010,CZ04,2,88.0
2015,NUTS,2010,CZ04,2,87.0
2016,NUTS,2010,CZ04,2,87.0
2017,NUTS,2010,CZ04,2,106.0
2018,NUTS,2010,CZ04,2,99.0
2019,NUTS,2010,CZ04,2,105.0
2020,NUTS,2010,CZ04,2,98.0
2011,NUTS,2010,CZ05,2,283.0
2012,NUTS,2010,CZ05,2,354.0
2013,NUTS,2010,CZ05,2,394.0
2014,NUTS,2010,CZ05,2,367.0
2015,NUTS,2010,CZ05,2,397.0
2016,NUTS,2010,CZ05,2,374.0
2017,NUTS,2010,CZ05,2,420.0
2018,NUTS,2010,CZ05,2,395.0
2019,NUTS,2010,CZ05,2,402.0
2020,NUTS,2010,CZ05,2,443.0
2011,NUTS,2010,CZ06,2,437.0
2012,NUTS,2010,CZ06,2,366.0
2013,NUTS,2010,CZ06,2,545.0
2014,NUTS,2010,CZ06,2,870.0
2015,NUTS,2010,CZ06,2,670.0
2016,NUTS,2010,CZ06,2,583.0
2017,NUTS,2010,CZ06,2,585.0
2018,NUTS,2010,CZ06,2,637.0
2019,NUTS,2010,CZ06,2,740.0
2020,NUTS,2010,CZ06,2,823.0
2011,NUTS,2010,CZ07,2,206.0
2012,NUTS,2010,CZ07,2,204.0
2013,NUTS,2010,CZ07,2,211.0
2014,NUTS,2010,CZ07,2,208.0
2015,NUTS,2010,CZ07,2,231.0
2016,NUTS,2010,CZ07,2,219.0
2017,NUTS,2010,CZ07,2,222.0
2018,NUTS,2010,CZ07,2,219.0
2019,NUTS,2010,CZ07,2,305.0
2020,NUTS,2010,CZ07,2,307.0
2011,NUTS,2010,CZ08,2,117.0
2012,NUTS,2010,CZ08,2,121.0
2013,NUTS,2010,CZ08,2,126.0
2014,NUTS,2010,CZ08,2,130.0
2015,NUTS,2010,CZ08,2,145.0
2016,NUTS,2010,CZ08,2,169.0
2017,NUTS,2010,CZ08,2,215.0
2018,NUTS,2010,CZ08,2,241.0
2019,NUTS,2010,CZ08,2,255.0
2020,NUTS,2010,CZ08,2,259.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,30638.0
2013,NUTS,2010,DE,0,31172.0
2015,NUTS,2010,DE,0,37225.0
2017,NUTS,2010,DE,0,41193.0
2019,NUTS,2010,DE,0,45872.0
2017,NUTS,2010,DE1,1,10713.0
2019,NUTS,2010,DE1,1,11611.0
2017,NUTS,2010,DE11,2,5762.0
2019,NUTS,2010,DE11,2,6029.0
2017,NUTS,2010,DE12,2,2250.0
2019,NUTS,2010,DE12,2,2454.0
2017,NUTS,2010,DE13,2,1003.0
2019,NUTS,2010,DE13,2,1147.0
2017,NUTS,2010,DE14,2,1697.0
2019,NUTS,2010,DE14,2,1981.0
2017,NUTS,2010,DE2,1,8083.0
2019,NUTS,2010,DE2,1,9408.0
2017,NUTS,2010,DE21,2,4621.0
2019,NUTS,2010,DE21,2,5479.0
2017,NUTS,2010,DE22,2,304.0
2019,NUTS,2010,DE22,2,351.0
2017,NUTS,2010,DE23,2,478.0
2019,NUTS,2010,DE23,2,625.0
2017,NUTS,2010,DE24,2,408.0
2019,NUTS,2010,DE24,2,512.0
2017,NUTS,2010,DE25,2,1042.0
2019,NUTS,2010,DE25,2,1169.0
2017,NUTS,2010,DE26,2,656.0
2019,NUTS,2010,DE26,2,691.0
2017,NUTS,2010,DE27,2,575.0
2019,NUTS,2010,DE27,2,582.0
2017,NUTS,2010,DE3,1,2259.0
2019,NUTS,2010,DE3,1,2526.0
2017,NUTS,2010,DE30,2,2259.0
2019,NUTS,2010,DE30,2,2526.0
2017,NUTS,2010,DE4,1,555.0
2019,NUTS,2010,DE4,1,587.0
2017,NUTS,2010,DE40,2,555.0
2019,NUTS,2010,DE40,2,587.0
2017,NUTS,2010,DE5,1,296.0
2019,NUTS,2010,DE5,1,363.0
2017,NUTS,2010,DE50,2,296.0
2019,NUTS,2010,DE50,2,363.0
2017,NUTS,2010,DE6,1,968.0
2019,NUTS,2010,DE6,1,1074.0
2017,NUTS,2010,DE60,2,968.0
2019,NUTS,2010,DE60,2,1074.0
2017,NUTS,2010,DE7,1,3649.0
2019,NUTS,2010,DE7,1,3922.0
2017,NUTS,2010,DE71,2,3015.0
2019,NUTS,2010,DE71,2,3309.0
2017,NUTS,2010,DE72,2,362.0
2019,NUTS,2010,DE72,2,339.0
2017,NUTS,2010,DE73,2,272.0
2019,NUTS,2010,DE73,2,273.0
2017,NUTS,2010,DE8,1,302.0
2019,NUTS,2010,DE8,1,367.0
2017,NUTS,2010,DE80,2,302.0
2019,NUTS,2010,DE80,2,367.0
2017,NUTS,2010,DE9,1,2595.0
2019,NUTS,2010,DE9,1,2870.0
2017,NUTS,2010,DE91,2,1323.0
2019,NUTS,2010,DE91,2,1437.0
2017,NUTS,2010,DE92,2,646.0
2019,NUTS,2010,DE92,2,697.0
2017,NUTS,2010,DE93,2,215.0
2019,NUTS,2010,DE93,2,235.0
2017,NUTS,2010,DE94,2,411.0
2019,NUTS,2010,DE94,2,501.0
2017,NUTS,2010,DEA,1,6553.0
2019,NUTS,2010,DEA,1,7169.0
2017,NUTS,2010,DEA1,2,2775.0
2019,NUTS,2010,DEA1,2,3075.0
2017,NUTS,2010,DEA2,2,1901.0
2019,NUTS,2010,DEA2,2,2013.0
2017,NUTS,2010,DEA3,2,373.0
2019,NUTS,2010,DEA3,2,425.0
2017,NUTS,2010,DEA4,2,743.0
2019,NUTS,2010,DEA4,2,847.0
2017,NUTS,2010,DEA5,2,760.0
2019,NUTS,2010,DEA5,2,809.0
2017,NUTS,2010,DEB,1,1642.0
2019,NUTS,2010,DEB,1,2001.0
2017,NUTS,2010,DEB1,2,224.0
2019,NUTS,2010,DEB1,2,285.0
2017,NUTS,2010,DEB2,2,67.0
2019,NUTS,2010,DEB2,2,70.0
2017,NUTS,2010,DEB3,2,1351.0
2019,NUTS,2010,DEB3,2,1646.0
2017,NUTS,2010,DEC,1,362.0
2019,NUTS,2010,DEC,1,379.0
2017,NUTS,2010,DEC0,2,362.0
2019,NUTS,2010,DEC0,2,379.0
2017,NUTS,2010,DED,1,1556.0
2019,NUTS,2010,DED,1,1725.0
2017,NUTS,2010,DED2,2,750.0
2019,NUTS,2010,DED2,2,882.0
2017,NUTS,2010,DED4,2,592.0
2019,NUTS,2010,DED4,2,634.0
2017,NUTS,2010,DED5,2,213.0
2019,NUTS,2010,DED5,2,209.0
2017,NUTS,2010,DEE,1,339.0
2019,NUTS,2010,DEE,1,402.0
2017,NUTS,2010,DEE0,2,339.0
2019,NUTS,2010,DEE0,2,402.0
2017,NUTS,2010,DEF,1,604.0
2019,NUTS,2010,DEF,1,652.0
2017,NUTS,2010,DEF0,2,604.0
2019,NUTS,2010,DEF0,2,652.0
2017,NUTS,2010,DEG,1,716.0
2019,NUTS,2010,DEG,1,816.0
2017,NUTS,2010,DEG0,2,716.0
2019,NUTS,2010,DEG0,2,816.0
2017,NUTS,2010,DEZ,1,0.0
2019,NUTS,2010,DEZ,1,0.0
2017,NUTS,2010,DEZZ,2,0.0
2019,NUTS,2010,DEZZ,2,0.0
2011,NUTS,2010,DK,0,7756.0
2012,NUTS,2010,DK,0,8159.0
2013,NUTS,2010,DK,0,7514.0
2015,NUTS,2010,DK,0,7254.0
2017,NUTS,2010,DK,0,8668.0
2019,NUTS,2010,DK,0,7921.0
2011,NUTS,2010,DK0,1,7245.0
2013,NUTS,2010,DK0,1,7782.0
2015,NUTS,2010,DK0,1,7254.0
2017,NUTS,2010,DK0,1,8668.0
2019,NUTS,2010,DK0,1,7921.0
2011,NUTS,2010,DK01,2,5579.0
2013,NUTS,2010,DK01,2,5750.0
2015,NUTS,2010,DK01,2,5303.0
2017,NUTS,2010,DK01,2,6945.0
2019,NUTS,2010,DK01,2,5674.0
2011,NUTS,2010,DK02,2,246.0
2013,NUTS,2010,DK02,2,433.0
2015,NUTS,2010,DK02,2,235.0
2017,NUTS,2010,DK02,2,348.0
2019,NUTS,2010,DK02,2,352.0
2011,NUTS,2010,DK03,2,692.0
2013,NUTS,2010,DK03,2,739.0
2015,NUTS,2010,DK03,2,1125.0
2017,NUTS,2010,DK03,2,656.0
2019,NUTS,2010,DK03,2,806.0
2011,NUTS,2010,DK04,2,647.0
2013,NUTS,2010,DK04,2,797.0
2015,NUTS,2010,DK04,2,500.0
2017,NUTS,2010,DK04,2,595.0
2019,NUTS,2010,DK04,2,976.0
2011,NUTS,2010,DK05,2,80.0
2013,NUTS,2010,DK05,2,63.0
2015,NUTS,2010,DK05,2,91.0
2017,NUTS,2010,DK05,2,123.0
2019,NUTS,2010,DK05,2,113.0
2011,NUTS,2010,EA19,2,136238.0
2013,NUTS,2010,EA19,2,153726.0
2015,NUTS,2010,EA19,2,170869.0
2017,NUTS,2010,EA19,2,197927.0
2019,NUTS,2010,EA19,2,225388.0
2011,NUTS,2010,EE,0,695.0
2012,NUTS,2010,EE,0,616.0
2013,NUTS,2010,EE,0,561.0
2014,NUTS,2010,EE,0,616.0
2015,NUTS,2010,EE,0,498.0
2016,NUTS,2010,EE,0,474.0
2017,NUTS,2010,EE,0,553.0
2018,NUTS,2010,EE,0,584.0
2019,NUTS,2010,EE,0,691.0
2011,NUTS,2010,EL,0,1805.0
2013,NUTS,2010,EL,0,1591.0
2015,NUTS,2010,EL,0,1962.0
2017,NUTS,2010,EL,0,4589.0
2019,NUTS,2010,EL,0,4687.0
2011,NUTS,2010,EL3,1,1157.0
2011,NUTS,2010,EL30,2,1157.0
2011,NUTS,2010,EL4,1,13.0
2011,NUTS,2010,EL41,2,0.0
2011,NUTS,2010,EL42,2,0.0
2011,NUTS,2010,EL43,2,13.0
2011,NUTS,2010,EL5,1,506.0
2011,NUTS,2010,EL51,2,19.0
2011,NUTS,2010,EL52,2,456.0
2011,NUTS,2010,EL53,2,17.0
2011,NUTS,2010,EL54,2,14.0
2011,NUTS,2010,EL6,1,129.0
2011,NUTS,2010,EL61,2,10.0
2011,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,53.0
2011,NUTS,2010,EL64,2,47.0
2011,NUTS,2010,EL65,2,19.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,17441.0
2012,NUTS,2010,ES,0,17506.0
2013,NUTS,2010,ES,0,18060.0
2014,NUTS,2010,ES,0,18141.0
2015,NUTS,2010,ES,0,18469.0
2016,NUTS,2010,ES,0,19037.0
2017,NUTS,2010,ES,0,20261.0
2018,NUTS,2010,ES,0,21886.0
2019,NUTS,2010,ES,0,22880.0
2011,NUTS,2010,ES1,1,1179.0
2012,NUTS,2010,ES1,1,1129.0
2013,NUTS,2010,ES1,1,1208.0
2014,NUTS,2010,ES1,1,1170.0
2015,NUTS,2010,ES1,1,1122.0
2016,NUTS,2010,ES1,1,1210.0
2017,NUTS,2010,ES1,1,1429.0
2018,NUTS,2010,ES1,1,1575.0
2019,NUTS,2010,ES1,1,1605.0
2011,NUTS,2010,ES11,2,715.0
2012,NUTS,2010,ES11,2,703.0
2013,NUTS,2010,ES11,2,779.0
2014,NUTS,2010,ES11,2,754.0
2015,NUTS,2010,ES11,2,727.0
2016,NUTS,2010,ES11,2,794.0
2017,NUTS,2010,ES11,2,964.0
2018,NUTS,2010,ES11,2,1104.0
2019,NUTS,2010,ES11,2,1092.0
2011,NUTS,2010,ES12,2,367.0
2012,NUTS,2010,ES12,2,337.0
2013,NUTS,2010,ES12,2,334.0
2014,NUTS,2010,ES12,2,336.0
2015,NUTS,2010,ES12,2,300.0
2016,NUTS,2010,ES12,2,309.0
2017,NUTS,2010,ES12,2,325.0
2018,NUTS,2010,ES12,2,341.0
2019,NUTS,2010,ES12,2,364.0
2011,NUTS,2010,ES13,2,97.0
2012,NUTS,2010,ES13,2,89.0
2013,NUTS,2010,ES13,2,94.0
2014,NUTS,2010,ES13,2,81.0
2015,NUTS,2010,ES13,2,96.0
2016,NUTS,2010,ES13,2,107.0
2017,NUTS,2010,ES13,2,140.0
2018,NUTS,2010,ES13,2,129.0
2019,NUTS,2010,ES13,2,148.0
2011,NUTS,2010,ES2,1,3949.0
2012,NUTS,2010,ES2,1,3919.0
2013,NUTS,2010,ES2,1,4010.0
2014,NUTS,2010,ES2,1,3993.0
2015,NUTS,2010,ES2,1,4088.0
2016,NUTS,2010,ES2,1,4131.0
2017,NUTS,2010,ES2,1,4470.0
2018,NUTS,2010,ES2,1,4656.0
2019,NUTS,2010,ES2,1,4800.0
2011,NUTS,2010,ES21,2,2905.0
2012,NUTS,2010,ES21,2,2963.0
2013,NUTS,2010,ES21,2,3033.0
2014,NUTS,2010,ES21,2,2965.0
2015,NUTS,2010,ES21,2,3075.0
2016,NUTS,2010,ES21,2,3028.0
2017,NUTS,2010,ES21,2,3377.0
2018,NUTS,2010,ES21,2,3546.0
2019,NUTS,2010,ES21,2,3634.0
2011,NUTS,2010,ES22,2,496.0
2012,NUTS,2010,ES22,2,456.0
2013,NUTS,2010,ES22,2,453.0
2014,NUTS,2010,ES22,2,449.0
2015,NUTS,2010,ES22,2,490.0
2016,NUTS,2010,ES22,2,520.0
2017,NUTS,2010,ES22,2,496.0
2018,NUTS,2010,ES22,2,501.0
2019,NUTS,2010,ES22,2,526.0
2011,NUTS,2010,ES23,2,129.0
2012,NUTS,2010,ES23,2,110.0
2013,NUTS,2010,ES23,2,107.0
2014,NUTS,2010,ES23,2,120.0
2015,NUTS,2010,ES23,2,118.0
2016,NUTS,2010,ES23,2,112.0
2017,NUTS,2010,ES23,2,112.0
2018,NUTS,2010,ES23,2,113.0
2019,NUTS,2010,ES23,2,127.0
2011,NUTS,2010,ES24,2,418.0
2012,NUTS,2010,ES24,2,390.0
2013,NUTS,2010,ES24,2,417.0
2014,NUTS,2010,ES24,2,459.0
2015,NUTS,2010,ES24,2,405.0
2016,NUTS,2010,ES24,2,471.0
2017,NUTS,2010,ES24,2,484.0
2018,NUTS,2010,ES24,2,496.0
2019,NUTS,2010,ES24,2,514.0
2011,NUTS,2010,ES3,1,4411.0
2012,NUTS,2010,ES3,1,4503.0
2013,NUTS,2010,ES3,1,4767.0
2014,NUTS,2010,ES3,1,4745.0
2015,NUTS,2010,ES3,1,4877.0
2016,NUTS,2010,ES3,1,4990.0
2017,NUTS,2010,ES3,1,5141.0
2018,NUTS,2010,ES3,1,5607.0
2019,NUTS,2010,ES3,1,5923.0
2011,NUTS,2010,ES30,2,4411.0
2012,NUTS,2010,ES30,2,4503.0
2013,NUTS,2010,ES30,2,4767.0
2014,NUTS,2010,ES30,2,4745.0
2015,NUTS,2010,ES30,2,4877.0
2016,NUTS,2010,ES30,2,4990.0
2017,NUTS,2010,ES30,2,5141.0
2018,NUTS,2010,ES30,2,5607.0
2019,NUTS,2010,ES30,2,5923.0
2011,NUTS,2010,ES4,1,1100.0
2012,NUTS,2010,ES4,1,1081.0
2013,NUTS,2010,ES4,1,976.0
2014,NUTS,2010,ES4,1,1014.0
2015,NUTS,2010,ES4,1,992.0
2016,NUTS,2010,ES4,1,1028.0
2017,NUTS,2010,ES4,1,1131.0
2018,NUTS,2010,ES4,1,1179.0
2019,NUTS,2010,ES4,1,1301.0
2011,NUTS,2010,ES41,2,720.0
2012,NUTS,2010,ES41,2,746.0
2013,NUTS,2010,ES41,2,620.0
2014,NUTS,2010,ES41,2,644.0
2015,NUTS,2010,ES41,2,652.0
2016,NUTS,2010,ES41,2,625.0
2017,NUTS,2010,ES41,2,697.0
2018,NUTS,2010,ES41,2,784.0
2019,NUTS,2010,ES41,2,892.0
2011,NUTS,2010,ES42,2,296.0
