year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_rse_t_fte
2012,NUTS,2010,BG41,2,4528.0
2013,NUTS,2010,BG41,2,4521.0
2014,NUTS,2010,BG41,2,4297.0
2015,NUTS,2010,BG41,2,4075.0
2016,NUTS,2010,BG41,2,4015.0
2017,NUTS,2010,BG41,2,3912.0
2018,NUTS,2010,BG41,2,3826.0
2019,NUTS,2010,BG41,2,3948.0
2011,NUTS,2010,BG42,2,329.0
2012,NUTS,2010,BG42,2,297.0
2013,NUTS,2010,BG42,2,267.0
2014,NUTS,2010,BG42,2,311.0
2015,NUTS,2010,BG42,2,281.0
2016,NUTS,2010,BG42,2,291.0
2017,NUTS,2010,BG42,2,300.0
2018,NUTS,2010,BG42,2,289.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,430.0
2014,NUTS,2010,CH,0,466.0
2015,NUTS,2010,CH,0,472.0
2017,NUTS,2010,CH,0,455.0
2019,NUTS,2010,CH,0,645.0
2011,NUTS,2010,CN_X_HK,5,250250.0
2012,NUTS,2010,CN_X_HK,5,269581.0
2013,NUTS,2010,CN_X_HK,5,288675.0
2014,NUTS,2010,CN_X_HK,5,295899.0
2015,NUTS,2010,CN_X_HK,5,305686.0
2016,NUTS,2010,CN_X_HK,5,336106.0
2017,NUTS,2010,CN_X_HK,5,356805.0
2018,NUTS,2010,CN_X_HK,5,370116.0
2019,NUTS,2010,CN_X_HK,5,390179.0
2011,NUTS,2010,CY,0,97.0
2012,NUTS,2010,CY,0,92.0
2013,NUTS,2010,CY,0,86.0
2014,NUTS,2010,CY,0,83.0
2015,NUTS,2010,CY,0,85.0
2016,NUTS,2010,CY,0,80.0
2017,NUTS,2010,CY,0,87.0
2018,NUTS,2010,CY,0,87.0
2019,NUTS,2010,CY,0,97.0
2020,NUTS,2010,CY,0,95.0
2011,NUTS,2010,CZ,0,6611.0
2012,NUTS,2010,CZ,0,6453.0
2013,NUTS,2010,CZ,0,6725.0
2014,NUTS,2010,CZ,0,6979.0
2015,NUTS,2010,CZ,0,7393.0
2016,NUTS,2010,CZ,0,7500.0
2017,NUTS,2010,CZ,0,7908.0
2018,NUTS,2010,CZ,0,7879.0
2019,NUTS,2010,CZ,0,7968.0
2020,NUTS,2010,CZ,0,8169.0
2011,NUTS,2010,CZ0,1,6611.0
2012,NUTS,2010,CZ0,1,6453.0
2013,NUTS,2010,CZ0,1,6725.0
2014,NUTS,2010,CZ0,1,6979.0
2015,NUTS,2010,CZ0,1,7393.0
2016,NUTS,2010,CZ0,1,7500.0
2017,NUTS,2010,CZ0,1,7908.0
2018,NUTS,2010,CZ0,1,7879.0
2019,NUTS,2010,CZ0,1,7968.0
2020,NUTS,2010,CZ0,1,8169.0
2011,NUTS,2010,CZ01,2,4913.0
2012,NUTS,2010,CZ01,2,4771.0
2013,NUTS,2010,CZ01,2,4768.0
2014,NUTS,2010,CZ01,2,5047.0
2015,NUTS,2010,CZ01,2,5057.0
2016,NUTS,2010,CZ01,2,4923.0
2017,NUTS,2010,CZ01,2,5369.0
2018,NUTS,2010,CZ01,2,5194.0
2019,NUTS,2010,CZ01,2,5216.0
2020,NUTS,2010,CZ01,2,5375.0
2011,NUTS,2010,CZ02,2,475.0
2012,NUTS,2010,CZ02,2,408.0
2013,NUTS,2010,CZ02,2,507.0
2014,NUTS,2010,CZ02,2,516.0
2015,NUTS,2010,CZ02,2,747.0
2016,NUTS,2010,CZ02,2,936.0
2017,NUTS,2010,CZ02,2,844.0
2018,NUTS,2010,CZ02,2,966.0
2019,NUTS,2010,CZ02,2,939.0
2020,NUTS,2010,CZ02,2,941.0
2011,NUTS,2010,CZ03,2,218.0
2012,NUTS,2010,CZ03,2,215.0
2013,NUTS,2010,CZ03,2,282.0
2014,NUTS,2010,CZ03,2,361.0
2015,NUTS,2010,CZ03,2,344.0
2016,NUTS,2010,CZ03,2,379.0
2017,NUTS,2010,CZ03,2,403.0
2018,NUTS,2010,CZ03,2,386.0
2019,NUTS,2010,CZ03,2,424.0
2020,NUTS,2010,CZ03,2,442.0
2011,NUTS,2010,CZ04,2,29.0
2012,NUTS,2010,CZ04,2,35.0
2013,NUTS,2010,CZ04,2,30.0
2014,NUTS,2010,CZ04,2,31.0
2015,NUTS,2010,CZ04,2,26.0
2016,NUTS,2010,CZ04,2,24.0
2017,NUTS,2010,CZ04,2,30.0
2018,NUTS,2010,CZ04,2,34.0
2019,NUTS,2010,CZ04,2,38.0
2020,NUTS,2010,CZ04,2,34.0
2011,NUTS,2010,CZ05,2,104.0
2012,NUTS,2010,CZ05,2,88.0
2013,NUTS,2010,CZ05,2,87.0
2014,NUTS,2010,CZ05,2,93.0
2015,NUTS,2010,CZ05,2,98.0
2016,NUTS,2010,CZ05,2,99.0
2017,NUTS,2010,CZ05,2,94.0
2018,NUTS,2010,CZ05,2,97.0
2019,NUTS,2010,CZ05,2,115.0
2020,NUTS,2010,CZ05,2,117.0
2011,NUTS,2010,CZ06,2,798.0
2012,NUTS,2010,CZ06,2,872.0
2013,NUTS,2010,CZ06,2,977.0
2014,NUTS,2010,CZ06,2,844.0
2015,NUTS,2010,CZ06,2,1024.0
2016,NUTS,2010,CZ06,2,1034.0
2017,NUTS,2010,CZ06,2,1032.0
2018,NUTS,2010,CZ06,2,1058.0
2019,NUTS,2010,CZ06,2,1093.0
2020,NUTS,2010,CZ06,2,1117.0
2011,NUTS,2010,CZ07,2,22.0
2012,NUTS,2010,CZ07,2,15.0
2013,NUTS,2010,CZ07,2,18.0
2014,NUTS,2010,CZ07,2,22.0
2015,NUTS,2010,CZ07,2,26.0
2016,NUTS,2010,CZ07,2,29.0
2017,NUTS,2010,CZ07,2,64.0
2018,NUTS,2010,CZ07,2,69.0
2019,NUTS,2010,CZ07,2,63.0
2020,NUTS,2010,CZ07,2,65.0
2011,NUTS,2010,CZ08,2,51.0
2012,NUTS,2010,CZ08,2,49.0
2013,NUTS,2010,CZ08,2,56.0
2014,NUTS,2010,CZ08,2,66.0
2015,NUTS,2010,CZ08,2,71.0
2016,NUTS,2010,CZ08,2,76.0
2017,NUTS,2010,CZ08,2,73.0
2018,NUTS,2010,CZ08,2,74.0
2019,NUTS,2010,CZ08,2,80.0
2020,NUTS,2010,CZ08,2,78.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,54185.0
2012,NUTS,2010,DE,0,55597.0
2013,NUTS,2010,DE,0,56755.0
2014,NUTS,2010,DE,0,52854.0
2015,NUTS,2010,DE,0,54011.0
2016,NUTS,2010,DE,0,53971.0
2017,NUTS,2010,DE,0,54715.0
2018,NUTS,2010,DE,0,57183.0
2019,NUTS,2010,DE,0,59221.0
2020,NUTS,2010,DE,0,60988.0
2011,NUTS,2010,DE1,1,8678.0
2012,NUTS,2010,DE1,1,8659.0
2013,NUTS,2010,DE1,1,8846.0
2014,NUTS,2010,DE1,1,8675.0
2015,NUTS,2010,DE1,1,9047.0
2016,NUTS,2010,DE1,1,8433.0
2017,NUTS,2010,DE1,1,8459.0
2018,NUTS,2010,DE1,1,8784.0
2019,NUTS,2010,DE1,1,8968.0
2011,NUTS,2010,DE11,2,2059.0
2012,NUTS,2010,DE11,2,1950.0
2013,NUTS,2010,DE11,2,1936.0
2014,NUTS,2010,DE11,2,1998.0
2015,NUTS,2010,DE11,2,1983.0
2016,NUTS,2010,DE11,2,1984.0
2017,NUTS,2010,DE11,2,1771.0
2018,NUTS,2010,DE11,2,1865.0
2019,NUTS,2010,DE11,2,1913.0
2011,NUTS,2010,DE12,2,4826.0
2012,NUTS,2010,DE12,2,4904.0
2013,NUTS,2010,DE12,2,5099.0
2014,NUTS,2010,DE12,2,5225.0
2015,NUTS,2010,DE12,2,5521.0
2016,NUTS,2010,DE12,2,4866.0
2017,NUTS,2010,DE12,2,4989.0
2018,NUTS,2010,DE12,2,5110.0
2019,NUTS,2010,DE12,2,5214.0
2011,NUTS,2010,DE13,2,1290.0
2012,NUTS,2010,DE13,2,1287.0
2013,NUTS,2010,DE13,2,1249.0
2014,NUTS,2010,DE13,2,1019.0
2015,NUTS,2010,DE13,2,1017.0
2016,NUTS,2010,DE13,2,1037.0
2017,NUTS,2010,DE13,2,1108.0
2018,NUTS,2010,DE13,2,1148.0
2019,NUTS,2010,DE13,2,1215.0
2011,NUTS,2010,DE14,2,503.0
2012,NUTS,2010,DE14,2,519.0
2013,NUTS,2010,DE14,2,562.0
2014,NUTS,2010,DE14,2,434.0
2015,NUTS,2010,DE14,2,527.0
2016,NUTS,2010,DE14,2,546.0
2017,NUTS,2010,DE14,2,591.0
2018,NUTS,2010,DE14,2,661.0
2019,NUTS,2010,DE14,2,625.0
2011,NUTS,2010,DE2,1,7304.0
2012,NUTS,2010,DE2,1,7562.0
2013,NUTS,2010,DE2,1,7944.0
2014,NUTS,2010,DE2,1,7548.0
2015,NUTS,2010,DE2,1,7629.0
2016,NUTS,2010,DE2,1,7591.0
2017,NUTS,2010,DE2,1,7607.0
2018,NUTS,2010,DE2,1,8022.0
2019,NUTS,2010,DE2,1,8269.0
2011,NUTS,2010,DE21,2,5845.0
2012,NUTS,2010,DE21,2,6085.0
2013,NUTS,2010,DE21,2,6372.0
2014,NUTS,2010,DE21,2,6142.0
2015,NUTS,2010,DE21,2,6055.0
2016,NUTS,2010,DE21,2,6024.0
2017,NUTS,2010,DE21,2,5954.0
2018,NUTS,2010,DE21,2,6201.0
2019,NUTS,2010,DE21,2,6335.0
2015,NUTS,2010,DE22,2,38.0
2016,NUTS,2010,DE22,2,33.0
2017,NUTS,2010,DE22,2,33.0
2018,NUTS,2010,DE22,2,37.0
2019,NUTS,2010,DE22,2,42.0
2015,NUTS,2010,DE23,2,88.0
2016,NUTS,2010,DE23,2,95.0
2017,NUTS,2010,DE23,2,87.0
2018,NUTS,2010,DE23,2,100.0
2019,NUTS,2010,DE23,2,97.0
2011,NUTS,2010,DE24,2,101.0
2012,NUTS,2010,DE24,2,107.0
2013,NUTS,2010,DE24,2,100.0
2014,NUTS,2010,DE24,2,172.0
2015,NUTS,2010,DE24,2,192.0
2016,NUTS,2010,DE24,2,135.0
2017,NUTS,2010,DE24,2,199.0
2018,NUTS,2010,DE24,2,196.0
2019,NUTS,2010,DE24,2,192.0
2011,NUTS,2010,DE25,2,920.0
2012,NUTS,2010,DE25,2,863.0
2013,NUTS,2010,DE25,2,1021.0
2014,NUTS,2010,DE25,2,822.0
2015,NUTS,2010,DE25,2,884.0
2016,NUTS,2010,DE25,2,935.0
2017,NUTS,2010,DE25,2,946.0
2018,NUTS,2010,DE25,2,1030.0
2019,NUTS,2010,DE25,2,1115.0
2011,NUTS,2010,DE26,2,248.0
2012,NUTS,2010,DE26,2,227.0
2013,NUTS,2010,DE26,2,216.0
2014,NUTS,2010,DE26,2,146.0
2015,NUTS,2010,DE26,2,161.0
2016,NUTS,2010,DE26,2,166.0
2017,NUTS,2010,DE26,2,159.0
2018,NUTS,2010,DE26,2,169.0
2019,NUTS,2010,DE26,2,166.0
2011,NUTS,2010,DE27,2,130.0
2012,NUTS,2010,DE27,2,140.0
2013,NUTS,2010,DE27,2,161.0
2014,NUTS,2010,DE27,2,191.0
2015,NUTS,2010,DE27,2,210.0
2016,NUTS,2010,DE27,2,202.0
2017,NUTS,2010,DE27,2,229.0
2018,NUTS,2010,DE27,2,290.0
2019,NUTS,2010,DE27,2,321.0
2011,NUTS,2010,DE3,1,6369.0
2012,NUTS,2010,DE3,1,6567.0
2013,NUTS,2010,DE3,1,6542.0
2014,NUTS,2010,DE3,1,5787.0
2015,NUTS,2010,DE3,1,5862.0
2016,NUTS,2010,DE3,1,5995.0
2017,NUTS,2010,DE3,1,6262.0
2018,NUTS,2010,DE3,1,6735.0
2019,NUTS,2010,DE3,1,7049.0
2011,NUTS,2010,DE30,2,6369.0
2012,NUTS,2010,DE30,2,6567.0
2013,NUTS,2010,DE30,2,6542.0
2014,NUTS,2010,DE30,2,5787.0
2015,NUTS,2010,DE30,2,5862.0
2016,NUTS,2010,DE30,2,5995.0
2017,NUTS,2010,DE30,2,6262.0
2018,NUTS,2010,DE30,2,6735.0
2019,NUTS,2010,DE30,2,7049.0
2011,NUTS,2010,DE4,1,2379.0
2012,NUTS,2010,DE4,1,2493.0
2013,NUTS,2010,DE4,1,2563.0
2014,NUTS,2010,DE4,1,2400.0
2015,NUTS,2010,DE4,1,2236.0
2016,NUTS,2010,DE4,1,2336.0
2017,NUTS,2010,DE4,1,2410.0
2018,NUTS,2010,DE4,1,2422.0
2019,NUTS,2010,DE4,1,2606.0
2011,NUTS,2010,DE40,2,2379.0
2012,NUTS,2010,DE40,2,2493.0
2013,NUTS,2010,DE40,2,2563.0
2014,NUTS,2010,DE40,2,2400.0
2015,NUTS,2010,DE40,2,2236.0
2016,NUTS,2010,DE40,2,2336.0
2017,NUTS,2010,DE40,2,2410.0
2018,NUTS,2010,DE40,2,2422.0
2019,NUTS,2010,DE40,2,2606.0
2011,NUTS,2010,DE5,1,1268.0
2012,NUTS,2010,DE5,1,1334.0
2013,NUTS,2010,DE5,1,1373.0
2014,NUTS,2010,DE5,1,1292.0
2015,NUTS,2010,DE5,1,1367.0
2016,NUTS,2010,DE5,1,1345.0
2017,NUTS,2010,DE5,1,1364.0
2018,NUTS,2010,DE5,1,1449.0
2019,NUTS,2010,DE5,1,1533.0
2011,NUTS,2010,DE50,2,1268.0
2012,NUTS,2010,DE50,2,1334.0
2013,NUTS,2010,DE50,2,1373.0
2014,NUTS,2010,DE50,2,1292.0
2015,NUTS,2010,DE50,2,1367.0
2016,NUTS,2010,DE50,2,1345.0
2017,NUTS,2010,DE50,2,1364.0
2018,NUTS,2010,DE50,2,1449.0
2019,NUTS,2010,DE50,2,1533.0
2011,NUTS,2010,DE6,1,1425.0
2012,NUTS,2010,DE6,1,1717.0
2013,NUTS,2010,DE6,1,1853.0
2014,NUTS,2010,DE6,1,1504.0
2015,NUTS,2010,DE6,1,1543.0
2016,NUTS,2010,DE6,1,1606.0
2017,NUTS,2010,DE6,1,1629.0
2018,NUTS,2010,DE6,1,1758.0
2019,NUTS,2010,DE6,1,1799.0
2011,NUTS,2010,DE60,2,1425.0
2012,NUTS,2010,DE60,2,1717.0
2013,NUTS,2010,DE60,2,1853.0
2014,NUTS,2010,DE60,2,1504.0
2015,NUTS,2010,DE60,2,1543.0
2016,NUTS,2010,DE60,2,1606.0
2017,NUTS,2010,DE60,2,1629.0
2018,NUTS,2010,DE60,2,1758.0
2019,NUTS,2010,DE60,2,1799.0
2011,NUTS,2010,DE7,1,2246.0
2012,NUTS,2010,DE7,1,2289.0
2013,NUTS,2010,DE7,1,2364.0
2014,NUTS,2010,DE7,1,2222.0
2015,NUTS,2010,DE7,1,2424.0
2016,NUTS,2010,DE7,1,2589.0
2017,NUTS,2010,DE7,1,2780.0
2018,NUTS,2010,DE7,1,2832.0
2019,NUTS,2010,DE7,1,2867.0
2011,NUTS,2010,DE71,2,2009.0
2012,NUTS,2010,DE71,2,2030.0
2013,NUTS,2010,DE71,2,2096.0
2014,NUTS,2010,DE71,2,1977.0
2015,NUTS,2010,DE71,2,2091.0
2016,NUTS,2010,DE71,2,2224.0
2017,NUTS,2010,DE71,2,2375.0
2018,NUTS,2010,DE71,2,2493.0
2019,NUTS,2010,DE71,2,2524.0
2011,NUTS,2010,DE72,2,97.0
2012,NUTS,2010,DE72,2,98.0
2013,NUTS,2010,DE72,2,97.0
2014,NUTS,2010,DE72,2,99.0
2015,NUTS,2010,DE72,2,141.0
2016,NUTS,2010,DE72,2,173.0
2017,NUTS,2010,DE72,2,199.0
2018,NUTS,2010,DE72,2,182.0
2019,NUTS,2010,DE72,2,177.0
2011,NUTS,2010,DE73,2,140.0
2012,NUTS,2010,DE73,2,161.0
2013,NUTS,2010,DE73,2,170.0
2014,NUTS,2010,DE73,2,147.0
2015,NUTS,2010,DE73,2,192.0
2016,NUTS,2010,DE73,2,193.0
2017,NUTS,2010,DE73,2,206.0
2018,NUTS,2010,DE73,2,157.0
2019,NUTS,2010,DE73,2,166.0
2011,NUTS,2010,DE8,1,1197.0
2012,NUTS,2010,DE8,1,1223.0
2013,NUTS,2010,DE8,1,1175.0
2014,NUTS,2010,DE8,1,1010.0
2015,NUTS,2010,DE8,1,1002.0
2016,NUTS,2010,DE8,1,992.0
2017,NUTS,2010,DE8,1,1087.0
2018,NUTS,2010,DE8,1,1131.0
2019,NUTS,2010,DE8,1,1169.0
2011,NUTS,2010,DE80,2,1197.0
2012,NUTS,2010,DE80,2,1223.0
2013,NUTS,2010,DE80,2,1175.0
2014,NUTS,2010,DE80,2,1010.0
2015,NUTS,2010,DE80,2,1002.0
2016,NUTS,2010,DE80,2,992.0
2017,NUTS,2010,DE80,2,1087.0
2018,NUTS,2010,DE80,2,1131.0
2019,NUTS,2010,DE80,2,1169.0
2011,NUTS,2010,DE9,1,4010.0
2012,NUTS,2010,DE9,1,3891.0
2013,NUTS,2010,DE9,1,3928.0
2014,NUTS,2010,DE9,1,4138.0
2015,NUTS,2010,DE9,1,4282.0
2016,NUTS,2010,DE9,1,4226.0
2017,NUTS,2010,DE9,1,3986.0
2018,NUTS,2010,DE9,1,4088.0
2019,NUTS,2010,DE9,1,4148.0
2011,NUTS,2010,DE91,2,2836.0
2012,NUTS,2010,DE91,2,2745.0
2013,NUTS,2010,DE91,2,2822.0
2014,NUTS,2010,DE91,2,3047.0
2015,NUTS,2010,DE91,2,3120.0
2016,NUTS,2010,DE91,2,3198.0
2017,NUTS,2010,DE91,2,2923.0
2018,NUTS,2010,DE91,2,2901.0
2019,NUTS,2010,DE91,2,2959.0
2011,NUTS,2010,DE92,2,726.0
2012,NUTS,2010,DE92,2,696.0
2013,NUTS,2010,DE92,2,646.0
2014,NUTS,2010,DE92,2,692.0
2015,NUTS,2010,DE92,2,677.0
2016,NUTS,2010,DE92,2,662.0
2017,NUTS,2010,DE92,2,651.0
2018,NUTS,2010,DE92,2,783.0
2019,NUTS,2010,DE92,2,786.0
2011,NUTS,2010,DE93,2,150.0
2012,NUTS,2010,DE93,2,146.0
2013,NUTS,2010,DE93,2,129.0
2014,NUTS,2010,DE93,2,86.0
2015,NUTS,2010,DE93,2,151.0
2016,NUTS,2010,DE93,2,107.0
2017,NUTS,2010,DE93,2,150.0
2018,NUTS,2010,DE93,2,121.0
2019,NUTS,2010,DE93,2,126.0
2011,NUTS,2010,DE94,2,299.0
2012,NUTS,2010,DE94,2,303.0
2013,NUTS,2010,DE94,2,331.0
2014,NUTS,2010,DE94,2,314.0
2015,NUTS,2010,DE94,2,333.0
2016,NUTS,2010,DE94,2,260.0
2017,NUTS,2010,DE94,2,263.0
2018,NUTS,2010,DE94,2,285.0
2019,NUTS,2010,DE94,2,277.0
2011,NUTS,2010,DEA,1,8600.0
2012,NUTS,2010,DEA,1,8707.0
2013,NUTS,2010,DEA,1,8929.0
2014,NUTS,2010,DEA,1,8115.0
2015,NUTS,2010,DEA,1,8334.0
2016,NUTS,2010,DEA,1,8534.0
2017,NUTS,2010,DEA,1,8434.0
2018,NUTS,2010,DEA,1,8839.0
2019,NUTS,2010,DEA,1,9152.0
2011,NUTS,2010,DEA1,2,1125.0
2012,NUTS,2010,DEA1,2,1152.0
2013,NUTS,2010,DEA1,2,1081.0
2014,NUTS,2010,DEA1,2,1038.0
2015,NUTS,2010,DEA1,2,1126.0
2016,NUTS,2010,DEA1,2,1084.0
2017,NUTS,2010,DEA1,2,1148.0
2018,NUTS,2010,DEA1,2,1297.0
2019,NUTS,2010,DEA1,2,1250.0
2011,NUTS,2010,DEA2,2,6361.0
2012,NUTS,2010,DEA2,2,6408.0
2013,NUTS,2010,DEA2,2,6687.0
2014,NUTS,2010,DEA2,2,6004.0
2015,NUTS,2010,DEA2,2,6051.0
2016,NUTS,2010,DEA2,2,6203.0
2017,NUTS,2010,DEA2,2,6003.0
2018,NUTS,2010,DEA2,2,6208.0
2019,NUTS,2010,DEA2,2,6559.0
2011,NUTS,2010,DEA3,2,256.0
2012,NUTS,2010,DEA3,2,241.0
2013,NUTS,2010,DEA3,2,244.0
