year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_nac_bes
2000,NUTS,2010,BE1,1,296.372
2001,NUTS,2010,BE1,1,322.965
2002,NUTS,2010,BE1,1,316.611
2003,NUTS,2010,BE1,1,300.137
2004,NUTS,2010,BE1,1,310.599
2005,NUTS,2010,BE1,1,315.042
2006,NUTS,2010,BE1,1,486.917
2007,NUTS,2010,BE1,1,491.698
2008,NUTS,2010,BE1,1,540.333
2009,NUTS,2010,BE1,1,511.24
2010,NUTS,2010,BE1,1,477.071
2011,NUTS,2010,BE1,1,482.463
2012,NUTS,2010,BE1,1,524.048
2013,NUTS,2010,BE1,1,538.894
2014,NUTS,2010,BE1,1,673.141
2015,NUTS,2010,BE1,1,745.792
2016,NUTS,2010,BE1,1,869.05
2017,NUTS,2010,BE1,1,1007.613
2018,NUTS,2010,BE1,1,1184.282
2019,NUTS,2010,BE1,1,1296.574
1989,NUTS,2010,BE10,2,328.24
1991,NUTS,2010,BE10,2,333.14
1993,NUTS,2010,BE10,2,366.95
1994,NUTS,2010,BE10,2,381.7
1995,NUTS,2010,BE10,2,385.96
1996,NUTS,2010,BE10,2,417.16
1997,NUTS,2010,BE10,2,424.1
1998,NUTS,2010,BE10,2,278.51
1999,NUTS,2010,BE10,2,286.685
2000,NUTS,2010,BE10,2,296.372
2001,NUTS,2010,BE10,2,322.965
2002,NUTS,2010,BE10,2,316.611
2003,NUTS,2010,BE10,2,300.137
2004,NUTS,2010,BE10,2,310.599
2005,NUTS,2010,BE10,2,315.042
2006,NUTS,2010,BE10,2,486.917
2007,NUTS,2010,BE10,2,491.698
2008,NUTS,2010,BE10,2,540.333
2009,NUTS,2010,BE10,2,511.24
2010,NUTS,2010,BE10,2,477.071
2011,NUTS,2010,BE10,2,482.463
2012,NUTS,2010,BE10,2,524.048
2013,NUTS,2010,BE10,2,538.894
2014,NUTS,2010,BE10,2,673.141
2015,NUTS,2010,BE10,2,745.792
2016,NUTS,2010,BE10,2,869.05
2017,NUTS,2010,BE10,2,1007.613
2018,NUTS,2010,BE10,2,1184.282
2019,NUTS,2010,BE10,2,1296.574
1989,NUTS,2010,BE2,1,979.45
1991,NUTS,2010,BE2,1,1087.19
1993,NUTS,2010,BE2,1,1347.29
1994,NUTS,2010,BE2,1,1408.86
1995,NUTS,2010,BE2,1,1459.6
1996,NUTS,2010,BE2,1,1604.06
1997,NUTS,2010,BE2,1,1798.31
1998,NUTS,2010,BE2,1,2030.22
1999,NUTS,2010,BE2,1,2205.012
2000,NUTS,2010,BE2,1,2442.093
2001,NUTS,2010,BE2,1,2676.649
2002,NUTS,2010,BE2,1,2472.254
2003,NUTS,2010,BE2,1,2375.951
2004,NUTS,2010,BE2,1,2388.679
2005,NUTS,2010,BE2,1,2497.821
2006,NUTS,2010,BE2,1,2479.367
2007,NUTS,2010,BE2,1,2662.328
2008,NUTS,2010,BE2,1,2833.139
2009,NUTS,2010,BE2,1,2714.496
2010,NUTS,2010,BE2,1,3080.81
2011,NUTS,2010,BE2,1,3423.779
2012,NUTS,2010,BE2,1,3891.733
2013,NUTS,2010,BE2,1,4022.356
2014,NUTS,2010,BE2,1,4234.102
2015,NUTS,2010,BE2,1,4525.257
2016,NUTS,2010,BE2,1,4711.221
2017,NUTS,2010,BE2,1,5234.839
2018,NUTS,2010,BE2,1,5497.259
2019,NUTS,2010,BE2,1,6703.931
1989,NUTS,2010,BE3,1,345.02
1991,NUTS,2010,BE3,1,370.75
1993,NUTS,2010,BE3,1,545.88
1994,NUTS,2010,BE3,1,567.38
1995,NUTS,2010,BE3,1,625.81
1996,NUTS,2010,BE3,1,652.5
1997,NUTS,2010,BE3,1,682.23
1998,NUTS,2010,BE3,1,726.37
1999,NUTS,2010,BE3,1,815.423
2000,NUTS,2010,BE3,1,850.145
2001,NUTS,2010,BE3,1,921.489
2002,NUTS,2010,BE3,1,873.482
2003,NUTS,2010,BE3,1,931.805
2004,NUTS,2010,BE3,1,1032.537
2005,NUTS,2010,BE3,1,962.761
2006,NUTS,2010,BE3,1,1139.331
2007,NUTS,2010,BE3,1,1266.36
2008,NUTS,2010,BE3,1,1276.539
2009,NUTS,2010,BE3,1,1349.032
2010,NUTS,2010,BE3,1,1469.776
2011,NUTS,2010,BE3,1,1707.138
2012,NUTS,2010,BE3,1,1733.198
2013,NUTS,2010,BE3,1,1795.619
2014,NUTS,2010,BE3,1,1768.725
2015,NUTS,2010,BE3,1,1805.316
2016,NUTS,2010,BE3,1,1864.449
2017,NUTS,2010,BE3,1,2091.158
2018,NUTS,2010,BE3,1,2751.07
2019,NUTS,2010,BE3,1,3142.939
1989,NUTS,2010,BEZ,1,48.44
1991,NUTS,2010,BEZ,1,56.12
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
1989,NUTS,2010,BEZZ,2,48.44
1991,NUTS,2010,BEZZ,2,56.12
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1987,NUTS,2010,BG,0,0.412
1988,NUTS,2010,BG,0,0.605
1989,NUTS,2010,BG,0,0.54
1990,NUTS,2010,BG,0,0.664
1991,NUTS,2010,BG,0,1.121
1992,NUTS,2010,BG,0,1.678
1993,NUTS,2010,BG,0,1.773
1994,NUTS,2010,BG,0,2.291
1995,NUTS,2010,BG,0,2.691
1996,NUTS,2010,BG,0,5.385
1997,NUTS,2010,BG,0,20.311
1998,NUTS,2010,BG,0,23.781
1999,NUTS,2010,BG,0,27.65
2000,NUTS,2010,BG,0,29.756
2001,NUTS,2010,BG,0,28.377
2002,NUTS,2010,BG,0,29.324
2003,NUTS,2010,BG,0,34.54
2004,NUTS,2010,BG,0,46.0
2005,NUTS,2010,BG,0,44.804
2006,NUTS,2010,BG,0,60.401
2007,NUTS,2010,BG,0,85.065
2008,NUTS,2010,BG,0,101.112
2009,NUTS,2010,BG,0,108.174
2010,NUTS,2010,BG,0,212.107
2011,NUTS,2010,BG,0,228.691
2012,NUTS,2010,BG,0,300.305
2013,NUTS,2010,BG,0,318.64
2014,NUTS,2010,BG,0,436.957
2015,NUTS,2010,BG,0,623.886
2016,NUTS,2010,BG,0,537.932
2017,NUTS,2010,BG,0,534.071
2018,NUTS,2010,BG,0,596.083
2019,NUTS,2010,BG,0,673.122
2020,NUTS,2010,BG,0,691.077
2003,NUTS,2010,BG3,1,9.362
2004,NUTS,2010,BG3,1,8.926
2005,NUTS,2010,BG3,1,6.206
2006,NUTS,2010,BG3,1,14.612
2007,NUTS,2010,BG3,1,12.737
2008,NUTS,2010,BG3,1,16.984
2009,NUTS,2010,BG3,1,18.827
2010,NUTS,2010,BG3,1,21.736
2011,NUTS,2010,BG3,1,17.397
2012,NUTS,2010,BG3,1,24.729
2013,NUTS,2010,BG3,1,37.256
2014,NUTS,2010,BG3,1,48.475
2015,NUTS,2010,BG3,1,112.561
2016,NUTS,2010,BG3,1,112.996
2017,NUTS,2010,BG3,1,118.322
2018,NUTS,2010,BG3,1,119.11
2019,NUTS,2010,BG3,1,121.474
2007,NUTS,2010,BG31,2,2.092
2008,NUTS,2010,BG31,2,2.148
2014,NUTS,2010,BG31,2,6.78
2015,NUTS,2010,BG31,2,27.476
2016,NUTS,2010,BG31,2,24.158
2017,NUTS,2010,BG31,2,24.825
2018,NUTS,2010,BG31,2,30.325
2019,NUTS,2010,BG31,2,23.867
2002,NUTS,2010,BG32,2,5.701
2003,NUTS,2010,BG32,2,4.218
2004,NUTS,2010,BG32,2,3.875
2005,NUTS,2010,BG32,2,1.421
2007,NUTS,2010,BG32,2,2.149
2008,NUTS,2010,BG32,2,2.548
2009,NUTS,2010,BG32,2,3.002
2010,NUTS,2010,BG32,2,4.577
2012,NUTS,2010,BG32,2,5.091
2013,NUTS,2010,BG32,2,7.495
2014,NUTS,2010,BG32,2,8.349
2015,NUTS,2010,BG32,2,35.402
2016,NUTS,2010,BG32,2,28.675
2017,NUTS,2010,BG32,2,27.92
2018,NUTS,2010,BG32,2,24.328
2019,NUTS,2010,BG32,2,27.949
2006,NUTS,2010,BG33,2,5.297
2007,NUTS,2010,BG33,2,2.614
2008,NUTS,2010,BG33,2,4.995
2011,NUTS,2010,BG33,2,4.933
2014,NUTS,2010,BG33,2,12.806
2015,NUTS,2010,BG33,2,20.461
2016,NUTS,2010,BG33,2,33.707
2017,NUTS,2010,BG33,2,34.239
2018,NUTS,2010,BG33,2,30.837
2019,NUTS,2010,BG33,2,32.899
2002,NUTS,2010,BG34,2,2.324
2003,NUTS,2010,BG34,2,2.408
2004,NUTS,2010,BG34,2,2.073
2005,NUTS,2010,BG34,2,1.739
2006,NUTS,2010,BG34,2,4.622
2007,NUTS,2010,BG34,2,5.882
2008,NUTS,2010,BG34,2,7.293
2009,NUTS,2010,BG34,2,7.49
2010,NUTS,2010,BG34,2,10.63
2011,NUTS,2010,BG34,2,5.866
2012,NUTS,2010,BG34,2,8.483
2013,NUTS,2010,BG34,2,10.183
2014,NUTS,2010,BG34,2,20.54
2015,NUTS,2010,BG34,2,29.222
2016,NUTS,2010,BG34,2,26.456
2017,NUTS,2010,BG34,2,31.338
2018,NUTS,2010,BG34,2,33.62
2019,NUTS,2010,BG34,2,36.759
2003,NUTS,2010,BG4,1,25.177
2004,NUTS,2010,BG4,1,36.781
2005,NUTS,2010,BG4,1,38.598
2006,NUTS,2010,BG4,1,45.789
2007,NUTS,2010,BG4,1,72.328
2008,NUTS,2010,BG4,1,84.128
2009,NUTS,2010,BG4,1,89.347
2010,NUTS,2010,BG4,1,190.371
2011,NUTS,2010,BG4,1,211.294
2012,NUTS,2010,BG4,1,275.576
2013,NUTS,2010,BG4,1,281.384
2014,NUTS,2010,BG4,1,388.482
2015,NUTS,2010,BG4,1,511.325
2016,NUTS,2010,BG4,1,424.936
2017,NUTS,2010,BG4,1,415.749
2018,NUTS,2010,BG4,1,476.973
2019,NUTS,2010,BG4,1,551.648
1999,NUTS,2010,BG41,2,18.172
2000,NUTS,2010,BG41,2,21.246
2002,NUTS,2010,BG41,2,18.653
2003,NUTS,2010,BG41,2,22.091
2004,NUTS,2010,BG41,2,34.829
2005,NUTS,2010,BG41,2,34.447
2006,NUTS,2010,BG41,2,40.928
2007,NUTS,2010,BG41,2,61.582
2008,NUTS,2010,BG41,2,59.354
2009,NUTS,2010,BG41,2,81.264
2010,NUTS,2010,BG41,2,181.026
2011,NUTS,2010,BG41,2,201.845
2012,NUTS,2010,BG41,2,260.939
2013,NUTS,2010,BG41,2,268.082
2014,NUTS,2010,BG41,2,367.483
2015,NUTS,2010,BG41,2,461.661
2016,NUTS,2010,BG41,2,371.008
2017,NUTS,2010,BG41,2,360.731
2018,NUTS,2010,BG41,2,424.479
2019,NUTS,2010,BG41,2,493.731
2003,NUTS,2010,BG42,2,3.086
2004,NUTS,2010,BG42,2,1.952
2005,NUTS,2010,BG42,2,4.151
2006,NUTS,2010,BG42,2,4.861
2007,NUTS,2010,BG42,2,10.746
2008,NUTS,2010,BG42,2,24.774
2009,NUTS,2010,BG42,2,8.083
2010,NUTS,2010,BG42,2,9.345
2011,NUTS,2010,BG42,2,9.449
2012,NUTS,2010,BG42,2,14.637
2013,NUTS,2010,BG42,2,13.302
2014,NUTS,2010,BG42,2,20.999
2015,NUTS,2010,BG42,2,49.664
2016,NUTS,2010,BG42,2,53.928
2017,NUTS,2010,BG42,2,55.018
2018,NUTS,2010,BG42,2,52.494
2019,NUTS,2010,BG42,2,57.917
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1981,NUTS,2010,CH,0,3135.0
1983,NUTS,2010,CH,0,3452.0
1986,NUTS,2010,CH,0,5448.0
1989,NUTS,2010,CH,0,6210.0
1992,NUTS,2010,CH,0,6370.0
1996,NUTS,2010,CH,0,7060.0
2000,NUTS,2010,CH,0,7890.0
2004,NUTS,2010,CH,0,9660.0
2008,NUTS,2010,CH,0,11980.0
2012,NUTS,2010,CH,0,12818.714
2015,NUTS,2010,CH,0,13961.283
2017,NUTS,2010,CH,0,14119.798
2019,NUTS,2010,CH,0,15453.986
1981,NUTS,2010,CH0,1,3135.0
1983,NUTS,2010,CH0,1,3452.0
1986,NUTS,2010,CH0,1,5448.0
1989,NUTS,2010,CH0,1,6210.0
1992,NUTS,2010,CH0,1,6370.0
1996,NUTS,2010,CH0,1,7060.0
2000,NUTS,2010,CH0,1,7890.0
2004,NUTS,2010,CH0,1,9660.0
2008,NUTS,2010,CH0,1,11980.0
2012,NUTS,2010,CH0,1,12818.714
2015,NUTS,2010,CH0,1,13961.283
2017,NUTS,2010,CH0,1,14119.798
2019,NUTS,2010,CH0,1,15453.986
2008,NUTS,2010,CH01,2,1927.0
2012,NUTS,2010,CH01,2,1750.476
2015,NUTS,2010,CH01,2,1959.618
2008,NUTS,2010,CH02,2,1343.0
2012,NUTS,2010,CH02,2,1956.584
2015,NUTS,2010,CH02,2,1890.726
2008,NUTS,2010,CH03,2,5684.0
2012,NUTS,2010,CH03,2,6396.662
2015,NUTS,2010,CH03,2,7352.301
2008,NUTS,2010,CH04,2,1017.0
2012,NUTS,2010,CH04,2,1457.67
2015,NUTS,2010,CH04,2,1707.924
2008,NUTS,2010,CH05,2,1097.0
2012,NUTS,2010,CH05,2,1171.099
2015,NUTS,2010,CH05,2,1092.313
2008,NUTS,2010,CH06,2,732.0
2012,NUTS,2010,CH06,2,1108.781
2015,NUTS,2010,CH06,2,1560.607
2008,NUTS,2010,CH07,2,179.0
2012,NUTS,2010,CH07,2,434.443
2015,NUTS,2010,CH07,2,96.638
1991,NUTS,2010,CN_X_HK,5,6350.0
1992,NUTS,2010,CN_X_HK,5,8277.0
1993,NUTS,2010,CN_X_HK,5,10341.0
1994,NUTS,2010,CN_X_HK,5,13209.0
1995,NUTS,2010,CN_X_HK,5,15229.0
1996,NUTS,2010,CN_X_HK,5,17493.0
1997,NUTS,2010,CN_X_HK,5,23448.0
1998,NUTS,2010,CN_X_HK,5,24704.0
1999,NUTS,2010,CN_X_HK,5,33665.0
2000,NUTS,2010,CN_X_HK,5,53704.6
2001,NUTS,2010,CN_X_HK,5,63003.0
2002,NUTS,2010,CN_X_HK,5,78780.0
2003,NUTS,2010,CN_X_HK,5,96024.0
2004,NUTS,2010,CN_X_HK,5,131397.0
2005,NUTS,2010,CN_X_HK,5,167381.28
2006,NUTS,2010,CN_X_HK,5,213453.95
2007,NUTS,2010,CN_X_HK,5,268194.1
2008,NUTS,2010,CN_X_HK,5,338168.76
2009,NUTS,2010,CN_X_HK,5,424860.3
2010,NUTS,2010,CN_X_HK,5,518546.5
2011,NUTS,2010,CN_X_HK,5,657933.36
2012,NUTS,2010,CN_X_HK,5,784224.1
2013,NUTS,2010,CN_X_HK,5,907584.53
2014,NUTS,2010,CN_X_HK,5,1006063.57
2015,NUTS,2010,CN_X_HK,5,1088134.976
2016,NUTS,2010,CN_X_HK,5,1214395.936
2017,NUTS,2010,CN_X_HK,5,1366022.818
2018,NUTS,2010,CN_X_HK,5,1523372.432
2019,NUTS,2010,CN_X_HK,5,1692179.036
1991,NUTS,2010,CY,0,1.264
1992,NUTS,2010,CY,0,1.384
1998,NUTS,2010,CY,0,2.597
1999,NUTS,2010,CY,0,4.289
2000,NUTS,2010,CY,0,5.126
2001,NUTS,2010,CY,0,5.24
2002,NUTS,2010,CY,0,6.742
2003,NUTS,2010,CY,0,8.782
2004,NUTS,2010,CY,0,9.898
2005,NUTS,2010,CY,0,11.988
2006,NUTS,2010,CY,0,13.954
2007,NUTS,2010,CY,0,16.035
2008,NUTS,2010,CY,0,16.732
2009,NUTS,2010,CY,0,16.434
2010,NUTS,2010,CY,0,14.796
2011,NUTS,2010,CY,0,13.765
