year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_pps_kp05_gov
2002,NUTS,2010,AT31,2,13.09
2004,NUTS,2010,AT31,2,13.552
2006,NUTS,2010,AT31,2,14.25
2007,NUTS,2010,AT31,2,14.589
2009,NUTS,2010,AT31,2,15.258
2011,NUTS,2010,AT31,2,14.197
2013,NUTS,2010,AT31,2,14.098
2015,NUTS,2010,AT31,2,16.487
2017,NUTS,2010,AT31,2,28.464
2019,NUTS,2010,AT31,2,37.2
1998,NUTS,2010,AT32,2,7.198
2002,NUTS,2010,AT32,2,8.377
2004,NUTS,2010,AT32,2,9.476
2006,NUTS,2010,AT32,2,9.577
2009,NUTS,2010,AT32,2,12.445
2015,NUTS,2010,AT32,2,21.903
2017,NUTS,2010,AT32,2,19.813
2019,NUTS,2010,AT32,2,20.683
1998,NUTS,2010,AT33,2,14.396
2002,NUTS,2010,AT33,2,13.958
2004,NUTS,2010,AT33,2,14.933
2006,NUTS,2010,AT33,2,13.78
2011,NUTS,2010,AT33,2,19.818
2013,NUTS,2010,AT33,2,21.797
2019,NUTS,2010,AT33,2,28.676
1998,NUTS,2010,AT34,2,3.085
2002,NUTS,2010,AT34,2,7.029
2004,NUTS,2010,AT34,2,8.426
2011,NUTS,2010,AT34,2,8.291
2013,NUTS,2010,AT34,2,9.188
2015,NUTS,2010,AT34,2,9.928
2017,NUTS,2010,AT34,2,9.509
2019,NUTS,2010,AT34,2,9.56
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,8.701
2013,NUTS,2010,BA,0,4.401
2014,NUTS,2010,BA,0,11.764
2019,NUTS,2010,BA,0,2.371
1995,NUTS,2010,BE,0,177.905
1996,NUTS,2010,BE,0,218.19
1997,NUTS,2010,BE,0,233.862
1998,NUTS,2010,BE,0,267.117
1999,NUTS,2010,BE,0,294.424
2000,NUTS,2010,BE,0,314.793
2001,NUTS,2010,BE,0,327.219
2002,NUTS,2010,BE,0,362.559
2003,NUTS,2010,BE,0,338.592
2004,NUTS,2010,BE,0,392.355
2005,NUTS,2010,BE,0,426.268
2006,NUTS,2010,BE,0,427.339
2007,NUTS,2010,BE,0,452.12
2008,NUTS,2010,BE,0,526.025
2009,NUTS,2010,BE,0,548.418
2010,NUTS,2010,BE,0,532.349
2011,NUTS,2010,BE,0,545.855
2012,NUTS,2010,BE,0,607.278
2013,NUTS,2010,BE,0,622.223
2014,NUTS,2010,BE,0,682.988
2015,NUTS,2010,BE,0,729.029
2016,NUTS,2010,BE,0,804.879
2017,NUTS,2010,BE,0,842.09
2018,NUTS,2010,BE,0,898.442
2019,NUTS,2010,BE,0,972.655
2020,NUTS,2010,BE,0,1024.181
1995,NUTS,2010,BE1,1,45.762
1996,NUTS,2010,BE1,1,43.74
1997,NUTS,2010,BE1,1,46.52
1998,NUTS,2010,BE1,1,49.782
1999,NUTS,2010,BE1,1,48.406
2000,NUTS,2010,BE1,1,54.43
2001,NUTS,2010,BE1,1,54.865
2002,NUTS,2010,BE1,1,63.357
2003,NUTS,2010,BE1,1,63.718
2004,NUTS,2010,BE1,1,66.301
2005,NUTS,2010,BE1,1,65.423
2006,NUTS,2010,BE1,1,71.394
2007,NUTS,2010,BE1,1,71.034
2008,NUTS,2010,BE1,1,97.123
2009,NUTS,2010,BE1,1,98.383
2010,NUTS,2010,BE1,1,75.937
2011,NUTS,2010,BE1,1,76.935
2012,NUTS,2010,BE1,1,90.197
2013,NUTS,2010,BE1,1,97.361
2014,NUTS,2010,BE1,1,109.025
2015,NUTS,2010,BE1,1,119.905
2016,NUTS,2010,BE1,1,120.007
2017,NUTS,2010,BE1,1,120.599
2018,NUTS,2010,BE1,1,136.293
2019,NUTS,2010,BE1,1,139.878
1995,NUTS,2010,BE10,2,45.762
1996,NUTS,2010,BE10,2,43.74
1997,NUTS,2010,BE10,2,46.52
1998,NUTS,2010,BE10,2,49.782
1999,NUTS,2010,BE10,2,48.406
2000,NUTS,2010,BE10,2,54.43
2001,NUTS,2010,BE10,2,54.865
2002,NUTS,2010,BE10,2,63.357
2003,NUTS,2010,BE10,2,63.718
2004,NUTS,2010,BE10,2,66.301
2005,NUTS,2010,BE10,2,65.423
2006,NUTS,2010,BE10,2,71.394
2007,NUTS,2010,BE10,2,71.034
2008,NUTS,2010,BE10,2,97.123
2009,NUTS,2010,BE10,2,98.383
2010,NUTS,2010,BE10,2,75.937
2011,NUTS,2010,BE10,2,76.935
2012,NUTS,2010,BE10,2,90.197
2013,NUTS,2010,BE10,2,97.361
2014,NUTS,2010,BE10,2,109.025
2015,NUTS,2010,BE10,2,119.905
2016,NUTS,2010,BE10,2,120.007
2017,NUTS,2010,BE10,2,120.599
2018,NUTS,2010,BE10,2,136.293
2019,NUTS,2010,BE10,2,139.878
1995,NUTS,2010,BE2,1,65.592
1996,NUTS,2010,BE2,1,66.449
1997,NUTS,2010,BE2,1,74.642
1998,NUTS,2010,BE2,1,198.85
1999,NUTS,2010,BE2,1,226.402
2000,NUTS,2010,BE2,1,236.349
2001,NUTS,2010,BE2,1,247.526
2002,NUTS,2010,BE2,1,273.281
2003,NUTS,2010,BE2,1,249.153
2004,NUTS,2010,BE2,1,314.313
2005,NUTS,2010,BE2,1,348.648
2006,NUTS,2010,BE2,1,343.697
2007,NUTS,2010,BE2,1,368.84
2008,NUTS,2010,BE2,1,396.052
2009,NUTS,2010,BE2,1,417.02
2010,NUTS,2010,BE2,1,434.822
2011,NUTS,2010,BE2,1,445.566
2012,NUTS,2010,BE2,1,491.545
2013,NUTS,2010,BE2,1,499.245
2014,NUTS,2010,BE2,1,535.346
2015,NUTS,2010,BE2,1,567.912
2016,NUTS,2010,BE2,1,657.536
2017,NUTS,2010,BE2,1,694.076
2018,NUTS,2010,BE2,1,737.809
2019,NUTS,2010,BE2,1,808.406
1995,NUTS,2010,BE3,1,16.246
1996,NUTS,2010,BE3,1,19.906
1997,NUTS,2010,BE3,1,19.714
1998,NUTS,2010,BE3,1,18.485
1999,NUTS,2010,BE3,1,19.63
2000,NUTS,2010,BE3,1,24.011
2001,NUTS,2010,BE3,1,24.828
2002,NUTS,2010,BE3,1,25.921
2003,NUTS,2010,BE3,1,25.721
2004,NUTS,2010,BE3,1,11.741
2005,NUTS,2010,BE3,1,12.197
2006,NUTS,2010,BE3,1,12.248
2007,NUTS,2010,BE3,1,12.247
2008,NUTS,2010,BE3,1,32.849
2009,NUTS,2010,BE3,1,33.015
2010,NUTS,2010,BE3,1,21.591
2011,NUTS,2010,BE3,1,23.339
2012,NUTS,2010,BE3,1,25.536
2013,NUTS,2010,BE3,1,25.616
2014,NUTS,2010,BE3,1,38.617
2015,NUTS,2010,BE3,1,41.212
2016,NUTS,2010,BE3,1,27.337
2017,NUTS,2010,BE3,1,27.415
2018,NUTS,2010,BE3,1,24.341
2019,NUTS,2010,BE3,1,24.371
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1995,NUTS,2010,BG,0,98.372
1996,NUTS,2010,BG,0,78.694
1997,NUTS,2010,BG,0,158.371
1998,NUTS,2010,BG,0,186.111
1999,NUTS,2010,BG,0,183.939
2000,NUTS,2010,BG,0,166.26
2001,NUTS,2010,BG,0,152.383
2002,NUTS,2010,BG,0,178.491
2003,NUTS,2010,BG,0,187.393
2004,NUTS,2010,BG,0,190.216
2005,NUTS,2010,BG,0,190.859
2006,NUTS,2010,BG,0,195.331
2007,NUTS,2010,BG,0,184.824
2008,NUTS,2010,BG,0,203.544
2009,NUTS,2010,BG,0,205.555
2010,NUTS,2010,BG,0,160.702
2011,NUTS,2010,BG,0,148.371
2012,NUTS,2010,BG,0,141.992
2013,NUTS,2010,BG,0,147.457
2014,NUTS,2010,BG,0,154.429
2015,NUTS,2010,BG,0,160.746
2016,NUTS,2010,BG,0,137.599
2017,NUTS,2010,BG,0,148.606
2018,NUTS,2010,BG,0,147.894
2019,NUTS,2010,BG,0,191.708
2020,NUTS,2010,BG,0,194.453
2002,NUTS,2010,BG3,1,17.827
2003,NUTS,2010,BG3,1,18.886
2004,NUTS,2010,BG3,1,19.714
2005,NUTS,2010,BG3,1,19.775
2006,NUTS,2010,BG3,1,23.287
2007,NUTS,2010,BG3,1,23.203
2008,NUTS,2010,BG3,1,24.099
2009,NUTS,2010,BG3,1,24.696
2010,NUTS,2010,BG3,1,20.701
2011,NUTS,2010,BG3,1,20.741
2012,NUTS,2010,BG3,1,18.945
2013,NUTS,2010,BG3,1,20.37
2014,NUTS,2010,BG3,1,18.5
2015,NUTS,2010,BG3,1,19.075
2016,NUTS,2010,BG3,1,20.722
2017,NUTS,2010,BG3,1,19.77
2018,NUTS,2010,BG3,1,20.329
2019,NUTS,2010,BG3,1,23.715
2002,NUTS,2010,BG31,2,5.207
2003,NUTS,2010,BG31,2,4.951
2004,NUTS,2010,BG31,2,4.962
2005,NUTS,2010,BG31,2,5.171
2006,NUTS,2010,BG31,2,5.696
2007,NUTS,2010,BG31,2,5.623
2008,NUTS,2010,BG31,2,4.396
2009,NUTS,2010,BG31,2,6.18
2010,NUTS,2010,BG31,2,5.122
2011,NUTS,2010,BG31,2,4.881
2012,NUTS,2010,BG31,2,4.588
2013,NUTS,2010,BG31,2,4.999
2015,NUTS,2010,BG31,2,5.107
2016,NUTS,2010,BG31,2,4.755
2018,NUTS,2010,BG31,2,5.575
2019,NUTS,2010,BG31,2,6.117
2002,NUTS,2010,BG32,2,0.74
2003,NUTS,2010,BG32,2,1.316
2004,NUTS,2010,BG32,2,1.64
2005,NUTS,2010,BG32,2,1.548
2006,NUTS,2010,BG32,2,1.421
2007,NUTS,2010,BG32,2,1.605
2008,NUTS,2010,BG32,2,1.699
2009,NUTS,2010,BG32,2,1.37
2010,NUTS,2010,BG32,2,1.629
2011,NUTS,2010,BG32,2,1.847
2012,NUTS,2010,BG32,2,1.132
2013,NUTS,2010,BG32,2,0.965
2014,NUTS,2010,BG32,2,0.867
2015,NUTS,2010,BG32,2,0.349
2016,NUTS,2010,BG32,2,0.214
2017,NUTS,2010,BG32,2,0.27
2018,NUTS,2010,BG32,2,0.295
2019,NUTS,2010,BG32,2,0.427
2002,NUTS,2010,BG33,2,8.569
2003,NUTS,2010,BG33,2,9.714
2004,NUTS,2010,BG33,2,9.577
2005,NUTS,2010,BG33,2,9.779
2006,NUTS,2010,BG33,2,11.086
2007,NUTS,2010,BG33,2,10.957
2008,NUTS,2010,BG33,2,11.706
2009,NUTS,2010,BG33,2,12.532
2010,NUTS,2010,BG33,2,9.798
2011,NUTS,2010,BG33,2,9.957
2012,NUTS,2010,BG33,2,9.638
2013,NUTS,2010,BG33,2,10.7
2015,NUTS,2010,BG33,2,9.813
2016,NUTS,2010,BG33,2,12.001
2017,NUTS,2010,BG33,2,10.705
2018,NUTS,2010,BG33,2,11.079
2019,NUTS,2010,BG33,2,12.372
2002,NUTS,2010,BG34,2,3.311
2003,NUTS,2010,BG34,2,2.904
2004,NUTS,2010,BG34,2,3.535
2005,NUTS,2010,BG34,2,3.277
2006,NUTS,2010,BG34,2,5.084
2007,NUTS,2010,BG34,2,5.018
2008,NUTS,2010,BG34,2,6.298
2009,NUTS,2010,BG34,2,4.614
2010,NUTS,2010,BG34,2,4.152
2011,NUTS,2010,BG34,2,4.057
2012,NUTS,2010,BG34,2,3.588
2013,NUTS,2010,BG34,2,3.706
2014,NUTS,2010,BG34,2,4.003
2015,NUTS,2010,BG34,2,3.806
2016,NUTS,2010,BG34,2,3.752
2018,NUTS,2010,BG34,2,3.38
2019,NUTS,2010,BG34,2,4.799
2002,NUTS,2010,BG4,1,160.665
2003,NUTS,2010,BG4,1,168.504
2004,NUTS,2010,BG4,1,170.347
2005,NUTS,2010,BG4,1,171.084
2006,NUTS,2010,BG4,1,172.043
2007,NUTS,2010,BG4,1,161.621
2008,NUTS,2010,BG4,1,179.445
2009,NUTS,2010,BG4,1,180.859
2010,NUTS,2010,BG4,1,140.001
2011,NUTS,2010,BG4,1,127.629
2012,NUTS,2010,BG4,1,123.047
2013,NUTS,2010,BG4,1,127.087
2014,NUTS,2010,BG4,1,135.929
2015,NUTS,2010,BG4,1,141.671
2016,NUTS,2010,BG4,1,116.877
2017,NUTS,2010,BG4,1,128.837
2018,NUTS,2010,BG4,1,127.564
2019,NUTS,2010,BG4,1,167.993
1999,NUTS,2010,BG41,2,162.864
2000,NUTS,2010,BG41,2,146.432
2002,NUTS,2010,BG41,2,154.247
2003,NUTS,2010,BG41,2,161.178
2005,NUTS,2010,BG41,2,164.295
2006,NUTS,2010,BG41,2,165.658
2007,NUTS,2010,BG41,2,154.043
2008,NUTS,2010,BG41,2,172.696
2009,NUTS,2010,BG41,2,174.112
2010,NUTS,2010,BG41,2,132.92
2011,NUTS,2010,BG41,2,120.947
2012,NUTS,2010,BG41,2,116.823
2013,NUTS,2010,BG41,2,120.547
2014,NUTS,2010,BG41,2,130.431
2015,NUTS,2010,BG41,2,134.863
2016,NUTS,2010,BG41,2,111.124
2017,NUTS,2010,BG41,2,122.159
2018,NUTS,2010,BG41,2,119.971
2019,NUTS,2010,BG41,2,159.416
2002,NUTS,2010,BG42,2,6.417
2003,NUTS,2010,BG42,2,7.326
2005,NUTS,2010,BG42,2,6.789
2006,NUTS,2010,BG42,2,6.385
2007,NUTS,2010,BG42,2,7.578
2008,NUTS,2010,BG42,2,6.749
2009,NUTS,2010,BG42,2,6.747
2010,NUTS,2010,BG42,2,7.081
2011,NUTS,2010,BG42,2,6.682
2012,NUTS,2010,BG42,2,6.224
2013,NUTS,2010,BG42,2,6.54
2014,NUTS,2010,BG42,2,5.499
2015,NUTS,2010,BG42,2,6.808
2016,NUTS,2010,BG42,2,5.754
2017,NUTS,2010,BG42,2,6.677
2018,NUTS,2010,BG42,2,7.594
2019,NUTS,2010,BG42,2,8.577
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1981,NUTS,2010,CH,0,193.964
1983,NUTS,2010,CH,0,166.626
1986,NUTS,2010,CH,0,286.066
1988,NUTS,2010,CH,0,191.183
1989,NUTS,2010,CH,0,213.909
1990,NUTS,2010,CH,0,171.548
1991,NUTS,2010,CH,0,182.683
1992,NUTS,2010,CH,0,179.41
1994,NUTS,2010,CH,0,137.609
1996,NUTS,2010,CH,0,126.129
1998,NUTS,2010,CH,0,101.588
2000,NUTS,2010,CH,0,70.132
2002,NUTS,2010,CH,0,69.636
2004,NUTS,2010,CH,0,68.61
2006,NUTS,2010,CH,0,57.034
2008,NUTS,2010,CH,0,54.903
2010,NUTS,2010,CH,0,56.762
2012,NUTS,2010,CH,0,63.278
2014,NUTS,2010,CH,0,87.121
2015,NUTS,2010,CH,0,89.71
2017,NUTS,2010,CH,0,86.177
2019,NUTS,2010,CH,0,99.35
1981,NUTS,2010,CH0,1,193.964
1983,NUTS,2010,CH0,1,166.626
1986,NUTS,2010,CH0,1,286.066
1988,NUTS,2010,CH0,1,191.183
1989,NUTS,2010,CH0,1,213.909
1990,NUTS,2010,CH0,1,171.548
1991,NUTS,2010,CH0,1,182.683
1992,NUTS,2010,CH0,1,179.41
1994,NUTS,2010,CH0,1,137.609
1996,NUTS,2010,CH0,1,126.129
1998,NUTS,2010,CH0,1,101.588
2000,NUTS,2010,CH0,1,70.132
2002,NUTS,2010,CH0,1,69.636
2004,NUTS,2010,CH0,1,68.61
2006,NUTS,2010,CH0,1,57.034
2008,NUTS,2010,CH0,1,54.903
2010,NUTS,2010,CH0,1,56.762
2012,NUTS,2010,CH0,1,63.278
2014,NUTS,2010,CH0,1,87.121
2015,NUTS,2010,CH0,1,89.71
2017,NUTS,2010,CH0,1,86.177
2019,NUTS,2010,CH0,1,99.35
1991,NUTS,2010,CN_X_HK,5,5008.22
1992,NUTS,2010,CN_X_HK,5,5369.458
1993,NUTS,2010,CN_X_HK,5,5656.355
1994,NUTS,2010,CN_X_HK,5,5441.144
1995,NUTS,2010,CN_X_HK,5,5452.387
1996,NUTS,2010,CN_X_HK,5,6037.714
1997,NUTS,2010,CN_X_HK,5,7093.231
1998,NUTS,2010,CN_X_HK,5,8123.219
1999,NUTS,2010,CN_X_HK,5,9166.966
2000,NUTS,2010,CN_X_HK,5,9692.435
2001,NUTS,2010,CN_X_HK,5,10442.122
2002,NUTS,2010,CN_X_HK,5,12349.868
2003,NUTS,2010,CN_X_HK,5,13569.879
2004,NUTS,2010,CN_X_HK,5,13753.407
2005,NUTS,2010,CN_X_HK,5,15581.583
2006,NUTS,2010,CN_X_HK,5,16656.442
2007,NUTS,2010,CN_X_HK,5,18677.682
2008,NUTS,2010,CN_X_HK,5,20575.225
2009,NUTS,2010,CN_X_HK,5,26446.906
2010,NUTS,2010,CN_X_HK,5,29390.667
2011,NUTS,2010,CN_X_HK,5,30155.227
2012,NUTS,2010,CN_X_HK,5,34490.264
2013,NUTS,2010,CN_X_HK,5,38474.782
2014,NUTS,2010,CN_X_HK,5,40835.046
2015,NUTS,2010,CN_X_HK,5,45528.123
2016,NUTS,2010,CN_X_HK,5,48725.532
1998,NUTS,2010,CY,0,14.13
1999,NUTS,2010,CY,0,13.995
2000,NUTS,2010,CY,0,14.555
2001,NUTS,2010,CY,0,15.421
2002,NUTS,2010,CY,0,16.938
2003,NUTS,2010,CY,0,18.463
2004,NUTS,2010,CY,0,19.41
2005,NUTS,2010,CY,0,19.61
2006,NUTS,2010,CY,0,19.314
2007,NUTS,2010,CY,0,17.85
2008,NUTS,2010,CY,0,16.935
2009,NUTS,2010,CY,0,17.024
2010,NUTS,2010,CY,0,16.659
2011,NUTS,2010,CY,0,14.298
2012,NUTS,2010,CY,0,13.074
2013,NUTS,2010,CY,0,11.871
2014,NUTS,2010,CY,0,12.064
2015,NUTS,2010,CY,0,10.9
2016,NUTS,2010,CY,0,10.363
2017,NUTS,2010,CY,0,10.789
2018,NUTS,2010,CY,0,10.809
2019,NUTS,2010,CY,0,11.701
2020,NUTS,2010,CY,0,11.842
1998,NUTS,2010,CY0,1,14.13
1999,NUTS,2010,CY0,1,13.995
2000,NUTS,2010,CY0,1,14.555
2001,NUTS,2010,CY0,1,15.421
2002,NUTS,2010,CY0,1,16.938
2003,NUTS,2010,CY0,1,18.463
2004,NUTS,2010,CY0,1,19.41
2005,NUTS,2010,CY0,1,19.61
2006,NUTS,2010,CY0,1,19.314
2007,NUTS,2010,CY0,1,17.85
2008,NUTS,2010,CY0,1,16.935
2009,NUTS,2010,CY0,1,17.024
2010,NUTS,2010,CY0,1,16.659
2011,NUTS,2010,CY0,1,14.298
2012,NUTS,2010,CY0,1,13.074
2013,NUTS,2010,CY0,1,11.871
2014,NUTS,2010,CY0,1,12.064
2015,NUTS,2010,CY0,1,10.9
2016,NUTS,2010,CY0,1,10.363
2017,NUTS,2010,CY0,1,10.789
2018,NUTS,2010,CY0,1,10.809
2019,NUTS,2010,CY0,1,11.701
2020,NUTS,2010,CY0,1,11.842
1998,NUTS,2010,CY00,2,14.13
1999,NUTS,2010,CY00,2,13.995
2000,NUTS,2010,CY00,2,14.555
2001,NUTS,2010,CY00,2,15.421
2002,NUTS,2010,CY00,2,16.938
2003,NUTS,2010,CY00,2,18.463
2004,NUTS,2010,CY00,2,19.41
2005,NUTS,2010,CY00,2,19.61
2006,NUTS,2010,CY00,2,19.314
2007,NUTS,2010,CY00,2,17.85
2008,NUTS,2010,CY00,2,16.935
2009,NUTS,2010,CY00,2,17.024
2010,NUTS,2010,CY00,2,16.659
2011,NUTS,2010,CY00,2,14.298
2012,NUTS,2010,CY00,2,13.074
2013,NUTS,2010,CY00,2,11.871
2014,NUTS,2010,CY00,2,12.064
2015,NUTS,2010,CY00,2,10.9
2016,NUTS,2010,CY00,2,10.363
2017,NUTS,2010,CY00,2,10.789
2018,NUTS,2010,CY00,2,10.809
2019,NUTS,2010,CY00,2,11.701
2020,NUTS,2010,CY00,2,11.842
1995,NUTS,2010,CZ,0,324.227
1996,NUTS,2010,CZ,0,403.892
1997,NUTS,2010,CZ,0,382.074
1998,NUTS,2010,CZ,0,394.242
1999,NUTS,2010,CZ,0,373.413
2000,NUTS,2010,CZ,0,428.679
2001,NUTS,2010,CZ,0,409.15
2002,NUTS,2010,CZ,0,402.599
2003,NUTS,2010,CZ,0,440.682
2004,NUTS,2010,CZ,0,442.866
2005,NUTS,2010,CZ,0,488.42
2006,NUTS,2010,CZ,0,535.703
2007,NUTS,2010,CZ,0,629.627
2008,NUTS,2010,CZ,0,619.013
2009,NUTS,2010,CZ,0,634.277
2010,NUTS,2010,CZ,0,599.871
2011,NUTS,2010,CZ,0,648.838
2012,NUTS,2010,CZ,0,686.972
2013,NUTS,2010,CZ,0,725.308
2014,NUTS,2010,CZ,0,768.52
2015,NUTS,2010,CZ,0,888.356
2016,NUTS,2010,CZ,0,706.396
2017,NUTS,2010,CZ,0,746.785
2018,NUTS,2010,CZ,0,785.0
2019,NUTS,2010,CZ,0,817.239
2020,NUTS,2010,CZ,0,837.364
1995,NUTS,2010,CZ0,1,324.227
1996,NUTS,2010,CZ0,1,403.892
1997,NUTS,2010,CZ0,1,382.074
1998,NUTS,2010,CZ0,1,394.242
1999,NUTS,2010,CZ0,1,373.413
2000,NUTS,2010,CZ0,1,428.679
2001,NUTS,2010,CZ0,1,409.15
2002,NUTS,2010,CZ0,1,402.599
2003,NUTS,2010,CZ0,1,440.682
2004,NUTS,2010,CZ0,1,442.866
2005,NUTS,2010,CZ0,1,488.42
2006,NUTS,2010,CZ0,1,535.703
2007,NUTS,2010,CZ0,1,629.627
2008,NUTS,2010,CZ0,1,619.013
2009,NUTS,2010,CZ0,1,634.277
2010,NUTS,2010,CZ0,1,599.871
2011,NUTS,2010,CZ0,1,648.838
2012,NUTS,2010,CZ0,1,686.972
2013,NUTS,2010,CZ0,1,725.308
2014,NUTS,2010,CZ0,1,768.52
2015,NUTS,2010,CZ0,1,888.356
2016,NUTS,2010,CZ0,1,706.396
2017,NUTS,2010,CZ0,1,746.785
2018,NUTS,2010,CZ0,1,785.0
2019,NUTS,2010,CZ0,1,817.239
2020,NUTS,2010,CZ0,1,837.364
2001,NUTS,2010,CZ01,2,270.936
2002,NUTS,2010,CZ01,2,265.096
2003,NUTS,2010,CZ01,2,299.096
2004,NUTS,2010,CZ01,2,288.709
2005,NUTS,2010,CZ01,2,336.994
2006,NUTS,2010,CZ01,2,378.82
2007,NUTS,2010,CZ01,2,479.808
2008,NUTS,2010,CZ01,2,461.653
2009,NUTS,2010,CZ01,2,463.295
