year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_fte_total_t
2013,NUTS,2010,BE35,2,1036.0
2014,NUTS,2010,BE35,2,1519.0
2015,NUTS,2010,BE35,2,2115.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,16986.0
2012,NUTS,2010,BG,0,16758.0
2013,NUTS,2010,BG,0,17545.0
2014,NUTS,2010,BG,0,19335.0
2015,NUTS,2010,BG,0,22492.0
2016,NUTS,2010,BG,0,25060.0
2017,NUTS,2010,BG,0,23290.0
2018,NUTS,2010,BG,0,25809.0
2019,NUTS,2010,BG,0,26399.0
2020,NUTS,2010,BG,0,26085.0
2011,NUTS,2010,BG3,1,3930.0
2012,NUTS,2010,BG3,1,4061.0
2013,NUTS,2010,BG3,1,4311.0
2014,NUTS,2010,BG3,1,4961.0
2015,NUTS,2010,BG3,1,6120.0
2016,NUTS,2010,BG3,1,6048.0
2017,NUTS,2010,BG3,1,5866.0
2018,NUTS,2010,BG3,1,6821.0
2019,NUTS,2010,BG3,1,6950.0
2011,NUTS,2010,BG31,2,559.0
2012,NUTS,2010,BG31,2,773.0
2013,NUTS,2010,BG31,2,784.0
2014,NUTS,2010,BG31,2,783.0
2015,NUTS,2010,BG31,2,1187.0
2016,NUTS,2010,BG31,2,1261.0
2017,NUTS,2010,BG31,2,1183.0
2018,NUTS,2010,BG31,2,1467.0
2019,NUTS,2010,BG31,2,1391.0
2011,NUTS,2010,BG32,2,781.0
2012,NUTS,2010,BG32,2,765.0
2013,NUTS,2010,BG32,2,872.0
2014,NUTS,2010,BG32,2,1361.0
2015,NUTS,2010,BG32,2,1390.0
2016,NUTS,2010,BG32,2,1192.0
2017,NUTS,2010,BG32,2,1312.0
2018,NUTS,2010,BG32,2,1452.0
2019,NUTS,2010,BG32,2,1462.0
2011,NUTS,2010,BG33,2,1622.0
2012,NUTS,2010,BG33,2,1628.0
2013,NUTS,2010,BG33,2,1613.0
2014,NUTS,2010,BG33,2,1815.0
2015,NUTS,2010,BG33,2,1981.0
2016,NUTS,2010,BG33,2,2052.0
2017,NUTS,2010,BG33,2,1929.0
2018,NUTS,2010,BG33,2,2183.0
2019,NUTS,2010,BG33,2,2254.0
2011,NUTS,2010,BG34,2,968.0
2012,NUTS,2010,BG34,2,895.0
2013,NUTS,2010,BG34,2,1042.0
2014,NUTS,2010,BG34,2,1002.0
2015,NUTS,2010,BG34,2,1562.0
2016,NUTS,2010,BG34,2,1543.0
2017,NUTS,2010,BG34,2,1442.0
2018,NUTS,2010,BG34,2,1719.0
2019,NUTS,2010,BG34,2,1843.0
2011,NUTS,2010,BG4,1,13056.0
2012,NUTS,2010,BG4,1,12697.0
2013,NUTS,2010,BG4,1,13234.0
2014,NUTS,2010,BG4,1,14374.0
2015,NUTS,2010,BG4,1,16372.0
2016,NUTS,2010,BG4,1,19012.0
2017,NUTS,2010,BG4,1,17424.0
2018,NUTS,2010,BG4,1,18988.0
2019,NUTS,2010,BG4,1,19449.0
2011,NUTS,2010,BG41,2,11463.0
2012,NUTS,2010,BG41,2,11421.0
2013,NUTS,2010,BG41,2,11828.0
2014,NUTS,2010,BG41,2,12949.0
2015,NUTS,2010,BG41,2,14179.0
2016,NUTS,2010,BG41,2,16595.0
2017,NUTS,2010,BG41,2,15105.0
2018,NUTS,2010,BG41,2,16221.0
2019,NUTS,2010,BG41,2,16508.0
2011,NUTS,2010,BG42,2,1593.0
2012,NUTS,2010,BG42,2,1276.0
2013,NUTS,2010,BG42,2,1406.0
2014,NUTS,2010,BG42,2,1425.0
2015,NUTS,2010,BG42,2,2193.0
2016,NUTS,2010,BG42,2,2417.0
2017,NUTS,2010,BG42,2,2319.0
2018,NUTS,2010,BG42,2,2767.0
2019,NUTS,2010,BG42,2,2941.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,75476.0
2015,NUTS,2010,CH,0,81451.0
2017,NUTS,2010,CH,0,78908.0
2019,NUTS,2010,CH,0,85853.0
2011,NUTS,2010,CN_X_HK,5,2882903.0
2012,NUTS,2010,CN_X_HK,5,3246840.0
2013,NUTS,2010,CN_X_HK,5,3532817.0
2014,NUTS,2010,CN_X_HK,5,3710580.0
2015,NUTS,2010,CN_X_HK,5,3758848.0
2016,NUTS,2010,CN_X_HK,5,3878057.0
2017,NUTS,2010,CN_X_HK,5,4033597.0
2018,NUTS,2010,CN_X_HK,5,4381444.0
2019,NUTS,2010,CN_X_HK,5,4800768.0
2011,NUTS,2010,CY,0,1299.0
2012,NUTS,2010,CY,0,1245.0
2013,NUTS,2010,CY,0,1247.0
2014,NUTS,2010,CY,0,1284.0
2015,NUTS,2010,CY,0,1246.0
2016,NUTS,2010,CY,0,1356.0
2017,NUTS,2010,CY,0,1535.0
2018,NUTS,2010,CY,0,1826.0
2019,NUTS,2010,CY,0,2121.0
2020,NUTS,2010,CY,0,2205.0
2011,NUTS,2010,CZ,0,55697.0
2012,NUTS,2010,CZ,0,60329.0
2013,NUTS,2010,CZ,0,61976.0
2014,NUTS,2010,CZ,0,64443.0
2015,NUTS,2010,CZ,0,66433.0
2016,NUTS,2010,CZ,0,65783.0
2017,NUTS,2010,CZ,0,69736.0
2018,NUTS,2010,CZ,0,74969.0
2019,NUTS,2010,CZ,0,79245.0
2020,NUTS,2010,CZ,0,80958.0
2011,NUTS,2010,CZ0,1,55697.0
2012,NUTS,2010,CZ0,1,60329.0
2013,NUTS,2010,CZ0,1,61976.0
2014,NUTS,2010,CZ0,1,64443.0
2015,NUTS,2010,CZ0,1,66433.0
2016,NUTS,2010,CZ0,1,65783.0
2017,NUTS,2010,CZ0,1,69736.0
2018,NUTS,2010,CZ0,1,74969.0
2019,NUTS,2010,CZ0,1,79245.0
2020,NUTS,2010,CZ0,1,80958.0
2011,NUTS,2010,CZ01,2,20994.0
2012,NUTS,2010,CZ01,2,21810.0
2013,NUTS,2010,CZ01,2,23243.0
2014,NUTS,2010,CZ01,2,23203.0
2015,NUTS,2010,CZ01,2,23445.0
2016,NUTS,2010,CZ01,2,22046.0
2017,NUTS,2010,CZ01,2,24389.0
2018,NUTS,2010,CZ01,2,26745.0
2019,NUTS,2010,CZ01,2,28416.0
2020,NUTS,2010,CZ01,2,29086.0
2011,NUTS,2010,CZ02,2,5557.0
2012,NUTS,2010,CZ02,2,5549.0
2013,NUTS,2010,CZ02,2,5698.0
2014,NUTS,2010,CZ02,2,5698.0
2015,NUTS,2010,CZ02,2,6213.0
2016,NUTS,2010,CZ02,2,6881.0
2017,NUTS,2010,CZ02,2,7219.0
2018,NUTS,2010,CZ02,2,7880.0
2019,NUTS,2010,CZ02,2,8183.0
2020,NUTS,2010,CZ02,2,8398.0
2011,NUTS,2010,CZ03,2,4327.0
2012,NUTS,2010,CZ03,2,4819.0
2013,NUTS,2010,CZ03,2,4829.0
2014,NUTS,2010,CZ03,2,5388.0
2015,NUTS,2010,CZ03,2,5230.0
2016,NUTS,2010,CZ03,2,5165.0
2017,NUTS,2010,CZ03,2,5395.0
2018,NUTS,2010,CZ03,2,5714.0
2019,NUTS,2010,CZ03,2,6410.0
2020,NUTS,2010,CZ03,2,6380.0
2011,NUTS,2010,CZ04,2,1021.0
2012,NUTS,2010,CZ04,2,1157.0
2013,NUTS,2010,CZ04,2,1190.0
2014,NUTS,2010,CZ04,2,1278.0
2015,NUTS,2010,CZ04,2,1277.0
2016,NUTS,2010,CZ04,2,1167.0
2017,NUTS,2010,CZ04,2,1350.0
2018,NUTS,2010,CZ04,2,1429.0
2019,NUTS,2010,CZ04,2,1425.0
2020,NUTS,2010,CZ04,2,1334.0
2011,NUTS,2010,CZ05,2,6043.0
2012,NUTS,2010,CZ05,2,6294.0
2013,NUTS,2010,CZ05,2,6585.0
2014,NUTS,2010,CZ05,2,6493.0
2015,NUTS,2010,CZ05,2,6451.0
2016,NUTS,2010,CZ05,2,6476.0
2017,NUTS,2010,CZ05,2,6936.0
2018,NUTS,2010,CZ05,2,7315.0
2019,NUTS,2010,CZ05,2,7457.0
2020,NUTS,2010,CZ05,2,7177.0
2011,NUTS,2010,CZ06,2,9597.0
2012,NUTS,2010,CZ06,2,11392.0
2013,NUTS,2010,CZ06,2,11782.0
2014,NUTS,2010,CZ06,2,13037.0
2015,NUTS,2010,CZ06,2,14046.0
2016,NUTS,2010,CZ06,2,14056.0
2017,NUTS,2010,CZ06,2,14057.0
2018,NUTS,2010,CZ06,2,14899.0
2019,NUTS,2010,CZ06,2,16130.0
2020,NUTS,2010,CZ06,2,17396.0
2011,NUTS,2010,CZ07,2,4232.0
2012,NUTS,2010,CZ07,2,4554.0
2013,NUTS,2010,CZ07,2,4941.0
2014,NUTS,2010,CZ07,2,5085.0
2015,NUTS,2010,CZ07,2,5505.0
2016,NUTS,2010,CZ07,2,5739.0
2017,NUTS,2010,CZ07,2,5795.0
2018,NUTS,2010,CZ07,2,6020.0
2019,NUTS,2010,CZ07,2,6438.0
2020,NUTS,2010,CZ07,2,6297.0
2011,NUTS,2010,CZ08,2,3925.0
2012,NUTS,2010,CZ08,2,4754.0
2013,NUTS,2010,CZ08,2,3708.0
2014,NUTS,2010,CZ08,2,4261.0
2015,NUTS,2010,CZ08,2,4267.0
2016,NUTS,2010,CZ08,2,4254.0
2017,NUTS,2010,CZ08,2,4594.0
2018,NUTS,2010,CZ08,2,4968.0
2019,NUTS,2010,CZ08,2,4786.0
2020,NUTS,2010,CZ08,2,4890.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,575099.0
2012,NUTS,2010,DE,0,591261.0
2013,NUTS,2010,DE,0,588615.0
2014,NUTS,2010,DE,0,605252.0
2015,NUTS,2010,DE,0,640516.0
2016,NUTS,2010,DE,0,657894.0
2017,NUTS,2010,DE,0,686349.0
2018,NUTS,2010,DE,0,707704.0
2019,NUTS,2010,DE,0,735584.0
2020,NUTS,2010,DE,0,735239.0
2011,NUTS,2010,DE1,1,130011.0
2013,NUTS,2010,DE1,1,135716.0
2015,NUTS,2010,DE1,1,148883.0
2017,NUTS,2010,DE1,1,169023.0
2019,NUTS,2010,DE1,1,179780.0
2011,NUTS,2010,DE11,2,60310.0
2013,NUTS,2010,DE11,2,64728.0
2015,NUTS,2010,DE11,2,72979.0
2017,NUTS,2010,DE11,2,86290.0
2019,NUTS,2010,DE11,2,90184.0
2011,NUTS,2010,DE12,2,33314.0
2013,NUTS,2010,DE12,2,33770.0
2015,NUTS,2010,DE12,2,36973.0
2017,NUTS,2010,DE12,2,41709.0
2019,NUTS,2010,DE12,2,44132.0
2011,NUTS,2010,DE13,2,15404.0
2013,NUTS,2010,DE13,2,15509.0
2015,NUTS,2010,DE13,2,16424.0
2017,NUTS,2010,DE13,2,17830.0
2019,NUTS,2010,DE13,2,19551.0
2011,NUTS,2010,DE14,2,20982.0
2013,NUTS,2010,DE14,2,21709.0
2015,NUTS,2010,DE14,2,22506.0
2017,NUTS,2010,DE14,2,23194.0
2019,NUTS,2010,DE14,2,25913.0
2011,NUTS,2010,DE2,1,108221.0
2013,NUTS,2010,DE2,1,111596.0
2015,NUTS,2010,DE2,1,123493.0
2017,NUTS,2010,DE2,1,128226.0
2019,NUTS,2010,DE2,1,144705.0
2011,NUTS,2010,DE21,2,64933.0
2013,NUTS,2010,DE21,2,66974.0
2015,NUTS,2010,DE21,2,73967.0
2017,NUTS,2010,DE21,2,73761.0
2019,NUTS,2010,DE21,2,82414.0
2015,NUTS,2010,DE22,2,3827.0
2017,NUTS,2010,DE22,2,4282.0
2019,NUTS,2010,DE22,2,5406.0
2015,NUTS,2010,DE23,2,6061.0
2017,NUTS,2010,DE23,2,7363.0
2019,NUTS,2010,DE23,2,8615.0
2011,NUTS,2010,DE24,2,4580.0
2013,NUTS,2010,DE24,2,4720.0
2015,NUTS,2010,DE24,2,5043.0
2017,NUTS,2010,DE24,2,5695.0
2019,NUTS,2010,DE24,2,7858.0
2011,NUTS,2010,DE25,2,15464.0
2013,NUTS,2010,DE25,2,15864.0
2015,NUTS,2010,DE25,2,16501.0
2017,NUTS,2010,DE25,2,16378.0
2019,NUTS,2010,DE25,2,18701.0
2011,NUTS,2010,DE26,2,8347.0
2013,NUTS,2010,DE26,2,8757.0
2015,NUTS,2010,DE26,2,8808.0
2017,NUTS,2010,DE26,2,11287.0
2019,NUTS,2010,DE26,2,11787.0
2011,NUTS,2010,DE27,2,6208.0
2013,NUTS,2010,DE27,2,6879.0
2015,NUTS,2010,DE27,2,9286.0
2017,NUTS,2010,DE27,2,9462.0
2019,NUTS,2010,DE27,2,9924.0
2011,NUTS,2010,DE3,1,30179.0
2013,NUTS,2010,DE3,1,30723.0
2015,NUTS,2010,DE3,1,33273.0
2017,NUTS,2010,DE3,1,33881.0
2019,NUTS,2010,DE3,1,35933.0
2011,NUTS,2010,DE30,2,30179.0
2013,NUTS,2010,DE30,2,30723.0
2015,NUTS,2010,DE30,2,33273.0
2017,NUTS,2010,DE30,2,33881.0
2019,NUTS,2010,DE30,2,35933.0
2011,NUTS,2010,DE4,1,8926.0
2013,NUTS,2010,DE4,1,9097.0
2015,NUTS,2010,DE4,1,9595.0
2017,NUTS,2010,DE4,1,10818.0
2019,NUTS,2010,DE4,1,11444.0
2011,NUTS,2010,DE40,2,8926.0
2013,NUTS,2010,DE40,2,9097.0
2015,NUTS,2010,DE40,2,9595.0
2017,NUTS,2010,DE40,2,10818.0
2019,NUTS,2010,DE40,2,11444.0
2011,NUTS,2010,DE5,1,5832.0
2013,NUTS,2010,DE5,1,6177.0
2015,NUTS,2010,DE5,1,6822.0
2017,NUTS,2010,DE5,1,6987.0
2019,NUTS,2010,DE5,1,7660.0
2011,NUTS,2010,DE50,2,5832.0
2013,NUTS,2010,DE50,2,6177.0
2015,NUTS,2010,DE50,2,6822.0
2017,NUTS,2010,DE50,2,6987.0
2019,NUTS,2010,DE50,2,7660.0
2011,NUTS,2010,DE6,1,13541.0
2013,NUTS,2010,DE6,1,14427.0
2015,NUTS,2010,DE6,1,15695.0
2017,NUTS,2010,DE6,1,17737.0
2019,NUTS,2010,DE6,1,18417.0
2011,NUTS,2010,DE60,2,13541.0
2013,NUTS,2010,DE60,2,14427.0
2015,NUTS,2010,DE60,2,15695.0
2017,NUTS,2010,DE60,2,17737.0
2019,NUTS,2010,DE60,2,18417.0
2011,NUTS,2010,DE7,1,47536.0
2013,NUTS,2010,DE7,1,45984.0
2015,NUTS,2010,DE7,1,51078.0
2017,NUTS,2010,DE7,1,54306.0
2019,NUTS,2010,DE7,1,56491.0
2011,NUTS,2010,DE71,2,36387.0
2013,NUTS,2010,DE71,2,33783.0
2015,NUTS,2010,DE71,2,39515.0
2017,NUTS,2010,DE71,2,41420.0
2019,NUTS,2010,DE71,2,43660.0
2011,NUTS,2010,DE72,2,5586.0
2013,NUTS,2010,DE72,2,6077.0
2015,NUTS,2010,DE72,2,6199.0
2017,NUTS,2010,DE72,2,6749.0
2019,NUTS,2010,DE72,2,6896.0
2011,NUTS,2010,DE73,2,5561.0
2013,NUTS,2010,DE73,2,6125.0
2015,NUTS,2010,DE73,2,5364.0
2017,NUTS,2010,DE73,2,6138.0
2019,NUTS,2010,DE73,2,5936.0
2011,NUTS,2010,DE8,1,6179.0
2013,NUTS,2010,DE8,1,5714.0
2015,NUTS,2010,DE8,1,5807.0
2017,NUTS,2010,DE8,1,6106.0
2019,NUTS,2010,DE8,1,6578.0
2011,NUTS,2010,DE80,2,6179.0
2013,NUTS,2010,DE80,2,5714.0
2015,NUTS,2010,DE80,2,5807.0
2017,NUTS,2010,DE80,2,6106.0
2019,NUTS,2010,DE80,2,6578.0
2011,NUTS,2010,DE9,1,44779.0
2013,NUTS,2010,DE9,1,47181.0
2015,NUTS,2010,DE9,1,50902.0
2017,NUTS,2010,DE9,1,53067.0
2019,NUTS,2010,DE9,1,56706.0
2011,NUTS,2010,DE91,2,24596.0
2013,NUTS,2010,DE91,2,26088.0
2015,NUTS,2010,DE91,2,28419.0
2017,NUTS,2010,DE91,2,30165.0
2019,NUTS,2010,DE91,2,31594.0
2011,NUTS,2010,DE92,2,12529.0
2013,NUTS,2010,DE92,2,12684.0
2015,NUTS,2010,DE92,2,13492.0
2017,NUTS,2010,DE92,2,12981.0
2019,NUTS,2010,DE92,2,14059.0
2011,NUTS,2010,DE93,2,2997.0
2013,NUTS,2010,DE93,2,3194.0
2015,NUTS,2010,DE93,2,3015.0
2017,NUTS,2010,DE93,2,3424.0
2019,NUTS,2010,DE93,2,3593.0
2011,NUTS,2010,DE94,2,4656.0
2013,NUTS,2010,DE94,2,5216.0
2015,NUTS,2010,DE94,2,5975.0
2017,NUTS,2010,DE94,2,6497.0
2019,NUTS,2010,DE94,2,7460.0
2011,NUTS,2010,DEA,1,92581.0
2013,NUTS,2010,DEA,1,91506.0
2015,NUTS,2010,DEA,1,99536.0
2017,NUTS,2010,DEA,1,106306.0
2019,NUTS,2010,DEA,1,112372.0
2011,NUTS,2010,DEA1,2,22533.0
2013,NUTS,2010,DEA1,2,21240.0
2015,NUTS,2010,DEA1,2,23708.0
2017,NUTS,2010,DEA1,2,25161.0
2019,NUTS,2010,DEA1,2,26101.0
2011,NUTS,2010,DEA2,2,37583.0
2013,NUTS,2010,DEA2,2,35237.0
2015,NUTS,2010,DEA2,2,40016.0
2017,NUTS,2010,DEA2,2,42572.0
2019,NUTS,2010,DEA2,2,45056.0
2011,NUTS,2010,DEA3,2,6776.0
2013,NUTS,2010,DEA3,2,7163.0
2015,NUTS,2010,DEA3,2,7241.0
2017,NUTS,2010,DEA3,2,7767.0
2019,NUTS,2010,DEA3,2,8729.0
2011,NUTS,2010,DEA4,2,10867.0
2013,NUTS,2010,DEA4,2,11765.0
2015,NUTS,2010,DEA4,2,12074.0
2017,NUTS,2010,DEA4,2,13131.0
2019,NUTS,2010,DEA4,2,13766.0
2011,NUTS,2010,DEA5,2,14823.0
2013,NUTS,2010,DEA5,2,16100.0
2015,NUTS,2010,DEA5,2,16496.0
2017,NUTS,2010,DEA5,2,17676.0
2019,NUTS,2010,DEA5,2,18718.0
2011,NUTS,2010,DEB,1,18098.0
2013,NUTS,2010,DEB,1,19232.0
2015,NUTS,2010,DEB,1,21544.0
2017,NUTS,2010,DEB,1,22048.0
2019,NUTS,2010,DEB,1,24588.0
2011,NUTS,2010,DEB1,2,2522.0
2013,NUTS,2010,DEB1,2,2766.0
2015,NUTS,2010,DEB1,2,2629.0
2017,NUTS,2010,DEB1,2,3085.0
2019,NUTS,2010,DEB1,2,3791.0
2011,NUTS,2010,DEB2,2,1307.0
2013,NUTS,2010,DEB2,2,1181.0
2015,NUTS,2010,DEB2,2,1167.0
2017,NUTS,2010,DEB2,2,1214.0
2019,NUTS,2010,DEB2,2,1230.0
2011,NUTS,2010,DEB3,2,14270.0
2013,NUTS,2010,DEB3,2,15285.0
2015,NUTS,2010,DEB3,2,17749.0
2017,NUTS,2010,DEB3,2,17750.0
2019,NUTS,2010,DEB3,2,19567.0
2011,NUTS,2010,DEC,1,3771.0
2013,NUTS,2010,DEC,1,4256.0
2015,NUTS,2010,DEC,1,4545.0
2017,NUTS,2010,DEC,1,5138.0
2019,NUTS,2010,DEC,1,5555.0
2011,NUTS,2010,DEC0,2,3771.0
2013,NUTS,2010,DEC0,2,4256.0
2015,NUTS,2010,DEC0,2,4545.0
2017,NUTS,2010,DEC0,2,5138.0
2019,NUTS,2010,DEC0,2,5555.0
2011,NUTS,2010,DED,1,26034.0
2013,NUTS,2010,DED,1,26735.0
2015,NUTS,2010,DED,1,28073.0
2017,NUTS,2010,DED,1,30356.0
