year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_t_fte
2019,NUTS,2010,CH02,2,7993.0
2012,NUTS,2010,CH03,2,14773.0
2015,NUTS,2010,CH03,2,14941.0
2017,NUTS,2010,CH03,2,14070.0
2019,NUTS,2010,CH03,2,14813.0
2012,NUTS,2010,CH04,2,7540.0
2015,NUTS,2010,CH04,2,8208.0
2017,NUTS,2010,CH04,2,7240.0
2019,NUTS,2010,CH04,2,8623.0
2012,NUTS,2010,CH05,2,6211.0
2015,NUTS,2010,CH05,2,6513.0
2017,NUTS,2010,CH05,2,4738.0
2019,NUTS,2010,CH05,2,7969.0
2012,NUTS,2010,CH06,2,4131.0
2015,NUTS,2010,CH06,2,5131.0
2017,NUTS,2010,CH06,2,5019.0
2019,NUTS,2010,CH06,2,4550.0
2012,NUTS,2010,CH07,2,1376.0
2015,NUTS,2010,CH07,2,638.0
2017,NUTS,2010,CH07,2,1379.0
2019,NUTS,2010,CH07,2,873.0
2011,NUTS,2010,CN_X_HK,5,2169291.0
2012,NUTS,2010,CN_X_HK,5,2486400.0
2013,NUTS,2010,CN_X_HK,5,2740563.0
2014,NUTS,2010,CN_X_HK,5,2896352.0
2015,NUTS,2010,CN_X_HK,5,2910799.0
2016,NUTS,2010,CN_X_HK,5,3012081.0
2017,NUTS,2010,CN_X_HK,5,3119809.0
2018,NUTS,2010,CN_X_HK,5,3424780.0
2019,NUTS,2010,CN_X_HK,5,3668433.0
2011,NUTS,2010,CY,0,270.0
2012,NUTS,2010,CY,0,240.0
2013,NUTS,2010,CY,0,252.0
2014,NUTS,2010,CY,0,267.0
2015,NUTS,2010,CY,0,256.0
2016,NUTS,2010,CY,0,361.0
2017,NUTS,2010,CY,0,416.0
2018,NUTS,2010,CY,0,650.0
2019,NUTS,2010,CY,0,746.0
2020,NUTS,2010,CY,0,800.0
2011,NUTS,2010,CZ,0,29014.0
2012,NUTS,2010,CZ,0,31705.0
2013,NUTS,2010,CZ,0,33188.0
2014,NUTS,2010,CZ,0,35256.0
2015,NUTS,2010,CZ,0,36365.0
2016,NUTS,2010,CZ,0,37263.0
2017,NUTS,2010,CZ,0,39968.0
2018,NUTS,2010,CZ,0,42349.0
2019,NUTS,2010,CZ,0,44792.0
2020,NUTS,2010,CZ,0,46234.0
2011,NUTS,2010,CZ0,1,29014.0
2012,NUTS,2010,CZ0,1,31705.0
2013,NUTS,2010,CZ0,1,33188.0
2014,NUTS,2010,CZ0,1,35256.0
2015,NUTS,2010,CZ0,1,36365.0
2016,NUTS,2010,CZ0,1,37263.0
2017,NUTS,2010,CZ0,1,39968.0
2018,NUTS,2010,CZ0,1,42349.0
2019,NUTS,2010,CZ0,1,44792.0
2020,NUTS,2010,CZ0,1,46234.0
2011,NUTS,2010,CZ01,2,6689.0
2012,NUTS,2010,CZ01,2,7689.0
2013,NUTS,2010,CZ01,2,8198.0
2014,NUTS,2010,CZ01,2,8296.0
2015,NUTS,2010,CZ01,2,8571.0
2016,NUTS,2010,CZ01,2,8755.0
2017,NUTS,2010,CZ01,2,9899.0
2018,NUTS,2010,CZ01,2,10960.0
2019,NUTS,2010,CZ01,2,11686.0
2020,NUTS,2010,CZ01,2,12400.0
2011,NUTS,2010,CZ02,2,4360.0
2012,NUTS,2010,CZ02,2,4445.0
2013,NUTS,2010,CZ02,2,4501.0
2014,NUTS,2010,CZ02,2,4396.0
2015,NUTS,2010,CZ02,2,4513.0
2016,NUTS,2010,CZ02,2,4787.0
2017,NUTS,2010,CZ02,2,5114.0
2018,NUTS,2010,CZ02,2,5645.0
2019,NUTS,2010,CZ02,2,5871.0
2020,NUTS,2010,CZ02,2,6028.0
2011,NUTS,2010,CZ03,2,2339.0
2012,NUTS,2010,CZ03,2,2811.0
2013,NUTS,2010,CZ03,2,2616.0
2014,NUTS,2010,CZ03,2,2856.0
2015,NUTS,2010,CZ03,2,2996.0
2016,NUTS,2010,CZ03,2,3042.0
2017,NUTS,2010,CZ03,2,3083.0
2018,NUTS,2010,CZ03,2,3287.0
2019,NUTS,2010,CZ03,2,3914.0
2020,NUTS,2010,CZ03,2,3776.0
2011,NUTS,2010,CZ04,2,786.0
2012,NUTS,2010,CZ04,2,886.0
2013,NUTS,2010,CZ04,2,881.0
2014,NUTS,2010,CZ04,2,966.0
2015,NUTS,2010,CZ04,2,955.0
2016,NUTS,2010,CZ04,2,868.0
2017,NUTS,2010,CZ04,2,1003.0
2018,NUTS,2010,CZ04,2,999.0
2019,NUTS,2010,CZ04,2,1060.0
2020,NUTS,2010,CZ04,2,1049.0
2011,NUTS,2010,CZ05,2,4560.0
2012,NUTS,2010,CZ05,2,4832.0
2013,NUTS,2010,CZ05,2,5147.0
2014,NUTS,2010,CZ05,2,5032.0
2015,NUTS,2010,CZ05,2,4964.0
2016,NUTS,2010,CZ05,2,5044.0
2017,NUTS,2010,CZ05,2,5438.0
2018,NUTS,2010,CZ05,2,5615.0
2019,NUTS,2010,CZ05,2,5815.0
2020,NUTS,2010,CZ05,2,5522.0
2011,NUTS,2010,CZ06,2,5161.0
2012,NUTS,2010,CZ06,2,5726.0
2013,NUTS,2010,CZ06,2,6236.0
2014,NUTS,2010,CZ06,2,7644.0
2015,NUTS,2010,CZ06,2,8246.0
2016,NUTS,2010,CZ06,2,8356.0
2017,NUTS,2010,CZ06,2,8319.0
2018,NUTS,2010,CZ06,2,8452.0
2019,NUTS,2010,CZ06,2,9065.0
2020,NUTS,2010,CZ06,2,10141.0
2011,NUTS,2010,CZ07,2,2859.0
2012,NUTS,2010,CZ07,2,2969.0
2013,NUTS,2010,CZ07,2,3175.0
2014,NUTS,2010,CZ07,2,3203.0
2015,NUTS,2010,CZ07,2,3281.0
2016,NUTS,2010,CZ07,2,3543.0
2017,NUTS,2010,CZ07,2,3949.0
2018,NUTS,2010,CZ07,2,4130.0
2019,NUTS,2010,CZ07,2,4436.0
2020,NUTS,2010,CZ07,2,4335.0
2011,NUTS,2010,CZ08,2,2261.0
2012,NUTS,2010,CZ08,2,2346.0
2013,NUTS,2010,CZ08,2,2434.0
2014,NUTS,2010,CZ08,2,2863.0
2015,NUTS,2010,CZ08,2,2839.0
2016,NUTS,2010,CZ08,2,2869.0
2017,NUTS,2010,CZ08,2,3163.0
2018,NUTS,2010,CZ08,2,3263.0
2019,NUTS,2010,CZ08,2,2945.0
2020,NUTS,2010,CZ08,2,2982.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,357129.0
2012,NUTS,2010,DE,0,367478.0
2013,NUTS,2010,DE,0,360375.0
2014,NUTS,2010,DE,0,371706.0
2015,NUTS,2010,DE,0,404767.0
2016,NUTS,2010,DE,0,413027.0
2017,NUTS,2010,DE,0,436571.0
2018,NUTS,2010,DE,0,451057.0
2019,NUTS,2010,DE,0,475676.0
2020,NUTS,2010,DE,0,467444.0
2011,NUTS,2010,DE1,1,97548.0
2013,NUTS,2010,DE1,1,101811.0
2015,NUTS,2010,DE1,1,114018.0
2017,NUTS,2010,DE1,1,131871.0
2019,NUTS,2010,DE1,1,141679.0
2011,NUTS,2010,DE11,2,53709.0
2013,NUTS,2010,DE11,2,57530.0
2015,NUTS,2010,DE11,2,65702.0
2017,NUTS,2010,DE11,2,78148.0
2019,NUTS,2010,DE11,2,81910.0
2011,NUTS,2010,DE12,2,18572.0
2013,NUTS,2010,DE12,2,18292.0
2015,NUTS,2010,DE12,2,21047.0
2017,NUTS,2010,DE12,2,25229.0
2019,NUTS,2010,DE12,2,27472.0
2011,NUTS,2010,DE13,2,9526.0
2013,NUTS,2010,DE13,2,9327.0
2015,NUTS,2010,DE13,2,10088.0
2017,NUTS,2010,DE13,2,11020.0
2019,NUTS,2010,DE13,2,12404.0
2011,NUTS,2010,DE14,2,15740.0
2013,NUTS,2010,DE14,2,16661.0
2015,NUTS,2010,DE14,2,17181.0
2017,NUTS,2010,DE14,2,17475.0
2019,NUTS,2010,DE14,2,19894.0
2011,NUTS,2010,DE2,1,79043.0
2013,NUTS,2010,DE2,1,79531.0
2015,NUTS,2010,DE2,1,90752.0
2017,NUTS,2010,DE2,1,93961.0
2019,NUTS,2010,DE2,1,108051.0
2011,NUTS,2010,DE21,2,46693.0
2013,NUTS,2010,DE21,2,46795.0
2015,NUTS,2010,DE21,2,53444.0
2017,NUTS,2010,DE21,2,53004.0
2019,NUTS,2010,DE21,2,60591.0
2011,NUTS,2010,DE22,2,2712.0
2013,NUTS,2010,DE22,2,2824.0
2015,NUTS,2010,DE22,2,3313.0
2017,NUTS,2010,DE22,2,3646.0
2019,NUTS,2010,DE22,2,4661.0
2011,NUTS,2010,DE23,2,4146.0
2013,NUTS,2010,DE23,2,3583.0
2015,NUTS,2010,DE23,2,4327.0
2017,NUTS,2010,DE23,2,5518.0
2019,NUTS,2010,DE23,2,6652.0
2011,NUTS,2010,DE24,2,3258.0
2013,NUTS,2010,DE24,2,3287.0
2015,NUTS,2010,DE24,2,3531.0
2017,NUTS,2010,DE24,2,3939.0
2019,NUTS,2010,DE24,2,5986.0
2011,NUTS,2010,DE25,2,11030.0
2013,NUTS,2010,DE25,2,10896.0
2015,NUTS,2010,DE25,2,11437.0
2017,NUTS,2010,DE25,2,10998.0
2019,NUTS,2010,DE25,2,12819.0
2011,NUTS,2010,DE26,2,5718.0
2013,NUTS,2010,DE26,2,6072.0
2015,NUTS,2010,DE26,2,6362.0
2017,NUTS,2010,DE26,2,8579.0
2019,NUTS,2010,DE26,2,8984.0
2011,NUTS,2010,DE27,2,5486.0
2013,NUTS,2010,DE27,2,6073.0
2015,NUTS,2010,DE27,2,8338.0
2017,NUTS,2010,DE27,2,8277.0
2019,NUTS,2010,DE27,2,8358.0
2011,NUTS,2010,DE3,1,11340.0
2013,NUTS,2010,DE3,1,11408.0
2015,NUTS,2010,DE3,1,13332.0
2017,NUTS,2010,DE3,1,13252.0
2019,NUTS,2010,DE3,1,14258.0
2011,NUTS,2010,DE30,2,11340.0
2013,NUTS,2010,DE30,2,11408.0
2015,NUTS,2010,DE30,2,13332.0
2017,NUTS,2010,DE30,2,13252.0
2019,NUTS,2010,DE30,2,14258.0
2011,NUTS,2010,DE4,1,3229.0
2013,NUTS,2010,DE4,1,3091.0
2015,NUTS,2010,DE4,1,3667.0
2017,NUTS,2010,DE4,1,4379.0
2019,NUTS,2010,DE4,1,4685.0
2011,NUTS,2010,DE40,2,3229.0
2013,NUTS,2010,DE40,2,3091.0
2015,NUTS,2010,DE40,2,3667.0
2017,NUTS,2010,DE40,2,4379.0
2019,NUTS,2010,DE40,2,4685.0
2011,NUTS,2010,DE5,1,2082.0
2013,NUTS,2010,DE5,1,2208.0
2015,NUTS,2010,DE5,1,2520.0
2017,NUTS,2010,DE5,1,2539.0
2019,NUTS,2010,DE5,1,2970.0
2011,NUTS,2010,DE50,2,2082.0
2013,NUTS,2010,DE50,2,2208.0
2015,NUTS,2010,DE50,2,2520.0
2017,NUTS,2010,DE50,2,2539.0
2019,NUTS,2010,DE50,2,2970.0
2011,NUTS,2010,DE6,1,7130.0
2013,NUTS,2010,DE6,1,7409.0
2015,NUTS,2010,DE6,1,8312.0
2017,NUTS,2010,DE6,1,9895.0
2019,NUTS,2010,DE6,1,10075.0
2011,NUTS,2010,DE60,2,7130.0
2013,NUTS,2010,DE60,2,7409.0
2015,NUTS,2010,DE60,2,8312.0
2017,NUTS,2010,DE60,2,9895.0
2019,NUTS,2010,DE60,2,10075.0
2011,NUTS,2010,DE7,1,35774.0
2013,NUTS,2010,DE7,1,33954.0
2015,NUTS,2010,DE7,1,38890.0
2017,NUTS,2010,DE7,1,40201.0
2019,NUTS,2010,DE7,1,41815.0
2011,NUTS,2010,DE71,2,28279.0
2013,NUTS,2010,DE71,2,25514.0
2015,NUTS,2010,DE71,2,31183.0
2017,NUTS,2010,DE71,2,31783.0
2019,NUTS,2010,DE71,2,33478.0
2011,NUTS,2010,DE72,2,3085.0
2013,NUTS,2010,DE72,2,3491.0
2015,NUTS,2010,DE72,2,3556.0
2017,NUTS,2010,DE72,2,3865.0
2019,NUTS,2010,DE72,2,3958.0
2011,NUTS,2010,DE73,2,4409.0
2013,NUTS,2010,DE73,2,4950.0
2015,NUTS,2010,DE73,2,4151.0
2017,NUTS,2010,DE73,2,4553.0
2019,NUTS,2010,DE73,2,4380.0
2011,NUTS,2010,DE8,1,2189.0
2013,NUTS,2010,DE8,1,1495.0
2015,NUTS,2010,DE8,1,1677.0
2017,NUTS,2010,DE8,1,1809.0
2019,NUTS,2010,DE8,1,2006.0
2011,NUTS,2010,DE80,2,2189.0
2013,NUTS,2010,DE80,2,1495.0
2015,NUTS,2010,DE80,2,1677.0
2017,NUTS,2010,DE80,2,1809.0
2019,NUTS,2010,DE80,2,2006.0
2011,NUTS,2010,DE9,1,27269.0
2013,NUTS,2010,DE9,1,28769.0
2015,NUTS,2010,DE9,1,32254.0
2017,NUTS,2010,DE9,1,33222.0
2019,NUTS,2010,DE9,1,36382.0
2011,NUTS,2010,DE91,2,14677.0
2013,NUTS,2010,DE91,2,15762.0
2015,NUTS,2010,DE91,2,18008.0
2017,NUTS,2010,DE91,2,19019.0
2019,NUTS,2010,DE91,2,20350.0
2011,NUTS,2010,DE92,2,7515.0
2013,NUTS,2010,DE92,2,7490.0
2015,NUTS,2010,DE92,2,8168.0
2017,NUTS,2010,DE92,2,7460.0
2019,NUTS,2010,DE92,2,8133.0
2011,NUTS,2010,DE93,2,2304.0
2013,NUTS,2010,DE93,2,2406.0
2015,NUTS,2010,DE93,2,2398.0
2017,NUTS,2010,DE93,2,2721.0
2019,NUTS,2010,DE93,2,2976.0
2011,NUTS,2010,DE94,2,2772.0
2013,NUTS,2010,DE94,2,3112.0
2015,NUTS,2010,DE94,2,3679.0
2017,NUTS,2010,DE94,2,4023.0
2019,NUTS,2010,DE94,2,4923.0
2011,NUTS,2010,DEA,1,53453.0
2013,NUTS,2010,DEA,1,51952.0
2015,NUTS,2010,DEA,1,56694.0
2017,NUTS,2010,DEA,1,59719.0
2019,NUTS,2010,DEA,1,63571.0
2011,NUTS,2010,DEA1,2,16593.0
2013,NUTS,2010,DEA1,2,14754.0
2015,NUTS,2010,DEA1,2,16776.0
2017,NUTS,2010,DEA1,2,17615.0
2019,NUTS,2010,DEA1,2,18403.0
2011,NUTS,2010,DEA2,2,16006.0
2013,NUTS,2010,DEA2,2,13954.0
2015,NUTS,2010,DEA2,2,16166.0
2017,NUTS,2010,DEA2,2,17563.0
2019,NUTS,2010,DEA2,2,18643.0
2011,NUTS,2010,DEA3,2,3281.0
2013,NUTS,2010,DEA3,2,3639.0
2015,NUTS,2010,DEA3,2,3833.0
2017,NUTS,2010,DEA3,2,3930.0
2019,NUTS,2010,DEA3,2,4708.0
2011,NUTS,2010,DEA4,2,8589.0
2013,NUTS,2010,DEA4,2,9387.0
2015,NUTS,2010,DEA4,2,9552.0
2017,NUTS,2010,DEA4,2,9969.0
2019,NUTS,2010,DEA4,2,10423.0
2011,NUTS,2010,DEA5,2,8984.0
2013,NUTS,2010,DEA5,2,10217.0
2015,NUTS,2010,DEA5,2,10367.0
2017,NUTS,2010,DEA5,2,10642.0
2019,NUTS,2010,DEA5,2,11393.0
2011,NUTS,2010,DEB,1,12346.0
2013,NUTS,2010,DEB,1,13171.0
2015,NUTS,2010,DEB,1,15298.0
2017,NUTS,2010,DEB,1,14980.0
2019,NUTS,2010,DEB,1,17084.0
2011,NUTS,2010,DEB1,2,1973.0
2013,NUTS,2010,DEB1,2,2093.0
2015,NUTS,2010,DEB1,2,2007.0
2017,NUTS,2010,DEB1,2,2356.0
2019,NUTS,2010,DEB1,2,2939.0
2011,NUTS,2010,DEB2,2,782.0
2013,NUTS,2010,DEB2,2,722.0
2015,NUTS,2010,DEB2,2,726.0
2017,NUTS,2010,DEB2,2,711.0
2019,NUTS,2010,DEB2,2,713.0
2011,NUTS,2010,DEB3,2,9592.0
2013,NUTS,2010,DEB3,2,10356.0
2015,NUTS,2010,DEB3,2,12566.0
2017,NUTS,2010,DEB3,2,11913.0
2019,NUTS,2010,DEB3,2,13432.0
2011,NUTS,2010,DEC,1,1625.0
2013,NUTS,2010,DEC,1,1783.0
2015,NUTS,2010,DEC,1,1950.0
2017,NUTS,2010,DEC,1,2597.0
2019,NUTS,2010,DEC,1,2744.0
2011,NUTS,2010,DEC0,2,1625.0
2013,NUTS,2010,DEC0,2,1783.0
2015,NUTS,2010,DEC0,2,1950.0
2017,NUTS,2010,DEC0,2,2597.0
2019,NUTS,2010,DEC0,2,2744.0
2011,NUTS,2010,DED,1,11378.0
2013,NUTS,2010,DED,1,10701.0
2015,NUTS,2010,DED,1,12294.0
2017,NUTS,2010,DED,1,13421.0
2019,NUTS,2010,DED,1,14612.0
2011,NUTS,2010,DED2,2,6077.0
2013,NUTS,2010,DED2,2,5636.0
2015,NUTS,2010,DED2,2,6639.0
2017,NUTS,2010,DED2,2,7346.0
2019,NUTS,2010,DED2,2,8086.0
2011,NUTS,2010,DED4,2,3991.0
2013,NUTS,2010,DED4,2,3989.0
2015,NUTS,2010,DED4,2,4328.0
2017,NUTS,2010,DED4,2,4599.0
2019,NUTS,2010,DED4,2,5014.0
2011,NUTS,2010,DED5,2,1309.0
2013,NUTS,2010,DED5,2,1077.0
2015,NUTS,2010,DED5,2,1327.0
2017,NUTS,2010,DED5,2,1477.0
2019,NUTS,2010,DED5,2,1513.0
2011,NUTS,2010,DEE,1,2656.0
2013,NUTS,2010,DEE,1,2671.0
2015,NUTS,2010,DEE,1,2378.0
2017,NUTS,2010,DEE,1,2549.0
2019,NUTS,2010,DEE,1,2748.0
