year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_hc_hes_total
2009,NUTS,2010,AT22,2,8347.0
2011,NUTS,2010,AT22,2,8990.0
2013,NUTS,2010,AT22,2,9114.0
2015,NUTS,2010,AT22,2,10236.0
2017,NUTS,2010,AT22,2,10193.0
2019,NUTS,2010,AT22,2,11227.0
2002,NUTS,2010,AT3,1,5688.0
2004,NUTS,2010,AT3,1,7005.0
2011,NUTS,2010,AT3,1,10432.0
2013,NUTS,2010,AT3,1,10922.0
2019,NUTS,2010,AT3,1,13140.0
2002,NUTS,2010,AT31,2,1474.0
2004,NUTS,2010,AT31,2,1730.0
2006,NUTS,2010,AT31,2,2096.0
2007,NUTS,2010,AT31,2,2049.0
2009,NUTS,2010,AT31,2,2380.0
2011,NUTS,2010,AT31,2,2884.0
2013,NUTS,2010,AT31,2,2915.0
2015,NUTS,2010,AT31,2,3204.0
2017,NUTS,2010,AT31,2,3227.0
2019,NUTS,2010,AT31,2,3532.0
2006,NUTS,2010,AT32,2,1576.0
2007,NUTS,2010,AT32,2,1656.0
2009,NUTS,2010,AT32,2,1927.0
2011,NUTS,2010,AT32,2,2176.0
2013,NUTS,2010,AT32,2,2360.0
2015,NUTS,2010,AT32,2,2705.0
2017,NUTS,2010,AT32,2,2836.0
2019,NUTS,2010,AT32,2,2986.0
2002,NUTS,2010,AT33,2,3096.0
2004,NUTS,2010,AT33,2,3800.0
2006,NUTS,2010,AT33,2,4368.0
2007,NUTS,2010,AT33,2,4801.0
2009,NUTS,2010,AT33,2,4892.0
2011,NUTS,2010,AT33,2,5297.0
2013,NUTS,2010,AT33,2,5553.0
2015,NUTS,2010,AT33,2,5640.0
2017,NUTS,2010,AT33,2,5923.0
2019,NUTS,2010,AT33,2,6463.0
2011,NUTS,2010,AT34,2,75.0
2013,NUTS,2010,AT34,2,94.0
2019,NUTS,2010,AT34,2,159.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,874.0
2013,NUTS,2010,BA,0,1388.0
2014,NUTS,2010,BA,0,2596.0
2019,NUTS,2010,BA,0,2271.0
1981,NUTS,2010,BE,0,18124.0
1982,NUTS,2010,BE,0,18464.0
1983,NUTS,2010,BE,0,18402.0
1984,NUTS,2010,BE,0,18342.0
1985,NUTS,2010,BE,0,18496.0
1986,NUTS,2010,BE,0,18588.0
1987,NUTS,2010,BE,0,18454.0
1988,NUTS,2010,BE,0,18714.0
1989,NUTS,2010,BE,0,24355.0
1991,NUTS,2010,BE,0,24791.0
1993,NUTS,2010,BE,0,20915.0
1994,NUTS,2010,BE,0,21673.0
1995,NUTS,2010,BE,0,21851.0
1996,NUTS,2010,BE,0,21410.0
1997,NUTS,2010,BE,0,22489.0
1998,NUTS,2010,BE,0,24456.0
1999,NUTS,2010,BE,0,26585.0
2000,NUTS,2010,BE,0,26606.0
2002,NUTS,2010,BE,0,31205.0
2003,NUTS,2010,BE,0,31284.0
2004,NUTS,2010,BE,0,34596.0
2005,NUTS,2010,BE,0,35515.0
2006,NUTS,2010,BE,0,36974.0
2007,NUTS,2010,BE,0,38258.0
2008,NUTS,2010,BE,0,39766.0
2009,NUTS,2010,BE,0,41035.0
2010,NUTS,2010,BE,0,41482.0
2011,NUTS,2010,BE,0,42341.0
2012,NUTS,2010,BE,0,42356.0
2013,NUTS,2010,BE,0,42981.0
2014,NUTS,2010,BE,0,46804.0
2015,NUTS,2010,BE,0,44858.0
2016,NUTS,2010,BE,0,45867.0
2017,NUTS,2010,BE,0,46389.0
2018,NUTS,2010,BE,0,50190.0
2019,NUTS,2010,BE,0,50161.0
2002,NUTS,2010,BE1,1,8064.0
2003,NUTS,2010,BE1,1,7964.0
2004,NUTS,2010,BE1,1,8224.0
2005,NUTS,2010,BE1,1,8328.0
2006,NUTS,2010,BE1,1,8502.0
2007,NUTS,2010,BE1,1,8782.0
2008,NUTS,2010,BE1,1,9080.0
2009,NUTS,2010,BE1,1,9259.0
2010,NUTS,2010,BE1,1,8808.0
2011,NUTS,2010,BE1,1,8966.0
2012,NUTS,2010,BE1,1,8862.0
2013,NUTS,2010,BE1,1,8915.0
2014,NUTS,2010,BE1,1,9937.0
2015,NUTS,2010,BE1,1,8813.0
2016,NUTS,2010,BE1,1,8991.0
2017,NUTS,2010,BE1,1,8764.0
2018,NUTS,2010,BE1,1,10410.0
2019,NUTS,2010,BE1,1,9877.0
2002,NUTS,2010,BE10,2,8064.0
2003,NUTS,2010,BE10,2,7964.0
2004,NUTS,2010,BE10,2,8224.0
2005,NUTS,2010,BE10,2,8328.0
2006,NUTS,2010,BE10,2,8502.0
2007,NUTS,2010,BE10,2,8782.0
2008,NUTS,2010,BE10,2,9080.0
2009,NUTS,2010,BE10,2,9259.0
2010,NUTS,2010,BE10,2,8808.0
2011,NUTS,2010,BE10,2,8966.0
2012,NUTS,2010,BE10,2,8862.0
2013,NUTS,2010,BE10,2,8915.0
2014,NUTS,2010,BE10,2,9937.0
2015,NUTS,2010,BE10,2,8813.0
2016,NUTS,2010,BE10,2,8991.0
2017,NUTS,2010,BE10,2,8764.0
2018,NUTS,2010,BE10,2,10410.0
2019,NUTS,2010,BE10,2,9877.0
2002,NUTS,2010,BE2,1,14465.0
2003,NUTS,2010,BE2,1,14844.0
2004,NUTS,2010,BE2,1,18335.0
2005,NUTS,2010,BE2,1,18881.0
2006,NUTS,2010,BE2,1,19336.0
2007,NUTS,2010,BE2,1,20063.0
2008,NUTS,2010,BE2,1,21019.0
2009,NUTS,2010,BE2,1,21800.0
2010,NUTS,2010,BE2,1,23021.0
2011,NUTS,2010,BE2,1,23632.0
2012,NUTS,2010,BE2,1,23843.0
2013,NUTS,2010,BE2,1,24480.0
2014,NUTS,2010,BE2,1,26394.0
2015,NUTS,2010,BE2,1,26710.0
2016,NUTS,2010,BE2,1,26547.0
2017,NUTS,2010,BE2,1,26662.0
2018,NUTS,2010,BE2,1,27990.0
2019,NUTS,2010,BE2,1,28560.0
2002,NUTS,2010,BE3,1,8675.0
2003,NUTS,2010,BE3,1,8476.0
2004,NUTS,2010,BE3,1,8037.0
2005,NUTS,2010,BE3,1,8306.0
2006,NUTS,2010,BE3,1,9136.0
2007,NUTS,2010,BE3,1,9413.0
2008,NUTS,2010,BE3,1,9667.0
2009,NUTS,2010,BE3,1,9976.0
2010,NUTS,2010,BE3,1,9653.0
2011,NUTS,2010,BE3,1,9743.0
2012,NUTS,2010,BE3,1,9651.0
2013,NUTS,2010,BE3,1,9586.0
2014,NUTS,2010,BE3,1,10473.0
2015,NUTS,2010,BE3,1,9335.0
2016,NUTS,2010,BE3,1,10329.0
2017,NUTS,2010,BE3,1,10963.0
2018,NUTS,2010,BE3,1,11790.0
2019,NUTS,2010,BE3,1,11724.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1980,NUTS,2010,BG,0,10882.0
1981,NUTS,2010,BG,0,10767.0
1982,NUTS,2010,BG,0,10520.0
1983,NUTS,2010,BG,0,11334.0
1984,NUTS,2010,BG,0,11821.0
1985,NUTS,2010,BG,0,12417.0
1986,NUTS,2010,BG,0,12899.0
1987,NUTS,2010,BG,0,13389.0
1988,NUTS,2010,BG,0,14022.0
1989,NUTS,2010,BG,0,14322.0
1990,NUTS,2010,BG,0,17160.0
1991,NUTS,2010,BG,0,18721.0
1992,NUTS,2010,BG,0,21926.0
1993,NUTS,2010,BG,0,23265.0
1994,NUTS,2010,BG,0,11579.0
1995,NUTS,2010,BG,0,11214.0
1996,NUTS,2010,BG,0,10800.0
1997,NUTS,2010,BG,0,4821.0
1998,NUTS,2010,BG,0,4449.0
1999,NUTS,2010,BG,0,4020.0
2000,NUTS,2010,BG,0,3166.0
2001,NUTS,2010,BG,0,3616.0
2002,NUTS,2010,BG,0,3913.0
2003,NUTS,2010,BG,0,3920.0
2004,NUTS,2010,BG,0,4338.0
2005,NUTS,2010,BG,0,5030.0
2006,NUTS,2010,BG,0,4976.0
2007,NUTS,2010,BG,0,5956.0
2008,NUTS,2010,BG,0,6415.0
2009,NUTS,2010,BG,0,8031.0
2010,NUTS,2010,BG,0,7710.0
2011,NUTS,2010,BG,0,8258.0
2012,NUTS,2010,BG,0,8368.0
2013,NUTS,2010,BG,0,8279.0
2014,NUTS,2010,BG,0,9795.0
2015,NUTS,2010,BG,0,9325.0
2016,NUTS,2010,BG,0,10025.0
2017,NUTS,2010,BG,0,9287.0
2018,NUTS,2010,BG,0,9765.0
2019,NUTS,2010,BG,0,9376.0
2003,NUTS,2010,BG3,1,1732.0
2004,NUTS,2010,BG3,1,1913.0
2005,NUTS,2010,BG3,1,2529.0
2006,NUTS,2010,BG3,1,2387.0
2007,NUTS,2010,BG3,1,2698.0
2009,NUTS,2010,BG3,1,3280.0
2011,NUTS,2010,BG3,1,3145.0
2012,NUTS,2010,BG3,1,3442.0
2013,NUTS,2010,BG3,1,3485.0
2014,NUTS,2010,BG3,1,4417.0
2015,NUTS,2010,BG3,1,4366.0
2016,NUTS,2010,BG3,1,3900.0
2017,NUTS,2010,BG3,1,4068.0
2018,NUTS,2010,BG3,1,4233.0
2019,NUTS,2010,BG3,1,4166.0
2002,NUTS,2010,BG32,2,468.0
2003,NUTS,2010,BG32,2,382.0
2004,NUTS,2010,BG32,2,463.0
2005,NUTS,2010,BG32,2,1046.0
2008,NUTS,2010,BG32,2,1056.0
2009,NUTS,2010,BG32,2,1056.0
2010,NUTS,2010,BG32,2,989.0
2011,NUTS,2010,BG32,2,1141.0
2012,NUTS,2010,BG32,2,1107.0
2013,NUTS,2010,BG32,2,1058.0
2014,NUTS,2010,BG32,2,1393.0
2015,NUTS,2010,BG32,2,1402.0
2016,NUTS,2010,BG32,2,1066.0
2017,NUTS,2010,BG32,2,1104.0
2018,NUTS,2010,BG32,2,1126.0
2019,NUTS,2010,BG32,2,978.0
2006,NUTS,2010,BG33,2,748.0
2007,NUTS,2010,BG33,2,861.0
2008,NUTS,2010,BG33,2,811.0
2009,NUTS,2010,BG33,2,1171.0
2010,NUTS,2010,BG33,2,1254.0
2012,NUTS,2010,BG33,2,1289.0
2013,NUTS,2010,BG33,2,1397.0
2014,NUTS,2010,BG33,2,1939.0
2015,NUTS,2010,BG33,2,1937.0
2002,NUTS,2010,BG34,2,475.0
2003,NUTS,2010,BG34,2,556.0
2004,NUTS,2010,BG34,2,547.0
2005,NUTS,2010,BG34,2,677.0
2006,NUTS,2010,BG34,2,641.0
2007,NUTS,2010,BG34,2,787.0
2010,NUTS,2010,BG34,2,765.0
2011,NUTS,2010,BG34,2,796.0
2016,NUTS,2010,BG34,2,890.0
2017,NUTS,2010,BG34,2,813.0
2003,NUTS,2010,BG4,1,2188.0
2004,NUTS,2010,BG4,1,2425.0
2005,NUTS,2010,BG4,1,2501.0
2006,NUTS,2010,BG4,1,2589.0
2007,NUTS,2010,BG4,1,3258.0
2009,NUTS,2010,BG4,1,4751.0
2011,NUTS,2010,BG4,1,5113.0
2012,NUTS,2010,BG4,1,4926.0
2013,NUTS,2010,BG4,1,4794.0
2014,NUTS,2010,BG4,1,5378.0
2015,NUTS,2010,BG4,1,4959.0
2016,NUTS,2010,BG4,1,6125.0
2017,NUTS,2010,BG4,1,5219.0
2018,NUTS,2010,BG4,1,5532.0
2019,NUTS,2010,BG4,1,5210.0
1999,NUTS,2010,BG41,2,1748.0
2000,NUTS,2010,BG41,2,1804.0
2002,NUTS,2010,BG41,2,1878.0
2003,NUTS,2010,BG41,2,1637.0
2004,NUTS,2010,BG41,2,1848.0
2005,NUTS,2010,BG41,2,1966.0
2008,NUTS,2010,BG41,2,2807.0
2009,NUTS,2010,BG41,2,3877.0
2010,NUTS,2010,BG41,2,3727.0
2012,NUTS,2010,BG41,2,3959.0
2013,NUTS,2010,BG41,2,3755.0
2014,NUTS,2010,BG41,2,4135.0
2015,NUTS,2010,BG41,2,3822.0
2016,NUTS,2010,BG41,2,5066.0
2017,NUTS,2010,BG41,2,3999.0
2018,NUTS,2010,BG41,2,4201.0
2019,NUTS,2010,BG41,2,3469.0
2003,NUTS,2010,BG42,2,551.0
2004,NUTS,2010,BG42,2,577.0
2005,NUTS,2010,BG42,2,535.0
2009,NUTS,2010,BG42,2,874.0
2012,NUTS,2010,BG42,2,967.0
2013,NUTS,2010,BG42,2,1039.0
2014,NUTS,2010,BG42,2,1243.0
2015,NUTS,2010,BG42,2,1137.0
2016,NUTS,2010,BG42,2,1059.0
2017,NUTS,2010,BG42,2,1220.0
2018,NUTS,2010,BG42,2,1331.0
2019,NUTS,2010,BG42,2,1741.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1996,NUTS,2010,CH,0,37700.0
1998,NUTS,2010,CH,0,23271.0
2000,NUTS,2010,CH,0,43195.0
2002,NUTS,2010,CH,0,41955.0
2004,NUTS,2010,CH,0,44675.0
2006,NUTS,2010,CH,0,47465.0
2008,NUTS,2010,CH,0,52965.0
2010,NUTS,2010,CH,0,60141.0
2012,NUTS,2010,CH,0,64182.0
2015,NUTS,2010,CH,0,65456.0
2017,NUTS,2010,CH,0,67981.0
2019,NUTS,2010,CH,0,71860.0
2009,NUTS,2010,CN_X_HK,5,509366.0
2010,NUTS,2010,CN_X_HK,5,593569.0
2011,NUTS,2010,CN_X_HK,5,631772.0
2012,NUTS,2010,CN_X_HK,5,677787.0
2013,NUTS,2010,CN_X_HK,5,715430.0
2014,NUTS,2010,CN_X_HK,5,762794.0
2015,NUTS,2010,CN_X_HK,5,838786.0
2016,NUTS,2010,CN_X_HK,5,851764.0
2017,NUTS,2010,CN_X_HK,5,913590.0
2018,NUTS,2010,CN_X_HK,5,984292.0
2019,NUTS,2010,CN_X_HK,5,1233180.0
1998,NUTS,2010,CY,0,300.0
1999,NUTS,2010,CY,0,321.0
2000,NUTS,2010,CY,0,378.0
2001,NUTS,2010,CY,0,405.0
2002,NUTS,2010,CY,0,494.0
2003,NUTS,2010,CY,0,601.0
2004,NUTS,2010,CY,0,757.0
2005,NUTS,2010,CY,0,885.0
2006,NUTS,2010,CY,0,918.0
2007,NUTS,2010,CY,0,972.0
2008,NUTS,2010,CY,0,966.0
2009,NUTS,2010,CY,0,1118.0
2010,NUTS,2010,CY,0,1232.0
2011,NUTS,2010,CY,0,1436.0
2012,NUTS,2010,CY,0,1449.0
2013,NUTS,2010,CY,0,1764.0
2014,NUTS,2010,CY,0,1702.0
2015,NUTS,2010,CY,0,1685.0
2016,NUTS,2010,CY,0,1674.0
2017,NUTS,2010,CY,0,1751.0
2018,NUTS,2010,CY,0,1870.0
2019,NUTS,2010,CY,0,2030.0
1995,NUTS,2010,CZ,0,13284.0
1996,NUTS,2010,CZ,0,13459.0
1997,NUTS,2010,CZ,0,15436.0
1998,NUTS,2010,CZ,0,15996.0
1999,NUTS,2010,CZ,0,16564.0
2000,NUTS,2010,CZ,0,17333.0
2001,NUTS,2010,CZ,0,17361.0
2002,NUTS,2010,CZ,0,17577.0
2003,NUTS,2010,CZ,0,17877.0
2004,NUTS,2010,CZ,0,19725.0
2005,NUTS,2010,CZ,0,24596.0
2006,NUTS,2010,CZ,0,25255.0
2007,NUTS,2010,CZ,0,26735.0
2008,NUTS,2010,CZ,0,26993.0
2009,NUTS,2010,CZ,0,27694.0
2010,NUTS,2010,CZ,0,27844.0
2011,NUTS,2010,CZ,0,29149.0
2012,NUTS,2010,CZ,0,30301.0
2013,NUTS,2010,CZ,0,32173.0
2014,NUTS,2010,CZ,0,32680.0
2015,NUTS,2010,CZ,0,33891.0
2016,NUTS,2010,CZ,0,31915.0
2017,NUTS,2010,CZ,0,34234.0
2018,NUTS,2010,CZ,0,36177.0
2019,NUTS,2010,CZ,0,37442.0
2020,NUTS,2010,CZ,0,37871.0
1995,NUTS,2010,CZ0,1,13284.0
1996,NUTS,2010,CZ0,1,13459.0
1997,NUTS,2010,CZ0,1,15436.0
1998,NUTS,2010,CZ0,1,15996.0
1999,NUTS,2010,CZ0,1,16564.0
2000,NUTS,2010,CZ0,1,17333.0
2001,NUTS,2010,CZ0,1,17361.0
2002,NUTS,2010,CZ0,1,17577.0
2003,NUTS,2010,CZ0,1,17877.0
2004,NUTS,2010,CZ0,1,19725.0
2005,NUTS,2010,CZ0,1,24596.0
2006,NUTS,2010,CZ0,1,25255.0
2007,NUTS,2010,CZ0,1,26735.0
2008,NUTS,2010,CZ0,1,26993.0
2009,NUTS,2010,CZ0,1,27694.0
2010,NUTS,2010,CZ0,1,27844.0
2011,NUTS,2010,CZ0,1,29149.0
2012,NUTS,2010,CZ0,1,30301.0
2013,NUTS,2010,CZ0,1,32173.0
2014,NUTS,2010,CZ0,1,32680.0
2015,NUTS,2010,CZ0,1,33891.0
2016,NUTS,2010,CZ0,1,31915.0
2017,NUTS,2010,CZ0,1,34234.0
2018,NUTS,2010,CZ0,1,36177.0
2019,NUTS,2010,CZ0,1,37442.0
2020,NUTS,2010,CZ0,1,37871.0
2001,NUTS,2010,CZ01,2,6838.0
2002,NUTS,2010,CZ01,2,6957.0
2003,NUTS,2010,CZ01,2,7020.0
2004,NUTS,2010,CZ01,2,7819.0
2005,NUTS,2010,CZ01,2,9553.0
2006,NUTS,2010,CZ01,2,9954.0
2007,NUTS,2010,CZ01,2,10755.0
2008,NUTS,2010,CZ01,2,10930.0
2009,NUTS,2010,CZ01,2,11329.0
2010,NUTS,2010,CZ01,2,10739.0
2011,NUTS,2010,CZ01,2,11239.0
2012,NUTS,2010,CZ01,2,10468.0
2013,NUTS,2010,CZ01,2,11697.0
2014,NUTS,2010,CZ01,2,11886.0
2015,NUTS,2010,CZ01,2,11512.0
2016,NUTS,2010,CZ01,2,10575.0
2017,NUTS,2010,CZ01,2,12160.0
2018,NUTS,2010,CZ01,2,12849.0
2019,NUTS,2010,CZ01,2,13196.0
2020,NUTS,2010,CZ01,2,13196.0
2001,NUTS,2010,CZ02,2,0.0
2002,NUTS,2010,CZ02,2,0.0
2003,NUTS,2010,CZ02,2,0.0
2004,NUTS,2010,CZ02,2,1.0
2005,NUTS,2010,CZ02,2,26.0
2006,NUTS,2010,CZ02,2,68.0
2007,NUTS,2010,CZ02,2,67.0
2008,NUTS,2010,CZ02,2,101.0
2009,NUTS,2010,CZ02,2,113.0
2010,NUTS,2010,CZ02,2,139.0
2011,NUTS,2010,CZ02,2,169.0
2012,NUTS,2010,CZ02,2,190.0
2013,NUTS,2010,CZ02,2,286.0
2014,NUTS,2010,CZ02,2,393.0
2015,NUTS,2010,CZ02,2,405.0
2016,NUTS,2010,CZ02,2,338.0
2017,NUTS,2010,CZ02,2,347.0
2018,NUTS,2010,CZ02,2,364.0
2019,NUTS,2010,CZ02,2,387.0
2020,NUTS,2010,CZ02,2,393.0
2001,NUTS,2010,CZ03,2,1707.0
2002,NUTS,2010,CZ03,2,1992.0
2003,NUTS,2010,CZ03,2,1654.0
2004,NUTS,2010,CZ03,2,1770.0
2005,NUTS,2010,CZ03,2,2213.0
2006,NUTS,2010,CZ03,2,2274.0
2007,NUTS,2010,CZ03,2,2205.0
2008,NUTS,2010,CZ03,2,2110.0
2009,NUTS,2010,CZ03,2,2073.0
2010,NUTS,2010,CZ03,2,2660.0
2011,NUTS,2010,CZ03,2,3061.0
2012,NUTS,2010,CZ03,2,3012.0
2013,NUTS,2010,CZ03,2,3243.0
2014,NUTS,2010,CZ03,2,3405.0
2015,NUTS,2010,CZ03,2,3317.0
2016,NUTS,2010,CZ03,2,3338.0
2017,NUTS,2010,CZ03,2,3494.0
2018,NUTS,2010,CZ03,2,3652.0
2019,NUTS,2010,CZ03,2,3646.0
2020,NUTS,2010,CZ03,2,3546.0
2001,NUTS,2010,CZ04,2,317.0
2002,NUTS,2010,CZ04,2,286.0
2003,NUTS,2010,CZ04,2,255.0
2004,NUTS,2010,CZ04,2,430.0
2005,NUTS,2010,CZ04,2,198.0
2006,NUTS,2010,CZ04,2,313.0
2007,NUTS,2010,CZ04,2,393.0
2008,NUTS,2010,CZ04,2,410.0
2009,NUTS,2010,CZ04,2,398.0
2010,NUTS,2010,CZ04,2,399.0
2011,NUTS,2010,CZ04,2,364.0
2012,NUTS,2010,CZ04,2,354.0
2013,NUTS,2010,CZ04,2,516.0
2014,NUTS,2010,CZ04,2,532.0
2015,NUTS,2010,CZ04,2,535.0
2016,NUTS,2010,CZ04,2,528.0
2017,NUTS,2010,CZ04,2,548.0
2018,NUTS,2010,CZ04,2,612.0
2019,NUTS,2010,CZ04,2,524.0
2020,NUTS,2010,CZ04,2,640.0
2001,NUTS,2010,CZ05,2,1535.0
2002,NUTS,2010,CZ05,2,1533.0
2003,NUTS,2010,CZ05,2,1650.0
2004,NUTS,2010,CZ05,2,1669.0
2005,NUTS,2010,CZ05,2,2139.0
2006,NUTS,2010,CZ05,2,2315.0
2007,NUTS,2010,CZ05,2,2390.0
2008,NUTS,2010,CZ05,2,2275.0
2009,NUTS,2010,CZ05,2,2270.0
2010,NUTS,2010,CZ05,2,2317.0
2011,NUTS,2010,CZ05,2,2535.0
2012,NUTS,2010,CZ05,2,2375.0
2013,NUTS,2010,CZ05,2,2692.0
2014,NUTS,2010,CZ05,2,2646.0
2015,NUTS,2010,CZ05,2,2697.0
2016,NUTS,2010,CZ05,2,2669.0
2017,NUTS,2010,CZ05,2,2849.0
2018,NUTS,2010,CZ05,2,2960.0
2019,NUTS,2010,CZ05,2,3224.0
2020,NUTS,2010,CZ05,2,3261.0
2001,NUTS,2010,CZ06,2,4196.0
2002,NUTS,2010,CZ06,2,4043.0
2003,NUTS,2010,CZ06,2,4240.0
2004,NUTS,2010,CZ06,2,4586.0
2005,NUTS,2010,CZ06,2,6552.0
2006,NUTS,2010,CZ06,2,5927.0
2007,NUTS,2010,CZ06,2,6258.0
2008,NUTS,2010,CZ06,2,6537.0
2009,NUTS,2010,CZ06,2,6960.0
2010,NUTS,2010,CZ06,2,6784.0
2011,NUTS,2010,CZ06,2,6787.0
2012,NUTS,2010,CZ06,2,8122.0
2013,NUTS,2010,CZ06,2,8065.0
2014,NUTS,2010,CZ06,2,7828.0
2015,NUTS,2010,CZ06,2,9159.0
2016,NUTS,2010,CZ06,2,8111.0
2017,NUTS,2010,CZ06,2,8858.0
2018,NUTS,2010,CZ06,2,9293.0
2019,NUTS,2010,CZ06,2,9829.0
2020,NUTS,2010,CZ06,2,10156.0
2001,NUTS,2010,CZ07,2,1048.0
2002,NUTS,2010,CZ07,2,1061.0
2003,NUTS,2010,CZ07,2,1285.0
2004,NUTS,2010,CZ07,2,1622.0
2005,NUTS,2010,CZ07,2,1941.0
2006,NUTS,2010,CZ07,2,2040.0
2007,NUTS,2010,CZ07,2,1667.0
2008,NUTS,2010,CZ07,2,1741.0
2009,NUTS,2010,CZ07,2,1939.0
2010,NUTS,2010,CZ07,2,2172.0
2011,NUTS,2010,CZ07,2,2136.0
2012,NUTS,2010,CZ07,2,2608.0
2013,NUTS,2010,CZ07,2,2989.0
2014,NUTS,2010,CZ07,2,2970.0
2015,NUTS,2010,CZ07,2,3235.0
2016,NUTS,2010,CZ07,2,3261.0
2017,NUTS,2010,CZ07,2,2907.0
2018,NUTS,2010,CZ07,2,2995.0
2019,NUTS,2010,CZ07,2,3317.0
