year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_mge_p_mhab
2012,NUTS,2010,AT13,2,9.359
2000,NUTS,2010,AT130,3,16.144
2001,NUTS,2010,AT130,3,24.016
2002,NUTS,2010,AT130,3,8.249
2003,NUTS,2010,AT130,3,14.904
2004,NUTS,2010,AT130,3,12.885
2005,NUTS,2010,AT130,3,15.387
2006,NUTS,2010,AT130,3,13.398
2007,NUTS,2010,AT130,3,21.117
2008,NUTS,2010,AT130,3,11.548
2009,NUTS,2010,AT130,3,12.624
2010,NUTS,2010,AT130,3,13.681
2011,NUTS,2010,AT130,3,13.971
2012,NUTS,2010,AT130,3,9.359
2000,NUTS,2010,AT2,1,2.483
2001,NUTS,2010,AT2,1,1.36
2002,NUTS,2010,AT2,1,3.021
2003,NUTS,2010,AT2,1,2.717
2004,NUTS,2010,AT2,1,3.045
2005,NUTS,2010,AT2,1,3.531
2006,NUTS,2010,AT2,1,4.102
2007,NUTS,2010,AT2,1,1.283
2008,NUTS,2010,AT2,1,3.902
2009,NUTS,2010,AT2,1,4.007
2010,NUTS,2010,AT2,1,0.976
2011,NUTS,2010,AT2,1,6.454
2012,NUTS,2010,AT2,1,2.884
2001,NUTS,2010,AT21,2,0.447
2002,NUTS,2010,AT21,2,1.036
2003,NUTS,2010,AT21,2,0.304
2004,NUTS,2010,AT21,2,0.591
2005,NUTS,2010,AT21,2,0.895
2006,NUTS,2010,AT21,2,1.484
2007,NUTS,2010,AT21,2,0.393
2009,NUTS,2010,AT21,2,0.447
2011,NUTS,2010,AT21,2,1.114
2012,NUTS,2010,AT21,2,0.809
2001,NUTS,2010,AT211,3,0.93
2002,NUTS,2010,AT211,3,1.224
2004,NUTS,2010,AT211,3,1.223
2005,NUTS,2010,AT211,3,1.844
2006,NUTS,2010,AT211,3,3.047
2007,NUTS,2010,AT211,3,0.805
2009,NUTS,2010,AT211,3,0.908
2011,NUTS,2010,AT211,3,1.449
2012,NUTS,2010,AT211,3,1.625
2002,NUTS,2010,AT212,3,1.899
2003,NUTS,2010,AT212,3,1.296
2011,NUTS,2010,AT213,3,1.437
2000,NUTS,2010,AT22,2,3.66
2001,NUTS,2010,AT22,2,1.793
2002,NUTS,2010,AT22,2,3.956
2003,NUTS,2010,AT22,2,3.851
2004,NUTS,2010,AT22,2,4.194
2005,NUTS,2010,AT22,2,4.763
2006,NUTS,2010,AT22,2,5.313
2007,NUTS,2010,AT22,2,1.688
2008,NUTS,2010,AT22,2,5.716
2009,NUTS,2010,AT22,2,5.661
2010,NUTS,2010,AT22,2,1.427
2011,NUTS,2010,AT22,2,8.918
2012,NUTS,2010,AT22,2,3.839
2001,NUTS,2010,AT221,3,5.389
2002,NUTS,2010,AT221,3,10.749
2003,NUTS,2010,AT221,3,10.914
2004,NUTS,2010,AT221,3,10.752
2005,NUTS,2010,AT221,3,11.074
2006,NUTS,2010,AT221,3,15.377
2007,NUTS,2010,AT221,3,4.399
2008,NUTS,2010,AT221,3,15.969
2009,NUTS,2010,AT221,3,15.194
2010,NUTS,2010,AT221,3,3.98
2011,NUTS,2010,AT221,3,25.272
2012,NUTS,2010,AT221,3,10.95
2004,NUTS,2010,AT222,3,12.317
2011,NUTS,2010,AT222,3,2.763
2003,NUTS,2010,AT223,3,1.152
2007,NUTS,2010,AT223,3,0.999
2008,NUTS,2010,AT223,3,0.829
2001,NUTS,2010,AT224,3,0.747
2002,NUTS,2010,AT224,3,1.232
2003,NUTS,2010,AT224,3,0.747
2005,NUTS,2010,AT224,3,4.362
2006,NUTS,2010,AT224,3,1.863
2008,NUTS,2010,AT224,3,1.231
2011,NUTS,2010,AT224,3,1.499
2012,NUTS,2010,AT224,3,0.75
2005,NUTS,2010,AT225,3,1.835
2007,NUTS,2010,AT225,3,0.892
2009,NUTS,2010,AT225,3,1.732
2010,NUTS,2010,AT225,3,0.736
2002,NUTS,2010,AT226,3,4.137
2003,NUTS,2010,AT226,3,1.574
2008,NUTS,2010,AT226,3,1.613
2009,NUTS,2010,AT226,3,4.773
2000,NUTS,2010,AT3,1,2.008
2001,NUTS,2010,AT3,1,4.691
2002,NUTS,2010,AT3,1,2.853
2003,NUTS,2010,AT3,1,4.482
2004,NUTS,2010,AT3,1,2.395
2005,NUTS,2010,AT3,1,2.623
2006,NUTS,2010,AT3,1,1.425
2007,NUTS,2010,AT3,1,5.924
2008,NUTS,2010,AT3,1,2.152
2009,NUTS,2010,AT3,1,2.213
2010,NUTS,2010,AT3,1,4.403
2011,NUTS,2010,AT3,1,5.151
2012,NUTS,2010,AT3,1,3.711
2000,NUTS,2010,AT31,2,0.876
2001,NUTS,2010,AT31,2,4.894
2002,NUTS,2010,AT31,2,1.938
2003,NUTS,2010,AT31,2,2.712
2004,NUTS,2010,AT31,2,2.537
2005,NUTS,2010,AT31,2,0.265
2006,NUTS,2010,AT31,2,1.428
2007,NUTS,2010,AT31,2,2.436
2009,NUTS,2010,AT31,2,0.71
2010,NUTS,2010,AT31,2,4.91
2011,NUTS,2010,AT31,2,1.56
2012,NUTS,2010,AT31,2,0.983
2010,NUTS,2010,AT311,3,2.436
2001,NUTS,2010,AT312,3,11.985
2002,NUTS,2010,AT312,3,3.125
2003,NUTS,2010,AT312,3,4.728
2004,NUTS,2010,AT312,3,2.236
2005,NUTS,2010,AT312,3,0.69
2006,NUTS,2010,AT312,3,0.926
2007,NUTS,2010,AT312,3,2.377
2010,NUTS,2010,AT312,3,6.533
2011,NUTS,2010,AT312,3,4.005
2012,NUTS,2010,AT312,3,1.358
2001,NUTS,2010,AT313,3,1.243
2002,NUTS,2010,AT313,3,3.314
2003,NUTS,2010,AT313,3,6.176
2006,NUTS,2010,AT313,3,1.227
2007,NUTS,2010,AT313,3,3.089
2010,NUTS,2010,AT313,3,4.9
2012,NUTS,2010,AT313,3,2.449
2010,NUTS,2010,AT314,3,2.159
2001,NUTS,2010,AT315,3,0.887
2002,NUTS,2010,AT315,3,1.592
2004,NUTS,2010,AT315,3,10.265
2006,NUTS,2010,AT315,3,5.459
2007,NUTS,2010,AT315,3,6.544
2009,NUTS,2010,AT315,3,4.358
2010,NUTS,2010,AT315,3,5.8
2012,NUTS,2010,AT315,3,0.609
2000,NUTS,2010,AT32,2,0.39
2001,NUTS,2010,AT32,2,3.554
2002,NUTS,2010,AT32,2,4.042
2004,NUTS,2010,AT32,2,3.367
2005,NUTS,2010,AT32,2,2.718
2006,NUTS,2010,AT32,2,1.753
2007,NUTS,2010,AT32,2,8.554
2008,NUTS,2010,AT32,2,0.475
2009,NUTS,2010,AT32,2,6.171
2010,NUTS,2010,AT32,2,2.525
2011,NUTS,2010,AT32,2,4.168
2012,NUTS,2010,AT32,2,2.511
2006,NUTS,2010,AT321,3,31.787
2007,NUTS,2010,AT322,3,3.068
2008,NUTS,2010,AT322,3,1.536
2001,NUTS,2010,AT323,3,5.518
2002,NUTS,2010,AT323,3,6.261
2004,NUTS,2010,AT323,3,5.207
2005,NUTS,2010,AT323,3,4.197
2006,NUTS,2010,AT323,3,0.734
2007,NUTS,2010,AT323,3,11.695
2009,NUTS,2010,AT323,3,9.466
2010,NUTS,2010,AT323,3,3.871
2011,NUTS,2010,AT323,3,6.383
2012,NUTS,2010,AT323,3,3.842
2000,NUTS,2010,AT33,2,4.375
2001,NUTS,2010,AT33,2,7.595
2002,NUTS,2010,AT33,2,4.558
2003,NUTS,2010,AT33,2,12.363
2004,NUTS,2010,AT33,2,2.604
2005,NUTS,2010,AT33,2,8.709
2006,NUTS,2010,AT33,2,1.916
2007,NUTS,2010,AT33,2,14.069
2008,NUTS,2010,AT33,2,8.862
2009,NUTS,2010,AT33,2,3.416
2010,NUTS,2010,AT33,2,7.096
2011,NUTS,2010,AT33,2,15.731
2012,NUTS,2010,AT33,2,10.54
2001,NUTS,2010,AT332,3,9.375
2002,NUTS,2010,AT332,3,7.378
2003,NUTS,2010,AT332,3,1.485
2004,NUTS,2010,AT332,3,1.954
2005,NUTS,2010,AT332,3,11.901
2006,NUTS,2010,AT332,3,3.615
2007,NUTS,2010,AT332,3,22.082
2008,NUTS,2010,AT332,3,16.1
2009,NUTS,2010,AT332,3,4.982
2010,NUTS,2010,AT332,3,7.071
2011,NUTS,2010,AT332,3,27.169
2012,NUTS,2010,AT332,3,14.536
2003,NUTS,2010,AT334,3,10.23
2004,NUTS,2010,AT334,3,2.532
2007,NUTS,2010,AT334,3,5.62
2011,NUTS,2010,AT334,3,33.633
2001,NUTS,2010,AT335,3,11.45
2002,NUTS,2010,AT335,3,4.812
2003,NUTS,2010,AT335,3,30.385
2004,NUTS,2010,AT335,3,4.315
2005,NUTS,2010,AT335,3,11.672
2006,NUTS,2010,AT335,3,1.401
2007,NUTS,2010,AT335,3,13.088
2008,NUTS,2010,AT335,3,7.153
2009,NUTS,2010,AT335,3,4.183
2010,NUTS,2010,AT335,3,12.516
2012,NUTS,2010,AT335,3,13.744
2000,NUTS,2010,AT34,2,4.306
2002,NUTS,2010,AT34,2,1.418
2003,NUTS,2010,AT34,2,2.82
2012,NUTS,2010,AT34,2,2.696
2002,NUTS,2010,AT342,3,1.884
2003,NUTS,2010,AT342,3,3.742
2012,NUTS,2010,AT342,3,3.533
1990,NUTS,2010,BE,0,3.039
1991,NUTS,2010,BE,0,4.078
1992,NUTS,2010,BE,0,4.294
1993,NUTS,2010,BE,0,4.073
1994,NUTS,2010,BE,0,5.041
1995,NUTS,2010,BE,0,4.72
1996,NUTS,2010,BE,0,5.3
1997,NUTS,2010,BE,0,7.602
1998,NUTS,2010,BE,0,12.076
1999,NUTS,2010,BE,0,15.495
2000,NUTS,2010,BE,0,9.485
2001,NUTS,2010,BE,0,9.165
2002,NUTS,2010,BE,0,9.535
2003,NUTS,2010,BE,0,8.87
2004,NUTS,2010,BE,0,8.359
2005,NUTS,2010,BE,0,9.181
2006,NUTS,2010,BE,0,10.866
2007,NUTS,2010,BE,0,11.021
2008,NUTS,2010,BE,0,6.763
2009,NUTS,2010,BE,0,6.561
2010,NUTS,2010,BE,0,6.177
2011,NUTS,2010,BE,0,6.227
2012,NUTS,2010,BE,0,4.107
2000,NUTS,2010,BE1,1,7.172
2001,NUTS,2010,BE1,1,9.446
2002,NUTS,2010,BE1,1,8.494
2003,NUTS,2010,BE1,1,8.981
2004,NUTS,2010,BE1,1,2.71
2005,NUTS,2010,BE1,1,8.562
2006,NUTS,2010,BE1,1,6.596
2007,NUTS,2010,BE1,1,10.842
2008,NUTS,2010,BE1,1,5.074
2009,NUTS,2010,BE1,1,3.94
2010,NUTS,2010,BE1,1,6.498
2011,NUTS,2010,BE1,1,3.809
2012,NUTS,2010,BE1,1,1.501
2000,NUTS,2010,BE10,2,7.172
2001,NUTS,2010,BE10,2,9.446
2002,NUTS,2010,BE10,2,8.494
2003,NUTS,2010,BE10,2,8.981
2004,NUTS,2010,BE10,2,2.71
2005,NUTS,2010,BE10,2,8.562
2006,NUTS,2010,BE10,2,6.596
2007,NUTS,2010,BE10,2,10.842
2008,NUTS,2010,BE10,2,5.074
2009,NUTS,2010,BE10,2,3.94
2010,NUTS,2010,BE10,2,6.498
2011,NUTS,2010,BE10,2,3.809
2012,NUTS,2010,BE10,2,1.501
2000,NUTS,2010,BE100,3,7.172
2001,NUTS,2010,BE100,3,9.446
2002,NUTS,2010,BE100,3,8.494
2003,NUTS,2010,BE100,3,8.981
2004,NUTS,2010,BE100,3,2.71
2005,NUTS,2010,BE100,3,8.562
2006,NUTS,2010,BE100,3,6.596
2007,NUTS,2010,BE100,3,10.842
2008,NUTS,2010,BE100,3,5.074
2009,NUTS,2010,BE100,3,3.94
2010,NUTS,2010,BE100,3,6.498
2011,NUTS,2010,BE100,3,3.809
2012,NUTS,2010,BE100,3,1.501
2000,NUTS,2010,BE2,1,8.161
2001,NUTS,2010,BE2,1,9.628
2002,NUTS,2010,BE2,1,9.604
2003,NUTS,2010,BE2,1,9.157
2004,NUTS,2010,BE2,1,9.884
2005,NUTS,2010,BE2,1,9.5
2006,NUTS,2010,BE2,1,9.741
2007,NUTS,2010,BE2,1,10.758
2008,NUTS,2010,BE2,1,6.601
2009,NUTS,2010,BE2,1,6.892
2010,NUTS,2010,BE2,1,7.225
2011,NUTS,2010,BE2,1,6.651
2012,NUTS,2010,BE2,1,4.748
2000,NUTS,2010,BE21,2,3.534
2001,NUTS,2010,BE21,2,4.564
2002,NUTS,2010,BE21,2,6.372
2003,NUTS,2010,BE21,2,2.619
2004,NUTS,2010,BE21,2,8.443
2005,NUTS,2010,BE21,2,2.022
2006,NUTS,2010,BE21,2,5.301
2007,NUTS,2010,BE21,2,6.968
2008,NUTS,2010,BE21,2,2.541
2009,NUTS,2010,BE21,2,2.495
2010,NUTS,2010,BE21,2,1.949
2011,NUTS,2010,BE21,2,1.872
2012,NUTS,2010,BE21,2,2.54
2000,NUTS,2010,BE211,3,2.789
2001,NUTS,2010,BE211,3,3.317
2002,NUTS,2010,BE211,3,1.892
2003,NUTS,2010,BE211,3,2.147
2004,NUTS,2010,BE211,3,2.296
2005,NUTS,2010,BE211,3,1.36
2006,NUTS,2010,BE211,3,3.907
2007,NUTS,2010,BE211,3,6.222
2008,NUTS,2010,BE211,3,2.094
2009,NUTS,2010,BE211,3,0.972
2010,NUTS,2010,BE211,3,1.421
2011,NUTS,2010,BE211,3,2.657
2012,NUTS,2010,BE211,3,2.744
2000,NUTS,2010,BE212,3,4.089
2001,NUTS,2010,BE212,3,3.753
2002,NUTS,2010,BE212,3,0.813
2003,NUTS,2010,BE212,3,1.879
2004,NUTS,2010,BE212,3,16.072
2005,NUTS,2010,BE212,3,1.83
2006,NUTS,2010,BE212,3,3.278
2007,NUTS,2010,BE212,3,12.744
2008,NUTS,2010,BE212,3,4.795
2009,NUTS,2010,BE212,3,4.972
2010,NUTS,2010,BE212,3,0.771
2011,NUTS,2010,BE212,3,1.982
2012,NUTS,2010,BE212,3,3.029
2000,NUTS,2010,BE213,3,4.825
2001,NUTS,2010,BE213,3,8.021
2002,NUTS,2010,BE213,3,20.799
2003,NUTS,2010,BE213,3,4.25
2004,NUTS,2010,BE213,3,16.786
2005,NUTS,2010,BE213,3,3.697
2006,NUTS,2010,BE213,3,9.963
2007,NUTS,2010,BE213,3,4.324
2008,NUTS,2010,BE213,3,1.85
2009,NUTS,2010,BE213,3,4.099
2010,NUTS,2010,BE213,3,4.021
2012,NUTS,2010,BE213,3,1.712
2000,NUTS,2010,BE22,2,1.365
2002,NUTS,2010,BE22,2,1.19
2003,NUTS,2010,BE22,2,1.807
2004,NUTS,2010,BE22,2,2.221
2005,NUTS,2010,BE22,2,0.593
2006,NUTS,2010,BE22,2,1.142
2007,NUTS,2010,BE22,2,2.097
2008,NUTS,2010,BE22,2,0.847
2009,NUTS,2010,BE22,2,4.981
2010,NUTS,2010,BE22,2,3.125
2011,NUTS,2010,BE22,2,1.275
2012,NUTS,2010,BE22,2,1.925
2000,NUTS,2010,BE221,3,2.82
2002,NUTS,2010,BE221,3,1.942
2003,NUTS,2010,BE221,3,1.158
2004,NUTS,2010,BE221,3,0.846
2005,NUTS,2010,BE221,3,0.79
2006,NUTS,2010,BE221,3,0.937
2007,NUTS,2010,BE221,3,0.955
2009,NUTS,2010,BE221,3,6.658
2010,NUTS,2010,BE221,3,1.714
2011,NUTS,2010,BE221,3,0.605
2012,NUTS,2010,BE221,3,2.14
2003,NUTS,2010,BE222,3,4.488
2004,NUTS,2010,BE222,3,4.466
2008,NUTS,2010,BE222,3,0.872
2009,NUTS,2010,BE222,3,2.68
2010,NUTS,2010,BE222,3,5.715
2012,NUTS,2010,BE222,3,3.18
2002,NUTS,2010,BE223,3,1.049
2004,NUTS,2010,BE223,3,2.4
2005,NUTS,2010,BE223,3,0.885
2006,NUTS,2010,BE223,3,2.953
2007,NUTS,2010,BE223,3,6.901
2008,NUTS,2010,BE223,3,2.56
2009,NUTS,2010,BE223,3,4.228
2010,NUTS,2010,BE223,3,2.938
2011,NUTS,2010,BE223,3,4.163
2000,NUTS,2010,BE23,2,13.844
2001,NUTS,2010,BE23,2,16.309
2002,NUTS,2010,BE23,2,17.956
2003,NUTS,2010,BE23,2,19.837
2004,NUTS,2010,BE23,2,18.839
2005,NUTS,2010,BE23,2,26.817
2006,NUTS,2010,BE23,2,19.763
2007,NUTS,2010,BE23,2,23.808
2008,NUTS,2010,BE23,2,15.158
2009,NUTS,2010,BE23,2,13.869
2010,NUTS,2010,BE23,2,18.18
2011,NUTS,2010,BE23,2,18.731
2012,NUTS,2010,BE23,2,9.613
2000,NUTS,2010,BE231,3,5.033
2001,NUTS,2010,BE231,3,8.234
2002,NUTS,2010,BE231,3,11.823
2003,NUTS,2010,BE231,3,8.57
2004,NUTS,2010,BE231,3,4.678
2005,NUTS,2010,BE231,3,3.979
2006,NUTS,2010,BE231,3,2.898
2007,NUTS,2010,BE231,3,5.874
2008,NUTS,2010,BE231,3,6.976
2009,NUTS,2010,BE231,3,5.047
2010,NUTS,2010,BE231,3,5.922
2011,NUTS,2010,BE231,3,3.899
2012,NUTS,2010,BE231,3,2.4
2000,NUTS,2010,BE232,3,3.217
2001,NUTS,2010,BE232,3,8.737
2002,NUTS,2010,BE232,3,17.274
2003,NUTS,2010,BE232,3,4.439
2004,NUTS,2010,BE232,3,2.669
2005,NUTS,2010,BE232,3,9.106
2006,NUTS,2010,BE232,3,4.765
2008,NUTS,2010,BE232,3,6.41
2009,NUTS,2010,BE232,3,12.531
2010,NUTS,2010,BE232,3,3.22
2011,NUTS,2010,BE232,3,3.602
2012,NUTS,2010,BE232,3,2.555
2000,NUTS,2010,BE233,3,3.145
2001,NUTS,2010,BE233,3,5.666
2003,NUTS,2010,BE233,3,4.158
2005,NUTS,2010,BE233,3,6.276
2006,NUTS,2010,BE233,3,4.112
2007,NUTS,2010,BE233,3,6.208
2008,NUTS,2010,BE233,3,10.264
2011,NUTS,2010,BE233,3,9.064
2000,NUTS,2010,BE234,3,25.294
2001,NUTS,2010,BE234,3,33.628
2002,NUTS,2010,BE234,3,33.01
2003,NUTS,2010,BE234,3,41.135
2004,NUTS,2010,BE234,3,43.921
2005,NUTS,2010,BE234,3,60.542
2006,NUTS,2010,BE234,3,42.613
2007,NUTS,2010,BE234,3,52.536
2008,NUTS,2010,BE234,3,27.139
2009,NUTS,2010,BE234,3,26.121
2010,NUTS,2010,BE234,3,37.079
2011,NUTS,2010,BE234,3,37.648
2012,NUTS,2010,BE234,3,20.656
2000,NUTS,2010,BE235,3,17.491
2001,NUTS,2010,BE235,3,9.179
2002,NUTS,2010,BE235,3,7.865
2003,NUTS,2010,BE235,3,11.605
2004,NUTS,2010,BE235,3,15.941
2005,NUTS,2010,BE235,3,16.467
2006,NUTS,2010,BE235,3,14.901
2007,NUTS,2010,BE235,3,23.479
2008,NUTS,2010,BE235,3,17.273
2009,NUTS,2010,BE235,3,12.087
2010,NUTS,2010,BE235,3,29.168
2011,NUTS,2010,BE235,3,26.761
2012,NUTS,2010,BE235,3,12.355
2000,NUTS,2010,BE236,3,9.613
2001,NUTS,2010,BE236,3,1.114
2002,NUTS,2010,BE236,3,3.777
2003,NUTS,2010,BE236,3,8.104
2004,NUTS,2010,BE236,3,1.103
2005,NUTS,2010,BE236,3,5.525
2006,NUTS,2010,BE236,3,8.844
2007,NUTS,2010,BE236,3,6.702
2008,NUTS,2010,BE236,3,5.792
2009,NUTS,2010,BE236,3,3.701
2010,NUTS,2010,BE236,3,3.163
2011,NUTS,2010,BE236,3,5.213
2012,NUTS,2010,BE236,3,1.035
2000,NUTS,2010,BE24,2,17.552
2001,NUTS,2010,BE24,2,24.175
2002,NUTS,2010,BE24,2,19.094
2003,NUTS,2010,BE24,2,19.945
2004,NUTS,2010,BE24,2,15.001
2005,NUTS,2010,BE24,2,12.604
2006,NUTS,2010,BE24,2,13.906
2007,NUTS,2010,BE24,2,13.559
2008,NUTS,2010,BE24,2,11.243
2009,NUTS,2010,BE24,2,12.21
2010,NUTS,2010,BE24,2,10.186
2011,NUTS,2010,BE24,2,7.762
2012,NUTS,2010,BE24,2,8.558
2000,NUTS,2010,BE241,3,9.709
2001,NUTS,2010,BE241,3,25.226
2002,NUTS,2010,BE241,3,17.715
2003,NUTS,2010,BE241,3,23.42
2004,NUTS,2010,BE241,3,9.599
2005,NUTS,2010,BE241,3,7.246
2006,NUTS,2010,BE241,3,10.538
2007,NUTS,2010,BE241,3,10.114
2008,NUTS,2010,BE241,3,5.612
2009,NUTS,2010,BE241,3,5.147
2010,NUTS,2010,BE241,3,4.55
2011,NUTS,2010,BE241,3,2.415
2012,NUTS,2010,BE241,3,3.221
2000,NUTS,2010,BE242,3,27.164
2001,NUTS,2010,BE242,3,22.891
2002,NUTS,2010,BE242,3,20.786
2003,NUTS,2010,BE242,3,15.69
2004,NUTS,2010,BE242,3,21.658
2005,NUTS,2010,BE242,3,19.201
2006,NUTS,2010,BE242,3,18.051
2007,NUTS,2010,BE242,3,17.794
2008,NUTS,2010,BE242,3,18.137
2009,NUTS,2010,BE242,3,20.85
2010,NUTS,2010,BE242,3,17.106
2011,NUTS,2010,BE242,3,14.334
2012,NUTS,2010,BE242,3,15.129
2000,NUTS,2010,BE25,2,4.359
2001,NUTS,2010,BE25,2,2.602
2002,NUTS,2010,BE25,2,1.59
2003,NUTS,2010,BE25,2,1.252
2004,NUTS,2010,BE25,2,1.946
2005,NUTS,2010,BE25,2,3.022
2006,NUTS,2010,BE25,2,6.437
2007,NUTS,2010,BE25,2,4.084
2008,NUTS,2010,BE25,2,2.043
2009,NUTS,2010,BE25,2,1.359
2010,NUTS,2010,BE25,2,1.846
2011,NUTS,2010,BE25,2,1.781
2012,NUTS,2010,BE25,2,0.571
2000,NUTS,2010,BE251,3,1.477
2001,NUTS,2010,BE251,3,7.368
2002,NUTS,2010,BE251,3,3.309
2004,NUTS,2010,BE251,3,2.564
2005,NUTS,2010,BE251,3,1.206
2006,NUTS,2010,BE251,3,6.195
2008,NUTS,2010,BE251,3,2.358
2009,NUTS,2010,BE251,3,1.341
2012,NUTS,2010,BE251,3,1.182
2009,NUTS,2010,BE252,3,2.837
2011,NUTS,2010,BE252,3,4.997
2005,NUTS,2010,BE253,3,1.63
2006,NUTS,2010,BE253,3,29.472
2007,NUTS,2010,BE253,3,6.393
2008,NUTS,2010,BE253,3,3.139
2000,NUTS,2010,BE254,3,8.803
2001,NUTS,2010,BE254,3,2.664
2002,NUTS,2010,BE254,3,0.9
2003,NUTS,2010,BE254,3,2.992
