year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_t_hc
2012,NUTS,2010,BG33,2,1199.0
2013,NUTS,2010,BG33,2,1310.0
2014,NUTS,2010,BG33,2,1827.0
2015,NUTS,2010,BG33,2,1695.0
2015,NUTS,2010,BG34,2,619.0
2016,NUTS,2010,BG34,2,679.0
2017,NUTS,2010,BG34,2,630.0
2011,NUTS,2010,BG4,1,4310.0
2012,NUTS,2010,BG4,1,4096.0
2013,NUTS,2010,BG4,1,4199.0
2014,NUTS,2010,BG4,1,4528.0
2017,NUTS,2010,BG4,1,4487.0
2019,NUTS,2010,BG4,1,4655.0
2013,NUTS,2010,BG41,2,3333.0
2014,NUTS,2010,BG41,2,3557.0
2015,NUTS,2010,BG41,2,3240.0
2016,NUTS,2010,BG41,2,4533.0
2017,NUTS,2010,BG41,2,3479.0
2018,NUTS,2010,BG41,2,3722.0
2019,NUTS,2010,BG41,2,3054.0
2013,NUTS,2010,BG42,2,866.0
2014,NUTS,2010,BG42,2,971.0
2017,NUTS,2010,BG42,2,1008.0
2019,NUTS,2010,BG42,2,1601.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,41395.0
2015,NUTS,2010,CH,0,45932.0
2017,NUTS,2010,CH,0,47464.0
2019,NUTS,2010,CH,0,50583.0
2011,NUTS,2010,CN_X_HK,5,512998.0
2012,NUTS,2010,CN_X_HK,5,553645.0
2011,NUTS,2010,CY,0,1260.0
2012,NUTS,2010,CY,0,1263.0
2013,NUTS,2010,CY,0,1586.0
2014,NUTS,2010,CY,0,1527.0
2015,NUTS,2010,CY,0,1520.0
2016,NUTS,2010,CY,0,1515.0
2017,NUTS,2010,CY,0,1582.0
2018,NUTS,2010,CY,0,1676.0
2019,NUTS,2010,CY,0,1791.0
2011,NUTS,2010,CZ,0,20732.0
2012,NUTS,2010,CZ,0,21134.0
2013,NUTS,2010,CZ,0,22957.0
2014,NUTS,2010,CZ,0,23279.0
2015,NUTS,2010,CZ,0,23963.0
2016,NUTS,2010,CZ,0,23442.0
2017,NUTS,2010,CZ,0,25010.0
2018,NUTS,2010,CZ,0,25687.0
2019,NUTS,2010,CZ,0,26766.0
2020,NUTS,2010,CZ,0,27325.0
2011,NUTS,2010,CZ0,1,20732.0
2012,NUTS,2010,CZ0,1,21134.0
2013,NUTS,2010,CZ0,1,22957.0
2014,NUTS,2010,CZ0,1,23279.0
2015,NUTS,2010,CZ0,1,23963.0
2016,NUTS,2010,CZ0,1,23442.0
2017,NUTS,2010,CZ0,1,25010.0
2018,NUTS,2010,CZ0,1,25687.0
2019,NUTS,2010,CZ0,1,26766.0
2020,NUTS,2010,CZ0,1,27325.0
2011,NUTS,2010,CZ01,2,8267.0
2012,NUTS,2010,CZ01,2,7782.0
2013,NUTS,2010,CZ01,2,8599.0
2014,NUTS,2010,CZ01,2,8573.0
2015,NUTS,2010,CZ01,2,8227.0
2016,NUTS,2010,CZ01,2,8183.0
2017,NUTS,2010,CZ01,2,9363.0
2018,NUTS,2010,CZ01,2,9836.0
2019,NUTS,2010,CZ01,2,10149.0
2020,NUTS,2010,CZ01,2,10086.0
2011,NUTS,2010,CZ02,2,108.0
2012,NUTS,2010,CZ02,2,127.0
2013,NUTS,2010,CZ02,2,197.0
2014,NUTS,2010,CZ02,2,258.0
2015,NUTS,2010,CZ02,2,267.0
2016,NUTS,2010,CZ02,2,274.0
2017,NUTS,2010,CZ02,2,282.0
2018,NUTS,2010,CZ02,2,302.0
2019,NUTS,2010,CZ02,2,318.0
2020,NUTS,2010,CZ02,2,314.0
2011,NUTS,2010,CZ03,2,2282.0
2012,NUTS,2010,CZ03,2,2072.0
2013,NUTS,2010,CZ03,2,2349.0
2014,NUTS,2010,CZ03,2,2474.0
2015,NUTS,2010,CZ03,2,2406.0
2016,NUTS,2010,CZ03,2,2452.0
2017,NUTS,2010,CZ03,2,2474.0
2018,NUTS,2010,CZ03,2,2536.0
2019,NUTS,2010,CZ03,2,2581.0
2020,NUTS,2010,CZ03,2,2557.0
2011,NUTS,2010,CZ04,2,309.0
2012,NUTS,2010,CZ04,2,297.0
2013,NUTS,2010,CZ04,2,457.0
2014,NUTS,2010,CZ04,2,468.0
2015,NUTS,2010,CZ04,2,467.0
2016,NUTS,2010,CZ04,2,464.0
2017,NUTS,2010,CZ04,2,477.0
2018,NUTS,2010,CZ04,2,520.0
2019,NUTS,2010,CZ04,2,450.0
2020,NUTS,2010,CZ04,2,536.0
2011,NUTS,2010,CZ05,2,1993.0
2012,NUTS,2010,CZ05,2,1792.0
2013,NUTS,2010,CZ05,2,1891.0
2014,NUTS,2010,CZ05,2,1928.0
2015,NUTS,2010,CZ05,2,2011.0
2016,NUTS,2010,CZ05,2,2095.0
2017,NUTS,2010,CZ05,2,2200.0
2018,NUTS,2010,CZ05,2,2208.0
2019,NUTS,2010,CZ05,2,2622.0
2020,NUTS,2010,CZ05,2,2551.0
2011,NUTS,2010,CZ06,2,4402.0
2012,NUTS,2010,CZ06,2,4999.0
2013,NUTS,2010,CZ06,2,5034.0
2014,NUTS,2010,CZ06,2,4987.0
2015,NUTS,2010,CZ06,2,5736.0
2016,NUTS,2010,CZ06,2,4983.0
2017,NUTS,2010,CZ06,2,5619.0
2018,NUTS,2010,CZ06,2,5519.0
2019,NUTS,2010,CZ06,2,5508.0
2020,NUTS,2010,CZ06,2,5949.0
2011,NUTS,2010,CZ07,2,1303.0
2012,NUTS,2010,CZ07,2,1791.0
2013,NUTS,2010,CZ07,2,2172.0
2014,NUTS,2010,CZ07,2,2230.0
2015,NUTS,2010,CZ07,2,2350.0
2016,NUTS,2010,CZ07,2,2398.0
2017,NUTS,2010,CZ07,2,2111.0
2018,NUTS,2010,CZ07,2,2181.0
2019,NUTS,2010,CZ07,2,2595.0
2020,NUTS,2010,CZ07,2,2626.0
2011,NUTS,2010,CZ08,2,2068.0
2012,NUTS,2010,CZ08,2,2274.0
2013,NUTS,2010,CZ08,2,2258.0
2014,NUTS,2010,CZ08,2,2361.0
2015,NUTS,2010,CZ08,2,2499.0
2016,NUTS,2010,CZ08,2,2593.0
2017,NUTS,2010,CZ08,2,2484.0
2018,NUTS,2010,CZ08,2,2585.0
2019,NUTS,2010,CZ08,2,2543.0
2020,NUTS,2010,CZ08,2,2706.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,241411.0
2012,NUTS,2010,DE,0,251940.0
2013,NUTS,2010,DE,0,261657.0
2014,NUTS,2010,DE,0,265911.0
2015,NUTS,2010,DE,0,270343.0
2016,NUTS,2010,DE,0,271953.0
2017,NUTS,2010,DE,0,279167.0
2018,NUTS,2010,DE,0,285378.0
2019,NUTS,2010,DE,0,288837.0
2011,NUTS,2010,DE1,1,33919.0
2012,NUTS,2010,DE1,1,36556.0
2013,NUTS,2010,DE1,1,37592.0
2014,NUTS,2010,DE1,1,38927.0
2015,NUTS,2010,DE1,1,39078.0
2016,NUTS,2010,DE1,1,39363.0
2017,NUTS,2010,DE1,1,40662.0
2018,NUTS,2010,DE1,1,41174.0
2019,NUTS,2010,DE1,1,40705.0
2011,NUTS,2010,DE11,2,6430.0
2012,NUTS,2010,DE11,2,7370.0
2013,NUTS,2010,DE11,2,7321.0
2014,NUTS,2010,DE11,2,7456.0
2015,NUTS,2010,DE11,2,7543.0
2016,NUTS,2010,DE11,2,7727.0
2017,NUTS,2010,DE11,2,7963.0
2018,NUTS,2010,DE11,2,8043.0
2019,NUTS,2010,DE11,2,7957.0
2011,NUTS,2010,DE12,2,12475.0
2012,NUTS,2010,DE12,2,12886.0
2013,NUTS,2010,DE12,2,13253.0
2014,NUTS,2010,DE12,2,13396.0
2015,NUTS,2010,DE12,2,13165.0
2016,NUTS,2010,DE12,2,13516.0
2017,NUTS,2010,DE12,2,13746.0
2018,NUTS,2010,DE12,2,14110.0
2019,NUTS,2010,DE12,2,13610.0
2011,NUTS,2010,DE13,2,7769.0
2012,NUTS,2010,DE13,2,8171.0
2013,NUTS,2010,DE13,2,8410.0
2014,NUTS,2010,DE13,2,9163.0
2015,NUTS,2010,DE13,2,9101.0
2016,NUTS,2010,DE13,2,8965.0
2017,NUTS,2010,DE13,2,9249.0
2018,NUTS,2010,DE13,2,9230.0
2019,NUTS,2010,DE13,2,9239.0
2011,NUTS,2010,DE14,2,7246.0
2012,NUTS,2010,DE14,2,8129.0
2013,NUTS,2010,DE14,2,8608.0
2014,NUTS,2010,DE14,2,8912.0
2015,NUTS,2010,DE14,2,9269.0
2016,NUTS,2010,DE14,2,9155.0
2017,NUTS,2010,DE14,2,9704.0
2018,NUTS,2010,DE14,2,9791.0
2019,NUTS,2010,DE14,2,9899.0
2011,NUTS,2010,DE2,1,34119.0
2012,NUTS,2010,DE2,1,36164.0
2013,NUTS,2010,DE2,1,37806.0
2014,NUTS,2010,DE2,1,38532.0
2015,NUTS,2010,DE2,1,39176.0
2016,NUTS,2010,DE2,1,38849.0
2017,NUTS,2010,DE2,1,39367.0
2018,NUTS,2010,DE2,1,40074.0
2019,NUTS,2010,DE2,1,42160.0
2011,NUTS,2010,DE21,2,16539.0
2012,NUTS,2010,DE21,2,17374.0
2013,NUTS,2010,DE21,2,18204.0
2014,NUTS,2010,DE21,2,18562.0
2015,NUTS,2010,DE21,2,18877.0
2016,NUTS,2010,DE21,2,18294.0
2017,NUTS,2010,DE21,2,18173.0
2018,NUTS,2010,DE21,2,18388.0
2019,NUTS,2010,DE21,2,18944.0
2011,NUTS,2010,DE22,2,865.0
2012,NUTS,2010,DE22,2,873.0
2013,NUTS,2010,DE22,2,977.0
2014,NUTS,2010,DE22,2,1058.0
2015,NUTS,2010,DE22,2,1074.0
2016,NUTS,2010,DE22,2,1164.0
2017,NUTS,2010,DE22,2,1182.0
2018,NUTS,2010,DE22,2,1324.0
2019,NUTS,2010,DE22,2,1420.0
2011,NUTS,2010,DE23,2,2925.0
2012,NUTS,2010,DE23,2,3043.0
2013,NUTS,2010,DE23,2,3071.0
2014,NUTS,2010,DE23,2,3168.0
2015,NUTS,2010,DE23,2,3170.0
2016,NUTS,2010,DE23,2,3148.0
2017,NUTS,2010,DE23,2,3216.0
2018,NUTS,2010,DE23,2,3312.0
2019,NUTS,2010,DE23,2,3367.0
2011,NUTS,2010,DE24,2,2494.0
2012,NUTS,2010,DE24,2,2621.0
2013,NUTS,2010,DE24,2,2695.0
2014,NUTS,2010,DE24,2,2682.0
2015,NUTS,2010,DE24,2,2785.0
2016,NUTS,2010,DE24,2,2775.0
2017,NUTS,2010,DE24,2,2797.0
2018,NUTS,2010,DE24,2,2907.0
2019,NUTS,2010,DE24,2,2974.0
2011,NUTS,2010,DE25,2,5742.0
2012,NUTS,2010,DE25,2,6213.0
2013,NUTS,2010,DE25,2,6607.0
2014,NUTS,2010,DE25,2,6701.0
2015,NUTS,2010,DE25,2,6817.0
2016,NUTS,2010,DE25,2,6972.0
2017,NUTS,2010,DE25,2,7201.0
2018,NUTS,2010,DE25,2,7153.0
2019,NUTS,2010,DE25,2,7422.0
2011,NUTS,2010,DE26,2,4158.0
2012,NUTS,2010,DE26,2,4543.0
2013,NUTS,2010,DE26,2,4689.0
2014,NUTS,2010,DE26,2,4740.0
2015,NUTS,2010,DE26,2,4696.0
2016,NUTS,2010,DE26,2,4710.0
2017,NUTS,2010,DE26,2,4963.0
2018,NUTS,2010,DE26,2,5106.0
2019,NUTS,2010,DE26,2,5238.0
2011,NUTS,2010,DE27,2,1396.0
2012,NUTS,2010,DE27,2,1497.0
2013,NUTS,2010,DE27,2,1563.0
2014,NUTS,2010,DE27,2,1621.0
2015,NUTS,2010,DE27,2,1757.0
2016,NUTS,2010,DE27,2,1786.0
2017,NUTS,2010,DE27,2,1835.0
2018,NUTS,2010,DE27,2,1884.0
2019,NUTS,2010,DE27,2,2795.0
2011,NUTS,2010,DE3,1,14740.0
2012,NUTS,2010,DE3,1,15474.0
2013,NUTS,2010,DE3,1,15622.0
2014,NUTS,2010,DE3,1,15557.0
2015,NUTS,2010,DE3,1,15968.0
2016,NUTS,2010,DE3,1,16050.0
2017,NUTS,2010,DE3,1,16028.0
2018,NUTS,2010,DE3,1,16297.0
2019,NUTS,2010,DE3,1,16742.0
2011,NUTS,2010,DE30,2,14740.0
2012,NUTS,2010,DE30,2,15474.0
2013,NUTS,2010,DE30,2,15622.0
2014,NUTS,2010,DE30,2,15557.0
2015,NUTS,2010,DE30,2,15968.0
2016,NUTS,2010,DE30,2,16050.0
2017,NUTS,2010,DE30,2,16028.0
2018,NUTS,2010,DE30,2,16297.0
2019,NUTS,2010,DE30,2,16742.0
2011,NUTS,2010,DE4,1,4111.0
2012,NUTS,2010,DE4,1,4350.0
2013,NUTS,2010,DE4,1,4439.0
2014,NUTS,2010,DE4,1,4532.0
2015,NUTS,2010,DE4,1,4524.0
2016,NUTS,2010,DE4,1,4606.0
2017,NUTS,2010,DE4,1,4929.0
2018,NUTS,2010,DE4,1,4957.0
2019,NUTS,2010,DE4,1,5005.0
2011,NUTS,2010,DE40,2,4111.0
2012,NUTS,2010,DE40,2,4350.0
2013,NUTS,2010,DE40,2,4439.0
2014,NUTS,2010,DE40,2,4532.0
2015,NUTS,2010,DE40,2,4524.0
2016,NUTS,2010,DE40,2,4606.0
2017,NUTS,2010,DE40,2,4929.0
2018,NUTS,2010,DE40,2,4957.0
2019,NUTS,2010,DE40,2,5005.0
2011,NUTS,2010,DE5,1,3061.0
2012,NUTS,2010,DE5,1,3042.0
2013,NUTS,2010,DE5,1,3117.0
2014,NUTS,2010,DE5,1,3170.0
2015,NUTS,2010,DE5,1,3072.0
2016,NUTS,2010,DE5,1,3150.0
2017,NUTS,2010,DE5,1,3146.0
2018,NUTS,2010,DE5,1,3118.0
2019,NUTS,2010,DE5,1,3188.0
2011,NUTS,2010,DE50,2,3061.0
2012,NUTS,2010,DE50,2,3042.0
2013,NUTS,2010,DE50,2,3117.0
2014,NUTS,2010,DE50,2,3170.0
2015,NUTS,2010,DE50,2,3072.0
2016,NUTS,2010,DE50,2,3150.0
2017,NUTS,2010,DE50,2,3146.0
2018,NUTS,2010,DE50,2,3118.0
2019,NUTS,2010,DE50,2,3188.0
2011,NUTS,2010,DE6,1,7253.0
2012,NUTS,2010,DE6,1,7254.0
2013,NUTS,2010,DE6,1,7826.0
2014,NUTS,2010,DE6,1,7852.0
2015,NUTS,2010,DE6,1,8124.0
2016,NUTS,2010,DE6,1,8322.0
2017,NUTS,2010,DE6,1,8678.0
2018,NUTS,2010,DE6,1,8874.0
2019,NUTS,2010,DE6,1,9494.0
2011,NUTS,2010,DE60,2,7253.0
2012,NUTS,2010,DE60,2,7254.0
2013,NUTS,2010,DE60,2,7826.0
2014,NUTS,2010,DE60,2,7852.0
2015,NUTS,2010,DE60,2,8124.0
2016,NUTS,2010,DE60,2,8322.0
2017,NUTS,2010,DE60,2,8678.0
2018,NUTS,2010,DE60,2,8874.0
2019,NUTS,2010,DE60,2,9494.0
2011,NUTS,2010,DE7,1,16700.0
2012,NUTS,2010,DE7,1,16845.0
2013,NUTS,2010,DE7,1,17459.0
2014,NUTS,2010,DE7,1,17405.0
2015,NUTS,2010,DE7,1,17572.0
2016,NUTS,2010,DE7,1,17632.0
2017,NUTS,2010,DE7,1,18076.0
2018,NUTS,2010,DE7,1,18575.0
2019,NUTS,2010,DE7,1,18781.0
2011,NUTS,2010,DE71,2,8544.0
2012,NUTS,2010,DE71,2,8712.0
2013,NUTS,2010,DE71,2,9055.0
2014,NUTS,2010,DE71,2,9108.0
2015,NUTS,2010,DE71,2,9180.0
2016,NUTS,2010,DE71,2,9277.0
2017,NUTS,2010,DE71,2,9612.0
2018,NUTS,2010,DE71,2,9920.0
2019,NUTS,2010,DE71,2,9906.0
2011,NUTS,2010,DE72,2,5805.0
2012,NUTS,2010,DE72,2,5823.0
2013,NUTS,2010,DE72,2,6070.0
2014,NUTS,2010,DE72,2,6010.0
2015,NUTS,2010,DE72,2,6044.0
2016,NUTS,2010,DE72,2,6072.0
2017,NUTS,2010,DE72,2,6072.0
2018,NUTS,2010,DE72,2,6230.0
2019,NUTS,2010,DE72,2,6367.0
2011,NUTS,2010,DE73,2,2351.0
2012,NUTS,2010,DE73,2,2310.0
2013,NUTS,2010,DE73,2,2334.0
2014,NUTS,2010,DE73,2,2287.0
2015,NUTS,2010,DE73,2,2348.0
2016,NUTS,2010,DE73,2,2283.0
2017,NUTS,2010,DE73,2,2392.0
2018,NUTS,2010,DE73,2,2425.0
2019,NUTS,2010,DE73,2,2508.0
2011,NUTS,2010,DE8,1,4685.0
2012,NUTS,2010,DE8,1,4925.0
2013,NUTS,2010,DE8,1,5060.0
2014,NUTS,2010,DE8,1,5105.0
2015,NUTS,2010,DE8,1,4957.0
2016,NUTS,2010,DE8,1,4964.0
2017,NUTS,2010,DE8,1,5098.0
2018,NUTS,2010,DE8,1,5070.0
2019,NUTS,2010,DE8,1,5143.0
2011,NUTS,2010,DE80,2,4685.0
2012,NUTS,2010,DE80,2,4925.0
2013,NUTS,2010,DE80,2,5060.0
2014,NUTS,2010,DE80,2,5105.0
2015,NUTS,2010,DE80,2,4957.0
2016,NUTS,2010,DE80,2,4964.0
2017,NUTS,2010,DE80,2,5098.0
2018,NUTS,2010,DE80,2,5070.0
2019,NUTS,2010,DE80,2,5143.0
2011,NUTS,2010,DE9,1,18405.0
2012,NUTS,2010,DE9,1,19171.0
2013,NUTS,2010,DE9,1,19968.0
2014,NUTS,2010,DE9,1,20170.0
2015,NUTS,2010,DE9,1,20287.0
2016,NUTS,2010,DE9,1,20353.0
2017,NUTS,2010,DE9,1,21289.0
2018,NUTS,2010,DE9,1,21684.0
2019,NUTS,2010,DE9,1,21524.0
2011,NUTS,2010,DE91,2,7396.0
2012,NUTS,2010,DE91,2,7744.0
2013,NUTS,2010,DE91,2,8069.0
2014,NUTS,2010,DE91,2,7932.0
2015,NUTS,2010,DE91,2,8027.0
2016,NUTS,2010,DE91,2,8200.0
2017,NUTS,2010,DE91,2,8412.0
2018,NUTS,2010,DE91,2,8722.0
2019,NUTS,2010,DE91,2,8531.0
2011,NUTS,2010,DE92,2,6699.0
2012,NUTS,2010,DE92,2,6759.0
2013,NUTS,2010,DE92,2,7104.0
2014,NUTS,2010,DE92,2,7154.0
2015,NUTS,2010,DE92,2,7295.0
2016,NUTS,2010,DE92,2,7399.0
2017,NUTS,2010,DE92,2,7623.0
2018,NUTS,2010,DE92,2,7719.0
2019,NUTS,2010,DE92,2,7751.0
2011,NUTS,2010,DE93,2,763.0
2012,NUTS,2010,DE93,2,977.0
2013,NUTS,2010,DE93,2,968.0
2014,NUTS,2010,DE93,2,913.0
2015,NUTS,2010,DE93,2,707.0
2016,NUTS,2010,DE93,2,698.0
2017,NUTS,2010,DE93,2,728.0
2018,NUTS,2010,DE93,2,727.0
2019,NUTS,2010,DE93,2,662.0
2011,NUTS,2010,DE94,2,3547.0
2012,NUTS,2010,DE94,2,3691.0
2013,NUTS,2010,DE94,2,3827.0
2014,NUTS,2010,DE94,2,4171.0
2015,NUTS,2010,DE94,2,4258.0
2016,NUTS,2010,DE94,2,4056.0
2017,NUTS,2010,DE94,2,4526.0
2018,NUTS,2010,DE94,2,4516.0
2019,NUTS,2010,DE94,2,4580.0
2011,NUTS,2010,DEA,1,47607.0
2012,NUTS,2010,DEA,1,49641.0
2013,NUTS,2010,DEA,1,52442.0
2014,NUTS,2010,DEA,1,54403.0
2015,NUTS,2010,DEA,1,55602.0
2016,NUTS,2010,DEA,1,57285.0
2017,NUTS,2010,DEA,1,59892.0
2018,NUTS,2010,DEA,1,61489.0
2019,NUTS,2010,DEA,1,61918.0
2011,NUTS,2010,DEA1,2,9666.0
2012,NUTS,2010,DEA1,2,10587.0
2013,NUTS,2010,DEA1,2,11036.0
2014,NUTS,2010,DEA1,2,11563.0
2015,NUTS,2010,DEA1,2,11739.0
2016,NUTS,2010,DEA1,2,11914.0
2017,NUTS,2010,DEA1,2,12567.0
2018,NUTS,2010,DEA1,2,13081.0
2019,NUTS,2010,DEA1,2,13212.0
2011,NUTS,2010,DEA2,2,18386.0
2012,NUTS,2010,DEA2,2,18984.0
2013,NUTS,2010,DEA2,2,20480.0
2014,NUTS,2010,DEA2,2,21064.0
2015,NUTS,2010,DEA2,2,21962.0
2016,NUTS,2010,DEA2,2,22408.0
2017,NUTS,2010,DEA2,2,23317.0
2018,NUTS,2010,DEA2,2,23492.0
2019,NUTS,2010,DEA2,2,23572.0
2011,NUTS,2010,DEA3,2,6467.0
2012,NUTS,2010,DEA3,2,6766.0
2013,NUTS,2010,DEA3,2,7181.0
2014,NUTS,2010,DEA3,2,7180.0
