year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_mio_pps
2017,NUTS,2010,BE25,2,534.46
2011,NUTS,2010,BE3,1,1949.901
2012,NUTS,2010,BE3,1,1979.399
2013,NUTS,2010,BE3,1,2035.815
2014,NUTS,2010,BE3,1,2034.915
2015,NUTS,2010,BE3,1,2108.803
2016,NUTS,2010,BE3,1,2176.061
2017,NUTS,2010,BE3,1,2399.354
2018,NUTS,2010,BE3,1,2969.899
2019,NUTS,2010,BE3,1,3303.798
2011,NUTS,2010,BE31,2,1018.346
2012,NUTS,2010,BE31,2,1149.724
2013,NUTS,2010,BE31,2,1165.611
2014,NUTS,2010,BE31,2,940.554
2015,NUTS,2010,BE31,2,926.184
2016,NUTS,2010,BE31,2,1139.697
2017,NUTS,2010,BE31,2,1243.465
2011,NUTS,2010,BE32,2,401.93
2012,NUTS,2010,BE32,2,358.64
2013,NUTS,2010,BE32,2,375.902
2014,NUTS,2010,BE32,2,448.695
2015,NUTS,2010,BE32,2,457.077
2016,NUTS,2010,BE32,2,363.106
2017,NUTS,2010,BE32,2,423.232
2011,NUTS,2010,BE33,2,383.749
2012,NUTS,2010,BE33,2,373.503
2013,NUTS,2010,BE33,2,398.04
2014,NUTS,2010,BE33,2,471.784
2015,NUTS,2010,BE33,2,539.582
2016,NUTS,2010,BE33,2,549.796
2017,NUTS,2010,BE33,2,597.891
2011,NUTS,2010,BE34,2,21.284
2012,NUTS,2010,BE34,2,14.663
2013,NUTS,2010,BE34,2,12.949
2014,NUTS,2010,BE34,2,40.603
2015,NUTS,2010,BE34,2,47.295
2016,NUTS,2010,BE34,2,16.101
2017,NUTS,2010,BE34,2,16.991
2011,NUTS,2010,BE35,2,124.592
2012,NUTS,2010,BE35,2,82.871
2013,NUTS,2010,BE35,2,83.314
2014,NUTS,2010,BE35,2,133.28
2015,NUTS,2010,BE35,2,138.666
2016,NUTS,2010,BE35,2,107.36
2017,NUTS,2010,BE35,2,117.774
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,456.742
2012,NUTS,2010,BG,0,529.085
2013,NUTS,2010,BG,0,553.45
2014,NUTS,2010,BG,0,720.37
2015,NUTS,2010,BG,0,900.812
2016,NUTS,2010,BG,0,764.789
2017,NUTS,2010,BG,0,771.968
2018,NUTS,2010,BG,0,826.59
2019,NUTS,2010,BG,0,967.683
2020,NUTS,2010,BG,0,971.43
2011,NUTS,2010,BG3,1,49.459
2012,NUTS,2010,BG3,1,55.454
2013,NUTS,2010,BG3,1,70.858
2014,NUTS,2010,BG3,1,90.782
2015,NUTS,2010,BG3,1,150.899
2016,NUTS,2010,BG3,1,151.904
2017,NUTS,2010,BG3,1,154.581
2018,NUTS,2010,BG3,1,155.501
2019,NUTS,2010,BG3,1,168.229
2011,NUTS,2010,BG31,2,7.623
2012,NUTS,2010,BG31,2,9.788
2013,NUTS,2010,BG31,2,11.321
2014,NUTS,2010,BG31,2,12.894
2015,NUTS,2010,BG31,2,35.235
2016,NUTS,2010,BG31,2,30.988
2017,NUTS,2010,BG31,2,31.768
2018,NUTS,2010,BG31,2,37.333
2019,NUTS,2010,BG31,2,31.002
2011,NUTS,2010,BG32,2,8.431
2012,NUTS,2010,BG32,2,7.937
2013,NUTS,2010,BG32,2,10.396
2014,NUTS,2010,BG32,2,11.552
2015,NUTS,2010,BG32,2,39.422
2016,NUTS,2010,BG32,2,31.928
2017,NUTS,2010,BG32,2,30.693
2018,NUTS,2010,BG32,2,26.538
2019,NUTS,2010,BG32,2,29.415
2011,NUTS,2010,BG33,2,18.855
2012,NUTS,2010,BG33,2,21.222
2013,NUTS,2010,BG33,2,31.552
2014,NUTS,2010,BG33,2,36.584
2015,NUTS,2010,BG33,2,37.672
2016,NUTS,2010,BG33,2,53.687
2017,NUTS,2010,BG33,2,52.423
2018,NUTS,2010,BG33,2,49.611
2019,NUTS,2010,BG33,2,61.657
2011,NUTS,2010,BG34,2,14.551
2012,NUTS,2010,BG34,2,16.508
2013,NUTS,2010,BG34,2,17.59
2014,NUTS,2010,BG34,2,29.753
2015,NUTS,2010,BG34,2,38.571
2016,NUTS,2010,BG34,2,35.301
2017,NUTS,2010,BG34,2,39.697
2018,NUTS,2010,BG34,2,42.019
2019,NUTS,2010,BG34,2,46.155
2011,NUTS,2010,BG4,1,407.283
2012,NUTS,2010,BG4,1,473.631
2013,NUTS,2010,BG4,1,482.592
2014,NUTS,2010,BG4,1,629.587
2015,NUTS,2010,BG4,1,749.913
2016,NUTS,2010,BG4,1,612.885
2017,NUTS,2010,BG4,1,617.387
2018,NUTS,2010,BG4,1,671.089
2019,NUTS,2010,BG4,1,799.454
2011,NUTS,2010,BG41,2,383.358
2012,NUTS,2010,BG41,2,444.609
2013,NUTS,2010,BG41,2,456.509
2014,NUTS,2010,BG41,2,596.844
2015,NUTS,2010,BG41,2,680.941
2016,NUTS,2010,BG41,2,544.405
2017,NUTS,2010,BG41,2,546.965
2018,NUTS,2010,BG41,2,602.167
2019,NUTS,2010,BG41,2,710.735
2011,NUTS,2010,BG42,2,23.926
2012,NUTS,2010,BG42,2,29.022
2013,NUTS,2010,BG42,2,26.083
2014,NUTS,2010,BG42,2,32.744
2015,NUTS,2010,BG42,2,68.973
2016,NUTS,2010,BG42,2,68.48
2017,NUTS,2010,BG42,2,70.422
2018,NUTS,2010,BG42,2,68.922
2019,NUTS,2010,BG42,2,88.719
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,10093.843
2015,NUTS,2010,CH,0,11961.712
2017,NUTS,2010,CH,0,12169.034
2019,NUTS,2010,CH,0,13224.116
2012,NUTS,2010,CH0,1,10093.843
2015,NUTS,2010,CH0,1,11961.712
2017,NUTS,2010,CH0,1,12169.034
2019,NUTS,2010,CH0,1,13224.116
2011,NUTS,2010,CN_X_HK,5,186917.898
2012,NUTS,2010,CN_X_HK,5,219161.715
2013,NUTS,2010,CN_X_HK,5,244149.004
2014,NUTS,2010,CN_X_HK,5,271515.316
2015,NUTS,2010,CN_X_HK,5,306170.666
2011,NUTS,2010,CY,0,95.906
2012,NUTS,2010,CY,0,89.174
2013,NUTS,2010,CY,0,91.812
2014,NUTS,2010,CY,0,94.362
2015,NUTS,2010,CY,0,92.451
2016,NUTS,2010,CY,0,110.248
2017,NUTS,2010,CY,0,123.02
2018,NUTS,2010,CY,0,147.394
2019,NUTS,2010,CY,0,181.536
2020,NUTS,2010,CY,0,193.45
2011,NUTS,2010,CY0,1,95.906
2012,NUTS,2010,CY0,1,89.174
2013,NUTS,2010,CY0,1,91.812
2014,NUTS,2010,CY0,1,94.362
2015,NUTS,2010,CY0,1,92.451
2016,NUTS,2010,CY0,1,110.248
2017,NUTS,2010,CY0,1,123.02
2018,NUTS,2010,CY0,1,147.394
2019,NUTS,2010,CY0,1,181.536
2020,NUTS,2010,CY0,1,193.45
2011,NUTS,2010,CY00,2,95.906
2012,NUTS,2010,CY00,2,89.174
2013,NUTS,2010,CY00,2,91.812
2014,NUTS,2010,CY00,2,94.362
2015,NUTS,2010,CY00,2,92.451
2016,NUTS,2010,CY00,2,110.248
2017,NUTS,2010,CY00,2,123.02
2018,NUTS,2010,CY00,2,147.394
2019,NUTS,2010,CY00,2,181.536
2020,NUTS,2010,CY00,2,193.45
2011,NUTS,2010,CZ,0,3505.17
2012,NUTS,2010,CZ,0,4019.861
2013,NUTS,2010,CZ,0,4392.912
2014,NUTS,2010,CZ,0,4800.135
2015,NUTS,2010,CZ,0,4926.291
2016,NUTS,2010,CZ,0,4422.915
2017,NUTS,2010,CZ,0,4995.359
2018,NUTS,2010,CZ,0,5632.934
2019,NUTS,2010,CZ,0,5996.607
2020,NUTS,2010,CZ,0,5922.335
2011,NUTS,2010,CZ0,1,3505.17
2012,NUTS,2010,CZ0,1,4019.861
2013,NUTS,2010,CZ0,1,4392.912
2014,NUTS,2010,CZ0,1,4800.135
2015,NUTS,2010,CZ0,1,4926.291
2016,NUTS,2010,CZ0,1,4422.915
2017,NUTS,2010,CZ0,1,4995.359
2018,NUTS,2010,CZ0,1,5632.934
2019,NUTS,2010,CZ0,1,5996.607
2020,NUTS,2010,CZ0,1,5922.335
2011,NUTS,2010,CZ01,2,1281.422
2012,NUTS,2010,CZ01,2,1371.569
2013,NUTS,2010,CZ01,2,1476.358
2014,NUTS,2010,CZ01,2,1660.657
2015,NUTS,2010,CZ01,2,1833.509
2016,NUTS,2010,CZ01,2,1525.587
2017,NUTS,2010,CZ01,2,1770.414
2018,NUTS,2010,CZ01,2,2021.09
2019,NUTS,2010,CZ01,2,2155.061
2020,NUTS,2010,CZ01,2,2269.936
2011,NUTS,2010,CZ02,2,354.694
2012,NUTS,2010,CZ02,2,370.958
2013,NUTS,2010,CZ02,2,548.361
2014,NUTS,2010,CZ02,2,557.195
2015,NUTS,2010,CZ02,2,555.09
2016,NUTS,2010,CZ02,2,617.002
2017,NUTS,2010,CZ02,2,793.47
2018,NUTS,2010,CZ02,2,895.926
2019,NUTS,2010,CZ02,2,900.415
2020,NUTS,2010,CZ02,2,768.848
2011,NUTS,2010,CZ03,2,297.964
2012,NUTS,2010,CZ03,2,350.888
2013,NUTS,2010,CZ03,2,376.212
2014,NUTS,2010,CZ03,2,407.553
2015,NUTS,2010,CZ03,2,404.021
2016,NUTS,2010,CZ03,2,347.452
2017,NUTS,2010,CZ03,2,361.548
2018,NUTS,2010,CZ03,2,427.762
2019,NUTS,2010,CZ03,2,476.306
2020,NUTS,2010,CZ03,2,431.454
2011,NUTS,2010,CZ04,2,54.039
2012,NUTS,2010,CZ04,2,73.786
2013,NUTS,2010,CZ04,2,67.663
2014,NUTS,2010,CZ04,2,77.118
2015,NUTS,2010,CZ04,2,72.187
2016,NUTS,2010,CZ04,2,57.136
2017,NUTS,2010,CZ04,2,61.48
2018,NUTS,2010,CZ04,2,71.271
2019,NUTS,2010,CZ04,2,88.796
2020,NUTS,2010,CZ04,2,86.13
2011,NUTS,2010,CZ05,2,335.8
2012,NUTS,2010,CZ05,2,406.8
2013,NUTS,2010,CZ05,2,391.783
2014,NUTS,2010,CZ05,2,417.125
2015,NUTS,2010,CZ05,2,397.639
2016,NUTS,2010,CZ05,2,386.104
2017,NUTS,2010,CZ05,2,432.256
2018,NUTS,2010,CZ05,2,498.172
2019,NUTS,2010,CZ05,2,523.301
2020,NUTS,2010,CZ05,2,499.81
2011,NUTS,2010,CZ06,2,668.725
2012,NUTS,2010,CZ06,2,864.805
2013,NUTS,2010,CZ06,2,978.74
2014,NUTS,2010,CZ06,2,1044.22
2015,NUTS,2010,CZ06,2,1068.736
2016,NUTS,2010,CZ06,2,904.152
2017,NUTS,2010,CZ06,2,932.321
2018,NUTS,2010,CZ06,2,990.532
2019,NUTS,2010,CZ06,2,1096.846
2020,NUTS,2010,CZ06,2,1140.867
2011,NUTS,2010,CZ07,2,237.463
2012,NUTS,2010,CZ07,2,326.372
2013,NUTS,2010,CZ07,2,299.882
2014,NUTS,2010,CZ07,2,345.513
2015,NUTS,2010,CZ07,2,306.498
2016,NUTS,2010,CZ07,2,301.176
2017,NUTS,2010,CZ07,2,371.547
2018,NUTS,2010,CZ07,2,421.299
2019,NUTS,2010,CZ07,2,457.955
2020,NUTS,2010,CZ07,2,413.287
2011,NUTS,2010,CZ08,2,275.064
2012,NUTS,2010,CZ08,2,254.683
2013,NUTS,2010,CZ08,2,253.916
2014,NUTS,2010,CZ08,2,290.753
2015,NUTS,2010,CZ08,2,288.612
2016,NUTS,2010,CZ08,2,284.305
2017,NUTS,2010,CZ08,2,272.324
2018,NUTS,2010,CZ08,2,306.883
2019,NUTS,2010,CZ08,2,297.927
2020,NUTS,2010,CZ08,2,312.003
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,71419.594
2012,NUTS,2010,DE,0,74233.253
2013,NUTS,2010,DE,0,74236.041
2014,NUTS,2010,DE,0,78500.527
2015,NUTS,2010,DE,0,82023.114
2016,NUTS,2010,DE,0,85038.8
2017,NUTS,2010,DE,0,91788.324
2018,NUTS,2010,DE,0,96522.542
2019,NUTS,2010,DE,0,99651.671
2020,NUTS,2010,DE,0,95823.529
2011,NUTS,2010,DE1,1,18389.938
2013,NUTS,2010,DE1,1,18796.757
2015,NUTS,2010,DE1,1,20988.428
2017,NUTS,2010,DE1,1,25719.458
2019,NUTS,2010,DE1,1,27408.287
2011,NUTS,2010,DE11,2,9761.149
2013,NUTS,2010,DE11,2,9897.228
2015,NUTS,2010,DE11,2,11270.567
2017,NUTS,2010,DE11,2,14677.128
2019,NUTS,2010,DE11,2,14905.507
2011,NUTS,2010,DE12,2,3979.786
2013,NUTS,2010,DE12,2,4207.541
2015,NUTS,2010,DE12,2,4765.998
2017,NUTS,2010,DE12,2,5461.083
2019,NUTS,2010,DE12,2,6186.478
2011,NUTS,2010,DE13,2,1811.724
2013,NUTS,2010,DE13,2,1797.558
2015,NUTS,2010,DE13,2,1922.779
2017,NUTS,2010,DE13,2,2132.904
2019,NUTS,2010,DE13,2,2356.535
2011,NUTS,2010,DE14,2,2837.277
2013,NUTS,2010,DE14,2,2894.337
2015,NUTS,2010,DE14,2,3029.084
2017,NUTS,2010,DE14,2,3448.434
2019,NUTS,2010,DE14,2,3959.768
2011,NUTS,2010,DE2,1,13606.206
2013,NUTS,2010,DE2,1,14825.018
2015,NUTS,2010,DE2,1,16022.579
2017,NUTS,2010,DE2,1,17226.861
2019,NUTS,2010,DE2,1,19643.112
2011,NUTS,2010,DE21,2,8179.89
2013,NUTS,2010,DE21,2,9126.247
2015,NUTS,2010,DE21,2,9745.804
2017,NUTS,2010,DE21,2,9861.403
2019,NUTS,2010,DE21,2,11396.214
2015,NUTS,2010,DE22,2,507.194
2017,NUTS,2010,DE22,2,582.354
2019,NUTS,2010,DE22,2,722.136
2015,NUTS,2010,DE23,2,779.982
2017,NUTS,2010,DE23,2,1046.365
2019,NUTS,2010,DE23,2,1193.28
2011,NUTS,2010,DE24,2,534.537
2013,NUTS,2010,DE24,2,579.604
2015,NUTS,2010,DE24,2,648.761
2017,NUTS,2010,DE24,2,765.961
2019,NUTS,2010,DE24,2,959.732
2011,NUTS,2010,DE25,2,2034.802
2013,NUTS,2010,DE25,2,2268.723
2015,NUTS,2010,DE25,2,2429.738
2017,NUTS,2010,DE25,2,2531.573
2019,NUTS,2010,DE25,2,2775.935
2011,NUTS,2010,DE26,2,949.481
2013,NUTS,2010,DE26,2,985.195
2015,NUTS,2010,DE26,2,930.834
2017,NUTS,2010,DE26,2,1363.9
2019,NUTS,2010,DE26,2,1428.548
2011,NUTS,2010,DE27,2,695.992
2013,NUTS,2010,DE27,2,730.02
2015,NUTS,2010,DE27,2,978.418
2017,NUTS,2010,DE27,2,1075.213
2019,NUTS,2010,DE27,2,1167.268
2011,NUTS,2010,DE3,1,3399.963
2013,NUTS,2010,DE3,1,3731.789
2015,NUTS,2010,DE3,1,4061.737
2017,NUTS,2010,DE3,1,4372.586
2019,NUTS,2010,DE3,1,4729.246
2011,NUTS,2010,DE30,2,3399.963
2013,NUTS,2010,DE30,2,3731.789
2015,NUTS,2010,DE30,2,4061.737
2017,NUTS,2010,DE30,2,4372.586
2019,NUTS,2010,DE30,2,4729.246
2011,NUTS,2010,DE4,1,898.339
2013,NUTS,2010,DE4,1,868.701
2015,NUTS,2010,DE4,1,1006.274
2017,NUTS,2010,DE4,1,1099.366
2019,NUTS,2010,DE4,1,1227.815
2011,NUTS,2010,DE40,2,898.339
2013,NUTS,2010,DE40,2,868.701
2015,NUTS,2010,DE40,2,1006.274
2017,NUTS,2010,DE40,2,1099.366
2019,NUTS,2010,DE40,2,1227.815
2011,NUTS,2010,DE5,1,709.101
2013,NUTS,2010,DE5,1,736.653
2015,NUTS,2010,DE5,1,799.68
2017,NUTS,2010,DE5,1,836.607
2019,NUTS,2010,DE5,1,910.144
2011,NUTS,2010,DE50,2,709.101
2013,NUTS,2010,DE50,2,736.653
2015,NUTS,2010,DE50,2,799.68
2017,NUTS,2010,DE50,2,836.607
2019,NUTS,2010,DE50,2,910.144
2011,NUTS,2010,DE6,1,1979.969
2013,NUTS,2010,DE6,1,2144.899
2015,NUTS,2010,DE6,1,2234.151
2017,NUTS,2010,DE6,1,2301.141
2019,NUTS,2010,DE6,1,2440.422
2011,NUTS,2010,DE60,2,1979.969
2013,NUTS,2010,DE60,2,2154.209
2015,NUTS,2010,DE60,2,2234.151
2017,NUTS,2010,DE60,2,2301.141
2019,NUTS,2010,DE60,2,2440.422
2011,NUTS,2010,DE7,1,6449.972
2013,NUTS,2010,DE7,1,6383.827
2015,NUTS,2010,DE7,1,6832.804
2017,NUTS,2010,DE7,1,7536.876
2019,NUTS,2010,DE7,1,8256.834
2011,NUTS,2010,DE71,2,5244.146
2013,NUTS,2010,DE71,2,5037.182
2015,NUTS,2010,DE71,2,5462.527
2017,NUTS,2010,DE71,2,6049.339
2019,NUTS,2010,DE71,2,6660.411
2011,NUTS,2010,DE72,2,606.538
2013,NUTS,2010,DE72,2,685.568
2015,NUTS,2010,DE72,2,766.297
2017,NUTS,2010,DE72,2,830.787
2019,NUTS,2010,DE72,2,755.91
2011,NUTS,2010,DE73,2,599.383
2013,NUTS,2010,DE73,2,661.077
2015,NUTS,2010,DE73,2,603.056
2017,NUTS,2010,DE73,2,656.75
2019,NUTS,2010,DE73,2,840.504
2011,NUTS,2010,DE8,1,700.821
2013,NUTS,2010,DE8,1,634.329
2015,NUTS,2010,DE8,1,694.745
2017,NUTS,2010,DE8,1,722.854
2019,NUTS,2010,DE8,1,765.338
2011,NUTS,2010,DE80,2,700.821
2013,NUTS,2010,DE80,2,634.329
2015,NUTS,2010,DE80,2,694.745
2017,NUTS,2010,DE80,2,722.854
2019,NUTS,2010,DE80,2,765.338
2011,NUTS,2010,DE9,1,6106.307
2013,NUTS,2010,DE9,1,6517.657
2015,NUTS,2010,DE9,1,8190.779
2017,NUTS,2010,DE9,1,8225.395
2019,NUTS,2010,DE9,1,8720.261
2011,NUTS,2010,DE91,2,3830.925
2013,NUTS,2010,DE91,2,4078.062
2015,NUTS,2010,DE91,2,5454.607
2017,NUTS,2010,DE91,2,5417.639
2019,NUTS,2010,DE91,2,5641.563
2011,NUTS,2010,DE92,2,1422.205
2013,NUTS,2010,DE92,2,1495.23
2015,NUTS,2010,DE92,2,1642.834
2017,NUTS,2010,DE92,2,1670.832
2019,NUTS,2010,DE92,2,1845.974
2011,NUTS,2010,DE93,2,352.177
2013,NUTS,2010,DE93,2,400.753
2015,NUTS,2010,DE93,2,395.805
2017,NUTS,2010,DE93,2,392.699
2019,NUTS,2010,DE93,2,385.146
2011,NUTS,2010,DE94,2,501.0
2013,NUTS,2010,DE94,2,543.611
2015,NUTS,2010,DE94,2,696.609
2017,NUTS,2010,DE94,2,744.226
2019,NUTS,2010,DE94,2,847.577
2011,NUTS,2010,DEA,1,10902.573
2013,NUTS,2010,DEA,1,10931.429
2015,NUTS,2010,DEA,1,11707.976
2017,NUTS,2010,DEA,1,13202.296
2019,NUTS,2010,DEA,1,14046.989
2011,NUTS,2010,DEA1,2,3166.528
2013,NUTS,2010,DEA1,2,2962.082
2015,NUTS,2010,DEA1,2,3274.593
2017,NUTS,2010,DEA1,2,3800.071
2019,NUTS,2010,DEA1,2,4001.739
2011,NUTS,2010,DEA2,2,4442.674
2013,NUTS,2010,DEA2,2,4337.486
2015,NUTS,2010,DEA2,2,4576.213
2017,NUTS,2010,DEA2,2,5092.908
2019,NUTS,2010,DEA2,2,5366.905
2011,NUTS,2010,DEA3,2,723.279
2013,NUTS,2010,DEA3,2,767.231
2015,NUTS,2010,DEA3,2,837.961
2017,NUTS,2010,DEA3,2,962.229
2019,NUTS,2010,DEA3,2,1106.947
2011,NUTS,2010,DEA4,2,1091.973
2013,NUTS,2010,DEA4,2,1214.605
2015,NUTS,2010,DEA4,2,1242.588
2017,NUTS,2010,DEA4,2,1379.115
