year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_total_rse_fte
2004,NUTS,2010,AT33,2,517.0
2006,NUTS,2010,AT33,2,559.0
2007,NUTS,2010,AT33,2,648.0
2009,NUTS,2010,AT33,2,767.0
2011,NUTS,2010,AT33,2,776.0
2013,NUTS,2010,AT33,2,920.0
2015,NUTS,2010,AT33,2,1006.0
2017,NUTS,2010,AT33,2,1209.0
2019,NUTS,2010,AT33,2,1147.0
2002,NUTS,2010,AT34,2,40.0
2004,NUTS,2010,AT34,2,61.0
2006,NUTS,2010,AT34,2,41.0
2007,NUTS,2010,AT34,2,52.0
2009,NUTS,2010,AT34,2,70.0
2011,NUTS,2010,AT34,2,72.0
2013,NUTS,2010,AT34,2,116.0
2015,NUTS,2010,AT34,2,120.0
2017,NUTS,2010,AT34,2,156.0
2019,NUTS,2010,AT34,2,168.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,196.0
2013,NUTS,2010,BA,0,302.0
2014,NUTS,2010,BA,0,507.0
2019,NUTS,2010,BA,0,779.0
2000,NUTS,2010,BE,0,7786.0
2001,NUTS,2010,BE,0,8254.0
2002,NUTS,2010,BE,0,8316.0
2003,NUTS,2010,BE,0,8585.0
2004,NUTS,2010,BE,0,9287.0
2005,NUTS,2010,BE,0,9769.0
2006,NUTS,2010,BE,0,10586.0
2007,NUTS,2010,BE,0,11150.0
2008,NUTS,2010,BE,0,11732.0
2009,NUTS,2010,BE,0,12064.0
2010,NUTS,2010,BE,0,12962.0
2011,NUTS,2010,BE,0,13545.0
2010,NUTS,2010,BE1,1,832.0
2011,NUTS,2010,BE1,1,831.0
2010,NUTS,2010,BE10,2,832.0
2011,NUTS,2010,BE10,2,831.0
2010,NUTS,2010,BE2,1,3363.0
2011,NUTS,2010,BE2,1,3565.0
2010,NUTS,2010,BE21,2,1441.0
2011,NUTS,2010,BE21,2,1493.0
2010,NUTS,2010,BE22,2,94.0
2011,NUTS,2010,BE22,2,101.0
2010,NUTS,2010,BE23,2,699.0
2011,NUTS,2010,BE23,2,736.0
2010,NUTS,2010,BE24,2,1012.0
2011,NUTS,2010,BE24,2,1086.0
2010,NUTS,2010,BE25,2,117.0
2011,NUTS,2010,BE25,2,149.0
2010,NUTS,2010,BE3,1,1153.0
2011,NUTS,2010,BE3,1,1303.0
2010,NUTS,2010,BE31,2,592.0
2011,NUTS,2010,BE31,2,697.0
2010,NUTS,2010,BE32,2,322.0
2011,NUTS,2010,BE32,2,346.0
2010,NUTS,2010,BE33,2,128.0
2011,NUTS,2010,BE33,2,134.0
2010,NUTS,2010,BE34,2,26.0
2011,NUTS,2010,BE34,2,28.0
2010,NUTS,2010,BE35,2,84.0
2011,NUTS,2010,BE35,2,97.0
1993,NUTS,2010,BG,0,12120.0
1994,NUTS,2010,BG,0,5220.0
1995,NUTS,2010,BG,0,5723.0
1996,NUTS,2010,BG,0,6114.0
1997,NUTS,2010,BG,0,5431.0
1998,NUTS,2010,BG,0,5321.0
1999,NUTS,2010,BG,0,4656.0
2000,NUTS,2010,BG,0,4354.0
2001,NUTS,2010,BG,0,4247.0
2002,NUTS,2010,BG,0,4353.0
2003,NUTS,2010,BG,0,4535.0
2004,NUTS,2010,BG,0,4642.0
2005,NUTS,2010,BG,0,4673.0
2006,NUTS,2010,BG,0,4690.0
2007,NUTS,2010,BG,0,5350.0
2008,NUTS,2010,BG,0,5462.0
2009,NUTS,2010,BG,0,5796.0
2010,NUTS,2010,BG,0,5506.0
2011,NUTS,2010,BG,0,5940.0
2012,NUTS,2010,BG,0,5606.0
2013,NUTS,2010,BG,0,6196.0
2014,NUTS,2010,BG,0,6571.0
2015,NUTS,2010,BG,0,6818.0
2016,NUTS,2010,BG,0,7780.0
2017,NUTS,2010,BG,0,7003.0
2018,NUTS,2010,BG,0,7343.0
2019,NUTS,2010,BG,0,7619.0
2002,NUTS,2010,BG3,1,675.0
2003,NUTS,2010,BG3,1,789.0
2004,NUTS,2010,BG3,1,851.0
2005,NUTS,2010,BG3,1,780.0
2006,NUTS,2010,BG3,1,879.0
2007,NUTS,2010,BG3,1,1007.0
2008,NUTS,2010,BG3,1,1114.0
2009,NUTS,2010,BG3,1,1252.0
2010,NUTS,2010,BG3,1,1105.0
2011,NUTS,2010,BG3,1,1092.0
2012,NUTS,2010,BG3,1,1225.0
2013,NUTS,2010,BG3,1,1334.0
2014,NUTS,2010,BG3,1,1520.0
2015,NUTS,2010,BG3,1,1741.0
2016,NUTS,2010,BG3,1,1571.0
2017,NUTS,2010,BG3,1,1603.0
2018,NUTS,2010,BG3,1,1798.0
2019,NUTS,2010,BG3,1,1906.0
2002,NUTS,2010,BG31,2,84.0
2003,NUTS,2010,BG31,2,104.0
2004,NUTS,2010,BG31,2,128.0
2005,NUTS,2010,BG31,2,125.0
2006,NUTS,2010,BG31,2,133.0
2007,NUTS,2010,BG31,2,165.0
2008,NUTS,2010,BG31,2,148.0
2009,NUTS,2010,BG31,2,108.0
2010,NUTS,2010,BG31,2,140.0
2011,NUTS,2010,BG31,2,110.0
2012,NUTS,2010,BG31,2,176.0
2013,NUTS,2010,BG31,2,185.0
2014,NUTS,2010,BG31,2,158.0
2015,NUTS,2010,BG31,2,233.0
2016,NUTS,2010,BG31,2,261.0
2017,NUTS,2010,BG31,2,256.0
2018,NUTS,2010,BG31,2,290.0
2019,NUTS,2010,BG31,2,310.0
2002,NUTS,2010,BG32,2,166.0
2003,NUTS,2010,BG32,2,125.0
2004,NUTS,2010,BG32,2,176.0
2005,NUTS,2010,BG32,2,187.0
2006,NUTS,2010,BG32,2,198.0
2007,NUTS,2010,BG32,2,244.0
2008,NUTS,2010,BG32,2,256.0
2009,NUTS,2010,BG32,2,234.0
2010,NUTS,2010,BG32,2,214.0
2011,NUTS,2010,BG32,2,251.0
2012,NUTS,2010,BG32,2,266.0
2013,NUTS,2010,BG32,2,319.0
2014,NUTS,2010,BG32,2,467.0
2015,NUTS,2010,BG32,2,463.0
2016,NUTS,2010,BG32,2,356.0
2017,NUTS,2010,BG32,2,402.0
2018,NUTS,2010,BG32,2,464.0
2019,NUTS,2010,BG32,2,418.0
2002,NUTS,2010,BG33,2,220.0
2003,NUTS,2010,BG33,2,290.0
2004,NUTS,2010,BG33,2,302.0
2005,NUTS,2010,BG33,2,278.0
2006,NUTS,2010,BG33,2,309.0
2007,NUTS,2010,BG33,2,281.0
2008,NUTS,2010,BG33,2,328.0
2009,NUTS,2010,BG33,2,452.0
2010,NUTS,2010,BG33,2,427.0
2011,NUTS,2010,BG33,2,455.0
2012,NUTS,2010,BG33,2,512.0
2013,NUTS,2010,BG33,2,531.0
2014,NUTS,2010,BG33,2,618.0
2015,NUTS,2010,BG33,2,695.0
2016,NUTS,2010,BG33,2,650.0
2017,NUTS,2010,BG33,2,634.0
2018,NUTS,2010,BG33,2,718.0
2019,NUTS,2010,BG33,2,780.0
2002,NUTS,2010,BG34,2,205.0
2003,NUTS,2010,BG34,2,270.0
2004,NUTS,2010,BG34,2,245.0
2005,NUTS,2010,BG34,2,190.0
2006,NUTS,2010,BG34,2,239.0
2007,NUTS,2010,BG34,2,317.0
2008,NUTS,2010,BG34,2,382.0
2009,NUTS,2010,BG34,2,458.0
2010,NUTS,2010,BG34,2,324.0
2011,NUTS,2010,BG34,2,276.0
2012,NUTS,2010,BG34,2,271.0
2013,NUTS,2010,BG34,2,299.0
2014,NUTS,2010,BG34,2,277.0
2015,NUTS,2010,BG34,2,350.0
2016,NUTS,2010,BG34,2,304.0
2017,NUTS,2010,BG34,2,311.0
2018,NUTS,2010,BG34,2,326.0
2019,NUTS,2010,BG34,2,398.0
2002,NUTS,2010,BG4,1,3678.0
2003,NUTS,2010,BG4,1,3746.0
2004,NUTS,2010,BG4,1,3791.0
2005,NUTS,2010,BG4,1,3893.0
2006,NUTS,2010,BG4,1,3811.0
2007,NUTS,2010,BG4,1,4343.0
2008,NUTS,2010,BG4,1,4348.0
2009,NUTS,2010,BG4,1,4544.0
2010,NUTS,2010,BG4,1,4401.0
2011,NUTS,2010,BG4,1,4848.0
2012,NUTS,2010,BG4,1,4381.0
2013,NUTS,2010,BG4,1,4862.0
2014,NUTS,2010,BG4,1,5051.0
2015,NUTS,2010,BG4,1,5077.0
2016,NUTS,2010,BG4,1,6209.0
2017,NUTS,2010,BG4,1,5400.0
2018,NUTS,2010,BG4,1,5545.0
2019,NUTS,2010,BG4,1,5713.0
1999,NUTS,2010,BG41,2,3784.0
2000,NUTS,2010,BG41,2,3586.0
2002,NUTS,2010,BG41,2,3511.0
2003,NUTS,2010,BG41,2,3517.0
2004,NUTS,2010,BG41,2,3523.0
2005,NUTS,2010,BG41,2,3619.0
2006,NUTS,2010,BG41,2,3498.0
2007,NUTS,2010,BG41,2,3825.0
2008,NUTS,2010,BG41,2,3769.0
2009,NUTS,2010,BG41,2,4065.0
2010,NUTS,2010,BG41,2,3835.0
2011,NUTS,2010,BG41,2,4270.0
2012,NUTS,2010,BG41,2,3984.0
2013,NUTS,2010,BG41,2,4366.0
2014,NUTS,2010,BG41,2,4601.0
2015,NUTS,2010,BG41,2,4570.0
2016,NUTS,2010,BG41,2,5695.0
2017,NUTS,2010,BG41,2,4777.0
2018,NUTS,2010,BG41,2,4836.0
2019,NUTS,2010,BG41,2,4916.0
2002,NUTS,2010,BG42,2,167.0
2003,NUTS,2010,BG42,2,229.0
2004,NUTS,2010,BG42,2,268.0
2005,NUTS,2010,BG42,2,274.0
2006,NUTS,2010,BG42,2,313.0
2007,NUTS,2010,BG42,2,518.0
2008,NUTS,2010,BG42,2,579.0
2009,NUTS,2010,BG42,2,479.0
2010,NUTS,2010,BG42,2,566.0
2011,NUTS,2010,BG42,2,578.0
2012,NUTS,2010,BG42,2,397.0
2013,NUTS,2010,BG42,2,496.0
2014,NUTS,2010,BG42,2,450.0
2015,NUTS,2010,BG42,2,507.0
2016,NUTS,2010,BG42,2,514.0
2017,NUTS,2010,BG42,2,623.0
2018,NUTS,2010,BG42,2,709.0
2019,NUTS,2010,BG42,2,797.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1998,NUTS,2010,CY,0,69.0
1999,NUTS,2010,CY,0,81.0
2000,NUTS,2010,CY,0,91.0
2001,NUTS,2010,CY,0,105.0
2002,NUTS,2010,CY,0,137.0
2003,NUTS,2010,CY,0,157.0
2004,NUTS,2010,CY,0,197.0
2005,NUTS,2010,CY,0,239.0
2006,NUTS,2010,CY,0,254.0
2007,NUTS,2010,CY,0,272.0
2008,NUTS,2010,CY,0,281.0
2009,NUTS,2010,CY,0,328.0
2010,NUTS,2010,CY,0,337.0
2011,NUTS,2010,CY,0,343.0
2012,NUTS,2010,CY,0,331.0
2013,NUTS,2010,CY,0,341.0
2014,NUTS,2010,CY,0,348.0
2015,NUTS,2010,CY,0,328.0
2016,NUTS,2010,CY,0,332.0
2017,NUTS,2010,CY,0,393.0
2018,NUTS,2010,CY,0,447.0
2019,NUTS,2010,CY,0,533.0
2000,NUTS,2010,CZ,0,3551.0
2001,NUTS,2010,CZ,0,3853.0
2002,NUTS,2010,CZ,0,3917.0
2003,NUTS,2010,CZ,0,4121.0
2004,NUTS,2010,CZ,0,4052.0
2005,NUTS,2010,CZ,0,6349.0
2006,NUTS,2010,CZ,0,6652.0
2007,NUTS,2010,CZ,0,7093.0
2008,NUTS,2010,CZ,0,7559.0
2009,NUTS,2010,CZ,0,7490.0
2010,NUTS,2010,CZ,0,7429.0
2011,NUTS,2010,CZ,0,7696.0
2012,NUTS,2010,CZ,0,8212.0
2013,NUTS,2010,CZ,0,8401.0
2014,NUTS,2010,CZ,0,8701.0
2015,NUTS,2010,CZ,0,8923.0
2016,NUTS,2010,CZ,0,8610.0
2017,NUTS,2010,CZ,0,9060.0
2018,NUTS,2010,CZ,0,9543.0
2019,NUTS,2010,CZ,0,10154.0
2020,NUTS,2010,CZ,0,10665.0
2000,NUTS,2010,CZ0,1,3551.0
2001,NUTS,2010,CZ0,1,3853.0
2002,NUTS,2010,CZ0,1,3917.0
2003,NUTS,2010,CZ0,1,4121.0
2004,NUTS,2010,CZ0,1,4052.0
2005,NUTS,2010,CZ0,1,6349.0
2006,NUTS,2010,CZ0,1,6652.0
2007,NUTS,2010,CZ0,1,7093.0
2008,NUTS,2010,CZ0,1,7559.0
2009,NUTS,2010,CZ0,1,7490.0
2010,NUTS,2010,CZ0,1,7429.0
2011,NUTS,2010,CZ0,1,7696.0
2012,NUTS,2010,CZ0,1,8212.0
2013,NUTS,2010,CZ0,1,8401.0
2014,NUTS,2010,CZ0,1,8701.0
2015,NUTS,2010,CZ0,1,8923.0
2016,NUTS,2010,CZ0,1,8610.0
2017,NUTS,2010,CZ0,1,9060.0
2018,NUTS,2010,CZ0,1,9543.0
2019,NUTS,2010,CZ0,1,10154.0
2020,NUTS,2010,CZ0,1,10665.0
2001,NUTS,2010,CZ01,2,2126.0
2002,NUTS,2010,CZ01,2,2122.0
2003,NUTS,2010,CZ01,2,2313.0
2004,NUTS,2010,CZ01,2,2160.0
2005,NUTS,2010,CZ01,2,3259.0
2006,NUTS,2010,CZ01,2,3336.0
2007,NUTS,2010,CZ01,2,3747.0
2008,NUTS,2010,CZ01,2,3791.0
2009,NUTS,2010,CZ01,2,3701.0
2010,NUTS,2010,CZ01,2,3658.0
2011,NUTS,2010,CZ01,2,3785.0
2012,NUTS,2010,CZ01,2,3775.0
2013,NUTS,2010,CZ01,2,4089.0
2014,NUTS,2010,CZ01,2,3977.0
2015,NUTS,2010,CZ01,2,3995.0
2016,NUTS,2010,CZ01,2,3916.0
2017,NUTS,2010,CZ01,2,4246.0
2018,NUTS,2010,CZ01,2,4432.0
2019,NUTS,2010,CZ01,2,4665.0
2020,NUTS,2010,CZ01,2,4760.0
2001,NUTS,2010,CZ02,2,276.0
2002,NUTS,2010,CZ02,2,374.0
2003,NUTS,2010,CZ02,2,386.0
2004,NUTS,2010,CZ02,2,346.0
2005,NUTS,2010,CZ02,2,446.0
2006,NUTS,2010,CZ02,2,482.0
2007,NUTS,2010,CZ02,2,473.0
2008,NUTS,2010,CZ02,2,594.0
2009,NUTS,2010,CZ02,2,584.0
2010,NUTS,2010,CZ02,2,496.0
2011,NUTS,2010,CZ02,2,579.0
2012,NUTS,2010,CZ02,2,570.0
2013,NUTS,2010,CZ02,2,527.0
2014,NUTS,2010,CZ02,2,498.0
2015,NUTS,2010,CZ02,2,653.0
2016,NUTS,2010,CZ02,2,533.0
2017,NUTS,2010,CZ02,2,586.0
2018,NUTS,2010,CZ02,2,662.0
2019,NUTS,2010,CZ02,2,701.0
2020,NUTS,2010,CZ02,2,729.0
2001,NUTS,2010,CZ03,2,301.0
2002,NUTS,2010,CZ03,2,278.0
2003,NUTS,2010,CZ03,2,211.0
2004,NUTS,2010,CZ03,2,186.0
2005,NUTS,2010,CZ03,2,356.0
2006,NUTS,2010,CZ03,2,349.0
2007,NUTS,2010,CZ03,2,374.0
2008,NUTS,2010,CZ03,2,364.0
2009,NUTS,2010,CZ03,2,391.0
2010,NUTS,2010,CZ03,2,382.0
2011,NUTS,2010,CZ03,2,416.0
2012,NUTS,2010,CZ03,2,382.0
2013,NUTS,2010,CZ03,2,460.0
2014,NUTS,2010,CZ03,2,574.0
2015,NUTS,2010,CZ03,2,533.0
2016,NUTS,2010,CZ03,2,564.0
2017,NUTS,2010,CZ03,2,570.0
2018,NUTS,2010,CZ03,2,619.0
2019,NUTS,2010,CZ03,2,686.0
2020,NUTS,2010,CZ03,2,741.0
2001,NUTS,2010,CZ04,2,114.0
2002,NUTS,2010,CZ04,2,74.0
2003,NUTS,2010,CZ04,2,74.0
2004,NUTS,2010,CZ04,2,83.0
2005,NUTS,2010,CZ04,2,97.0
2006,NUTS,2010,CZ04,2,126.0
2007,NUTS,2010,CZ04,2,116.0
2008,NUTS,2010,CZ04,2,124.0
2009,NUTS,2010,CZ04,2,129.0
2010,NUTS,2010,CZ04,2,124.0
2011,NUTS,2010,CZ04,2,119.0
2012,NUTS,2010,CZ04,2,136.0
2013,NUTS,2010,CZ04,2,180.0
2014,NUTS,2010,CZ04,2,155.0
2015,NUTS,2010,CZ04,2,162.0
2016,NUTS,2010,CZ04,2,159.0
2017,NUTS,2010,CZ04,2,196.0
2018,NUTS,2010,CZ04,2,232.0
2019,NUTS,2010,CZ04,2,178.0
2020,NUTS,2010,CZ04,2,170.0
2001,NUTS,2010,CZ05,2,184.0
2002,NUTS,2010,CZ05,2,218.0
2003,NUTS,2010,CZ05,2,219.0
2004,NUTS,2010,CZ05,2,317.0
2005,NUTS,2010,CZ05,2,452.0
2006,NUTS,2010,CZ05,2,561.0
2007,NUTS,2010,CZ05,2,535.0
2008,NUTS,2010,CZ05,2,470.0
2009,NUTS,2010,CZ05,2,465.0
2010,NUTS,2010,CZ05,2,478.0
2011,NUTS,2010,CZ05,2,625.0
2012,NUTS,2010,CZ05,2,637.0
2013,NUTS,2010,CZ05,2,670.0
2014,NUTS,2010,CZ05,2,658.0
2015,NUTS,2010,CZ05,2,692.0
2016,NUTS,2010,CZ05,2,664.0
2017,NUTS,2010,CZ05,2,759.0
2018,NUTS,2010,CZ05,2,750.0
2019,NUTS,2010,CZ05,2,771.0
2020,NUTS,2010,CZ05,2,833.0
2001,NUTS,2010,CZ06,2,476.0
2002,NUTS,2010,CZ06,2,470.0
2003,NUTS,2010,CZ06,2,543.0
2004,NUTS,2010,CZ06,2,576.0
2005,NUTS,2010,CZ06,2,1012.0
2006,NUTS,2010,CZ06,2,1013.0
2007,NUTS,2010,CZ06,2,1093.0
2008,NUTS,2010,CZ06,2,1413.0
2009,NUTS,2010,CZ06,2,1350.0
2010,NUTS,2010,CZ06,2,1401.0
2011,NUTS,2010,CZ06,2,1242.0
2012,NUTS,2010,CZ06,2,1439.0
2013,NUTS,2010,CZ06,2,1384.0
2014,NUTS,2010,CZ06,2,1654.0
2015,NUTS,2010,CZ06,2,1599.0
2016,NUTS,2010,CZ06,2,1570.0
2017,NUTS,2010,CZ06,2,1553.0
2018,NUTS,2010,CZ06,2,1612.0
2019,NUTS,2010,CZ06,2,1710.0
2020,NUTS,2010,CZ06,2,1923.0
2001,NUTS,2010,CZ07,2,176.0
2002,NUTS,2010,CZ07,2,130.0
2003,NUTS,2010,CZ07,2,174.0
2004,NUTS,2010,CZ07,2,195.0
2005,NUTS,2010,CZ07,2,441.0
2006,NUTS,2010,CZ07,2,456.0
2007,NUTS,2010,CZ07,2,379.0
2008,NUTS,2010,CZ07,2,388.0
2009,NUTS,2010,CZ07,2,383.0
2010,NUTS,2010,CZ07,2,439.0
2011,NUTS,2010,CZ07,2,470.0
2012,NUTS,2010,CZ07,2,593.0
2013,NUTS,2010,CZ07,2,699.0
2014,NUTS,2010,CZ07,2,747.0
2015,NUTS,2010,CZ07,2,827.0
2016,NUTS,2010,CZ07,2,746.0
2017,NUTS,2010,CZ07,2,612.0
2018,NUTS,2010,CZ07,2,660.0
2019,NUTS,2010,CZ07,2,838.0
2020,NUTS,2010,CZ07,2,849.0
2001,NUTS,2010,CZ08,2,200.0
2002,NUTS,2010,CZ08,2,251.0
2003,NUTS,2010,CZ08,2,201.0
2004,NUTS,2010,CZ08,2,190.0
2005,NUTS,2010,CZ08,2,287.0
2006,NUTS,2010,CZ08,2,328.0
2007,NUTS,2010,CZ08,2,376.0
2008,NUTS,2010,CZ08,2,414.0
2009,NUTS,2010,CZ08,2,487.0
2010,NUTS,2010,CZ08,2,451.0
2011,NUTS,2010,CZ08,2,462.0
2012,NUTS,2010,CZ08,2,679.0
2013,NUTS,2010,CZ08,2,393.0
2014,NUTS,2010,CZ08,2,438.0
2015,NUTS,2010,CZ08,2,462.0
2016,NUTS,2010,CZ08,2,458.0
2017,NUTS,2010,CZ08,2,537.0
2018,NUTS,2010,CZ08,2,575.0
2019,NUTS,2010,CZ08,2,604.0
2020,NUTS,2010,CZ08,2,660.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
1997,NUTS,2010,DE,0,42779.0
1999,NUTS,2010,DE,0,36341.0
2001,NUTS,2010,DE,0,42588.0
2003,NUTS,2010,DE,0,43855.0
2005,NUTS,2010,DE,0,47666.0
2007,NUTS,2010,DE,0,54241.0
2009,NUTS,2010,DE,0,65258.0
2011,NUTS,2010,DE,0,74766.0
2013,NUTS,2010,DE,0,80353.0
2015,NUTS,2010,DE,0,87756.0
2017,NUTS,2010,DE,0,94750.0
2019,NUTS,2010,DE,0,102453.0
1999,NUTS,2010,DK,0,4986.0
2001,NUTS,2010,DK,0,5559.0
2002,NUTS,2010,DK,0,6802.0
2003,NUTS,2010,DK,0,6926.0
2005,NUTS,2010,DK,0,8113.0
2007,NUTS,2010,DK,0,8843.0
