year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_ht_nr
1995,NUTS,2010,AT1,1,49.4
1996,NUTS,2010,AT1,1,51.63
1997,NUTS,2010,AT1,1,41.41
1998,NUTS,2010,AT1,1,55.9
1999,NUTS,2010,AT1,1,86.61
2000,NUTS,2010,AT1,1,80.62
2001,NUTS,2010,AT1,1,117.39
2002,NUTS,2010,AT1,1,124.66
2003,NUTS,2010,AT1,1,145.28
2004,NUTS,2010,AT1,1,120.6
2005,NUTS,2010,AT1,1,151.65
2006,NUTS,2010,AT1,1,188.67
2007,NUTS,2010,AT1,1,193.22
2008,NUTS,2010,AT1,1,92.2
2009,NUTS,2010,AT1,1,70.27
2010,NUTS,2010,AT1,1,72.81
2011,NUTS,2010,AT1,1,90.09
2012,NUTS,2010,AT1,1,74.83
1985,NUTS,2010,AT11,2,0.5
1986,NUTS,2010,AT11,2,1.0
1992,NUTS,2010,AT11,2,0.5
1994,NUTS,2010,AT11,2,0.33
1996,NUTS,2010,AT11,2,0.56
1997,NUTS,2010,AT11,2,1.25
1998,NUTS,2010,AT11,2,0.2
1999,NUTS,2010,AT11,2,2.0
2000,NUTS,2010,AT11,2,2.19
2001,NUTS,2010,AT11,2,1.33
2002,NUTS,2010,AT11,2,1.08
2003,NUTS,2010,AT11,2,3.75
2004,NUTS,2010,AT11,2,2.78
2005,NUTS,2010,AT11,2,0.63
2006,NUTS,2010,AT11,2,3.21
2007,NUTS,2010,AT11,2,4.5
2008,NUTS,2010,AT11,2,2.87
2009,NUTS,2010,AT11,2,5.83
2010,NUTS,2010,AT11,2,3.45
2011,NUTS,2010,AT11,2,3.17
2012,NUTS,2010,AT11,2,3.0
2004,NUTS,2010,AT111,3,1.0
2009,NUTS,2010,AT111,3,1.0
1985,NUTS,2010,AT112,3,0.5
1986,NUTS,2010,AT112,3,1.0
1994,NUTS,2010,AT112,3,0.33
1996,NUTS,2010,AT112,3,0.17
1997,NUTS,2010,AT112,3,1.25
1998,NUTS,2010,AT112,3,0.2
1999,NUTS,2010,AT112,3,2.0
2000,NUTS,2010,AT112,3,0.5
2001,NUTS,2010,AT112,3,0.58
2002,NUTS,2010,AT112,3,1.08
2003,NUTS,2010,AT112,3,2.75
2004,NUTS,2010,AT112,3,0.25
2005,NUTS,2010,AT112,3,0.63
2006,NUTS,2010,AT112,3,0.46
2007,NUTS,2010,AT112,3,1.5
2009,NUTS,2010,AT112,3,3.58
2010,NUTS,2010,AT112,3,0.75
2011,NUTS,2010,AT112,3,2.0
2012,NUTS,2010,AT112,3,0.5
1992,NUTS,2010,AT113,3,0.5
1996,NUTS,2010,AT113,3,0.39
2000,NUTS,2010,AT113,3,1.69
2001,NUTS,2010,AT113,3,0.75
2003,NUTS,2010,AT113,3,1.0
2004,NUTS,2010,AT113,3,1.53
2006,NUTS,2010,AT113,3,2.75
2007,NUTS,2010,AT113,3,3.0
2008,NUTS,2010,AT113,3,2.87
2009,NUTS,2010,AT113,3,1.25
2010,NUTS,2010,AT113,3,2.7
2011,NUTS,2010,AT113,3,1.17
2012,NUTS,2010,AT113,3,2.5
1978,NUTS,2010,AT12,2,0.5
1979,NUTS,2010,AT12,2,1.17
1980,NUTS,2010,AT12,2,1.5
1981,NUTS,2010,AT12,2,0.5
1982,NUTS,2010,AT12,2,3.92
1983,NUTS,2010,AT12,2,0.83
1984,NUTS,2010,AT12,2,6.14
1985,NUTS,2010,AT12,2,9.62
1986,NUTS,2010,AT12,2,6.63
1987,NUTS,2010,AT12,2,9.03
1988,NUTS,2010,AT12,2,4.9
1989,NUTS,2010,AT12,2,6.55
1990,NUTS,2010,AT12,2,10.61
1991,NUTS,2010,AT12,2,8.73
1992,NUTS,2010,AT12,2,7.78
1993,NUTS,2010,AT12,2,6.86
1994,NUTS,2010,AT12,2,14.41
1995,NUTS,2010,AT12,2,13.36
1996,NUTS,2010,AT12,2,15.0
1997,NUTS,2010,AT12,2,12.39
1998,NUTS,2010,AT12,2,16.21
1999,NUTS,2010,AT12,2,25.33
2000,NUTS,2010,AT12,2,25.96
2001,NUTS,2010,AT12,2,35.43
2002,NUTS,2010,AT12,2,32.06
2003,NUTS,2010,AT12,2,25.42
2004,NUTS,2010,AT12,2,14.12
2005,NUTS,2010,AT12,2,29.09
2006,NUTS,2010,AT12,2,32.13
2007,NUTS,2010,AT12,2,26.78
2008,NUTS,2010,AT12,2,24.0
2009,NUTS,2010,AT12,2,23.17
2010,NUTS,2010,AT12,2,20.93
2011,NUTS,2010,AT12,2,30.93
2012,NUTS,2010,AT12,2,28.73
1980,NUTS,2010,AT121,3,1.0
1986,NUTS,2010,AT121,3,1.0
1988,NUTS,2010,AT121,3,1.0
1990,NUTS,2010,AT121,3,2.0
1995,NUTS,2010,AT121,3,2.17
1996,NUTS,2010,AT121,3,1.55
1997,NUTS,2010,AT121,3,1.2
1999,NUTS,2010,AT121,3,0.43
2000,NUTS,2010,AT121,3,0.5
2001,NUTS,2010,AT121,3,0.83
2003,NUTS,2010,AT121,3,2.4
2004,NUTS,2010,AT121,3,0.67
2005,NUTS,2010,AT121,3,0.84
2006,NUTS,2010,AT121,3,3.76
2007,NUTS,2010,AT121,3,0.41
2008,NUTS,2010,AT121,3,1.2
2009,NUTS,2010,AT121,3,4.0
2010,NUTS,2010,AT121,3,1.25
2011,NUTS,2010,AT121,3,3.83
2012,NUTS,2010,AT121,3,0.5
1981,NUTS,2010,AT122,3,0.25
1982,NUTS,2010,AT122,3,0.33
1983,NUTS,2010,AT122,3,0.33
1984,NUTS,2010,AT122,3,2.44
1985,NUTS,2010,AT122,3,1.33
1987,NUTS,2010,AT122,3,1.92
1988,NUTS,2010,AT122,3,0.14
1990,NUTS,2010,AT122,3,0.58
1991,NUTS,2010,AT122,3,1.08
1992,NUTS,2010,AT122,3,2.0
1993,NUTS,2010,AT122,3,0.79
1994,NUTS,2010,AT122,3,1.13
1995,NUTS,2010,AT122,3,1.0
1996,NUTS,2010,AT122,3,0.5
1997,NUTS,2010,AT122,3,1.56
1998,NUTS,2010,AT122,3,1.5
1999,NUTS,2010,AT122,3,1.33
2000,NUTS,2010,AT122,3,1.81
2001,NUTS,2010,AT122,3,3.01
2002,NUTS,2010,AT122,3,1.63
2003,NUTS,2010,AT122,3,0.88
2004,NUTS,2010,AT122,3,3.12
2005,NUTS,2010,AT122,3,4.17
2006,NUTS,2010,AT122,3,1.75
2007,NUTS,2010,AT122,3,2.03
2008,NUTS,2010,AT122,3,1.75
2009,NUTS,2010,AT122,3,1.87
2010,NUTS,2010,AT122,3,1.25
2011,NUTS,2010,AT122,3,2.0
2012,NUTS,2010,AT122,3,3.75
1979,NUTS,2010,AT123,3,0.33
1985,NUTS,2010,AT123,3,1.5
1986,NUTS,2010,AT123,3,1.0
1987,NUTS,2010,AT123,3,2.88
1988,NUTS,2010,AT123,3,1.0
1989,NUTS,2010,AT123,3,1.0
1990,NUTS,2010,AT123,3,2.5
1991,NUTS,2010,AT123,3,0.46
1993,NUTS,2010,AT123,3,0.2
1994,NUTS,2010,AT123,3,0.67
1995,NUTS,2010,AT123,3,2.0
1997,NUTS,2010,AT123,3,0.33
1999,NUTS,2010,AT123,3,1.62
2000,NUTS,2010,AT123,3,1.33
2001,NUTS,2010,AT123,3,1.65
2002,NUTS,2010,AT123,3,1.0
2003,NUTS,2010,AT123,3,0.5
2004,NUTS,2010,AT123,3,1.0
2005,NUTS,2010,AT123,3,2.42
2006,NUTS,2010,AT123,3,2.14
2007,NUTS,2010,AT123,3,1.95
2008,NUTS,2010,AT123,3,1.82
2009,NUTS,2010,AT123,3,0.33
2010,NUTS,2010,AT123,3,0.25
2011,NUTS,2010,AT123,3,3.67
2012,NUTS,2010,AT123,3,0.25
1985,NUTS,2010,AT124,3,1.0
1987,NUTS,2010,AT124,3,0.5
1990,NUTS,2010,AT124,3,1.0
1992,NUTS,2010,AT124,3,0.2
1993,NUTS,2010,AT124,3,0.5
1995,NUTS,2010,AT124,3,1.0
1996,NUTS,2010,AT124,3,1.75
1998,NUTS,2010,AT124,3,3.0
2000,NUTS,2010,AT124,3,2.0
2001,NUTS,2010,AT124,3,6.67
2002,NUTS,2010,AT124,3,1.58
2003,NUTS,2010,AT124,3,1.0
2005,NUTS,2010,AT124,3,0.79
2006,NUTS,2010,AT124,3,2.25
2007,NUTS,2010,AT124,3,1.46
2008,NUTS,2010,AT124,3,1.75
2009,NUTS,2010,AT124,3,0.96
2010,NUTS,2010,AT124,3,2.25
2011,NUTS,2010,AT124,3,0.53
2012,NUTS,2010,AT124,3,1.33
1993,NUTS,2010,AT125,3,0.2
1994,NUTS,2010,AT125,3,0.11
1995,NUTS,2010,AT125,3,0.83
1996,NUTS,2010,AT125,3,0.33
1997,NUTS,2010,AT125,3,0.25
1998,NUTS,2010,AT125,3,0.5
1999,NUTS,2010,AT125,3,0.33
2000,NUTS,2010,AT125,3,1.5
2001,NUTS,2010,AT125,3,0.33
2002,NUTS,2010,AT125,3,1.92
2003,NUTS,2010,AT125,3,1.4
2004,NUTS,2010,AT125,3,0.92
2005,NUTS,2010,AT125,3,2.58
2006,NUTS,2010,AT125,3,2.53
2007,NUTS,2010,AT125,3,3.48
2008,NUTS,2010,AT125,3,1.51
2009,NUTS,2010,AT125,3,0.33
2010,NUTS,2010,AT125,3,1.63
2011,NUTS,2010,AT125,3,1.33
2012,NUTS,2010,AT125,3,0.25
1978,NUTS,2010,AT126,3,0.5
1979,NUTS,2010,AT126,3,0.33
1980,NUTS,2010,AT126,3,0.5
1982,NUTS,2010,AT126,3,0.25
1985,NUTS,2010,AT126,3,0.89
1986,NUTS,2010,AT126,3,1.98
1987,NUTS,2010,AT126,3,1.31
1988,NUTS,2010,AT126,3,1.67
1989,NUTS,2010,AT126,3,3.53
1990,NUTS,2010,AT126,3,1.17
1991,NUTS,2010,AT126,3,4.07
1992,NUTS,2010,AT126,3,0.75
1993,NUTS,2010,AT126,3,2.53
1994,NUTS,2010,AT126,3,6.83
1995,NUTS,2010,AT126,3,2.99
1996,NUTS,2010,AT126,3,6.24
1997,NUTS,2010,AT126,3,8.15
1998,NUTS,2010,AT126,3,6.73
1999,NUTS,2010,AT126,3,10.56
2000,NUTS,2010,AT126,3,6.52
2001,NUTS,2010,AT126,3,14.75
2002,NUTS,2010,AT126,3,11.58
2003,NUTS,2010,AT126,3,12.66
2004,NUTS,2010,AT126,3,3.78
2005,NUTS,2010,AT126,3,8.24
2006,NUTS,2010,AT126,3,7.45
2007,NUTS,2010,AT126,3,10.39
2008,NUTS,2010,AT126,3,11.5
2009,NUTS,2010,AT126,3,6.7
2010,NUTS,2010,AT126,3,6.79
2011,NUTS,2010,AT126,3,9.71
2012,NUTS,2010,AT126,3,13.57
1979,NUTS,2010,AT127,3,0.5
1981,NUTS,2010,AT127,3,0.25
1982,NUTS,2010,AT127,3,3.33
1983,NUTS,2010,AT127,3,0.5
1984,NUTS,2010,AT127,3,3.69
1985,NUTS,2010,AT127,3,4.89
1986,NUTS,2010,AT127,3,2.65
1987,NUTS,2010,AT127,3,2.43
1988,NUTS,2010,AT127,3,1.09
1989,NUTS,2010,AT127,3,2.02
1990,NUTS,2010,AT127,3,3.37
1991,NUTS,2010,AT127,3,3.13
1992,NUTS,2010,AT127,3,4.83
1993,NUTS,2010,AT127,3,2.64
1994,NUTS,2010,AT127,3,5.68
1995,NUTS,2010,AT127,3,3.37
1996,NUTS,2010,AT127,3,4.63
1997,NUTS,2010,AT127,3,0.9
1998,NUTS,2010,AT127,3,4.49
1999,NUTS,2010,AT127,3,11.05
2000,NUTS,2010,AT127,3,12.3
2001,NUTS,2010,AT127,3,8.18
2002,NUTS,2010,AT127,3,14.36
2003,NUTS,2010,AT127,3,6.58
2004,NUTS,2010,AT127,3,4.63
2005,NUTS,2010,AT127,3,10.04
2006,NUTS,2010,AT127,3,12.24
2007,NUTS,2010,AT127,3,7.06
2008,NUTS,2010,AT127,3,4.47
2009,NUTS,2010,AT127,3,8.98
2010,NUTS,2010,AT127,3,7.5
2011,NUTS,2010,AT127,3,9.86
2012,NUTS,2010,AT127,3,9.08
1977,NUTS,2010,AT13,2,1.0
1978,NUTS,2010,AT13,2,1.5
1979,NUTS,2010,AT13,2,3.83
1980,NUTS,2010,AT13,2,2.5
1981,NUTS,2010,AT13,2,5.67
1982,NUTS,2010,AT13,2,5.07
1983,NUTS,2010,AT13,2,8.67
1984,NUTS,2010,AT13,2,18.88
1985,NUTS,2010,AT13,2,12.62
1986,NUTS,2010,AT13,2,13.44
1987,NUTS,2010,AT13,2,19.69
1988,NUTS,2010,AT13,2,15.95
1989,NUTS,2010,AT13,2,22.24
1990,NUTS,2010,AT13,2,28.03
1991,NUTS,2010,AT13,2,32.8
1992,NUTS,2010,AT13,2,26.0
1993,NUTS,2010,AT13,2,22.56
1994,NUTS,2010,AT13,2,40.35
1995,NUTS,2010,AT13,2,36.04
1996,NUTS,2010,AT13,2,36.07
1997,NUTS,2010,AT13,2,27.77
1998,NUTS,2010,AT13,2,39.49
1999,NUTS,2010,AT13,2,59.29
2000,NUTS,2010,AT13,2,52.47
2001,NUTS,2010,AT13,2,80.62
2002,NUTS,2010,AT13,2,91.51
2003,NUTS,2010,AT13,2,116.11
2004,NUTS,2010,AT13,2,103.7
2005,NUTS,2010,AT13,2,121.93
2006,NUTS,2010,AT13,2,153.34
2007,NUTS,2010,AT13,2,161.94
2008,NUTS,2010,AT13,2,65.33
2009,NUTS,2010,AT13,2,41.27
2010,NUTS,2010,AT13,2,48.44
2011,NUTS,2010,AT13,2,55.99
2012,NUTS,2010,AT13,2,43.11
1977,NUTS,2010,AT130,3,1.0
1978,NUTS,2010,AT130,3,1.5
1979,NUTS,2010,AT130,3,3.83
1980,NUTS,2010,AT130,3,2.5
1981,NUTS,2010,AT130,3,5.67
1982,NUTS,2010,AT130,3,5.07
1983,NUTS,2010,AT130,3,8.67
1984,NUTS,2010,AT130,3,18.88
1985,NUTS,2010,AT130,3,12.62
1986,NUTS,2010,AT130,3,13.44
1987,NUTS,2010,AT130,3,19.69
1988,NUTS,2010,AT130,3,15.95
1989,NUTS,2010,AT130,3,22.24
1990,NUTS,2010,AT130,3,28.03
1991,NUTS,2010,AT130,3,32.8
1992,NUTS,2010,AT130,3,26.0
1993,NUTS,2010,AT130,3,22.56
1994,NUTS,2010,AT130,3,40.35
1995,NUTS,2010,AT130,3,36.04
1996,NUTS,2010,AT130,3,36.07
1997,NUTS,2010,AT130,3,27.77
1998,NUTS,2010,AT130,3,39.49
1999,NUTS,2010,AT130,3,59.29
2000,NUTS,2010,AT130,3,52.47
2001,NUTS,2010,AT130,3,80.62
2002,NUTS,2010,AT130,3,91.51
2003,NUTS,2010,AT130,3,116.11
2004,NUTS,2010,AT130,3,103.7
2005,NUTS,2010,AT130,3,121.93
2006,NUTS,2010,AT130,3,153.34
2007,NUTS,2010,AT130,3,161.94
2008,NUTS,2010,AT130,3,65.33
2009,NUTS,2010,AT130,3,41.27
2010,NUTS,2010,AT130,3,48.44
2011,NUTS,2010,AT130,3,55.99
2012,NUTS,2010,AT130,3,43.11
1981,NUTS,2010,AT2,1,1.4
1982,NUTS,2010,AT2,1,2.0
1983,NUTS,2010,AT2,1,8.5
1984,NUTS,2010,AT2,1,4.83
1985,NUTS,2010,AT2,1,6.67
1986,NUTS,2010,AT2,1,2.17
1987,NUTS,2010,AT2,1,5.25
1988,NUTS,2010,AT2,1,9.97
1989,NUTS,2010,AT2,1,6.5
1990,NUTS,2010,AT2,1,5.0
1991,NUTS,2010,AT2,1,3.53
1992,NUTS,2010,AT2,1,5.78
1993,NUTS,2010,AT2,1,11.25
1994,NUTS,2010,AT2,1,11.74
1995,NUTS,2010,AT2,1,15.71
1996,NUTS,2010,AT2,1,13.08
1997,NUTS,2010,AT2,1,23.08
1998,NUTS,2010,AT2,1,20.69
1999,NUTS,2010,AT2,1,33.52
2000,NUTS,2010,AT2,1,33.39
2001,NUTS,2010,AT2,1,31.95
2002,NUTS,2010,AT2,1,65.88
2003,NUTS,2010,AT2,1,40.43
2004,NUTS,2010,AT2,1,43.05
2005,NUTS,2010,AT2,1,38.1
2006,NUTS,2010,AT2,1,61.4
2007,NUTS,2010,AT2,1,45.05
2008,NUTS,2010,AT2,1,43.4
2009,NUTS,2010,AT2,1,61.93
2010,NUTS,2010,AT2,1,33.62
2011,NUTS,2010,AT2,1,43.48
2012,NUTS,2010,AT2,1,53.98
1983,NUTS,2010,AT21,2,2.0
1984,NUTS,2010,AT21,2,1.83
1985,NUTS,2010,AT21,2,2.33
1986,NUTS,2010,AT21,2,1.17
1987,NUTS,2010,AT21,2,2.25
1988,NUTS,2010,AT21,2,4.58
1989,NUTS,2010,AT21,2,2.0
1990,NUTS,2010,AT21,2,1.17
1991,NUTS,2010,AT21,2,1.53
1992,NUTS,2010,AT21,2,1.33
1993,NUTS,2010,AT21,2,5.0
1994,NUTS,2010,AT21,2,6.47
1995,NUTS,2010,AT21,2,8.58
1996,NUTS,2010,AT21,2,6.13
1997,NUTS,2010,AT21,2,16.33
1998,NUTS,2010,AT21,2,13.77
1999,NUTS,2010,AT21,2,22.77
2000,NUTS,2010,AT21,2,11.0
2001,NUTS,2010,AT21,2,10.58
2002,NUTS,2010,AT21,2,30.1
2003,NUTS,2010,AT21,2,16.42
2004,NUTS,2010,AT21,2,10.35
2005,NUTS,2010,AT21,2,13.18
2006,NUTS,2010,AT21,2,9.17
2007,NUTS,2010,AT21,2,13.52
2008,NUTS,2010,AT21,2,3.02
2009,NUTS,2010,AT21,2,21.12
2010,NUTS,2010,AT21,2,4.33
2011,NUTS,2010,AT21,2,4.71
2012,NUTS,2010,AT21,2,7.45
1983,NUTS,2010,AT211,3,2.0
1984,NUTS,2010,AT211,3,1.83
1985,NUTS,2010,AT211,3,2.33
1986,NUTS,2010,AT211,3,1.17
1987,NUTS,2010,AT211,3,2.25
1988,NUTS,2010,AT211,3,4.58
1989,NUTS,2010,AT211,3,2.0
1990,NUTS,2010,AT211,3,1.17
1991,NUTS,2010,AT211,3,1.03
1992,NUTS,2010,AT211,3,1.33
1993,NUTS,2010,AT211,3,5.0
1994,NUTS,2010,AT211,3,5.6
1995,NUTS,2010,AT211,3,8.33
1996,NUTS,2010,AT211,3,6.13
1997,NUTS,2010,AT211,3,14.5
1998,NUTS,2010,AT211,3,9.77
1999,NUTS,2010,AT211,3,21.02
2000,NUTS,2010,AT211,3,10.0
2001,NUTS,2010,AT211,3,9.08
2002,NUTS,2010,AT211,3,26.1
2003,NUTS,2010,AT211,3,12.6
2004,NUTS,2010,AT211,3,8.15
2005,NUTS,2010,AT211,3,10.95
2006,NUTS,2010,AT211,3,6.67
2007,NUTS,2010,AT211,3,12.07
2008,NUTS,2010,AT211,3,1.52
2009,NUTS,2010,AT211,3,17.12
2010,NUTS,2010,AT211,3,4.33
2011,NUTS,2010,AT211,3,3.23
2012,NUTS,2010,AT211,3,6.2
1991,NUTS,2010,AT212,3,0.5
1994,NUTS,2010,AT212,3,0.87
1997,NUTS,2010,AT212,3,1.83
1998,NUTS,2010,AT212,3,4.0
1999,NUTS,2010,AT212,3,1.5
2000,NUTS,2010,AT212,3,1.0
2001,NUTS,2010,AT212,3,1.5
2002,NUTS,2010,AT212,3,1.25
2003,NUTS,2010,AT212,3,1.42
2004,NUTS,2010,AT212,3,1.2
2005,NUTS,2010,AT212,3,2.23
2006,NUTS,2010,AT212,3,1.5
2007,NUTS,2010,AT212,3,1.12
2008,NUTS,2010,AT212,3,1.5
2009,NUTS,2010,AT212,3,2.17
2011,NUTS,2010,AT212,3,1.0
2012,NUTS,2010,AT212,3,1.0
1995,NUTS,2010,AT213,3,0.25
1999,NUTS,2010,AT213,3,0.25
2002,NUTS,2010,AT213,3,2.75
2003,NUTS,2010,AT213,3,2.4
2004,NUTS,2010,AT213,3,1.0
2006,NUTS,2010,AT213,3,1.0
2007,NUTS,2010,AT213,3,0.33
2009,NUTS,2010,AT213,3,1.83
2011,NUTS,2010,AT213,3,0.47
2012,NUTS,2010,AT213,3,0.25
1981,NUTS,2010,AT22,2,1.4
1982,NUTS,2010,AT22,2,2.0
1983,NUTS,2010,AT22,2,6.5
1984,NUTS,2010,AT22,2,3.0
1985,NUTS,2010,AT22,2,4.33
1986,NUTS,2010,AT22,2,1.0
1987,NUTS,2010,AT22,2,3.0
1988,NUTS,2010,AT22,2,5.38
1989,NUTS,2010,AT22,2,4.5
1990,NUTS,2010,AT22,2,3.83
1991,NUTS,2010,AT22,2,2.0
1992,NUTS,2010,AT22,2,4.45
1993,NUTS,2010,AT22,2,6.25
1994,NUTS,2010,AT22,2,5.28
1995,NUTS,2010,AT22,2,7.12
1996,NUTS,2010,AT22,2,6.95
1997,NUTS,2010,AT22,2,6.75
1998,NUTS,2010,AT22,2,6.92
1999,NUTS,2010,AT22,2,10.75
2000,NUTS,2010,AT22,2,22.39
2001,NUTS,2010,AT22,2,21.37
2002,NUTS,2010,AT22,2,35.78
2003,NUTS,2010,AT22,2,24.02
2004,NUTS,2010,AT22,2,32.7
2005,NUTS,2010,AT22,2,24.92
2006,NUTS,2010,AT22,2,52.23
2007,NUTS,2010,AT22,2,31.53
2008,NUTS,2010,AT22,2,40.38
2009,NUTS,2010,AT22,2,40.81
2010,NUTS,2010,AT22,2,29.29
2011,NUTS,2010,AT22,2,38.78
2012,NUTS,2010,AT22,2,46.53
1981,NUTS,2010,AT221,3,1.4
1982,NUTS,2010,AT221,3,2.0
1983,NUTS,2010,AT221,3,3.0
1984,NUTS,2010,AT221,3,2.5
1985,NUTS,2010,AT221,3,2.08
1986,NUTS,2010,AT221,3,1.0
1987,NUTS,2010,AT221,3,2.13
1988,NUTS,2010,AT221,3,4.55
1989,NUTS,2010,AT221,3,4.5
1990,NUTS,2010,AT221,3,3.83
1991,NUTS,2010,AT221,3,2.0
1992,NUTS,2010,AT221,3,3.95
1993,NUTS,2010,AT221,3,5.05
1994,NUTS,2010,AT221,3,4.17
1995,NUTS,2010,AT221,3,6.62
1996,NUTS,2010,AT221,3,3.39
1997,NUTS,2010,AT221,3,5.33
1998,NUTS,2010,AT221,3,6.16
1999,NUTS,2010,AT221,3,8.88
2000,NUTS,2010,AT221,3,20.76
2001,NUTS,2010,AT221,3,13.95
2002,NUTS,2010,AT221,3,23.66
2003,NUTS,2010,AT221,3,19.85
2004,NUTS,2010,AT221,3,22.87
2005,NUTS,2010,AT221,3,16.67
2006,NUTS,2010,AT221,3,29.27
2007,NUTS,2010,AT221,3,21.81
2008,NUTS,2010,AT221,3,19.57
2009,NUTS,2010,AT221,3,30.6
2010,NUTS,2010,AT221,3,18.03
2011,NUTS,2010,AT221,3,32.12
2012,NUTS,2010,AT221,3,37.96
1996,NUTS,2010,AT222,3,1.0
2004,NUTS,2010,AT222,3,1.0
2008,NUTS,2010,AT222,3,0.14
2009,NUTS,2010,AT222,3,0.14
2011,NUTS,2010,AT222,3,0.72
1983,NUTS,2010,AT223,3,3.0
1985,NUTS,2010,AT223,3,1.67
1993,NUTS,2010,AT223,3,0.2
1994,NUTS,2010,AT223,3,0.11
1997,NUTS,2010,AT223,3,0.11
1998,NUTS,2010,AT223,3,0.29
1999,NUTS,2010,AT223,3,0.48
2000,NUTS,2010,AT223,3,0.5
2001,NUTS,2010,AT223,3,0.68
2003,NUTS,2010,AT223,3,0.2
2004,NUTS,2010,AT223,3,0.5
2005,NUTS,2010,AT223,3,0.33
2006,NUTS,2010,AT223,3,2.5
2007,NUTS,2010,AT223,3,0.72
2008,NUTS,2010,AT223,3,3.27
2009,NUTS,2010,AT223,3,1.17
2010,NUTS,2010,AT223,3,1.13
2011,NUTS,2010,AT223,3,0.5
2012,NUTS,2010,AT223,3,1.03
1984,NUTS,2010,AT224,3,0.5
1985,NUTS,2010,AT224,3,0.33
1992,NUTS,2010,AT224,3,0.5
1995,NUTS,2010,AT224,3,0.5
1996,NUTS,2010,AT224,3,1.0
1997,NUTS,2010,AT224,3,0.2
2000,NUTS,2010,AT224,3,0.13
2001,NUTS,2010,AT224,3,2.43
2002,NUTS,2010,AT224,3,2.92
2003,NUTS,2010,AT224,3,0.45
2004,NUTS,2010,AT224,3,0.64
2005,NUTS,2010,AT224,3,2.83
2006,NUTS,2010,AT224,3,4.96
2007,NUTS,2010,AT224,3,1.25
2008,NUTS,2010,AT224,3,3.83
2009,NUTS,2010,AT224,3,0.33
2010,NUTS,2010,AT224,3,1.0
2011,NUTS,2010,AT224,3,0.6
2012,NUTS,2010,AT224,3,1.6
1983,NUTS,2010,AT225,3,0.5
1985,NUTS,2010,AT225,3,0.25
1987,NUTS,2010,AT225,3,0.87
1988,NUTS,2010,AT225,3,0.83
1993,NUTS,2010,AT225,3,1.0
1994,NUTS,2010,AT225,3,1.0
1996,NUTS,2010,AT225,3,1.17
1997,NUTS,2010,AT225,3,1.11
1998,NUTS,2010,AT225,3,0.48
1999,NUTS,2010,AT225,3,1.39
2000,NUTS,2010,AT225,3,1.0
2001,NUTS,2010,AT225,3,4.31
2002,NUTS,2010,AT225,3,8.75
2003,NUTS,2010,AT225,3,3.35
2004,NUTS,2010,AT225,3,7.68
2005,NUTS,2010,AT225,3,5.08
2006,NUTS,2010,AT225,3,14.0
2007,NUTS,2010,AT225,3,7.75
2008,NUTS,2010,AT225,3,12.47
2009,NUTS,2010,AT225,3,8.07
2010,NUTS,2010,AT225,3,7.29
2011,NUTS,2010,AT225,3,4.83
2012,NUTS,2010,AT225,3,5.94
