year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_hc_hes_total
2006,NUTS,2010,AT31,2,745.0
2007,NUTS,2010,AT31,2,756.0
2009,NUTS,2010,AT31,2,870.0
2011,NUTS,2010,AT31,2,1087.0
2013,NUTS,2010,AT31,2,1106.0
2015,NUTS,2010,AT31,2,1262.0
2017,NUTS,2010,AT31,2,1286.0
2019,NUTS,2010,AT31,2,1389.0
2006,NUTS,2010,AT32,2,735.0
2007,NUTS,2010,AT32,2,785.0
2009,NUTS,2010,AT32,2,928.0
2011,NUTS,2010,AT32,2,1083.0
2013,NUTS,2010,AT32,2,1236.0
2015,NUTS,2010,AT32,2,1394.0
2017,NUTS,2010,AT32,2,1532.0
2019,NUTS,2010,AT32,2,1611.0
2002,NUTS,2010,AT33,2,1268.0
2004,NUTS,2010,AT33,2,1633.0
2006,NUTS,2010,AT33,2,1909.0
2007,NUTS,2010,AT33,2,2172.0
2009,NUTS,2010,AT33,2,2283.0
2011,NUTS,2010,AT33,2,2516.0
2013,NUTS,2010,AT33,2,2703.0
2015,NUTS,2010,AT33,2,2739.0
2017,NUTS,2010,AT33,2,2877.0
2019,NUTS,2010,AT33,2,3166.0
2011,NUTS,2010,AT34,2,17.0
2013,NUTS,2010,AT34,2,34.0
2019,NUTS,2010,AT34,2,63.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,380.0
2013,NUTS,2010,BA,0,579.0
2014,NUTS,2010,BA,0,1228.0
2019,NUTS,2010,BA,0,1201.0
2002,NUTS,2010,BE,0,12855.0
2003,NUTS,2010,BE,0,13148.0
2004,NUTS,2010,BE,0,14433.0
2005,NUTS,2010,BE,0,15077.0
2006,NUTS,2010,BE,0,16104.0
2007,NUTS,2010,BE,0,16746.0
2008,NUTS,2010,BE,0,17648.0
2009,NUTS,2010,BE,0,18408.0
2010,NUTS,2010,BE,0,18771.0
2011,NUTS,2010,BE,0,19314.0
2012,NUTS,2010,BE,0,19435.0
2013,NUTS,2010,BE,0,19821.0
2014,NUTS,2010,BE,0,21547.0
2015,NUTS,2010,BE,0,21380.0
2016,NUTS,2010,BE,0,21972.0
2017,NUTS,2010,BE,0,22135.0
2018,NUTS,2010,BE,0,24187.0
2019,NUTS,2010,BE,0,24289.0
2012,NUTS,2010,BE1,1,3890.0
2013,NUTS,2010,BE1,1,3916.0
2014,NUTS,2010,BE1,1,4398.0
2015,NUTS,2010,BE1,1,4073.0
2016,NUTS,2010,BE1,1,4164.0
2017,NUTS,2010,BE1,1,4098.0
2018,NUTS,2010,BE1,1,4861.0
2019,NUTS,2010,BE1,1,4660.0
2012,NUTS,2010,BE10,2,3890.0
2013,NUTS,2010,BE10,2,3916.0
2014,NUTS,2010,BE10,2,4398.0
2015,NUTS,2010,BE10,2,4073.0
2016,NUTS,2010,BE10,2,4164.0
2017,NUTS,2010,BE10,2,4098.0
2018,NUTS,2010,BE10,2,4861.0
2019,NUTS,2010,BE10,2,4660.0
2012,NUTS,2010,BE2,1,11161.0
2013,NUTS,2010,BE2,1,11563.0
2014,NUTS,2010,BE2,1,12469.0
2015,NUTS,2010,BE2,1,12753.0
2016,NUTS,2010,BE2,1,12865.0
2017,NUTS,2010,BE2,1,12933.0
2018,NUTS,2010,BE2,1,13705.0
2019,NUTS,2010,BE2,1,14015.0
2012,NUTS,2010,BE3,1,4384.0
2013,NUTS,2010,BE3,1,4342.0
2014,NUTS,2010,BE3,1,4680.0
2015,NUTS,2010,BE3,1,4554.0
2016,NUTS,2010,BE3,1,4943.0
2017,NUTS,2010,BE3,1,5104.0
2018,NUTS,2010,BE3,1,5621.0
2019,NUTS,2010,BE3,1,5614.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1993,NUTS,2010,BG,0,11473.0
1994,NUTS,2010,BG,0,5546.0
1995,NUTS,2010,BG,0,5609.0
1996,NUTS,2010,BG,0,5132.0
1997,NUTS,2010,BG,0,2023.0
1998,NUTS,2010,BG,0,1654.0
1999,NUTS,2010,BG,0,1545.0
2000,NUTS,2010,BG,0,1168.0
2001,NUTS,2010,BG,0,1317.0
2002,NUTS,2010,BG,0,1515.0
2003,NUTS,2010,BG,0,1595.0
2004,NUTS,2010,BG,0,1757.0
2005,NUTS,2010,BG,0,1967.0
2006,NUTS,2010,BG,0,1994.0
2007,NUTS,2010,BG,0,2550.0
2008,NUTS,2010,BG,0,2733.0
2009,NUTS,2010,BG,0,3653.0
2010,NUTS,2010,BG,0,3615.0
2011,NUTS,2010,BG,0,3903.0
2012,NUTS,2010,BG,0,4011.0
2013,NUTS,2010,BG,0,4088.0
2014,NUTS,2010,BG,0,4858.0
2015,NUTS,2010,BG,0,4894.0
2016,NUTS,2010,BG,0,5254.0
2017,NUTS,2010,BG,0,4915.0
2018,NUTS,2010,BG,0,5265.0
2019,NUTS,2010,BG,0,5178.0
2003,NUTS,2010,BG3,1,737.0
2004,NUTS,2010,BG3,1,815.0
2005,NUTS,2010,BG3,1,1018.0
2006,NUTS,2010,BG3,1,1054.0
2007,NUTS,2010,BG3,1,1216.0
2009,NUTS,2010,BG3,1,1549.0
2010,NUTS,2010,BG3,1,1469.0
2011,NUTS,2010,BG3,1,1505.0
2013,NUTS,2010,BG3,1,1840.0
2014,NUTS,2010,BG3,1,2297.0
2015,NUTS,2010,BG3,1,2391.0
2016,NUTS,2010,BG3,1,2117.0
2017,NUTS,2010,BG3,1,2165.0
2018,NUTS,2010,BG3,1,2287.0
2019,NUTS,2010,BG3,1,2300.0
2003,NUTS,2010,BG32,2,115.0
2004,NUTS,2010,BG32,2,156.0
2005,NUTS,2010,BG32,2,267.0
2008,NUTS,2010,BG32,2,363.0
2009,NUTS,2010,BG32,2,403.0
2010,NUTS,2010,BG32,2,402.0
2011,NUTS,2010,BG32,2,485.0
2012,NUTS,2010,BG32,2,483.0
2013,NUTS,2010,BG32,2,502.0
2014,NUTS,2010,BG32,2,621.0
2015,NUTS,2010,BG32,2,672.0
2016,NUTS,2010,BG32,2,509.0
2017,NUTS,2010,BG32,2,547.0
2018,NUTS,2010,BG32,2,559.0
2019,NUTS,2010,BG32,2,473.0
2006,NUTS,2010,BG33,2,339.0
2007,NUTS,2010,BG33,2,392.0
2008,NUTS,2010,BG33,2,401.0
2009,NUTS,2010,BG33,2,582.0
2011,NUTS,2010,BG33,2,577.0
2012,NUTS,2010,BG33,2,642.0
2013,NUTS,2010,BG33,2,760.0
2014,NUTS,2010,BG33,2,1097.0
2003,NUTS,2010,BG34,2,261.0
2004,NUTS,2010,BG34,2,268.0
2005,NUTS,2010,BG34,2,374.0
2006,NUTS,2010,BG34,2,355.0
2007,NUTS,2010,BG34,2,418.0
2010,NUTS,2010,BG34,2,429.0
2012,NUTS,2010,BG34,2,497.0
2016,NUTS,2010,BG34,2,471.0
2017,NUTS,2010,BG34,2,437.0
2003,NUTS,2010,BG4,1,858.0
2004,NUTS,2010,BG4,1,942.0
2005,NUTS,2010,BG4,1,949.0
2006,NUTS,2010,BG4,1,940.0
2007,NUTS,2010,BG4,1,1334.0
2009,NUTS,2010,BG4,1,2104.0
2010,NUTS,2010,BG4,1,2146.0
2011,NUTS,2010,BG4,1,2398.0
2013,NUTS,2010,BG4,1,2248.0
2014,NUTS,2010,BG4,1,2561.0
2015,NUTS,2010,BG4,1,2503.0
2016,NUTS,2010,BG4,1,3137.0
2017,NUTS,2010,BG4,1,2750.0
2018,NUTS,2010,BG4,1,2978.0
2019,NUTS,2010,BG4,1,2878.0
1999,NUTS,2010,BG41,2,497.0
2000,NUTS,2010,BG41,2,556.0
2003,NUTS,2010,BG41,2,579.0
2004,NUTS,2010,BG41,2,628.0
2005,NUTS,2010,BG41,2,672.0
2008,NUTS,2010,BG41,2,1090.0
2009,NUTS,2010,BG41,2,1663.0
2012,NUTS,2010,BG41,2,1847.0
2013,NUTS,2010,BG41,2,1767.0
2014,NUTS,2010,BG41,2,1943.0
2016,NUTS,2010,BG41,2,2558.0
2017,NUTS,2010,BG41,2,1994.0
2018,NUTS,2010,BG41,2,2184.0
2019,NUTS,2010,BG41,2,1810.0
2003,NUTS,2010,BG42,2,279.0
2004,NUTS,2010,BG42,2,314.0
2005,NUTS,2010,BG42,2,277.0
2009,NUTS,2010,BG42,2,441.0
2013,NUTS,2010,BG42,2,481.0
2014,NUTS,2010,BG42,2,618.0
2016,NUTS,2010,BG42,2,579.0
2017,NUTS,2010,BG42,2,756.0
2018,NUTS,2010,BG42,2,794.0
2019,NUTS,2010,BG42,2,1068.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1996,NUTS,2010,CH,0,13065.0
2000,NUTS,2010,CH,0,15580.0
2002,NUTS,2010,CH,0,15800.0
2004,NUTS,2010,CH,0,17040.0
2006,NUTS,2010,CH,0,18875.0
2008,NUTS,2010,CH,0,21729.0
2010,NUTS,2010,CH,0,25168.0
2012,NUTS,2010,CH,0,27514.0
2015,NUTS,2010,CH,0,28672.0
2017,NUTS,2010,CH,0,29975.0
2019,NUTS,2010,CH,0,32326.0
2009,NUTS,2010,CN_X_HK,5,164706.0
2010,NUTS,2010,CN_X_HK,5,208732.0
2011,NUTS,2010,CN_X_HK,5,230197.0
2012,NUTS,2010,CN_X_HK,5,254407.0
2013,NUTS,2010,CN_X_HK,5,277034.0
2014,NUTS,2010,CN_X_HK,5,305306.0
2015,NUTS,2010,CN_X_HK,5,347313.0
2016,NUTS,2010,CN_X_HK,5,358727.0
2017,NUTS,2010,CN_X_HK,5,392795.0
2018,NUTS,2010,CN_X_HK,5,428250.0
2019,NUTS,2010,CN_X_HK,5,462421.0
1998,NUTS,2010,CY,0,94.0
1999,NUTS,2010,CY,0,98.0
2000,NUTS,2010,CY,0,107.0
2001,NUTS,2010,CY,0,125.0
2002,NUTS,2010,CY,0,161.0
2003,NUTS,2010,CY,0,199.0
2004,NUTS,2010,CY,0,263.0
2005,NUTS,2010,CY,0,314.0
2006,NUTS,2010,CY,0,324.0
2007,NUTS,2010,CY,0,345.0
2008,NUTS,2010,CY,0,339.0
2009,NUTS,2010,CY,0,432.0
2010,NUTS,2010,CY,0,480.0
2011,NUTS,2010,CY,0,570.0
2012,NUTS,2010,CY,0,577.0
2013,NUTS,2010,CY,0,707.0
2014,NUTS,2010,CY,0,667.0
2015,NUTS,2010,CY,0,655.0
2016,NUTS,2010,CY,0,653.0
2017,NUTS,2010,CY,0,693.0
2018,NUTS,2010,CY,0,739.0
2019,NUTS,2010,CY,0,812.0
1999,NUTS,2010,CZ,0,6551.0
2000,NUTS,2010,CZ,0,6934.0
2001,NUTS,2010,CZ,0,7023.0
2002,NUTS,2010,CZ,0,7224.0
2003,NUTS,2010,CZ,0,7248.0
2004,NUTS,2010,CZ,0,7760.0
2005,NUTS,2010,CZ,0,9916.0
2006,NUTS,2010,CZ,0,10249.0
2007,NUTS,2010,CZ,0,10933.0
2008,NUTS,2010,CZ,0,10814.0
2009,NUTS,2010,CZ,0,11388.0
2010,NUTS,2010,CZ,0,11437.0
2011,NUTS,2010,CZ,0,12106.0
2012,NUTS,2010,CZ,0,12444.0
2013,NUTS,2010,CZ,0,13639.0
2014,NUTS,2010,CZ,0,13495.0
2015,NUTS,2010,CZ,0,14217.0
2016,NUTS,2010,CZ,0,13015.0
2017,NUTS,2010,CZ,0,13925.0
2018,NUTS,2010,CZ,0,15123.0
2019,NUTS,2010,CZ,0,15508.0
2020,NUTS,2010,CZ,0,15963.0
1999,NUTS,2010,CZ0,1,6551.0
2000,NUTS,2010,CZ0,1,6934.0
2001,NUTS,2010,CZ0,1,7023.0
2002,NUTS,2010,CZ0,1,7224.0
2003,NUTS,2010,CZ0,1,7248.0
2004,NUTS,2010,CZ0,1,7760.0
2005,NUTS,2010,CZ0,1,9916.0
2006,NUTS,2010,CZ0,1,10249.0
2007,NUTS,2010,CZ0,1,10933.0
2008,NUTS,2010,CZ0,1,10814.0
2009,NUTS,2010,CZ0,1,11388.0
2010,NUTS,2010,CZ0,1,11437.0
2011,NUTS,2010,CZ0,1,12106.0
2012,NUTS,2010,CZ0,1,12444.0
2013,NUTS,2010,CZ0,1,13639.0
2014,NUTS,2010,CZ0,1,13495.0
2015,NUTS,2010,CZ0,1,14217.0
2016,NUTS,2010,CZ0,1,13015.0
2017,NUTS,2010,CZ0,1,13925.0
2018,NUTS,2010,CZ0,1,15123.0
2019,NUTS,2010,CZ0,1,15508.0
2020,NUTS,2010,CZ0,1,15963.0
2001,NUTS,2010,CZ01,2,2766.0
2002,NUTS,2010,CZ01,2,2942.0
2003,NUTS,2010,CZ01,2,2879.0
2004,NUTS,2010,CZ01,2,2999.0
2005,NUTS,2010,CZ01,2,3957.0
2006,NUTS,2010,CZ01,2,4205.0
2007,NUTS,2010,CZ01,2,4555.0
2008,NUTS,2010,CZ01,2,4409.0
2009,NUTS,2010,CZ01,2,4784.0
2010,NUTS,2010,CZ01,2,4461.0
2011,NUTS,2010,CZ01,2,4753.0
2012,NUTS,2010,CZ01,2,4270.0
2013,NUTS,2010,CZ01,2,5045.0
2014,NUTS,2010,CZ01,2,4915.0
2015,NUTS,2010,CZ01,2,4827.0
2016,NUTS,2010,CZ01,2,4150.0
2017,NUTS,2010,CZ01,2,4797.0
2018,NUTS,2010,CZ01,2,5042.0
2019,NUTS,2010,CZ01,2,5213.0
2020,NUTS,2010,CZ01,2,5312.0
2001,NUTS,2010,CZ02,2,0.0
2002,NUTS,2010,CZ02,2,0.0
2003,NUTS,2010,CZ02,2,0.0
2004,NUTS,2010,CZ02,2,1.0
2005,NUTS,2010,CZ02,2,4.0
2006,NUTS,2010,CZ02,2,22.0
2007,NUTS,2010,CZ02,2,21.0
2008,NUTS,2010,CZ02,2,35.0
2009,NUTS,2010,CZ02,2,44.0
2010,NUTS,2010,CZ02,2,59.0
2011,NUTS,2010,CZ02,2,73.0
2012,NUTS,2010,CZ02,2,75.0
2013,NUTS,2010,CZ02,2,79.0
2014,NUTS,2010,CZ02,2,104.0
2015,NUTS,2010,CZ02,2,132.0
2016,NUTS,2010,CZ02,2,105.0
2017,NUTS,2010,CZ02,2,100.0
2018,NUTS,2010,CZ02,2,106.0
2019,NUTS,2010,CZ02,2,122.0
2020,NUTS,2010,CZ02,2,124.0
2001,NUTS,2010,CZ03,2,704.0
2002,NUTS,2010,CZ03,2,831.0
2003,NUTS,2010,CZ03,2,592.0
2004,NUTS,2010,CZ03,2,630.0
2005,NUTS,2010,CZ03,2,833.0
2006,NUTS,2010,CZ03,2,784.0
2007,NUTS,2010,CZ03,2,784.0
2008,NUTS,2010,CZ03,2,771.0
2009,NUTS,2010,CZ03,2,754.0
2010,NUTS,2010,CZ03,2,975.0
2011,NUTS,2010,CZ03,2,1221.0
2012,NUTS,2010,CZ03,2,1229.0
2013,NUTS,2010,CZ03,2,1275.0
2014,NUTS,2010,CZ03,2,1349.0
2015,NUTS,2010,CZ03,2,1328.0
2016,NUTS,2010,CZ03,2,1340.0
2017,NUTS,2010,CZ03,2,1436.0
2018,NUTS,2010,CZ03,2,1493.0
2019,NUTS,2010,CZ03,2,1447.0
2020,NUTS,2010,CZ03,2,1484.0
2001,NUTS,2010,CZ04,2,159.0
2002,NUTS,2010,CZ04,2,114.0
2003,NUTS,2010,CZ04,2,111.0
2004,NUTS,2010,CZ04,2,168.0
2005,NUTS,2010,CZ04,2,87.0
2006,NUTS,2010,CZ04,2,112.0
2007,NUTS,2010,CZ04,2,143.0
2008,NUTS,2010,CZ04,2,143.0
2009,NUTS,2010,CZ04,2,146.0
2010,NUTS,2010,CZ04,2,150.0
2011,NUTS,2010,CZ04,2,146.0
2012,NUTS,2010,CZ04,2,141.0
2013,NUTS,2010,CZ04,2,195.0
2014,NUTS,2010,CZ04,2,198.0
2015,NUTS,2010,CZ04,2,199.0
2016,NUTS,2010,CZ04,2,208.0
2017,NUTS,2010,CZ04,2,216.0
2018,NUTS,2010,CZ04,2,247.0
2019,NUTS,2010,CZ04,2,209.0
2020,NUTS,2010,CZ04,2,276.0
2001,NUTS,2010,CZ05,2,580.0
2002,NUTS,2010,CZ05,2,581.0
2003,NUTS,2010,CZ05,2,637.0
2004,NUTS,2010,CZ05,2,638.0
2005,NUTS,2010,CZ05,2,831.0
2006,NUTS,2010,CZ05,2,944.0
2007,NUTS,2010,CZ05,2,961.0
2008,NUTS,2010,CZ05,2,888.0
2009,NUTS,2010,CZ05,2,937.0
2010,NUTS,2010,CZ05,2,934.0
2011,NUTS,2010,CZ05,2,1073.0
2012,NUTS,2010,CZ05,2,1027.0
2013,NUTS,2010,CZ05,2,1210.0
2014,NUTS,2010,CZ05,2,1234.0
2015,NUTS,2010,CZ05,2,1227.0
2016,NUTS,2010,CZ05,2,1157.0
2017,NUTS,2010,CZ05,2,1246.0
2018,NUTS,2010,CZ05,2,1361.0
2019,NUTS,2010,CZ05,2,1420.0
2020,NUTS,2010,CZ05,2,1494.0
2001,NUTS,2010,CZ06,2,1648.0
2002,NUTS,2010,CZ06,2,1624.0
2003,NUTS,2010,CZ06,2,1708.0
2004,NUTS,2010,CZ06,2,1777.0
2005,NUTS,2010,CZ06,2,2573.0
2006,NUTS,2010,CZ06,2,2274.0
2007,NUTS,2010,CZ06,2,2370.0
2008,NUTS,2010,CZ06,2,2526.0
2009,NUTS,2010,CZ06,2,2729.0
2010,NUTS,2010,CZ06,2,2617.0
2011,NUTS,2010,CZ06,2,2639.0
2012,NUTS,2010,CZ06,2,3109.0
2013,NUTS,2010,CZ06,2,3332.0
2014,NUTS,2010,CZ06,2,3199.0
2015,NUTS,2010,CZ06,2,3780.0
2016,NUTS,2010,CZ06,2,3338.0
2017,NUTS,2010,CZ06,2,3608.0
2018,NUTS,2010,CZ06,2,3968.0
2019,NUTS,2010,CZ06,2,4102.0
2020,NUTS,2010,CZ06,2,4242.0
2001,NUTS,2010,CZ07,2,450.0
2002,NUTS,2010,CZ07,2,403.0
2003,NUTS,2010,CZ07,2,599.0
2004,NUTS,2010,CZ07,2,787.0
2005,NUTS,2010,CZ07,2,861.0
2006,NUTS,2010,CZ07,2,919.0
2007,NUTS,2010,CZ07,2,719.0
2008,NUTS,2010,CZ07,2,753.0
2009,NUTS,2010,CZ07,2,845.0
2010,NUTS,2010,CZ07,2,1110.0
2011,NUTS,2010,CZ07,2,975.0
2012,NUTS,2010,CZ07,2,1217.0
2013,NUTS,2010,CZ07,2,1396.0
2014,NUTS,2010,CZ07,2,1405.0
2015,NUTS,2010,CZ07,2,1555.0
2016,NUTS,2010,CZ07,2,1562.0
2017,NUTS,2010,CZ07,2,1394.0
2018,NUTS,2010,CZ07,2,1487.0
2019,NUTS,2010,CZ07,2,1631.0
2020,NUTS,2010,CZ07,2,1706.0
2001,NUTS,2010,CZ08,2,716.0
2002,NUTS,2010,CZ08,2,729.0
2003,NUTS,2010,CZ08,2,722.0
2004,NUTS,2010,CZ08,2,760.0
2005,NUTS,2010,CZ08,2,770.0
2006,NUTS,2010,CZ08,2,989.0
2007,NUTS,2010,CZ08,2,1380.0
2008,NUTS,2010,CZ08,2,1289.0
2009,NUTS,2010,CZ08,2,1149.0
2010,NUTS,2010,CZ08,2,1131.0
2011,NUTS,2010,CZ08,2,1226.0
2012,NUTS,2010,CZ08,2,1376.0
2013,NUTS,2010,CZ08,2,1107.0
2014,NUTS,2010,CZ08,2,1091.0
2015,NUTS,2010,CZ08,2,1169.0
2016,NUTS,2010,CZ08,2,1155.0
2017,NUTS,2010,CZ08,2,1128.0
2018,NUTS,2010,CZ08,2,1419.0
2019,NUTS,2010,CZ08,2,1364.0
2020,NUTS,2010,CZ08,2,1325.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2003,NUTS,2010,DE,0,89682.0
2004,NUTS,2010,DE,0,87959.0
2005,NUTS,2010,DE,0,97551.0
2006,NUTS,2010,DE,0,103119.0
2007,NUTS,2010,DE,0,108632.0
2008,NUTS,2010,DE,0,115894.0
2009,NUTS,2010,DE,0,124294.0
2010,NUTS,2010,DE,0,130030.0
2011,NUTS,2010,DE,0,135163.0
2012,NUTS,2010,DE,0,140513.0
2013,NUTS,2010,DE,0,148984.0
2014,NUTS,2010,DE,0,151518.0
2015,NUTS,2010,DE,0,154040.0
2016,NUTS,2010,DE,0,155173.0
2017,NUTS,2010,DE,0,158616.0
2018,NUTS,2010,DE,0,163166.0
2019,NUTS,2010,DE,0,166593.0
1999,NUTS,2010,DK,0,5546.0
2000,NUTS,2010,DK,0,5780.0
2001,NUTS,2010,DK,0,6342.0
2002,NUTS,2010,DK,0,8237.0
2003,NUTS,2010,DK,0,8232.0
2004,NUTS,2010,DK,0,9121.0
2005,NUTS,2010,DK,0,10189.0
2006,NUTS,2010,DK,0,10268.0
2007,NUTS,2010,DK,0,11260.0
2009,NUTS,2010,DK,0,15759.0
2010,NUTS,2010,DK,0,16211.0
2011,NUTS,2010,DK,0,15228.0
2012,NUTS,2010,DK,0,17664.0
2013,NUTS,2010,DK,0,18415.0
2014,NUTS,2010,DK,0,16133.0
2015,NUTS,2010,DK,0,17411.0
2016,NUTS,2010,DK,0,17364.0
2017,NUTS,2010,DK,0,17024.0
2018,NUTS,2010,DK,0,17757.0
2019,NUTS,2010,DK,0,17909.0
1999,NUTS,2010,DK0,1,5546.0
2000,NUTS,2010,DK0,1,5780.0
2001,NUTS,2010,DK0,1,6233.0
2002,NUTS,2010,DK0,1,8284.0
2003,NUTS,2010,DK0,1,8262.0
2007,NUTS,2010,DK0,1,11260.0
2009,NUTS,2010,DK0,1,15680.0
2010,NUTS,2010,DK0,1,16211.0
2011,NUTS,2010,DK0,1,15711.0
2012,NUTS,2010,DK0,1,17664.0
2013,NUTS,2010,DK0,1,18415.0
2014,NUTS,2010,DK0,1,16133.0
2015,NUTS,2010,DK0,1,17411.0
2016,NUTS,2010,DK0,1,17364.0
2017,NUTS,2010,DK0,1,17024.0
2018,NUTS,2010,DK0,1,17757.0
2019,NUTS,2010,DK0,1,17909.0
2007,NUTS,2010,DK01,2,5527.0
2009,NUTS,2010,DK01,2,7528.0
2010,NUTS,2010,DK01,2,8419.0
2011,NUTS,2010,DK01,2,8433.0
2012,NUTS,2010,DK01,2,8424.0
2013,NUTS,2010,DK01,2,9011.0
2014,NUTS,2010,DK01,2,8126.0
2015,NUTS,2010,DK01,2,9217.0
2016,NUTS,2010,DK01,2,9098.0
2017,NUTS,2010,DK01,2,9074.0
2019,NUTS,2010,DK01,2,9444.0
