year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_hc_rse_total
2019,NUTS,2010,AT22,2,4999.0
2002,NUTS,2010,AT3,1,1734.0
2004,NUTS,2010,AT3,1,2292.0
2006,NUTS,2010,AT3,1,2762.0
2007,NUTS,2010,AT3,1,3102.0
2009,NUTS,2010,AT3,1,3598.0
2011,NUTS,2010,AT3,1,4263.0
2013,NUTS,2010,AT3,1,5166.0
2015,NUTS,2010,AT3,1,5687.0
2017,NUTS,2010,AT3,1,6554.0
2019,NUTS,2010,AT3,1,7070.0
2002,NUTS,2010,AT31,2,453.0
2004,NUTS,2010,AT31,2,605.0
2006,NUTS,2010,AT31,2,821.0
2007,NUTS,2010,AT31,2,867.0
2009,NUTS,2010,AT31,2,1043.0
2011,NUTS,2010,AT31,2,1293.0
2013,NUTS,2010,AT31,2,1581.0
2015,NUTS,2010,AT31,2,1763.0
2017,NUTS,2010,AT31,2,1959.0
2019,NUTS,2010,AT31,2,2313.0
2002,NUTS,2010,AT32,2,329.0
2004,NUTS,2010,AT32,2,452.0
2006,NUTS,2010,AT32,2,533.0
2007,NUTS,2010,AT32,2,582.0
2009,NUTS,2010,AT32,2,783.0
2011,NUTS,2010,AT32,2,938.0
2013,NUTS,2010,AT32,2,1150.0
2015,NUTS,2010,AT32,2,1353.0
2017,NUTS,2010,AT32,2,1563.0
2019,NUTS,2010,AT32,2,1660.0
2002,NUTS,2010,AT33,2,886.0
2004,NUTS,2010,AT33,2,1141.0
2006,NUTS,2010,AT33,2,1343.0
2007,NUTS,2010,AT33,2,1577.0
2009,NUTS,2010,AT33,2,1659.0
2011,NUTS,2010,AT33,2,1907.0
2013,NUTS,2010,AT33,2,2258.0
2015,NUTS,2010,AT33,2,2375.0
2017,NUTS,2010,AT33,2,2780.0
2019,NUTS,2010,AT33,2,2830.0
2002,NUTS,2010,AT34,2,66.0
2004,NUTS,2010,AT34,2,94.0
2006,NUTS,2010,AT34,2,65.0
2007,NUTS,2010,AT34,2,76.0
2009,NUTS,2010,AT34,2,113.0
2011,NUTS,2010,AT34,2,125.0
2013,NUTS,2010,AT34,2,177.0
2015,NUTS,2010,AT34,2,196.0
2017,NUTS,2010,AT34,2,252.0
2019,NUTS,2010,AT34,2,267.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,276.0
2013,NUTS,2010,BA,0,484.0
2014,NUTS,2010,BA,0,811.0
2019,NUTS,2010,BA,0,1061.0
2002,NUTS,2010,BE,0,12221.0
2003,NUTS,2010,BE,0,12522.0
2004,NUTS,2010,BE,0,13635.0
2005,NUTS,2010,BE,0,14413.0
2006,NUTS,2010,BE,0,15098.0
2007,NUTS,2010,BE,0,15927.0
2008,NUTS,2010,BE,0,17597.0
2009,NUTS,2010,BE,0,18270.0
2010,NUTS,2010,BE,0,19748.0
2011,NUTS,2010,BE,0,21153.0
2013,NUTS,2010,BE,0,22286.0
2015,NUTS,2010,BE,0,25148.0
2017,NUTS,2010,BE,0,27465.0
2019,NUTS,2010,BE,0,29932.0
2010,NUTS,2010,BE1,1,1218.0
2011,NUTS,2010,BE1,1,1271.0
2013,NUTS,2010,BE1,1,4488.0
2015,NUTS,2010,BE1,1,5031.0
2017,NUTS,2010,BE1,1,5343.0
2019,NUTS,2010,BE1,1,6359.0
2010,NUTS,2010,BE10,2,1218.0
2011,NUTS,2010,BE10,2,1271.0
2013,NUTS,2010,BE10,2,4488.0
2015,NUTS,2010,BE10,2,5031.0
2017,NUTS,2010,BE10,2,5343.0
2019,NUTS,2010,BE10,2,6359.0
2010,NUTS,2010,BE2,1,4745.0
2011,NUTS,2010,BE2,1,4870.0
2013,NUTS,2010,BE2,1,12739.0
2015,NUTS,2010,BE2,1,14151.0
2017,NUTS,2010,BE2,1,15025.0
2019,NUTS,2010,BE2,1,17714.0
2010,NUTS,2010,BE21,2,1830.0
2011,NUTS,2010,BE21,2,1876.0
2013,NUTS,2010,BE21,2,3353.0
2015,NUTS,2010,BE21,2,3732.0
2010,NUTS,2010,BE22,2,242.0
2011,NUTS,2010,BE22,2,250.0
2013,NUTS,2010,BE22,2,746.0
2015,NUTS,2010,BE22,2,810.0
2010,NUTS,2010,BE23,2,999.0
2011,NUTS,2010,BE23,2,1028.0
2013,NUTS,2010,BE23,2,3786.0
2015,NUTS,2010,BE23,2,4240.0
2010,NUTS,2010,BE24,2,1382.0
2011,NUTS,2010,BE24,2,1375.0
2013,NUTS,2010,BE24,2,4221.0
2015,NUTS,2010,BE24,2,4679.0
2010,NUTS,2010,BE25,2,292.0
2011,NUTS,2010,BE25,2,341.0
2013,NUTS,2010,BE25,2,632.0
2015,NUTS,2010,BE25,2,690.0
2010,NUTS,2010,BE3,1,1692.0
2011,NUTS,2010,BE3,1,2439.0
2013,NUTS,2010,BE3,1,5059.0
2015,NUTS,2010,BE3,1,5966.0
2017,NUTS,2010,BE3,1,7097.0
2019,NUTS,2010,BE3,1,5859.0
2010,NUTS,2010,BE31,2,677.0
2011,NUTS,2010,BE31,2,1364.0
2013,NUTS,2010,BE31,2,2076.0
2015,NUTS,2010,BE31,2,2364.0
2010,NUTS,2010,BE32,2,489.0
2011,NUTS,2010,BE32,2,524.0
2013,NUTS,2010,BE32,2,831.0
2015,NUTS,2010,BE32,2,1378.0
2010,NUTS,2010,BE33,2,298.0
2011,NUTS,2010,BE33,2,319.0
2013,NUTS,2010,BE33,2,1649.0
2015,NUTS,2010,BE33,2,1626.0
2010,NUTS,2010,BE34,2,70.0
2011,NUTS,2010,BE34,2,57.0
2013,NUTS,2010,BE34,2,43.0
2015,NUTS,2010,BE34,2,61.0
2010,NUTS,2010,BE35,2,158.0
2011,NUTS,2010,BE35,2,175.0
2013,NUTS,2010,BE35,2,460.0
2015,NUTS,2010,BE35,2,537.0
2013,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1987,NUTS,2010,BG,0,22268.0
1988,NUTS,2010,BG,0,20447.0
1989,NUTS,2010,BG,0,20182.0
1990,NUTS,2010,BG,0,21939.0
1991,NUTS,2010,BG,0,23592.0
1992,NUTS,2010,BG,0,17362.0
1993,NUTS,2010,BG,0,16966.0
1994,NUTS,2010,BG,0,7498.0
1995,NUTS,2010,BG,0,7220.0
1996,NUTS,2010,BG,0,7669.0
1997,NUTS,2010,BG,0,6590.0
1998,NUTS,2010,BG,0,6213.0
1999,NUTS,2010,BG,0,5440.0
2000,NUTS,2010,BG,0,4797.0
2001,NUTS,2010,BG,0,4758.0
2002,NUTS,2010,BG,0,4837.0
2003,NUTS,2010,BG,0,5070.0
2004,NUTS,2010,BG,0,5258.0
2005,NUTS,2010,BG,0,5429.0
2006,NUTS,2010,BG,0,5367.0
2007,NUTS,2010,BG,0,6120.0
2008,NUTS,2010,BG,0,6310.0
2009,NUTS,2010,BG,0,7000.0
2010,NUTS,2010,BG,0,6870.0
2011,NUTS,2010,BG,0,7259.0
2012,NUTS,2010,BG,0,7398.0
2013,NUTS,2010,BG,0,7999.0
2014,NUTS,2010,BG,0,8804.0
2015,NUTS,2010,BG,0,9268.0
2016,NUTS,2010,BG,0,10351.0
2017,NUTS,2010,BG,0,9935.0
2018,NUTS,2010,BG,0,10456.0
2019,NUTS,2010,BG,0,10777.0
2003,NUTS,2010,BG3,1,978.0
2004,NUTS,2010,BG3,1,1075.0
2005,NUTS,2010,BG3,1,1126.0
2006,NUTS,2010,BG3,1,1159.0
2007,NUTS,2010,BG3,1,1361.0
2008,NUTS,2010,BG3,1,1500.0
2009,NUTS,2010,BG3,1,1722.0
2010,NUTS,2010,BG3,1,1742.0
2011,NUTS,2010,BG3,1,1685.0
2012,NUTS,2010,BG3,1,1977.0
2013,NUTS,2010,BG3,1,2132.0
2014,NUTS,2010,BG3,1,2566.0
2015,NUTS,2010,BG3,1,2946.0
2016,NUTS,2010,BG3,1,2590.0
2017,NUTS,2010,BG3,1,2736.0
2018,NUTS,2010,BG3,1,2898.0
2019,NUTS,2010,BG3,1,3050.0
2003,NUTS,2010,BG31,2,114.0
2004,NUTS,2010,BG31,2,128.0
2005,NUTS,2010,BG31,2,126.0
2006,NUTS,2010,BG31,2,134.0
2007,NUTS,2010,BG31,2,171.0
2008,NUTS,2010,BG31,2,153.0
2009,NUTS,2010,BG31,2,109.0
2010,NUTS,2010,BG31,2,161.0
2011,NUTS,2010,BG31,2,110.0
2012,NUTS,2010,BG31,2,221.0
2013,NUTS,2010,BG31,2,212.0
2014,NUTS,2010,BG31,2,176.0
2015,NUTS,2010,BG31,2,283.0
2016,NUTS,2010,BG31,2,310.0
2017,NUTS,2010,BG31,2,322.0
2018,NUTS,2010,BG31,2,335.0
2019,NUTS,2010,BG31,2,347.0
2003,NUTS,2010,BG32,2,144.0
2004,NUTS,2010,BG32,2,212.0
2005,NUTS,2010,BG32,2,248.0
2006,NUTS,2010,BG32,2,266.0
2007,NUTS,2010,BG32,2,327.0
2008,NUTS,2010,BG32,2,345.0
2009,NUTS,2010,BG32,2,403.0
2010,NUTS,2010,BG32,2,435.0
2011,NUTS,2010,BG32,2,517.0
2012,NUTS,2010,BG32,2,531.0
2013,NUTS,2010,BG32,2,589.0
2014,NUTS,2010,BG32,2,702.0
2015,NUTS,2010,BG32,2,840.0
2016,NUTS,2010,BG32,2,610.0
2017,NUTS,2010,BG32,2,701.0
2018,NUTS,2010,BG32,2,779.0
2019,NUTS,2010,BG32,2,713.0
2003,NUTS,2010,BG33,2,405.0
2004,NUTS,2010,BG33,2,423.0
2005,NUTS,2010,BG33,2,409.0
2006,NUTS,2010,BG33,2,435.0
2007,NUTS,2010,BG33,2,454.0
2008,NUTS,2010,BG33,2,531.0
2009,NUTS,2010,BG33,2,636.0
2010,NUTS,2010,BG33,2,713.0
2011,NUTS,2010,BG33,2,649.0
2012,NUTS,2010,BG33,2,764.0
2013,NUTS,2010,BG33,2,877.0
2014,NUTS,2010,BG33,2,1196.0
2015,NUTS,2010,BG33,2,1283.0
2016,NUTS,2010,BG33,2,1162.0
2017,NUTS,2010,BG33,2,1186.0
2018,NUTS,2010,BG33,2,1245.0
2019,NUTS,2010,BG33,2,1323.0
2003,NUTS,2010,BG34,2,315.0
2004,NUTS,2010,BG34,2,312.0
2005,NUTS,2010,BG34,2,343.0
2006,NUTS,2010,BG34,2,324.0
2007,NUTS,2010,BG34,2,409.0
2008,NUTS,2010,BG34,2,471.0
2009,NUTS,2010,BG34,2,574.0
2010,NUTS,2010,BG34,2,433.0
2011,NUTS,2010,BG34,2,409.0
2012,NUTS,2010,BG34,2,461.0
2013,NUTS,2010,BG34,2,454.0
2014,NUTS,2010,BG34,2,492.0
2015,NUTS,2010,BG34,2,540.0
2016,NUTS,2010,BG34,2,508.0
2017,NUTS,2010,BG34,2,527.0
2018,NUTS,2010,BG34,2,539.0
2019,NUTS,2010,BG34,2,667.0
2003,NUTS,2010,BG4,1,4092.0
2004,NUTS,2010,BG4,1,4183.0
2005,NUTS,2010,BG4,1,4303.0
2006,NUTS,2010,BG4,1,4208.0
2007,NUTS,2010,BG4,1,4759.0
2008,NUTS,2010,BG4,1,4810.0
2009,NUTS,2010,BG4,1,5278.0
2010,NUTS,2010,BG4,1,5128.0
2011,NUTS,2010,BG4,1,5574.0
2012,NUTS,2010,BG4,1,5421.0
2013,NUTS,2010,BG4,1,5867.0
2014,NUTS,2010,BG4,1,6238.0
2015,NUTS,2010,BG4,1,6322.0
2016,NUTS,2010,BG4,1,7761.0
2017,NUTS,2010,BG4,1,7199.0
2018,NUTS,2010,BG4,1,7558.0
2019,NUTS,2010,BG4,1,7727.0
1999,NUTS,2010,BG41,2,4155.0
2000,NUTS,2010,BG41,2,3866.0
2003,NUTS,2010,BG41,2,3789.0
2004,NUTS,2010,BG41,2,3824.0
2005,NUTS,2010,BG41,2,3929.0
2006,NUTS,2010,BG41,2,3791.0
2007,NUTS,2010,BG41,2,4174.0
2008,NUTS,2010,BG41,2,4158.0
2009,NUTS,2010,BG41,2,4665.0
2010,NUTS,2010,BG41,2,4460.0
2011,NUTS,2010,BG41,2,4931.0
2012,NUTS,2010,BG41,2,4828.0
2013,NUTS,2010,BG41,2,5159.0
2014,NUTS,2010,BG41,2,5470.0
2015,NUTS,2010,BG41,2,5489.0
2016,NUTS,2010,BG41,2,6916.0
2017,NUTS,2010,BG41,2,6142.0
2018,NUTS,2010,BG41,2,6366.0
2019,NUTS,2010,BG41,2,6242.0
2003,NUTS,2010,BG42,2,303.0
2004,NUTS,2010,BG42,2,359.0
2005,NUTS,2010,BG42,2,374.0
2006,NUTS,2010,BG42,2,417.0
2007,NUTS,2010,BG42,2,585.0
2008,NUTS,2010,BG42,2,652.0
2009,NUTS,2010,BG42,2,613.0
2010,NUTS,2010,BG42,2,668.0
2011,NUTS,2010,BG42,2,643.0
2012,NUTS,2010,BG42,2,593.0
2013,NUTS,2010,BG42,2,708.0
2014,NUTS,2010,BG42,2,768.0
2015,NUTS,2010,BG42,2,833.0
2016,NUTS,2010,BG42,2,845.0
2017,NUTS,2010,BG42,2,1057.0
2018,NUTS,2010,BG42,2,1192.0
2019,NUTS,2010,BG42,2,1485.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1996,NUTS,2010,CH,0,7530.0
2000,NUTS,2010,CH,0,8985.0
2004,NUTS,2010,CH,0,11555.0
2008,NUTS,2010,CH,0,13846.0
2012,NUTS,2010,CH,0,19540.0
2015,NUTS,2010,CH,0,23762.0
2017,NUTS,2010,CH,0,25209.0
2019,NUTS,2010,CH,0,27752.0
1998,NUTS,2010,CY,0,153.0
1999,NUTS,2010,CY,0,177.0
2000,NUTS,2010,CY,0,208.0
2001,NUTS,2010,CY,0,258.0
2002,NUTS,2010,CY,0,298.0
2003,NUTS,2010,CY,0,337.0
2004,NUTS,2010,CY,0,393.0
2005,NUTS,2010,CY,0,464.0
2006,NUTS,2010,CY,0,482.0
2007,NUTS,2010,CY,0,500.0
2008,NUTS,2010,CY,0,522.0
2009,NUTS,2010,CY,0,603.0
2010,NUTS,2010,CY,0,640.0
2011,NUTS,2010,CY,0,716.0
2012,NUTS,2010,CY,0,718.0
2013,NUTS,2010,CY,0,854.0
2014,NUTS,2010,CY,0,826.0
2015,NUTS,2010,CY,0,804.0
2016,NUTS,2010,CY,0,812.0
2017,NUTS,2010,CY,0,897.0
2018,NUTS,2010,CY,0,989.0
2019,NUTS,2010,CY,0,1087.0
1999,NUTS,2010,CZ,0,7528.0
2000,NUTS,2010,CZ,0,8395.0
2001,NUTS,2010,CZ,0,8409.0
2002,NUTS,2010,CZ,0,9024.0
2003,NUTS,2010,CZ,0,8905.0
2004,NUTS,2010,CZ,0,9730.0
2005,NUTS,2010,CZ,0,10827.0
2006,NUTS,2010,CZ,0,11295.0
2007,NUTS,2010,CZ,0,12034.0
2008,NUTS,2010,CZ,0,12613.0
2009,NUTS,2010,CZ,0,12437.0
2010,NUTS,2010,CZ,0,12198.0
2011,NUTS,2010,CZ,0,12936.0
2012,NUTS,2010,CZ,0,13102.0
2013,NUTS,2010,CZ,0,14537.0
2014,NUTS,2010,CZ,0,14815.0
2015,NUTS,2010,CZ,0,15252.0
2016,NUTS,2010,CZ,0,14972.0
2017,NUTS,2010,CZ,0,16005.0
2018,NUTS,2010,CZ,0,16461.0
2019,NUTS,2010,CZ,0,17313.0
2020,NUTS,2010,CZ,0,17992.0
1999,NUTS,2010,CZ0,1,7528.0
2000,NUTS,2010,CZ0,1,8395.0
2001,NUTS,2010,CZ0,1,8409.0
2002,NUTS,2010,CZ0,1,9024.0
2003,NUTS,2010,CZ0,1,8905.0
2004,NUTS,2010,CZ0,1,9730.0
2005,NUTS,2010,CZ0,1,10827.0
2006,NUTS,2010,CZ0,1,11295.0
2007,NUTS,2010,CZ0,1,12034.0
2008,NUTS,2010,CZ0,1,12613.0
2009,NUTS,2010,CZ0,1,12437.0
2010,NUTS,2010,CZ0,1,12198.0
2011,NUTS,2010,CZ0,1,12936.0
2012,NUTS,2010,CZ0,1,13102.0
2013,NUTS,2010,CZ0,1,14537.0
2014,NUTS,2010,CZ0,1,14815.0
2015,NUTS,2010,CZ0,1,15252.0
2016,NUTS,2010,CZ0,1,14971.0
2017,NUTS,2010,CZ0,1,16005.0
2018,NUTS,2010,CZ0,1,16461.0
2019,NUTS,2010,CZ0,1,17313.0
2020,NUTS,2010,CZ0,1,17992.0
2001,NUTS,2010,CZ01,2,4257.0
2002,NUTS,2010,CZ01,2,4519.0
2003,NUTS,2010,CZ01,2,4428.0
2004,NUTS,2010,CZ01,2,4853.0
2005,NUTS,2010,CZ01,2,5334.0
2006,NUTS,2010,CZ01,2,5511.0
2007,NUTS,2010,CZ01,2,5916.0
2008,NUTS,2010,CZ01,2,6133.0
2009,NUTS,2010,CZ01,2,5907.0
2010,NUTS,2010,CZ01,2,5695.0
2011,NUTS,2010,CZ01,2,6060.0
2012,NUTS,2010,CZ01,2,6037.0
2013,NUTS,2010,CZ01,2,6651.0
2014,NUTS,2010,CZ01,2,6523.0
2015,NUTS,2010,CZ01,2,6375.0
2016,NUTS,2010,CZ01,2,6478.0
2017,NUTS,2010,CZ01,2,7134.0
2018,NUTS,2010,CZ01,2,7238.0
2019,NUTS,2010,CZ01,2,7315.0
2020,NUTS,2010,CZ01,2,7579.0
2001,NUTS,2010,CZ02,2,371.0
2002,NUTS,2010,CZ02,2,522.0
2003,NUTS,2010,CZ02,2,536.0
2004,NUTS,2010,CZ02,2,495.0
2005,NUTS,2010,CZ02,2,500.0
2006,NUTS,2010,CZ02,2,562.0
2007,NUTS,2010,CZ02,2,545.0
2008,NUTS,2010,CZ02,2,694.0
2009,NUTS,2010,CZ02,2,638.0
2010,NUTS,2010,CZ02,2,586.0
2011,NUTS,2010,CZ02,2,668.0
2012,NUTS,2010,CZ02,2,643.0
2013,NUTS,2010,CZ02,2,595.0
2014,NUTS,2010,CZ02,2,596.0
2015,NUTS,2010,CZ02,2,847.0
2016,NUTS,2010,CZ02,2,699.0
2017,NUTS,2010,CZ02,2,788.0
2018,NUTS,2010,CZ02,2,853.0
2019,NUTS,2010,CZ02,2,899.0
2020,NUTS,2010,CZ02,2,893.0
2001,NUTS,2010,CZ03,2,700.0
2002,NUTS,2010,CZ03,2,706.0
2003,NUTS,2010,CZ03,2,481.0
2004,NUTS,2010,CZ03,2,446.0
2005,NUTS,2010,CZ03,2,642.0
2006,NUTS,2010,CZ03,2,620.0
2007,NUTS,2010,CZ03,2,591.0
2008,NUTS,2010,CZ03,2,641.0
2009,NUTS,2010,CZ03,2,663.0
2010,NUTS,2010,CZ03,2,812.0
2011,NUTS,2010,CZ03,2,941.0
2012,NUTS,2010,CZ03,2,859.0
2013,NUTS,2010,CZ03,2,998.0
2014,NUTS,2010,CZ03,2,1168.0
2015,NUTS,2010,CZ03,2,1083.0
2016,NUTS,2010,CZ03,2,1169.0
2017,NUTS,2010,CZ03,2,1213.0
2018,NUTS,2010,CZ03,2,1246.0
2019,NUTS,2010,CZ03,2,1312.0
2020,NUTS,2010,CZ03,2,1334.0
2001,NUTS,2010,CZ04,2,217.0
2002,NUTS,2010,CZ04,2,158.0
2003,NUTS,2010,CZ04,2,156.0
2004,NUTS,2010,CZ04,2,236.0
2005,NUTS,2010,CZ04,2,141.0
2006,NUTS,2010,CZ04,2,192.0
2007,NUTS,2010,CZ04,2,208.0
2008,NUTS,2010,CZ04,2,208.0
2009,NUTS,2010,CZ04,2,198.0
2010,NUTS,2010,CZ04,2,198.0
2011,NUTS,2010,CZ04,2,195.0
2012,NUTS,2010,CZ04,2,196.0
2013,NUTS,2010,CZ04,2,267.0
2014,NUTS,2010,CZ04,2,258.0
2015,NUTS,2010,CZ04,2,256.0
2016,NUTS,2010,CZ04,2,268.0
2017,NUTS,2010,CZ04,2,299.0
2018,NUTS,2010,CZ04,2,316.0
2019,NUTS,2010,CZ04,2,295.0
2020,NUTS,2010,CZ04,2,332.0
2001,NUTS,2010,CZ05,2,484.0
2002,NUTS,2010,CZ05,2,636.0
2003,NUTS,2010,CZ05,2,669.0
2004,NUTS,2010,CZ05,2,770.0
2005,NUTS,2010,CZ05,2,778.0
2006,NUTS,2010,CZ05,2,877.0
2007,NUTS,2010,CZ05,2,955.0
2008,NUTS,2010,CZ05,2,937.0
2009,NUTS,2010,CZ05,2,919.0
2010,NUTS,2010,CZ05,2,900.0
2011,NUTS,2010,CZ05,2,1019.0
2012,NUTS,2010,CZ05,2,1030.0
2013,NUTS,2010,CZ05,2,1131.0
2014,NUTS,2010,CZ05,2,1135.0
2015,NUTS,2010,CZ05,2,1197.0
2016,NUTS,2010,CZ05,2,1216.0
2017,NUTS,2010,CZ05,2,1287.0
2018,NUTS,2010,CZ05,2,1298.0
2019,NUTS,2010,CZ05,2,1434.0
2020,NUTS,2010,CZ05,2,1476.0
2001,NUTS,2010,CZ06,2,1399.0
2002,NUTS,2010,CZ06,2,1549.0
2003,NUTS,2010,CZ06,2,1653.0
2004,NUTS,2010,CZ06,2,1776.0
2005,NUTS,2010,CZ06,2,2145.0
2006,NUTS,2010,CZ06,2,2159.0
2007,NUTS,2010,CZ06,2,2284.0
2008,NUTS,2010,CZ06,2,2397.0
2009,NUTS,2010,CZ06,2,2486.0
2010,NUTS,2010,CZ06,2,2403.0
2011,NUTS,2010,CZ06,2,2461.0
2012,NUTS,2010,CZ06,2,2382.0
2013,NUTS,2010,CZ06,2,2785.0
2014,NUTS,2010,CZ06,2,3021.0
2015,NUTS,2010,CZ06,2,3155.0
2016,NUTS,2010,CZ06,2,2834.0
2017,NUTS,2010,CZ06,2,3054.0
2018,NUTS,2010,CZ06,2,3134.0
2019,NUTS,2010,CZ06,2,3332.0
2020,NUTS,2010,CZ06,2,3571.0
2001,NUTS,2010,CZ07,2,385.0
2002,NUTS,2010,CZ07,2,344.0
2003,NUTS,2010,CZ07,2,398.0
2004,NUTS,2010,CZ07,2,535.0
2005,NUTS,2010,CZ07,2,637.0
2006,NUTS,2010,CZ07,2,663.0
2007,NUTS,2010,CZ07,2,611.0
2008,NUTS,2010,CZ07,2,620.0
2009,NUTS,2010,CZ07,2,688.0
2010,NUTS,2010,CZ07,2,780.0
2011,NUTS,2010,CZ07,2,715.0
2012,NUTS,2010,CZ07,2,969.0
2013,NUTS,2010,CZ07,2,1100.0
2014,NUTS,2010,CZ07,2,1135.0
2015,NUTS,2010,CZ07,2,1273.0
