year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_eur
2018,NUTS,2010,BG3,1,60.901
2019,NUTS,2010,BG3,1,62.11
2014,NUTS,2010,BG31,2,3.467
2015,NUTS,2010,BG31,2,14.049
2016,NUTS,2010,BG31,2,12.352
2017,NUTS,2010,BG31,2,12.693
2018,NUTS,2010,BG31,2,15.505
2019,NUTS,2010,BG31,2,12.203
2012,NUTS,2010,BG32,2,2.603
2013,NUTS,2010,BG32,2,3.832
2014,NUTS,2010,BG32,2,4.269
2015,NUTS,2010,BG32,2,18.101
2016,NUTS,2010,BG32,2,14.662
2017,NUTS,2010,BG32,2,14.276
2018,NUTS,2010,BG32,2,12.439
2019,NUTS,2010,BG32,2,14.29
2011,NUTS,2010,BG33,2,2.522
2014,NUTS,2010,BG33,2,6.548
2015,NUTS,2010,BG33,2,10.462
2016,NUTS,2010,BG33,2,17.234
2017,NUTS,2010,BG33,2,17.506
2018,NUTS,2010,BG33,2,15.767
2019,NUTS,2010,BG33,2,16.821
2011,NUTS,2010,BG34,2,2.999
2012,NUTS,2010,BG34,2,4.337
2013,NUTS,2010,BG34,2,5.207
2014,NUTS,2010,BG34,2,10.502
2015,NUTS,2010,BG34,2,14.941
2016,NUTS,2010,BG34,2,13.527
2017,NUTS,2010,BG34,2,16.023
2018,NUTS,2010,BG34,2,17.19
2019,NUTS,2010,BG34,2,18.795
2011,NUTS,2010,BG4,1,108.035
2012,NUTS,2010,BG4,1,140.902
2013,NUTS,2010,BG4,1,143.872
2014,NUTS,2010,BG4,1,198.631
2015,NUTS,2010,BG4,1,261.44
2016,NUTS,2010,BG4,1,217.27
2017,NUTS,2010,BG4,1,212.572
2018,NUTS,2010,BG4,1,243.876
2019,NUTS,2010,BG4,1,282.058
2011,NUTS,2010,BG41,2,103.203
2012,NUTS,2010,BG41,2,133.418
2013,NUTS,2010,BG41,2,137.07
2014,NUTS,2010,BG41,2,187.894
2015,NUTS,2010,BG41,2,236.047
2016,NUTS,2010,BG41,2,189.696
2017,NUTS,2010,BG41,2,184.442
2018,NUTS,2010,BG41,2,217.036
2019,NUTS,2010,BG41,2,252.445
2011,NUTS,2010,BG42,2,4.831
2012,NUTS,2010,BG42,2,7.484
2013,NUTS,2010,BG42,2,6.801
2014,NUTS,2010,BG42,2,10.737
2015,NUTS,2010,BG42,2,25.393
2016,NUTS,2010,BG42,2,27.573
2017,NUTS,2010,BG42,2,28.131
2018,NUTS,2010,BG42,2,26.84
2019,NUTS,2010,BG42,2,29.613
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,10635.289
2015,NUTS,2010,CH,0,13073.587
2017,NUTS,2010,CH,0,12701.086
2019,NUTS,2010,CH,0,13892.472
2012,NUTS,2010,CH0,1,10635.289
2015,NUTS,2010,CH0,1,13073.587
2017,NUTS,2010,CH0,1,12701.086
2019,NUTS,2010,CH0,1,13892.472
2012,NUTS,2010,CH01,2,1452.316
2015,NUTS,2010,CH01,2,1835.021
2012,NUTS,2010,CH02,2,1623.317
2015,NUTS,2010,CH02,2,1770.509
2012,NUTS,2010,CH03,2,5307.112
2015,NUTS,2010,CH03,2,6884.822
2012,NUTS,2010,CH04,2,1209.383
2015,NUTS,2010,CH04,2,1599.33
2012,NUTS,2010,CH05,2,971.625
2015,NUTS,2010,CH05,2,1022.861
2012,NUTS,2010,CH06,2,919.921
2015,NUTS,2010,CH06,2,1461.379
2012,NUTS,2010,CH07,2,360.444
2015,NUTS,2010,CH07,2,90.494
2011,NUTS,2010,CN_X_HK,5,73136.212
2012,NUTS,2010,CN_X_HK,5,96755.675
2013,NUTS,2010,CN_X_HK,5,111160.93
2014,NUTS,2010,CN_X_HK,5,122905.014
2015,NUTS,2010,CN_X_HK,5,156043.047
2016,NUTS,2010,CN_X_HK,5,165174.497
2017,NUTS,2010,CN_X_HK,5,179056.602
2018,NUTS,2010,CN_X_HK,5,195101.553
2019,NUTS,2010,CN_X_HK,5,218754.966
2011,NUTS,2010,CY,0,13.765
2012,NUTS,2010,CY,0,13.959
2013,NUTS,2010,CY,0,16.998
2014,NUTS,2010,CY,0,20.009
2015,NUTS,2010,CY,0,19.477
2016,NUTS,2010,CY,0,36.584
2017,NUTS,2010,CY,0,40.943
2018,NUTS,2010,CY,0,53.907
2019,NUTS,2010,CY,0,70.658
2020,NUTS,2010,CY,0,80.0
2011,NUTS,2010,CY0,1,13.765
2012,NUTS,2010,CY0,1,13.959
2013,NUTS,2010,CY0,1,16.998
2014,NUTS,2010,CY0,1,20.009
2015,NUTS,2010,CY0,1,19.477
2016,NUTS,2010,CY0,1,36.584
2017,NUTS,2010,CY0,1,40.943
2018,NUTS,2010,CY0,1,53.907
2019,NUTS,2010,CY0,1,70.658
2020,NUTS,2010,CY0,1,80.0
2011,NUTS,2010,CY00,2,13.765
2012,NUTS,2010,CY00,2,13.959
2013,NUTS,2010,CY00,2,16.998
2014,NUTS,2010,CY00,2,20.009
2015,NUTS,2010,CY00,2,19.477
2016,NUTS,2010,CY00,2,36.584
2017,NUTS,2010,CY00,2,40.943
2018,NUTS,2010,CY00,2,53.907
2019,NUTS,2010,CY00,2,70.658
2020,NUTS,2010,CY00,2,80.0
2011,NUTS,2010,CZ,0,1411.831
2012,NUTS,2010,CZ,0,1542.415
2013,NUTS,2010,CZ,0,1621.654
2014,NUTS,2010,CZ,0,1729.712
2015,NUTS,2010,CZ,0,1765.003
2016,NUTS,2010,CZ,0,1811.802
2017,NUTS,2010,CZ,0,2157.948
2018,NUTS,2010,CZ,0,2481.912
2019,NUTS,2010,CZ,0,2680.493
2020,NUTS,2010,CZ,0,2612.457
2011,NUTS,2010,CZ0,1,1411.831
2012,NUTS,2010,CZ0,1,1542.415
2013,NUTS,2010,CZ0,1,1621.654
2014,NUTS,2010,CZ0,1,1729.712
2015,NUTS,2010,CZ0,1,1765.003
2016,NUTS,2010,CZ0,1,1811.802
2017,NUTS,2010,CZ0,1,2157.948
2018,NUTS,2010,CZ0,1,2481.912
2019,NUTS,2010,CZ0,1,2680.493
2020,NUTS,2010,CZ0,1,2612.457
2011,NUTS,2010,CZ01,2,317.772
2012,NUTS,2010,CZ01,2,364.193
2013,NUTS,2010,CZ01,2,355.686
2014,NUTS,2010,CZ01,2,377.177
2015,NUTS,2010,CZ01,2,409.618
2016,NUTS,2010,CZ01,2,423.467
2017,NUTS,2010,CZ01,2,573.863
2018,NUTS,2010,CZ01,2,679.925
2019,NUTS,2010,CZ01,2,734.703
2020,NUTS,2010,CZ01,2,793.611
2011,NUTS,2010,CZ02,2,213.499
2012,NUTS,2010,CZ02,2,222.766
2013,NUTS,2010,CZ02,2,320.223
2014,NUTS,2010,CZ02,2,301.522
2015,NUTS,2010,CZ02,2,310.326
2016,NUTS,2010,CZ02,2,320.331
2017,NUTS,2010,CZ02,2,427.139
2018,NUTS,2010,CZ02,2,503.58
2019,NUTS,2010,CZ02,2,515.566
2020,NUTS,2010,CZ02,2,422.282
2011,NUTS,2010,CZ03,2,147.994
2012,NUTS,2010,CZ03,2,164.659
2013,NUTS,2010,CZ03,2,154.808
2014,NUTS,2010,CZ03,2,157.128
2015,NUTS,2010,CZ03,2,166.014
2016,NUTS,2010,CZ03,2,161.922
2017,NUTS,2010,CZ03,2,167.025
2018,NUTS,2010,CZ03,2,208.092
2019,NUTS,2010,CZ03,2,241.556
2020,NUTS,2010,CZ03,2,213.846
2011,NUTS,2010,CZ04,2,32.858
2012,NUTS,2010,CZ04,2,44.922
2013,NUTS,2010,CZ04,2,36.128
2014,NUTS,2010,CZ04,2,38.238
2015,NUTS,2010,CZ04,2,41.515
2016,NUTS,2010,CZ04,2,31.894
2017,NUTS,2010,CZ04,2,34.026
2018,NUTS,2010,CZ04,2,39.788
2019,NUTS,2010,CZ04,2,54.326
2020,NUTS,2010,CZ04,2,49.94
2011,NUTS,2010,CZ05,2,181.883
2012,NUTS,2010,CZ05,2,221.18
2013,NUTS,2010,CZ05,2,195.921
2014,NUTS,2010,CZ05,2,210.754
2015,NUTS,2010,CZ05,2,203.783
2016,NUTS,2010,CZ05,2,209.699
2017,NUTS,2010,CZ05,2,237.452
2018,NUTS,2010,CZ05,2,273.341
2019,NUTS,2010,CZ05,2,291.385
2020,NUTS,2010,CZ05,2,279.224
2011,NUTS,2010,CZ06,2,251.148
2012,NUTS,2010,CZ06,2,275.495
2013,NUTS,2010,CZ06,2,321.663
2014,NUTS,2010,CZ06,2,377.897
2015,NUTS,2010,CZ06,2,380.956
2016,NUTS,2010,CZ06,2,382.996
2017,NUTS,2010,CZ06,2,389.366
2018,NUTS,2010,CZ06,2,413.761
2019,NUTS,2010,CZ06,2,467.605
2020,NUTS,2010,CZ06,2,487.418
2011,NUTS,2010,CZ07,2,121.235
2012,NUTS,2010,CZ07,2,123.687
2013,NUTS,2010,CZ07,2,122.12
2014,NUTS,2010,CZ07,2,129.08
2015,NUTS,2010,CZ07,2,131.287
2016,NUTS,2010,CZ07,2,139.952
2017,NUTS,2010,CZ07,2,190.223
2018,NUTS,2010,CZ07,2,215.892
2019,NUTS,2010,CZ07,2,243.719
2020,NUTS,2010,CZ07,2,216.649
2011,NUTS,2010,CZ08,2,122.308
2012,NUTS,2010,CZ08,2,103.159
2013,NUTS,2010,CZ08,2,91.323
2014,NUTS,2010,CZ08,2,114.353
2015,NUTS,2010,CZ08,2,121.504
2016,NUTS,2010,CZ08,2,141.541
2017,NUTS,2010,CZ08,2,138.853
2018,NUTS,2010,CZ08,2,147.535
2019,NUTS,2010,CZ08,2,131.631
2020,NUTS,2010,CZ08,2,149.487
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,51077.2
2012,NUTS,2010,DE,0,53790.1
2013,NUTS,2010,DE,0,53566.2
2014,NUTS,2010,DE,0,56996.5
2015,NUTS,2010,DE,0,60952.0
2016,NUTS,2010,DE,0,62826.0
2017,NUTS,2010,DE,0,68787.3
2018,NUTS,2010,DE,0,72101.3
2019,NUTS,2010,DE,0,75830.4
2020,NUTS,2010,DE,0,71032.0
2011,NUTS,2010,DE1,1,15698.3
2013,NUTS,2010,DE1,1,16268.3
2015,NUTS,2010,DE1,1,18511.2
2017,NUTS,2010,DE1,1,23330.2
2019,NUTS,2010,DE1,1,25272.1
2011,NUTS,2010,DE11,2,9548.6
2013,NUTS,2010,DE11,2,9763.9
2015,NUTS,2010,DE11,2,11287.1
2017,NUTS,2010,DE11,2,14938.6
2019,NUTS,2010,DE11,2,15459.5
2011,NUTS,2010,DE12,2,2577.9
2013,NUTS,2010,DE12,2,2795.2
2015,NUTS,2010,DE12,2,3306.8
2017,NUTS,2010,DE12,2,3945.8
2019,NUTS,2010,DE12,2,4656.4
2011,NUTS,2010,DE13,2,1245.1
2013,NUTS,2010,DE13,2,1222.2
2015,NUTS,2010,DE13,2,1321.8
2017,NUTS,2010,DE13,2,1466.0
2019,NUTS,2010,DE13,2,1637.3
2011,NUTS,2010,DE14,2,2326.7
2013,NUTS,2010,DE14,2,2486.9
2015,NUTS,2010,DE14,2,2595.4
2017,NUTS,2010,DE14,2,2979.9
2019,NUTS,2010,DE14,2,3518.9
2011,NUTS,2010,DE2,1,11008.6
2013,NUTS,2010,DE2,1,12141.7
2015,NUTS,2010,DE2,1,13359.5
2017,NUTS,2010,DE2,1,14178.3
2019,NUTS,2010,DE2,1,16600.8
2011,NUTS,2010,DE21,2,6604.8
2013,NUTS,2010,DE21,2,7429.7
2015,NUTS,2010,DE21,2,8080.5
2017,NUTS,2010,DE21,2,7925.6
2019,NUTS,2010,DE21,2,9416.1
2011,NUTS,2010,DE22,2,333.3
2013,NUTS,2010,DE22,2,428.2
2015,NUTS,2010,DE22,2,498.4
2017,NUTS,2010,DE22,2,562.2
2019,NUTS,2010,DE22,2,713.5
2011,NUTS,2010,DE23,2,738.7
2013,NUTS,2010,DE23,2,569.3
2015,NUTS,2010,DE23,2,653.5
2017,NUTS,2010,DE23,2,898.4
2019,NUTS,2010,DE23,2,1051.3
2011,NUTS,2010,DE24,2,408.5
2013,NUTS,2010,DE24,2,437.8
2015,NUTS,2010,DE24,2,499.2
2017,NUTS,2010,DE24,2,605.0
2019,NUTS,2010,DE24,2,815.3
2011,NUTS,2010,DE25,2,1567.3
2013,NUTS,2010,DE25,2,1810.9
2015,NUTS,2010,DE25,2,1959.6
2017,NUTS,2010,DE25,2,2016.7
2019,NUTS,2010,DE25,2,2303.9
2011,NUTS,2010,DE26,2,705.4
2013,NUTS,2010,DE26,2,772.6
2015,NUTS,2010,DE26,2,714.2
2017,NUTS,2010,DE26,2,1145.2
2019,NUTS,2010,DE26,2,1204.6
2011,NUTS,2010,DE27,2,649.9
2013,NUTS,2010,DE27,2,693.2
2015,NUTS,2010,DE27,2,954.1
2017,NUTS,2010,DE27,2,1025.1
2019,NUTS,2010,DE27,2,1096.1
2011,NUTS,2010,DE3,1,1401.7
2013,NUTS,2010,DE3,1,1681.7
2015,NUTS,2010,DE3,1,1818.6
2017,NUTS,2010,DE3,1,1908.0
2019,NUTS,2010,DE3,1,2083.6
2011,NUTS,2010,DE30,2,1401.7
2013,NUTS,2010,DE30,2,1681.7
2015,NUTS,2010,DE30,2,1818.6
2017,NUTS,2010,DE30,2,1908.0
2019,NUTS,2010,DE30,2,2083.6
2011,NUTS,2010,DE4,1,307.8
2013,NUTS,2010,DE4,1,269.8
2015,NUTS,2010,DE4,1,397.5
2017,NUTS,2010,DE4,1,405.0
2019,NUTS,2010,DE4,1,485.8
2011,NUTS,2010,DE40,2,307.8
2013,NUTS,2010,DE40,2,269.8
2015,NUTS,2010,DE40,2,397.5
2017,NUTS,2010,DE40,2,405.0
2019,NUTS,2010,DE40,2,485.8
2011,NUTS,2010,DE5,1,268.8
2013,NUTS,2010,DE5,1,295.7
2015,NUTS,2010,DE5,1,317.8
2017,NUTS,2010,DE5,1,290.7
2019,NUTS,2010,DE5,1,330.9
2011,NUTS,2010,DE50,2,268.8
2013,NUTS,2010,DE50,2,295.7
2015,NUTS,2010,DE50,2,317.8
2017,NUTS,2010,DE50,2,290.7
2019,NUTS,2010,DE50,2,330.9
2011,NUTS,2010,DE6,1,1180.8
2013,NUTS,2010,DE6,1,1323.8
2015,NUTS,2010,DE6,1,1364.7
2017,NUTS,2010,DE6,1,1438.4
2019,NUTS,2010,DE6,1,1511.9
2011,NUTS,2010,DE60,2,1180.8
2013,NUTS,2010,DE60,2,1332.8
2015,NUTS,2010,DE60,2,1364.7
2017,NUTS,2010,DE60,2,1438.4
2019,NUTS,2010,DE60,2,1511.9
2011,NUTS,2010,DE7,1,5318.7
2013,NUTS,2010,DE7,1,5287.7
2015,NUTS,2010,DE7,1,5642.5
2017,NUTS,2010,DE7,1,6176.2
2019,NUTS,2010,DE7,1,6751.8
2011,NUTS,2010,DE71,2,4469.3
2013,NUTS,2010,DE71,2,4296.4
2015,NUTS,2010,DE71,2,4698.5
2017,NUTS,2010,DE71,2,5128.5
2019,NUTS,2010,DE71,2,5679.6
2011,NUTS,2010,DE72,2,352.3
2013,NUTS,2010,DE72,2,429.9
2015,NUTS,2010,DE72,2,451.3
2017,NUTS,2010,DE72,2,504.6
2019,NUTS,2010,DE72,2,526.5
2011,NUTS,2010,DE73,2,497.2
2013,NUTS,2010,DE73,2,561.4
2015,NUTS,2010,DE73,2,492.8
2017,NUTS,2010,DE73,2,543.1
2019,NUTS,2010,DE73,2,545.7
2011,NUTS,2010,DE8,1,242.2
2013,NUTS,2010,DE8,1,177.6
2015,NUTS,2010,DE8,1,240.1
2017,NUTS,2010,DE8,1,252.7
2019,NUTS,2010,DE8,1,239.4
2011,NUTS,2010,DE80,2,242.2
2013,NUTS,2010,DE80,2,177.6
2015,NUTS,2010,DE80,2,240.1
2017,NUTS,2010,DE80,2,252.7
2019,NUTS,2010,DE80,2,239.4
2011,NUTS,2010,DE9,1,4420.4
2013,NUTS,2010,DE9,1,4744.8
2015,NUTS,2010,DE9,1,6503.6
2017,NUTS,2010,DE9,1,6329.0
2019,NUTS,2010,DE9,1,6859.9
2011,NUTS,2010,DE91,2,2874.2
2013,NUTS,2010,DE91,2,3085.0
2015,NUTS,2010,DE91,2,4593.3
2017,NUTS,2010,DE91,2,4428.7
2019,NUTS,2010,DE91,2,4712.8
2011,NUTS,2010,DE92,2,900.6
2013,NUTS,2010,DE92,2,947.6
2015,NUTS,2010,DE92,2,1078.5
2017,NUTS,2010,DE92,2,1057.6
2019,NUTS,2010,DE92,2,1198.3
2011,NUTS,2010,DE93,2,318.7
2013,NUTS,2010,DE93,2,353.0
2015,NUTS,2010,DE93,2,345.7
2017,NUTS,2010,DE93,2,344.0
2019,NUTS,2010,DE93,2,349.4
2011,NUTS,2010,DE94,2,326.9
2013,NUTS,2010,DE94,2,359.2
2015,NUTS,2010,DE94,2,486.1
2017,NUTS,2010,DE94,2,498.7
2019,NUTS,2010,DE94,2,599.4
2011,NUTS,2010,DEA,1,6949.6
2013,NUTS,2010,DEA,1,6732.3
2015,NUTS,2010,DEA,1,7352.5
2017,NUTS,2010,DEA,1,8433.1
2019,NUTS,2010,DEA,1,9041.2
2011,NUTS,2010,DEA1,2,2626.4
2013,NUTS,2010,DEA1,2,2367.1
2015,NUTS,2010,DEA1,2,2646.6
2017,NUTS,2010,DEA1,2,3131.1
2019,NUTS,2010,DEA1,2,3333.6
2011,NUTS,2010,DEA2,2,2077.4
2013,NUTS,2010,DEA2,2,1796.0
2015,NUTS,2010,DEA2,2,2005.5
2017,NUTS,2010,DEA2,2,2402.2
2019,NUTS,2010,DEA2,2,2457.8
2011,NUTS,2010,DEA3,2,375.2
2013,NUTS,2010,DEA3,2,427.4
2015,NUTS,2010,DEA3,2,486.8
2017,NUTS,2010,DEA3,2,536.6
2019,NUTS,2010,DEA3,2,661.4
2011,NUTS,2010,DEA4,2,916.8
2013,NUTS,2010,DEA4,2,1031.3
2015,NUTS,2010,DEA4,2,1048.9
2017,NUTS,2010,DEA4,2,1120.7
2019,NUTS,2010,DEA4,2,1193.1
2011,NUTS,2010,DEA5,2,953.8
2013,NUTS,2010,DEA5,2,1110.3
2015,NUTS,2010,DEA5,2,1164.6
2017,NUTS,2010,DEA5,2,1242.4
2019,NUTS,2010,DEA5,2,1395.4
2011,NUTS,2010,DEB,1,1673.1
2013,NUTS,2010,DEB,1,1918.2
2015,NUTS,2010,DEB,1,2423.0
2017,NUTS,2010,DEB,1,2555.8
2019,NUTS,2010,DEB,1,2877.0
2011,NUTS,2010,DEB1,2,211.6
2013,NUTS,2010,DEB1,2,227.4
2015,NUTS,2010,DEB1,2,241.2
2017,NUTS,2010,DEB1,2,265.9
2019,NUTS,2010,DEB1,2,346.5
2011,NUTS,2010,DEB2,2,87.8
2013,NUTS,2010,DEB2,2,89.9
2015,NUTS,2010,DEB2,2,83.6
2017,NUTS,2010,DEB2,2,77.6
2019,NUTS,2010,DEB2,2,79.0
2011,NUTS,2010,DEB3,2,1373.7
2013,NUTS,2010,DEB3,2,1600.9
2015,NUTS,2010,DEB3,2,2098.3
2017,NUTS,2010,DEB3,2,2212.2
2019,NUTS,2010,DEB3,2,2451.4
2011,NUTS,2010,DEC,1,169.0
2013,NUTS,2010,DEC,1,179.4
2015,NUTS,2010,DEC,1,222.5
2017,NUTS,2010,DEC,1,304.4
2019,NUTS,2010,DEC,1,313.8
2011,NUTS,2010,DEC0,2,169.0
2013,NUTS,2010,DEC0,2,179.4
2015,NUTS,2010,DEC0,2,222.5
2017,NUTS,2010,DEC0,2,304.4
2019,NUTS,2010,DEC0,2,313.8
2011,NUTS,2010,DED,1,1198.2
2013,NUTS,2010,DED,1,1161.6
2015,NUTS,2010,DED,1,1346.3
2017,NUTS,2010,DED,1,1477.3
2019,NUTS,2010,DED,1,1686.9
2011,NUTS,2010,DED2,2,724.8
2013,NUTS,2010,DED2,2,717.8
2015,NUTS,2010,DED2,2,868.8
2017,NUTS,2010,DED2,2,946.0
2019,NUTS,2010,DED2,2,1137.6
2011,NUTS,2010,DED4,2,360.2
2013,NUTS,2010,DED4,2,350.0
2015,NUTS,2010,DED4,2,368.5
2017,NUTS,2010,DED4,2,407.1
2019,NUTS,2010,DED4,2,427.4
2011,NUTS,2010,DED5,2,113.2
2013,NUTS,2010,DED5,2,93.9
