year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_hc_rse_f
2016,NUTS,2010,BE2,1,8031.0
2017,NUTS,2010,BE2,1,8152.0
2018,NUTS,2010,BE2,1,8772.0
2019,NUTS,2010,BE2,1,8917.0
2012,NUTS,2010,BE3,1,3069.0
2013,NUTS,2010,BE3,1,3038.0
2014,NUTS,2010,BE3,1,3252.0
2015,NUTS,2010,BE3,1,2520.0
2016,NUTS,2010,BE3,1,2796.0
2017,NUTS,2010,BE3,1,2859.0
2018,NUTS,2010,BE3,1,2985.0
2019,NUTS,2010,BE3,1,2975.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,3189.0
2012,NUTS,2010,BG,0,3271.0
2013,NUTS,2010,BG,0,3492.0
2014,NUTS,2010,BG,0,4146.0
2015,NUTS,2010,BG,0,4086.0
2016,NUTS,2010,BG,0,4572.0
2017,NUTS,2010,BG,0,4153.0
2018,NUTS,2010,BG,0,4434.0
2019,NUTS,2010,BG,0,4403.0
2013,NUTS,2010,BG3,1,1590.0
2014,NUTS,2010,BG3,1,2070.0
2016,NUTS,2010,BG3,1,1824.0
2017,NUTS,2010,BG3,1,1832.0
2019,NUTS,2010,BG3,1,1885.0
2011,NUTS,2010,BG32,2,461.0
2012,NUTS,2010,BG32,2,464.0
2013,NUTS,2010,BG32,2,488.0
2014,NUTS,2010,BG32,2,603.0
2015,NUTS,2010,BG32,2,649.0
2019,NUTS,2010,BG32,2,448.0
2011,NUTS,2010,BG33,2,514.0
2012,NUTS,2010,BG33,2,598.0
2013,NUTS,2010,BG33,2,707.0
2014,NUTS,2010,BG33,2,1050.0
2016,NUTS,2010,BG33,2,913.0
2011,NUTS,2010,BG34,2,290.0
2012,NUTS,2010,BG34,2,322.0
2015,NUTS,2010,BG34,2,319.0
2016,NUTS,2010,BG34,2,343.0
2017,NUTS,2010,BG34,2,323.0
2013,NUTS,2010,BG4,1,1902.0
2014,NUTS,2010,BG4,1,2076.0
2016,NUTS,2010,BG4,1,2748.0
2017,NUTS,2010,BG4,1,2321.0
2019,NUTS,2010,BG4,1,2518.0
2011,NUTS,2010,BG41,2,1606.0
2013,NUTS,2010,BG41,2,1513.0
2014,NUTS,2010,BG41,2,1609.0
2015,NUTS,2010,BG41,2,1560.0
2016,NUTS,2010,BG41,2,2276.0
2017,NUTS,2010,BG41,2,1714.0
2018,NUTS,2010,BG41,2,1877.0
2019,NUTS,2010,BG41,2,1546.0
2013,NUTS,2010,BG42,2,389.0
2014,NUTS,2010,BG42,2,467.0
2016,NUTS,2010,BG42,2,472.0
2017,NUTS,2010,BG42,2,607.0
2019,NUTS,2010,BG42,2,972.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,15037.0
2015,NUTS,2010,CH,0,17814.0
2017,NUTS,2010,CH,0,18581.0
2019,NUTS,2010,CH,0,20540.0
2011,NUTS,2010,CY,0,479.0
2012,NUTS,2010,CY,0,480.0
2013,NUTS,2010,CY,0,616.0
2014,NUTS,2010,CY,0,578.0
2015,NUTS,2010,CY,0,571.0
2016,NUTS,2010,CY,0,570.0
2017,NUTS,2010,CY,0,607.0
2018,NUTS,2010,CY,0,643.0
2019,NUTS,2010,CY,0,693.0
2011,NUTS,2010,CZ,0,7184.0
2012,NUTS,2010,CZ,0,7226.0
2013,NUTS,2010,CZ,0,8166.0
2014,NUTS,2010,CZ,0,8115.0
2015,NUTS,2010,CZ,0,8427.0
2016,NUTS,2010,CZ,0,8064.0
2017,NUTS,2010,CZ,0,8618.0
2018,NUTS,2010,CZ,0,8910.0
2019,NUTS,2010,CZ,0,9438.0
2020,NUTS,2010,CZ,0,9759.0
2011,NUTS,2010,CZ0,1,7184.0
2012,NUTS,2010,CZ0,1,7226.0
2013,NUTS,2010,CZ0,1,8166.0
2014,NUTS,2010,CZ0,1,8115.0
2015,NUTS,2010,CZ0,1,8427.0
2016,NUTS,2010,CZ0,1,8064.0
2017,NUTS,2010,CZ0,1,8618.0
2018,NUTS,2010,CZ0,1,8910.0
2019,NUTS,2010,CZ0,1,9438.0
2020,NUTS,2010,CZ0,1,9759.0
2011,NUTS,2010,CZ01,2,2899.0
2012,NUTS,2010,CZ01,2,2675.0
2013,NUTS,2010,CZ01,2,3196.0
2014,NUTS,2010,CZ01,2,2998.0
2015,NUTS,2010,CZ01,2,2903.0
2016,NUTS,2010,CZ01,2,2731.0
2017,NUTS,2010,CZ01,2,3197.0
2018,NUTS,2010,CZ01,2,3282.0
2019,NUTS,2010,CZ01,2,3417.0
2020,NUTS,2010,CZ01,2,3495.0
2011,NUTS,2010,CZ02,2,38.0
2012,NUTS,2010,CZ02,2,43.0
2013,NUTS,2010,CZ02,2,29.0
2014,NUTS,2010,CZ02,2,39.0
2015,NUTS,2010,CZ02,2,63.0
2016,NUTS,2010,CZ02,2,76.0
2017,NUTS,2010,CZ02,2,72.0
2018,NUTS,2010,CZ02,2,77.0
2019,NUTS,2010,CZ02,2,86.0
2020,NUTS,2010,CZ02,2,82.0
2011,NUTS,2010,CZ03,2,704.0
2012,NUTS,2010,CZ03,2,648.0
2013,NUTS,2010,CZ03,2,709.0
2014,NUTS,2010,CZ03,2,784.0
2015,NUTS,2010,CZ03,2,735.0
2016,NUTS,2010,CZ03,2,768.0
2017,NUTS,2010,CZ03,2,787.0
2018,NUTS,2010,CZ03,2,809.0
2019,NUTS,2010,CZ03,2,796.0
2020,NUTS,2010,CZ03,2,812.0
2011,NUTS,2010,CZ04,2,101.0
2012,NUTS,2010,CZ04,2,95.0
2013,NUTS,2010,CZ04,2,151.0
2014,NUTS,2010,CZ04,2,150.0
2015,NUTS,2010,CZ04,2,153.0
2016,NUTS,2010,CZ04,2,160.0
2017,NUTS,2010,CZ04,2,163.0
2018,NUTS,2010,CZ04,2,181.0
2019,NUTS,2010,CZ04,2,153.0
2020,NUTS,2010,CZ04,2,206.0
2011,NUTS,2010,CZ05,2,693.0
2012,NUTS,2010,CZ05,2,642.0
2013,NUTS,2010,CZ05,2,697.0
2014,NUTS,2010,CZ05,2,738.0
2015,NUTS,2010,CZ05,2,756.0
2016,NUTS,2010,CZ05,2,798.0
2017,NUTS,2010,CZ05,2,816.0
2018,NUTS,2010,CZ05,2,859.0
2019,NUTS,2010,CZ05,2,977.0
2020,NUTS,2010,CZ05,2,974.0
2011,NUTS,2010,CZ06,2,1538.0
2012,NUTS,2010,CZ06,2,1552.0
2013,NUTS,2010,CZ06,2,1658.0
2014,NUTS,2010,CZ06,2,1699.0
2015,NUTS,2010,CZ06,2,1929.0
2016,NUTS,2010,CZ06,2,1685.0
2017,NUTS,2010,CZ06,2,1882.0
2018,NUTS,2010,CZ06,2,1883.0
2019,NUTS,2010,CZ06,2,1961.0
2020,NUTS,2010,CZ06,2,2059.0
2011,NUTS,2010,CZ07,2,472.0
2012,NUTS,2010,CZ07,2,740.0
2013,NUTS,2010,CZ07,2,870.0
2014,NUTS,2010,CZ07,2,899.0
2015,NUTS,2010,CZ07,2,1014.0
2016,NUTS,2010,CZ07,2,958.0
2017,NUTS,2010,CZ07,2,836.0
2018,NUTS,2010,CZ07,2,918.0
2019,NUTS,2010,CZ07,2,1137.0
2020,NUTS,2010,CZ07,2,1176.0
2011,NUTS,2010,CZ08,2,739.0
2012,NUTS,2010,CZ08,2,831.0
2013,NUTS,2010,CZ08,2,856.0
2014,NUTS,2010,CZ08,2,808.0
2015,NUTS,2010,CZ08,2,874.0
2016,NUTS,2010,CZ08,2,888.0
2017,NUTS,2010,CZ08,2,865.0
2018,NUTS,2010,CZ08,2,901.0
2019,NUTS,2010,CZ08,2,911.0
2020,NUTS,2010,CZ08,2,955.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,87734.0
2012,NUTS,2010,DE,0,92958.0
2013,NUTS,2010,DE,0,99207.0
2014,NUTS,2010,DE,0,101520.0
2015,NUTS,2010,DE,0,104622.0
2016,NUTS,2010,DE,0,105854.0
2017,NUTS,2010,DE,0,109274.0
2018,NUTS,2010,DE,0,112908.0
2019,NUTS,2010,DE,0,115537.0
2011,NUTS,2010,DK,0,10176.0
2012,NUTS,2010,DK,0,11120.0
2013,NUTS,2010,DK,0,11698.0
2014,NUTS,2010,DK,0,11525.0
2015,NUTS,2010,DK,0,11769.0
2016,NUTS,2010,DK,0,11682.0
2017,NUTS,2010,DK,0,11299.0
2018,NUTS,2010,DK,0,12003.0
2019,NUTS,2010,DK,0,12256.0
2011,NUTS,2010,DK0,1,10619.0
2012,NUTS,2010,DK0,1,11120.0
2013,NUTS,2010,DK0,1,11698.0
2014,NUTS,2010,DK0,1,11525.0
2015,NUTS,2010,DK0,1,11769.0
2016,NUTS,2010,DK0,1,11682.0
2017,NUTS,2010,DK0,1,11299.0
2018,NUTS,2010,DK0,1,12003.0
2019,NUTS,2010,DK0,1,12256.0
2011,NUTS,2010,DK01,2,5604.0
2012,NUTS,2010,DK01,2,5456.0
2013,NUTS,2010,DK01,2,5928.0
2014,NUTS,2010,DK01,2,6014.0
2015,NUTS,2010,DK01,2,6309.0
2016,NUTS,2010,DK01,2,6060.0
2017,NUTS,2010,DK01,2,6039.0
2019,NUTS,2010,DK01,2,6573.0
2011,NUTS,2010,DK02,2,640.0
2012,NUTS,2010,DK02,2,598.0
2013,NUTS,2010,DK02,2,579.0
2014,NUTS,2010,DK02,2,594.0
2015,NUTS,2010,DK02,2,475.0
2016,NUTS,2010,DK02,2,557.0
2017,NUTS,2010,DK02,2,530.0
2019,NUTS,2010,DK02,2,658.0
2011,NUTS,2010,DK03,2,1189.0
2012,NUTS,2010,DK03,2,1303.0
2013,NUTS,2010,DK03,2,1312.0
2014,NUTS,2010,DK03,2,1378.0
2015,NUTS,2010,DK03,2,1486.0
2016,NUTS,2010,DK03,2,1457.0
2017,NUTS,2010,DK03,2,923.0
2019,NUTS,2010,DK03,2,927.0
2011,NUTS,2010,DK04,2,2411.0
2012,NUTS,2010,DK04,2,2566.0
2013,NUTS,2010,DK04,2,2650.0
2014,NUTS,2010,DK04,2,2446.0
2015,NUTS,2010,DK04,2,2471.0
2016,NUTS,2010,DK04,2,2688.0
2017,NUTS,2010,DK04,2,2406.0
2019,NUTS,2010,DK04,2,2514.0
2011,NUTS,2010,DK05,2,775.0
2012,NUTS,2010,DK05,2,1197.0
2013,NUTS,2010,DK05,2,1229.0
2014,NUTS,2010,DK05,2,1093.0
2015,NUTS,2010,DK05,2,1028.0
2016,NUTS,2010,DK05,2,920.0
2017,NUTS,2010,DK05,2,1401.0
2019,NUTS,2010,DK05,2,1584.0
2011,NUTS,2010,EA19,2,313788.0
2012,NUTS,2010,EA19,2,325919.0
2013,NUTS,2010,EA19,2,336698.0
2014,NUTS,2010,EA19,2,342613.0
2015,NUTS,2010,EA19,2,351616.0
2016,NUTS,2010,EA19,2,354089.0
2017,NUTS,2010,EA19,2,365339.0
2018,NUTS,2010,EA19,2,377098.0
2019,NUTS,2010,EA19,2,388695.0
2011,NUTS,2010,EE,0,2149.0
2012,NUTS,2010,EE,0,2223.0
2013,NUTS,2010,EE,0,2273.0
2014,NUTS,2010,EE,0,2276.0
2015,NUTS,2010,EE,0,2183.0
2016,NUTS,2010,EE,0,2066.0
2017,NUTS,2010,EE,0,2092.0
2018,NUTS,2010,EE,0,2168.0
2019,NUTS,2010,EE,0,2127.0
2011,NUTS,2010,EL,0,11679.0
2013,NUTS,2010,EL,0,15076.0
2015,NUTS,2010,EL,0,14135.0
2017,NUTS,2010,EL,0,11799.0
2019,NUTS,2010,EL,0,13667.0
2011,NUTS,2010,EL3,1,3655.0
2011,NUTS,2010,EL30,2,3655.0
2011,NUTS,2010,EL4,1,1650.0
2011,NUTS,2010,EL41,2,234.0
2011,NUTS,2010,EL42,2,141.0
2011,NUTS,2010,EL43,2,1275.0
2011,NUTS,2010,EL5,1,4331.0
2011,NUTS,2010,EL51,2,889.0
2011,NUTS,2010,EL52,2,2423.0
2011,NUTS,2010,EL53,2,151.0
2011,NUTS,2010,EL54,2,868.0
2011,NUTS,2010,EL6,1,2043.0
2011,NUTS,2010,EL61,2,830.0
2011,NUTS,2010,EL62,2,67.0
2011,NUTS,2010,EL63,2,964.0
2011,NUTS,2010,EL64,2,30.0
2011,NUTS,2010,EL65,2,152.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,51537.0
2012,NUTS,2010,ES,0,50297.0
2013,NUTS,2010,ES,0,48723.0
2014,NUTS,2010,ES,0,49708.0
2015,NUTS,2010,ES,0,50782.0
2016,NUTS,2010,ES,0,51315.0
2017,NUTS,2010,ES,0,53416.0
2018,NUTS,2010,ES,0,55436.0
2019,NUTS,2010,ES,0,57478.0
2011,NUTS,2010,ES1,1,4519.0
2013,NUTS,2010,ES1,1,4338.0
2015,NUTS,2010,ES1,1,4128.0
2016,NUTS,2010,ES1,1,3987.0
2017,NUTS,2010,ES1,1,4138.0
2018,NUTS,2010,ES1,1,3940.0
2011,NUTS,2010,ES11,2,2746.0
2012,NUTS,2010,ES11,2,2568.0
2014,NUTS,2010,ES11,2,2446.0
2015,NUTS,2010,ES11,2,2461.0
2016,NUTS,2010,ES11,2,2460.0
2017,NUTS,2010,ES11,2,2516.0
2018,NUTS,2010,ES11,2,2557.0
2019,NUTS,2010,ES11,2,2697.0
2011,NUTS,2010,ES12,2,1276.0
2012,NUTS,2010,ES12,2,1152.0
2013,NUTS,2010,ES12,2,1326.0
2014,NUTS,2010,ES12,2,1112.0
2015,NUTS,2010,ES12,2,1193.0
2016,NUTS,2010,ES12,2,1069.0
2017,NUTS,2010,ES12,2,1170.0
2018,NUTS,2010,ES12,2,918.0
2019,NUTS,2010,ES12,2,1127.0
2011,NUTS,2010,ES13,2,497.0
2015,NUTS,2010,ES13,2,474.0
2016,NUTS,2010,ES13,2,458.0
2017,NUTS,2010,ES13,2,452.0
2018,NUTS,2010,ES13,2,465.0
2011,NUTS,2010,ES2,1,5696.0
2013,NUTS,2010,ES2,1,5810.0
2019,NUTS,2010,ES2,1,6562.0
2011,NUTS,2010,ES21,2,2551.0
2012,NUTS,2010,ES21,2,2734.0
2013,NUTS,2010,ES21,2,2691.0
2014,NUTS,2010,ES21,2,2808.0
2015,NUTS,2010,ES21,2,2884.0
2016,NUTS,2010,ES21,2,2886.0
2017,NUTS,2010,ES21,2,3013.0
2018,NUTS,2010,ES21,2,3066.0
2019,NUTS,2010,ES21,2,3105.0
2011,NUTS,2010,ES22,2,1036.0
2011,NUTS,2010,ES23,2,211.0
2012,NUTS,2010,ES23,2,220.0
2014,NUTS,2010,ES23,2,295.0
2015,NUTS,2010,ES23,2,265.0
2016,NUTS,2010,ES23,2,396.0
2017,NUTS,2010,ES23,2,319.0
2018,NUTS,2010,ES23,2,382.0
2011,NUTS,2010,ES24,2,1898.0
2012,NUTS,2010,ES24,2,1971.0
2013,NUTS,2010,ES24,2,1965.0
2014,NUTS,2010,ES24,2,2094.0
2015,NUTS,2010,ES24,2,2177.0
2016,NUTS,2010,ES24,2,2087.0
2017,NUTS,2010,ES24,2,2145.0
2018,NUTS,2010,ES24,2,2225.0
2011,NUTS,2010,ES3,1,10982.0
2012,NUTS,2010,ES3,1,10491.0
2013,NUTS,2010,ES3,1,10203.0
2014,NUTS,2010,ES3,1,10360.0
2015,NUTS,2010,ES3,1,10538.0
2016,NUTS,2010,ES3,1,10428.0
2017,NUTS,2010,ES3,1,10907.0
2018,NUTS,2010,ES3,1,11825.0
2019,NUTS,2010,ES3,1,12534.0
2011,NUTS,2010,ES30,2,10982.0
2012,NUTS,2010,ES30,2,10491.0
2013,NUTS,2010,ES30,2,10203.0
2014,NUTS,2010,ES30,2,10360.0
2015,NUTS,2010,ES30,2,10538.0
2016,NUTS,2010,ES30,2,10428.0
2017,NUTS,2010,ES30,2,10907.0
2018,NUTS,2010,ES30,2,11825.0
2019,NUTS,2010,ES30,2,12534.0
2011,NUTS,2010,ES4,1,5590.0
2013,NUTS,2010,ES4,1,4721.0
2014,NUTS,2010,ES4,1,4869.0
2015,NUTS,2010,ES4,1,5026.0
2016,NUTS,2010,ES4,1,5088.0
2018,NUTS,2010,ES4,1,5348.0
2019,NUTS,2010,ES4,1,5288.0
2011,NUTS,2010,ES41,2,3758.0
2012,NUTS,2010,ES41,2,3585.0
2013,NUTS,2010,ES41,2,3374.0
2014,NUTS,2010,ES41,2,3469.0
2015,NUTS,2010,ES41,2,3561.0
2016,NUTS,2010,ES41,2,3605.0
2017,NUTS,2010,ES41,2,3653.0
2018,NUTS,2010,ES41,2,3808.0
2019,NUTS,2010,ES41,2,3809.0
2011,NUTS,2010,ES42,2,1052.0
2012,NUTS,2010,ES42,2,951.0
2013,NUTS,2010,ES42,2,586.0
2014,NUTS,2010,ES42,2,636.0
2015,NUTS,2010,ES42,2,702.0
2017,NUTS,2010,ES42,2,786.0
2011,NUTS,2010,ES43,2,780.0
2013,NUTS,2010,ES43,2,761.0
2014,NUTS,2010,ES43,2,764.0
2015,NUTS,2010,ES43,2,763.0
2011,NUTS,2010,ES5,1,14206.0
2012,NUTS,2010,ES5,1,14232.0
2013,NUTS,2010,ES5,1,13803.0
2014,NUTS,2010,ES5,1,14634.0
2015,NUTS,2010,ES5,1,14897.0
2016,NUTS,2010,ES5,1,15150.0
2017,NUTS,2010,ES5,1,15737.0
2018,NUTS,2010,ES5,1,16265.0
2011,NUTS,2010,ES51,2,8481.0
2012,NUTS,2010,ES51,2,8418.0
2013,NUTS,2010,ES51,2,8400.0
2014,NUTS,2010,ES51,2,8494.0
2015,NUTS,2010,ES51,2,8559.0
2016,NUTS,2010,ES51,2,8821.0
2017,NUTS,2010,ES51,2,9109.0
2018,NUTS,2010,ES51,2,9359.0
2019,NUTS,2010,ES51,2,9794.0
2011,NUTS,2010,ES52,2,4983.0
2012,NUTS,2010,ES52,2,5047.0
2013,NUTS,2010,ES52,2,4660.0
2014,NUTS,2010,ES52,2,5371.0
2015,NUTS,2010,ES52,2,5520.0
2016,NUTS,2010,ES52,2,5572.0
2017,NUTS,2010,ES52,2,5879.0
2018,NUTS,2010,ES52,2,6139.0
2019,NUTS,2010,ES52,2,6499.0
2011,NUTS,2010,ES53,2,742.0
2012,NUTS,2010,ES53,2,767.0
2013,NUTS,2010,ES53,2,743.0
2014,NUTS,2010,ES53,2,769.0
2015,NUTS,2010,ES53,2,818.0
2016,NUTS,2010,ES53,2,757.0
2017,NUTS,2010,ES53,2,749.0
2018,NUTS,2010,ES53,2,767.0
2011,NUTS,2010,ES6,1,9102.0
2012,NUTS,2010,ES6,1,8768.0
2013,NUTS,2010,ES6,1,8499.0
2014,NUTS,2010,ES6,1,8355.0
2015,NUTS,2010,ES6,1,8625.0
2016,NUTS,2010,ES6,1,8966.0
2017,NUTS,2010,ES6,1,9497.0
2018,NUTS,2010,ES6,1,9873.0
2019,NUTS,2010,ES6,1,10094.0
2011,NUTS,2010,ES61,2,7517.0
2012,NUTS,2010,ES61,2,7208.0
2013,NUTS,2010,ES61,2,6919.0
2014,NUTS,2010,ES61,2,6788.0
2015,NUTS,2010,ES61,2,6990.0
2016,NUTS,2010,ES61,2,7149.0
2017,NUTS,2010,ES61,2,7520.0
2018,NUTS,2010,ES61,2,7804.0
2019,NUTS,2010,ES61,2,7902.0
2011,NUTS,2010,ES62,2,1550.0
2012,NUTS,2010,ES62,2,1525.0
2013,NUTS,2010,ES62,2,1544.0
2014,NUTS,2010,ES62,2,1526.0
2015,NUTS,2010,ES62,2,1599.0
2016,NUTS,2010,ES62,2,1757.0
2018,NUTS,2010,ES62,2,1952.0
2019,NUTS,2010,ES62,2,2078.0
2011,NUTS,2010,ES63,2,12.0
2011,NUTS,2010,ES64,2,23.0
2011,NUTS,2010,ES7,1,1442.0
2012,NUTS,2010,ES7,1,1382.0
2013,NUTS,2010,ES7,1,1349.0
2014,NUTS,2010,ES7,1,1322.0
2015,NUTS,2010,ES7,1,1309.0
2016,NUTS,2010,ES7,1,1412.0
2017,NUTS,2010,ES7,1,1458.0
2018,NUTS,2010,ES7,1,1515.0
2011,NUTS,2010,ES70,2,1442.0
2012,NUTS,2010,ES70,2,1382.0
2013,NUTS,2010,ES70,2,1349.0
2014,NUTS,2010,ES70,2,1322.0
2015,NUTS,2010,ES70,2,1309.0
2016,NUTS,2010,ES70,2,1412.0
2017,NUTS,2010,ES70,2,1458.0
2018,NUTS,2010,ES70,2,1515.0
2011,NUTS,2010,ESZ,1,0.0
2011,NUTS,2010,ESZZ,2,0.0
2011,NUTS,2010,EU27_2020,7,398936.0
2012,NUTS,2010,EU27_2020,7,410961.0
2013,NUTS,2010,EU27_2020,7,425148.0
2014,NUTS,2010,EU27_2020,7,434209.0
2015,NUTS,2010,EU27_2020,7,443445.0
2016,NUTS,2010,EU27_2020,7,448982.0
2017,NUTS,2010,EU27_2020,7,473742.0
2018,NUTS,2010,EU27_2020,7,489424.0
2019,NUTS,2010,EU27_2020,7,504308.0
2011,NUTS,2010,FI,0,10818.0
2012,NUTS,2010,FI,0,10964.0
2013,NUTS,2010,FI,0,10488.0
2014,NUTS,2010,FI,0,10601.0
2015,NUTS,2010,FI,0,10583.0
2016,NUTS,2010,FI,0,10519.0
2017,NUTS,2010,FI,0,10920.0
2018,NUTS,2010,FI,0,11366.0
2019,NUTS,2010,FI,0,12022.0
2011,NUTS,2010,FR,0,36694.0
2012,NUTS,2010,FR,0,36974.0
2013,NUTS,2010,FR,0,37546.0
2014,NUTS,2010,FR,0,40120.0
2016,NUTS,2010,FR,0,48878.0
2017,NUTS,2010,FR,0,49396.0
2011,NUTS,2010,HR,0,3356.0
2012,NUTS,2010,HR,0,3364.0
2013,NUTS,2010,HR,0,3405.0
2014,NUTS,2010,HR,0,3397.0
2015,NUTS,2010,HR,0,3582.0
2016,NUTS,2010,HR,0,4120.0
2017,NUTS,2010,HR,0,4474.0
2018,NUTS,2010,HR,0,4557.0
2019,NUTS,2010,HR,0,5091.0
2020,NUTS,2010,HR,0,5268.0
2011,NUTS,2010,HR0,1,3356.0
2012,NUTS,2010,HR0,1,3364.0
2013,NUTS,2010,HR0,1,3405.0
2014,NUTS,2010,HR0,1,3397.0
2015,NUTS,2010,HR0,1,3582.0
2016,NUTS,2010,HR0,1,4120.0
2017,NUTS,2010,HR0,1,4474.0
2018,NUTS,2010,HR0,1,4557.0
2019,NUTS,2010,HR0,1,5091.0
2020,NUTS,2010,HR0,1,5268.0
2020,NUTS,2010,HR02,2,616.0
2011,NUTS,2010,HR03,2,1231.0
