year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_fte_rse_f
2017,NUTS,2010,BG,0,7003.0
2018,NUTS,2010,BG,0,7343.0
2019,NUTS,2010,BG,0,7619.0
2011,NUTS,2010,BG3,1,1092.0
2012,NUTS,2010,BG3,1,1225.0
2013,NUTS,2010,BG3,1,1334.0
2014,NUTS,2010,BG3,1,1520.0
2015,NUTS,2010,BG3,1,1741.0
2016,NUTS,2010,BG3,1,1571.0
2017,NUTS,2010,BG3,1,1603.0
2018,NUTS,2010,BG3,1,1798.0
2019,NUTS,2010,BG3,1,1906.0
2011,NUTS,2010,BG31,2,110.0
2012,NUTS,2010,BG31,2,176.0
2013,NUTS,2010,BG31,2,185.0
2014,NUTS,2010,BG31,2,158.0
2015,NUTS,2010,BG31,2,233.0
2016,NUTS,2010,BG31,2,261.0
2017,NUTS,2010,BG31,2,256.0
2018,NUTS,2010,BG31,2,290.0
2019,NUTS,2010,BG31,2,310.0
2011,NUTS,2010,BG32,2,251.0
2012,NUTS,2010,BG32,2,266.0
2013,NUTS,2010,BG32,2,319.0
2014,NUTS,2010,BG32,2,467.0
2015,NUTS,2010,BG32,2,463.0
2016,NUTS,2010,BG32,2,356.0
2017,NUTS,2010,BG32,2,402.0
2018,NUTS,2010,BG32,2,464.0
2019,NUTS,2010,BG32,2,418.0
2011,NUTS,2010,BG33,2,455.0
2012,NUTS,2010,BG33,2,512.0
2013,NUTS,2010,BG33,2,531.0
2014,NUTS,2010,BG33,2,618.0
2015,NUTS,2010,BG33,2,695.0
2016,NUTS,2010,BG33,2,650.0
2017,NUTS,2010,BG33,2,634.0
2018,NUTS,2010,BG33,2,718.0
2019,NUTS,2010,BG33,2,780.0
2011,NUTS,2010,BG34,2,276.0
2012,NUTS,2010,BG34,2,271.0
2013,NUTS,2010,BG34,2,299.0
2014,NUTS,2010,BG34,2,277.0
2015,NUTS,2010,BG34,2,350.0
2016,NUTS,2010,BG34,2,304.0
2017,NUTS,2010,BG34,2,311.0
2018,NUTS,2010,BG34,2,326.0
2019,NUTS,2010,BG34,2,398.0
2011,NUTS,2010,BG4,1,4848.0
2012,NUTS,2010,BG4,1,4381.0
2013,NUTS,2010,BG4,1,4862.0
2014,NUTS,2010,BG4,1,5051.0
2015,NUTS,2010,BG4,1,5077.0
2016,NUTS,2010,BG4,1,6209.0
2017,NUTS,2010,BG4,1,5400.0
2018,NUTS,2010,BG4,1,5545.0
2019,NUTS,2010,BG4,1,5713.0
2011,NUTS,2010,BG41,2,4270.0
2012,NUTS,2010,BG41,2,3984.0
2013,NUTS,2010,BG41,2,4366.0
2014,NUTS,2010,BG41,2,4601.0
2015,NUTS,2010,BG41,2,4570.0
2016,NUTS,2010,BG41,2,5695.0
2017,NUTS,2010,BG41,2,4777.0
2018,NUTS,2010,BG41,2,4836.0
2019,NUTS,2010,BG41,2,4916.0
2011,NUTS,2010,BG42,2,578.0
2012,NUTS,2010,BG42,2,397.0
2013,NUTS,2010,BG42,2,496.0
2014,NUTS,2010,BG42,2,450.0
2015,NUTS,2010,BG42,2,507.0
2016,NUTS,2010,BG42,2,514.0
2017,NUTS,2010,BG42,2,623.0
2018,NUTS,2010,BG42,2,709.0
2019,NUTS,2010,BG42,2,797.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,CY,0,343.0
2012,NUTS,2010,CY,0,331.0
2013,NUTS,2010,CY,0,341.0
2014,NUTS,2010,CY,0,348.0
2015,NUTS,2010,CY,0,328.0
2016,NUTS,2010,CY,0,332.0
2017,NUTS,2010,CY,0,393.0
2018,NUTS,2010,CY,0,447.0
2019,NUTS,2010,CY,0,533.0
2011,NUTS,2010,CZ,0,7696.0
2012,NUTS,2010,CZ,0,8212.0
2013,NUTS,2010,CZ,0,8401.0
2014,NUTS,2010,CZ,0,8701.0
2015,NUTS,2010,CZ,0,8923.0
2016,NUTS,2010,CZ,0,8610.0
2017,NUTS,2010,CZ,0,9060.0
2018,NUTS,2010,CZ,0,9543.0
2019,NUTS,2010,CZ,0,10154.0
2020,NUTS,2010,CZ,0,10665.0
2011,NUTS,2010,CZ0,1,7696.0
2012,NUTS,2010,CZ0,1,8212.0
2013,NUTS,2010,CZ0,1,8401.0
2014,NUTS,2010,CZ0,1,8701.0
2015,NUTS,2010,CZ0,1,8923.0
2016,NUTS,2010,CZ0,1,8610.0
2017,NUTS,2010,CZ0,1,9060.0
2018,NUTS,2010,CZ0,1,9543.0
2019,NUTS,2010,CZ0,1,10154.0
2020,NUTS,2010,CZ0,1,10665.0
2011,NUTS,2010,CZ01,2,3785.0
2012,NUTS,2010,CZ01,2,3775.0
2013,NUTS,2010,CZ01,2,4089.0
2014,NUTS,2010,CZ01,2,3977.0
2015,NUTS,2010,CZ01,2,3995.0
2016,NUTS,2010,CZ01,2,3916.0
2017,NUTS,2010,CZ01,2,4246.0
2018,NUTS,2010,CZ01,2,4432.0
2019,NUTS,2010,CZ01,2,4665.0
2020,NUTS,2010,CZ01,2,4760.0
2011,NUTS,2010,CZ02,2,579.0
2012,NUTS,2010,CZ02,2,570.0
2013,NUTS,2010,CZ02,2,527.0
2014,NUTS,2010,CZ02,2,498.0
2015,NUTS,2010,CZ02,2,653.0
2016,NUTS,2010,CZ02,2,533.0
2017,NUTS,2010,CZ02,2,586.0
2018,NUTS,2010,CZ02,2,662.0
2019,NUTS,2010,CZ02,2,701.0
2020,NUTS,2010,CZ02,2,729.0
2011,NUTS,2010,CZ03,2,416.0
2012,NUTS,2010,CZ03,2,382.0
2013,NUTS,2010,CZ03,2,460.0
2014,NUTS,2010,CZ03,2,574.0
2015,NUTS,2010,CZ03,2,533.0
2016,NUTS,2010,CZ03,2,564.0
2017,NUTS,2010,CZ03,2,570.0
2018,NUTS,2010,CZ03,2,619.0
2019,NUTS,2010,CZ03,2,686.0
2020,NUTS,2010,CZ03,2,741.0
2011,NUTS,2010,CZ04,2,119.0
2012,NUTS,2010,CZ04,2,136.0
2013,NUTS,2010,CZ04,2,180.0
2014,NUTS,2010,CZ04,2,155.0
2015,NUTS,2010,CZ04,2,162.0
2016,NUTS,2010,CZ04,2,159.0
2017,NUTS,2010,CZ04,2,196.0
2018,NUTS,2010,CZ04,2,232.0
2019,NUTS,2010,CZ04,2,178.0
2020,NUTS,2010,CZ04,2,170.0
2011,NUTS,2010,CZ05,2,625.0
2012,NUTS,2010,CZ05,2,637.0
2013,NUTS,2010,CZ05,2,670.0
2014,NUTS,2010,CZ05,2,658.0
2015,NUTS,2010,CZ05,2,692.0
2016,NUTS,2010,CZ05,2,664.0
2017,NUTS,2010,CZ05,2,759.0
2018,NUTS,2010,CZ05,2,750.0
2019,NUTS,2010,CZ05,2,771.0
2020,NUTS,2010,CZ05,2,833.0
2011,NUTS,2010,CZ06,2,1242.0
2012,NUTS,2010,CZ06,2,1439.0
2013,NUTS,2010,CZ06,2,1384.0
2014,NUTS,2010,CZ06,2,1654.0
2015,NUTS,2010,CZ06,2,1599.0
2016,NUTS,2010,CZ06,2,1570.0
2017,NUTS,2010,CZ06,2,1553.0
2018,NUTS,2010,CZ06,2,1612.0
2019,NUTS,2010,CZ06,2,1710.0
2020,NUTS,2010,CZ06,2,1923.0
2011,NUTS,2010,CZ07,2,470.0
2012,NUTS,2010,CZ07,2,593.0
2013,NUTS,2010,CZ07,2,699.0
2014,NUTS,2010,CZ07,2,747.0
2015,NUTS,2010,CZ07,2,827.0
2016,NUTS,2010,CZ07,2,746.0
2017,NUTS,2010,CZ07,2,612.0
2018,NUTS,2010,CZ07,2,660.0
2019,NUTS,2010,CZ07,2,838.0
2020,NUTS,2010,CZ07,2,849.0
2011,NUTS,2010,CZ08,2,462.0
2012,NUTS,2010,CZ08,2,679.0
2013,NUTS,2010,CZ08,2,393.0
2014,NUTS,2010,CZ08,2,438.0
2015,NUTS,2010,CZ08,2,462.0
2016,NUTS,2010,CZ08,2,458.0
2017,NUTS,2010,CZ08,2,537.0
2018,NUTS,2010,CZ08,2,575.0
2019,NUTS,2010,CZ08,2,604.0
2020,NUTS,2010,CZ08,2,660.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,74766.0
2013,NUTS,2010,DE,0,80353.0
2015,NUTS,2010,DE,0,87756.0
2017,NUTS,2010,DE,0,94750.0
2019,NUTS,2010,DE,0,102453.0
2011,NUTS,2010,DK,0,12376.0
2012,NUTS,2010,DK,0,12573.0
2013,NUTS,2010,DK,0,13159.0
2015,NUTS,2010,DK,0,13649.0
2017,NUTS,2010,DK,0,15507.0
2019,NUTS,2010,DK,0,15221.0
2011,NUTS,2010,DK0,1,12376.0
2013,NUTS,2010,DK0,1,13805.0
2015,NUTS,2010,DK0,1,13649.0
2017,NUTS,2010,DK0,1,15507.0
2019,NUTS,2010,DK0,1,15221.0
2011,NUTS,2010,DK01,2,8287.0
2013,NUTS,2010,DK01,2,9100.0
2015,NUTS,2010,DK01,2,8593.0
2017,NUTS,2010,DK01,2,10789.0
2019,NUTS,2010,DK01,2,9804.0
2011,NUTS,2010,DK02,2,551.0
2013,NUTS,2010,DK02,2,679.0
2015,NUTS,2010,DK02,2,610.0
2017,NUTS,2010,DK02,2,682.0
2019,NUTS,2010,DK02,2,704.0
2011,NUTS,2010,DK03,2,1229.0
2013,NUTS,2010,DK03,2,1357.0
2015,NUTS,2010,DK03,2,1872.0
2017,NUTS,2010,DK03,2,1039.0
2019,NUTS,2010,DK03,2,1244.0
2011,NUTS,2010,DK04,2,1884.0
2013,NUTS,2010,DK04,2,2125.0
2015,NUTS,2010,DK04,2,2050.0
2017,NUTS,2010,DK04,2,2014.0
2019,NUTS,2010,DK04,2,2412.0
2011,NUTS,2010,DK05,2,425.0
2013,NUTS,2010,DK05,2,544.0
2015,NUTS,2010,DK05,2,525.0
2017,NUTS,2010,DK05,2,983.0
2019,NUTS,2010,DK05,2,1056.0
2011,NUTS,2010,EE,0,1869.0
2012,NUTS,2010,EE,0,1963.0
2013,NUTS,2010,EE,0,1871.0
2014,NUTS,2010,EE,0,1865.0
2015,NUTS,2010,EE,0,1831.0
2016,NUTS,2010,EE,0,1787.0
2017,NUTS,2010,EE,0,1903.0
2018,NUTS,2010,EE,0,2098.0
2019,NUTS,2010,EE,0,2034.0
2011,NUTS,2010,EL,0,9602.0
2013,NUTS,2010,EL,0,11361.0
2015,NUTS,2010,EL,0,12370.0
2019,NUTS,2010,EL,0,15461.0
2011,NUTS,2010,EL3,1,4394.0
2011,NUTS,2010,EL30,2,4394.0
2011,NUTS,2010,EL4,1,1136.0
2011,NUTS,2010,EL41,2,63.0
2011,NUTS,2010,EL42,2,107.0
2011,NUTS,2010,EL43,2,966.0
2011,NUTS,2010,EL5,1,2708.0
2011,NUTS,2010,EL51,2,346.0
2011,NUTS,2010,EL52,2,1831.0
2011,NUTS,2010,EL53,2,112.0
2011,NUTS,2010,EL54,2,419.0
2011,NUTS,2010,EL6,1,1364.0
2011,NUTS,2010,EL61,2,465.0
2011,NUTS,2010,EL62,2,31.0
2011,NUTS,2010,EL63,2,589.0
2011,NUTS,2010,EL64,2,94.0
2011,NUTS,2010,EL65,2,185.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,50233.0
2012,NUTS,2010,ES,0,48771.0
2013,NUTS,2010,ES,0,47760.0
2014,NUTS,2010,ES,0,47136.0
2015,NUTS,2010,ES,0,47729.0
2016,NUTS,2010,ES,0,49541.0
2017,NUTS,2010,ES,0,51657.0
2018,NUTS,2010,ES,0,54358.0
2019,NUTS,2010,ES,0,57380.0
2011,NUTS,2010,ES1,1,3968.0
2012,NUTS,2010,ES1,1,3557.0
2013,NUTS,2010,ES1,1,3491.0
2014,NUTS,2010,ES1,1,3380.0
2015,NUTS,2010,ES1,1,3424.0
2016,NUTS,2010,ES1,1,3490.0
2017,NUTS,2010,ES1,1,3748.0
2018,NUTS,2010,ES1,1,4165.0
2019,NUTS,2010,ES1,1,4277.0
2011,NUTS,2010,ES11,2,2505.0
2012,NUTS,2010,ES11,2,2208.0
2013,NUTS,2010,ES11,2,2211.0
2014,NUTS,2010,ES11,2,2183.0
2015,NUTS,2010,ES11,2,2154.0
2016,NUTS,2010,ES11,2,2212.0
2017,NUTS,2010,ES11,2,2414.0
2018,NUTS,2010,ES11,2,2640.0
2019,NUTS,2010,ES11,2,2740.0
2011,NUTS,2010,ES12,2,966.0
2012,NUTS,2010,ES12,2,893.0
2013,NUTS,2010,ES12,2,868.0
2014,NUTS,2010,ES12,2,778.0
2015,NUTS,2010,ES12,2,798.0
2016,NUTS,2010,ES12,2,808.0
2017,NUTS,2010,ES12,2,875.0
2018,NUTS,2010,ES12,2,1032.0
2019,NUTS,2010,ES12,2,1019.0
2011,NUTS,2010,ES13,2,498.0
2012,NUTS,2010,ES13,2,457.0
2013,NUTS,2010,ES13,2,412.0
2014,NUTS,2010,ES13,2,419.0
2015,NUTS,2010,ES13,2,471.0
2016,NUTS,2010,ES13,2,471.0
2017,NUTS,2010,ES13,2,459.0
2018,NUTS,2010,ES13,2,494.0
2019,NUTS,2010,ES13,2,518.0
2011,NUTS,2010,ES2,1,7269.0
2012,NUTS,2010,ES2,1,7309.0
2013,NUTS,2010,ES2,1,7092.0
2014,NUTS,2010,ES2,1,7156.0
2015,NUTS,2010,ES2,1,7111.0
2016,NUTS,2010,ES2,1,7298.0
2017,NUTS,2010,ES2,1,7674.0
2018,NUTS,2010,ES2,1,7982.0
2019,NUTS,2010,ES2,1,8134.0
2011,NUTS,2010,ES21,2,3938.0
2012,NUTS,2010,ES21,2,4135.0
2013,NUTS,2010,ES21,2,4142.0
2014,NUTS,2010,ES21,2,4167.0
2015,NUTS,2010,ES21,2,4166.0
2016,NUTS,2010,ES21,2,4196.0
2017,NUTS,2010,ES21,2,4527.0
2018,NUTS,2010,ES21,2,4725.0
2019,NUTS,2010,ES21,2,4818.0
2011,NUTS,2010,ES22,2,1231.0
2012,NUTS,2010,ES22,2,1211.0
2013,NUTS,2010,ES22,2,1110.0
2014,NUTS,2010,ES22,2,1130.0
2015,NUTS,2010,ES22,2,1145.0
2016,NUTS,2010,ES22,2,1149.0
2017,NUTS,2010,ES22,2,1178.0
2018,NUTS,2010,ES22,2,1211.0
2019,NUTS,2010,ES22,2,1251.0
2011,NUTS,2010,ES23,2,354.0
2012,NUTS,2010,ES23,2,374.0
2013,NUTS,2010,ES23,2,350.0
2014,NUTS,2010,ES23,2,380.0
2015,NUTS,2010,ES23,2,382.0
2016,NUTS,2010,ES23,2,419.0
2017,NUTS,2010,ES23,2,369.0
2018,NUTS,2010,ES23,2,395.0
2019,NUTS,2010,ES23,2,377.0
2011,NUTS,2010,ES24,2,1746.0
2012,NUTS,2010,ES24,2,1588.0
2013,NUTS,2010,ES24,2,1491.0
2014,NUTS,2010,ES24,2,1479.0
2015,NUTS,2010,ES24,2,1418.0
2016,NUTS,2010,ES24,2,1535.0
2017,NUTS,2010,ES24,2,1599.0
2018,NUTS,2010,ES24,2,1650.0
2019,NUTS,2010,ES24,2,1687.0
2011,NUTS,2010,ES3,1,11375.0
2012,NUTS,2010,ES3,1,10960.0
2013,NUTS,2010,ES3,1,10944.0
2014,NUTS,2010,ES3,1,10659.0
2015,NUTS,2010,ES3,1,10786.0
2016,NUTS,2010,ES3,1,11451.0
2017,NUTS,2010,ES3,1,11852.0
2018,NUTS,2010,ES3,1,12788.0
2019,NUTS,2010,ES3,1,14267.0
2011,NUTS,2010,ES30,2,11375.0
2012,NUTS,2010,ES30,2,10960.0
2013,NUTS,2010,ES30,2,10944.0
2014,NUTS,2010,ES30,2,10659.0
2015,NUTS,2010,ES30,2,10786.0
2016,NUTS,2010,ES30,2,11451.0
2017,NUTS,2010,ES30,2,11852.0
2018,NUTS,2010,ES30,2,12788.0
2019,NUTS,2010,ES30,2,14267.0
2011,NUTS,2010,ES4,1,3862.0
2012,NUTS,2010,ES4,1,3605.0
2013,NUTS,2010,ES4,1,3419.0
2014,NUTS,2010,ES4,1,3387.0
2015,NUTS,2010,ES4,1,3517.0
2016,NUTS,2010,ES4,1,3660.0
2017,NUTS,2010,ES4,1,3802.0
2018,NUTS,2010,ES4,1,3920.0
2019,NUTS,2010,ES4,1,4303.0
2011,NUTS,2010,ES41,2,2583.0
2012,NUTS,2010,ES41,2,2468.0
2013,NUTS,2010,ES41,2,2378.0
2014,NUTS,2010,ES41,2,2362.0
2015,NUTS,2010,ES41,2,2408.0
2016,NUTS,2010,ES41,2,2527.0
2017,NUTS,2010,ES41,2,2589.0
2018,NUTS,2010,ES41,2,2696.0
2019,NUTS,2010,ES41,2,2893.0
2011,NUTS,2010,ES42,2,755.0
2012,NUTS,2010,ES42,2,639.0
2013,NUTS,2010,ES42,2,517.0
2014,NUTS,2010,ES42,2,551.0
2015,NUTS,2010,ES42,2,597.0
2016,NUTS,2010,ES42,2,660.0
2017,NUTS,2010,ES42,2,704.0
2018,NUTS,2010,ES42,2,645.0
2019,NUTS,2010,ES42,2,682.0
2011,NUTS,2010,ES43,2,524.0
2012,NUTS,2010,ES43,2,498.0
2013,NUTS,2010,ES43,2,524.0
2014,NUTS,2010,ES43,2,474.0
2015,NUTS,2010,ES43,2,512.0
2016,NUTS,2010,ES43,2,473.0
2017,NUTS,2010,ES43,2,510.0
2018,NUTS,2010,ES43,2,580.0
2019,NUTS,2010,ES43,2,728.0
2011,NUTS,2010,ES5,1,15587.0
2012,NUTS,2010,ES5,1,15244.0
2013,NUTS,2010,ES5,1,15070.0
2014,NUTS,2010,ES5,1,15058.0
2015,NUTS,2010,ES5,1,15292.0
2016,NUTS,2010,ES5,1,16191.0
2017,NUTS,2010,ES5,1,16753.0
2018,NUTS,2010,ES5,1,17238.0
2019,NUTS,2010,ES5,1,17927.0
2011,NUTS,2010,ES51,2,10042.0
2012,NUTS,2010,ES51,2,10028.0
2013,NUTS,2010,ES51,2,10096.0
2014,NUTS,2010,ES51,2,10105.0
2015,NUTS,2010,ES51,2,10477.0
2016,NUTS,2010,ES51,2,11018.0
2017,NUTS,2010,ES51,2,11405.0
2018,NUTS,2010,ES51,2,11619.0
2019,NUTS,2010,ES51,2,11858.0
2011,NUTS,2010,ES52,2,4903.0
2012,NUTS,2010,ES52,2,4549.0
2013,NUTS,2010,ES52,2,4343.0
2014,NUTS,2010,ES52,2,4299.0
2015,NUTS,2010,ES52,2,4225.0
2016,NUTS,2010,ES52,2,4470.0
2017,NUTS,2010,ES52,2,4570.0
2018,NUTS,2010,ES52,2,4771.0
2019,NUTS,2010,ES52,2,5155.0
2011,NUTS,2010,ES53,2,642.0
2012,NUTS,2010,ES53,2,667.0
2013,NUTS,2010,ES53,2,632.0
2014,NUTS,2010,ES53,2,653.0
2015,NUTS,2010,ES53,2,590.0
2016,NUTS,2010,ES53,2,703.0
2017,NUTS,2010,ES53,2,778.0
2018,NUTS,2010,ES53,2,849.0
2019,NUTS,2010,ES53,2,914.0
2011,NUTS,2010,ES6,1,7178.0
2012,NUTS,2010,ES6,1,7082.0
2013,NUTS,2010,ES6,1,6789.0
2014,NUTS,2010,ES6,1,6577.0
2015,NUTS,2010,ES6,1,6793.0
2016,NUTS,2010,ES6,1,6593.0
2017,NUTS,2010,ES6,1,6931.0
2018,NUTS,2010,ES6,1,7251.0
2019,NUTS,2010,ES6,1,7464.0
2011,NUTS,2010,ES61,2,5601.0
2012,NUTS,2010,ES61,2,5534.0
2013,NUTS,2010,ES61,2,5311.0
2014,NUTS,2010,ES61,2,5147.0
2015,NUTS,2010,ES61,2,5319.0
2016,NUTS,2010,ES61,2,5168.0
2017,NUTS,2010,ES61,2,5432.0
2018,NUTS,2010,ES61,2,5635.0
2019,NUTS,2010,ES61,2,5768.0
2011,NUTS,2010,ES62,2,1563.0
2012,NUTS,2010,ES62,2,1535.0
2013,NUTS,2010,ES62,2,1459.0
2014,NUTS,2010,ES62,2,1416.0
2015,NUTS,2010,ES62,2,1463.0
2016,NUTS,2010,ES62,2,1403.0
2017,NUTS,2010,ES62,2,1471.0
2018,NUTS,2010,ES62,2,1567.0
2019,NUTS,2010,ES62,2,1648.0
2011,NUTS,2010,ES63,2,4.0
2012,NUTS,2010,ES63,2,4.0
2013,NUTS,2010,ES63,2,6.0
2014,NUTS,2010,ES63,2,6.0
2015,NUTS,2010,ES63,2,4.0
2011,NUTS,2010,ES64,2,10.0
2012,NUTS,2010,ES64,2,8.0
2013,NUTS,2010,ES64,2,13.0
2014,NUTS,2010,ES64,2,8.0
2015,NUTS,2010,ES64,2,7.0
2011,NUTS,2010,ES7,1,995.0
2012,NUTS,2010,ES7,1,1014.0
2013,NUTS,2010,ES7,1,954.0
2014,NUTS,2010,ES7,1,920.0
2015,NUTS,2010,ES7,1,806.0
2016,NUTS,2010,ES7,1,859.0
2017,NUTS,2010,ES7,1,899.0
2018,NUTS,2010,ES7,1,1013.0
2019,NUTS,2010,ES7,1,1009.0
2011,NUTS,2010,ES70,2,995.0
2012,NUTS,2010,ES70,2,1014.0
2013,NUTS,2010,ES70,2,954.0
2014,NUTS,2010,ES70,2,920.0
2015,NUTS,2010,ES70,2,806.0
2016,NUTS,2010,ES70,2,859.0
2017,NUTS,2010,ES70,2,899.0
2018,NUTS,2010,ES70,2,1013.0
2019,NUTS,2010,ES70,2,1009.0
2011,NUTS,2010,ESZ,1,0.0
2011,NUTS,2010,ESZZ,2,0.0
2011,NUTS,2010,FR,0,64873.0
2012,NUTS,2010,FR,0,67327.0
2013,NUTS,2010,FR,0,69418.0
2014,NUTS,2010,FR,0,70939.0
2016,NUTS,2010,FR,0,80758.0
2017,NUTS,2010,FR,0,84594.0
2011,NUTS,2010,HR,0,3356.0
2012,NUTS,2010,HR,0,3332.0
2013,NUTS,2010,HR,0,3256.0
2014,NUTS,2010,HR,0,3119.0
2015,NUTS,2010,HR,0,3159.0
2016,NUTS,2010,HR,0,3762.0
2017,NUTS,2010,HR,0,3729.0
2018,NUTS,2010,HR,0,3852.0
2019,NUTS,2010,HR,0,4193.0
2020,NUTS,2010,HR,0,4378.0
2011,NUTS,2010,HR0,1,3356.0
2012,NUTS,2010,HR0,1,3332.0
2013,NUTS,2010,HR0,1,3256.0
2014,NUTS,2010,HR0,1,3119.0
2015,NUTS,2010,HR0,1,3159.0
2016,NUTS,2010,HR0,1,3762.0
2017,NUTS,2010,HR0,1,3729.0
2018,NUTS,2010,HR0,1,3852.0
2019,NUTS,2010,HR0,1,4193.0
2020,NUTS,2010,HR0,1,4378.0
2020,NUTS,2010,HR02,2,352.0
2011,NUTS,2010,HR03,2,739.0
2012,NUTS,2010,HR03,2,744.0
2013,NUTS,2010,HR03,2,744.0
2014,NUTS,2010,HR03,2,734.0
2015,NUTS,2010,HR03,2,708.0
2016,NUTS,2010,HR03,2,844.0
2017,NUTS,2010,HR03,2,816.0
2018,NUTS,2010,HR03,2,819.0
