year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_fte_rse_hes
2012,NUTS,2010,BG33,2,357.0
2013,NUTS,2010,BG33,2,372.0
2016,NUTS,2010,BG33,2,420.0
2002,NUTS,2010,BG34,2,117.0
2003,NUTS,2010,BG34,2,148.0
2004,NUTS,2010,BG34,2,124.0
2005,NUTS,2010,BG34,2,125.0
2006,NUTS,2010,BG34,2,126.0
2007,NUTS,2010,BG34,2,187.0
2010,NUTS,2010,BG34,2,210.0
2011,NUTS,2010,BG34,2,169.0
2012,NUTS,2010,BG34,2,147.0
2014,NUTS,2010,BG34,2,154.0
2015,NUTS,2010,BG34,2,144.0
2016,NUTS,2010,BG34,2,150.0
2017,NUTS,2010,BG34,2,143.0
2002,NUTS,2010,BG4,1,418.0
2003,NUTS,2010,BG4,1,389.0
2004,NUTS,2010,BG4,1,418.0
2005,NUTS,2010,BG4,1,456.0
2006,NUTS,2010,BG4,1,459.0
2007,NUTS,2010,BG4,1,860.0
2008,NUTS,2010,BG4,1,909.0
2009,NUTS,2010,BG4,1,1053.0
2010,NUTS,2010,BG4,1,980.0
2013,NUTS,2010,BG4,1,1110.0
2014,NUTS,2010,BG4,1,1077.0
2019,NUTS,2010,BG4,1,1023.0
1999,NUTS,2010,BG41,2,290.0
2000,NUTS,2010,BG41,2,314.0
2002,NUTS,2010,BG41,2,362.0
2003,NUTS,2010,BG41,2,297.0
2004,NUTS,2010,BG41,2,280.0
2005,NUTS,2010,BG41,2,346.0
2008,NUTS,2010,BG41,2,648.0
2009,NUTS,2010,BG41,2,865.0
2011,NUTS,2010,BG41,2,1042.0
2012,NUTS,2010,BG41,2,826.0
2013,NUTS,2010,BG41,2,897.0
2014,NUTS,2010,BG41,2,922.0
2015,NUTS,2010,BG41,2,848.0
2017,NUTS,2010,BG41,2,958.0
2018,NUTS,2010,BG41,2,879.0
2019,NUTS,2010,BG41,2,709.0
2002,NUTS,2010,BG42,2,56.0
2003,NUTS,2010,BG42,2,92.0
2004,NUTS,2010,BG42,2,138.0
2005,NUTS,2010,BG42,2,110.0
2008,NUTS,2010,BG42,2,261.0
2009,NUTS,2010,BG42,2,188.0
2013,NUTS,2010,BG42,2,213.0
2014,NUTS,2010,BG42,2,155.0
2019,NUTS,2010,BG42,2,314.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1998,NUTS,2010,CY,0,29.0
1999,NUTS,2010,CY,0,35.0
2000,NUTS,2010,CY,0,36.0
2001,NUTS,2010,CY,0,40.0
2002,NUTS,2010,CY,0,62.0
2003,NUTS,2010,CY,0,79.0
2004,NUTS,2010,CY,0,115.0
2005,NUTS,2010,CY,0,140.0
2006,NUTS,2010,CY,0,147.0
2007,NUTS,2010,CY,0,159.0
2008,NUTS,2010,CY,0,144.0
2009,NUTS,2010,CY,0,188.0
2010,NUTS,2010,CY,0,199.0
2011,NUTS,2010,CY,0,215.0
2012,NUTS,2010,CY,0,201.0
2013,NUTS,2010,CY,0,212.0
2014,NUTS,2010,CY,0,206.0
2015,NUTS,2010,CY,0,201.0
2016,NUTS,2010,CY,0,200.0
2017,NUTS,2010,CY,0,235.0
2018,NUTS,2010,CY,0,255.0
2019,NUTS,2010,CY,0,285.0
2000,NUTS,2010,CZ,0,1220.0
2001,NUTS,2010,CZ,0,1346.0
2002,NUTS,2010,CZ,0,1473.0
2003,NUTS,2010,CZ,0,1412.0
2004,NUTS,2010,CZ,0,1324.0
2005,NUTS,2010,CZ,0,2514.0
2006,NUTS,2010,CZ,0,2713.0
2007,NUTS,2010,CZ,0,2783.0
2008,NUTS,2010,CZ,0,3059.0
2009,NUTS,2010,CZ,0,3235.0
2010,NUTS,2010,CZ,0,3306.0
2011,NUTS,2010,CZ,0,3303.0
2012,NUTS,2010,CZ,0,3722.0
2013,NUTS,2010,CZ,0,3534.0
2014,NUTS,2010,CZ,0,3562.0
2015,NUTS,2010,CZ,0,3676.0
2016,NUTS,2010,CZ,0,3347.0
2017,NUTS,2010,CZ,0,3462.0
2018,NUTS,2010,CZ,0,3882.0
2019,NUTS,2010,CZ,0,4172.0
2020,NUTS,2010,CZ,0,4404.0
2000,NUTS,2010,CZ0,1,1220.0
2001,NUTS,2010,CZ0,1,1346.0
2002,NUTS,2010,CZ0,1,1473.0
2003,NUTS,2010,CZ0,1,1412.0
2004,NUTS,2010,CZ0,1,1324.0
2005,NUTS,2010,CZ0,1,2514.0
2006,NUTS,2010,CZ0,1,2713.0
2007,NUTS,2010,CZ0,1,2783.0
2008,NUTS,2010,CZ0,1,3059.0
2009,NUTS,2010,CZ0,1,3235.0
2010,NUTS,2010,CZ0,1,3306.0
2011,NUTS,2010,CZ0,1,3303.0
2012,NUTS,2010,CZ0,1,3722.0
2013,NUTS,2010,CZ0,1,3534.0
2014,NUTS,2010,CZ0,1,3562.0
2015,NUTS,2010,CZ0,1,3676.0
2016,NUTS,2010,CZ0,1,3347.0
2017,NUTS,2010,CZ0,1,3462.0
2018,NUTS,2010,CZ0,1,3882.0
2019,NUTS,2010,CZ0,1,4172.0
2020,NUTS,2010,CZ0,1,4404.0
2001,NUTS,2010,CZ01,2,649.0
2002,NUTS,2010,CZ01,2,769.0
2003,NUTS,2010,CZ01,2,773.0
2004,NUTS,2010,CZ01,2,634.0
2005,NUTS,2010,CZ01,2,1067.0
2006,NUTS,2010,CZ01,2,1149.0
2007,NUTS,2010,CZ01,2,1291.0
2008,NUTS,2010,CZ01,2,1336.0
2009,NUTS,2010,CZ01,2,1384.0
2010,NUTS,2010,CZ01,2,1440.0
2011,NUTS,2010,CZ01,2,1416.0
2012,NUTS,2010,CZ01,2,1369.0
2013,NUTS,2010,CZ01,2,1557.0
2014,NUTS,2010,CZ01,2,1422.0
2015,NUTS,2010,CZ01,2,1411.0
2016,NUTS,2010,CZ01,2,1151.0
2017,NUTS,2010,CZ01,2,1342.0
2018,NUTS,2010,CZ01,2,1539.0
2019,NUTS,2010,CZ01,2,1726.0
2020,NUTS,2010,CZ01,2,1767.0
2001,NUTS,2010,CZ02,2,0.0
2002,NUTS,2010,CZ02,2,0.0
2003,NUTS,2010,CZ02,2,0.0
2004,NUTS,2010,CZ02,2,0.0
2005,NUTS,2010,CZ02,2,1.0
2006,NUTS,2010,CZ02,2,3.0
2007,NUTS,2010,CZ02,2,3.0
2008,NUTS,2010,CZ02,2,9.0
2009,NUTS,2010,CZ02,2,12.0
2010,NUTS,2010,CZ02,2,15.0
2011,NUTS,2010,CZ02,2,37.0
2012,NUTS,2010,CZ02,2,40.0
2013,NUTS,2010,CZ02,2,21.0
2014,NUTS,2010,CZ02,2,28.0
2015,NUTS,2010,CZ02,2,40.0
2016,NUTS,2010,CZ02,2,32.0
2017,NUTS,2010,CZ02,2,34.0
2018,NUTS,2010,CZ02,2,43.0
2019,NUTS,2010,CZ02,2,46.0
2020,NUTS,2010,CZ02,2,45.0
2001,NUTS,2010,CZ03,2,187.0
2002,NUTS,2010,CZ03,2,157.0
2003,NUTS,2010,CZ03,2,93.0
2004,NUTS,2010,CZ03,2,76.0
2005,NUTS,2010,CZ03,2,183.0
2006,NUTS,2010,CZ03,2,150.0
2007,NUTS,2010,CZ03,2,139.0
2008,NUTS,2010,CZ03,2,163.0
2009,NUTS,2010,CZ03,2,209.0
2010,NUTS,2010,CZ03,2,212.0
2011,NUTS,2010,CZ03,2,261.0
2012,NUTS,2010,CZ03,2,216.0
2013,NUTS,2010,CZ03,2,237.0
2014,NUTS,2010,CZ03,2,274.0
2015,NUTS,2010,CZ03,2,246.0
2016,NUTS,2010,CZ03,2,251.0
2017,NUTS,2010,CZ03,2,240.0
2018,NUTS,2010,CZ03,2,276.0
2019,NUTS,2010,CZ03,2,303.0
2020,NUTS,2010,CZ03,2,340.0
2001,NUTS,2010,CZ04,2,45.0
2002,NUTS,2010,CZ04,2,31.0
2003,NUTS,2010,CZ04,2,20.0
2004,NUTS,2010,CZ04,2,28.0
2005,NUTS,2010,CZ04,2,41.0
2006,NUTS,2010,CZ04,2,51.0
2007,NUTS,2010,CZ04,2,47.0
2008,NUTS,2010,CZ04,2,46.0
2009,NUTS,2010,CZ04,2,49.0
2010,NUTS,2010,CZ04,2,46.0
2011,NUTS,2010,CZ04,2,46.0
2012,NUTS,2010,CZ04,2,56.0
2013,NUTS,2010,CZ04,2,74.0
2014,NUTS,2010,CZ04,2,70.0
2015,NUTS,2010,CZ04,2,77.0
2016,NUTS,2010,CZ04,2,75.0
2017,NUTS,2010,CZ04,2,99.0
2018,NUTS,2010,CZ04,2,135.0
2019,NUTS,2010,CZ04,2,76.0
2020,NUTS,2010,CZ04,2,72.0
2001,NUTS,2010,CZ05,2,70.0
2002,NUTS,2010,CZ05,2,76.0
2003,NUTS,2010,CZ05,2,80.0
2004,NUTS,2010,CZ05,2,121.0
2005,NUTS,2010,CZ05,2,230.0
2006,NUTS,2010,CZ05,2,323.0
2007,NUTS,2010,CZ05,2,284.0
2008,NUTS,2010,CZ05,2,195.0
2009,NUTS,2010,CZ05,2,187.0
2010,NUTS,2010,CZ05,2,183.0
2011,NUTS,2010,CZ05,2,318.0
2012,NUTS,2010,CZ05,2,253.0
2013,NUTS,2010,CZ05,2,288.0
2014,NUTS,2010,CZ05,2,320.0
2015,NUTS,2010,CZ05,2,323.0
2016,NUTS,2010,CZ05,2,306.0
2017,NUTS,2010,CZ05,2,347.0
2018,NUTS,2010,CZ05,2,381.0
2019,NUTS,2010,CZ05,2,393.0
2020,NUTS,2010,CZ05,2,397.0
2001,NUTS,2010,CZ06,2,161.0
2002,NUTS,2010,CZ06,2,196.0
2003,NUTS,2010,CZ06,2,224.0
2004,NUTS,2010,CZ06,2,234.0
2005,NUTS,2010,CZ06,2,463.0
2006,NUTS,2010,CZ06,2,481.0
2007,NUTS,2010,CZ06,2,501.0
2008,NUTS,2010,CZ06,2,751.0
2009,NUTS,2010,CZ06,2,779.0
2010,NUTS,2010,CZ06,2,787.0
2011,NUTS,2010,CZ06,2,576.0
2012,NUTS,2010,CZ06,2,828.0
2013,NUTS,2010,CZ06,2,543.0
2014,NUTS,2010,CZ06,2,564.0
2015,NUTS,2010,CZ06,2,631.0
2016,NUTS,2010,CZ06,2,660.0
2017,NUTS,2010,CZ06,2,643.0
2018,NUTS,2010,CZ06,2,666.0
2019,NUTS,2010,CZ06,2,653.0
2020,NUTS,2010,CZ06,2,783.0
2001,NUTS,2010,CZ07,2,107.0
2002,NUTS,2010,CZ07,2,58.0
2003,NUTS,2010,CZ07,2,95.0
2004,NUTS,2010,CZ07,2,121.0
2005,NUTS,2010,CZ07,2,327.0
2006,NUTS,2010,CZ07,2,314.0
2007,NUTS,2010,CZ07,2,235.0
2008,NUTS,2010,CZ07,2,238.0
2009,NUTS,2010,CZ07,2,234.0
2010,NUTS,2010,CZ07,2,287.0
2011,NUTS,2010,CZ07,2,299.0
2012,NUTS,2010,CZ07,2,427.0
2013,NUTS,2010,CZ07,2,534.0
2014,NUTS,2010,CZ07,2,573.0
2015,NUTS,2010,CZ07,2,631.0
2016,NUTS,2010,CZ07,2,568.0
2017,NUTS,2010,CZ07,2,430.0
2018,NUTS,2010,CZ07,2,476.0
2019,NUTS,2010,CZ07,2,595.0
2020,NUTS,2010,CZ07,2,578.0
2001,NUTS,2010,CZ08,2,126.0
2002,NUTS,2010,CZ08,2,186.0
2003,NUTS,2010,CZ08,2,127.0
2004,NUTS,2010,CZ08,2,110.0
2005,NUTS,2010,CZ08,2,203.0
2006,NUTS,2010,CZ08,2,242.0
2007,NUTS,2010,CZ08,2,285.0
2008,NUTS,2010,CZ08,2,320.0
2009,NUTS,2010,CZ08,2,382.0
2010,NUTS,2010,CZ08,2,335.0
2011,NUTS,2010,CZ08,2,350.0
2012,NUTS,2010,CZ08,2,534.0
2013,NUTS,2010,CZ08,2,278.0
2014,NUTS,2010,CZ08,2,310.0
2015,NUTS,2010,CZ08,2,317.0
2016,NUTS,2010,CZ08,2,304.0
2017,NUTS,2010,CZ08,2,327.0
2018,NUTS,2010,CZ08,2,366.0
2019,NUTS,2010,CZ08,2,380.0
2020,NUTS,2010,CZ08,2,423.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
1995,NUTS,2010,DE,0,11987.0
1996,NUTS,2010,DE,0,12505.0
1997,NUTS,2010,DE,0,12716.0
1998,NUTS,2010,DE,0,13067.0
1999,NUTS,2010,DE,0,13714.0
2000,NUTS,2010,DE,0,14229.0
2001,NUTS,2010,DE,0,15224.0
2002,NUTS,2010,DE,0,16367.0
2003,NUTS,2010,DE,0,16162.0
2004,NUTS,2010,DE,0,15804.0
2005,NUTS,2010,DE,0,18273.0
2006,NUTS,2010,DE,0,19990.0
2007,NUTS,2010,DE,0,22458.0
2008,NUTS,2010,DE,0,24588.0
2009,NUTS,2010,DE,0,27548.0
2010,NUTS,2010,DE,0,29871.0
2011,NUTS,2010,DE,0,31585.0
2012,NUTS,2010,DE,0,33181.0
2013,NUTS,2010,DE,0,35064.0
2014,NUTS,2010,DE,0,35759.0
2015,NUTS,2010,DE,0,37355.0
2016,NUTS,2010,DE,0,39380.0
2017,NUTS,2010,DE,0,40462.0
2018,NUTS,2010,DE,0,42040.0
2019,NUTS,2010,DE,0,42026.0
1999,NUTS,2010,DK,0,1634.0
2000,NUTS,2010,DK,0,1683.0
2001,NUTS,2010,DK,0,1864.0
2002,NUTS,2010,DK,0,2493.0
2003,NUTS,2010,DK,0,2585.0
2004,NUTS,2010,DK,0,2708.0
2005,NUTS,2010,DK,0,2901.0
2006,NUTS,2010,DK,0,3309.0
2007,NUTS,2010,DK,0,3651.0
2009,NUTS,2010,DK,0,4671.0
2010,NUTS,2010,DK,0,5267.0
2011,NUTS,2010,DK,0,5864.0
2012,NUTS,2010,DK,0,5879.0
2013,NUTS,2010,DK,0,6347.0
2014,NUTS,2010,DK,0,6259.0
2015,NUTS,2010,DK,0,6587.0
2016,NUTS,2010,DK,0,6975.0
2017,NUTS,2010,DK,0,6980.0
2018,NUTS,2010,DK,0,7294.0
2019,NUTS,2010,DK,0,7479.0
1999,NUTS,2010,DK0,1,1634.0
2000,NUTS,2010,DK0,1,1683.0
2001,NUTS,2010,DK0,1,1899.0
2002,NUTS,2010,DK0,1,2493.0
2003,NUTS,2010,DK0,1,2584.0
2009,NUTS,2010,DK0,1,4891.0
2010,NUTS,2010,DK0,1,5267.0
2011,NUTS,2010,DK0,1,5864.0
2012,NUTS,2010,DK0,1,5878.0
2013,NUTS,2010,DK0,1,6347.0
2014,NUTS,2010,DK0,1,6259.0
2015,NUTS,2010,DK0,1,6587.0
2016,NUTS,2010,DK0,1,6975.0
2017,NUTS,2010,DK0,1,6980.0
2018,NUTS,2010,DK0,1,7294.0
2019,NUTS,2010,DK0,1,7479.0
2009,NUTS,2010,DK01,2,2754.0
2010,NUTS,2010,DK01,2,3132.0
2011,NUTS,2010,DK01,2,3261.0
2012,NUTS,2010,DK01,2,3319.0
2013,NUTS,2010,DK01,2,3685.0
2014,NUTS,2010,DK01,2,3479.0
2015,NUTS,2010,DK01,2,3589.0
2016,NUTS,2010,DK01,2,3997.0
2017,NUTS,2010,DK01,2,4036.0
2019,NUTS,2010,DK01,2,4319.0
2009,NUTS,2010,DK02,2,278.0
2010,NUTS,2010,DK02,2,280.0
2011,NUTS,2010,DK02,2,296.0
2012,NUTS,2010,DK02,2,228.0
2013,NUTS,2010,DK02,2,222.0
2014,NUTS,2010,DK02,2,300.0
2015,NUTS,2010,DK02,2,286.0
2016,NUTS,2010,DK02,2,300.0
2017,NUTS,2010,DK02,2,316.0
2019,NUTS,2010,DK02,2,341.0
2009,NUTS,2010,DK03,2,492.0
2010,NUTS,2010,DK03,2,499.0
2011,NUTS,2010,DK03,2,596.0
2012,NUTS,2010,DK03,2,667.0
2013,NUTS,2010,DK03,2,689.0
2014,NUTS,2010,DK03,2,731.0
2015,NUTS,2010,DK03,2,773.0
2016,NUTS,2010,DK03,2,776.0
2017,NUTS,2010,DK03,2,495.0
2019,NUTS,2010,DK03,2,543.0
2009,NUTS,2010,DK04,2,1061.0
2010,NUTS,2010,DK04,2,1037.0
2011,NUTS,2010,DK04,2,1350.0
2012,NUTS,2010,DK04,2,1264.0
2013,NUTS,2010,DK04,2,1256.0
