year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_hes_mio_pps_kp05
2014,NUTS,2010,BE,0,1567.712
2015,NUTS,2010,BE,0,1613.443
2016,NUTS,2010,BE,0,1767.182
2017,NUTS,2010,BE,0,1779.036
2018,NUTS,2010,BE,0,1804.309
2019,NUTS,2010,BE,0,1846.352
2020,NUTS,2010,BE,0,2005.422
2011,NUTS,2010,BE1,1,292.882
2012,NUTS,2010,BE1,1,301.579
2013,NUTS,2010,BE1,1,328.773
2014,NUTS,2010,BE1,1,315.252
2015,NUTS,2010,BE1,1,318.646
2016,NUTS,2010,BE1,1,354.523
2017,NUTS,2010,BE1,1,359.176
2018,NUTS,2010,BE1,1,344.42
2019,NUTS,2010,BE1,1,344.347
2011,NUTS,2010,BE10,2,292.882
2012,NUTS,2010,BE10,2,301.579
2013,NUTS,2010,BE10,2,328.773
2014,NUTS,2010,BE10,2,315.252
2015,NUTS,2010,BE10,2,318.646
2016,NUTS,2010,BE10,2,354.523
2017,NUTS,2010,BE10,2,359.176
2018,NUTS,2010,BE10,2,344.42
2019,NUTS,2010,BE10,2,344.347
2011,NUTS,2010,BE2,1,854.871
2012,NUTS,2010,BE2,1,868.698
2013,NUTS,2010,BE2,1,909.963
2014,NUTS,2010,BE2,1,890.638
2015,NUTS,2010,BE2,1,911.253
2016,NUTS,2010,BE2,1,991.253
2017,NUTS,2010,BE2,1,979.595
2018,NUTS,2010,BE2,1,1033.75
2019,NUTS,2010,BE2,1,1101.069
2011,NUTS,2010,BE3,1,365.209
2012,NUTS,2010,BE3,1,356.251
2013,NUTS,2010,BE3,1,359.186
2014,NUTS,2010,BE3,1,361.822
2015,NUTS,2010,BE3,1,383.545
2016,NUTS,2010,BE3,1,421.406
2017,NUTS,2010,BE3,1,440.265
2018,NUTS,2010,BE3,1,426.139
2019,NUTS,2010,BE3,1,400.936
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,42.404
2012,NUTS,2010,BG,0,38.001
2013,NUTS,2010,BG,0,42.964
2014,NUTS,2010,BG,0,55.026
2015,NUTS,2010,BG,0,41.865
2016,NUTS,2010,BG,0,33.956
2017,NUTS,2010,BG,0,36.626
2018,NUTS,2010,BG,0,36.513
2019,NUTS,2010,BG,0,56.335
2020,NUTS,2010,BG,0,45.891
2011,NUTS,2010,BG3,1,7.229
2012,NUTS,2010,BG3,1,7.025
2014,NUTS,2010,BG3,1,14.446
2015,NUTS,2010,BG3,1,8.003
2016,NUTS,2010,BG3,1,8.261
2017,NUTS,2010,BG3,1,8.681
2018,NUTS,2010,BG3,1,9.167
2019,NUTS,2010,BG3,1,16.727
2011,NUTS,2010,BG32,2,1.431
2012,NUTS,2010,BG32,2,1.111
2013,NUTS,2010,BG32,2,1.23
2014,NUTS,2010,BG32,2,1.307
2015,NUTS,2010,BG32,2,1.309
2016,NUTS,2010,BG32,2,1.535
2017,NUTS,2010,BG32,2,1.674
2018,NUTS,2010,BG32,2,1.552
2019,NUTS,2010,BG32,2,1.504
2012,NUTS,2010,BG33,2,2.661
2013,NUTS,2010,BG33,2,3.36
2014,NUTS,2010,BG33,2,10.491
2015,NUTS,2010,BG33,2,3.774
2013,NUTS,2010,BG34,2,2.387
2016,NUTS,2010,BG34,2,2.819
2017,NUTS,2010,BG34,2,3.018
2011,NUTS,2010,BG4,1,35.175
2012,NUTS,2010,BG4,1,30.975
2014,NUTS,2010,BG4,1,40.58
2015,NUTS,2010,BG4,1,33.863
2016,NUTS,2010,BG4,1,25.695
2017,NUTS,2010,BG4,1,27.945
2018,NUTS,2010,BG4,1,27.346
2019,NUTS,2010,BG4,1,39.608
2012,NUTS,2010,BG41,2,25.419
2013,NUTS,2010,BG41,2,31.824
2014,NUTS,2010,BG41,2,37.511
2015,NUTS,2010,BG41,2,26.706
2016,NUTS,2010,BG41,2,22.007
2017,NUTS,2010,BG41,2,23.738
2018,NUTS,2010,BG41,2,22.665
2019,NUTS,2010,BG41,2,24.036
2012,NUTS,2010,BG42,2,5.556
2014,NUTS,2010,BG42,2,3.069
2015,NUTS,2010,BG42,2,7.157
2016,NUTS,2010,BG42,2,3.688
2017,NUTS,2010,BG42,2,4.208
2018,NUTS,2010,BG42,2,4.681
2019,NUTS,2010,BG42,2,15.571
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,2363.992
2014,NUTS,2010,CH,0,2586.638
2015,NUTS,2010,CH,0,2722.453
2017,NUTS,2010,CH,0,2904.543
2019,NUTS,2010,CH,0,3066.461
2012,NUTS,2010,CH0,1,2363.992
2014,NUTS,2010,CH0,1,2586.638
2015,NUTS,2010,CH0,1,2722.453
2017,NUTS,2010,CH0,1,2904.543
2019,NUTS,2010,CH0,1,3066.461
2011,NUTS,2010,CN_X_HK,5,14640.612
2012,NUTS,2010,CN_X_HK,5,16066.71
2013,NUTS,2010,CN_X_HK,5,17221.116
2014,NUTS,2010,CN_X_HK,5,17831.06
2015,NUTS,2010,CN_X_HK,5,19853.678
2016,NUTS,2010,CN_X_HK,5,21233.257
2011,NUTS,2010,CY,0,46.114
2012,NUTS,2010,CY,0,44.552
2013,NUTS,2010,CY,0,45.422
2014,NUTS,2010,CY,0,42.619
2015,NUTS,2010,CY,0,41.902
2016,NUTS,2010,CY,0,38.937
2017,NUTS,2010,CY,0,44.466
2018,NUTS,2010,CY,0,51.779
2019,NUTS,2010,CY,0,60.41
2020,NUTS,2010,CY,0,63.092
2011,NUTS,2010,CY0,1,46.114
2012,NUTS,2010,CY0,1,44.552
2013,NUTS,2010,CY0,1,45.422
2014,NUTS,2010,CY0,1,42.619
2015,NUTS,2010,CY0,1,41.902
2016,NUTS,2010,CY0,1,38.937
2017,NUTS,2010,CY0,1,44.466
2018,NUTS,2010,CY0,1,51.779
2019,NUTS,2010,CY0,1,60.41
2020,NUTS,2010,CY0,1,63.092
2011,NUTS,2010,CY00,2,46.114
2012,NUTS,2010,CY00,2,44.552
2013,NUTS,2010,CY00,2,45.422
2014,NUTS,2010,CY00,2,42.619
2015,NUTS,2010,CY00,2,41.902
2016,NUTS,2010,CY00,2,38.937
2017,NUTS,2010,CY00,2,44.466
2018,NUTS,2010,CY00,2,51.779
2019,NUTS,2010,CY00,2,60.41
2020,NUTS,2010,CY00,2,63.092
2011,NUTS,2010,CZ,0,799.796
2012,NUTS,2010,CZ,0,1025.056
2013,NUTS,2010,CZ,0,1078.368
2014,NUTS,2010,CZ,0,1072.586
2015,NUTS,2010,CZ,0,1084.39
2016,NUTS,2010,CZ,0,795.378
2017,NUTS,2010,CZ,0,850.253
2018,NUTS,2010,CZ,0,1031.352
2019,NUTS,2010,CZ,0,1094.097
2020,NUTS,2010,CZ,0,1055.61
2011,NUTS,2010,CZ0,1,799.796
2012,NUTS,2010,CZ0,1,1025.056
2013,NUTS,2010,CZ0,1,1078.368
2014,NUTS,2010,CZ0,1,1072.586
2015,NUTS,2010,CZ0,1,1084.39
2016,NUTS,2010,CZ0,1,795.378
2017,NUTS,2010,CZ0,1,850.253
2018,NUTS,2010,CZ0,1,1031.352
2019,NUTS,2010,CZ0,1,1094.097
2020,NUTS,2010,CZ0,1,1055.61
2011,NUTS,2010,CZ01,2,276.31
2012,NUTS,2010,CZ01,2,270.291
2013,NUTS,2010,CZ01,2,302.426
2014,NUTS,2010,CZ01,2,317.623
2015,NUTS,2010,CZ01,2,362.627
2016,NUTS,2010,CZ01,2,308.38
2017,NUTS,2010,CZ01,2,332.963
2018,NUTS,2010,CZ01,2,409.026
2019,NUTS,2010,CZ01,2,427.876
2020,NUTS,2010,CZ01,2,403.955
2011,NUTS,2010,CZ02,2,2.074
2012,NUTS,2010,CZ02,2,5.401
2013,NUTS,2010,CZ02,2,20.09
2014,NUTS,2010,CZ02,2,22.246
2015,NUTS,2010,CZ02,2,13.506
2016,NUTS,2010,CZ02,2,9.242
2017,NUTS,2010,CZ02,2,10.607
2018,NUTS,2010,CZ02,2,11.885
2019,NUTS,2010,CZ02,2,17.256
2020,NUTS,2010,CZ02,2,17.746
2011,NUTS,2010,CZ03,2,59.877
2012,NUTS,2010,CZ03,2,83.378
2013,NUTS,2010,CZ03,2,108.306
2014,NUTS,2010,CZ03,2,117.312
2015,NUTS,2010,CZ03,2,100.739
2016,NUTS,2010,CZ03,2,65.053
2017,NUTS,2010,CZ03,2,66.876
2018,NUTS,2010,CZ03,2,78.548
2019,NUTS,2010,CZ03,2,82.004
2020,NUTS,2010,CZ03,2,77.889
2011,NUTS,2010,CZ04,2,7.439
2012,NUTS,2010,CZ04,2,9.141
2013,NUTS,2010,CZ04,2,11.757
2014,NUTS,2010,CZ04,2,14.204
2015,NUTS,2010,CZ04,2,6.794
2016,NUTS,2010,CZ04,2,7.131
2017,NUTS,2010,CZ04,2,8.587
2018,NUTS,2010,CZ04,2,11.077
2019,NUTS,2010,CZ04,2,9.655
2020,NUTS,2010,CZ04,2,12.146
2011,NUTS,2010,CZ05,2,72.136
2012,NUTS,2010,CZ05,2,77.518
2013,NUTS,2010,CZ05,2,85.368
2014,NUTS,2010,CZ05,2,71.54
2015,NUTS,2010,CZ05,2,71.003
2016,NUTS,2010,CZ05,2,57.275
2017,NUTS,2010,CZ05,2,68.472
2018,NUTS,2010,CZ05,2,90.371
2019,NUTS,2010,CZ05,2,90.039
2020,NUTS,2010,CZ05,2,83.109
2011,NUTS,2010,CZ06,2,228.535
2012,NUTS,2010,CZ06,2,346.1
2013,NUTS,2010,CZ06,2,343.986
2014,NUTS,2010,CZ06,2,314.023
2015,NUTS,2010,CZ06,2,350.203
2016,NUTS,2010,CZ06,2,210.025
2017,NUTS,2010,CZ06,2,230.004
2018,NUTS,2010,CZ06,2,256.038
2019,NUTS,2010,CZ06,2,278.33
2020,NUTS,2010,CZ06,2,290.153
2011,NUTS,2010,CZ07,2,64.265
2012,NUTS,2010,CZ07,2,140.693
2013,NUTS,2010,CZ07,2,103.004
2014,NUTS,2010,CZ07,2,125.351
2015,NUTS,2010,CZ07,2,93.001
2016,NUTS,2010,CZ07,2,78.349
2017,NUTS,2010,CZ07,2,77.569
2018,NUTS,2010,CZ07,2,95.228
2019,NUTS,2010,CZ07,2,96.84
2020,NUTS,2010,CZ07,2,88.475
2011,NUTS,2010,CZ08,2,89.16
2012,NUTS,2010,CZ08,2,92.535
2013,NUTS,2010,CZ08,2,103.432
2014,NUTS,2010,CZ08,2,90.287
2015,NUTS,2010,CZ08,2,86.517
2016,NUTS,2010,CZ08,2,59.923
2017,NUTS,2010,CZ08,2,55.176
2018,NUTS,2010,CZ08,2,79.18
2019,NUTS,2010,CZ08,2,92.097
2020,NUTS,2010,CZ08,2,82.139
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,11874.273
2012,NUTS,2010,DE,0,12099.231
2013,NUTS,2010,DE,0,12140.043
2014,NUTS,2010,DE,0,12439.978
2015,NUTS,2010,DE,0,12552.221
2016,NUTS,2010,DE,0,13423.108
2017,NUTS,2010,DE,0,13745.656
2018,NUTS,2010,DE,0,14351.07
2019,NUTS,2010,DE,0,14652.943
2020,NUTS,2010,DE,0,14491.165
2011,NUTS,2010,DE1,1,1868.157
2012,NUTS,2010,DE1,1,1908.534
2013,NUTS,2010,DE1,1,1842.945
2014,NUTS,2010,DE1,1,1849.996
2015,NUTS,2010,DE1,1,1892.0
2016,NUTS,2010,DE1,1,1981.176
2017,NUTS,2010,DE1,1,2025.065
2018,NUTS,2010,DE1,1,2077.374
2019,NUTS,2010,DE1,1,2133.605
2011,NUTS,2010,DE11,2,337.891
2012,NUTS,2010,DE11,2,349.305
2013,NUTS,2010,DE11,2,359.495
2014,NUTS,2010,DE11,2,345.701
2015,NUTS,2010,DE11,2,361.576
2016,NUTS,2010,DE11,2,404.281
2017,NUTS,2010,DE11,2,415.499
2018,NUTS,2010,DE11,2,407.59
2019,NUTS,2010,DE11,2,403.474
2011,NUTS,2010,DE12,2,673.258
2012,NUTS,2010,DE12,2,685.67
2013,NUTS,2010,DE12,2,684.316
2014,NUTS,2010,DE12,2,664.704
2015,NUTS,2010,DE12,2,680.328
2016,NUTS,2010,DE12,2,671.201
2017,NUTS,2010,DE12,2,687.514
2018,NUTS,2010,DE12,2,712.599
2019,NUTS,2010,DE12,2,738.226
2011,NUTS,2010,DE13,2,360.91
2012,NUTS,2010,DE13,2,364.703
2013,NUTS,2010,DE13,2,365.807
2014,NUTS,2010,DE13,2,395.68
2015,NUTS,2010,DE13,2,393.544
2016,NUTS,2010,DE13,2,433.226
2017,NUTS,2010,DE13,2,429.227
2018,NUTS,2010,DE13,2,440.253
2019,NUTS,2010,DE13,2,456.078
2011,NUTS,2010,DE14,2,496.098
2012,NUTS,2010,DE14,2,508.856
2013,NUTS,2010,DE14,2,433.326
2014,NUTS,2010,DE14,2,443.911
2015,NUTS,2010,DE14,2,456.552
2016,NUTS,2010,DE14,2,472.469
2017,NUTS,2010,DE14,2,492.826
2018,NUTS,2010,DE14,2,516.933
2019,NUTS,2010,DE14,2,535.82
2011,NUTS,2010,DE2,1,1769.538
2012,NUTS,2010,DE2,1,1804.249
2013,NUTS,2010,DE2,1,1838.956
2014,NUTS,2010,DE2,1,1812.07
2015,NUTS,2010,DE2,1,1855.302
2016,NUTS,2010,DE2,1,2003.67
2017,NUTS,2010,DE2,1,2081.002
2018,NUTS,2010,DE2,1,2184.241
2019,NUTS,2010,DE2,1,2262.719
2011,NUTS,2010,DE21,2,874.007
2012,NUTS,2010,DE21,2,914.456
2013,NUTS,2010,DE21,2,953.021
2014,NUTS,2010,DE21,2,941.606
2015,NUTS,2010,DE21,2,979.4
2016,NUTS,2010,DE21,2,1029.41
2017,NUTS,2010,DE21,2,1060.156
2018,NUTS,2010,DE21,2,1128.872
2019,NUTS,2010,DE21,2,1178.568
2011,NUTS,2010,DE22,2,31.36
2012,NUTS,2010,DE22,2,30.801
2013,NUTS,2010,DE22,2,31.315
2014,NUTS,2010,DE22,2,33.383
2015,NUTS,2010,DE22,2,35.844
2016,NUTS,2010,DE22,2,47.384
2017,NUTS,2010,DE22,2,50.308
2018,NUTS,2010,DE22,2,53.56
2019,NUTS,2010,DE22,2,57.113
2011,NUTS,2010,DE23,2,140.165
2012,NUTS,2010,DE23,2,140.192
2013,NUTS,2010,DE23,2,140.155
2014,NUTS,2010,DE23,2,136.818
2015,NUTS,2010,DE23,2,138.075
2016,NUTS,2010,DE23,2,155.589
2017,NUTS,2010,DE23,2,167.213
2018,NUTS,2010,DE23,2,171.28
2019,NUTS,2010,DE23,2,177.223
2011,NUTS,2010,DE24,2,123.893
2012,NUTS,2010,DE24,2,131.288
2013,NUTS,2010,DE24,2,136.726
2014,NUTS,2010,DE24,2,116.553
2015,NUTS,2010,DE24,2,117.99
2016,NUTS,2010,DE24,2,134.603
2017,NUTS,2010,DE24,2,137.029
2018,NUTS,2010,DE24,2,144.402
2019,NUTS,2010,DE24,2,149.458
2011,NUTS,2010,DE25,2,335.332
2012,NUTS,2010,DE25,2,331.922
2013,NUTS,2010,DE25,2,332.797
2014,NUTS,2010,DE25,2,337.716
2015,NUTS,2010,DE25,2,326.116
2016,NUTS,2010,DE25,2,344.799
2017,NUTS,2010,DE25,2,359.085
2018,NUTS,2010,DE25,2,364.039
2019,NUTS,2010,DE25,2,361.639
2011,NUTS,2010,DE26,2,206.649
2012,NUTS,2010,DE26,2,201.515
2013,NUTS,2010,DE26,2,190.041
2014,NUTS,2010,DE26,2,191.609
2015,NUTS,2010,DE26,2,200.259
2016,NUTS,2010,DE26,2,219.441
2017,NUTS,2010,DE26,2,229.937
2018,NUTS,2010,DE26,2,235.229
2019,NUTS,2010,DE26,2,240.833
2011,NUTS,2010,DE27,2,58.133
2012,NUTS,2010,DE27,2,54.076
2013,NUTS,2010,DE27,2,54.9
2014,NUTS,2010,DE27,2,54.385
2015,NUTS,2010,DE27,2,57.619
2016,NUTS,2010,DE27,2,72.444
2017,NUTS,2010,DE27,2,77.273
2018,NUTS,2010,DE27,2,86.858
2019,NUTS,2010,DE27,2,97.894
2011,NUTS,2010,DE3,1,824.447
2012,NUTS,2010,DE3,1,810.098
2013,NUTS,2010,DE3,1,800.074
2014,NUTS,2010,DE3,1,905.988
2015,NUTS,2010,DE3,1,897.056
2016,NUTS,2010,DE3,1,963.729
2017,NUTS,2010,DE3,1,933.551
2018,NUTS,2010,DE3,1,967.663
2019,NUTS,2010,DE3,1,995.238
2011,NUTS,2010,DE30,2,824.447
2012,NUTS,2010,DE30,2,810.098
2013,NUTS,2010,DE30,2,800.074
2014,NUTS,2010,DE30,2,905.988
2015,NUTS,2010,DE30,2,897.056
2016,NUTS,2010,DE30,2,963.729
2017,NUTS,2010,DE30,2,933.551
2018,NUTS,2010,DE30,2,967.663
2019,NUTS,2010,DE30,2,995.238
2011,NUTS,2010,DE4,1,178.552
2012,NUTS,2010,DE4,1,178.87
2013,NUTS,2010,DE4,1,186.003
2014,NUTS,2010,DE4,1,185.038
2015,NUTS,2010,DE4,1,186.567
2016,NUTS,2010,DE4,1,189.933
2017,NUTS,2010,DE4,1,209.518
2018,NUTS,2010,DE4,1,218.621
2019,NUTS,2010,DE4,1,220.74
2011,NUTS,2010,DE40,2,178.552
2012,NUTS,2010,DE40,2,178.87
2013,NUTS,2010,DE40,2,186.003
2014,NUTS,2010,DE40,2,185.038
2015,NUTS,2010,DE40,2,186.567
2016,NUTS,2010,DE40,2,189.933
2017,NUTS,2010,DE40,2,209.518
2018,NUTS,2010,DE40,2,218.621
2019,NUTS,2010,DE40,2,220.74
2011,NUTS,2010,DE5,1,186.485
2012,NUTS,2010,DE5,1,180.63
2013,NUTS,2010,DE5,1,179.101
2014,NUTS,2010,DE5,1,171.14
2015,NUTS,2010,DE5,1,169.493
2016,NUTS,2010,DE5,1,193.346
2017,NUTS,2010,DE5,1,200.962
2018,NUTS,2010,DE5,1,209.856
2019,NUTS,2010,DE5,1,201.634
2011,NUTS,2010,DE50,2,186.485
2012,NUTS,2010,DE50,2,180.63
2013,NUTS,2010,DE50,2,179.101
2014,NUTS,2010,DE50,2,171.14
2015,NUTS,2010,DE50,2,169.493
2016,NUTS,2010,DE50,2,193.346
2017,NUTS,2010,DE50,2,200.962
2018,NUTS,2010,DE50,2,209.856
2019,NUTS,2010,DE50,2,201.634
2011,NUTS,2010,DE6,1,417.192
2012,NUTS,2010,DE6,1,429.716
2013,NUTS,2010,DE6,1,433.837
2014,NUTS,2010,DE6,1,439.548
2015,NUTS,2010,DE6,1,453.707
2016,NUTS,2010,DE6,1,486.196
2017,NUTS,2010,DE6,1,489.212
2018,NUTS,2010,DE6,1,524.703
2019,NUTS,2010,DE6,1,540.964
2011,NUTS,2010,DE60,2,417.192
2012,NUTS,2010,DE60,2,429.716
2013,NUTS,2010,DE60,2,433.837
2014,NUTS,2010,DE60,2,439.548
2015,NUTS,2010,DE60,2,453.707
2016,NUTS,2010,DE60,2,486.196
2017,NUTS,2010,DE60,2,489.212
2018,NUTS,2010,DE60,2,524.703
2019,NUTS,2010,DE60,2,540.964
2011,NUTS,2010,DE7,1,874.453
2012,NUTS,2010,DE7,1,924.132
2013,NUTS,2010,DE7,1,858.763
2014,NUTS,2010,DE7,1,854.151
2015,NUTS,2010,DE7,1,918.025
2016,NUTS,2010,DE7,1,976.948
2017,NUTS,2010,DE7,1,966.381
2018,NUTS,2010,DE7,1,1006.343
2019,NUTS,2010,DE7,1,1053.642
2011,NUTS,2010,DE71,2,542.765
2012,NUTS,2010,DE71,2,561.671
2013,NUTS,2010,DE71,2,513.591
2014,NUTS,2010,DE71,2,507.242
2015,NUTS,2010,DE71,2,518.895
2016,NUTS,2010,DE71,2,585.368
2017,NUTS,2010,DE71,2,564.073
2018,NUTS,2010,DE71,2,590.21
2019,NUTS,2010,DE71,2,591.97
2011,NUTS,2010,DE72,2,238.45
2012,NUTS,2010,DE72,2,267.364
2013,NUTS,2010,DE72,2,245.73
2014,NUTS,2010,DE72,2,248.664
2015,NUTS,2010,DE72,2,288.484
2016,NUTS,2010,DE72,2,277.681
2017,NUTS,2010,DE72,2,289.961
2018,NUTS,2010,DE72,2,298.281
2019,NUTS,2010,DE72,2,203.201
2011,NUTS,2010,DE73,2,93.238
2012,NUTS,2010,DE73,2,95.098
2013,NUTS,2010,DE73,2,99.442
2014,NUTS,2010,DE73,2,98.246
2015,NUTS,2010,DE73,2,110.647
2016,NUTS,2010,DE73,2,113.899
2017,NUTS,2010,DE73,2,112.347
2018,NUTS,2010,DE73,2,117.851
2019,NUTS,2010,DE73,2,258.472
2011,NUTS,2010,DE8,1,210.603
2012,NUTS,2010,DE8,1,213.821
2013,NUTS,2010,DE8,1,202.971
2014,NUTS,2010,DE8,1,217.88
2015,NUTS,2010,DE8,1,213.154
2016,NUTS,2010,DE8,1,199.401
2017,NUTS,2010,DE8,1,200.948
2018,NUTS,2010,DE8,1,202.143
2019,NUTS,2010,DE8,1,230.851
2011,NUTS,2010,DE80,2,210.603
2012,NUTS,2010,DE80,2,213.821
2013,NUTS,2010,DE80,2,202.971
2014,NUTS,2010,DE80,2,217.88
2015,NUTS,2010,DE80,2,213.154
2016,NUTS,2010,DE80,2,199.401
2017,NUTS,2010,DE80,2,200.948
2018,NUTS,2010,DE80,2,202.143
2019,NUTS,2010,DE80,2,230.851
2011,NUTS,2010,DE9,1,1008.195
2012,NUTS,2010,DE9,1,1039.767
2013,NUTS,2010,DE9,1,1090.16
2014,NUTS,2010,DE9,1,1099.673
2015,NUTS,2010,DE9,1,1120.798
2016,NUTS,2010,DE9,1,1181.662
2017,NUTS,2010,DE9,1,1221.391
2018,NUTS,2010,DE9,1,1260.293
2019,NUTS,2010,DE9,1,1297.318
2011,NUTS,2010,DE91,2,450.197
2012,NUTS,2010,DE91,2,460.361
2013,NUTS,2010,DE91,2,476.704
2014,NUTS,2010,DE91,2,467.079
2015,NUTS,2010,DE91,2,466.163
2016,NUTS,2010,DE91,2,482.182
2017,NUTS,2010,DE91,2,509.055
2018,NUTS,2010,DE91,2,534.764
2019,NUTS,2010,DE91,2,552.519
2011,NUTS,2010,DE92,2,394.529
2012,NUTS,2010,DE92,2,400.105
2013,NUTS,2010,DE92,2,424.23
2014,NUTS,2010,DE92,2,430.433
2015,NUTS,2010,DE92,2,435.227
2016,NUTS,2010,DE92,2,445.025
2017,NUTS,2010,DE92,2,469.077
2018,NUTS,2010,DE92,2,478.428
2019,NUTS,2010,DE92,2,486.289
2011,NUTS,2010,DE93,2,28.831
2012,NUTS,2010,DE93,2,37.778
2013,NUTS,2010,DE93,2,41.654
2014,NUTS,2010,DE93,2,42.971
2015,NUTS,2010,DE93,2,45.808
2016,NUTS,2010,DE93,2,42.13
2017,NUTS,2010,DE93,2,42.407
2018,NUTS,2010,DE93,2,38.597
2019,NUTS,2010,DE93,2,37.51
2011,NUTS,2010,DE94,2,134.638
2012,NUTS,2010,DE94,2,141.523
2013,NUTS,2010,DE94,2,147.572
2014,NUTS,2010,DE94,2,159.19
2015,NUTS,2010,DE94,2,173.601
2016,NUTS,2010,DE94,2,212.325
2017,NUTS,2010,DE94,2,200.852
2018,NUTS,2010,DE94,2,208.504
2019,NUTS,2010,DE94,2,221.015
2011,NUTS,2010,DEA,1,2450.634
2012,NUTS,2010,DEA,1,2512.051
