year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_f_pc_emp_fte
2018,NUTS,2010,ME,0,0.1043
2019,NUTS,2010,ME,0,0.1629
2011,NUTS,2010,MK,0,0.0771
2012,NUTS,2010,MK,0,0.1616
2015,NUTS,2010,MK,0,0.0382
2016,NUTS,2010,MK,0,0.0484
2017,NUTS,2010,MK,0,0.0468
2018,NUTS,2010,MK,0,0.0436
2019,NUTS,2010,MK,0,0.0388
2011,NUTS,2010,MT,0,0.0207
2012,NUTS,2010,MT,0,0.012
2013,NUTS,2010,MT,0,0.0091
2014,NUTS,2010,MT,0,0.0081
2015,NUTS,2010,MT,0,0.0092
2016,NUTS,2010,MT,0,0.009
2017,NUTS,2010,MT,0,0.0146
2018,NUTS,2010,MT,0,0.0153
2019,NUTS,2010,MT,0,0.0027
2011,NUTS,2010,NL,0,0.1003
2012,NUTS,2010,NL,0,0.1461
2015,NUTS,2010,PL,0,0.1432
2016,NUTS,2010,PL,0,0.032
2017,NUTS,2010,PL,0,0.0346
2018,NUTS,2010,PL,0,0.0323
2019,NUTS,2010,PL,0,0.0275
2011,NUTS,2010,PT,0,0.096
2012,NUTS,2010,PT,0,0.0662
2013,NUTS,2010,PT,0,0.0581
2014,NUTS,2010,PT,0,0.059
2015,NUTS,2010,PT,0,0.059
2016,NUTS,2010,PT,0,0.0598
2017,NUTS,2010,PT,0,0.0612
2018,NUTS,2010,PT,0,0.0606
2019,NUTS,2010,PT,0,0.0604
2020,NUTS,2010,PT,0,0.069
2011,NUTS,2010,RO,0,0.1681
2012,NUTS,2010,RO,0,0.1824
2013,NUTS,2010,RO,0,0.2006
2014,NUTS,2010,RO,0,0.1905
2015,NUTS,2010,RO,0,0.1932
2016,NUTS,2010,RO,0,0.1995
2017,NUTS,2010,RO,0,0.1893
2018,NUTS,2010,RO,0,0.1788
2019,NUTS,2010,RO,0,0.1865
2011,NUTS,2010,RS,0,0.3074
2012,NUTS,2010,RS,0,0.318
2013,NUTS,2010,RS,0,0.3102
2014,NUTS,2010,RS,0,0.2594
2015,NUTS,2010,RS,0,0.2785
2016,NUTS,2010,RS,0,0.2569
2017,NUTS,2010,RS,0,0.2493
2018,NUTS,2010,RS,0,0.2583
2019,NUTS,2010,RS,0,0.2539
2020,NUTS,2010,RS,0,0.2595
2011,NUTS,2010,SE,0,0.0648
2013,NUTS,2010,SE,0,0.0707
2015,NUTS,2010,SE,0,0.0902
2017,NUTS,2010,SE,0,0.1114
2019,NUTS,2010,SE,0,0.1083
2011,NUTS,2010,SI,0,0.317
2012,NUTS,2010,SI,0,0.3128
2013,NUTS,2010,SI,0,0.3279
2014,NUTS,2010,SI,0,0.3166
2015,NUTS,2010,SI,0,0.3103
2016,NUTS,2010,SI,0,0.306
2017,NUTS,2010,SI,0,0.2696
2018,NUTS,2010,SI,0,0.2891
2019,NUTS,2010,SI,0,0.3149
2011,NUTS,2010,SK,0,0.1978
2012,NUTS,2010,SK,0,0.203
2013,NUTS,2010,SK,0,0.1698
2014,NUTS,2010,SK,0,0.1991
2015,NUTS,2010,SK,0,0.2087
2016,NUTS,2010,SK,0,0.2044
2017,NUTS,2010,SK,0,0.1883
2018,NUTS,2010,SK,0,0.1817
2019,NUTS,2010,SK,0,0.1813
2020,NUTS,2010,SK,0,0.1872
2011,NUTS,2010,TR,0,0.043
2012,NUTS,2010,TR,0,0.043
2013,NUTS,2010,TR,0,0.0406
2014,NUTS,2010,TR,0,0.0419
2015,NUTS,2010,TR,0,0.0406
2016,NUTS,2010,TR,0,0.039
2017,NUTS,2010,TR,0,0.0381
2018,NUTS,2010,TR,0,0.0364
2019,NUTS,2010,TR,0,0.0291
2020,NUTS,2010,TR,0,0.035
2011,NUTS,2010,UK,0,0.0443
2012,NUTS,2010,UK,0,0.0439
2013,NUTS,2010,UK,0,0.0416
2014,NUTS,2010,UK,0,0.0401
2015,NUTS,2010,UK,0,0.0401
2016,NUTS,2010,UK,0,0.0395
2017,NUTS,2010,UK,0,0.039
2018,NUTS,2010,UK,0,0.0388
