year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_smc_p_mhab
2011,NUTS,2010,DE71E,3,1.141
2012,NUTS,2010,DE71E,3,8.478
2011,NUTS,2010,DE72,2,3.419
2012,NUTS,2010,DE72,2,0.644
2011,NUTS,2010,DE721,3,0.546
2012,NUTS,2010,DE721,3,0.66
2012,NUTS,2010,DE722,3,1.307
2011,NUTS,2010,DE723,3,2.46
2012,NUTS,2010,DE723,3,0.998
2011,NUTS,2010,DE724,3,11.948
2011,NUTS,2010,DE73,2,3.147
2012,NUTS,2010,DE73,2,2.465
2011,NUTS,2010,DE731,3,7.16
2012,NUTS,2010,DE731,3,7.633
2011,NUTS,2010,DE732,3,2.301
2011,NUTS,2010,DE733,3,1.145
2011,NUTS,2010,DE734,3,7.595
2012,NUTS,2010,DE734,3,5.288
2012,NUTS,2010,DE736,3,1.557
2011,NUTS,2010,DE8,1,0.694
2011,NUTS,2010,DE80,2,0.694
2011,NUTS,2010,DE804,3,1.47
2011,NUTS,2010,DE80D,3,9.474
2011,NUTS,2010,DE9,1,2.667
2012,NUTS,2010,DE9,1,1.073
2011,NUTS,2010,DE91,2,4.561
2012,NUTS,2010,DE91,2,0.492
2011,NUTS,2010,DE911,3,14.345
2012,NUTS,2010,DE911,3,2.514
2012,NUTS,2010,DE912,3,1.671
2011,NUTS,2010,DE913,3,1.647
2011,NUTS,2010,DE914,3,3.707
2011,NUTS,2010,DE915,3,3.872
2011,NUTS,2010,DE916,3,6.293
2011,NUTS,2010,DE917,3,5.386
2011,NUTS,2010,DE91B,3,4.343
2011,NUTS,2010,DE92,2,4.881
2012,NUTS,2010,DE92,2,2.419
2011,NUTS,2010,DE923,3,4.867
2012,NUTS,2010,DE923,3,3.275
2011,NUTS,2010,DE925,3,0.707
2012,NUTS,2010,DE926,3,6.904
2011,NUTS,2010,DE929,3,8.382
2012,NUTS,2010,DE929,3,3.671
2011,NUTS,2010,DE93,2,1.081
2012,NUTS,2010,DE93,2,0.84
2011,NUTS,2010,DE931,3,2.801
2011,NUTS,2010,DE933,3,3.362
2011,NUTS,2010,DE935,3,2.82
2012,NUTS,2010,DE936,3,11.189
2012,NUTS,2010,DE938,3,1.225
2011,NUTS,2010,DE94,2,0.605
2012,NUTS,2010,DE94,2,0.448
2012,NUTS,2010,DE943,3,6.155
2012,NUTS,2010,DE944,3,0.667
2011,NUTS,2010,DE94E,3,4.212
2011,NUTS,2010,DEA,1,3.942
2012,NUTS,2010,DEA,1,2.68
2011,NUTS,2010,DEA1,2,2.561
2012,NUTS,2010,DEA1,2,1.46
2011,NUTS,2010,DEA11,3,2.786
2012,NUTS,2010,DEA11,3,0.675
2012,NUTS,2010,DEA12,3,1.189
2011,NUTS,2010,DEA14,3,5.317
2012,NUTS,2010,DEA14,3,0.853
2011,NUTS,2010,DEA15,3,6.783
2011,NUTS,2010,DEA16,3,5.498
2012,NUTS,2010,DEA16,3,14.238
2011,NUTS,2010,DEA17,3,0.939
2012,NUTS,2010,DEA17,3,1.176
2011,NUTS,2010,DEA18,3,2.985
2011,NUTS,2010,DEA1A,3,0.572
2011,NUTS,2010,DEA1B,3,0.552
2011,NUTS,2010,DEA1C,3,3.494
2011,NUTS,2010,DEA1D,3,8.099
2012,NUTS,2010,DEA1D,3,1.757
2011,NUTS,2010,DEA1E,3,1.498
2012,NUTS,2010,DEA1E,3,1.668
2011,NUTS,2010,DEA1F,3,2.134
2012,NUTS,2010,DEA1F,3,5.243
2011,NUTS,2010,DEA2,2,5.953
2012,NUTS,2010,DEA2,2,5.92
2011,NUTS,2010,DEA22,3,1.847
2012,NUTS,2010,DEA22,3,0.762
2011,NUTS,2010,DEA23,3,7.447
2012,NUTS,2010,DEA23,3,3.294
2011,NUTS,2010,DEA24,3,13.311
2012,NUTS,2010,DEA24,3,7.631
2011,NUTS,2010,DEA26,3,3.735
2012,NUTS,2010,DEA26,3,12.392
2011,NUTS,2010,DEA27,3,3.189
2012,NUTS,2010,DEA27,3,1.246
2012,NUTS,2010,DEA28,3,1.731
2011,NUTS,2010,DEA29,3,2.51
2012,NUTS,2010,DEA29,3,1.334
2011,NUTS,2010,DEA2A,3,0.499
2012,NUTS,2010,DEA2A,3,7.155
2011,NUTS,2010,DEA2B,3,8.125
2012,NUTS,2010,DEA2B,3,13.687
2011,NUTS,2010,DEA2C,3,4.042
2012,NUTS,2010,DEA2C,3,4.863
2011,NUTS,2010,DEA2D,3,14.106
2012,NUTS,2010,DEA2D,3,14.096
2011,NUTS,2010,DEA3,2,3.874
2012,NUTS,2010,DEA3,2,0.558
2011,NUTS,2010,DEA31,3,1.713
2011,NUTS,2010,DEA33,3,2.68
2012,NUTS,2010,DEA33,3,3.428
2011,NUTS,2010,DEA34,3,0.893
2011,NUTS,2010,DEA35,3,13.65
2012,NUTS,2010,DEA35,3,0.914
2011,NUTS,2010,DEA36,3,9.176
2012,NUTS,2010,DEA37,3,0.565
2011,NUTS,2010,DEA4,2,1.889
2012,NUTS,2010,DEA4,2,0.737
2011,NUTS,2010,DEA41,3,5.228
2011,NUTS,2010,DEA43,3,4.016
2012,NUTS,2010,DEA43,3,4.036
2011,NUTS,2010,DEA45,3,0.484
2012,NUTS,2010,DEA45,3,1.432
2011,NUTS,2010,DEA47,3,3.335
2011,NUTS,2010,DEA5,2,4.664
2012,NUTS,2010,DEA5,2,3.083
2011,NUTS,2010,DEA51,3,1.548
2012,NUTS,2010,DEA51,3,2.326
2011,NUTS,2010,DEA52,3,9.699
2012,NUTS,2010,DEA52,3,10.328
2011,NUTS,2010,DEA53,3,4.296
2011,NUTS,2010,DEA54,3,5.501
2012,NUTS,2010,DEA54,3,2.746
2011,NUTS,2010,DEA55,3,3.217
2011,NUTS,2010,DEA56,3,1.749
2012,NUTS,2010,DEA56,3,2.152
2012,NUTS,2010,DEA57,3,1.885
2011,NUTS,2010,DEA58,3,9.606
2012,NUTS,2010,DEA58,3,1.564
2011,NUTS,2010,DEA59,3,4.821
2011,NUTS,2010,DEA5A,3,4.705
2012,NUTS,2010,DEA5A,3,1.776
2011,NUTS,2010,DEA5B,3,5.852
2012,NUTS,2010,DEA5B,3,4.939
2011,NUTS,2010,DEB,1,4.303
2012,NUTS,2010,DEB,1,2.498
2011,NUTS,2010,DEB1,2,0.249
2011,NUTS,2010,DEB1A,3,2.994
2011,NUTS,2010,DEB2,2,1.948
2011,NUTS,2010,DEB23,3,7.127
2011,NUTS,2010,DEB25,3,2.33
2011,NUTS,2010,DEB3,2,7.903
2012,NUTS,2010,DEB3,2,4.973
2011,NUTS,2010,DEB31,3,7.052
2012,NUTS,2010,DEB31,3,5.319
2011,NUTS,2010,DEB32,3,13.409
2011,NUTS,2010,DEB33,3,27.743
2012,NUTS,2010,DEB33,3,3.867
2011,NUTS,2010,DEB34,3,14.299
2012,NUTS,2010,DEB34,3,5.98
2011,NUTS,2010,DEB35,3,8.834
2012,NUTS,2010,DEB35,3,7.116
2011,NUTS,2010,DEB36,3,19.298
2012,NUTS,2010,DEB36,3,16.433
2011,NUTS,2010,DEB38,3,2.808
2011,NUTS,2010,DEB39,3,2.08
2011,NUTS,2010,DEB3B,3,2.004
2011,NUTS,2010,DEB3C,3,20.865
2012,NUTS,2010,DEB3C,3,12.613
2011,NUTS,2010,DEB3D,3,3.295
2011,NUTS,2010,DEB3F,3,1.612
2012,NUTS,2010,DEB3F,3,9.56
2011,NUTS,2010,DEB3I,3,15.221
2012,NUTS,2010,DEB3I,3,20.804
2011,NUTS,2010,DEB3J,3,9.144
