year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hc_total_pnp_f
2012,NUTS,2010,BE,0,188.0
2013,NUTS,2010,BE,0,190.0
2014,NUTS,2010,BE,0,164.0
2015,NUTS,2010,BE,0,228.0
2016,NUTS,2010,BE,0,326.0
2017,NUTS,2010,BE,0,358.0
2018,NUTS,2010,BE,0,1342.0
2019,NUTS,2010,BE,0,1390.0
2002,NUTS,2010,BE1,1,141.0
2003,NUTS,2010,BE1,1,152.0
2004,NUTS,2010,BE1,1,128.0
2005,NUTS,2010,BE1,1,117.0
2006,NUTS,2010,BE1,1,128.0
2007,NUTS,2010,BE1,1,132.0
2008,NUTS,2010,BE1,1,134.0
2009,NUTS,2010,BE1,1,140.0
2010,NUTS,2010,BE1,1,147.0
2011,NUTS,2010,BE1,1,135.0
2012,NUTS,2010,BE1,1,145.0
2013,NUTS,2010,BE1,1,143.0
2014,NUTS,2010,BE1,1,117.0
2015,NUTS,2010,BE1,1,152.0
2016,NUTS,2010,BE1,1,159.0
2017,NUTS,2010,BE1,1,191.0
2018,NUTS,2010,BE1,1,1175.0
2019,NUTS,2010,BE1,1,1188.0
2002,NUTS,2010,BE10,2,141.0
2003,NUTS,2010,BE10,2,152.0
2004,NUTS,2010,BE10,2,128.0
2005,NUTS,2010,BE10,2,117.0
2006,NUTS,2010,BE10,2,128.0
2007,NUTS,2010,BE10,2,132.0
2008,NUTS,2010,BE10,2,134.0
2009,NUTS,2010,BE10,2,140.0
2010,NUTS,2010,BE10,2,147.0
2011,NUTS,2010,BE10,2,135.0
2012,NUTS,2010,BE10,2,145.0
2013,NUTS,2010,BE10,2,143.0
2014,NUTS,2010,BE10,2,117.0
2015,NUTS,2010,BE10,2,152.0
2016,NUTS,2010,BE10,2,159.0
2017,NUTS,2010,BE10,2,191.0
2018,NUTS,2010,BE10,2,1175.0
2019,NUTS,2010,BE10,2,1188.0
2002,NUTS,2010,BE2,1,178.0
2003,NUTS,2010,BE2,1,177.0
2004,NUTS,2010,BE2,1,184.0
2005,NUTS,2010,BE2,1,180.0
2006,NUTS,2010,BE2,1,180.0
2007,NUTS,2010,BE2,1,180.0
2008,NUTS,2010,BE2,1,174.0
2009,NUTS,2010,BE2,1,170.0
2010,NUTS,2010,BE2,1,178.0
2011,NUTS,2010,BE2,1,172.0
2012,NUTS,2010,BE2,1,43.0
2013,NUTS,2010,BE2,1,47.0
2014,NUTS,2010,BE2,1,45.0
2015,NUTS,2010,BE2,1,74.0
2016,NUTS,2010,BE2,1,157.0
2017,NUTS,2010,BE2,1,157.0
2018,NUTS,2010,BE2,1,157.0
2019,NUTS,2010,BE2,1,192.0
2002,NUTS,2010,BE3,1,0.0
2003,NUTS,2010,BE3,1,0.0
2004,NUTS,2010,BE3,1,0.0
2005,NUTS,2010,BE3,1,0.0
2006,NUTS,2010,BE3,1,0.0
2007,NUTS,2010,BE3,1,0.0
2008,NUTS,2010,BE3,1,0.0
2009,NUTS,2010,BE3,1,0.0
2010,NUTS,2010,BE3,1,0.0
2011,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,2.0
2015,NUTS,2010,BE3,1,2.0
2016,NUTS,2010,BE3,1,10.0
2017,NUTS,2010,BE3,1,10.0
2018,NUTS,2010,BE3,1,10.0
2019,NUTS,2010,BE3,1,10.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1994,NUTS,2010,BG,0,16.0
1995,NUTS,2010,BG,0,23.0
1996,NUTS,2010,BG,0,120.0
1997,NUTS,2010,BG,0,68.0
1998,NUTS,2010,BG,0,66.0
1999,NUTS,2010,BG,0,37.0
2000,NUTS,2010,BG,0,23.0
2001,NUTS,2010,BG,0,55.0
2002,NUTS,2010,BG,0,15.0
2003,NUTS,2010,BG,0,42.0
2004,NUTS,2010,BG,0,34.0
2005,NUTS,2010,BG,0,145.0
2006,NUTS,2010,BG,0,66.0
2007,NUTS,2010,BG,0,102.0
2008,NUTS,2010,BG,0,61.0
2009,NUTS,2010,BG,0,43.0
2010,NUTS,2010,BG,0,58.0
2011,NUTS,2010,BG,0,69.0
2012,NUTS,2010,BG,0,86.0
2013,NUTS,2010,BG,0,88.0
2014,NUTS,2010,BG,0,84.0
2015,NUTS,2010,BG,0,91.0
2016,NUTS,2010,BG,0,34.0
2017,NUTS,2010,BG,0,106.0
2018,NUTS,2010,BG,0,91.0
2019,NUTS,2010,BG,0,102.0
2003,NUTS,2010,BG3,1,0.0
2004,NUTS,2010,BG3,1,4.0
2005,NUTS,2010,BG3,1,0.0
2006,NUTS,2010,BG3,1,0.0
2007,NUTS,2010,BG3,1,0.0
2010,NUTS,2010,BG3,1,0.0
2011,NUTS,2010,BG3,1,5.0
2013,NUTS,2010,BG3,1,12.0
2014,NUTS,2010,BG3,1,7.0
2015,NUTS,2010,BG3,1,6.0
2016,NUTS,2010,BG3,1,5.0
2017,NUTS,2010,BG3,1,10.0
2018,NUTS,2010,BG3,1,9.0
2019,NUTS,2010,BG3,1,9.0
2003,NUTS,2010,BG31,2,0.0
2004,NUTS,2010,BG31,2,4.0
2005,NUTS,2010,BG31,2,0.0
2006,NUTS,2010,BG31,2,0.0
2007,NUTS,2010,BG31,2,0.0
2008,NUTS,2010,BG31,2,0.0
2009,NUTS,2010,BG31,2,0.0
2010,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2003,NUTS,2010,BG32,2,0.0
2004,NUTS,2010,BG32,2,0.0
2005,NUTS,2010,BG32,2,0.0
2006,NUTS,2010,BG32,2,0.0
2007,NUTS,2010,BG32,2,0.0
2008,NUTS,2010,BG32,2,0.0
2009,NUTS,2010,BG32,2,0.0
2010,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2003,NUTS,2010,BG33,2,0.0
2004,NUTS,2010,BG33,2,0.0
2005,NUTS,2010,BG33,2,0.0
2006,NUTS,2010,BG33,2,0.0
2007,NUTS,2010,BG33,2,0.0
2008,NUTS,2010,BG33,2,0.0
2009,NUTS,2010,BG33,2,0.0
2010,NUTS,2010,BG33,2,0.0
2011,NUTS,2010,BG33,2,0.0
2012,NUTS,2010,BG33,2,0.0
2013,NUTS,2010,BG33,2,12.0
2003,NUTS,2010,BG34,2,0.0
2004,NUTS,2010,BG34,2,0.0
2005,NUTS,2010,BG34,2,0.0
2006,NUTS,2010,BG34,2,0.0
2007,NUTS,2010,BG34,2,0.0
2010,NUTS,2010,BG34,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG4,1,42.0
2004,NUTS,2010,BG4,1,30.0
2005,NUTS,2010,BG4,1,145.0
2006,NUTS,2010,BG4,1,66.0
2007,NUTS,2010,BG4,1,102.0
2010,NUTS,2010,BG4,1,58.0
2011,NUTS,2010,BG4,1,64.0
2013,NUTS,2010,BG4,1,76.0
2014,NUTS,2010,BG4,1,77.0
2015,NUTS,2010,BG4,1,85.0
2016,NUTS,2010,BG4,1,29.0
2017,NUTS,2010,BG4,1,96.0
2018,NUTS,2010,BG4,1,82.0
2019,NUTS,2010,BG4,1,93.0
1999,NUTS,2010,BG41,2,37.0
2000,NUTS,2010,BG41,2,23.0
2003,NUTS,2010,BG41,2,42.0
2005,NUTS,2010,BG41,2,120.0
2008,NUTS,2010,BG41,2,59.0
2009,NUTS,2010,BG41,2,34.0
2012,NUTS,2010,BG41,2,81.0
2014,NUTS,2010,BG41,2,77.0
2016,NUTS,2010,BG41,2,18.0
2017,NUTS,2010,BG41,2,76.0
2018,NUTS,2010,BG41,2,59.0
2019,NUTS,2010,BG41,2,72.0
2003,NUTS,2010,BG42,2,0.0
2005,NUTS,2010,BG42,2,25.0
2014,NUTS,2010,BG42,2,0.0
2016,NUTS,2010,BG42,2,11.0
2017,NUTS,2010,BG42,2,20.0
2018,NUTS,2010,BG42,2,23.0
2019,NUTS,2010,BG42,2,21.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1998,NUTS,2010,CY,0,67.0
1999,NUTS,2010,CY,0,80.0
2000,NUTS,2010,CY,0,86.0
2001,NUTS,2010,CY,0,97.0
2002,NUTS,2010,CY,0,104.0
2003,NUTS,2010,CY,0,115.0
2004,NUTS,2010,CY,0,111.0
2005,NUTS,2010,CY,0,116.0
2006,NUTS,2010,CY,0,125.0
2007,NUTS,2010,CY,0,135.0
2008,NUTS,2010,CY,0,128.0
2009,NUTS,2010,CY,0,150.0
2010,NUTS,2010,CY,0,111.0
2011,NUTS,2010,CY,0,113.0
2012,NUTS,2010,CY,0,115.0
2013,NUTS,2010,CY,0,108.0
2014,NUTS,2010,CY,0,144.0
2015,NUTS,2010,CY,0,141.0
2016,NUTS,2010,CY,0,143.0
2017,NUTS,2010,CY,0,153.0
2018,NUTS,2010,CY,0,162.0
2019,NUTS,2010,CY,0,213.0
1999,NUTS,2010,CZ,0,59.0
2000,NUTS,2010,CZ,0,195.0
2001,NUTS,2010,CZ,0,87.0
2002,NUTS,2010,CZ,0,81.0
2003,NUTS,2010,CZ,0,108.0
2004,NUTS,2010,CZ,0,97.0
2005,NUTS,2010,CZ,0,110.0
2006,NUTS,2010,CZ,0,90.0
2007,NUTS,2010,CZ,0,91.0
2008,NUTS,2010,CZ,0,112.0
2009,NUTS,2010,CZ,0,134.0
2010,NUTS,2010,CZ,0,167.0
2011,NUTS,2010,CZ,0,171.0
2012,NUTS,2010,CZ,0,136.0
2013,NUTS,2010,CZ,0,122.0
2014,NUTS,2010,CZ,0,143.0
2015,NUTS,2010,CZ,0,135.0
2016,NUTS,2010,CZ,0,127.0
2017,NUTS,2010,CZ,0,144.0
2018,NUTS,2010,CZ,0,119.0
2019,NUTS,2010,CZ,0,179.0
2020,NUTS,2010,CZ,0,190.0
1999,NUTS,2010,CZ0,1,59.0
2000,NUTS,2010,CZ0,1,195.0
2001,NUTS,2010,CZ0,1,87.0
2002,NUTS,2010,CZ0,1,81.0
2003,NUTS,2010,CZ0,1,108.0
2004,NUTS,2010,CZ0,1,97.0
2005,NUTS,2010,CZ0,1,110.0
2006,NUTS,2010,CZ0,1,90.0
2007,NUTS,2010,CZ0,1,91.0
2008,NUTS,2010,CZ0,1,112.0
2009,NUTS,2010,CZ0,1,134.0
2010,NUTS,2010,CZ0,1,167.0
2011,NUTS,2010,CZ0,1,171.0
2012,NUTS,2010,CZ0,1,136.0
2013,NUTS,2010,CZ0,1,122.0
2014,NUTS,2010,CZ0,1,143.0
2015,NUTS,2010,CZ0,1,135.0
2016,NUTS,2010,CZ0,1,127.0
2017,NUTS,2010,CZ0,1,144.0
2018,NUTS,2010,CZ0,1,119.0
2019,NUTS,2010,CZ0,1,179.0
2020,NUTS,2010,CZ0,1,190.0
2001,NUTS,2010,CZ01,2,50.0
2002,NUTS,2010,CZ01,2,42.0
2003,NUTS,2010,CZ01,2,62.0
2004,NUTS,2010,CZ01,2,67.0
2005,NUTS,2010,CZ01,2,91.0
2006,NUTS,2010,CZ01,2,66.0
2007,NUTS,2010,CZ01,2,70.0
2008,NUTS,2010,CZ01,2,88.0
2009,NUTS,2010,CZ01,2,84.0
2010,NUTS,2010,CZ01,2,100.0
2011,NUTS,2010,CZ01,2,109.0
2012,NUTS,2010,CZ01,2,86.0
2013,NUTS,2010,CZ01,2,79.0
2014,NUTS,2010,CZ01,2,84.0
2015,NUTS,2010,CZ01,2,71.0
2016,NUTS,2010,CZ01,2,83.0
2017,NUTS,2010,CZ01,2,79.0
2018,NUTS,2010,CZ01,2,68.0
2019,NUTS,2010,CZ01,2,93.0
2020,NUTS,2010,CZ01,2,109.0
2001,NUTS,2010,CZ02,2,0.0
2002,NUTS,2010,CZ02,2,4.0
2003,NUTS,2010,CZ02,2,3.0
2004,NUTS,2010,CZ02,2,1.0
2005,NUTS,2010,CZ02,2,1.0
2006,NUTS,2010,CZ02,2,1.0
2007,NUTS,2010,CZ02,2,2.0
2008,NUTS,2010,CZ02,2,1.0
2009,NUTS,2010,CZ02,2,1.0
2010,NUTS,2010,CZ02,2,0.0
2011,NUTS,2010,CZ02,2,2.0
2012,NUTS,2010,CZ02,2,2.0
2013,NUTS,2010,CZ02,2,8.0
2014,NUTS,2010,CZ02,2,11.0
2015,NUTS,2010,CZ02,2,10.0
2016,NUTS,2010,CZ02,2,1.0
2017,NUTS,2010,CZ02,2,0.0
2018,NUTS,2010,CZ02,2,1.0
2019,NUTS,2010,CZ02,2,1.0
2020,NUTS,2010,CZ02,2,5.0
2001,NUTS,2010,CZ03,2,23.0
2002,NUTS,2010,CZ03,2,7.0
2003,NUTS,2010,CZ03,2,14.0
2004,NUTS,2010,CZ03,2,12.0
2005,NUTS,2010,CZ03,2,11.0
2006,NUTS,2010,CZ03,2,12.0
2007,NUTS,2010,CZ03,2,4.0
2008,NUTS,2010,CZ03,2,5.0
2009,NUTS,2010,CZ03,2,24.0
2010,NUTS,2010,CZ03,2,30.0
2011,NUTS,2010,CZ03,2,16.0
2012,NUTS,2010,CZ03,2,20.0
2013,NUTS,2010,CZ03,2,17.0
2014,NUTS,2010,CZ03,2,18.0
2015,NUTS,2010,CZ03,2,32.0
2016,NUTS,2010,CZ03,2,30.0
2017,NUTS,2010,CZ03,2,34.0
2018,NUTS,2010,CZ03,2,33.0
2019,NUTS,2010,CZ03,2,31.0
2020,NUTS,2010,CZ03,2,35.0
2001,NUTS,2010,CZ04,2,2.0
2002,NUTS,2010,CZ04,2,4.0
2003,NUTS,2010,CZ04,2,4.0
2004,NUTS,2010,CZ04,2,1.0
2005,NUTS,2010,CZ04,2,0.0
2006,NUTS,2010,CZ04,2,0.0
2007,NUTS,2010,CZ04,2,0.0
2008,NUTS,2010,CZ04,2,0.0
2009,NUTS,2010,CZ04,2,0.0
2010,NUTS,2010,CZ04,2,0.0
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,3.0
2019,NUTS,2010,CZ04,2,3.0
2020,NUTS,2010,CZ04,2,3.0
2001,NUTS,2010,CZ05,2,1.0
2002,NUTS,2010,CZ05,2,2.0
2003,NUTS,2010,CZ05,2,5.0
2004,NUTS,2010,CZ05,2,1.0
2005,NUTS,2010,CZ05,2,1.0
2006,NUTS,2010,CZ05,2,0.0
2007,NUTS,2010,CZ05,2,1.0
2008,NUTS,2010,CZ05,2,0.0
2009,NUTS,2010,CZ05,2,4.0
2010,NUTS,2010,CZ05,2,0.0
2011,NUTS,2010,CZ05,2,2.0
2012,NUTS,2010,CZ05,2,2.0
2013,NUTS,2010,CZ05,2,2.0
2014,NUTS,2010,CZ05,2,0.0
2015,NUTS,2010,CZ05,2,0.0
2016,NUTS,2010,CZ05,2,0.0
2017,NUTS,2010,CZ05,2,17.0
2019,NUTS,2010,CZ05,2,10.0
2020,NUTS,2010,CZ05,2,14.0
2001,NUTS,2010,CZ06,2,3.0
2002,NUTS,2010,CZ06,2,8.0
2003,NUTS,2010,CZ06,2,8.0
2004,NUTS,2010,CZ06,2,10.0
2005,NUTS,2010,CZ06,2,3.0
2006,NUTS,2010,CZ06,2,2.0
2007,NUTS,2010,CZ06,2,5.0
2008,NUTS,2010,CZ06,2,11.0
2009,NUTS,2010,CZ06,2,12.0
2010,NUTS,2010,CZ06,2,23.0
2011,NUTS,2010,CZ06,2,28.0
2012,NUTS,2010,CZ06,2,15.0
2013,NUTS,2010,CZ06,2,12.0
2014,NUTS,2010,CZ06,2,17.0
2015,NUTS,2010,CZ06,2,14.0
2016,NUTS,2010,CZ06,2,2.0
2017,NUTS,2010,CZ06,2,6.0
2018,NUTS,2010,CZ06,2,8.0
2019,NUTS,2010,CZ06,2,13.0
2020,NUTS,2010,CZ06,2,9.0
2001,NUTS,2010,CZ07,2,1.0
2002,NUTS,2010,CZ07,2,1.0
2003,NUTS,2010,CZ07,2,2.0
2004,NUTS,2010,CZ07,2,1.0
2005,NUTS,2010,CZ07,2,2.0
2006,NUTS,2010,CZ07,2,6.0
2007,NUTS,2010,CZ07,2,8.0
2008,NUTS,2010,CZ07,2,6.0
2009,NUTS,2010,CZ07,2,8.0
2010,NUTS,2010,CZ07,2,13.0
2011,NUTS,2010,CZ07,2,13.0
2012,NUTS,2010,CZ07,2,9.0
2013,NUTS,2010,CZ07,2,3.0
2014,NUTS,2010,CZ07,2,3.0
2015,NUTS,2010,CZ07,2,2.0
2016,NUTS,2010,CZ07,2,2.0
2017,NUTS,2010,CZ07,2,2.0
2018,NUTS,2010,CZ07,2,0.0
2019,NUTS,2010,CZ07,2,7.0
2020,NUTS,2010,CZ07,2,7.0
2001,NUTS,2010,CZ08,2,7.0
2002,NUTS,2010,CZ08,2,13.0
2003,NUTS,2010,CZ08,2,10.0
2004,NUTS,2010,CZ08,2,3.0
2005,NUTS,2010,CZ08,2,1.0
2006,NUTS,2010,CZ08,2,4.0
2007,NUTS,2010,CZ08,2,1.0
2008,NUTS,2010,CZ08,2,1.0
2009,NUTS,2010,CZ08,2,1.0
2010,NUTS,2010,CZ08,2,1.0
2011,NUTS,2010,CZ08,2,1.0
2012,NUTS,2010,CZ08,2,2.0
2013,NUTS,2010,CZ08,2,1.0
2014,NUTS,2010,CZ08,2,9.0
2015,NUTS,2010,CZ08,2,6.0
2016,NUTS,2010,CZ08,2,9.0
2017,NUTS,2010,CZ08,2,5.0
2018,NUTS,2010,CZ08,2,6.0
2019,NUTS,2010,CZ08,2,21.0
2020,NUTS,2010,CZ08,2,8.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
1999,NUTS,2010,DK,0,290.0
2000,NUTS,2010,DK,0,225.0
2001,NUTS,2010,DK,0,200.0
2002,NUTS,2010,DK,0,165.0
2003,NUTS,2010,DK,0,168.0
2004,NUTS,2010,DK,0,190.0
2005,NUTS,2010,DK,0,280.0
2006,NUTS,2010,DK,0,281.0
2007,NUTS,2010,DK,0,308.0
2009,NUTS,2010,DK,0,214.0
2010,NUTS,2010,DK,0,282.0
2011,NUTS,2010,DK,0,249.0
2012,NUTS,2010,DK,0,290.0
2013,NUTS,2010,DK,0,264.0
2014,NUTS,2010,DK,0,271.0
2015,NUTS,2010,DK,0,290.0
2016,NUTS,2010,DK,0,290.0
2017,NUTS,2010,DK,0,227.0
2018,NUTS,2010,DK,0,194.0
2019,NUTS,2010,DK,0,231.0
1999,NUTS,2010,DK0,1,290.0
2000,NUTS,2010,DK0,1,225.0
2001,NUTS,2010,DK0,1,200.0
2002,NUTS,2010,DK0,1,165.0
2003,NUTS,2010,DK0,1,168.0
2007,NUTS,2010,DK0,1,308.0
2009,NUTS,2010,DK0,1,214.0
2010,NUTS,2010,DK0,1,282.0
2011,NUTS,2010,DK0,1,249.0
2012,NUTS,2010,DK0,1,290.0
2013,NUTS,2010,DK0,1,264.0
2014,NUTS,2010,DK0,1,271.0
2015,NUTS,2010,DK0,1,290.0
2016,NUTS,2010,DK0,1,290.0
2017,NUTS,2010,DK0,1,227.0
2018,NUTS,2010,DK0,1,194.0
2019,NUTS,2010,DK0,1,231.0
2007,NUTS,2010,DK01,2,236.0
2009,NUTS,2010,DK01,2,214.0
2010,NUTS,2010,DK01,2,266.0
2011,NUTS,2010,DK01,2,238.0
2012,NUTS,2010,DK01,2,272.0
2013,NUTS,2010,DK01,2,257.0
2014,NUTS,2010,DK01,2,264.0
2015,NUTS,2010,DK01,2,273.0
2016,NUTS,2010,DK01,2,268.0
2017,NUTS,2010,DK01,2,212.0
2019,NUTS,2010,DK01,2,222.0
2007,NUTS,2010,DK02,2,1.0
2009,NUTS,2010,DK02,2,0.0
2010,NUTS,2010,DK02,2,16.0
2011,NUTS,2010,DK02,2,11.0
2012,NUTS,2010,DK02,2,11.0
2013,NUTS,2010,DK02,2,0.0
2014,NUTS,2010,DK02,2,0.0
2015,NUTS,2010,DK02,2,8.0
2016,NUTS,2010,DK02,2,11.0
2017,NUTS,2010,DK02,2,9.0
2019,NUTS,2010,DK02,2,9.0
2007,NUTS,2010,DK03,2,0.0
2009,NUTS,2010,DK03,2,0.0
2010,NUTS,2010,DK03,2,0.0
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,7.0
2013,NUTS,2010,DK03,2,7.0
2014,NUTS,2010,DK03,2,7.0
2015,NUTS,2010,DK03,2,9.0
2016,NUTS,2010,DK03,2,11.0
2017,NUTS,2010,DK03,2,6.0
2007,NUTS,2010,DK04,2,71.0
2009,NUTS,2010,DK04,2,0.0
2010,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
