year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_fte_pnp_total_t
1985,NUTS,2010,AT33,2,17.0
1989,NUTS,2010,AT33,2,37.0
1993,NUTS,2010,AT33,2,1.0
1998,NUTS,2010,AT33,2,8.0
2002,NUTS,2010,AT33,2,28.0
2004,NUTS,2010,AT33,2,20.0
2006,NUTS,2010,AT33,2,2.0
2013,NUTS,2010,AT33,2,3.0
2019,NUTS,2010,AT33,2,7.0
1981,NUTS,2010,AT34,2,3.0
1985,NUTS,2010,AT34,2,1.0
1989,NUTS,2010,AT34,2,0.0
2006,NUTS,2010,AT34,2,0.0
2007,NUTS,2010,AT34,2,0.0
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,3.0
2013,NUTS,2010,BA,0,0.0
2014,NUTS,2010,BA,0,8.0
2019,NUTS,2010,BA,0,0.0
1981,NUTS,2010,BE,0,1760.0
1982,NUTS,2010,BE,0,1864.0
1983,NUTS,2010,BE,0,1851.0
1984,NUTS,2010,BE,0,1838.0
1985,NUTS,2010,BE,0,1860.0
1986,NUTS,2010,BE,0,1882.0
1987,NUTS,2010,BE,0,1809.0
1988,NUTS,2010,BE,0,1736.0
1989,NUTS,2010,BE,0,335.0
1991,NUTS,2010,BE,0,339.0
1993,NUTS,2010,BE,0,362.0
1994,NUTS,2010,BE,0,412.0
1995,NUTS,2010,BE,0,435.0
1996,NUTS,2010,BE,0,483.0
1997,NUTS,2010,BE,0,489.0
1998,NUTS,2010,BE,0,494.0
1999,NUTS,2010,BE,0,509.0
2000,NUTS,2010,BE,0,521.0
2001,NUTS,2010,BE,0,547.0
2002,NUTS,2010,BE,0,574.0
2003,NUTS,2010,BE,0,592.0
2004,NUTS,2010,BE,0,572.0
2005,NUTS,2010,BE,0,548.0
2006,NUTS,2010,BE,0,554.0
2007,NUTS,2010,BE,0,564.0
2008,NUTS,2010,BE,0,575.0
2009,NUTS,2010,BE,0,578.0
2010,NUTS,2010,BE,0,609.0
2011,NUTS,2010,BE,0,602.0
2012,NUTS,2010,BE,0,309.0
2013,NUTS,2010,BE,0,314.0
2014,NUTS,2010,BE,0,290.0
2015,NUTS,2010,BE,0,387.0
2016,NUTS,2010,BE,0,497.0
2017,NUTS,2010,BE,0,573.0
2018,NUTS,2010,BE,0,2198.0
2019,NUTS,2010,BE,0,2221.0
2020,NUTS,2010,BE,0,2297.0
1993,NUTS,2010,BE1,1,67.0
1994,NUTS,2010,BE1,1,85.0
1995,NUTS,2010,BE1,1,102.0
1996,NUTS,2010,BE1,1,143.0
1997,NUTS,2010,BE1,1,142.0
1998,NUTS,2010,BE1,1,147.0
1999,NUTS,2010,BE1,1,161.0
2000,NUTS,2010,BE1,1,165.0
2001,NUTS,2010,BE1,1,186.0
2002,NUTS,2010,BE1,1,208.0
2003,NUTS,2010,BE1,1,227.0
2004,NUTS,2010,BE1,1,198.0
2005,NUTS,2010,BE1,1,180.0
2006,NUTS,2010,BE1,1,194.0
2007,NUTS,2010,BE1,1,204.0
2008,NUTS,2010,BE1,1,206.0
2009,NUTS,2010,BE1,1,209.0
2010,NUTS,2010,BE1,1,223.0
2011,NUTS,2010,BE1,1,212.0
2012,NUTS,2010,BE1,1,208.0
2013,NUTS,2010,BE1,1,203.0
2014,NUTS,2010,BE1,1,165.0
2015,NUTS,2010,BE1,1,204.0
2016,NUTS,2010,BE1,1,207.0
2017,NUTS,2010,BE1,1,272.0
2018,NUTS,2010,BE1,1,1893.0
2019,NUTS,2010,BE1,1,1898.0
1993,NUTS,2010,BE10,2,67.0
1994,NUTS,2010,BE10,2,85.0
1995,NUTS,2010,BE10,2,102.0
1996,NUTS,2010,BE10,2,143.0
1997,NUTS,2010,BE10,2,142.0
1998,NUTS,2010,BE10,2,147.0
1999,NUTS,2010,BE10,2,161.0
2000,NUTS,2010,BE10,2,165.0
2001,NUTS,2010,BE10,2,186.0
2002,NUTS,2010,BE10,2,208.0
2003,NUTS,2010,BE10,2,227.0
2004,NUTS,2010,BE10,2,198.0
2005,NUTS,2010,BE10,2,180.0
2006,NUTS,2010,BE10,2,194.0
2007,NUTS,2010,BE10,2,204.0
2008,NUTS,2010,BE10,2,206.0
2009,NUTS,2010,BE10,2,209.0
2010,NUTS,2010,BE10,2,223.0
2011,NUTS,2010,BE10,2,212.0
2012,NUTS,2010,BE10,2,208.0
2013,NUTS,2010,BE10,2,203.0
2014,NUTS,2010,BE10,2,165.0
2015,NUTS,2010,BE10,2,204.0
2016,NUTS,2010,BE10,2,207.0
2017,NUTS,2010,BE10,2,272.0
2018,NUTS,2010,BE10,2,1893.0
2019,NUTS,2010,BE10,2,1898.0
1993,NUTS,2010,BE2,1,295.0
1994,NUTS,2010,BE2,1,327.0
1995,NUTS,2010,BE2,1,334.0
1996,NUTS,2010,BE2,1,340.0
1997,NUTS,2010,BE2,1,347.0
1998,NUTS,2010,BE2,1,347.0
1999,NUTS,2010,BE2,1,347.0
2000,NUTS,2010,BE2,1,356.0
2001,NUTS,2010,BE2,1,361.0
2002,NUTS,2010,BE2,1,366.0
2003,NUTS,2010,BE2,1,364.0
2004,NUTS,2010,BE2,1,374.0
2005,NUTS,2010,BE2,1,368.0
2006,NUTS,2010,BE2,1,360.0
2007,NUTS,2010,BE2,1,360.0
2008,NUTS,2010,BE2,1,369.0
2009,NUTS,2010,BE2,1,370.0
2010,NUTS,2010,BE2,1,384.0
2011,NUTS,2010,BE2,1,389.0
2012,NUTS,2010,BE2,1,101.0
2013,NUTS,2010,BE2,1,112.0
2014,NUTS,2010,BE2,1,124.0
2015,NUTS,2010,BE2,1,182.0
2016,NUTS,2010,BE2,1,264.0
2017,NUTS,2010,BE2,1,281.0
2018,NUTS,2010,BE2,1,282.0
2019,NUTS,2010,BE2,1,302.0
1998,NUTS,2010,BE3,1,0.0
1999,NUTS,2010,BE3,1,0.0
2000,NUTS,2010,BE3,1,0.0
2001,NUTS,2010,BE3,1,0.0
2002,NUTS,2010,BE3,1,0.0
2003,NUTS,2010,BE3,1,0.0
2004,NUTS,2010,BE3,1,0.0
2005,NUTS,2010,BE3,1,0.0
2006,NUTS,2010,BE3,1,0.0
2007,NUTS,2010,BE3,1,0.0
2008,NUTS,2010,BE3,1,0.0
2009,NUTS,2010,BE3,1,0.0
2010,NUTS,2010,BE3,1,2.0
2011,NUTS,2010,BE3,1,1.0
2014,NUTS,2010,BE3,1,1.0
2015,NUTS,2010,BE3,1,1.0
2016,NUTS,2010,BE3,1,27.0
2017,NUTS,2010,BE3,1,21.0
2018,NUTS,2010,BE3,1,23.0
2019,NUTS,2010,BE3,1,21.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1994,NUTS,2010,BG,0,26.0
1995,NUTS,2010,BG,0,36.0
1996,NUTS,2010,BG,0,219.0
1997,NUTS,2010,BG,0,134.0
1998,NUTS,2010,BG,0,115.0
1999,NUTS,2010,BG,0,61.0
2000,NUTS,2010,BG,0,46.0
2001,NUTS,2010,BG,0,77.0
2002,NUTS,2010,BG,0,19.0
2003,NUTS,2010,BG,0,70.0
2004,NUTS,2010,BG,0,69.0
2005,NUTS,2010,BG,0,252.0
2006,NUTS,2010,BG,0,139.0
2007,NUTS,2010,BG,0,125.0
2008,NUTS,2010,BG,0,87.0
2009,NUTS,2010,BG,0,61.0
2010,NUTS,2010,BG,0,88.0
2011,NUTS,2010,BG,0,93.0
2012,NUTS,2010,BG,0,122.0
2013,NUTS,2010,BG,0,185.0
2014,NUTS,2010,BG,0,129.0
2015,NUTS,2010,BG,0,163.0
2016,NUTS,2010,BG,0,53.0
2017,NUTS,2010,BG,0,151.0
2018,NUTS,2010,BG,0,118.0
2019,NUTS,2010,BG,0,143.0
2020,NUTS,2010,BG,0,153.0
2003,NUTS,2010,BG3,1,0.0
2004,NUTS,2010,BG3,1,4.0
2005,NUTS,2010,BG3,1,0.0
2006,NUTS,2010,BG3,1,0.0
2007,NUTS,2010,BG3,1,0.0
2011,NUTS,2010,BG3,1,7.0
2012,NUTS,2010,BG3,1,4.0
2013,NUTS,2010,BG3,1,16.0
2014,NUTS,2010,BG3,1,10.0
2015,NUTS,2010,BG3,1,11.0
2016,NUTS,2010,BG3,1,4.0
2017,NUTS,2010,BG3,1,11.0
2018,NUTS,2010,BG3,1,13.0
2019,NUTS,2010,BG3,1,12.0
2003,NUTS,2010,BG31,2,0.0
2004,NUTS,2010,BG31,2,4.0
2005,NUTS,2010,BG31,2,0.0
2006,NUTS,2010,BG31,2,0.0
2007,NUTS,2010,BG31,2,0.0
2008,NUTS,2010,BG31,2,0.0
2009,NUTS,2010,BG31,2,0.0
2010,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2002,NUTS,2010,BG32,2,0.0
2003,NUTS,2010,BG32,2,0.0
2004,NUTS,2010,BG32,2,0.0
2005,NUTS,2010,BG32,2,0.0
2006,NUTS,2010,BG32,2,0.0
2007,NUTS,2010,BG32,2,0.0
2008,NUTS,2010,BG32,2,0.0
2009,NUTS,2010,BG32,2,0.0
2010,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2002,NUTS,2010,BG33,2,0.0
2003,NUTS,2010,BG33,2,0.0
2004,NUTS,2010,BG33,2,0.0
2005,NUTS,2010,BG33,2,0.0
2006,NUTS,2010,BG33,2,0.0
2007,NUTS,2010,BG33,2,0.0
2008,NUTS,2010,BG33,2,0.0
2013,NUTS,2010,BG33,2,16.0
2015,NUTS,2010,BG33,2,7.0
2002,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG34,2,0.0
2004,NUTS,2010,BG34,2,0.0
2005,NUTS,2010,BG34,2,0.0
2006,NUTS,2010,BG34,2,0.0
2007,NUTS,2010,BG34,2,0.0
2010,NUTS,2010,BG34,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG4,1,70.0
2004,NUTS,2010,BG4,1,65.0
2005,NUTS,2010,BG4,1,252.0
2006,NUTS,2010,BG4,1,139.0
2007,NUTS,2010,BG4,1,125.0
2011,NUTS,2010,BG4,1,86.0
2012,NUTS,2010,BG4,1,118.0
2013,NUTS,2010,BG4,1,169.0
2014,NUTS,2010,BG4,1,119.0
2015,NUTS,2010,BG4,1,152.0
2016,NUTS,2010,BG4,1,49.0
2017,NUTS,2010,BG4,1,140.0
2018,NUTS,2010,BG4,1,105.0
2019,NUTS,2010,BG4,1,131.0
1999,NUTS,2010,BG41,2,61.0
2000,NUTS,2010,BG41,2,46.0
2002,NUTS,2010,BG41,2,18.0
2003,NUTS,2010,BG41,2,70.0
2005,NUTS,2010,BG41,2,229.0
2008,NUTS,2010,BG41,2,84.0
2009,NUTS,2010,BG41,2,50.0
2010,NUTS,2010,BG41,2,77.0
2015,NUTS,2010,BG41,2,146.0
2016,NUTS,2010,BG41,2,31.0
2017,NUTS,2010,BG41,2,101.0
2018,NUTS,2010,BG41,2,60.0
2019,NUTS,2010,BG41,2,88.0
2003,NUTS,2010,BG42,2,0.0
2005,NUTS,2010,BG42,2,23.0
2015,NUTS,2010,BG42,2,6.0
2016,NUTS,2010,BG42,2,18.0
2017,NUTS,2010,BG42,2,39.0
2018,NUTS,2010,BG42,2,45.0
2019,NUTS,2010,BG42,2,43.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1991,NUTS,2010,CY,0,5.0
1992,NUTS,2010,CY,0,6.0
1998,NUTS,2010,CY,0,25.0
1999,NUTS,2010,CY,0,46.0
2000,NUTS,2010,CY,0,49.0
2001,NUTS,2010,CY,0,48.0
2002,NUTS,2010,CY,0,54.0
2003,NUTS,2010,CY,0,64.0
2004,NUTS,2010,CY,0,72.0
2005,NUTS,2010,CY,0,86.0
2006,NUTS,2010,CY,0,96.0
2007,NUTS,2010,CY,0,113.0
2008,NUTS,2010,CY,0,112.0
2009,NUTS,2010,CY,0,138.0
2010,NUTS,2010,CY,0,140.0
2011,NUTS,2010,CY,0,148.0
2012,NUTS,2010,CY,0,159.0
2013,NUTS,2010,CY,0,148.0
2014,NUTS,2010,CY,0,201.0
2015,NUTS,2010,CY,0,174.0
2016,NUTS,2010,CY,0,177.0
2017,NUTS,2010,CY,0,200.0
2018,NUTS,2010,CY,0,207.0
2019,NUTS,2010,CY,0,310.0
2020,NUTS,2010,CY,0,320.0
1996,NUTS,2010,CZ,0,24.0
1997,NUTS,2010,CZ,0,34.0
1998,NUTS,2010,CZ,0,37.0
1999,NUTS,2010,CZ,0,124.0
2000,NUTS,2010,CZ,0,192.0
2001,NUTS,2010,CZ,0,248.0
2002,NUTS,2010,CZ,0,176.0
2003,NUTS,2010,CZ,0,282.0
2004,NUTS,2010,CZ,0,175.0
2005,NUTS,2010,CZ,0,229.0
2006,NUTS,2010,CZ,0,154.0
2007,NUTS,2010,CZ,0,168.0
2008,NUTS,2010,CZ,0,206.0
2009,NUTS,2010,CZ,0,249.0
2010,NUTS,2010,CZ,0,310.0
2011,NUTS,2010,CZ,0,332.0
2012,NUTS,2010,CZ,0,319.0
2013,NUTS,2010,CZ,0,273.0
2014,NUTS,2010,CZ,0,282.0
2015,NUTS,2010,CZ,0,247.0
2016,NUTS,2010,CZ,0,220.0
2017,NUTS,2010,CZ,0,276.0
2018,NUTS,2010,CZ,0,232.0
2019,NUTS,2010,CZ,0,276.0
2020,NUTS,2010,CZ,0,278.0
1996,NUTS,2010,CZ0,1,24.0
1997,NUTS,2010,CZ0,1,34.0
1998,NUTS,2010,CZ0,1,37.0
1999,NUTS,2010,CZ0,1,124.0
2000,NUTS,2010,CZ0,1,192.0
2001,NUTS,2010,CZ0,1,248.0
2002,NUTS,2010,CZ0,1,176.0
2003,NUTS,2010,CZ0,1,282.0
2004,NUTS,2010,CZ0,1,175.0
2005,NUTS,2010,CZ0,1,229.0
2006,NUTS,2010,CZ0,1,154.0
2007,NUTS,2010,CZ0,1,168.0
2008,NUTS,2010,CZ0,1,206.0
2009,NUTS,2010,CZ0,1,249.0
2010,NUTS,2010,CZ0,1,310.0
2011,NUTS,2010,CZ0,1,332.0
2012,NUTS,2010,CZ0,1,319.0
2013,NUTS,2010,CZ0,1,273.0
2014,NUTS,2010,CZ0,1,282.0
2015,NUTS,2010,CZ0,1,247.0
2016,NUTS,2010,CZ0,1,220.0
2017,NUTS,2010,CZ0,1,276.0
2018,NUTS,2010,CZ0,1,232.0
2019,NUTS,2010,CZ0,1,276.0
2020,NUTS,2010,CZ0,1,278.0
2001,NUTS,2010,CZ01,2,68.0
2002,NUTS,2010,CZ01,2,86.0
2003,NUTS,2010,CZ01,2,184.0
2004,NUTS,2010,CZ01,2,111.0
2005,NUTS,2010,CZ01,2,173.0
2006,NUTS,2010,CZ01,2,108.0
2007,NUTS,2010,CZ01,2,131.0
2008,NUTS,2010,CZ01,2,148.0
2009,NUTS,2010,CZ01,2,156.0
2010,NUTS,2010,CZ01,2,172.0
2011,NUTS,2010,CZ01,2,159.0
2012,NUTS,2010,CZ01,2,148.0
2013,NUTS,2010,CZ01,2,141.0
2014,NUTS,2010,CZ01,2,144.0
2015,NUTS,2010,CZ01,2,121.0
2016,NUTS,2010,CZ01,2,130.0
2017,NUTS,2010,CZ01,2,136.0
2018,NUTS,2010,CZ01,2,118.0
2019,NUTS,2010,CZ01,2,146.0
2020,NUTS,2010,CZ01,2,157.0
2001,NUTS,2010,CZ02,2,3.0
2002,NUTS,2010,CZ02,2,4.0
2003,NUTS,2010,CZ02,2,6.0
2004,NUTS,2010,CZ02,2,2.0
2005,NUTS,2010,CZ02,2,2.0
2006,NUTS,2010,CZ02,2,6.0
2007,NUTS,2010,CZ02,2,2.0
2008,NUTS,2010,CZ02,2,1.0
2009,NUTS,2010,CZ02,2,1.0
2010,NUTS,2010,CZ02,2,0.0
2011,NUTS,2010,CZ02,2,5.0
2012,NUTS,2010,CZ02,2,5.0
2013,NUTS,2010,CZ02,2,24.0
2014,NUTS,2010,CZ02,2,8.0
2015,NUTS,2010,CZ02,2,12.0
2016,NUTS,2010,CZ02,2,8.0
2017,NUTS,2010,CZ02,2,5.0
2018,NUTS,2010,CZ02,2,3.0
2019,NUTS,2010,CZ02,2,2.0
2020,NUTS,2010,CZ02,2,4.0
2001,NUTS,2010,CZ03,2,117.0
2002,NUTS,2010,CZ03,2,10.0
2003,NUTS,2010,CZ03,2,41.0
2004,NUTS,2010,CZ03,2,42.0
2005,NUTS,2010,CZ03,2,36.0
2006,NUTS,2010,CZ03,2,24.0
2007,NUTS,2010,CZ03,2,7.0
2008,NUTS,2010,CZ03,2,10.0
2009,NUTS,2010,CZ03,2,45.0
2010,NUTS,2010,CZ03,2,51.0
2011,NUTS,2010,CZ03,2,23.0
2012,NUTS,2010,CZ03,2,39.0
2013,NUTS,2010,CZ03,2,44.0
2014,NUTS,2010,CZ03,2,53.0
2015,NUTS,2010,CZ03,2,75.0
2016,NUTS,2010,CZ03,2,61.0
2017,NUTS,2010,CZ03,2,80.0
2018,NUTS,2010,CZ03,2,64.0
2019,NUTS,2010,CZ03,2,71.0
2020,NUTS,2010,CZ03,2,63.0
2001,NUTS,2010,CZ04,2,3.0
2002,NUTS,2010,CZ04,2,4.0
2003,NUTS,2010,CZ04,2,5.0
2004,NUTS,2010,CZ04,2,3.0
2005,NUTS,2010,CZ04,2,0.0
2006,NUTS,2010,CZ04,2,0.0
2007,NUTS,2010,CZ04,2,3.0
2008,NUTS,2010,CZ04,2,0.0
2009,NUTS,2010,CZ04,2,1.0
2010,NUTS,2010,CZ04,2,0.0
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,1.0
2019,NUTS,2010,CZ04,2,1.0
2020,NUTS,2010,CZ04,2,1.0
2001,NUTS,2010,CZ05,2,2.0
2002,NUTS,2010,CZ05,2,17.0
2003,NUTS,2010,CZ05,2,8.0
2004,NUTS,2010,CZ05,2,4.0
2005,NUTS,2010,CZ05,2,5.0
2006,NUTS,2010,CZ05,2,2.0
2007,NUTS,2010,CZ05,2,3.0
2008,NUTS,2010,CZ05,2,2.0
2009,NUTS,2010,CZ05,2,7.0
2010,NUTS,2010,CZ05,2,27.0
2011,NUTS,2010,CZ05,2,34.0
2012,NUTS,2010,CZ05,2,34.0
2013,NUTS,2010,CZ05,2,18.0
2014,NUTS,2010,CZ05,2,6.0
2015,NUTS,2010,CZ05,2,1.0
2016,NUTS,2010,CZ05,2,3.0
2017,NUTS,2010,CZ05,2,17.0
2018,NUTS,2010,CZ05,2,0.0
2019,NUTS,2010,CZ05,2,10.0
2020,NUTS,2010,CZ05,2,15.0
2001,NUTS,2010,CZ06,2,19.0
2002,NUTS,2010,CZ06,2,17.0
2003,NUTS,2010,CZ06,2,18.0
2004,NUTS,2010,CZ06,2,7.0
2005,NUTS,2010,CZ06,2,5.0
2006,NUTS,2010,CZ06,2,3.0
2007,NUTS,2010,CZ06,2,5.0
2008,NUTS,2010,CZ06,2,28.0
2009,NUTS,2010,CZ06,2,21.0
2010,NUTS,2010,CZ06,2,39.0
2011,NUTS,2010,CZ06,2,53.0
2012,NUTS,2010,CZ06,2,29.0
2013,NUTS,2010,CZ06,2,29.0
2014,NUTS,2010,CZ06,2,32.0
2015,NUTS,2010,CZ06,2,19.0
2016,NUTS,2010,CZ06,2,5.0
