year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_t_fte_rse
2008,NUTS,2010,DED5,2,1111.0
2009,NUTS,2010,DED5,2,1283.0
2010,NUTS,2010,DED5,2,1327.0
2011,NUTS,2010,DED5,2,1339.0
2012,NUTS,2010,DED5,2,1419.0
2013,NUTS,2010,DED5,2,1086.0
2014,NUTS,2010,DED5,2,1214.0
2015,NUTS,2010,DED5,2,1299.0
2016,NUTS,2010,DED5,2,1317.0
2017,NUTS,2010,DED5,2,1395.0
2018,NUTS,2010,DED5,2,1495.0
2019,NUTS,2010,DED5,2,1541.0
1999,NUTS,2010,DEE,1,888.0
2000,NUTS,2010,DEE,1,956.0
2003,NUTS,2010,DEE,1,1145.0
2004,NUTS,2010,DEE,1,1101.0
2005,NUTS,2010,DEE,1,955.0
2006,NUTS,2010,DEE,1,1087.0
2007,NUTS,2010,DEE,1,1144.0
2008,NUTS,2010,DEE,1,1178.0
2009,NUTS,2010,DEE,1,1335.0
2010,NUTS,2010,DEE,1,1379.0
2011,NUTS,2010,DEE,1,1357.0
2012,NUTS,2010,DEE,1,1514.0
2013,NUTS,2010,DEE,1,1494.0
2014,NUTS,2010,DEE,1,1383.0
2015,NUTS,2010,DEE,1,1387.0
2016,NUTS,2010,DEE,1,1363.0
2017,NUTS,2010,DEE,1,1428.0
2018,NUTS,2010,DEE,1,1488.0
2019,NUTS,2010,DEE,1,1482.0
1999,NUTS,2010,DEE0,2,888.0
2000,NUTS,2010,DEE0,2,956.0
2003,NUTS,2010,DEE0,2,1145.0
2004,NUTS,2010,DEE0,2,1101.0
2005,NUTS,2010,DEE0,2,955.0
2006,NUTS,2010,DEE0,2,1087.0
2007,NUTS,2010,DEE0,2,1144.0
2008,NUTS,2010,DEE0,2,1178.0
2009,NUTS,2010,DEE0,2,1335.0
2010,NUTS,2010,DEE0,2,1379.0
2011,NUTS,2010,DEE0,2,1357.0
2012,NUTS,2010,DEE0,2,1514.0
2013,NUTS,2010,DEE0,2,1494.0
2014,NUTS,2010,DEE0,2,1383.0
2015,NUTS,2010,DEE0,2,1387.0
2016,NUTS,2010,DEE0,2,1363.0
2017,NUTS,2010,DEE0,2,1428.0
2018,NUTS,2010,DEE0,2,1488.0
2019,NUTS,2010,DEE0,2,1482.0
1999,NUTS,2010,DEF,1,1044.0
2000,NUTS,2010,DEF,1,1008.0
2003,NUTS,2010,DEF,1,979.0
2004,NUTS,2010,DEF,1,1114.0
2005,NUTS,2010,DEF,1,1131.0
2006,NUTS,2010,DEF,1,1080.0
2007,NUTS,2010,DEF,1,932.0
2008,NUTS,2010,DEF,1,979.0
2009,NUTS,2010,DEF,1,1186.0
2010,NUTS,2010,DEF,1,1191.0
2011,NUTS,2010,DEF,1,1221.0
2012,NUTS,2010,DEF,1,1317.0
2013,NUTS,2010,DEF,1,1384.0
2014,NUTS,2010,DEF,1,1488.0
2015,NUTS,2010,DEF,1,1147.0
2016,NUTS,2010,DEF,1,1140.0
2017,NUTS,2010,DEF,1,1260.0
2018,NUTS,2010,DEF,1,1206.0
2019,NUTS,2010,DEF,1,1235.0
1999,NUTS,2010,DEF0,2,1044.0
2000,NUTS,2010,DEF0,2,1008.0
2003,NUTS,2010,DEF0,2,979.0
2004,NUTS,2010,DEF0,2,1114.0
2005,NUTS,2010,DEF0,2,1131.0
2006,NUTS,2010,DEF0,2,1080.0
2007,NUTS,2010,DEF0,2,932.0
2008,NUTS,2010,DEF0,2,979.0
2009,NUTS,2010,DEF0,2,1186.0
2010,NUTS,2010,DEF0,2,1191.0
2011,NUTS,2010,DEF0,2,1221.0
2012,NUTS,2010,DEF0,2,1317.0
2013,NUTS,2010,DEF0,2,1384.0
2014,NUTS,2010,DEF0,2,1488.0
2015,NUTS,2010,DEF0,2,1147.0
2016,NUTS,2010,DEF0,2,1140.0
2017,NUTS,2010,DEF0,2,1260.0
2018,NUTS,2010,DEF0,2,1206.0
2019,NUTS,2010,DEF0,2,1235.0
1999,NUTS,2010,DEG,1,950.0
2000,NUTS,2010,DEG,1,1002.0
2003,NUTS,2010,DEG,1,1009.0
2004,NUTS,2010,DEG,1,1198.0
2005,NUTS,2010,DEG,1,1103.0
2006,NUTS,2010,DEG,1,1149.0
2007,NUTS,2010,DEG,1,1190.0
2008,NUTS,2010,DEG,1,1346.0
2009,NUTS,2010,DEG,1,1332.0
2010,NUTS,2010,DEG,1,1401.0
2011,NUTS,2010,DEG,1,1500.0
2012,NUTS,2010,DEG,1,1532.0
2013,NUTS,2010,DEG,1,1485.0
2014,NUTS,2010,DEG,1,1323.0
2015,NUTS,2010,DEG,1,1315.0
2016,NUTS,2010,DEG,1,1311.0
2017,NUTS,2010,DEG,1,1369.0
2018,NUTS,2010,DEG,1,1476.0
2019,NUTS,2010,DEG,1,1471.0
1999,NUTS,2010,DEG0,2,950.0
2000,NUTS,2010,DEG0,2,1002.0
2003,NUTS,2010,DEG0,2,1009.0
2004,NUTS,2010,DEG0,2,1198.0
2005,NUTS,2010,DEG0,2,1103.0
2006,NUTS,2010,DEG0,2,1149.0
2007,NUTS,2010,DEG0,2,1190.0
2008,NUTS,2010,DEG0,2,1346.0
2009,NUTS,2010,DEG0,2,1332.0
2010,NUTS,2010,DEG0,2,1401.0
2011,NUTS,2010,DEG0,2,1500.0
2012,NUTS,2010,DEG0,2,1532.0
2013,NUTS,2010,DEG0,2,1485.0
2014,NUTS,2010,DEG0,2,1323.0
2015,NUTS,2010,DEG0,2,1315.0
2016,NUTS,2010,DEG0,2,1311.0
2017,NUTS,2010,DEG0,2,1369.0
2018,NUTS,2010,DEG0,2,1476.0
2019,NUTS,2010,DEG0,2,1471.0
1999,NUTS,2010,DEZ,1,231.0
2000,NUTS,2010,DEZ,1,226.0
2003,NUTS,2010,DEZ,1,212.0
2004,NUTS,2010,DEZ,1,216.0
2005,NUTS,2010,DEZ,1,232.0
2006,NUTS,2010,DEZ,1,274.0
2007,NUTS,2010,DEZ,1,277.0
2008,NUTS,2010,DEZ,1,273.0
2009,NUTS,2010,DEZ,1,293.0
2010,NUTS,2010,DEZ,1,295.0
2011,NUTS,2010,DEZ,1,322.0
2012,NUTS,2010,DEZ,1,342.0
2013,NUTS,2010,DEZ,1,321.0
2014,NUTS,2010,DEZ,1,271.0
2015,NUTS,2010,DEZ,1,267.0
2016,NUTS,2010,DEZ,1,278.0
2017,NUTS,2010,DEZ,1,272.0
2018,NUTS,2010,DEZ,1,311.0
2019,NUTS,2010,DEZ,1,315.0
1999,NUTS,2010,DEZZ,2,231.0
2000,NUTS,2010,DEZZ,2,226.0
2003,NUTS,2010,DEZZ,2,212.0
2004,NUTS,2010,DEZZ,2,216.0
2005,NUTS,2010,DEZZ,2,232.0
2006,NUTS,2010,DEZZ,2,274.0
2007,NUTS,2010,DEZZ,2,277.0
2008,NUTS,2010,DEZZ,2,273.0
2009,NUTS,2010,DEZZ,2,293.0
2010,NUTS,2010,DEZZ,2,295.0
2011,NUTS,2010,DEZZ,2,322.0
2012,NUTS,2010,DEZZ,2,342.0
2013,NUTS,2010,DEZZ,2,321.0
2014,NUTS,2010,DEZZ,2,271.0
2015,NUTS,2010,DEZZ,2,267.0
2016,NUTS,2010,DEZZ,2,278.0
2017,NUTS,2010,DEZZ,2,272.0
2018,NUTS,2010,DEZZ,2,311.0
2019,NUTS,2010,DEZZ,2,315.0
1981,NUTS,2010,DK,0,1755.0
1982,NUTS,2010,DK,0,1868.0
1983,NUTS,2010,DK,0,1943.0
1984,NUTS,2010,DK,0,2017.0
1985,NUTS,2010,DK,0,2092.0
1986,NUTS,2010,DK,0,2163.0
1987,NUTS,2010,DK,0,2234.0
1988,NUTS,2010,DK,0,2340.0
1989,NUTS,2010,DK,0,2445.0
1990,NUTS,2010,DK,0,2509.0
1991,NUTS,2010,DK,0,2573.0
1992,NUTS,2010,DK,0,2791.0
1993,NUTS,2010,DK,0,3010.0
1995,NUTS,2010,DK,0,3575.0
1996,NUTS,2010,DK,0,3590.0
1997,NUTS,2010,DK,0,3673.0
1999,NUTS,2010,DK,0,3918.0
2000,NUTS,2010,DK,0,3622.0
2001,NUTS,2010,DK,0,3511.0
2002,NUTS,2010,DK,0,2268.0
2003,NUTS,2010,DK,0,2337.0
2004,NUTS,2010,DK,0,2287.0
2005,NUTS,2010,DK,0,2105.0
2006,NUTS,2010,DK,0,2173.0
2007,NUTS,2010,DK,0,1203.0
2008,NUTS,2010,DK,0,1159.0
2009,NUTS,2010,DK,0,1115.0
2010,NUTS,2010,DK,0,1216.0
2011,NUTS,2010,DK,0,1181.0
2012,NUTS,2010,DK,0,1208.0
2013,NUTS,2010,DK,0,1254.0
2014,NUTS,2010,DK,0,1384.0
2015,NUTS,2010,DK,0,1426.0
2016,NUTS,2010,DK,0,1392.0
2017,NUTS,2010,DK,0,1635.0
2018,NUTS,2010,DK,0,1587.0
2019,NUTS,2010,DK,0,1577.0
2020,NUTS,2010,DK,0,1586.0
1981,NUTS,2010,DK0,1,1755.0
1982,NUTS,2010,DK0,1,1868.0
1983,NUTS,2010,DK0,1,1943.0
1984,NUTS,2010,DK0,1,2017.0
1985,NUTS,2010,DK0,1,2092.0
1986,NUTS,2010,DK0,1,2163.0
1987,NUTS,2010,DK0,1,2234.0
1988,NUTS,2010,DK0,1,2340.0
1989,NUTS,2010,DK0,1,2445.0
1990,NUTS,2010,DK0,1,2509.0
1991,NUTS,2010,DK0,1,2573.0
1992,NUTS,2010,DK0,1,2791.0
1993,NUTS,2010,DK0,1,3010.0
1995,NUTS,2010,DK0,1,3575.0
1996,NUTS,2010,DK0,1,3590.0
1997,NUTS,2010,DK0,1,3673.0
1999,NUTS,2010,DK0,1,3918.0
2000,NUTS,2010,DK0,1,3622.0
2001,NUTS,2010,DK0,1,3595.0
2002,NUTS,2010,DK0,1,2268.0
2003,NUTS,2010,DK0,1,2342.0
2004,NUTS,2010,DK0,1,2167.0
2007,NUTS,2010,DK0,1,1203.0
2009,NUTS,2010,DK0,1,1121.0
2010,NUTS,2010,DK0,1,1216.0
2011,NUTS,2010,DK0,1,1220.0
2012,NUTS,2010,DK0,1,1208.0
2013,NUTS,2010,DK0,1,1253.0
2014,NUTS,2010,DK0,1,1384.0
2015,NUTS,2010,DK0,1,1427.0
2016,NUTS,2010,DK0,1,1392.0
2017,NUTS,2010,DK0,1,1635.0
2018,NUTS,2010,DK0,1,1587.0
2019,NUTS,2010,DK0,1,1577.0
2007,NUTS,2010,DK01,2,948.0
2009,NUTS,2010,DK01,2,736.0
2010,NUTS,2010,DK01,2,773.0
2011,NUTS,2010,DK01,2,767.0
2012,NUTS,2010,DK01,2,697.0
2013,NUTS,2010,DK01,2,652.0
2014,NUTS,2010,DK01,2,724.0
2015,NUTS,2010,DK01,2,662.0
2016,NUTS,2010,DK01,2,638.0
2017,NUTS,2010,DK01,2,930.0
2019,NUTS,2010,DK01,2,942.0
2007,NUTS,2010,DK02,2,43.0
2009,NUTS,2010,DK02,2,68.0
2010,NUTS,2010,DK02,2,60.0
2011,NUTS,2010,DK02,2,75.0
2012,NUTS,2010,DK02,2,107.0
2013,NUTS,2010,DK02,2,122.0
2014,NUTS,2010,DK02,2,166.0
2015,NUTS,2010,DK02,2,213.0
2016,NUTS,2010,DK02,2,134.0
2017,NUTS,2010,DK02,2,163.0
2019,NUTS,2010,DK02,2,129.0
2007,NUTS,2010,DK03,2,10.0
2009,NUTS,2010,DK03,2,163.0
2010,NUTS,2010,DK03,2,196.0
2011,NUTS,2010,DK03,2,168.0
2012,NUTS,2010,DK03,2,136.0
2013,NUTS,2010,DK03,2,146.0
2014,NUTS,2010,DK03,2,172.0
2015,NUTS,2010,DK03,2,198.0
2016,NUTS,2010,DK03,2,226.0
2017,NUTS,2010,DK03,2,48.0
2019,NUTS,2010,DK03,2,44.0
2007,NUTS,2010,DK04,2,66.0
2009,NUTS,2010,DK04,2,148.0
2010,NUTS,2010,DK04,2,177.0
2011,NUTS,2010,DK04,2,201.0
2012,NUTS,2010,DK04,2,254.0
2013,NUTS,2010,DK04,2,303.0
2014,NUTS,2010,DK04,2,297.0
2015,NUTS,2010,DK04,2,326.0
2016,NUTS,2010,DK04,2,365.0
2017,NUTS,2010,DK04,2,302.0
2019,NUTS,2010,DK04,2,261.0
2007,NUTS,2010,DK05,2,136.0
2009,NUTS,2010,DK05,2,7.0
2010,NUTS,2010,DK05,2,10.0
2011,NUTS,2010,DK05,2,9.0
2012,NUTS,2010,DK05,2,14.0
2013,NUTS,2010,DK05,2,30.0
2014,NUTS,2010,DK05,2,25.0
2015,NUTS,2010,DK05,2,28.0
2016,NUTS,2010,DK05,2,30.0
2017,NUTS,2010,DK05,2,192.0
2019,NUTS,2010,DK05,2,201.0
2000,NUTS,2010,EA19,2,118099.0
2001,NUTS,2010,EA19,2,115718.0
2002,NUTS,2010,EA19,2,116743.0
2003,NUTS,2010,EA19,2,120397.0
2004,NUTS,2010,EA19,2,126216.0
2005,NUTS,2010,EA19,2,128900.0
2006,NUTS,2010,EA19,2,132778.0
2007,NUTS,2010,EA19,2,138500.0
2008,NUTS,2010,EA19,2,141935.0
2009,NUTS,2010,EA19,2,149941.0
2010,NUTS,2010,EA19,2,151541.0
2011,NUTS,2010,EA19,2,153971.0
2012,NUTS,2010,EA19,2,158494.0
2013,NUTS,2010,EA19,2,157786.0
2014,NUTS,2010,EA19,2,153626.0
2015,NUTS,2010,EA19,2,156011.0
2016,NUTS,2010,EA19,2,158291.0
2017,NUTS,2010,EA19,2,160797.0
2018,NUTS,2010,EA19,2,166856.0
2019,NUTS,2010,EA19,2,171218.0
2020,NUTS,2010,EA19,2,173857.0
1992,NUTS,2010,EE,0,1971.0
1993,NUTS,2010,EE,0,1942.0
1994,NUTS,2010,EE,0,1829.0
1995,NUTS,2010,EE,0,1483.0
1996,NUTS,2010,EE,0,1339.0
1997,NUTS,2010,EE,0,699.0
1998,NUTS,2010,EE,0,632.0
1999,NUTS,2010,EE,0,620.0
2000,NUTS,2010,EE,0,559.0
2001,NUTS,2010,EE,0,473.0
2002,NUTS,2010,EE,0,463.0
2003,NUTS,2010,EE,0,478.0
2004,NUTS,2010,EE,0,486.0
2005,NUTS,2010,EE,0,474.0
2006,NUTS,2010,EE,0,513.0
2007,NUTS,2010,EE,0,545.0
2008,NUTS,2010,EE,0,531.0
2009,NUTS,2010,EE,0,513.0
2010,NUTS,2010,EE,0,548.0
2011,NUTS,2010,EE,0,536.0
2012,NUTS,2010,EE,0,546.0
2013,NUTS,2010,EE,0,553.0
2014,NUTS,2010,EE,0,533.0
2015,NUTS,2010,EE,0,514.0
2016,NUTS,2010,EE,0,505.0
2017,NUTS,2010,EE,0,549.0
2018,NUTS,2010,EE,0,489.0
2019,NUTS,2010,EE,0,524.0
2020,NUTS,2010,EE,0,542.0
1983,NUTS,2010,EL,0,1501.0
1987,NUTS,2010,EL,0,2084.0
1989,NUTS,2010,EL,0,2101.0
1991,NUTS,2010,EL,0,1918.0
1993,NUTS,2010,EL,0,1905.0
1995,NUTS,2010,EL,0,2012.0
1997,NUTS,2010,EL,0,1985.0
1999,NUTS,2010,EL,0,2001.0
2001,NUTS,2010,EL,0,1980.0
2003,NUTS,2010,EL,0,2136.0
2005,NUTS,2010,EL,0,2076.0
2006,NUTS,2010,EL,0,2259.0
2007,NUTS,2010,EL,0,2201.0
2011,NUTS,2010,EL,0,4370.0
2012,NUTS,2010,EL,0,4510.0
2013,NUTS,2010,EL,0,5778.0
2014,NUTS,2010,EL,0,5844.0
2015,NUTS,2010,EL,0,7256.0
2016,NUTS,2010,EL,0,6263.0
2017,NUTS,2010,EL,0,7184.0
2018,NUTS,2010,EL,0,7768.0
2019,NUTS,2010,EL,0,8151.0
2020,NUTS,2010,EL,0,8376.0
2001,NUTS,2010,EL3,1,1233.0
2003,NUTS,2010,EL3,1,1399.0
2005,NUTS,2010,EL3,1,1377.0
2011,NUTS,2010,EL3,1,2328.0
2013,NUTS,2010,EL3,1,3237.0
2015,NUTS,2010,EL3,1,3873.0
2017,NUTS,2010,EL3,1,4196.0
2019,NUTS,2010,EL3,1,5040.0
2001,NUTS,2010,EL30,2,1233.0
2003,NUTS,2010,EL30,2,1399.0
2005,NUTS,2010,EL30,2,1377.0
2011,NUTS,2010,EL30,2,2328.0
2013,NUTS,2010,EL30,2,3237.0
2015,NUTS,2010,EL30,2,3873.0
2017,NUTS,2010,EL30,2,4196.0
2019,NUTS,2010,EL30,2,5040.0
2001,NUTS,2010,EL4,1,261.0
2003,NUTS,2010,EL4,1,284.0
2005,NUTS,2010,EL4,1,288.0
2011,NUTS,2010,EL4,1,733.0
2013,NUTS,2010,EL4,1,975.0
2015,NUTS,2010,EL4,1,1052.0
2017,NUTS,2010,EL4,1,1099.0
2019,NUTS,2010,EL4,1,953.0
2001,NUTS,2010,EL41,2,3.0
2003,NUTS,2010,EL41,2,4.0
2005,NUTS,2010,EL41,2,3.0
2011,NUTS,2010,EL41,2,35.0
2013,NUTS,2010,EL41,2,39.0
2015,NUTS,2010,EL41,2,153.0
2017,NUTS,2010,EL41,2,100.0
2019,NUTS,2010,EL41,2,85.0
2001,NUTS,2010,EL42,2,6.0
2003,NUTS,2010,EL42,2,5.0
2005,NUTS,2010,EL42,2,6.0
2011,NUTS,2010,EL42,2,106.0
2013,NUTS,2010,EL42,2,109.0
2015,NUTS,2010,EL42,2,105.0
2017,NUTS,2010,EL42,2,87.0
2019,NUTS,2010,EL42,2,97.0
2001,NUTS,2010,EL43,2,252.0
2003,NUTS,2010,EL43,2,275.0
2005,NUTS,2010,EL43,2,279.0
2011,NUTS,2010,EL43,2,592.0
2013,NUTS,2010,EL43,2,827.0
2015,NUTS,2010,EL43,2,794.0
2017,NUTS,2010,EL43,2,912.0
2019,NUTS,2010,EL43,2,771.0
2011,NUTS,2010,EL5,1,690.0
2013,NUTS,2010,EL5,1,824.0
2015,NUTS,2010,EL5,1,1235.0
2017,NUTS,2010,EL5,1,1283.0
2019,NUTS,2010,EL5,1,1512.0
2001,NUTS,2010,EL51,2,53.0
2003,NUTS,2010,EL51,2,31.0
2005,NUTS,2010,EL51,2,30.0
2011,NUTS,2010,EL51,2,40.0
2013,NUTS,2010,EL51,2,85.0
2015,NUTS,2010,EL51,2,78.0
2017,NUTS,2010,EL51,2,96.0
2019,NUTS,2010,EL51,2,116.0
2001,NUTS,2010,EL52,2,138.0
2003,NUTS,2010,EL52,2,179.0
2005,NUTS,2010,EL52,2,165.0
2011,NUTS,2010,EL52,2,427.0
2013,NUTS,2010,EL52,2,616.0
2015,NUTS,2010,EL52,2,947.0
2017,NUTS,2010,EL52,2,1029.0
2019,NUTS,2010,EL52,2,1232.0
2001,NUTS,2010,EL53,2,11.0
2003,NUTS,2010,EL53,2,14.0
2005,NUTS,2010,EL53,2,10.0
2011,NUTS,2010,EL53,2,120.0
2013,NUTS,2010,EL53,2,47.0
2015,NUTS,2010,EL53,2,95.0
2017,NUTS,2010,EL53,2,66.0
2019,NUTS,2010,EL53,2,51.0
2001,NUTS,2010,EL54,2,15.0
2003,NUTS,2010,EL54,2,16.0
2005,NUTS,2010,EL54,2,7.0
2011,NUTS,2010,EL54,2,104.0
2013,NUTS,2010,EL54,2,77.0
2015,NUTS,2010,EL54,2,114.0
2017,NUTS,2010,EL54,2,92.0
2019,NUTS,2010,EL54,2,113.0
2011,NUTS,2010,EL6,1,619.0
2013,NUTS,2010,EL6,1,742.0
2015,NUTS,2010,EL6,1,1096.0
2017,NUTS,2010,EL6,1,606.0
2019,NUTS,2010,EL6,1,645.0
2001,NUTS,2010,EL61,2,23.0
2003,NUTS,2010,EL61,2,18.0
2005,NUTS,2010,EL61,2,16.0
2011,NUTS,2010,EL61,2,167.0
2013,NUTS,2010,EL61,2,189.0
2015,NUTS,2010,EL61,2,257.0
2017,NUTS,2010,EL61,2,149.0
2019,NUTS,2010,EL61,2,120.0
2001,NUTS,2010,EL62,2,1.0
2003,NUTS,2010,EL62,2,2.0
2005,NUTS,2010,EL62,2,2.0
2011,NUTS,2010,EL62,2,29.0
2013,NUTS,2010,EL62,2,28.0
2015,NUTS,2010,EL62,2,109.0
2017,NUTS,2010,EL62,2,37.0
2019,NUTS,2010,EL62,2,45.0
2001,NUTS,2010,EL63,2,172.0
2003,NUTS,2010,EL63,2,167.0
2005,NUTS,2010,EL63,2,162.0
2011,NUTS,2010,EL63,2,226.0
2013,NUTS,2010,EL63,2,288.0
2015,NUTS,2010,EL63,2,264.0
2017,NUTS,2010,EL63,2,221.0
2019,NUTS,2010,EL63,2,194.0
2001,NUTS,2010,EL64,2,55.0
2003,NUTS,2010,EL64,2,13.0
2005,NUTS,2010,EL64,2,9.0
2011,NUTS,2010,EL64,2,54.0
2013,NUTS,2010,EL64,2,85.0
2015,NUTS,2010,EL64,2,142.0
2017,NUTS,2010,EL64,2,64.0
2019,NUTS,2010,EL64,2,96.0
2001,NUTS,2010,EL65,2,17.0
2003,NUTS,2010,EL65,2,13.0
2005,NUTS,2010,EL65,2,11.0
2011,NUTS,2010,EL65,2,143.0
2013,NUTS,2010,EL65,2,152.0
2015,NUTS,2010,EL65,2,324.0
2017,NUTS,2010,EL65,2,135.0
2019,NUTS,2010,EL65,2,189.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
1981,NUTS,2010,ES,0,3632.0
1982,NUTS,2010,ES,0,3351.0
1983,NUTS,2010,ES,0,2871.0
1984,NUTS,2010,ES,0,2917.0
1985,NUTS,2010,ES,0,2839.0
1986,NUTS,2010,ES,0,4060.0
1987,NUTS,2010,ES,0,4528.0
1988,NUTS,2010,ES,0,5706.0
1989,NUTS,2010,ES,0,5864.0
1990,NUTS,2010,ES,0,7623.0
1991,NUTS,2010,ES,0,8079.0
1992,NUTS,2010,ES,0,7660.0
1993,NUTS,2010,ES,0,7737.0
1994,NUTS,2010,ES,0,7820.0
1995,NUTS,2010,ES,0,8359.0
1996,NUTS,2010,ES,0,9126.0
1997,NUTS,2010,ES,0,10490.0
1998,NUTS,2010,ES,0,11021.0
1999,NUTS,2010,ES,0,11934.0
2000,NUTS,2010,ES,0,12708.0
2001,NUTS,2010,ES,0,13345.0
2002,NUTS,2010,ES,0,12625.0
2003,NUTS,2010,ES,0,15489.0
2004,NUTS,2010,ES,0,17151.0
2005,NUTS,2010,ES,0,20446.0
2006,NUTS,2010,ES,0,20063.0
2007,NUTS,2010,ES,0,21412.0
2008,NUTS,2010,ES,0,22578.0
2009,NUTS,2010,ES,0,24165.0
2010,NUTS,2010,ES,0,24377.0
2011,NUTS,2010,ES,0,22893.0
2012,NUTS,2010,ES,0,21850.0
2013,NUTS,2010,ES,0,20673.0
2014,NUTS,2010,ES,0,20180.0
2015,NUTS,2010,ES,0,19962.0
2016,NUTS,2010,ES,0,20663.0
2017,NUTS,2010,ES,0,20844.0
2018,NUTS,2010,ES,0,21422.0
2019,NUTS,2010,ES,0,22147.0
2020,NUTS,2010,ES,0,22527.0
2000,NUTS,2010,ES1,1,724.0
2001,NUTS,2010,ES1,1,771.0
2002,NUTS,2010,ES1,1,815.0
2003,NUTS,2010,ES1,1,942.0
2004,NUTS,2010,ES1,1,1010.0
2005,NUTS,2010,ES1,1,1181.0
2006,NUTS,2010,ES1,1,1234.0
2007,NUTS,2010,ES1,1,1171.0
2008,NUTS,2010,ES1,1,1374.0
2009,NUTS,2010,ES1,1,1471.0
2010,NUTS,2010,ES1,1,1533.0
2011,NUTS,2010,ES1,1,1333.0
2013,NUTS,2010,ES1,1,1185.0
2014,NUTS,2010,ES1,1,1174.0
2015,NUTS,2010,ES1,1,1186.0
2016,NUTS,2010,ES1,1,1262.0
2017,NUTS,2010,ES1,1,1223.0
2018,NUTS,2010,ES1,1,1358.0
2019,NUTS,2010,ES1,1,1419.0
2000,NUTS,2010,ES11,2,491.0
2001,NUTS,2010,ES11,2,469.0
2002,NUTS,2010,ES11,2,515.0
2003,NUTS,2010,ES11,2,601.0
2004,NUTS,2010,ES11,2,626.0
2005,NUTS,2010,ES11,2,741.0
2006,NUTS,2010,ES11,2,756.0
2007,NUTS,2010,ES11,2,669.0
2008,NUTS,2010,ES11,2,805.0
2009,NUTS,2010,ES11,2,895.0
2010,NUTS,2010,ES11,2,937.0
2013,NUTS,2010,ES11,2,701.0
2014,NUTS,2010,ES11,2,695.0
2015,NUTS,2010,ES11,2,673.0
2016,NUTS,2010,ES11,2,717.0
2017,NUTS,2010,ES11,2,787.0
2018,NUTS,2010,ES11,2,859.0
2019,NUTS,2010,ES11,2,858.0
2000,NUTS,2010,ES12,2,158.0
2001,NUTS,2010,ES12,2,193.0
2002,NUTS,2010,ES12,2,182.0
2003,NUTS,2010,ES12,2,200.0
2004,NUTS,2010,ES12,2,213.0
2005,NUTS,2010,ES12,2,249.0
2006,NUTS,2010,ES12,2,258.0
2007,NUTS,2010,ES12,2,277.0
2008,NUTS,2010,ES12,2,325.0
2009,NUTS,2010,ES12,2,358.0
2010,NUTS,2010,ES12,2,320.0
2012,NUTS,2010,ES12,2,313.0
2013,NUTS,2010,ES12,2,261.0
2014,NUTS,2010,ES12,2,231.0
2015,NUTS,2010,ES12,2,246.0
2016,NUTS,2010,ES12,2,269.0
2017,NUTS,2010,ES12,2,210.0
2018,NUTS,2010,ES12,2,223.0
2019,NUTS,2010,ES12,2,234.0
2000,NUTS,2010,ES13,2,75.0
2001,NUTS,2010,ES13,2,108.0
2002,NUTS,2010,ES13,2,118.0
2003,NUTS,2010,ES13,2,141.0
2004,NUTS,2010,ES13,2,172.0
2005,NUTS,2010,ES13,2,191.0
2006,NUTS,2010,ES13,2,220.0
2007,NUTS,2010,ES13,2,225.0
2008,NUTS,2010,ES13,2,245.0
2009,NUTS,2010,ES13,2,218.0
2010,NUTS,2010,ES13,2,275.0
2011,NUTS,2010,ES13,2,269.0
2012,NUTS,2010,ES13,2,269.0
2013,NUTS,2010,ES13,2,223.0
2014,NUTS,2010,ES13,2,249.0
2015,NUTS,2010,ES13,2,267.0
2016,NUTS,2010,ES13,2,276.0
2017,NUTS,2010,ES13,2,226.0
2018,NUTS,2010,ES13,2,277.0
2019,NUTS,2010,ES13,2,328.0
2000,NUTS,2010,ES2,1,670.0
2001,NUTS,2010,ES2,1,774.0
2002,NUTS,2010,ES2,1,687.0
2003,NUTS,2010,ES2,1,879.0
2004,NUTS,2010,ES2,1,1140.0
2005,NUTS,2010,ES2,1,1294.0
2006,NUTS,2010,ES2,1,1377.0
2007,NUTS,2010,ES2,1,1523.0
2008,NUTS,2010,ES2,1,1667.0
2009,NUTS,2010,ES2,1,1644.0
2010,NUTS,2010,ES2,1,1769.0
2011,NUTS,2010,ES2,1,1712.0
2012,NUTS,2010,ES2,1,1724.0
2013,NUTS,2010,ES2,1,1734.0
2014,NUTS,2010,ES2,1,1704.0
2016,NUTS,2010,ES2,1,1641.0
2017,NUTS,2010,ES2,1,1728.0
2018,NUTS,2010,ES2,1,1974.0
2019,NUTS,2010,ES2,1,1968.0
2000,NUTS,2010,ES21,2,221.0
2001,NUTS,2010,ES21,2,276.0
2002,NUTS,2010,ES21,2,288.0
2003,NUTS,2010,ES21,2,353.0
2004,NUTS,2010,ES21,2,474.0
2005,NUTS,2010,ES21,2,489.0
2006,NUTS,2010,ES21,2,503.0
2007,NUTS,2010,ES21,2,589.0
2008,NUTS,2010,ES21,2,657.0
2009,NUTS,2010,ES21,2,557.0
2010,NUTS,2010,ES21,2,586.0
2011,NUTS,2010,ES21,2,562.0
2012,NUTS,2010,ES21,2,646.0
2013,NUTS,2010,ES21,2,671.0
2014,NUTS,2010,ES21,2,627.0
2015,NUTS,2010,ES21,2,604.0
2016,NUTS,2010,ES21,2,599.0
2017,NUTS,2010,ES21,2,631.0
