year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_nac_hes
2004,NUTS,2010,BE,0,1175.707
2005,NUTS,2010,BE,0,1238.842
2006,NUTS,2010,BE,0,1263.056
2007,NUTS,2010,BE,0,1343.477
2008,NUTS,2010,BE,0,1487.24
2009,NUTS,2010,BE,0,1642.796
2010,NUTS,2010,BE,0,1760.5
2011,NUTS,2010,BE,0,1825.5
2012,NUTS,2010,BE,0,1877.94
2013,NUTS,2010,BE,0,1990.76
2014,NUTS,2010,BE,0,1972.315
2015,NUTS,2010,BE,0,2056.856
2016,NUTS,2010,BE,0,2296.131
2017,NUTS,2010,BE,0,2353.83
2018,NUTS,2010,BE,0,2423.524
2019,NUTS,2010,BE,0,2523.511
2020,NUTS,2010,BE,0,2776.129
2002,NUTS,2010,BE1,1,241.947
2003,NUTS,2010,BE1,1,231.565
2004,NUTS,2010,BE1,1,233.018
2005,NUTS,2010,BE1,1,238.81
2006,NUTS,2010,BE1,1,238.421
2007,NUTS,2010,BE1,1,248.879
2008,NUTS,2010,BE1,1,297.195
2009,NUTS,2010,BE1,1,341.999
2010,NUTS,2010,BE1,1,350.319
2011,NUTS,2010,BE1,1,353.376
2012,NUTS,2010,BE1,1,371.003
2013,NUTS,2010,BE1,1,409.599
2014,NUTS,2010,BE1,1,396.614
2015,NUTS,2010,BE1,1,406.217
2016,NUTS,2010,BE1,1,460.638
2017,NUTS,2010,BE1,1,475.223
2018,NUTS,2010,BE1,1,462.62
2019,NUTS,2010,BE1,1,470.638
2002,NUTS,2010,BE10,2,241.947
2003,NUTS,2010,BE10,2,231.565
2004,NUTS,2010,BE10,2,233.018
2005,NUTS,2010,BE10,2,238.81
2006,NUTS,2010,BE10,2,238.421
2007,NUTS,2010,BE10,2,248.879
2008,NUTS,2010,BE10,2,297.195
2009,NUTS,2010,BE10,2,341.999
2010,NUTS,2010,BE10,2,350.319
2011,NUTS,2010,BE10,2,353.376
2012,NUTS,2010,BE10,2,371.003
2013,NUTS,2010,BE10,2,409.599
2014,NUTS,2010,BE10,2,396.614
2015,NUTS,2010,BE10,2,406.217
2016,NUTS,2010,BE10,2,460.638
2017,NUTS,2010,BE10,2,475.223
2018,NUTS,2010,BE10,2,462.62
2019,NUTS,2010,BE10,2,470.638
2002,NUTS,2010,BE2,1,540.688
2003,NUTS,2010,BE2,1,600.367
2004,NUTS,2010,BE2,1,624.288
2005,NUTS,2010,BE2,1,667.078
2006,NUTS,2010,BE2,1,689.556
2007,NUTS,2010,BE2,1,740.226
2008,NUTS,2010,BE2,1,819.189
2009,NUTS,2010,BE2,1,902.985
2010,NUTS,2010,BE2,1,982.621
2011,NUTS,2010,BE2,1,1031.443
2012,NUTS,2010,BE2,1,1068.675
2013,NUTS,2010,BE2,1,1133.671
2014,NUTS,2010,BE2,1,1120.498
2015,NUTS,2010,BE2,1,1161.687
2016,NUTS,2010,BE2,1,1287.953
2017,NUTS,2010,BE2,1,1296.096
2018,NUTS,2010,BE2,1,1388.52
2019,NUTS,2010,BE2,1,1504.892
2002,NUTS,2010,BE3,1,317.793
2003,NUTS,2010,BE3,1,318.079
2004,NUTS,2010,BE3,1,318.402
2005,NUTS,2010,BE3,1,332.953
2006,NUTS,2010,BE3,1,335.079
2007,NUTS,2010,BE3,1,354.372
2008,NUTS,2010,BE3,1,370.855
2009,NUTS,2010,BE3,1,397.813
2010,NUTS,2010,BE3,1,427.568
2011,NUTS,2010,BE3,1,440.642
2012,NUTS,2010,BE3,1,438.261
2013,NUTS,2010,BE3,1,447.49
2014,NUTS,2010,BE3,1,455.203
2015,NUTS,2010,BE3,1,488.952
2016,NUTS,2010,BE3,1,547.54
2017,NUTS,2010,BE3,1,582.511
2018,NUTS,2010,BE3,1,572.384
2019,NUTS,2010,BE3,1,547.981
1989,NUTS,2010,BEZ,1,653.71
1991,NUTS,2010,BEZ,1,728.12
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
1989,NUTS,2010,BEZZ,2,653.71
1991,NUTS,2010,BEZZ,2,728.12
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1987,NUTS,2010,BG,0,0.065
1988,NUTS,2010,BG,0,0.063
1989,NUTS,2010,BG,0,0.065
1990,NUTS,2010,BG,0,0.054
1991,NUTS,2010,BG,0,0.185
1992,NUTS,2010,BG,0,0.268
1993,NUTS,2010,BG,0,0.287
1994,NUTS,2010,BG,0,0.377
1995,NUTS,2010,BG,0,0.452
1996,NUTS,2010,BG,0,0.723
1997,NUTS,2010,BG,0,6.422
1998,NUTS,2010,BG,0,6.521
1999,NUTS,2010,BG,0,8.2
2000,NUTS,2010,BG,0,13.719
2001,NUTS,2010,BG,0,16.987
2002,NUTS,2010,BG,0,15.886
2003,NUTS,2010,BG,0,16.74
2004,NUTS,2010,BG,0,18.0
2005,NUTS,2010,BG,0,21.825
2006,NUTS,2010,BG,0,22.675
2007,NUTS,2010,BG,0,26.388
2008,NUTS,2010,BG,0,31.294
2009,NUTS,2010,BG,0,50.676
2010,NUTS,2010,BG,0,49.546
2011,NUTS,2010,BG,0,43.996
2012,NUTS,2010,BG,0,39.866
2013,NUTS,2010,BG,0,45.106
2014,NUTS,2010,BG,0,58.543
2015,NUTS,2010,BG,0,45.854
2016,NUTS,2010,BG,0,38.427
2017,NUTS,2010,BG,0,43.442
2018,NUTS,2010,BG,0,45.141
2019,NUTS,2010,BG,0,73.294
2020,NUTS,2010,BG,0,62.215
2002,NUTS,2010,BG3,1,4.417
2003,NUTS,2010,BG3,1,4.866
2004,NUTS,2010,BG3,1,3.086
2005,NUTS,2010,BG3,1,2.794
2006,NUTS,2010,BG3,1,2.966
2007,NUTS,2010,BG3,1,3.195
2009,NUTS,2010,BG3,1,9.39
2011,NUTS,2010,BG3,1,7.5
2012,NUTS,2010,BG3,1,7.37
2014,NUTS,2010,BG3,1,15.369
2015,NUTS,2010,BG3,1,8.765
2016,NUTS,2010,BG3,1,9.349
2017,NUTS,2010,BG3,1,10.296
2018,NUTS,2010,BG3,1,11.333
2019,NUTS,2010,BG3,1,21.763
2007,NUTS,2010,BG31,2,0.229
2008,NUTS,2010,BG31,2,0.305
2002,NUTS,2010,BG32,2,1.182
2003,NUTS,2010,BG32,2,1.104
2004,NUTS,2010,BG32,2,1.191
2005,NUTS,2010,BG32,2,0.716
2007,NUTS,2010,BG32,2,0.5
2008,NUTS,2010,BG32,2,1.164
2009,NUTS,2010,BG32,2,2.789
2010,NUTS,2010,BG32,2,0.98
2011,NUTS,2010,BG32,2,1.485
2012,NUTS,2010,BG32,2,1.165
2013,NUTS,2010,BG32,2,1.291
2014,NUTS,2010,BG32,2,1.39
2015,NUTS,2010,BG32,2,1.434
2016,NUTS,2010,BG32,2,1.737
2017,NUTS,2010,BG32,2,1.986
2018,NUTS,2010,BG32,2,1.919
2019,NUTS,2010,BG32,2,1.957
2006,NUTS,2010,BG33,2,1.076
2007,NUTS,2010,BG33,2,1.125
2008,NUTS,2010,BG33,2,1.232
2009,NUTS,2010,BG33,2,3.061
2010,NUTS,2010,BG33,2,2.375
2012,NUTS,2010,BG33,2,2.792
2013,NUTS,2010,BG33,2,3.527
2014,NUTS,2010,BG33,2,11.162
2015,NUTS,2010,BG33,2,4.134
2002,NUTS,2010,BG34,2,2.345
2003,NUTS,2010,BG34,2,2.828
2004,NUTS,2010,BG34,2,0.921
2005,NUTS,2010,BG34,2,1.133
2006,NUTS,2010,BG34,2,1.184
2007,NUTS,2010,BG34,2,1.341
2010,NUTS,2010,BG34,2,3.691
2013,NUTS,2010,BG34,2,2.506
2016,NUTS,2010,BG34,2,3.19
2017,NUTS,2010,BG34,2,3.58
2002,NUTS,2010,BG4,1,11.469
2003,NUTS,2010,BG4,1,11.869
2004,NUTS,2010,BG4,1,14.726
2005,NUTS,2010,BG4,1,19.031
2006,NUTS,2010,BG4,1,19.709
2007,NUTS,2010,BG4,1,23.193
2009,NUTS,2010,BG4,1,41.286
2011,NUTS,2010,BG4,1,36.496
2012,NUTS,2010,BG4,1,32.496
2014,NUTS,2010,BG4,1,43.174
2015,NUTS,2010,BG4,1,37.089
2016,NUTS,2010,BG4,1,29.078
2017,NUTS,2010,BG4,1,33.146
2018,NUTS,2010,BG4,1,33.808
2019,NUTS,2010,BG4,1,51.531
1999,NUTS,2010,BG41,2,6.299
2000,NUTS,2010,BG41,2,9.607
2002,NUTS,2010,BG41,2,10.811
2003,NUTS,2010,BG41,2,11.121
2004,NUTS,2010,BG41,2,14.115
2005,NUTS,2010,BG41,2,18.134
2008,NUTS,2010,BG41,2,22.934
2010,NUTS,2010,BG41,2,36.692
2012,NUTS,2010,BG41,2,26.667
2013,NUTS,2010,BG41,2,33.41
2014,NUTS,2010,BG41,2,39.909
2015,NUTS,2010,BG41,2,29.25
2016,NUTS,2010,BG41,2,24.904
2017,NUTS,2010,BG41,2,28.155
2018,NUTS,2010,BG41,2,28.021
2019,NUTS,2010,BG41,2,31.272
2002,NUTS,2010,BG42,2,0.658
2003,NUTS,2010,BG42,2,0.748
2004,NUTS,2010,BG42,2,0.611
2005,NUTS,2010,BG42,2,0.897
2012,NUTS,2010,BG42,2,5.829
2014,NUTS,2010,BG42,2,3.265
2015,NUTS,2010,BG42,2,7.839
2016,NUTS,2010,BG42,2,4.174
2017,NUTS,2010,BG42,2,4.991
2018,NUTS,2010,BG42,2,5.787
2019,NUTS,2010,BG42,2,20.259
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1981,NUTS,2010,CH,0,840.0
1983,NUTS,2010,CH,0,810.0
1986,NUTS,2010,CH,0,900.0
1988,NUTS,2010,CH,0,1532.0
1989,NUTS,2010,CH,0,1650.0
1992,NUTS,2010,CH,0,2270.0
1994,NUTS,2010,CH,0,2330.0
1996,NUTS,2010,CH,0,2430.0
1998,NUTS,2010,CH,0,2390.0
2000,NUTS,2010,CH,0,2440.0
2002,NUTS,2010,CH,0,2760.0
2004,NUTS,2010,CH,0,3000.0
2006,NUTS,2010,CH,0,3230.0
2008,NUTS,2010,CH,0,3940.0
2010,NUTS,2010,CH,0,4430.0
2012,NUTS,2010,CH,0,5204.002
2014,NUTS,2010,CH,0,5659.178
2015,NUTS,2010,CH,0,5884.607
2017,NUTS,2010,CH,0,6217.356
2019,NUTS,2010,CH,0,6606.077
1981,NUTS,2010,CH0,1,840.0
1983,NUTS,2010,CH0,1,810.0
1986,NUTS,2010,CH0,1,900.0
1988,NUTS,2010,CH0,1,1532.0
1989,NUTS,2010,CH0,1,1650.0
1992,NUTS,2010,CH0,1,2270.0
1994,NUTS,2010,CH0,1,2330.0
1996,NUTS,2010,CH0,1,2430.0
1998,NUTS,2010,CH0,1,2390.0
2000,NUTS,2010,CH0,1,2440.0
2002,NUTS,2010,CH0,1,2760.0
2004,NUTS,2010,CH0,1,3000.0
2006,NUTS,2010,CH0,1,3230.0
2008,NUTS,2010,CH0,1,3940.0
2010,NUTS,2010,CH0,1,4430.0
2012,NUTS,2010,CH0,1,5204.002
2014,NUTS,2010,CH0,1,5659.178
2015,NUTS,2010,CH0,1,5884.607
2017,NUTS,2010,CH0,1,6217.356
2019,NUTS,2010,CH0,1,6606.077
1991,NUTS,2010,CN_X_HK,5,1372.0
1992,NUTS,2010,CN_X_HK,5,1915.0
1993,NUTS,2010,CN_X_HK,5,2778.0
1994,NUTS,2010,CN_X_HK,5,3869.0
1995,NUTS,2010,CN_X_HK,5,4226.0
1996,NUTS,2010,CN_X_HK,5,4778.0
1997,NUTS,2010,CN_X_HK,5,5766.0
1998,NUTS,2010,CN_X_HK,5,5725.0
1999,NUTS,2010,CN_X_HK,5,6350.0
2000,NUTS,2010,CN_X_HK,5,7673.6
2001,NUTS,2010,CN_X_HK,5,10238.0
2002,NUTS,2010,CN_X_HK,5,13050.0
2003,NUTS,2010,CN_X_HK,5,16231.0
2004,NUTS,2010,CN_X_HK,5,20094.0
2005,NUTS,2010,CN_X_HK,5,24230.41
2006,NUTS,2010,CN_X_HK,5,27681.13
2007,NUTS,2010,CN_X_HK,5,31468.8
2008,NUTS,2010,CN_X_HK,5,39016.49
2009,NUTS,2010,CN_X_HK,5,46817.49
2010,NUTS,2010,CN_X_HK,5,59729.8
2011,NUTS,2010,CN_X_HK,5,68885.11
2012,NUTS,2010,CN_X_HK,5,78055.58
2013,NUTS,2010,CN_X_HK,5,85671.396
2014,NUTS,2010,CN_X_HK,5,89814.508
2015,NUTS,2010,CN_X_HK,5,99858.844
2016,NUTS,2010,CN_X_HK,5,107224.01
2017,NUTS,2010,CN_X_HK,5,126596.111
2018,NUTS,2010,CN_X_HK,5,145788.202
2019,NUTS,2010,CN_X_HK,5,179661.652
1991,NUTS,2010,CY,0,0.017
1992,NUTS,2010,CY,0,0.017
1998,NUTS,2010,CY,0,4.596
1999,NUTS,2010,CY,0,5.092
2000,NUTS,2010,CY,0,5.963
2001,NUTS,2010,CY,0,7.069
2002,NUTS,2010,CY,0,9.792
2003,NUTS,2010,CY,0,13.407
2004,NUTS,2010,CY,0,16.374
2005,NUTS,2010,CY,0,21.199
2006,NUTS,2010,CY,0,25.308
2007,NUTS,2010,CY,0,31.72
2008,NUTS,2010,CY,0,32.068
2009,NUTS,2010,CY,0,38.278
2010,NUTS,2010,CY,0,42.944
2011,NUTS,2010,CY,0,47.511
2012,NUTS,2010,CY,0,46.671
2013,NUTS,2010,CY,0,47.132
2014,NUTS,2010,CY,0,43.634
2015,NUTS,2010,CY,0,42.576
2016,NUTS,2010,CY,0,39.337
2017,NUTS,2010,CY,0,45.389
2018,NUTS,2010,CY,0,53.385
2019,NUTS,2010,CY,0,62.983
2020,NUTS,2010,CY,0,65.0
1991,NUTS,2010,CY0,1,0.017
1992,NUTS,2010,CY0,1,0.017
1998,NUTS,2010,CY0,1,4.596
1999,NUTS,2010,CY0,1,5.092
2000,NUTS,2010,CY0,1,5.963
2001,NUTS,2010,CY0,1,7.069
2002,NUTS,2010,CY0,1,9.792
2003,NUTS,2010,CY0,1,13.407
2004,NUTS,2010,CY0,1,16.374
2005,NUTS,2010,CY0,1,21.199
2006,NUTS,2010,CY0,1,25.308
2007,NUTS,2010,CY0,1,31.72
2008,NUTS,2010,CY0,1,32.068
2009,NUTS,2010,CY0,1,38.278
2010,NUTS,2010,CY0,1,42.944
2011,NUTS,2010,CY0,1,47.511
2012,NUTS,2010,CY0,1,46.671
2013,NUTS,2010,CY0,1,47.132
2014,NUTS,2010,CY0,1,43.634
2015,NUTS,2010,CY0,1,42.576
2016,NUTS,2010,CY0,1,39.337
2017,NUTS,2010,CY0,1,45.389
2018,NUTS,2010,CY0,1,53.385
2019,NUTS,2010,CY0,1,62.983
2020,NUTS,2010,CY0,1,65.0
1991,NUTS,2010,CY00,2,0.017
1992,NUTS,2010,CY00,2,0.017
1998,NUTS,2010,CY00,2,4.596
1999,NUTS,2010,CY00,2,5.092
2000,NUTS,2010,CY00,2,5.963
2001,NUTS,2010,CY00,2,7.069
2002,NUTS,2010,CY00,2,9.792
2003,NUTS,2010,CY00,2,13.407
2004,NUTS,2010,CY00,2,16.374
2005,NUTS,2010,CY00,2,21.199
2006,NUTS,2010,CY00,2,25.308
2007,NUTS,2010,CY00,2,31.72
2008,NUTS,2010,CY00,2,32.068
2009,NUTS,2010,CY00,2,38.278
2010,NUTS,2010,CY00,2,42.944
2011,NUTS,2010,CY00,2,47.511
2012,NUTS,2010,CY00,2,46.671
2013,NUTS,2010,CY00,2,47.132
2014,NUTS,2010,CY00,2,43.634
2015,NUTS,2010,CY00,2,42.576
2016,NUTS,2010,CY00,2,39.337
2017,NUTS,2010,CY00,2,45.389
2018,NUTS,2010,CY00,2,53.385
2019,NUTS,2010,CY00,2,62.983
2020,NUTS,2010,CY00,2,65.0
1991,NUTS,2010,CZ,0,245.0
1992,NUTS,2010,CZ,0,145.0
1993,NUTS,2010,CZ,0,389.0
1994,NUTS,2010,CZ,0,580.0
1995,NUTS,2010,CZ,0,1185.9
1996,NUTS,2010,CZ,0,1440.3
1997,NUTS,2010,CZ,0,1778.0
1998,NUTS,2010,CZ,0,2170.3
1999,NUTS,2010,CZ,0,2917.8
2000,NUTS,2010,CZ,0,3764.0
2001,NUTS,2010,CZ,0,4437.0
2002,NUTS,2010,CZ,0,4618.8
2003,NUTS,2010,CZ,0,4921.63
2004,NUTS,2010,CZ,0,5181.193
2005,NUTS,2010,CZ,0,7080.465
2006,NUTS,2010,CZ,0,8100.303
2007,NUTS,2010,CZ,0,9309.453
2008,NUTS,2010,CZ,0,9232.167
2009,NUTS,2010,CZ,0,10173.039
2010,NUTS,2010,CZ,0,10616.061
2011,NUTS,2010,CZ,0,15288.401
2012,NUTS,2010,CZ,0,19878.533
2013,NUTS,2010,CZ,0,21197.761
2014,NUTS,2010,CZ,0,21627.737
2015,NUTS,2010,CZ,0,22082.697
2016,NUTS,2010,CZ,0,16382.229
2017,NUTS,2010,CZ,0,17741.252
2018,NUTS,2010,CZ,0,22072.659
2019,NUTS,2010,CZ,0,24326.3
2020,NUTS,2010,CZ,0,24502.346
1991,NUTS,2010,CZ0,1,245.0
1992,NUTS,2010,CZ0,1,145.0
1993,NUTS,2010,CZ0,1,389.0
1994,NUTS,2010,CZ0,1,580.0
1995,NUTS,2010,CZ0,1,1185.9
1996,NUTS,2010,CZ0,1,1440.3
1997,NUTS,2010,CZ0,1,1778.0
1998,NUTS,2010,CZ0,1,2170.3
1999,NUTS,2010,CZ0,1,2917.8
2000,NUTS,2010,CZ0,1,3764.0
2001,NUTS,2010,CZ0,1,4437.0
2002,NUTS,2010,CZ0,1,4618.8
