year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_hc_rse_f
2019,NUTS,2010,CZ07,2,1498.0
2020,NUTS,2010,CZ07,2,1540.0
2011,NUTS,2010,CZ08,2,878.0
2012,NUTS,2010,CZ08,2,984.0
2013,NUTS,2010,CZ08,2,1010.0
2014,NUTS,2010,CZ08,2,978.0
2015,NUTS,2010,CZ08,2,1066.0
2016,NUTS,2010,CZ08,2,1100.0
2017,NUTS,2010,CZ08,2,1124.0
2018,NUTS,2010,CZ08,2,1188.0
2019,NUTS,2010,CZ08,2,1228.0
2020,NUTS,2010,CZ08,2,1267.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,139879.0
2013,NUTS,2010,DE,0,153517.0
2015,NUTS,2010,DE,0,164094.0
2017,NUTS,2010,DE,0,173700.0
2019,NUTS,2010,DE,0,187231.0
2011,NUTS,2010,DK,0,18831.0
2012,NUTS,2010,DK,0,20369.0
2013,NUTS,2010,DK,0,19904.0
2015,NUTS,2010,DK,0,20469.0
2017,NUTS,2010,DK,0,21472.0
2019,NUTS,2010,DK,0,21746.0
2011,NUTS,2010,DK0,1,18774.0
2012,NUTS,2010,DK0,1,20370.0
2013,NUTS,2010,DK0,1,20667.0
2015,NUTS,2010,DK0,1,20469.0
2017,NUTS,2010,DK0,1,21472.0
2019,NUTS,2010,DK0,1,21746.0
2011,NUTS,2010,DK01,2,11802.0
2013,NUTS,2010,DK01,2,12240.0
2015,NUTS,2010,DK01,2,12238.0
2017,NUTS,2010,DK01,2,13684.0
2019,NUTS,2010,DK01,2,13076.0
2011,NUTS,2010,DK02,2,984.0
2013,NUTS,2010,DK02,2,1164.0
2015,NUTS,2010,DK02,2,981.0
2017,NUTS,2010,DK02,2,1065.0
2019,NUTS,2010,DK02,2,1164.0
2011,NUTS,2010,DK03,2,1903.0
2013,NUTS,2010,DK03,2,2226.0
2015,NUTS,2010,DK03,2,2799.0
2017,NUTS,2010,DK03,2,1618.0
2019,NUTS,2010,DK03,2,1783.0
2011,NUTS,2010,DK04,2,3222.0
2013,NUTS,2010,DK04,2,3726.0
2015,NUTS,2010,DK04,2,3302.0
2017,NUTS,2010,DK04,2,3351.0
2019,NUTS,2010,DK04,2,3803.0
2011,NUTS,2010,DK05,2,863.0
2013,NUTS,2010,DK05,2,1311.0
2015,NUTS,2010,DK05,2,1149.0
2017,NUTS,2010,DK05,2,1753.0
2019,NUTS,2010,DK05,2,1920.0
2011,NUTS,2010,EA19,2,536844.0
2013,NUTS,2010,EA19,2,578663.0
2015,NUTS,2010,EA19,2,615957.0
2017,NUTS,2010,EA19,2,662808.0
2019,NUTS,2010,EA19,2,722956.0
2011,NUTS,2010,EE,0,3342.0
2012,NUTS,2010,EE,0,3358.0
2013,NUTS,2010,EE,0,3338.0
2014,NUTS,2010,EE,0,3399.0
2015,NUTS,2010,EE,0,3151.0
2016,NUTS,2010,EE,0,2981.0
2017,NUTS,2010,EE,0,3099.0
2018,NUTS,2010,EE,0,3199.0
2019,NUTS,2010,EE,0,3283.0
2011,NUTS,2010,EL,0,16609.0
2013,NUTS,2010,EL,0,21163.0
2015,NUTS,2010,EL,0,23078.0
2017,NUTS,2010,EL,0,23301.0
2019,NUTS,2010,EL,0,25942.0
2011,NUTS,2010,EL3,1,6485.0
2011,NUTS,2010,EL30,2,6485.0
2011,NUTS,2010,EL4,1,2107.0
2011,NUTS,2010,EL41,2,270.0
2011,NUTS,2010,EL42,2,272.0
2011,NUTS,2010,EL43,2,1565.0
2011,NUTS,2010,EL5,1,5419.0
2011,NUTS,2010,EL51,2,935.0
2011,NUTS,2010,EL52,2,3243.0
2011,NUTS,2010,EL53,2,266.0
2011,NUTS,2010,EL54,2,975.0
2011,NUTS,2010,EL6,1,2598.0
2011,NUTS,2010,EL61,2,947.0
2011,NUTS,2010,EL62,2,101.0
2011,NUTS,2010,EL63,2,1098.0
2011,NUTS,2010,EL64,2,133.0
2011,NUTS,2010,EL65,2,319.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,85237.0
2012,NUTS,2010,ES,0,83643.0
2013,NUTS,2010,ES,0,82121.0
2014,NUTS,2010,ES,0,83184.0
2015,NUTS,2010,ES,0,85759.0
2016,NUTS,2010,ES,0,87804.0
2017,NUTS,2010,ES,0,91499.0
2018,NUTS,2010,ES,0,95717.0
2019,NUTS,2010,ES,0,99772.0
2011,NUTS,2010,ES1,1,6834.0
2012,NUTS,2010,ES1,1,6408.0
2013,NUTS,2010,ES1,1,6568.0
2014,NUTS,2010,ES1,1,6213.0
2015,NUTS,2010,ES1,1,6376.0
2016,NUTS,2010,ES1,1,6412.0
2017,NUTS,2010,ES1,1,6891.0
2018,NUTS,2010,ES1,1,7052.0
2019,NUTS,2010,ES1,1,7669.0
2011,NUTS,2010,ES11,2,4180.0
2012,NUTS,2010,ES11,2,3922.0
2013,NUTS,2010,ES11,2,3989.0
2014,NUTS,2010,ES11,2,3841.0
2015,NUTS,2010,ES11,2,3866.0
2016,NUTS,2010,ES11,2,3988.0
2017,NUTS,2010,ES11,2,4320.0
2018,NUTS,2010,ES11,2,4605.0
2019,NUTS,2010,ES11,2,4950.0
2011,NUTS,2010,ES12,2,1823.0
2012,NUTS,2010,ES12,2,1687.0
2013,NUTS,2010,ES12,2,1816.0
2014,NUTS,2010,ES12,2,1599.0
2015,NUTS,2010,ES12,2,1652.0
2016,NUTS,2010,ES12,2,1568.0
2017,NUTS,2010,ES12,2,1710.0
2018,NUTS,2010,ES12,2,1511.0
2019,NUTS,2010,ES12,2,1722.0
2011,NUTS,2010,ES13,2,831.0
2012,NUTS,2010,ES13,2,799.0
2013,NUTS,2010,ES13,2,762.0
2014,NUTS,2010,ES13,2,774.0
2015,NUTS,2010,ES13,2,859.0
2016,NUTS,2010,ES13,2,856.0
2017,NUTS,2010,ES13,2,861.0
2018,NUTS,2010,ES13,2,935.0
2019,NUTS,2010,ES13,2,996.0
2011,NUTS,2010,ES2,1,11190.0
2012,NUTS,2010,ES2,1,11342.0
2013,NUTS,2010,ES2,1,11338.0
2014,NUTS,2010,ES2,1,11648.0
2015,NUTS,2010,ES2,1,11830.0
2016,NUTS,2010,ES2,1,11922.0
2017,NUTS,2010,ES2,1,12551.0
2018,NUTS,2010,ES2,1,13071.0
2019,NUTS,2010,ES2,1,13145.0
2011,NUTS,2010,ES21,2,6153.0
2012,NUTS,2010,ES21,2,6281.0
2013,NUTS,2010,ES21,2,6352.0
2014,NUTS,2010,ES21,2,6364.0
2015,NUTS,2010,ES21,2,6635.0
2016,NUTS,2010,ES21,2,6587.0
2017,NUTS,2010,ES21,2,7066.0
2018,NUTS,2010,ES21,2,7318.0
2019,NUTS,2010,ES21,2,7453.0
2011,NUTS,2010,ES22,2,1703.0
2012,NUTS,2010,ES22,2,1681.0
2013,NUTS,2010,ES22,2,1596.0
2014,NUTS,2010,ES22,2,1670.0
2015,NUTS,2010,ES22,2,1673.0
2016,NUTS,2010,ES22,2,1685.0
2017,NUTS,2010,ES22,2,1740.0
2018,NUTS,2010,ES22,2,1820.0
2019,NUTS,2010,ES22,2,1691.0
2011,NUTS,2010,ES23,2,527.0
2012,NUTS,2010,ES23,2,534.0
2013,NUTS,2010,ES23,2,527.0
2014,NUTS,2010,ES23,2,582.0
2015,NUTS,2010,ES23,2,558.0
2016,NUTS,2010,ES23,2,700.0
2017,NUTS,2010,ES23,2,671.0
2018,NUTS,2010,ES23,2,741.0
2019,NUTS,2010,ES23,2,753.0
2011,NUTS,2010,ES24,2,2806.0
2012,NUTS,2010,ES24,2,2846.0
2013,NUTS,2010,ES24,2,2863.0
2014,NUTS,2010,ES24,2,3032.0
2015,NUTS,2010,ES24,2,2964.0
2016,NUTS,2010,ES24,2,2950.0
2017,NUTS,2010,ES24,2,3073.0
2018,NUTS,2010,ES24,2,3192.0
2019,NUTS,2010,ES24,2,3249.0
2011,NUTS,2010,ES3,1,19748.0
2012,NUTS,2010,ES3,1,19388.0
2013,NUTS,2010,ES3,1,19040.0
2014,NUTS,2010,ES3,1,19374.0
2015,NUTS,2010,ES3,1,19788.0
2016,NUTS,2010,ES3,1,20558.0
2017,NUTS,2010,ES3,1,20850.0
2018,NUTS,2010,ES3,1,22376.0
2019,NUTS,2010,ES3,1,23817.0
2011,NUTS,2010,ES30,2,19748.0
2012,NUTS,2010,ES30,2,19388.0
2013,NUTS,2010,ES30,2,19040.0
2014,NUTS,2010,ES30,2,19374.0
2015,NUTS,2010,ES30,2,19788.0
2016,NUTS,2010,ES30,2,20558.0
2017,NUTS,2010,ES30,2,20850.0
2018,NUTS,2010,ES30,2,22376.0
2019,NUTS,2010,ES30,2,23817.0
2011,NUTS,2010,ES4,1,8112.0
2012,NUTS,2010,ES4,1,7622.0
2013,NUTS,2010,ES4,1,6908.0
2014,NUTS,2010,ES4,1,6985.0
2015,NUTS,2010,ES4,1,7355.0
2016,NUTS,2010,ES4,1,7398.0
2017,NUTS,2010,ES4,1,7720.0
2018,NUTS,2010,ES4,1,8134.0
2019,NUTS,2010,ES4,1,8179.0
2011,NUTS,2010,ES41,2,5078.0
2012,NUTS,2010,ES41,2,4825.0
2013,NUTS,2010,ES41,2,4487.0
2014,NUTS,2010,ES41,2,4604.0
2015,NUTS,2010,ES41,2,4803.0
2016,NUTS,2010,ES41,2,4755.0
2017,NUTS,2010,ES41,2,4865.0
2018,NUTS,2010,ES41,2,5189.0
2019,NUTS,2010,ES41,2,5322.0
2011,NUTS,2010,ES42,2,2008.0
2012,NUTS,2010,ES42,2,1805.0
2013,NUTS,2010,ES42,2,1396.0
2014,NUTS,2010,ES42,2,1425.0
2015,NUTS,2010,ES42,2,1568.0
2016,NUTS,2010,ES42,2,1691.0
2017,NUTS,2010,ES42,2,1826.0
2018,NUTS,2010,ES42,2,1852.0
2019,NUTS,2010,ES42,2,1884.0
2011,NUTS,2010,ES43,2,1025.0
2012,NUTS,2010,ES43,2,992.0
2013,NUTS,2010,ES43,2,1025.0
2014,NUTS,2010,ES43,2,956.0
2015,NUTS,2010,ES43,2,984.0
2016,NUTS,2010,ES43,2,952.0
2017,NUTS,2010,ES43,2,1030.0
2018,NUTS,2010,ES43,2,1093.0
2019,NUTS,2010,ES43,2,972.0
2011,NUTS,2010,ES5,1,24584.0
2012,NUTS,2010,ES5,1,24351.0
2013,NUTS,2010,ES5,1,24153.0
2014,NUTS,2010,ES5,1,24994.0
2015,NUTS,2010,ES5,1,25386.0
2016,NUTS,2010,ES5,1,26238.0
2017,NUTS,2010,ES5,1,27604.0
2018,NUTS,2010,ES5,1,28734.0
2019,NUTS,2010,ES5,1,30188.0
2011,NUTS,2010,ES51,2,15563.0
2012,NUTS,2010,ES51,2,15579.0
2013,NUTS,2010,ES51,2,15716.0
2014,NUTS,2010,ES51,2,15818.0
2015,NUTS,2010,ES51,2,16249.0
2016,NUTS,2010,ES51,2,16715.0
2017,NUTS,2010,ES51,2,17557.0
2018,NUTS,2010,ES51,2,18368.0
2019,NUTS,2010,ES51,2,19118.0
2011,NUTS,2010,ES52,2,7724.0
2012,NUTS,2010,ES52,2,7553.0
2013,NUTS,2010,ES52,2,7251.0
2014,NUTS,2010,ES52,2,7935.0
2015,NUTS,2010,ES52,2,7783.0
2016,NUTS,2010,ES52,2,8191.0
2017,NUTS,2010,ES52,2,8584.0
2018,NUTS,2010,ES52,2,8982.0
2019,NUTS,2010,ES52,2,9583.0
2011,NUTS,2010,ES53,2,1297.0
2012,NUTS,2010,ES53,2,1219.0
2013,NUTS,2010,ES53,2,1186.0
2014,NUTS,2010,ES53,2,1241.0
2015,NUTS,2010,ES53,2,1354.0
2016,NUTS,2010,ES53,2,1332.0
2017,NUTS,2010,ES53,2,1463.0
2018,NUTS,2010,ES53,2,1385.0
2019,NUTS,2010,ES53,2,1487.0
2011,NUTS,2010,ES6,1,12871.0
2012,NUTS,2010,ES6,1,12645.0
2013,NUTS,2010,ES6,1,12339.0
2014,NUTS,2010,ES6,1,12227.0
2015,NUTS,2010,ES6,1,13286.0
2016,NUTS,2010,ES6,1,13438.0
2017,NUTS,2010,ES6,1,13980.0
2018,NUTS,2010,ES6,1,14306.0
2019,NUTS,2010,ES6,1,14706.0
2011,NUTS,2010,ES61,2,10762.0
2012,NUTS,2010,ES61,2,10544.0
2013,NUTS,2010,ES61,2,10265.0
2014,NUTS,2010,ES61,2,10143.0
2015,NUTS,2010,ES61,2,11118.0
2016,NUTS,2010,ES61,2,11050.0
2017,NUTS,2010,ES61,2,11400.0
2018,NUTS,2010,ES61,2,11564.0
2019,NUTS,2010,ES61,2,11776.0
2011,NUTS,2010,ES62,2,2071.0
2012,NUTS,2010,ES62,2,2065.0
2013,NUTS,2010,ES62,2,2036.0
2014,NUTS,2010,ES62,2,2041.0
2015,NUTS,2010,ES62,2,2131.0
2016,NUTS,2010,ES62,2,2328.0
2017,NUTS,2010,ES62,2,2512.0
2018,NUTS,2010,ES62,2,2625.0
2019,NUTS,2010,ES62,2,2816.0
2011,NUTS,2010,ES63,2,12.0
2012,NUTS,2010,ES63,2,11.0
