year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_gov_mio_nac
2013,NUTS,2010,AT22,2,
2015,NUTS,2010,AT22,2,
2017,NUTS,2010,AT22,2,
2019,NUTS,2010,AT22,2,
1981,NUTS,2010,AT3,1,13.38
1985,NUTS,2010,AT3,1,19.11
1989,NUTS,2010,AT3,1,20.71
1993,NUTS,2010,AT3,1,31.63
1998,NUTS,2010,AT3,1,37.0
2002,NUTS,2010,AT3,1,43.263
2004,NUTS,2010,AT3,1,48.722
2006,NUTS,2010,AT3,1,
2007,NUTS,2010,AT3,1,56.661
2009,NUTS,2010,AT3,1,
2011,NUTS,2010,AT3,1,
2013,NUTS,2010,AT3,1,
2015,NUTS,2010,AT3,1,
2017,NUTS,2010,AT3,1,
2019,NUTS,2010,AT3,1,132.743
1981,NUTS,2010,AT31,2,5.24
1985,NUTS,2010,AT31,2,7.27
1989,NUTS,2010,AT31,2,7.27
1993,NUTS,2010,AT31,2,9.48
1998,NUTS,2010,AT31,2,14.0
2002,NUTS,2010,AT31,2,13.339
2004,NUTS,2010,AT31,2,14.234
2006,NUTS,2010,AT31,2,15.638
2007,NUTS,2010,AT31,2,16.365
2009,NUTS,2010,AT31,2,17.78
2011,NUTS,2010,AT31,2,16.994
2013,NUTS,2010,AT31,2,17.502
2015,NUTS,2010,AT31,2,21.394
2017,NUTS,2010,AT31,2,37.998
2019,NUTS,2010,AT31,2,51.374
1981,NUTS,2010,AT32,2,2.04
1985,NUTS,2010,AT32,2,2.18
1989,NUTS,2010,AT32,2,2.11
1993,NUTS,2010,AT32,2,5.05
1998,NUTS,2010,AT32,2,7.0
2002,NUTS,2010,AT32,2,8.537
2004,NUTS,2010,AT32,2,9.953
2006,NUTS,2010,AT32,2,10.509
2007,NUTS,2010,AT32,2,
2009,NUTS,2010,AT32,2,14.502
2011,NUTS,2010,AT32,2,
2013,NUTS,2010,AT32,2,
2015,NUTS,2010,AT32,2,28.423
2017,NUTS,2010,AT32,2,26.449
2019,NUTS,2010,AT32,2,28.564
1981,NUTS,2010,AT33,2,4.62
1985,NUTS,2010,AT33,2,7.05
1989,NUTS,2010,AT33,2,9.16
1993,NUTS,2010,AT33,2,13.9
1998,NUTS,2010,AT33,2,14.0
2002,NUTS,2010,AT33,2,14.224
2004,NUTS,2010,AT33,2,15.685
2006,NUTS,2010,AT33,2,15.122
2007,NUTS,2010,AT33,2,
2009,NUTS,2010,AT33,2,
2011,NUTS,2010,AT33,2,23.723
2013,NUTS,2010,AT33,2,27.06
2015,NUTS,2010,AT33,2,
2017,NUTS,2010,AT33,2,
2019,NUTS,2010,AT33,2,39.603
1981,NUTS,2010,AT34,2,1.47
1985,NUTS,2010,AT34,2,2.62
1989,NUTS,2010,AT34,2,2.11
1993,NUTS,2010,AT34,2,3.21
1998,NUTS,2010,AT34,2,3.0
2002,NUTS,2010,AT34,2,7.163
2004,NUTS,2010,AT34,2,8.85
2006,NUTS,2010,AT34,2,
2007,NUTS,2010,AT34,2,
2009,NUTS,2010,AT34,2,
2011,NUTS,2010,AT34,2,9.925
2013,NUTS,2010,AT34,2,11.406
2015,NUTS,2010,AT34,2,12.883
2017,NUTS,2010,AT34,2,12.694
2019,NUTS,2010,AT34,2,13.202
1993,NUTS,2010,ATZ,1,7.5
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
1993,NUTS,2010,ATZZ,2,7.5
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,9.909
2013,NUTS,2010,BA,0,5.0
2014,NUTS,2010,BA,0,13.5
2019,NUTS,2010,BA,0,3.0
1983,NUTS,2010,BE,0,91.97
1984,NUTS,2010,BE,0,95.29
1985,NUTS,2010,BE,0,107.92
1986,NUTS,2010,BE,0,105.54
1987,NUTS,2010,BE,0,95.78
1988,NUTS,2010,BE,0,103.22
1989,NUTS,2010,BE,0,153.87
1991,NUTS,2010,BE,0,170.19
1993,NUTS,2010,BE,0,157.88
1994,NUTS,2010,BE,0,162.82
1995,NUTS,2010,BE,0,166.78
1996,NUTS,2010,BE,0,205.52
1997,NUTS,2010,BE,0,221.95
1998,NUTS,2010,BE,0,258.09
1999,NUTS,2010,BE,0,286.177
2000,NUTS,2010,BE,0,312.14
2001,NUTS,2010,BE,0,330.893
2002,NUTS,2010,BE,0,372.644
2003,NUTS,2010,BE,0,354.449
2004,NUTS,2010,BE,0,418.592
2005,NUTS,2010,BE,0,464.249
2006,NUTS,2010,BE,0,475.956
2007,NUTS,2010,BE,0,513.282
2008,NUTS,2010,BE,0,608.585
2009,NUTS,2010,BE,0,637.873
2010,NUTS,2010,BE,0,630.9
2011,NUTS,2010,BE,0,658.6
2012,NUTS,2010,BE,0,747.076
2013,NUTS,2010,BE,0,775.192
2014,NUTS,2010,BE,0,859.257
2015,NUTS,2010,BE,0,929.384
2016,NUTS,2010,BE,0,1045.794
2017,NUTS,2010,BE,0,1114.163
2018,NUTS,2010,BE,0,1206.776
2019,NUTS,2010,BE,0,1329.381
2020,NUTS,2010,BE,0,1417.785
1993,NUTS,2010,BE1,1,45.12
1994,NUTS,2010,BE1,1,43.37
1995,NUTS,2010,BE1,1,42.9
1996,NUTS,2010,BE1,1,41.2
1997,NUTS,2010,BE1,1,44.15
1998,NUTS,2010,BE1,1,48.1
1999,NUTS,2010,BE1,1,47.05
2000,NUTS,2010,BE1,1,53.971
2001,NUTS,2010,BE1,1,55.481
2002,NUTS,2010,BE1,1,65.12
2003,NUTS,2010,BE1,1,66.702
2004,NUTS,2010,BE1,1,70.735
2005,NUTS,2010,BE1,1,71.252
2006,NUTS,2010,BE1,1,79.517
2007,NUTS,2010,BE1,1,80.643
2008,NUTS,2010,BE1,1,112.367
2009,NUTS,2010,BE1,1,114.43
2010,NUTS,2010,BE1,1,89.995
2011,NUTS,2010,BE1,1,92.826
2012,NUTS,2010,BE1,1,110.961
2013,NUTS,2010,BE1,1,121.297
2014,NUTS,2010,BE1,1,137.163
2015,NUTS,2010,BE1,1,152.858
2016,NUTS,2010,BE1,1,155.927
2017,NUTS,2010,BE1,1,159.563
2018,NUTS,2010,BE1,1,183.067
2019,NUTS,2010,BE1,1,191.179
1993,NUTS,2010,BE10,2,45.12
1994,NUTS,2010,BE10,2,43.37
1995,NUTS,2010,BE10,2,42.9
1996,NUTS,2010,BE10,2,41.2
1997,NUTS,2010,BE10,2,44.15
1998,NUTS,2010,BE10,2,48.1
1999,NUTS,2010,BE10,2,47.05
2000,NUTS,2010,BE10,2,53.971
2001,NUTS,2010,BE10,2,55.481
2002,NUTS,2010,BE10,2,65.12
2003,NUTS,2010,BE10,2,66.702
2004,NUTS,2010,BE10,2,70.735
2005,NUTS,2010,BE10,2,71.252
2006,NUTS,2010,BE10,2,79.517
2007,NUTS,2010,BE10,2,80.643
2008,NUTS,2010,BE10,2,112.367
2009,NUTS,2010,BE10,2,114.43
2010,NUTS,2010,BE10,2,89.995
2011,NUTS,2010,BE10,2,92.826
2012,NUTS,2010,BE10,2,110.961
2013,NUTS,2010,BE10,2,121.297
2014,NUTS,2010,BE10,2,137.163
2015,NUTS,2010,BE10,2,152.858
2016,NUTS,2010,BE10,2,155.927
2017,NUTS,2010,BE10,2,159.563
2018,NUTS,2010,BE10,2,183.067
2019,NUTS,2010,BE10,2,191.179
1993,NUTS,2010,BE2,1,95.69
1994,NUTS,2010,BE2,1,57.13
1995,NUTS,2010,BE2,1,61.49
1996,NUTS,2010,BE2,1,62.59
1997,NUTS,2010,BE2,1,70.84
1998,NUTS,2010,BE2,1,192.13
1999,NUTS,2010,BE2,1,220.06
2000,NUTS,2010,BE2,1,234.357
2001,NUTS,2010,BE2,1,250.305
2002,NUTS,2010,BE2,1,280.883
2003,NUTS,2010,BE2,1,260.821
2004,NUTS,2010,BE2,1,335.331
2005,NUTS,2010,BE2,1,379.713
2006,NUTS,2010,BE2,1,382.799
2007,NUTS,2010,BE2,1,418.735
2008,NUTS,2010,BE2,1,458.213
2009,NUTS,2010,BE2,1,485.043
2010,NUTS,2010,BE2,1,515.319
2011,NUTS,2010,BE2,1,537.597
2012,NUTS,2010,BE2,1,604.701
2013,NUTS,2010,BE2,1,621.981
2014,NUTS,2010,BE2,1,673.51
2015,NUTS,2010,BE2,1,723.988
2016,NUTS,2010,BE2,1,854.348
2017,NUTS,2010,BE2,1,918.327
2018,NUTS,2010,BE2,1,991.015
2019,NUTS,2010,BE2,1,1104.893
2010,NUTS,2010,BE21,2,
2011,NUTS,2010,BE21,2,
2012,NUTS,2010,BE21,2,
2013,NUTS,2010,BE21,2,
2014,NUTS,2010,BE21,2,
2015,NUTS,2010,BE21,2,
2016,NUTS,2010,BE21,2,
2017,NUTS,2010,BE21,2,
2018,NUTS,2010,BE21,2,
2019,NUTS,2010,BE21,2,
2010,NUTS,2010,BE22,2,
2011,NUTS,2010,BE22,2,
2012,NUTS,2010,BE22,2,
2013,NUTS,2010,BE22,2,
2014,NUTS,2010,BE22,2,
2015,NUTS,2010,BE22,2,
2016,NUTS,2010,BE22,2,
2017,NUTS,2010,BE22,2,
2018,NUTS,2010,BE22,2,
2019,NUTS,2010,BE22,2,
2010,NUTS,2010,BE23,2,
2011,NUTS,2010,BE23,2,
2012,NUTS,2010,BE23,2,
2013,NUTS,2010,BE23,2,
2014,NUTS,2010,BE23,2,
2015,NUTS,2010,BE23,2,
2016,NUTS,2010,BE23,2,
2017,NUTS,2010,BE23,2,
2018,NUTS,2010,BE23,2,
2019,NUTS,2010,BE23,2,
2010,NUTS,2010,BE24,2,
2011,NUTS,2010,BE24,2,
2012,NUTS,2010,BE24,2,
2013,NUTS,2010,BE24,2,
2014,NUTS,2010,BE24,2,
2015,NUTS,2010,BE24,2,
2016,NUTS,2010,BE24,2,
2017,NUTS,2010,BE24,2,
2018,NUTS,2010,BE24,2,
2019,NUTS,2010,BE24,2,
2010,NUTS,2010,BE25,2,
2011,NUTS,2010,BE25,2,
2012,NUTS,2010,BE25,2,
2013,NUTS,2010,BE25,2,
2014,NUTS,2010,BE25,2,
2015,NUTS,2010,BE25,2,
2016,NUTS,2010,BE25,2,
2017,NUTS,2010,BE25,2,
2018,NUTS,2010,BE25,2,
2019,NUTS,2010,BE25,2,
1993,NUTS,2010,BE3,1,17.06
1994,NUTS,2010,BE3,1,15.85
1995,NUTS,2010,BE3,1,15.23
1996,NUTS,2010,BE3,1,18.75
1997,NUTS,2010,BE3,1,18.71
1998,NUTS,2010,BE3,1,17.86
1999,NUTS,2010,BE3,1,19.08
2000,NUTS,2010,BE3,1,23.808
2001,NUTS,2010,BE3,1,25.107
2002,NUTS,2010,BE3,1,26.642
2003,NUTS,2010,BE3,1,26.926
2004,NUTS,2010,BE3,1,12.526
2005,NUTS,2010,BE3,1,13.284
2006,NUTS,2010,BE3,1,13.641
2007,NUTS,2010,BE3,1,13.904
2008,NUTS,2010,BE3,1,38.005
2009,NUTS,2010,BE3,1,38.401
2010,NUTS,2010,BE3,1,25.588
2011,NUTS,2010,BE3,1,28.159
2012,NUTS,2010,BE3,1,31.414
2013,NUTS,2010,BE3,1,31.914
2014,NUTS,2010,BE3,1,48.584
2015,NUTS,2010,BE3,1,52.538
2016,NUTS,2010,BE3,1,35.519
2017,NUTS,2010,BE3,1,36.273
2018,NUTS,2010,BE3,1,32.694
2019,NUTS,2010,BE3,1,33.309
2010,NUTS,2010,BE31,2,
2011,NUTS,2010,BE31,2,
2012,NUTS,2010,BE31,2,
2013,NUTS,2010,BE31,2,
2014,NUTS,2010,BE31,2,
2015,NUTS,2010,BE31,2,
2016,NUTS,2010,BE31,2,
2017,NUTS,2010,BE31,2,
2018,NUTS,2010,BE31,2,
2019,NUTS,2010,BE31,2,
2010,NUTS,2010,BE32,2,
2011,NUTS,2010,BE32,2,
2012,NUTS,2010,BE32,2,
2013,NUTS,2010,BE32,2,
2014,NUTS,2010,BE32,2,
2015,NUTS,2010,BE32,2,
2016,NUTS,2010,BE32,2,
2017,NUTS,2010,BE32,2,
2018,NUTS,2010,BE32,2,
2019,NUTS,2010,BE32,2,
2010,NUTS,2010,BE33,2,
2011,NUTS,2010,BE33,2,
2012,NUTS,2010,BE33,2,
2013,NUTS,2010,BE33,2,
2014,NUTS,2010,BE33,2,
2015,NUTS,2010,BE33,2,
2016,NUTS,2010,BE33,2,
2017,NUTS,2010,BE33,2,
2018,NUTS,2010,BE33,2,
2019,NUTS,2010,BE33,2,
2010,NUTS,2010,BE34,2,
2011,NUTS,2010,BE34,2,
2012,NUTS,2010,BE34,2,
2013,NUTS,2010,BE34,2,
2014,NUTS,2010,BE34,2,
2015,NUTS,2010,BE34,2,
2016,NUTS,2010,BE34,2,
2017,NUTS,2010,BE34,2,
2018,NUTS,2010,BE34,2,
2019,NUTS,2010,BE34,2,
2010,NUTS,2010,BE35,2,
2011,NUTS,2010,BE35,2,
2012,NUTS,2010,BE35,2,
2013,NUTS,2010,BE35,2,
2014,NUTS,2010,BE35,2,
2015,NUTS,2010,BE35,2,
2016,NUTS,2010,BE35,2,
2017,NUTS,2010,BE35,2,
2018,NUTS,2010,BE35,2,
2019,NUTS,2010,BE35,2,
1989,NUTS,2010,BEZ,1,153.87
1991,NUTS,2010,BEZ,1,170.19
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
1989,NUTS,2010,BEZZ,2,153.87
1991,NUTS,2010,BEZZ,2,170.19
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1987,NUTS,2010,BG,0,0.447
1988,NUTS,2010,BG,0,0.394
1989,NUTS,2010,BG,0,0.437
1990,NUTS,2010,BG,0,0.363
1991,NUTS,2010,BG,0,0.767
1992,NUTS,2010,BG,0,1.357
1993,NUTS,2010,BG,0,1.479
1994,NUTS,2010,BG,0,1.933
1995,NUTS,2010,BG,0,2.304
1996,NUTS,2010,BG,0,3.004
1997,NUTS,2010,BG,0,61.254
1998,NUTS,2010,BG,0,96.423
1999,NUTS,2010,BG,0,98.46
2000,NUTS,2010,BG,0,95.565
2001,NUTS,2010,BG,0,92.947
2002,NUTS,2010,BG,0,113.063
2003,NUTS,2010,BG,0,121.3
2004,NUTS,2010,BG,0,130.0
2005,NUTS,2010,BG,0,139.041
2006,NUTS,2010,BG,0,151.912
2007,NUTS,2010,BG,0,159.622
2008,NUTS,2010,BG,0,190.029
2009,NUTS,2010,BG,0,199.464
2010,NUTS,2010,BG,0,157.132
2011,NUTS,2010,BG,0,153.942
2012,NUTS,2010,BG,0,148.962
2013,NUTS,2010,BG,0,154.807
2014,NUTS,2010,BG,0,164.301
2015,NUTS,2010,BG,0,176.061
2016,NUTS,2010,BG,0,155.715
2017,NUTS,2010,BG,0,176.262
2018,NUTS,2010,BG,0,182.841
2019,NUTS,2010,BG,0,249.42
2020,NUTS,2010,BG,0,263.625
2002,NUTS,2010,BG3,1,11.292
2003,NUTS,2010,BG3,1,12.225
2004,NUTS,2010,BG3,1,13.473
2005,NUTS,2010,BG3,1,14.406
2006,NUTS,2010,BG3,1,18.111
2007,NUTS,2010,BG3,1,20.039
2008,NUTS,2010,BG3,1,22.499
2009,NUTS,2010,BG3,1,23.964
2010,NUTS,2010,BG3,1,20.241
2011,NUTS,2010,BG3,1,21.52
2012,NUTS,2010,BG3,1,19.875
2013,NUTS,2010,BG3,1,21.385
2014,NUTS,2010,BG3,1,19.683
2015,NUTS,2010,BG3,1,20.892
2016,NUTS,2010,BG3,1,23.45
2017,NUTS,2010,BG3,1,23.449
2018,NUTS,2010,BG3,1,25.133
2019,NUTS,2010,BG3,1,30.854
2002,NUTS,2010,BG31,2,3.298
2003,NUTS,2010,BG31,2,3.205
2004,NUTS,2010,BG31,2,3.391
2005,NUTS,2010,BG31,2,3.767
2006,NUTS,2010,BG31,2,4.43
2007,NUTS,2010,BG31,2,4.856
2008,NUTS,2010,BG31,2,4.104
2009,NUTS,2010,BG31,2,5.997
2010,NUTS,2010,BG31,2,5.008
2011,NUTS,2010,BG31,2,5.064
2012,NUTS,2010,BG31,2,4.813
2013,NUTS,2010,BG31,2,5.248
2014,NUTS,2010,BG31,2,
2015,NUTS,2010,BG31,2,5.593
2016,NUTS,2010,BG31,2,5.381
2017,NUTS,2010,BG31,2,
2018,NUTS,2010,BG31,2,6.892
2019,NUTS,2010,BG31,2,7.958
2002,NUTS,2010,BG32,2,0.469
2003,NUTS,2010,BG32,2,0.852
2004,NUTS,2010,BG32,2,1.121
2005,NUTS,2010,BG32,2,1.128
2006,NUTS,2010,BG32,2,1.105
2007,NUTS,2010,BG32,2,1.386
2008,NUTS,2010,BG32,2,1.586
2009,NUTS,2010,BG32,2,1.329
2010,NUTS,2010,BG32,2,1.593
2011,NUTS,2010,BG32,2,1.916
2012,NUTS,2010,BG32,2,1.187
2013,NUTS,2010,BG32,2,1.013
2014,NUTS,2010,BG32,2,0.922
2015,NUTS,2010,BG32,2,0.382
2016,NUTS,2010,BG32,2,0.242
2017,NUTS,2010,BG32,2,0.32
2018,NUTS,2010,BG32,2,0.365
2019,NUTS,2010,BG32,2,0.556
2002,NUTS,2010,BG33,2,5.428
2003,NUTS,2010,BG33,2,6.288
2004,NUTS,2010,BG33,2,6.545
2005,NUTS,2010,BG33,2,7.124
2006,NUTS,2010,BG33,2,8.622
2007,NUTS,2010,BG33,2,9.463
2008,NUTS,2010,BG33,2,10.929
2009,NUTS,2010,BG33,2,12.161
2010,NUTS,2010,BG33,2,9.58
2011,NUTS,2010,BG33,2,10.331
2012,NUTS,2010,BG33,2,10.111
2013,NUTS,2010,BG33,2,11.233
2014,NUTS,2010,BG33,2,
2015,NUTS,2010,BG33,2,10.748
2016,NUTS,2010,BG33,2,13.581
2017,NUTS,2010,BG33,2,12.697
2018,NUTS,2010,BG33,2,13.697
2019,NUTS,2010,BG33,2,16.096
2002,NUTS,2010,BG34,2,2.097
2003,NUTS,2010,BG34,2,1.88
2004,NUTS,2010,BG34,2,2.416
2005,NUTS,2010,BG34,2,2.387
2006,NUTS,2010,BG34,2,3.954
2007,NUTS,2010,BG34,2,4.334
2008,NUTS,2010,BG34,2,5.88
2009,NUTS,2010,BG34,2,4.477
2010,NUTS,2010,BG34,2,4.06
2011,NUTS,2010,BG34,2,4.209
2012,NUTS,2010,BG34,2,3.764
2013,NUTS,2010,BG34,2,3.891
2014,NUTS,2010,BG34,2,4.259
2015,NUTS,2010,BG34,2,4.169
2016,NUTS,2010,BG34,2,4.246
2017,NUTS,2010,BG34,2,
2018,NUTS,2010,BG34,2,4.179
2019,NUTS,2010,BG34,2,6.244
2002,NUTS,2010,BG4,1,101.771
2003,NUTS,2010,BG4,1,109.073
2004,NUTS,2010,BG4,1,116.421
2005,NUTS,2010,BG4,1,124.635
2006,NUTS,2010,BG4,1,133.801
2007,NUTS,2010,BG4,1,139.583
2008,NUTS,2010,BG4,1,167.53
2009,NUTS,2010,BG4,1,175.5
2010,NUTS,2010,BG4,1,136.891
2011,NUTS,2010,BG4,1,132.422
2012,NUTS,2010,BG4,1,129.087
2013,NUTS,2010,BG4,1,133.422
2014,NUTS,2010,BG4,1,144.618
2015,NUTS,2010,BG4,1,155.169
2016,NUTS,2010,BG4,1,132.265
2017,NUTS,2010,BG4,1,152.813
2018,NUTS,2010,BG4,1,157.708
2019,NUTS,2010,BG4,1,218.566
1999,NUTS,2010,BG41,2,87.179
2000,NUTS,2010,BG41,2,84.168
2002,NUTS,2010,BG41,2,97.706
2003,NUTS,2010,BG41,2,104.331
2004,NUTS,2010,BG41,2,
2005,NUTS,2010,BG41,2,119.689
2006,NUTS,2010,BG41,2,128.835
2007,NUTS,2010,BG41,2,133.038
2008,NUTS,2010,BG41,2,161.229
2009,NUTS,2010,BG41,2,168.953
2010,NUTS,2010,BG41,2,129.967
2011,NUTS,2010,BG41,2,125.489
2012,NUTS,2010,BG41,2,122.558
2013,NUTS,2010,BG41,2,126.556
2014,NUTS,2010,BG41,2,138.768
2015,NUTS,2010,BG41,2,147.712
2016,NUTS,2010,BG41,2,125.754
2017,NUTS,2010,BG41,2,144.893
2018,NUTS,2010,BG41,2,148.32
2019,NUTS,2010,BG41,2,207.407
2002,NUTS,2010,BG42,2,4.065
2003,NUTS,2010,BG42,2,4.742
2004,NUTS,2010,BG42,2,
2005,NUTS,2010,BG42,2,4.946
2006,NUTS,2010,BG42,2,4.966
2007,NUTS,2010,BG42,2,6.545
2008,NUTS,2010,BG42,2,6.301
2009,NUTS,2010,BG42,2,6.547
2010,NUTS,2010,BG42,2,6.924
2011,NUTS,2010,BG42,2,6.933
2012,NUTS,2010,BG42,2,6.529
2013,NUTS,2010,BG42,2,6.866
2014,NUTS,2010,BG42,2,5.85
2015,NUTS,2010,BG42,2,7.457
2016,NUTS,2010,BG42,2,6.511
2017,NUTS,2010,BG42,2,7.92
2018,NUTS,2010,BG42,2,9.388
2019,NUTS,2010,BG42,2,11.159
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
