year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hc_rse_total_t
2004,NUTS,2010,BE10,2,9206.0
2005,NUTS,2010,BE10,2,9353.0
2006,NUTS,2010,BE10,2,9881.0
2007,NUTS,2010,BE10,2,10377.0
2008,NUTS,2010,BE10,2,10995.0
2009,NUTS,2010,BE10,2,11111.0
2010,NUTS,2010,BE10,2,10616.0
2011,NUTS,2010,BE10,2,11036.0
2013,NUTS,2010,BE10,2,12954.0
2015,NUTS,2010,BE10,2,13792.0
2017,NUTS,2010,BE10,2,14938.0
2019,NUTS,2010,BE10,2,17969.0
2002,NUTS,2010,BE2,1,24048.0
2003,NUTS,2010,BE2,1,24543.0
2004,NUTS,2010,BE2,1,26982.0
2005,NUTS,2010,BE2,1,27732.0
2006,NUTS,2010,BE2,1,28030.0
2007,NUTS,2010,BE2,1,29130.0
2008,NUTS,2010,BE2,1,30899.0
2009,NUTS,2010,BE2,1,31540.0
2010,NUTS,2010,BE2,1,35106.0
2011,NUTS,2010,BE2,1,36707.0
2013,NUTS,2010,BE2,1,39422.0
2015,NUTS,2010,BE2,1,44453.0
2017,NUTS,2010,BE2,1,46744.0
2019,NUTS,2010,BE2,1,56412.0
2006,NUTS,2010,BE21,2,8483.0
2007,NUTS,2010,BE21,2,8653.0
2008,NUTS,2010,BE21,2,7858.0
2009,NUTS,2010,BE21,2,8125.0
2010,NUTS,2010,BE21,2,9940.0
2011,NUTS,2010,BE21,2,10690.0
2013,NUTS,2010,BE21,2,10140.0
2015,NUTS,2010,BE21,2,11432.0
2006,NUTS,2010,BE22,2,1527.0
2007,NUTS,2010,BE22,2,1659.0
2008,NUTS,2010,BE22,2,1869.0
2009,NUTS,2010,BE22,2,2020.0
2010,NUTS,2010,BE22,2,2074.0
2011,NUTS,2010,BE22,2,2153.0
2013,NUTS,2010,BE22,2,2594.0
2015,NUTS,2010,BE22,2,3306.0
2006,NUTS,2010,BE23,2,6745.0
2007,NUTS,2010,BE23,2,7263.0
2008,NUTS,2010,BE23,2,8091.0
2009,NUTS,2010,BE23,2,8420.0
2010,NUTS,2010,BE23,2,9247.0
2011,NUTS,2010,BE23,2,9543.0
2013,NUTS,2010,BE23,2,10775.0
2015,NUTS,2010,BE23,2,12133.0
2006,NUTS,2010,BE24,2,9218.0
2007,NUTS,2010,BE24,2,9449.0
2008,NUTS,2010,BE24,2,10810.0
2009,NUTS,2010,BE24,2,10677.0
2010,NUTS,2010,BE24,2,11651.0
2011,NUTS,2010,BE24,2,11842.0
2013,NUTS,2010,BE24,2,12512.0
2015,NUTS,2010,BE24,2,14003.0
2006,NUTS,2010,BE25,2,2057.0
2007,NUTS,2010,BE25,2,2106.0
2008,NUTS,2010,BE25,2,2271.0
2009,NUTS,2010,BE25,2,2298.0
2010,NUTS,2010,BE25,2,2194.0
2011,NUTS,2010,BE25,2,2479.0
2013,NUTS,2010,BE25,2,3400.0
2015,NUTS,2010,BE25,2,3579.0
2002,NUTS,2010,BE3,1,11130.0
2003,NUTS,2010,BE3,1,11133.0
2004,NUTS,2010,BE3,1,11175.0
2005,NUTS,2010,BE3,1,11672.0
2006,NUTS,2010,BE3,1,11341.0
2007,NUTS,2010,BE3,1,11771.0
2008,NUTS,2010,BE3,1,12730.0
2009,NUTS,2010,BE3,1,13207.0
2010,NUTS,2010,BE3,1,13681.0
2011,NUTS,2010,BE3,1,15464.0
2013,NUTS,2010,BE3,1,14348.0
2015,NUTS,2010,BE3,1,15464.0
2017,NUTS,2010,BE3,1,17185.0
2019,NUTS,2010,BE3,1,17376.0
2006,NUTS,2010,BE31,2,4203.0
2007,NUTS,2010,BE31,2,4226.0
2008,NUTS,2010,BE31,2,3965.0
2009,NUTS,2010,BE31,2,4081.0
2010,NUTS,2010,BE31,2,4076.0
2011,NUTS,2010,BE31,2,5569.0
2013,NUTS,2010,BE31,2,5802.0
2015,NUTS,2010,BE31,2,5507.0
2006,NUTS,2010,BE32,2,1942.0
2007,NUTS,2010,BE32,2,2062.0
2008,NUTS,2010,BE32,2,2644.0
2009,NUTS,2010,BE32,2,2860.0
2010,NUTS,2010,BE32,2,3309.0
2011,NUTS,2010,BE32,2,3567.0
2013,NUTS,2010,BE32,2,2763.0
2015,NUTS,2010,BE32,2,3601.0
2006,NUTS,2010,BE33,2,3458.0
2007,NUTS,2010,BE33,2,3675.0
2008,NUTS,2010,BE33,2,4079.0
2009,NUTS,2010,BE33,2,4138.0
2010,NUTS,2010,BE33,2,4620.0
2011,NUTS,2010,BE33,2,4681.0
2013,NUTS,2010,BE33,2,4508.0
2015,NUTS,2010,BE33,2,4726.0
2006,NUTS,2010,BE34,2,175.0
2007,NUTS,2010,BE34,2,165.0
2008,NUTS,2010,BE34,2,197.0
2009,NUTS,2010,BE34,2,180.0
2010,NUTS,2010,BE34,2,276.0
2011,NUTS,2010,BE34,2,233.0
2013,NUTS,2010,BE34,2,105.0
2015,NUTS,2010,BE34,2,169.0
2006,NUTS,2010,BE35,2,1563.0
2007,NUTS,2010,BE35,2,1643.0
2008,NUTS,2010,BE35,2,1845.0
2009,NUTS,2010,BE35,2,1948.0
2010,NUTS,2010,BE35,2,1400.0
2011,NUTS,2010,BE35,2,1414.0
2013,NUTS,2010,BE35,2,1170.0
2015,NUTS,2010,BE35,2,1461.0
2013,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1980,NUTS,2010,BG,0,38706.0
1981,NUTS,2010,BG,0,41378.0
1982,NUTS,2010,BG,0,42756.0
1983,NUTS,2010,BG,0,43462.0
1984,NUTS,2010,BG,0,45125.0
1985,NUTS,2010,BG,0,48008.0
1986,NUTS,2010,BG,0,46329.0
1987,NUTS,2010,BG,0,50585.0
1988,NUTS,2010,BG,0,49703.0
1989,NUTS,2010,BG,0,50932.0
1990,NUTS,2010,BG,0,52597.0
1991,NUTS,2010,BG,0,49705.0
1992,NUTS,2010,BG,0,37825.0
1993,NUTS,2010,BG,0,37179.0
1994,NUTS,2010,BG,0,18497.0
1995,NUTS,2010,BG,0,17523.0
1996,NUTS,2010,BG,0,18579.0
1997,NUTS,2010,BG,0,14573.0
1998,NUTS,2010,BG,0,14045.0
1999,NUTS,2010,BG,0,12335.0
2000,NUTS,2010,BG,0,10527.0
2001,NUTS,2010,BG,0,10446.0
2002,NUTS,2010,BG,0,10445.0
2003,NUTS,2010,BG,0,10876.0
2004,NUTS,2010,BG,0,11377.0
2005,NUTS,2010,BG,0,11920.0
2006,NUTS,2010,BG,0,12033.0
2007,NUTS,2010,BG,0,13090.0
2008,NUTS,2010,BG,0,13416.0
2009,NUTS,2010,BG,0,14699.0
2010,NUTS,2010,BG,0,14138.0
2011,NUTS,2010,BG,0,14794.0
2012,NUTS,2010,BG,0,15219.0
2013,NUTS,2010,BG,0,16095.0
2014,NUTS,2010,BG,0,17795.0
2015,NUTS,2010,BG,0,19338.0
2016,NUTS,2010,BG,0,21081.0
2017,NUTS,2010,BG,0,20971.0
2018,NUTS,2010,BG,0,22792.0
2019,NUTS,2010,BG,0,23171.0
2002,NUTS,2010,BG3,1,1956.0
2003,NUTS,2010,BG3,1,2314.0
2004,NUTS,2010,BG3,1,2497.0
2005,NUTS,2010,BG3,1,2814.0
2006,NUTS,2010,BG3,1,2974.0
2007,NUTS,2010,BG3,1,3201.0
2008,NUTS,2010,BG3,1,3448.0
2009,NUTS,2010,BG3,1,3872.0
2010,NUTS,2010,BG3,1,3756.0
2011,NUTS,2010,BG3,1,3587.0
2012,NUTS,2010,BG3,1,4192.0
2013,NUTS,2010,BG3,1,4299.0
2014,NUTS,2010,BG3,1,5131.0
2015,NUTS,2010,BG3,1,5932.0
2016,NUTS,2010,BG3,1,5330.0
2017,NUTS,2010,BG3,1,5840.0
2018,NUTS,2010,BG3,1,6303.0
2019,NUTS,2010,BG3,1,6475.0
2002,NUTS,2010,BG31,2,180.0
2003,NUTS,2010,BG31,2,228.0
2004,NUTS,2010,BG31,2,246.0
2005,NUTS,2010,BG31,2,253.0
2006,NUTS,2010,BG31,2,278.0
2007,NUTS,2010,BG31,2,342.0
2008,NUTS,2010,BG31,2,331.0
2009,NUTS,2010,BG31,2,278.0
2010,NUTS,2010,BG31,2,296.0
2011,NUTS,2010,BG31,2,209.0
2012,NUTS,2010,BG31,2,452.0
2013,NUTS,2010,BG31,2,438.0
2014,NUTS,2010,BG31,2,401.0
2015,NUTS,2010,BG31,2,629.0
2016,NUTS,2010,BG31,2,647.0
2017,NUTS,2010,BG31,2,806.0
2018,NUTS,2010,BG31,2,923.0
2019,NUTS,2010,BG31,2,903.0
2002,NUTS,2010,BG32,2,468.0
2003,NUTS,2010,BG32,2,436.0
2004,NUTS,2010,BG32,2,561.0
2005,NUTS,2010,BG32,2,928.0
2006,NUTS,2010,BG32,2,829.0
2007,NUTS,2010,BG32,2,869.0
2008,NUTS,2010,BG32,2,940.0
2009,NUTS,2010,BG32,2,1070.0
2010,NUTS,2010,BG32,2,1074.0
2011,NUTS,2010,BG32,2,1215.0
2012,NUTS,2010,BG32,2,1224.0
2013,NUTS,2010,BG32,2,1227.0
2014,NUTS,2010,BG32,2,1551.0
2015,NUTS,2010,BG32,2,1810.0
2016,NUTS,2010,BG32,2,1323.0
2017,NUTS,2010,BG32,2,1519.0
2018,NUTS,2010,BG32,2,1678.0
2019,NUTS,2010,BG32,2,1568.0
2002,NUTS,2010,BG33,2,746.0
2003,NUTS,2010,BG33,2,965.0
2004,NUTS,2010,BG33,2,1022.0
2005,NUTS,2010,BG33,2,940.0
2006,NUTS,2010,BG33,2,1054.0
2007,NUTS,2010,BG33,2,1067.0
2008,NUTS,2010,BG33,2,1201.0
2009,NUTS,2010,BG33,2,1393.0
2010,NUTS,2010,BG33,2,1540.0
2011,NUTS,2010,BG33,2,1383.0
2012,NUTS,2010,BG33,2,1591.0
2013,NUTS,2010,BG33,2,1711.0
2014,NUTS,2010,BG33,2,2182.0
2015,NUTS,2010,BG33,2,2273.0
2016,NUTS,2010,BG33,2,2180.0
2017,NUTS,2010,BG33,2,2316.0
2018,NUTS,2010,BG33,2,2410.0
2019,NUTS,2010,BG33,2,2553.0
2002,NUTS,2010,BG34,2,562.0
2003,NUTS,2010,BG34,2,685.0
2004,NUTS,2010,BG34,2,668.0
2005,NUTS,2010,BG34,2,693.0
2006,NUTS,2010,BG34,2,813.0
2007,NUTS,2010,BG34,2,923.0
2008,NUTS,2010,BG34,2,976.0
2009,NUTS,2010,BG34,2,1131.0
2010,NUTS,2010,BG34,2,846.0
2011,NUTS,2010,BG34,2,780.0
2012,NUTS,2010,BG34,2,925.0
2013,NUTS,2010,BG34,2,923.0
2014,NUTS,2010,BG34,2,997.0
2015,NUTS,2010,BG34,2,1220.0
2016,NUTS,2010,BG34,2,1180.0
2017,NUTS,2010,BG34,2,1199.0
2018,NUTS,2010,BG34,2,1292.0
2019,NUTS,2010,BG34,2,1451.0
2002,NUTS,2010,BG4,1,8489.0
2003,NUTS,2010,BG4,1,8562.0
2004,NUTS,2010,BG4,1,8880.0
2005,NUTS,2010,BG4,1,9106.0
2006,NUTS,2010,BG4,1,9059.0
2007,NUTS,2010,BG4,1,9889.0
2008,NUTS,2010,BG4,1,9968.0
2009,NUTS,2010,BG4,1,10827.0
2010,NUTS,2010,BG4,1,10382.0
2011,NUTS,2010,BG4,1,11207.0
2012,NUTS,2010,BG4,1,11027.0
2013,NUTS,2010,BG4,1,11796.0
2014,NUTS,2010,BG4,1,12664.0
2015,NUTS,2010,BG4,1,13406.0
2016,NUTS,2010,BG4,1,15751.0
2017,NUTS,2010,BG4,1,15131.0
2018,NUTS,2010,BG4,1,16489.0
2019,NUTS,2010,BG4,1,16696.0
1999,NUTS,2010,BG41,2,9241.0
2000,NUTS,2010,BG41,2,8442.0
2002,NUTS,2010,BG41,2,8004.0
2003,NUTS,2010,BG41,2,7985.0
2004,NUTS,2010,BG41,2,8216.0
2005,NUTS,2010,BG41,2,8426.0
2006,NUTS,2010,BG41,2,8316.0
2007,NUTS,2010,BG41,2,8832.0
2008,NUTS,2010,BG41,2,8804.0
2009,NUTS,2010,BG41,2,9700.0
2010,NUTS,2010,BG41,2,9073.0
2011,NUTS,2010,BG41,2,9911.0
2012,NUTS,2010,BG41,2,9803.0
2013,NUTS,2010,BG41,2,10373.0
2014,NUTS,2010,BG41,2,11157.0
2015,NUTS,2010,BG41,2,11770.0
2016,NUTS,2010,BG41,2,13986.0
2017,NUTS,2010,BG41,2,13024.0
2018,NUTS,2010,BG41,2,13974.0
2019,NUTS,2010,BG41,2,13719.0
2002,NUTS,2010,BG42,2,485.0
2003,NUTS,2010,BG42,2,577.0
2004,NUTS,2010,BG42,2,664.0
2005,NUTS,2010,BG42,2,680.0
2006,NUTS,2010,BG42,2,743.0
2007,NUTS,2010,BG42,2,1057.0
2008,NUTS,2010,BG42,2,1164.0
2009,NUTS,2010,BG42,2,1127.0
2010,NUTS,2010,BG42,2,1309.0
2011,NUTS,2010,BG42,2,1296.0
2012,NUTS,2010,BG42,2,1224.0
2013,NUTS,2010,BG42,2,1423.0
2014,NUTS,2010,BG42,2,1507.0
2015,NUTS,2010,BG42,2,1636.0
2016,NUTS,2010,BG42,2,1765.0
2017,NUTS,2010,BG42,2,2107.0
2018,NUTS,2010,BG42,2,2515.0
2019,NUTS,2010,BG42,2,2977.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1996,NUTS,2010,CH,0,37600.0
2000,NUTS,2010,CH,0,44230.0
2004,NUTS,2010,CH,0,43220.0
2008,NUTS,2010,CH,0,45874.0
2012,NUTS,2010,CH,0,60279.0
2015,NUTS,2010,CH,0,70834.0
2017,NUTS,2010,CH,0,71657.0
2019,NUTS,2010,CH,0,77492.0
2010,NUTS,2010,CN_X_HK,5,1747589.0
2011,NUTS,2010,CN_X_HK,5,1905899.0
2012,NUTS,2010,CN_X_HK,5,2069650.0
1998,NUTS,2010,CY,0,568.0
1999,NUTS,2010,CY,0,665.0
2000,NUTS,2010,CY,0,792.0
2001,NUTS,2010,CY,0,880.0
2002,NUTS,2010,CY,0,1014.0
2003,NUTS,2010,CY,0,1089.0
2004,NUTS,2010,CY,0,1226.0
2005,NUTS,2010,CY,0,1424.0
2006,NUTS,2010,CY,0,1497.0
2007,NUTS,2010,CY,0,1532.0
2008,NUTS,2010,CY,0,1565.0
2009,NUTS,2010,CY,0,1696.0
2010,NUTS,2010,CY,0,1776.0
2011,NUTS,2010,CY,0,1942.0
2012,NUTS,2010,CY,0,1924.0
2013,NUTS,2010,CY,0,2228.0
2014,NUTS,2010,CY,0,2164.0
2015,NUTS,2010,CY,0,2119.0
2016,NUTS,2010,CY,0,2178.0
2017,NUTS,2010,CY,0,2357.0
2018,NUTS,2010,CY,0,2652.0
2019,NUTS,2010,CY,0,2890.0
1995,NUTS,2010,CZ,0,22967.0
1996,NUTS,2010,CZ,0,24828.0
1997,NUTS,2010,CZ,0,27444.0
1998,NUTS,2010,CZ,0,26876.0
1999,NUTS,2010,CZ,0,28850.0
2000,NUTS,2010,CZ,0,30165.0
2001,NUTS,2010,CZ,0,29216.0
2002,NUTS,2010,CZ,0,30635.0
2003,NUTS,2010,CZ,0,31421.0
2004,NUTS,2010,CZ,0,34152.0
2005,NUTS,2010,CZ,0,37542.0
2006,NUTS,2010,CZ,0,39676.0
2007,NUTS,2010,CZ,0,42538.0
2008,NUTS,2010,CZ,0,44240.0
2009,NUTS,2010,CZ,0,43092.0
2010,NUTS,2010,CZ,0,43418.0
2011,NUTS,2010,CZ,0,45902.0
2012,NUTS,2010,CZ,0,47651.0
2013,NUTS,2010,CZ,0,51455.0
2014,NUTS,2010,CZ,0,54493.0
2015,NUTS,2010,CZ,0,56605.0
2016,NUTS,2010,CZ,0,56178.0
2017,NUTS,2010,CZ,0,59789.0
2018,NUTS,2010,CZ,0,61966.0
2019,NUTS,2010,CZ,0,63690.0
2020,NUTS,2010,CZ,0,65193.0
1995,NUTS,2010,CZ0,1,22967.0
1996,NUTS,2010,CZ0,1,24828.0
1997,NUTS,2010,CZ0,1,27444.0
1998,NUTS,2010,CZ0,1,26876.0
1999,NUTS,2010,CZ0,1,28850.0
2000,NUTS,2010,CZ0,1,30165.0
2001,NUTS,2010,CZ0,1,29216.0
2002,NUTS,2010,CZ0,1,30635.0
2003,NUTS,2010,CZ0,1,31421.0
2004,NUTS,2010,CZ0,1,34152.0
2005,NUTS,2010,CZ0,1,37542.0
2006,NUTS,2010,CZ0,1,39676.0
2007,NUTS,2010,CZ0,1,42538.0
2008,NUTS,2010,CZ0,1,44240.0
2009,NUTS,2010,CZ0,1,43092.0
2010,NUTS,2010,CZ0,1,43418.0
2011,NUTS,2010,CZ0,1,45902.0
2012,NUTS,2010,CZ0,1,47651.0
2013,NUTS,2010,CZ0,1,51455.0
2014,NUTS,2010,CZ0,1,54493.0
2015,NUTS,2010,CZ0,1,56605.0
2016,NUTS,2010,CZ0,1,56178.0
2017,NUTS,2010,CZ0,1,59789.0
2018,NUTS,2010,CZ0,1,61966.0
2019,NUTS,2010,CZ0,1,63690.0
2020,NUTS,2010,CZ0,1,65193.0
2001,NUTS,2010,CZ01,2,12613.0
2002,NUTS,2010,CZ01,2,13126.0
2003,NUTS,2010,CZ01,2,13570.0
2004,NUTS,2010,CZ01,2,15027.0
2005,NUTS,2010,CZ01,2,16470.0
2006,NUTS,2010,CZ01,2,17162.0
2007,NUTS,2010,CZ01,2,18634.0
2008,NUTS,2010,CZ01,2,19162.0
2009,NUTS,2010,CZ01,2,18089.0
2010,NUTS,2010,CZ01,2,17794.0
2011,NUTS,2010,CZ01,2,18593.0
2012,NUTS,2010,CZ01,2,18789.0
2013,NUTS,2010,CZ01,2,20120.0
2014,NUTS,2010,CZ01,2,20688.0
2015,NUTS,2010,CZ01,2,20407.0
2016,NUTS,2010,CZ01,2,20611.0
2017,NUTS,2010,CZ01,2,23042.0
2018,NUTS,2010,CZ01,2,24599.0
2019,NUTS,2010,CZ01,2,24069.0
2020,NUTS,2010,CZ01,2,24685.0
2001,NUTS,2010,CZ02,2,2119.0
2002,NUTS,2010,CZ02,2,2426.0
2003,NUTS,2010,CZ02,2,2756.0
2004,NUTS,2010,CZ02,2,2688.0
2005,NUTS,2010,CZ02,2,2820.0
2006,NUTS,2010,CZ02,2,3064.0
2007,NUTS,2010,CZ02,2,3072.0
2008,NUTS,2010,CZ02,2,3415.0
2009,NUTS,2010,CZ02,2,3283.0
2010,NUTS,2010,CZ02,2,3368.0
2011,NUTS,2010,CZ02,2,3506.0
2012,NUTS,2010,CZ02,2,3424.0
