year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_hc_bes_rse
2011,NUTS,2010,AT31,2,486.0
2013,NUTS,2010,AT31,2,772.0
2015,NUTS,2010,AT31,2,826.0
2017,NUTS,2010,AT31,2,954.0
2019,NUTS,2010,AT31,2,1216.0
2002,NUTS,2010,AT32,2,53.0
2004,NUTS,2010,AT32,2,52.0
2006,NUTS,2010,AT32,2,73.0
2007,NUTS,2010,AT32,2,72.0
2009,NUTS,2010,AT32,2,107.0
2011,NUTS,2010,AT32,2,128.0
2013,NUTS,2010,AT32,2,160.0
2015,NUTS,2010,AT32,2,177.0
2017,NUTS,2010,AT32,2,255.0
2019,NUTS,2010,AT32,2,291.0
2002,NUTS,2010,AT33,2,173.0
2004,NUTS,2010,AT33,2,243.0
2006,NUTS,2010,AT33,2,250.0
2007,NUTS,2010,AT33,2,301.0
2009,NUTS,2010,AT33,2,339.0
2011,NUTS,2010,AT33,2,383.0
2013,NUTS,2010,AT33,2,524.0
2015,NUTS,2010,AT33,2,554.0
2017,NUTS,2010,AT33,2,815.0
2019,NUTS,2010,AT33,2,668.0
2002,NUTS,2010,AT34,2,47.0
2004,NUTS,2010,AT34,2,70.0
2006,NUTS,2010,AT34,2,44.0
2007,NUTS,2010,AT34,2,52.0
2009,NUTS,2010,AT34,2,76.0
2011,NUTS,2010,AT34,2,83.0
2013,NUTS,2010,AT34,2,123.0
2015,NUTS,2010,AT34,2,129.0
2017,NUTS,2010,AT34,2,161.0
2019,NUTS,2010,AT34,2,171.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,40.0
2013,NUTS,2010,BA,0,95.0
2014,NUTS,2010,BA,0,40.0
2019,NUTS,2010,BA,0,107.0
1998,NUTS,2010,BE,0,3249.0
1999,NUTS,2010,BE,0,3429.0
2000,NUTS,2010,BE,0,3450.0
2001,NUTS,2010,BE,0,3784.0
2002,NUTS,2010,BE,0,3862.0
2003,NUTS,2010,BE,0,3873.0
2004,NUTS,2010,BE,0,3844.0
2005,NUTS,2010,BE,0,4080.0
2006,NUTS,2010,BE,0,4204.0
2007,NUTS,2010,BE,0,4408.0
2008,NUTS,2010,BE,0,5215.0
2009,NUTS,2010,BE,0,5260.0
2010,NUTS,2010,BE,0,6501.0
2011,NUTS,2010,BE,0,7390.0
2013,NUTS,2010,BE,0,7572.0
2015,NUTS,2010,BE,0,10030.0
2017,NUTS,2010,BE,0,11706.0
2019,NUTS,2010,BE,0,12460.0
1999,NUTS,2010,BE1,1,363.0
2000,NUTS,2010,BE1,1,371.0
2001,NUTS,2010,BE1,1,387.0
2002,NUTS,2010,BE1,1,415.0
2003,NUTS,2010,BE1,1,412.0
2004,NUTS,2010,BE1,1,447.0
2005,NUTS,2010,BE1,1,463.0
2006,NUTS,2010,BE1,1,560.0
2007,NUTS,2010,BE1,1,588.0
2008,NUTS,2010,BE1,1,895.0
2009,NUTS,2010,BE1,1,906.0
2010,NUTS,2010,BE1,1,878.0
2011,NUTS,2010,BE1,1,937.0
2013,NUTS,2010,BE1,1,1065.0
2015,NUTS,2010,BE1,1,1571.0
2017,NUTS,2010,BE1,1,1950.0
2019,NUTS,2010,BE1,1,2392.0
1999,NUTS,2010,BE10,2,363.0
2000,NUTS,2010,BE10,2,371.0
2001,NUTS,2010,BE10,2,387.0
2002,NUTS,2010,BE10,2,415.0
2003,NUTS,2010,BE10,2,412.0
2004,NUTS,2010,BE10,2,447.0
2005,NUTS,2010,BE10,2,463.0
2006,NUTS,2010,BE10,2,560.0
2007,NUTS,2010,BE10,2,588.0
2008,NUTS,2010,BE10,2,895.0
2009,NUTS,2010,BE10,2,906.0
2010,NUTS,2010,BE10,2,878.0
2011,NUTS,2010,BE10,2,937.0
2013,NUTS,2010,BE10,2,1065.0
2015,NUTS,2010,BE10,2,1571.0
2017,NUTS,2010,BE10,2,1950.0
2019,NUTS,2010,BE10,2,2392.0
1999,NUTS,2010,BE2,1,2057.0
2000,NUTS,2010,BE2,1,2155.0
2001,NUTS,2010,BE2,1,2381.0
2002,NUTS,2010,BE2,1,2236.0
2003,NUTS,2010,BE2,1,2224.0
2004,NUTS,2010,BE2,1,2162.0
2005,NUTS,2010,BE2,1,2321.0
2006,NUTS,2010,BE2,1,2576.0
2007,NUTS,2010,BE2,1,2703.0
2008,NUTS,2010,BE2,1,3074.0
2009,NUTS,2010,BE2,1,3091.0
2010,NUTS,2010,BE2,1,3962.0
2011,NUTS,2010,BE2,1,4059.0
2013,NUTS,2010,BE2,1,4561.0
2015,NUTS,2010,BE2,1,5141.0
2017,NUTS,2010,BE2,1,5619.0
2019,NUTS,2010,BE2,1,7294.0
1999,NUTS,2010,BE3,1,1009.0
2000,NUTS,2010,BE3,1,924.0
2001,NUTS,2010,BE3,1,1016.0
2002,NUTS,2010,BE3,1,1211.0
2003,NUTS,2010,BE3,1,1237.0
2004,NUTS,2010,BE3,1,1235.0
2005,NUTS,2010,BE3,1,1296.0
2006,NUTS,2010,BE3,1,1068.0
2007,NUTS,2010,BE3,1,1117.0
2008,NUTS,2010,BE3,1,1246.0
2009,NUTS,2010,BE3,1,1263.0
2010,NUTS,2010,BE3,1,1661.0
2011,NUTS,2010,BE3,1,2394.0
2013,NUTS,2010,BE3,1,1946.0
2015,NUTS,2010,BE3,1,3318.0
2017,NUTS,2010,BE3,1,4137.0
2019,NUTS,2010,BE3,1,2774.0
2013,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1993,NUTS,2010,BG,0,3131.0
1994,NUTS,2010,BG,0,1012.0
1995,NUTS,2010,BG,0,974.0
1996,NUTS,2010,BG,0,883.0
1997,NUTS,2010,BG,0,994.0
1998,NUTS,2010,BG,0,930.0
1999,NUTS,2010,BG,0,637.0
2000,NUTS,2010,BG,0,605.0
2001,NUTS,2010,BG,0,572.0
2002,NUTS,2010,BG,0,548.0
2003,NUTS,2010,BG,0,658.0
2004,NUTS,2010,BG,0,652.0
2005,NUTS,2010,BG,0,611.0
2006,NUTS,2010,BG,0,551.0
2007,NUTS,2010,BG,0,612.0
2008,NUTS,2010,BG,0,723.0
2009,NUTS,2010,BG,0,878.0
2010,NUTS,2010,BG,0,731.0
2011,NUTS,2010,BG,0,786.0
2012,NUTS,2010,BG,0,1022.0
2013,NUTS,2010,BG,0,1365.0
2014,NUTS,2010,BG,0,1571.0
2015,NUTS,2010,BG,0,2425.0
2016,NUTS,2010,BG,0,2843.0
2017,NUTS,2010,BG,0,2859.0
2018,NUTS,2010,BG,0,3223.0
2019,NUTS,2010,BG,0,3515.0
2003,NUTS,2010,BG3,1,160.0
2004,NUTS,2010,BG3,1,141.0
2005,NUTS,2010,BG3,1,56.0
2006,NUTS,2010,BG3,1,98.0
2007,NUTS,2010,BG3,1,138.0
2008,NUTS,2010,BG3,1,208.0
2010,NUTS,2010,BG3,1,139.0
2011,NUTS,2010,BG3,1,143.0
2012,NUTS,2010,BG3,1,193.0
2015,NUTS,2010,BG3,1,629.0
2016,NUTS,2010,BG3,1,526.0
2017,NUTS,2010,BG3,1,648.0
2018,NUTS,2010,BG3,1,817.0
2019,NUTS,2010,BG3,1,899.0
2008,NUTS,2010,BG31,2,13.0
2016,NUTS,2010,BG31,2,154.0
2017,NUTS,2010,BG31,2,183.0
2018,NUTS,2010,BG31,2,203.0
2019,NUTS,2010,BG31,2,202.0
2003,NUTS,2010,BG32,2,42.0
2004,NUTS,2010,BG32,2,48.0
2005,NUTS,2010,BG32,2,4.0
2008,NUTS,2010,BG32,2,35.0
2009,NUTS,2010,BG32,2,30.0
2010,NUTS,2010,BG32,2,15.0
2011,NUTS,2010,BG32,2,27.0
2012,NUTS,2010,BG32,2,40.0
2013,NUTS,2010,BG32,2,57.0
2014,NUTS,2010,BG32,2,73.0
2016,NUTS,2010,BG32,2,114.0
2017,NUTS,2010,BG32,2,166.0
2018,NUTS,2010,BG32,2,221.0
2019,NUTS,2010,BG32,2,248.0
2006,NUTS,2010,BG33,2,28.0
2007,NUTS,2010,BG33,2,22.0
2008,NUTS,2010,BG33,2,43.0
2009,NUTS,2010,BG33,2,38.0
2011,NUTS,2010,BG33,2,34.0
2012,NUTS,2010,BG33,2,41.0
2015,NUTS,2010,BG33,2,153.0
2016,NUTS,2010,BG33,2,147.0
2017,NUTS,2010,BG33,2,158.0
2018,NUTS,2010,BG33,2,213.0
2019,NUTS,2010,BG33,2,243.0
2003,NUTS,2010,BG34,2,74.0
2004,NUTS,2010,BG34,2,71.0
2005,NUTS,2010,BG34,2,34.0
2006,NUTS,2010,BG34,2,57.0
2007,NUTS,2010,BG34,2,73.0
2008,NUTS,2010,BG34,2,117.0
2009,NUTS,2010,BG34,2,158.0
2010,NUTS,2010,BG34,2,58.0
2015,NUTS,2010,BG34,2,164.0
2016,NUTS,2010,BG34,2,111.0
2017,NUTS,2010,BG34,2,141.0
2018,NUTS,2010,BG34,2,180.0
2019,NUTS,2010,BG34,2,206.0
2003,NUTS,2010,BG4,1,498.0
2004,NUTS,2010,BG4,1,511.0
2005,NUTS,2010,BG4,1,555.0
2006,NUTS,2010,BG4,1,453.0
2007,NUTS,2010,BG4,1,474.0
2008,NUTS,2010,BG4,1,515.0
2010,NUTS,2010,BG4,1,592.0
2011,NUTS,2010,BG4,1,643.0
2012,NUTS,2010,BG4,1,829.0
2015,NUTS,2010,BG4,1,1796.0
2016,NUTS,2010,BG4,1,2317.0
2017,NUTS,2010,BG4,1,2211.0
2018,NUTS,2010,BG4,1,2406.0
2019,NUTS,2010,BG4,1,2616.0
1999,NUTS,2010,BG41,2,423.0
2000,NUTS,2010,BG41,2,428.0
2003,NUTS,2010,BG41,2,458.0
2004,NUTS,2010,BG41,2,483.0
2005,NUTS,2010,BG41,2,496.0
2006,NUTS,2010,BG41,2,393.0
2007,NUTS,2010,BG41,2,384.0
2008,NUTS,2010,BG41,2,373.0
2009,NUTS,2010,BG41,2,487.0
2010,NUTS,2010,BG41,2,444.0
2011,NUTS,2010,BG41,2,503.0
2012,NUTS,2010,BG41,2,694.0
2013,NUTS,2010,BG41,2,999.0
2015,NUTS,2010,BG41,2,1587.0
2016,NUTS,2010,BG41,2,2132.0
2017,NUTS,2010,BG41,2,1958.0
2018,NUTS,2010,BG41,2,2135.0
2019,NUTS,2010,BG41,2,2316.0
2003,NUTS,2010,BG42,2,40.0
2004,NUTS,2010,BG42,2,28.0
2005,NUTS,2010,BG42,2,59.0
2006,NUTS,2010,BG42,2,60.0
2007,NUTS,2010,BG42,2,90.0
2008,NUTS,2010,BG42,2,142.0
2010,NUTS,2010,BG42,2,148.0
2011,NUTS,2010,BG42,2,140.0
2012,NUTS,2010,BG42,2,135.0
2014,NUTS,2010,BG42,2,85.0
2015,NUTS,2010,BG42,2,209.0
2016,NUTS,2010,BG42,2,185.0
2017,NUTS,2010,BG42,2,253.0
2018,NUTS,2010,BG42,2,271.0
2019,NUTS,2010,BG42,2,300.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1996,NUTS,2010,CH,0,2090.0
2000,NUTS,2010,CH,0,2260.0
2004,NUTS,2010,CH,0,2940.0
2008,NUTS,2010,CH,0,2101.0
2012,NUTS,2010,CH,0,4177.0
2015,NUTS,2010,CH,0,5554.0
2017,NUTS,2010,CH,0,6250.0
2019,NUTS,2010,CH,0,6690.0
2008,NUTS,2010,CH01,2,680.0
2012,NUTS,2010,CH01,2,797.0
2015,NUTS,2010,CH01,2,1227.0
2017,NUTS,2010,CH01,2,1005.0
2019,NUTS,2010,CH01,2,1211.0
2008,NUTS,2010,CH02,2,333.0
2012,NUTS,2010,CH02,2,792.0
2015,NUTS,2010,CH02,2,489.0
2017,NUTS,2010,CH02,2,554.0
2019,NUTS,2010,CH02,2,470.0
2008,NUTS,2010,CH03,2,464.0
2012,NUTS,2010,CH03,2,782.0
2015,NUTS,2010,CH03,2,2242.0
2017,NUTS,2010,CH03,2,2788.0
2019,NUTS,2010,CH03,2,3164.0
2008,NUTS,2010,CH04,2,370.0
2012,NUTS,2010,CH04,2,1198.0
2015,NUTS,2010,CH04,2,726.0
2017,NUTS,2010,CH04,2,770.0
2019,NUTS,2010,CH04,2,684.0
2008,NUTS,2010,CH05,2,124.0
2012,NUTS,2010,CH05,2,269.0
2015,NUTS,2010,CH05,2,357.0
2017,NUTS,2010,CH05,2,349.0
2019,NUTS,2010,CH05,2,464.0
2008,NUTS,2010,CH06,2,84.0
2012,NUTS,2010,CH06,2,150.0
2015,NUTS,2010,CH06,2,466.0
2017,NUTS,2010,CH06,2,658.0
2019,NUTS,2010,CH06,2,608.0
2008,NUTS,2010,CH07,2,46.0
2012,NUTS,2010,CH07,2,189.0
2015,NUTS,2010,CH07,2,47.0
2017,NUTS,2010,CH07,2,128.0
2019,NUTS,2010,CH07,2,89.0
1998,NUTS,2010,CY,0,26.0
1999,NUTS,2010,CY,0,39.0
2000,NUTS,2010,CY,0,54.0
2001,NUTS,2010,CY,0,65.0
2002,NUTS,2010,CY,0,70.0
2003,NUTS,2010,CY,0,57.0
2004,NUTS,2010,CY,0,58.0
2005,NUTS,2010,CY,0,71.0
2006,NUTS,2010,CY,0,76.0
2007,NUTS,2010,CY,0,77.0
2008,NUTS,2010,CY,0,95.0
2009,NUTS,2010,CY,0,108.0
2010,NUTS,2010,CY,0,99.0
2011,NUTS,2010,CY,0,97.0
2012,NUTS,2010,CY,0,100.0
2013,NUTS,2010,CY,0,106.0
2014,NUTS,2010,CY,0,107.0
2015,NUTS,2010,CY,0,94.0
2016,NUTS,2010,CY,0,107.0
2017,NUTS,2010,CY,0,134.0
2018,NUTS,2010,CY,0,187.0
2019,NUTS,2010,CY,0,200.0
1999,NUTS,2010,CZ,0,1559.0
2000,NUTS,2010,CZ,0,1777.0
2001,NUTS,2010,CZ,0,1741.0
2002,NUTS,2010,CZ,0,1926.0
2003,NUTS,2010,CZ,0,2030.0
2004,NUTS,2010,CZ,0,2258.0
2005,NUTS,2010,CZ,0,1622.0
2006,NUTS,2010,CZ,0,1594.0
2007,NUTS,2010,CZ,0,1777.0
2008,NUTS,2010,CZ,0,2005.0
2009,NUTS,2010,CZ,0,1973.0
2010,NUTS,2010,CZ,0,1967.0
2011,NUTS,2010,CZ,0,2198.0
2012,NUTS,2010,CZ,0,2405.0
2013,NUTS,2010,CZ,0,2662.0
2014,NUTS,2010,CZ,0,2975.0
2015,NUTS,2010,CZ,0,2887.0
2016,NUTS,2010,CZ,0,2861.0
2017,NUTS,2010,CZ,0,2990.0
2018,NUTS,2010,CZ,0,3155.0
2019,NUTS,2010,CZ,0,3407.0
2020,NUTS,2010,CZ,0,3639.0
1999,NUTS,2010,CZ0,1,1559.0
2000,NUTS,2010,CZ0,1,1777.0
2001,NUTS,2010,CZ0,1,1741.0
2002,NUTS,2010,CZ0,1,1926.0
2003,NUTS,2010,CZ0,1,2030.0
2004,NUTS,2010,CZ0,1,2258.0
2005,NUTS,2010,CZ0,1,1622.0
2006,NUTS,2010,CZ0,1,1594.0
2007,NUTS,2010,CZ0,1,1777.0
2008,NUTS,2010,CZ0,1,2005.0
2009,NUTS,2010,CZ0,1,1973.0
2010,NUTS,2010,CZ0,1,1967.0
2011,NUTS,2010,CZ0,1,2198.0
2012,NUTS,2010,CZ0,1,2405.0
2013,NUTS,2010,CZ0,1,2662.0
2014,NUTS,2010,CZ0,1,2975.0
2015,NUTS,2010,CZ0,1,2886.0
2016,NUTS,2010,CZ0,1,2861.0
2017,NUTS,2010,CZ0,1,2990.0
2018,NUTS,2010,CZ0,1,3155.0
2019,NUTS,2010,CZ0,1,3407.0
2020,NUTS,2010,CZ0,1,3639.0
2001,NUTS,2010,CZ01,2,877.0
2002,NUTS,2010,CZ01,2,920.0
2003,NUTS,2010,CZ01,2,920.0
2004,NUTS,2010,CZ01,2,1003.0
2005,NUTS,2010,CZ01,2,480.0
2006,NUTS,2010,CZ01,2,397.0
2007,NUTS,2010,CZ01,2,514.0
2008,NUTS,2010,CZ01,2,529.0
2009,NUTS,2010,CZ01,2,446.0
2010,NUTS,2010,CZ01,2,437.0
2011,NUTS,2010,CZ01,2,556.0
2012,NUTS,2010,CZ01,2,734.0
2013,NUTS,2010,CZ01,2,816.0
2014,NUTS,2010,CZ01,2,850.0
2015,NUTS,2010,CZ01,2,867.0
2016,NUTS,2010,CZ01,2,1080.0
2017,NUTS,2010,CZ01,2,980.0
2018,NUTS,2010,CZ01,2,1027.0
2019,NUTS,2010,CZ01,2,1003.0
2020,NUTS,2010,CZ01,2,1100.0
2001,NUTS,2010,CZ02,2,257.0
2002,NUTS,2010,CZ02,2,345.0
2003,NUTS,2010,CZ02,2,339.0
2004,NUTS,2010,CZ02,2,274.0
2005,NUTS,2010,CZ02,2,295.0
2006,NUTS,2010,CZ02,2,327.0
2007,NUTS,2010,CZ02,2,315.0
2008,NUTS,2010,CZ02,2,446.0
2009,NUTS,2010,CZ02,2,433.0
2010,NUTS,2010,CZ02,2,381.0
2011,NUTS,2010,CZ02,2,435.0
2012,NUTS,2010,CZ02,2,444.0
2013,NUTS,2010,CZ02,2,346.0
2014,NUTS,2010,CZ02,2,322.0
2015,NUTS,2010,CZ02,2,337.0
2016,NUTS,2010,CZ02,2,182.0
2017,NUTS,2010,CZ02,2,278.0
2018,NUTS,2010,CZ02,2,340.0
2019,NUTS,2010,CZ02,2,364.0
2020,NUTS,2010,CZ02,2,364.0
2001,NUTS,2010,CZ03,2,57.0
2002,NUTS,2010,CZ03,2,70.0
2003,NUTS,2010,CZ03,2,79.0
2004,NUTS,2010,CZ03,2,84.0
2005,NUTS,2010,CZ03,2,74.0
2006,NUTS,2010,CZ03,2,76.0
2007,NUTS,2010,CZ03,2,72.0
2008,NUTS,2010,CZ03,2,66.0
2009,NUTS,2010,CZ03,2,88.0
2010,NUTS,2010,CZ03,2,85.0
2011,NUTS,2010,CZ03,2,96.0
2012,NUTS,2010,CZ03,2,109.0
2013,NUTS,2010,CZ03,2,126.0
2014,NUTS,2010,CZ03,2,141.0
2015,NUTS,2010,CZ03,2,152.0
2016,NUTS,2010,CZ03,2,167.0
2017,NUTS,2010,CZ03,2,184.0
2018,NUTS,2010,CZ03,2,197.0
2019,NUTS,2010,CZ03,2,233.0
2020,NUTS,2010,CZ03,2,245.0
2001,NUTS,2010,CZ04,2,46.0
2002,NUTS,2010,CZ04,2,55.0
2003,NUTS,2010,CZ04,2,63.0
2004,NUTS,2010,CZ04,2,65.0
2005,NUTS,2010,CZ04,2,68.0
2006,NUTS,2010,CZ04,2,87.0
2007,NUTS,2010,CZ04,2,88.0
2008,NUTS,2010,CZ04,2,76.0
2009,NUTS,2010,CZ04,2,74.0
2010,NUTS,2010,CZ04,2,72.0
2011,NUTS,2010,CZ04,2,69.0
2012,NUTS,2010,CZ04,2,72.0
2013,NUTS,2010,CZ04,2,98.0
2014,NUTS,2010,CZ04,2,88.0
2015,NUTS,2010,CZ04,2,87.0
2016,NUTS,2010,CZ04,2,87.0
2017,NUTS,2010,CZ04,2,106.0
2018,NUTS,2010,CZ04,2,99.0
2019,NUTS,2010,CZ04,2,105.0
2020,NUTS,2010,CZ04,2,98.0
2001,NUTS,2010,CZ05,2,109.0
2002,NUTS,2010,CZ05,2,138.0
2003,NUTS,2010,CZ05,2,160.0
2004,NUTS,2010,CZ05,2,199.0
2005,NUTS,2010,CZ05,2,213.0
2006,NUTS,2010,CZ05,2,226.0
2007,NUTS,2010,CZ05,2,238.0
2008,NUTS,2010,CZ05,2,276.0
2009,NUTS,2010,CZ05,2,265.0
2010,NUTS,2010,CZ05,2,281.0
2011,NUTS,2010,CZ05,2,283.0
2012,NUTS,2010,CZ05,2,354.0
2013,NUTS,2010,CZ05,2,394.0
2014,NUTS,2010,CZ05,2,367.0
2015,NUTS,2010,CZ05,2,397.0
2016,NUTS,2010,CZ05,2,374.0
2017,NUTS,2010,CZ05,2,420.0
2018,NUTS,2010,CZ05,2,395.0
2019,NUTS,2010,CZ05,2,402.0
2020,NUTS,2010,CZ05,2,443.0
2001,NUTS,2010,CZ06,2,203.0
2002,NUTS,2010,CZ06,2,225.0
2003,NUTS,2010,CZ06,2,286.0
2004,NUTS,2010,CZ06,2,392.0
2005,NUTS,2010,CZ06,2,268.0
2006,NUTS,2010,CZ06,2,234.0
2007,NUTS,2010,CZ06,2,301.0
2008,NUTS,2010,CZ06,2,348.0
2009,NUTS,2010,CZ06,2,386.0
2010,NUTS,2010,CZ06,2,431.0
2011,NUTS,2010,CZ06,2,437.0
2012,NUTS,2010,CZ06,2,366.0
2013,NUTS,2010,CZ06,2,545.0
2014,NUTS,2010,CZ06,2,870.0
2015,NUTS,2010,CZ06,2,670.0
2016,NUTS,2010,CZ06,2,583.0
2017,NUTS,2010,CZ06,2,585.0
2018,NUTS,2010,CZ06,2,637.0
2019,NUTS,2010,CZ06,2,740.0
2020,NUTS,2010,CZ06,2,823.0
2001,NUTS,2010,CZ07,2,102.0
2002,NUTS,2010,CZ07,2,94.0
2003,NUTS,2010,CZ07,2,108.0
2004,NUTS,2010,CZ07,2,144.0
2005,NUTS,2010,CZ07,2,165.0
2006,NUTS,2010,CZ07,2,189.0
2007,NUTS,2010,CZ07,2,185.0
2008,NUTS,2010,CZ07,2,190.0
2009,NUTS,2010,CZ07,2,192.0
2010,NUTS,2010,CZ07,2,180.0
2011,NUTS,2010,CZ07,2,206.0
2012,NUTS,2010,CZ07,2,204.0
2013,NUTS,2010,CZ07,2,211.0
2014,NUTS,2010,CZ07,2,208.0
2015,NUTS,2010,CZ07,2,231.0
2016,NUTS,2010,CZ07,2,219.0
2017,NUTS,2010,CZ07,2,222.0
2018,NUTS,2010,CZ07,2,219.0
2019,NUTS,2010,CZ07,2,305.0
2020,NUTS,2010,CZ07,2,307.0
