year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_eur_pnp
2017,NUTS,2010,AT13,2,32.096
2019,NUTS,2010,AT13,2,35.95
1981,NUTS,2010,AT2,1,0.722
1985,NUTS,2010,AT2,1,0.387
1989,NUTS,2010,AT2,1,0.888
1993,NUTS,2010,AT2,1,0.586
2006,NUTS,2010,AT2,1,0.409
2019,NUTS,2010,AT2,1,0.781
1981,NUTS,2010,AT21,2,0.109
1985,NUTS,2010,AT21,2,0.132
1989,NUTS,2010,AT21,2,0.142
1993,NUTS,2010,AT21,2,0.111
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,0.473
1981,NUTS,2010,AT22,2,0.614
1985,NUTS,2010,AT22,2,0.255
1989,NUTS,2010,AT22,2,0.756
1993,NUTS,2010,AT22,2,0.465
2002,NUTS,2010,AT22,2,0.691
2004,NUTS,2010,AT22,2,1.073
2006,NUTS,2010,AT22,2,0.409
2009,NUTS,2010,AT22,2,0.0
1981,NUTS,2010,AT3,1,3.138
1985,NUTS,2010,AT3,1,2.173
1989,NUTS,2010,AT3,1,3.844
1993,NUTS,2010,AT3,1,0.343
1998,NUTS,2010,AT3,1,1.987
2002,NUTS,2010,AT3,1,2.671
2004,NUTS,2010,AT3,1,2.206
2006,NUTS,2010,AT3,1,0.937
2007,NUTS,2010,AT3,1,1.775
2019,NUTS,2010,AT3,1,4.559
1981,NUTS,2010,AT31,2,1.126
1985,NUTS,2010,AT31,2,0.51
1989,NUTS,2010,AT31,2,1.37
1993,NUTS,2010,AT31,2,0.141
1998,NUTS,2010,AT31,2,0.993
2002,NUTS,2010,AT31,2,0.452
2004,NUTS,2010,AT31,2,0.388
2006,NUTS,2010,AT31,2,0.618
2009,NUTS,2010,AT31,2,0.54
2011,NUTS,2010,AT31,2,1.145
2013,NUTS,2010,AT31,2,1.171
2015,NUTS,2010,AT31,2,0.738
2017,NUTS,2010,AT31,2,0.894
2019,NUTS,2010,AT31,2,1.439
1981,NUTS,2010,AT32,2,0.606
1985,NUTS,2010,AT32,2,0.765
1989,NUTS,2010,AT32,2,0.756
1993,NUTS,2010,AT32,2,0.202
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,1.976
2017,NUTS,2010,AT32,2,2.699
2019,NUTS,2010,AT32,2,2.571
1981,NUTS,2010,AT33,2,1.406
1985,NUTS,2010,AT33,2,0.897
1989,NUTS,2010,AT33,2,1.719
1998,NUTS,2010,AT33,2,0.993
2002,NUTS,2010,AT33,2,2.02
2004,NUTS,2010,AT33,2,1.515
2006,NUTS,2010,AT33,2,0.319
2011,NUTS,2010,AT33,2,0.182
2013,NUTS,2010,AT33,2,0.173
2019,NUTS,2010,AT33,2,0.549
1981,NUTS,2010,AT34,2,0.016
2006,NUTS,2010,AT34,2,0.0
2007,NUTS,2010,AT34,2,0.204
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,0.087
2013,NUTS,2010,BA,0,0.054
2014,NUTS,2010,BA,0,0.516
2019,NUTS,2010,BA,0,0.017
1983,NUTS,2010,BE,0,67.516
1984,NUTS,2010,BE,0,69.179
1985,NUTS,2010,BE,0,77.025
1986,NUTS,2010,BE,0,77.323
1987,NUTS,2010,BE,0,77.976
1988,NUTS,2010,BE,0,78.219
1989,NUTS,2010,BE,0,28.529
1991,NUTS,2010,BE,0,31.069
1993,NUTS,2010,BE,0,43.915
1994,NUTS,2010,BE,0,49.771
1995,NUTS,2010,BE,0,50.612
1996,NUTS,2010,BE,0,52.34
1997,NUTS,2010,BE,0,51.951
1998,NUTS,2010,BE,0,53.158
1999,NUTS,2010,BE,0,54.521
2000,NUTS,2010,BE,0,58.47
2001,NUTS,2010,BE,0,61.926
2002,NUTS,2010,BE,0,65.318
2003,NUTS,2010,BE,0,65.092
2004,NUTS,2010,BE,0,77.505
2005,NUTS,2010,BE,0,72.839
2006,NUTS,2010,BE,0,81.886
2007,NUTS,2010,BE,0,79.786
2008,NUTS,2010,BE,0,66.864
2009,NUTS,2010,BE,0,69.154
2010,NUTS,2010,BE,0,68.5
2011,NUTS,2010,BE,0,73.6
2012,NUTS,2010,BE,0,35.218
2013,NUTS,2010,BE,0,34.164
2014,NUTS,2010,BE,0,43.704
2015,NUTS,2010,BE,0,55.596
2016,NUTS,2010,BE,0,66.029
2017,NUTS,2010,BE,0,66.378
2018,NUTS,2010,BE,0,95.348
2019,NUTS,2010,BE,0,113.562
2020,NUTS,2010,BE,0,125.8
1993,NUTS,2010,BE1,1,14.931
1994,NUTS,2010,BE1,1,16.835
1995,NUTS,2010,BE1,1,18.102
1996,NUTS,2010,BE1,1,19.821
1997,NUTS,2010,BE1,1,20.044
1998,NUTS,2010,BE1,1,21.033
1999,NUTS,2010,BE1,1,21.8
2000,NUTS,2010,BE1,1,24.563
2001,NUTS,2010,BE1,1,26.998
2002,NUTS,2010,BE1,1,29.052
2003,NUTS,2010,BE1,1,28.867
2004,NUTS,2010,BE1,1,40.624
2005,NUTS,2010,BE1,1,34.714
2006,NUTS,2010,BE1,1,43.307
2007,NUTS,2010,BE1,1,39.748
2008,NUTS,2010,BE1,1,25.077
2009,NUTS,2010,BE1,1,26.326
2010,NUTS,2010,BE1,1,24.676
2011,NUTS,2010,BE1,1,28.238
2012,NUTS,2010,BE1,1,20.573
2013,NUTS,2010,BE1,1,19.7
2014,NUTS,2010,BE1,1,28.29
2015,NUTS,2010,BE1,1,33.411
2016,NUTS,2010,BE1,1,39.474
2017,NUTS,2010,BE1,1,39.09
2018,NUTS,2010,BE1,1,65.807
2019,NUTS,2010,BE1,1,76.661
1993,NUTS,2010,BE10,2,14.931
1994,NUTS,2010,BE10,2,16.835
1995,NUTS,2010,BE10,2,18.102
1996,NUTS,2010,BE10,2,19.821
1997,NUTS,2010,BE10,2,20.044
1998,NUTS,2010,BE10,2,21.033
1999,NUTS,2010,BE10,2,21.8
2000,NUTS,2010,BE10,2,24.563
2001,NUTS,2010,BE10,2,26.998
2002,NUTS,2010,BE10,2,29.052
2003,NUTS,2010,BE10,2,28.867
2004,NUTS,2010,BE10,2,40.624
2005,NUTS,2010,BE10,2,34.714
2006,NUTS,2010,BE10,2,43.307
2007,NUTS,2010,BE10,2,39.748
2008,NUTS,2010,BE10,2,25.077
2009,NUTS,2010,BE10,2,26.326
2010,NUTS,2010,BE10,2,24.676
2011,NUTS,2010,BE10,2,28.238
2012,NUTS,2010,BE10,2,20.573
2013,NUTS,2010,BE10,2,19.7
2014,NUTS,2010,BE10,2,28.29
2015,NUTS,2010,BE10,2,33.411
2016,NUTS,2010,BE10,2,39.474
2017,NUTS,2010,BE10,2,39.09
2018,NUTS,2010,BE10,2,65.807
2019,NUTS,2010,BE10,2,76.661
1993,NUTS,2010,BE2,1,28.984
1994,NUTS,2010,BE2,1,32.927
1995,NUTS,2010,BE2,1,32.51
1996,NUTS,2010,BE2,1,32.509
1997,NUTS,2010,BE2,1,31.897
1998,NUTS,2010,BE2,1,32.135
1999,NUTS,2010,BE2,1,32.72
2000,NUTS,2010,BE2,1,33.903
2001,NUTS,2010,BE2,1,34.928
2002,NUTS,2010,BE2,1,36.266
2003,NUTS,2010,BE2,1,36.225
2004,NUTS,2010,BE2,1,36.881
2005,NUTS,2010,BE2,1,38.125
2006,NUTS,2010,BE2,1,38.579
2007,NUTS,2010,BE2,1,40.038
2008,NUTS,2010,BE2,1,41.787
2009,NUTS,2010,BE2,1,42.828
2010,NUTS,2010,BE2,1,43.614
2011,NUTS,2010,BE2,1,45.197
2012,NUTS,2010,BE2,1,14.645
2013,NUTS,2010,BE2,1,14.464
2014,NUTS,2010,BE2,1,15.334
2015,NUTS,2010,BE2,1,22.104
2016,NUTS,2010,BE2,1,26.43
2017,NUTS,2010,BE2,1,27.16
2018,NUTS,2010,BE2,1,29.406
2019,NUTS,2010,BE2,1,36.759
1998,NUTS,2010,BE3,1,0.0
1999,NUTS,2010,BE3,1,0.0
2000,NUTS,2010,BE3,1,0.0
2001,NUTS,2010,BE3,1,0.0
2002,NUTS,2010,BE3,1,0.0
2003,NUTS,2010,BE3,1,0.0
2004,NUTS,2010,BE3,1,0.0
2005,NUTS,2010,BE3,1,0.0
2006,NUTS,2010,BE3,1,0.0
2007,NUTS,2010,BE3,1,0.0
2008,NUTS,2010,BE3,1,0.0
2009,NUTS,2010,BE3,1,0.0
2010,NUTS,2010,BE3,1,0.185
2011,NUTS,2010,BE3,1,0.149
2012,NUTS,2010,BE3,1,0.0
2013,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.08
2015,NUTS,2010,BE3,1,0.08
2016,NUTS,2010,BE3,1,0.125
2017,NUTS,2010,BE3,1,0.128
2018,NUTS,2010,BE3,1,0.135
2019,NUTS,2010,BE3,1,0.142
1989,NUTS,2010,BEZ,1,28.529
1991,NUTS,2010,BEZ,1,31.069
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
1989,NUTS,2010,BEZZ,2,28.529
1991,NUTS,2010,BEZZ,2,31.069
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1996,NUTS,2010,BG,0,0.162
1997,NUTS,2010,BG,0,0.319
1998,NUTS,2010,BG,0,0.443
1999,NUTS,2010,BG,0,0.072
2000,NUTS,2010,BG,0,0.115
2001,NUTS,2010,BG,0,0.117
2002,NUTS,2010,BG,0,0.028
2003,NUTS,2010,BG,0,0.226
2004,NUTS,2010,BG,0,0.512
2005,NUTS,2010,BG,0,1.264
2006,NUTS,2010,BG,0,1.047
2007,NUTS,2010,BG,0,1.008
2008,NUTS,2010,BG,0,1.749
2009,NUTS,2010,BG,0,1.404
2010,NUTS,2010,BG,0,1.445
2011,NUTS,2010,BG,0,1.502
2012,NUTS,2010,BG,0,3.601
2013,NUTS,2010,BG,0,1.6
2014,NUTS,2010,BG,0,2.571
2015,NUTS,2010,BG,0,2.381
2016,NUTS,2010,BG,0,1.125
2017,NUTS,2010,BG,0,3.303
2018,NUTS,2010,BG,0,2.474
2019,NUTS,2010,BG,0,3.219
2020,NUTS,2010,BG,0,3.514
2003,NUTS,2010,BG3,1,0.0
2004,NUTS,2010,BG3,1,0.007
2005,NUTS,2010,BG3,1,0.0
2006,NUTS,2010,BG3,1,0.0
2007,NUTS,2010,BG3,1,0.0
2009,NUTS,2010,BG3,1,0.015
2011,NUTS,2010,BG3,1,0.051
2012,NUTS,2010,BG3,1,0.016
2014,NUTS,2010,BG3,1,0.131
2015,NUTS,2010,BG3,1,0.126
2016,NUTS,2010,BG3,1,0.025
2017,NUTS,2010,BG3,1,0.084
2018,NUTS,2010,BG3,1,0.184
2019,NUTS,2010,BG3,1,0.065
2003,NUTS,2010,BG31,2,0.0
2004,NUTS,2010,BG31,2,0.007
2005,NUTS,2010,BG31,2,0.0
2006,NUTS,2010,BG31,2,0.0
2007,NUTS,2010,BG31,2,0.0
2008,NUTS,2010,BG31,2,0.0
2009,NUTS,2010,BG31,2,0.0
2010,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2002,NUTS,2010,BG32,2,0.0
2003,NUTS,2010,BG32,2,0.0
2004,NUTS,2010,BG32,2,0.0
2005,NUTS,2010,BG32,2,0.0
2006,NUTS,2010,BG32,2,0.0
2007,NUTS,2010,BG32,2,0.0
2008,NUTS,2010,BG32,2,0.0
2009,NUTS,2010,BG32,2,0.0
2010,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2002,NUTS,2010,BG33,2,0.0
2003,NUTS,2010,BG33,2,0.0
2004,NUTS,2010,BG33,2,0.0
2005,NUTS,2010,BG33,2,0.0
2006,NUTS,2010,BG33,2,0.0
2007,NUTS,2010,BG33,2,0.0
2008,NUTS,2010,BG33,2,0.0
2015,NUTS,2010,BG33,2,0.114
2002,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG34,2,0.0
2004,NUTS,2010,BG34,2,0.0
2005,NUTS,2010,BG34,2,0.0
2006,NUTS,2010,BG34,2,0.0
2007,NUTS,2010,BG34,2,0.0
2010,NUTS,2010,BG34,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG4,1,0.224
2004,NUTS,2010,BG4,1,0.266
2005,NUTS,2010,BG4,1,1.264
2006,NUTS,2010,BG4,1,1.047
2007,NUTS,2010,BG4,1,1.008
2009,NUTS,2010,BG4,1,1.389
2011,NUTS,2010,BG4,1,1.451
2012,NUTS,2010,BG4,1,3.585
2014,NUTS,2010,BG4,1,2.44
2015,NUTS,2010,BG4,1,2.255
2016,NUTS,2010,BG4,1,1.1
2017,NUTS,2010,BG4,1,3.219
2018,NUTS,2010,BG4,1,2.29
2019,NUTS,2010,BG4,1,3.154
1999,NUTS,2010,BG41,2,0.073
2000,NUTS,2010,BG41,2,0.115
2002,NUTS,2010,BG41,2,0.027
2003,NUTS,2010,BG41,2,0.224
2005,NUTS,2010,BG41,2,1.225
2008,NUTS,2010,BG41,2,1.73
2010,NUTS,2010,BG41,2,1.138
2012,NUTS,2010,BG41,2,3.472
2013,NUTS,2010,BG41,2,1.154
2014,NUTS,2010,BG41,2,2.386
2015,NUTS,2010,BG41,2,2.175
2016,NUTS,2010,BG41,2,0.52
2017,NUTS,2010,BG41,2,2.491
2018,NUTS,2010,BG41,2,1.551
2019,NUTS,2010,BG41,2,1.855
2003,NUTS,2010,BG42,2,0.0
2005,NUTS,2010,BG42,2,0.039
2012,NUTS,2010,BG42,2,0.114
2014,NUTS,2010,BG42,2,0.054
2015,NUTS,2010,BG42,2,0.08
2016,NUTS,2010,BG42,2,0.58
2017,NUTS,2010,BG42,2,0.728
2018,NUTS,2010,BG42,2,0.739
2019,NUTS,2010,BG42,2,1.3
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1983,NUTS,2010,CH,0,79.25
1986,NUTS,2010,CH,0,127.208
1989,NUTS,2010,CH,0,38.887
1992,NUTS,2010,CH,0,60.513
1996,NUTS,2010,CH,0,159.449
2000,NUTS,2010,CH,0,131.587
2004,NUTS,2010,CH,0,194.326
2008,NUTS,2010,CH,0,163.79
2012,NUTS,2010,CH,0,282.087
2015,NUTS,2010,CH,0,490.289
2017,NUTS,2010,CH,0,473.095
2019,NUTS,2010,CH,0,548.58
1983,NUTS,2010,CH0,1,79.25
1986,NUTS,2010,CH0,1,127.208
1989,NUTS,2010,CH0,1,38.887
1992,NUTS,2010,CH0,1,60.513
1996,NUTS,2010,CH0,1,159.449
2000,NUTS,2010,CH0,1,131.587
2004,NUTS,2010,CH0,1,194.326
2008,NUTS,2010,CH0,1,163.79
2012,NUTS,2010,CH0,1,282.087
2015,NUTS,2010,CH0,1,490.289
2017,NUTS,2010,CH0,1,473.095
2019,NUTS,2010,CH0,1,548.58
1991,NUTS,2010,CY,0,0.157
1992,NUTS,2010,CY,0,0.171
1998,NUTS,2010,CY,0,0.898
1999,NUTS,2010,CY,0,1.365
2000,NUTS,2010,CY,0,1.795
2001,NUTS,2010,CY,0,2.49
2002,NUTS,2010,CY,0,3.196
2003,NUTS,2010,CY,0,3.154
2004,NUTS,2010,CY,0,3.462
2005,NUTS,2010,CY,0,3.998
2006,NUTS,2010,CY,0,4.588
2007,NUTS,2010,CY,0,5.41
2008,NUTS,2010,CY,0,7.756
2009,NUTS,2010,CY,0,11.334
2010,NUTS,2010,CY,0,11.567
2011,NUTS,2010,CY,0,13.876
2012,NUTS,2010,CY,0,10.996
2013,NUTS,2010,CY,0,11.021
2014,NUTS,2010,CY,0,13.527
2015,NUTS,2010,CY,0,12.158
2016,NUTS,2010,CY,0,12.425
2017,NUTS,2010,CY,0,12.869
2018,NUTS,2010,CY,0,14.661
2019,NUTS,2010,CY,0,18.595
2020,NUTS,2010,CY,0,20.0
1991,NUTS,2010,CY0,1,0.157
1992,NUTS,2010,CY0,1,0.171
1998,NUTS,2010,CY0,1,0.898
1999,NUTS,2010,CY0,1,1.365
2000,NUTS,2010,CY0,1,1.795
2001,NUTS,2010,CY0,1,2.49
2002,NUTS,2010,CY0,1,3.196
2003,NUTS,2010,CY0,1,3.154
2004,NUTS,2010,CY0,1,3.462
2005,NUTS,2010,CY0,1,3.998
2006,NUTS,2010,CY0,1,4.588
2007,NUTS,2010,CY0,1,5.41
2008,NUTS,2010,CY0,1,7.756
2009,NUTS,2010,CY0,1,11.334
2010,NUTS,2010,CY0,1,11.567
2011,NUTS,2010,CY0,1,13.876
2012,NUTS,2010,CY0,1,10.996
2013,NUTS,2010,CY0,1,11.021
2014,NUTS,2010,CY0,1,13.527
2015,NUTS,2010,CY0,1,12.158
2016,NUTS,2010,CY0,1,12.425
2017,NUTS,2010,CY0,1,12.869
2018,NUTS,2010,CY0,1,14.661
2019,NUTS,2010,CY0,1,18.595
2020,NUTS,2010,CY0,1,20.0
1991,NUTS,2010,CY00,2,0.157
1992,NUTS,2010,CY00,2,0.171
1998,NUTS,2010,CY00,2,0.898
1999,NUTS,2010,CY00,2,1.365
2000,NUTS,2010,CY00,2,1.795
2001,NUTS,2010,CY00,2,2.49
2002,NUTS,2010,CY00,2,3.196
2003,NUTS,2010,CY00,2,3.154
2004,NUTS,2010,CY00,2,3.462
2005,NUTS,2010,CY00,2,3.998
2006,NUTS,2010,CY00,2,4.588
2007,NUTS,2010,CY00,2,5.41
2008,NUTS,2010,CY00,2,7.756
2009,NUTS,2010,CY00,2,11.334
2010,NUTS,2010,CY00,2,11.567
2011,NUTS,2010,CY00,2,13.876
2012,NUTS,2010,CY00,2,10.996
2013,NUTS,2010,CY00,2,11.021
2014,NUTS,2010,CY00,2,13.527
2015,NUTS,2010,CY00,2,12.158
2016,NUTS,2010,CY00,2,12.425
2017,NUTS,2010,CY00,2,12.869
2018,NUTS,2010,CY00,2,14.661
2019,NUTS,2010,CY00,2,18.595
2020,NUTS,2010,CY00,2,20.0
1996,NUTS,2010,CZ,0,0.401
1997,NUTS,2010,CZ,0,7.785
1998,NUTS,2010,CZ,0,1.584
1999,NUTS,2010,CZ,0,3.525
2000,NUTS,2010,CZ,0,3.773
2001,NUTS,2010,CZ,0,3.925
2002,NUTS,2010,CZ,0,3.091
2003,NUTS,2010,CZ,0,4.15
2004,NUTS,2010,CZ,0,4.16
2005,NUTS,2010,CZ,0,6.498
2006,NUTS,2010,CZ,0,7.183
2007,NUTS,2010,CZ,0,7.165
2008,NUTS,2010,CZ,0,8.342
2009,NUTS,2010,CZ,0,10.359
2010,NUTS,2010,CZ,0,12.822
2011,NUTS,2010,CZ,0,14.042
2012,NUTS,2010,CZ,0,14.688
2013,NUTS,2010,CZ,0,10.296
2014,NUTS,2010,CZ,0,12.742
2015,NUTS,2010,CZ,0,12.558
2016,NUTS,2010,CZ,0,7.294
2017,NUTS,2010,CZ,0,9.586
2018,NUTS,2010,CZ,0,8.857
2019,NUTS,2010,CZ,0,12.345
2020,NUTS,2010,CZ,0,12.516
1996,NUTS,2010,CZ0,1,0.401
1997,NUTS,2010,CZ0,1,7.785
1998,NUTS,2010,CZ0,1,1.584
1999,NUTS,2010,CZ0,1,3.525
2000,NUTS,2010,CZ0,1,3.773
2001,NUTS,2010,CZ0,1,3.925
2002,NUTS,2010,CZ0,1,3.091
2003,NUTS,2010,CZ0,1,4.15
2004,NUTS,2010,CZ0,1,4.16
2005,NUTS,2010,CZ0,1,6.498
2006,NUTS,2010,CZ0,1,7.183
2007,NUTS,2010,CZ0,1,7.165
2008,NUTS,2010,CZ0,1,8.342
2009,NUTS,2010,CZ0,1,10.359
2010,NUTS,2010,CZ0,1,12.822
2011,NUTS,2010,CZ0,1,14.042
2012,NUTS,2010,CZ0,1,14.688
2013,NUTS,2010,CZ0,1,10.296
2014,NUTS,2010,CZ0,1,12.742
2015,NUTS,2010,CZ0,1,12.558
2016,NUTS,2010,CZ0,1,7.294
2017,NUTS,2010,CZ0,1,9.586
2018,NUTS,2010,CZ0,1,8.857
2019,NUTS,2010,CZ0,1,12.345
2020,NUTS,2010,CZ0,1,12.516
2001,NUTS,2010,CZ01,2,2.105
2002,NUTS,2010,CZ01,2,2.082
2003,NUTS,2010,CZ01,2,2.413
2004,NUTS,2010,CZ01,2,2.883
2005,NUTS,2010,CZ01,2,5.216
2006,NUTS,2010,CZ01,2,5.735
2007,NUTS,2010,CZ01,2,5.907
2008,NUTS,2010,CZ01,2,6.629
2009,NUTS,2010,CZ01,2,7.614
2010,NUTS,2010,CZ01,2,7.974
2011,NUTS,2010,CZ01,2,6.63
2012,NUTS,2010,CZ01,2,7.057
2013,NUTS,2010,CZ01,2,5.598
2014,NUTS,2010,CZ01,2,5.564
2015,NUTS,2010,CZ01,2,5.242
2016,NUTS,2010,CZ01,2,5.14
2017,NUTS,2010,CZ01,2,5.595
2018,NUTS,2010,CZ01,2,4.82
2019,NUTS,2010,CZ01,2,6.355
2020,NUTS,2010,CZ01,2,6.369
2001,NUTS,2010,CZ02,2,0.095
2002,NUTS,2010,CZ02,2,0.091
2003,NUTS,2010,CZ02,2,0.149
2004,NUTS,2010,CZ02,2,0.049
2005,NUTS,2010,CZ02,2,0.118
2006,NUTS,2010,CZ02,2,0.072
2007,NUTS,2010,CZ02,2,0.047
2008,NUTS,2010,CZ02,2,0.045
2009,NUTS,2010,CZ02,2,0.031
2010,NUTS,2010,CZ02,2,0.034
2011,NUTS,2010,CZ02,2,0.165
2012,NUTS,2010,CZ02,2,0.177
2013,NUTS,2010,CZ02,2,0.751
2014,NUTS,2010,CZ02,2,0.326
2015,NUTS,2010,CZ02,2,0.331
2016,NUTS,2010,CZ02,2,0.172
2017,NUTS,2010,CZ02,2,0.215
2018,NUTS,2010,CZ02,2,0.124
2019,NUTS,2010,CZ02,2,0.075
2020,NUTS,2010,CZ02,2,0.103
2001,NUTS,2010,CZ03,2,1.215
2002,NUTS,2010,CZ03,2,0.133
2003,NUTS,2010,CZ03,2,0.705
2004,NUTS,2010,CZ03,2,0.699
