year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_eur_gov
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
1993,NUTS,2010,ATZZ,2,7.575
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,5.066
2013,NUTS,2010,BA,0,2.557
2014,NUTS,2010,BA,0,6.903
2019,NUTS,2010,BA,0,1.534
1983,NUTS,2010,BE,0,81.65
1984,NUTS,2010,BE,0,84.589
1985,NUTS,2010,BE,0,96.928
1986,NUTS,2010,BE,0,97.209
1987,NUTS,2010,BE,0,89.766
1988,NUTS,2010,BE,0,95.876
1989,NUTS,2010,BE,0,143.082
1991,NUTS,2010,BE,0,162.597
1993,NUTS,2010,BE,0,157.361
1994,NUTS,2010,BE,0,165.619
1995,NUTS,2010,BE,0,174.511
1996,NUTS,2010,BE,0,210.963
1997,NUTS,2010,BE,0,220.89
1998,NUTS,2010,BE,0,256.296
1999,NUTS,2010,BE,0,286.177
2000,NUTS,2010,BE,0,312.14
2001,NUTS,2010,BE,0,330.893
2002,NUTS,2010,BE,0,372.644
2003,NUTS,2010,BE,0,354.449
2004,NUTS,2010,BE,0,418.592
2005,NUTS,2010,BE,0,464.249
2006,NUTS,2010,BE,0,475.956
2007,NUTS,2010,BE,0,513.282
2008,NUTS,2010,BE,0,608.585
2009,NUTS,2010,BE,0,637.873
2010,NUTS,2010,BE,0,630.9
2011,NUTS,2010,BE,0,658.6
2012,NUTS,2010,BE,0,747.076
2013,NUTS,2010,BE,0,775.192
2014,NUTS,2010,BE,0,859.257
2015,NUTS,2010,BE,0,929.384
2016,NUTS,2010,BE,0,1045.794
2017,NUTS,2010,BE,0,1114.163
2018,NUTS,2010,BE,0,1206.776
2019,NUTS,2010,BE,0,1329.381
2020,NUTS,2010,BE,0,1417.785
1993,NUTS,2010,BE1,1,44.972
1994,NUTS,2010,BE1,1,44.116
1995,NUTS,2010,BE1,1,44.889
1996,NUTS,2010,BE1,1,42.291
1997,NUTS,2010,BE1,1,43.939
1998,NUTS,2010,BE1,1,47.766
1999,NUTS,2010,BE1,1,47.05
2000,NUTS,2010,BE1,1,53.971
2001,NUTS,2010,BE1,1,55.481
2002,NUTS,2010,BE1,1,65.12
2003,NUTS,2010,BE1,1,66.702
2004,NUTS,2010,BE1,1,70.735
2005,NUTS,2010,BE1,1,71.252
2006,NUTS,2010,BE1,1,79.517
2007,NUTS,2010,BE1,1,80.643
2008,NUTS,2010,BE1,1,112.367
2009,NUTS,2010,BE1,1,114.43
2010,NUTS,2010,BE1,1,89.995
2011,NUTS,2010,BE1,1,92.826
2012,NUTS,2010,BE1,1,110.961
2013,NUTS,2010,BE1,1,121.297
2014,NUTS,2010,BE1,1,137.163
2015,NUTS,2010,BE1,1,152.858
2016,NUTS,2010,BE1,1,155.927
2017,NUTS,2010,BE1,1,159.563
2018,NUTS,2010,BE1,1,183.067
2019,NUTS,2010,BE1,1,191.179
1993,NUTS,2010,BE10,2,44.972
1994,NUTS,2010,BE10,2,44.116
1995,NUTS,2010,BE10,2,44.889
1996,NUTS,2010,BE10,2,42.291
1997,NUTS,2010,BE10,2,43.939
1998,NUTS,2010,BE10,2,47.766
1999,NUTS,2010,BE10,2,47.05
2000,NUTS,2010,BE10,2,53.971
2001,NUTS,2010,BE10,2,55.481
2002,NUTS,2010,BE10,2,65.12
2003,NUTS,2010,BE10,2,66.702
2004,NUTS,2010,BE10,2,70.735
2005,NUTS,2010,BE10,2,71.252
2006,NUTS,2010,BE10,2,79.517
2007,NUTS,2010,BE10,2,80.643
2008,NUTS,2010,BE10,2,112.367
2009,NUTS,2010,BE10,2,114.43
2010,NUTS,2010,BE10,2,89.995
2011,NUTS,2010,BE10,2,92.826
2012,NUTS,2010,BE10,2,110.961
2013,NUTS,2010,BE10,2,121.297
2014,NUTS,2010,BE10,2,137.163
2015,NUTS,2010,BE10,2,152.858
2016,NUTS,2010,BE10,2,155.927
2017,NUTS,2010,BE10,2,159.563
2018,NUTS,2010,BE10,2,183.067
2019,NUTS,2010,BE10,2,191.179
1993,NUTS,2010,BE2,1,95.375
1994,NUTS,2010,BE2,1,58.112
1995,NUTS,2010,BE2,1,64.34
1996,NUTS,2010,BE2,1,64.248
1997,NUTS,2010,BE2,1,70.502
1998,NUTS,2010,BE2,1,190.794
1999,NUTS,2010,BE2,1,220.06
2000,NUTS,2010,BE2,1,234.357
2001,NUTS,2010,BE2,1,250.305
2002,NUTS,2010,BE2,1,280.883
2003,NUTS,2010,BE2,1,260.821
2004,NUTS,2010,BE2,1,335.331
2005,NUTS,2010,BE2,1,379.713
2006,NUTS,2010,BE2,1,382.799
2007,NUTS,2010,BE2,1,418.735
2008,NUTS,2010,BE2,1,458.213
2009,NUTS,2010,BE2,1,485.043
2010,NUTS,2010,BE2,1,515.319
2011,NUTS,2010,BE2,1,537.597
2012,NUTS,2010,BE2,1,604.701
2013,NUTS,2010,BE2,1,621.981
2014,NUTS,2010,BE2,1,673.51
2015,NUTS,2010,BE2,1,723.988
2016,NUTS,2010,BE2,1,854.348
2017,NUTS,2010,BE2,1,918.327
2018,NUTS,2010,BE2,1,991.015
2019,NUTS,2010,BE2,1,1104.893
1993,NUTS,2010,BE3,1,17.004
1994,NUTS,2010,BE3,1,16.123
1995,NUTS,2010,BE3,1,15.936
1996,NUTS,2010,BE3,1,19.247
1997,NUTS,2010,BE3,1,18.621
1998,NUTS,2010,BE3,1,17.736
1999,NUTS,2010,BE3,1,19.08
2000,NUTS,2010,BE3,1,23.808
2001,NUTS,2010,BE3,1,25.107
2002,NUTS,2010,BE3,1,26.642
2003,NUTS,2010,BE3,1,26.926
2004,NUTS,2010,BE3,1,12.526
2005,NUTS,2010,BE3,1,13.284
2006,NUTS,2010,BE3,1,13.641
2007,NUTS,2010,BE3,1,13.904
2008,NUTS,2010,BE3,1,38.005
2009,NUTS,2010,BE3,1,38.401
2010,NUTS,2010,BE3,1,25.588
2011,NUTS,2010,BE3,1,28.159
2012,NUTS,2010,BE3,1,31.414
2013,NUTS,2010,BE3,1,31.914
2014,NUTS,2010,BE3,1,48.584
2015,NUTS,2010,BE3,1,52.538
2016,NUTS,2010,BE3,1,35.519
2017,NUTS,2010,BE3,1,36.273
2018,NUTS,2010,BE3,1,32.694
2019,NUTS,2010,BE3,1,33.309
1989,NUTS,2010,BEZ,1,143.082
1991,NUTS,2010,BEZ,1,162.597
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
1989,NUTS,2010,BEZZ,2,143.082
1991,NUTS,2010,BEZZ,2,162.597
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1987,NUTS,2010,BG,0,343.846
1988,NUTS,2010,BG,0,281.429
1989,NUTS,2010,BG,0,397.273
1990,NUTS,2010,BG,0,80.667
1991,NUTS,2010,BG,0,22.692
1992,NUTS,2010,BG,0,26.556
1993,NUTS,2010,BG,0,45.79
1994,NUTS,2010,BG,0,30.016
1995,NUTS,2010,BG,0,26.212
1996,NUTS,2010,BG,0,13.501
1997,NUTS,2010,BG,0,32.392
1998,NUTS,2010,BG,0,48.968
1999,NUTS,2010,BG,0,50.343
2000,NUTS,2010,BG,0,48.953
2001,NUTS,2010,BG,0,47.709
2002,NUTS,2010,BG,0,58.005
2003,NUTS,2010,BG,0,62.237
2004,NUTS,2010,BG,0,66.554
2005,NUTS,2010,BG,0,71.092
2006,NUTS,2010,BG,0,77.673
2007,NUTS,2010,BG,0,81.615
2008,NUTS,2010,BG,0,97.162
2009,NUTS,2010,BG,0,101.986
2010,NUTS,2010,BG,0,80.342
2011,NUTS,2010,BG,0,78.711
2012,NUTS,2010,BG,0,76.164
2013,NUTS,2010,BG,0,79.153
2014,NUTS,2010,BG,0,84.007
2015,NUTS,2010,BG,0,90.02
2016,NUTS,2010,BG,0,79.617
2017,NUTS,2010,BG,0,90.123
2018,NUTS,2010,BG,0,93.487
2019,NUTS,2010,BG,0,127.528
2020,NUTS,2010,BG,0,134.791
2002,NUTS,2010,BG3,1,5.793
2003,NUTS,2010,BG3,1,6.272
2004,NUTS,2010,BG3,1,6.898
2005,NUTS,2010,BG3,1,7.366
2006,NUTS,2010,BG3,1,9.26
2007,NUTS,2010,BG3,1,10.246
2008,NUTS,2010,BG3,1,11.504
2009,NUTS,2010,BG3,1,12.253
2010,NUTS,2010,BG3,1,10.349
2011,NUTS,2010,BG3,1,11.003
2012,NUTS,2010,BG3,1,10.162
2013,NUTS,2010,BG3,1,10.934
2014,NUTS,2010,BG3,1,10.064
2015,NUTS,2010,BG3,1,10.682
2016,NUTS,2010,BG3,1,11.99
2017,NUTS,2010,BG3,1,11.99
2018,NUTS,2010,BG3,1,12.851
2019,NUTS,2010,BG3,1,15.776
2002,NUTS,2010,BG31,2,1.692
2003,NUTS,2010,BG31,2,1.644
2004,NUTS,2010,BG31,2,1.736
2005,NUTS,2010,BG31,2,1.926
2006,NUTS,2010,BG31,2,2.265
2007,NUTS,2010,BG31,2,2.483
2008,NUTS,2010,BG31,2,2.098
2009,NUTS,2010,BG31,2,3.066
2010,NUTS,2010,BG31,2,2.561
2011,NUTS,2010,BG31,2,2.589
2012,NUTS,2010,BG31,2,2.461
2013,NUTS,2010,BG31,2,2.683
2015,NUTS,2010,BG31,2,2.86
2016,NUTS,2010,BG31,2,2.751
2018,NUTS,2010,BG31,2,3.524
2019,NUTS,2010,BG31,2,4.069
2002,NUTS,2010,BG32,2,0.241
2003,NUTS,2010,BG32,2,0.437
2004,NUTS,2010,BG32,2,0.574
2005,NUTS,2010,BG32,2,0.577
2006,NUTS,2010,BG32,2,0.565
2007,NUTS,2010,BG32,2,0.709
2008,NUTS,2010,BG32,2,0.811
2009,NUTS,2010,BG32,2,0.68
2010,NUTS,2010,BG32,2,0.815
2011,NUTS,2010,BG32,2,0.98
2012,NUTS,2010,BG32,2,0.607
2013,NUTS,2010,BG32,2,0.518
2014,NUTS,2010,BG32,2,0.471
2015,NUTS,2010,BG32,2,0.195
2016,NUTS,2010,BG32,2,0.124
2017,NUTS,2010,BG32,2,0.164
2018,NUTS,2010,BG32,2,0.187
2019,NUTS,2010,BG32,2,0.284
2002,NUTS,2010,BG33,2,2.785
2003,NUTS,2010,BG33,2,3.226
2004,NUTS,2010,BG33,2,3.351
2005,NUTS,2010,BG33,2,3.643
2006,NUTS,2010,BG33,2,4.408
2007,NUTS,2010,BG33,2,4.838
2008,NUTS,2010,BG33,2,5.588
2009,NUTS,2010,BG33,2,6.218
2010,NUTS,2010,BG33,2,4.898
2011,NUTS,2010,BG33,2,5.282
2012,NUTS,2010,BG33,2,5.17
2013,NUTS,2010,BG33,2,5.743
2015,NUTS,2010,BG33,2,5.495
2016,NUTS,2010,BG33,2,6.944
2017,NUTS,2010,BG33,2,6.492
2018,NUTS,2010,BG33,2,7.003
2019,NUTS,2010,BG33,2,8.23
2002,NUTS,2010,BG34,2,1.076
2003,NUTS,2010,BG34,2,0.965
2004,NUTS,2010,BG34,2,1.237
2005,NUTS,2010,BG34,2,1.221
2006,NUTS,2010,BG34,2,2.022
2007,NUTS,2010,BG34,2,2.216
2008,NUTS,2010,BG34,2,3.006
2009,NUTS,2010,BG34,2,2.289
2010,NUTS,2010,BG34,2,2.076
2011,NUTS,2010,BG34,2,2.152
2012,NUTS,2010,BG34,2,1.925
2013,NUTS,2010,BG34,2,1.99
2014,NUTS,2010,BG34,2,2.178
2015,NUTS,2010,BG34,2,2.132
2016,NUTS,2010,BG34,2,2.171
2018,NUTS,2010,BG34,2,2.137
2019,NUTS,2010,BG34,2,3.193
2002,NUTS,2010,BG4,1,52.212
2003,NUTS,2010,BG4,1,55.964
2004,NUTS,2010,BG4,1,59.602
2005,NUTS,2010,BG4,1,63.726
2006,NUTS,2010,BG4,1,68.412
2007,NUTS,2010,BG4,1,71.369
2008,NUTS,2010,BG4,1,85.658
2009,NUTS,2010,BG4,1,89.733
2010,NUTS,2010,BG4,1,69.992
2011,NUTS,2010,BG4,1,67.707
2012,NUTS,2010,BG4,1,66.002
2013,NUTS,2010,BG4,1,68.219
2014,NUTS,2010,BG4,1,73.943
2015,NUTS,2010,BG4,1,79.338
2016,NUTS,2010,BG4,1,67.627
2017,NUTS,2010,BG4,1,78.133
2018,NUTS,2010,BG4,1,80.636
2019,NUTS,2010,BG4,1,111.753
1999,NUTS,2010,BG41,2,44.575
2000,NUTS,2010,BG41,2,43.114
2002,NUTS,2010,BG41,2,50.126
2003,NUTS,2010,BG41,2,53.531
2005,NUTS,2010,BG41,2,61.197
2006,NUTS,2010,BG41,2,65.873
2007,NUTS,2010,BG41,2,68.022
2008,NUTS,2010,BG41,2,82.436
2009,NUTS,2010,BG41,2,86.386
2010,NUTS,2010,BG41,2,66.452
2011,NUTS,2010,BG41,2,64.163
2012,NUTS,2010,BG41,2,62.664
2013,NUTS,2010,BG41,2,64.708
2014,NUTS,2010,BG41,2,70.952
2015,NUTS,2010,BG41,2,75.525
2016,NUTS,2010,BG41,2,64.298
2017,NUTS,2010,BG41,2,74.084
2018,NUTS,2010,BG41,2,75.836
2019,NUTS,2010,BG41,2,106.047
2002,NUTS,2010,BG42,2,2.086
2003,NUTS,2010,BG42,2,2.433
2005,NUTS,2010,BG42,2,2.529
2006,NUTS,2010,BG42,2,2.539
2007,NUTS,2010,BG42,2,3.347
2008,NUTS,2010,BG42,2,3.222
2009,NUTS,2010,BG42,2,3.348
2010,NUTS,2010,BG42,2,3.54
2011,NUTS,2010,BG42,2,3.545
2012,NUTS,2010,BG42,2,3.338
2013,NUTS,2010,BG42,2,3.511
2014,NUTS,2010,BG42,2,2.991
2015,NUTS,2010,BG42,2,3.813
2016,NUTS,2010,BG42,2,3.329
2017,NUTS,2010,BG42,2,4.05
2018,NUTS,2010,BG42,2,4.8
2019,NUTS,2010,BG42,2,5.706
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1981,NUTS,2010,CH,0,114.307
1983,NUTS,2010,CH,0,126.372
1986,NUTS,2010,CH,0,251.576
1988,NUTS,2010,CH,0,179.956
1989,NUTS,2010,CH,0,199.989
1990,NUTS,2010,CH,0,171.377
1991,NUTS,2010,CH,0,191.255
1992,NUTS,2010,CH,0,187.039
1994,NUTS,2010,CH,0,166.533
1996,NUTS,2010,CH,0,159.449
1998,NUTS,2010,CH,0,123.305
2000,NUTS,2010,CH,0,89.865
2002,NUTS,2010,CH,0,95.433
2004,NUTS,2010,CH,0,90.685
2006,NUTS,2010,CH,0,76.292
2008,NUTS,2010,CH,0,75.595
2010,NUTS,2010,CH,0,90.56
2012,NUTS,2010,CH,0,115.571
2014,NUTS,2010,CH,0,156.93
2015,NUTS,2010,CH,0,181.58
2017,NUTS,2010,CH,0,165.932
2019,NUTS,2010,CH,0,192.404
1981,NUTS,2010,CH0,1,114.307
1983,NUTS,2010,CH0,1,126.372
1986,NUTS,2010,CH0,1,251.576
1988,NUTS,2010,CH0,1,179.956
1989,NUTS,2010,CH0,1,199.989
1990,NUTS,2010,CH0,1,171.377
1991,NUTS,2010,CH0,1,191.255
1992,NUTS,2010,CH0,1,187.039
1994,NUTS,2010,CH0,1,166.533
1996,NUTS,2010,CH0,1,159.449
1998,NUTS,2010,CH0,1,123.305
2000,NUTS,2010,CH0,1,89.865
2002,NUTS,2010,CH0,1,95.433
2004,NUTS,2010,CH0,1,90.685
2006,NUTS,2010,CH0,1,76.292
2008,NUTS,2010,CH0,1,75.595
2010,NUTS,2010,CH0,1,90.56
2012,NUTS,2010,CH0,1,115.571
2014,NUTS,2010,CH0,1,156.93
2015,NUTS,2010,CH0,1,181.58
2017,NUTS,2010,CH0,1,165.932
2019,NUTS,2010,CH0,1,192.404
2001,NUTS,2010,CN_X_HK,5,4182.731
2002,NUTS,2010,CN_X_HK,5,4718.584
2003,NUTS,2010,CN_X_HK,5,4454.746
2004,NUTS,2010,CN_X_HK,5,4384.123
2005,NUTS,2010,CN_X_HK,5,5236.194
2006,NUTS,2010,CN_X_HK,5,5911.783
2007,NUTS,2010,CN_X_HK,5,6849.94
2008,NUTS,2010,CN_X_HK,5,8257.065
2009,NUTS,2010,CN_X_HK,5,11391.3
2010,NUTS,2010,CN_X_HK,5,14265.806
2011,NUTS,2010,CN_X_HK,5,15771.727
2012,NUTS,2010,CN_X_HK,5,20673.299
2013,NUTS,2010,CN_X_HK,5,23443.141
2014,NUTS,2010,CN_X_HK,5,25127.343
2015,NUTS,2010,CN_X_HK,5,32838.777
2016,NUTS,2010,CN_X_HK,5,33466.84
2017,NUTS,2010,CN_X_HK,5,35128.329
2018,NUTS,2010,CN_X_HK,5,38246.475
2019,NUTS,2010,CN_X_HK,5,44278.592
1991,NUTS,2010,CY,0,6.977
1992,NUTS,2010,CY,0,8.001
1998,NUTS,2010,CY,0,10.443
1999,NUTS,2010,CY,0,10.59
2000,NUTS,2010,CY,0,11.413
2001,NUTS,2010,CY,0,12.492
2002,NUTS,2010,CY,0,13.775
2003,NUTS,2010,CY,0,15.586
2004,NUTS,2010,CY,0,16.895
2005,NUTS,2010,CY,0,17.564
2006,NUTS,2010,CY,0,17.866
2007,NUTS,2010,CY,0,16.993
2008,NUTS,2010,CY,0,16.809
2009,NUTS,2010,CY,0,16.942
2010,NUTS,2010,CY,0,16.891
2011,NUTS,2010,CY,0,14.731
2012,NUTS,2010,CY,0,13.696
2013,NUTS,2010,CY,0,12.318
2014,NUTS,2010,CY,0,12.351
2015,NUTS,2010,CY,0,11.075
2016,NUTS,2010,CY,0,10.469
2017,NUTS,2010,CY,0,11.013
2018,NUTS,2010,CY,0,11.144
2019,NUTS,2010,CY,0,12.199
2020,NUTS,2010,CY,0,12.2
1991,NUTS,2010,CY0,1,6.977
1992,NUTS,2010,CY0,1,8.001
1998,NUTS,2010,CY0,1,10.443
1999,NUTS,2010,CY0,1,10.59
2000,NUTS,2010,CY0,1,11.413
2001,NUTS,2010,CY0,1,12.492
2002,NUTS,2010,CY0,1,13.775
2003,NUTS,2010,CY0,1,15.586
2004,NUTS,2010,CY0,1,16.895
2005,NUTS,2010,CY0,1,17.564
2006,NUTS,2010,CY0,1,17.866
2007,NUTS,2010,CY0,1,16.993
2008,NUTS,2010,CY0,1,16.809
2009,NUTS,2010,CY0,1,16.942
2010,NUTS,2010,CY0,1,16.891
2011,NUTS,2010,CY0,1,14.731
2012,NUTS,2010,CY0,1,13.696
2013,NUTS,2010,CY0,1,12.318
2014,NUTS,2010,CY0,1,12.351
2015,NUTS,2010,CY0,1,11.075
2016,NUTS,2010,CY0,1,10.469
2017,NUTS,2010,CY0,1,11.013
2018,NUTS,2010,CY0,1,11.144
2019,NUTS,2010,CY0,1,12.199
2020,NUTS,2010,CY0,1,12.2
1991,NUTS,2010,CY00,2,6.977
1992,NUTS,2010,CY00,2,8.001
1998,NUTS,2010,CY00,2,10.443
1999,NUTS,2010,CY00,2,10.59
2000,NUTS,2010,CY00,2,11.413
2001,NUTS,2010,CY00,2,12.492
2002,NUTS,2010,CY00,2,13.775
