year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_total_fte_gov
1995,NUTS,2010,DEB1,2,86.0
1996,NUTS,2010,DEB1,2,98.0
1997,NUTS,2010,DEB1,2,82.0
1998,NUTS,2010,DEB1,2,81.0
1999,NUTS,2010,DEB1,2,82.0
2000,NUTS,2010,DEB1,2,88.0
2003,NUTS,2010,DEB1,2,90.0
2004,NUTS,2010,DEB1,2,89.0
2005,NUTS,2010,DEB1,2,91.0
2006,NUTS,2010,DEB1,2,139.0
2007,NUTS,2010,DEB1,2,136.0
2008,NUTS,2010,DEB1,2,141.0
2009,NUTS,2010,DEB1,2,147.0
2010,NUTS,2010,DEB1,2,155.0
2011,NUTS,2010,DEB1,2,157.0
2012,NUTS,2010,DEB1,2,154.0
2013,NUTS,2010,DEB1,2,233.0
2014,NUTS,2010,DEB1,2,211.0
2015,NUTS,2010,DEB1,2,195.0
2016,NUTS,2010,DEB1,2,215.0
2017,NUTS,2010,DEB1,2,211.0
2018,NUTS,2010,DEB1,2,224.0
2019,NUTS,2010,DEB1,2,248.0
1995,NUTS,2010,DEB2,2,133.0
1996,NUTS,2010,DEB2,2,137.0
1997,NUTS,2010,DEB2,2,134.0
1998,NUTS,2010,DEB2,2,174.0
1999,NUTS,2010,DEB2,2,105.0
2000,NUTS,2010,DEB2,2,155.0
2003,NUTS,2010,DEB2,2,82.0
2004,NUTS,2010,DEB2,2,89.0
2005,NUTS,2010,DEB2,2,78.0
2006,NUTS,2010,DEB2,2,79.0
2007,NUTS,2010,DEB2,2,91.0
2008,NUTS,2010,DEB2,2,106.0
2009,NUTS,2010,DEB2,2,176.0
2010,NUTS,2010,DEB2,2,111.0
2011,NUTS,2010,DEB2,2,113.0
2012,NUTS,2010,DEB2,2,130.0
2013,NUTS,2010,DEB2,2,42.0
2014,NUTS,2010,DEB2,2,39.0
2015,NUTS,2010,DEB2,2,33.0
2016,NUTS,2010,DEB2,2,36.0
2017,NUTS,2010,DEB2,2,35.0
2018,NUTS,2010,DEB2,2,41.0
2019,NUTS,2010,DEB2,2,75.0
1995,NUTS,2010,DEB3,2,924.0
1996,NUTS,2010,DEB3,2,1033.0
1997,NUTS,2010,DEB3,2,1125.0
1998,NUTS,2010,DEB3,2,1390.0
1999,NUTS,2010,DEB3,2,1171.0
2000,NUTS,2010,DEB3,2,1142.0
2003,NUTS,2010,DEB3,2,1059.0
2004,NUTS,2010,DEB3,2,1376.0
2005,NUTS,2010,DEB3,2,1142.0
2006,NUTS,2010,DEB3,2,1297.0
2007,NUTS,2010,DEB3,2,1450.0
2008,NUTS,2010,DEB3,2,1519.0
2009,NUTS,2010,DEB3,2,1590.0
2010,NUTS,2010,DEB3,2,1644.0
2011,NUTS,2010,DEB3,2,1709.0
2012,NUTS,2010,DEB3,2,1677.0
2013,NUTS,2010,DEB3,2,1635.0
2014,NUTS,2010,DEB3,2,1699.0
2015,NUTS,2010,DEB3,2,1829.0
2016,NUTS,2010,DEB3,2,1972.0
2017,NUTS,2010,DEB3,2,2125.0
2018,NUTS,2010,DEB3,2,2174.0
2019,NUTS,2010,DEB3,2,2313.0
1987,NUTS,2010,DEC,1,126.0
1989,NUTS,2010,DEC,1,163.0
1991,NUTS,2010,DEC,1,275.0
1993,NUTS,2010,DEC,1,390.0
1994,NUTS,2010,DEC,1,453.0
1995,NUTS,2010,DEC,1,435.0
1996,NUTS,2010,DEC,1,503.0
1997,NUTS,2010,DEC,1,571.0
1998,NUTS,2010,DEC,1,537.0
1999,NUTS,2010,DEC,1,514.0
2000,NUTS,2010,DEC,1,543.0
2003,NUTS,2010,DEC,1,622.0
2004,NUTS,2010,DEC,1,684.0
2005,NUTS,2010,DEC,1,679.0
2006,NUTS,2010,DEC,1,688.0
2007,NUTS,2010,DEC,1,883.0
2008,NUTS,2010,DEC,1,912.0
2009,NUTS,2010,DEC,1,950.0
2010,NUTS,2010,DEC,1,945.0
2011,NUTS,2010,DEC,1,1017.0
2012,NUTS,2010,DEC,1,1086.0
2013,NUTS,2010,DEC,1,1095.0
2014,NUTS,2010,DEC,1,1074.0
2015,NUTS,2010,DEC,1,1160.0
2016,NUTS,2010,DEC,1,1176.0
2017,NUTS,2010,DEC,1,1118.0
2018,NUTS,2010,DEC,1,1133.0
2019,NUTS,2010,DEC,1,1391.0
1987,NUTS,2010,DEC0,2,126.0
1989,NUTS,2010,DEC0,2,163.0
1991,NUTS,2010,DEC0,2,275.0
1993,NUTS,2010,DEC0,2,390.0
1994,NUTS,2010,DEC0,2,453.0
1995,NUTS,2010,DEC0,2,435.0
1996,NUTS,2010,DEC0,2,503.0
1997,NUTS,2010,DEC0,2,571.0
1998,NUTS,2010,DEC0,2,537.0
1999,NUTS,2010,DEC0,2,514.0
2000,NUTS,2010,DEC0,2,543.0
2003,NUTS,2010,DEC0,2,622.0
2004,NUTS,2010,DEC0,2,684.0
2005,NUTS,2010,DEC0,2,679.0
2006,NUTS,2010,DEC0,2,688.0
2007,NUTS,2010,DEC0,2,883.0
2008,NUTS,2010,DEC0,2,912.0
2009,NUTS,2010,DEC0,2,950.0
2010,NUTS,2010,DEC0,2,945.0
2011,NUTS,2010,DEC0,2,1017.0
2012,NUTS,2010,DEC0,2,1086.0
2013,NUTS,2010,DEC0,2,1095.0
2014,NUTS,2010,DEC0,2,1074.0
2015,NUTS,2010,DEC0,2,1160.0
2016,NUTS,2010,DEC0,2,1176.0
2017,NUTS,2010,DEC0,2,1118.0
2018,NUTS,2010,DEC0,2,1133.0
2019,NUTS,2010,DEC0,2,1391.0
1993,NUTS,2010,DED,1,3437.0
1994,NUTS,2010,DED,1,3563.0
1995,NUTS,2010,DED,1,3863.0
1996,NUTS,2010,DED,1,3952.0
1997,NUTS,2010,DED,1,4083.0
1998,NUTS,2010,DED,1,4250.0
1999,NUTS,2010,DED,1,4427.0
2000,NUTS,2010,DED,1,4302.0
2003,NUTS,2010,DED,1,5005.0
2004,NUTS,2010,DED,1,4788.0
2005,NUTS,2010,DED,1,4864.0
2006,NUTS,2010,DED,1,5227.0
2007,NUTS,2010,DED,1,5590.0
2008,NUTS,2010,DED,1,6037.0
2009,NUTS,2010,DED,1,6116.0
2010,NUTS,2010,DED,1,6640.0
2011,NUTS,2010,DED,1,7051.0
2012,NUTS,2010,DED,1,7232.0
2013,NUTS,2010,DED,1,7348.0
2014,NUTS,2010,DED,1,7338.0
2015,NUTS,2010,DED,1,7530.0
2016,NUTS,2010,DED,1,7628.0
2017,NUTS,2010,DED,1,7903.0
2018,NUTS,2010,DED,1,8172.0
2019,NUTS,2010,DED,1,8485.0
1998,NUTS,2010,DED2,2,2483.0
1999,NUTS,2010,DED2,2,2616.0
2000,NUTS,2010,DED2,2,2607.0
2003,NUTS,2010,DED2,2,2953.0
2004,NUTS,2010,DED2,2,2593.0
2005,NUTS,2010,DED2,2,2817.0
2006,NUTS,2010,DED2,2,2979.0
2007,NUTS,2010,DED2,2,3250.0
2008,NUTS,2010,DED2,2,3536.0
2009,NUTS,2010,DED2,2,3500.0
2010,NUTS,2010,DED2,2,3912.0
2011,NUTS,2010,DED2,2,4200.0
2012,NUTS,2010,DED2,2,4292.0
2013,NUTS,2010,DED2,2,2205.0
2014,NUTS,2010,DED2,2,4392.0
2015,NUTS,2010,DED2,2,4387.0
2016,NUTS,2010,DED2,2,4433.0
2017,NUTS,2010,DED2,2,4543.0
2018,NUTS,2010,DED2,2,4668.0
2019,NUTS,2010,DED2,2,4847.0
2008,NUTS,2010,DED4,2,574.0
2009,NUTS,2010,DED4,2,616.0
2010,NUTS,2010,DED4,2,649.0
2011,NUTS,2010,DED4,2,684.0
2012,NUTS,2010,DED4,2,751.0
2013,NUTS,2010,DED4,2,3479.0
2014,NUTS,2010,DED4,2,828.0
2015,NUTS,2010,DED4,2,900.0
2016,NUTS,2010,DED4,2,891.0
2017,NUTS,2010,DED4,2,911.0
2018,NUTS,2010,DED4,2,952.0
2019,NUTS,2010,DED4,2,989.0
2008,NUTS,2010,DED5,2,1928.0
2009,NUTS,2010,DED5,2,2000.0
2010,NUTS,2010,DED5,2,2079.0
2011,NUTS,2010,DED5,2,2167.0
2012,NUTS,2010,DED5,2,2188.0
2013,NUTS,2010,DED5,2,1664.0
2014,NUTS,2010,DED5,2,2118.0
2015,NUTS,2010,DED5,2,2243.0
2016,NUTS,2010,DED5,2,2303.0
2017,NUTS,2010,DED5,2,2448.0
2018,NUTS,2010,DED5,2,2552.0
2019,NUTS,2010,DED5,2,2650.0
1993,NUTS,2010,DEE,1,1324.0
1994,NUTS,2010,DEE,1,1341.0
1995,NUTS,2010,DEE,1,1548.0
1996,NUTS,2010,DEE,1,1577.0
1997,NUTS,2010,DEE,1,1589.0
1998,NUTS,2010,DEE,1,1701.0
1999,NUTS,2010,DEE,1,1661.0
2000,NUTS,2010,DEE,1,1744.0
2003,NUTS,2010,DEE,1,1961.0
2004,NUTS,2010,DEE,1,1846.0
2005,NUTS,2010,DEE,1,1781.0
2006,NUTS,2010,DEE,1,1987.0
2007,NUTS,2010,DEE,1,2062.0
2008,NUTS,2010,DEE,1,2054.0
2009,NUTS,2010,DEE,1,2294.0
2010,NUTS,2010,DEE,1,2366.0
2011,NUTS,2010,DEE,1,2348.0
2012,NUTS,2010,DEE,1,2506.0
2013,NUTS,2010,DEE,1,2544.0
2014,NUTS,2010,DEE,1,2614.0
2015,NUTS,2010,DEE,1,2588.0
2016,NUTS,2010,DEE,1,2572.0
2017,NUTS,2010,DEE,1,2705.0
2018,NUTS,2010,DEE,1,2796.0
2019,NUTS,2010,DEE,1,2774.0
1993,NUTS,2010,DEE0,2,1324.0
1994,NUTS,2010,DEE0,2,1341.0
1995,NUTS,2010,DEE0,2,1548.0
1996,NUTS,2010,DEE0,2,1577.0
1997,NUTS,2010,DEE0,2,1589.0
1998,NUTS,2010,DEE0,2,1701.0
1999,NUTS,2010,DEE0,2,1661.0
2000,NUTS,2010,DEE0,2,1744.0
2003,NUTS,2010,DEE0,2,1961.0
2004,NUTS,2010,DEE0,2,1846.0
2005,NUTS,2010,DEE0,2,1781.0
2006,NUTS,2010,DEE0,2,1987.0
2007,NUTS,2010,DEE0,2,2062.0
2008,NUTS,2010,DEE0,2,2054.0
2009,NUTS,2010,DEE0,2,2294.0
2010,NUTS,2010,DEE0,2,2366.0
2011,NUTS,2010,DEE0,2,2348.0
2012,NUTS,2010,DEE0,2,2506.0
2013,NUTS,2010,DEE0,2,2544.0
2014,NUTS,2010,DEE0,2,2614.0
2015,NUTS,2010,DEE0,2,2588.0
2016,NUTS,2010,DEE0,2,2572.0
2017,NUTS,2010,DEE0,2,2705.0
2018,NUTS,2010,DEE0,2,2796.0
2019,NUTS,2010,DEE0,2,2774.0
1987,NUTS,2010,DEF,1,2070.0
1989,NUTS,2010,DEF,1,2095.0
1991,NUTS,2010,DEF,1,2141.0
1993,NUTS,2010,DEF,1,2182.0
1994,NUTS,2010,DEF,1,2201.0
1995,NUTS,2010,DEF,1,2362.0
1996,NUTS,2010,DEF,1,2238.0
1997,NUTS,2010,DEF,1,2414.0
1998,NUTS,2010,DEF,1,2351.0
1999,NUTS,2010,DEF,1,2351.0
2000,NUTS,2010,DEF,1,2210.0
2003,NUTS,2010,DEF,1,2098.0
2004,NUTS,2010,DEF,1,2243.0
2005,NUTS,2010,DEF,1,2227.0
2006,NUTS,2010,DEF,1,2218.0
2007,NUTS,2010,DEF,1,2145.0
2008,NUTS,2010,DEF,1,2236.0
2009,NUTS,2010,DEF,1,2392.0
2010,NUTS,2010,DEF,1,2404.0
2011,NUTS,2010,DEF,1,2385.0
2012,NUTS,2010,DEF,1,2564.0
2013,NUTS,2010,DEF,1,2665.0
2014,NUTS,2010,DEF,1,2815.0
2015,NUTS,2010,DEF,1,2530.0
2016,NUTS,2010,DEF,1,2525.0
2017,NUTS,2010,DEF,1,2701.0
2018,NUTS,2010,DEF,1,2714.0
2019,NUTS,2010,DEF,1,2768.0
1987,NUTS,2010,DEF0,2,2070.0
1989,NUTS,2010,DEF0,2,2095.0
1991,NUTS,2010,DEF0,2,2141.0
1993,NUTS,2010,DEF0,2,2182.0
1994,NUTS,2010,DEF0,2,2201.0
1995,NUTS,2010,DEF0,2,2362.0
1996,NUTS,2010,DEF0,2,2238.0
1997,NUTS,2010,DEF0,2,2414.0
1998,NUTS,2010,DEF0,2,2351.0
1999,NUTS,2010,DEF0,2,2351.0
2000,NUTS,2010,DEF0,2,2210.0
2003,NUTS,2010,DEF0,2,2098.0
2004,NUTS,2010,DEF0,2,2243.0
2005,NUTS,2010,DEF0,2,2227.0
2006,NUTS,2010,DEF0,2,2218.0
2007,NUTS,2010,DEF0,2,2145.0
2008,NUTS,2010,DEF0,2,2236.0
2009,NUTS,2010,DEF0,2,2392.0
2010,NUTS,2010,DEF0,2,2404.0
2011,NUTS,2010,DEF0,2,2385.0
2012,NUTS,2010,DEF0,2,2564.0
2013,NUTS,2010,DEF0,2,2665.0
2014,NUTS,2010,DEF0,2,2815.0
2015,NUTS,2010,DEF0,2,2530.0
2016,NUTS,2010,DEF0,2,2525.0
2017,NUTS,2010,DEF0,2,2701.0
2018,NUTS,2010,DEF0,2,2714.0
2019,NUTS,2010,DEF0,2,2768.0
1993,NUTS,2010,DEG,1,1250.0
1994,NUTS,2010,DEG,1,1389.0
1995,NUTS,2010,DEG,1,1395.0
1996,NUTS,2010,DEG,1,1498.0
1997,NUTS,2010,DEG,1,1524.0
1998,NUTS,2010,DEG,1,1644.0
1999,NUTS,2010,DEG,1,1569.0
2000,NUTS,2010,DEG,1,1685.0
2003,NUTS,2010,DEG,1,1922.0
2004,NUTS,2010,DEG,1,1945.0
2005,NUTS,2010,DEG,1,2009.0
2006,NUTS,2010,DEG,1,2057.0
2007,NUTS,2010,DEG,1,2122.0
2008,NUTS,2010,DEG,1,2277.0
2009,NUTS,2010,DEG,1,2281.0
2010,NUTS,2010,DEG,1,2282.0
2011,NUTS,2010,DEG,1,2461.0
2012,NUTS,2010,DEG,1,2473.0
2013,NUTS,2010,DEG,1,2491.0
2014,NUTS,2010,DEG,1,2485.0
2015,NUTS,2010,DEG,1,2450.0
2016,NUTS,2010,DEG,1,2386.0
2017,NUTS,2010,DEG,1,2461.0
2018,NUTS,2010,DEG,1,2611.0
2019,NUTS,2010,DEG,1,2592.0
1993,NUTS,2010,DEG0,2,1250.0
1994,NUTS,2010,DEG0,2,1389.0
1995,NUTS,2010,DEG0,2,1395.0
1996,NUTS,2010,DEG0,2,1498.0
1997,NUTS,2010,DEG0,2,1524.0
1998,NUTS,2010,DEG0,2,1644.0
1999,NUTS,2010,DEG0,2,1569.0
2000,NUTS,2010,DEG0,2,1685.0
2003,NUTS,2010,DEG0,2,1922.0
2004,NUTS,2010,DEG0,2,1945.0
2005,NUTS,2010,DEG0,2,2009.0
2006,NUTS,2010,DEG0,2,2057.0
2007,NUTS,2010,DEG0,2,2122.0
2008,NUTS,2010,DEG0,2,2277.0
2009,NUTS,2010,DEG0,2,2281.0
2010,NUTS,2010,DEG0,2,2282.0
2011,NUTS,2010,DEG0,2,2461.0
2012,NUTS,2010,DEG0,2,2473.0
2013,NUTS,2010,DEG0,2,2491.0
2014,NUTS,2010,DEG0,2,2485.0
2015,NUTS,2010,DEG0,2,2450.0
2016,NUTS,2010,DEG0,2,2386.0
2017,NUTS,2010,DEG0,2,2461.0
2018,NUTS,2010,DEG0,2,2611.0
2019,NUTS,2010,DEG0,2,2592.0
1987,NUTS,2010,DEZ,1,2657.0
1989,NUTS,2010,DEZ,1,2667.0
1991,NUTS,2010,DEZ,1,37614.0
1993,NUTS,2010,DEZ,1,498.0
1994,NUTS,2010,DEZ,1,245.0
1995,NUTS,2010,DEZ,1,331.0
1996,NUTS,2010,DEZ,1,355.0
1997,NUTS,2010,DEZ,1,375.0
1998,NUTS,2010,DEZ,1,219.0
1999,NUTS,2010,DEZ,1,355.0
2000,NUTS,2010,DEZ,1,366.0
2003,NUTS,2010,DEZ,1,329.0
2004,NUTS,2010,DEZ,1,421.0
2005,NUTS,2010,DEZ,1,356.0
2006,NUTS,2010,DEZ,1,381.0
2007,NUTS,2010,DEZ,1,391.0
2008,NUTS,2010,DEZ,1,374.0
2009,NUTS,2010,DEZ,1,400.0
2010,NUTS,2010,DEZ,1,423.0
2011,NUTS,2010,DEZ,1,428.0
2012,NUTS,2010,DEZ,1,453.0
2013,NUTS,2010,DEZ,1,432.0
2014,NUTS,2010,DEZ,1,435.0
2015,NUTS,2010,DEZ,1,416.0
2016,NUTS,2010,DEZ,1,440.0
2017,NUTS,2010,DEZ,1,436.0
2018,NUTS,2010,DEZ,1,485.0
2019,NUTS,2010,DEZ,1,493.0
1987,NUTS,2010,DEZZ,2,2657.0
1989,NUTS,2010,DEZZ,2,2667.0
1991,NUTS,2010,DEZZ,2,37614.0
1993,NUTS,2010,DEZZ,2,498.0
1994,NUTS,2010,DEZZ,2,245.0
1995,NUTS,2010,DEZZ,2,331.0
1996,NUTS,2010,DEZZ,2,355.0
1997,NUTS,2010,DEZZ,2,375.0
1998,NUTS,2010,DEZZ,2,219.0
1999,NUTS,2010,DEZZ,2,355.0
2000,NUTS,2010,DEZZ,2,366.0
2003,NUTS,2010,DEZZ,2,329.0
2004,NUTS,2010,DEZZ,2,421.0
2005,NUTS,2010,DEZZ,2,356.0
2006,NUTS,2010,DEZZ,2,381.0
2007,NUTS,2010,DEZZ,2,391.0
2008,NUTS,2010,DEZZ,2,374.0
2009,NUTS,2010,DEZZ,2,400.0
2010,NUTS,2010,DEZZ,2,423.0
2011,NUTS,2010,DEZZ,2,428.0
2012,NUTS,2010,DEZZ,2,453.0
2013,NUTS,2010,DEZZ,2,432.0
2014,NUTS,2010,DEZZ,2,435.0
2015,NUTS,2010,DEZZ,2,416.0
2016,NUTS,2010,DEZZ,2,440.0
2017,NUTS,2010,DEZZ,2,436.0
2018,NUTS,2010,DEZZ,2,485.0
2019,NUTS,2010,DEZZ,2,493.0
1981,NUTS,2010,DK,0,3420.0
1982,NUTS,2010,DK,0,3545.0
1983,NUTS,2010,DK,0,3763.0
1984,NUTS,2010,DK,0,3981.0
1985,NUTS,2010,DK,0,4199.0
1986,NUTS,2010,DK,0,4194.0
1987,NUTS,2010,DK,0,4188.0
1988,NUTS,2010,DK,0,4306.0
1989,NUTS,2010,DK,0,4423.0
1990,NUTS,2010,DK,0,4402.0
1991,NUTS,2010,DK,0,4380.0
1992,NUTS,2010,DK,0,4648.0
1993,NUTS,2010,DK,0,4915.0
1995,NUTS,2010,DK,0,5439.0
1996,NUTS,2010,DK,0,5506.0
1997,NUTS,2010,DK,0,5675.0
1998,NUTS,2010,DK,0,5853.0
1999,NUTS,2010,DK,0,6236.0
2000,NUTS,2010,DK,0,5715.0
2001,NUTS,2010,DK,0,5488.0
2002,NUTS,2010,DK,0,3384.0
2003,NUTS,2010,DK,0,3439.0
2004,NUTS,2010,DK,0,3250.0
2005,NUTS,2010,DK,0,3240.0
2006,NUTS,2010,DK,0,3273.0
2007,NUTS,2010,DK,0,1711.0
2008,NUTS,2010,DK,0,1544.0
2009,NUTS,2010,DK,0,1456.0
2010,NUTS,2010,DK,0,1563.0
2011,NUTS,2010,DK,0,1511.0
2012,NUTS,2010,DK,0,1543.0
2013,NUTS,2010,DK,0,1544.0
2014,NUTS,2010,DK,0,1686.0
2015,NUTS,2010,DK,0,1792.0
2016,NUTS,2010,DK,0,1721.0
2017,NUTS,2010,DK,0,2185.0
2018,NUTS,2010,DK,0,2212.0
2019,NUTS,2010,DK,0,2187.0
2020,NUTS,2010,DK,0,2199.0
1981,NUTS,2010,DK0,1,3420.0
1982,NUTS,2010,DK0,1,3545.0
1983,NUTS,2010,DK0,1,3763.0
1984,NUTS,2010,DK0,1,3981.0
1985,NUTS,2010,DK0,1,4199.0
1986,NUTS,2010,DK0,1,4194.0
1987,NUTS,2010,DK0,1,4188.0
1988,NUTS,2010,DK0,1,4306.0
1989,NUTS,2010,DK0,1,4423.0
1990,NUTS,2010,DK0,1,4402.0
1991,NUTS,2010,DK0,1,4380.0
1992,NUTS,2010,DK0,1,4648.0
1993,NUTS,2010,DK0,1,4915.0
1995,NUTS,2010,DK0,1,5439.0
1996,NUTS,2010,DK0,1,5506.0
1997,NUTS,2010,DK0,1,5675.0
1998,NUTS,2010,DK0,1,5853.0
1999,NUTS,2010,DK0,1,6236.0
2000,NUTS,2010,DK0,1,5715.0
2001,NUTS,2010,DK0,1,5576.0
2002,NUTS,2010,DK0,1,3384.0
2003,NUTS,2010,DK0,1,3448.0
2004,NUTS,2010,DK0,1,3070.0
2007,NUTS,2010,DK0,1,1711.0
2009,NUTS,2010,DK0,1,1459.0
2010,NUTS,2010,DK0,1,1563.0
2011,NUTS,2010,DK0,1,1581.0
2012,NUTS,2010,DK0,1,1543.0
2013,NUTS,2010,DK0,1,1544.0
2014,NUTS,2010,DK0,1,1686.0
2015,NUTS,2010,DK0,1,1792.0
2016,NUTS,2010,DK0,1,1721.0
2017,NUTS,2010,DK0,1,2185.0
2018,NUTS,2010,DK0,1,2212.0
2019,NUTS,2010,DK0,1,2187.0
2007,NUTS,2010,DK01,2,1236.0
2009,NUTS,2010,DK01,2,927.0
2010,NUTS,2010,DK01,2,979.0
2011,NUTS,2010,DK01,2,981.0
2012,NUTS,2010,DK01,2,891.0
2013,NUTS,2010,DK01,2,811.0
2014,NUTS,2010,DK01,2,847.0
2015,NUTS,2010,DK01,2,818.0
2016,NUTS,2010,DK01,2,759.0
2017,NUTS,2010,DK01,2,1298.0
2019,NUTS,2010,DK01,2,1341.0
2007,NUTS,2010,DK02,2,71.0
2009,NUTS,2010,DK02,2,112.0
2010,NUTS,2010,DK02,2,95.0
2011,NUTS,2010,DK02,2,120.0
2012,NUTS,2010,DK02,2,116.0
2013,NUTS,2010,DK02,2,143.0
2014,NUTS,2010,DK02,2,212.0
2015,NUTS,2010,DK02,2,260.0
2016,NUTS,2010,DK02,2,157.0
2017,NUTS,2010,DK02,2,203.0
2019,NUTS,2010,DK02,2,199.0
2007,NUTS,2010,DK03,2,55.0
2009,NUTS,2010,DK03,2,210.0
2010,NUTS,2010,DK03,2,253.0
2011,NUTS,2010,DK03,2,219.0
2012,NUTS,2010,DK03,2,185.0
2013,NUTS,2010,DK03,2,197.0
2014,NUTS,2010,DK03,2,229.0
2015,NUTS,2010,DK03,2,251.0
2016,NUTS,2010,DK03,2,294.0
2017,NUTS,2010,DK03,2,53.0
2019,NUTS,2010,DK03,2,51.0
2007,NUTS,2010,DK04,2,152.0
2009,NUTS,2010,DK04,2,196.0
2010,NUTS,2010,DK04,2,219.0
2011,NUTS,2010,DK04,2,246.0
2012,NUTS,2010,DK04,2,331.0
2013,NUTS,2010,DK04,2,360.0
2014,NUTS,2010,DK04,2,367.0
2015,NUTS,2010,DK04,2,432.0
2016,NUTS,2010,DK04,2,477.0
2017,NUTS,2010,DK04,2,383.0
2019,NUTS,2010,DK04,2,329.0
2007,NUTS,2010,DK05,2,197.0
2009,NUTS,2010,DK05,2,14.0
2010,NUTS,2010,DK05,2,17.0
2011,NUTS,2010,DK05,2,15.0
2012,NUTS,2010,DK05,2,20.0
2013,NUTS,2010,DK05,2,33.0
2014,NUTS,2010,DK05,2,30.0
2015,NUTS,2010,DK05,2,31.0
2016,NUTS,2010,DK05,2,33.0
2017,NUTS,2010,DK05,2,249.0
2019,NUTS,2010,DK05,2,268.0
2000,NUTS,2010,EA19,2,230562.0
2001,NUTS,2010,EA19,2,226188.0
2002,NUTS,2010,EA19,2,224390.0
2003,NUTS,2010,EA19,2,228754.0
2004,NUTS,2010,EA19,2,231940.0
2005,NUTS,2010,EA19,2,238975.0
2006,NUTS,2010,EA19,2,248785.0
2007,NUTS,2010,EA19,2,254595.0
2008,NUTS,2010,EA19,2,262275.0
2009,NUTS,2010,EA19,2,270082.0
2010,NUTS,2010,EA19,2,272771.0
2011,NUTS,2010,EA19,2,274949.0
2012,NUTS,2010,EA19,2,279035.0
2013,NUTS,2010,EA19,2,275510.0
2014,NUTS,2010,EA19,2,277551.0
2015,NUTS,2010,EA19,2,280421.0
2016,NUTS,2010,EA19,2,282898.0
2017,NUTS,2010,EA19,2,286773.0
2018,NUTS,2010,EA19,2,294078.0
2019,NUTS,2010,EA19,2,299728.0
2020,NUTS,2010,EA19,2,303351.0
1995,NUTS,2010,EE,0,2802.0
1996,NUTS,2010,EE,0,2177.0
1997,NUTS,2010,EE,0,1215.0
1998,NUTS,2010,EE,0,1069.0
1999,NUTS,2010,EE,0,1005.0
2000,NUTS,2010,EE,0,948.0
2001,NUTS,2010,EE,0,750.0
2002,NUTS,2010,EE,0,793.0
2003,NUTS,2010,EE,0,829.0
2004,NUTS,2010,EE,0,810.0
2005,NUTS,2010,EE,0,696.0
2006,NUTS,2010,EE,0,714.0
2007,NUTS,2010,EE,0,782.0
2008,NUTS,2010,EE,0,747.0
2009,NUTS,2010,EE,0,718.0
2010,NUTS,2010,EE,0,772.0
2011,NUTS,2010,EE,0,776.0
2012,NUTS,2010,EE,0,774.0
2013,NUTS,2010,EE,0,851.0
2014,NUTS,2010,EE,0,800.0
2015,NUTS,2010,EE,0,782.0
2016,NUTS,2010,EE,0,770.0
2017,NUTS,2010,EE,0,847.0
2018,NUTS,2010,EE,0,680.0
2019,NUTS,2010,EE,0,705.0
2020,NUTS,2010,EE,0,788.0
1983,NUTS,2010,EL,0,3688.0
1987,NUTS,2010,EL,0,4564.0
1989,NUTS,2010,EL,0,4710.0
1991,NUTS,2010,EL,0,4495.0
1993,NUTS,2010,EL,0,4828.0
1995,NUTS,2010,EL,0,4908.0
1997,NUTS,2010,EL,0,4481.0
1999,NUTS,2010,EL,0,4431.0
2001,NUTS,2010,EL,0,4715.0
2003,NUTS,2010,EL,0,5101.0
2005,NUTS,2010,EL,0,4345.0
2006,NUTS,2010,EL,0,4578.0
2007,NUTS,2010,EL,0,4584.0
2011,NUTS,2010,EL,0,9620.0
2012,NUTS,2010,EL,0,9982.0
2013,NUTS,2010,EL,0,11436.0
2014,NUTS,2010,EL,0,11125.0
2015,NUTS,2010,EL,0,13628.0
2016,NUTS,2010,EL,0,11750.0
2017,NUTS,2010,EL,0,12074.0
2018,NUTS,2010,EL,0,13350.0
2019,NUTS,2010,EL,0,13896.0
2020,NUTS,2010,EL,0,14144.0
1989,NUTS,2010,EL3,1,2482.0
1991,NUTS,2010,EL3,1,2518.0
1993,NUTS,2010,EL3,1,2546.0
1995,NUTS,2010,EL3,1,2490.0
1997,NUTS,2010,EL3,1,2448.0
1999,NUTS,2010,EL3,1,2692.0
2001,NUTS,2010,EL3,1,2843.0
2003,NUTS,2010,EL3,1,3208.0
2005,NUTS,2010,EL3,1,2713.0
2011,NUTS,2010,EL3,1,4515.0
2013,NUTS,2010,EL3,1,5510.0
2015,NUTS,2010,EL3,1,6401.0
2017,NUTS,2010,EL3,1,6294.0
2019,NUTS,2010,EL3,1,7457.0
1989,NUTS,2010,EL30,2,2482.0
1991,NUTS,2010,EL30,2,2518.0
1993,NUTS,2010,EL30,2,2546.0
1995,NUTS,2010,EL30,2,2490.0
1997,NUTS,2010,EL30,2,2448.0
1999,NUTS,2010,EL30,2,2692.0
2001,NUTS,2010,EL30,2,2843.0
2003,NUTS,2010,EL30,2,3208.0
2005,NUTS,2010,EL30,2,2713.0
2011,NUTS,2010,EL30,2,4515.0
2013,NUTS,2010,EL30,2,5510.0
2015,NUTS,2010,EL30,2,6401.0
2017,NUTS,2010,EL30,2,6294.0
2019,NUTS,2010,EL30,2,7457.0
1989,NUTS,2010,EL4,1,520.0
1991,NUTS,2010,EL4,1,684.0
1993,NUTS,2010,EL4,1,916.0
1995,NUTS,2010,EL4,1,1132.0
1997,NUTS,2010,EL4,1,910.0
