year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_nac_pnp
1996,NUTS,2010,BE1,1,19.31
1997,NUTS,2010,BE1,1,20.14
1998,NUTS,2010,BE1,1,21.18
1999,NUTS,2010,BE1,1,21.8
2000,NUTS,2010,BE1,1,24.563
2001,NUTS,2010,BE1,1,26.998
2002,NUTS,2010,BE1,1,29.052
2003,NUTS,2010,BE1,1,28.867
2004,NUTS,2010,BE1,1,40.624
2005,NUTS,2010,BE1,1,34.714
2006,NUTS,2010,BE1,1,43.307
2007,NUTS,2010,BE1,1,39.748
2008,NUTS,2010,BE1,1,25.077
2009,NUTS,2010,BE1,1,26.326
2010,NUTS,2010,BE1,1,24.676
2011,NUTS,2010,BE1,1,28.238
2012,NUTS,2010,BE1,1,20.573
2013,NUTS,2010,BE1,1,19.7
2014,NUTS,2010,BE1,1,28.29
2015,NUTS,2010,BE1,1,33.411
2016,NUTS,2010,BE1,1,39.474
2017,NUTS,2010,BE1,1,39.09
2018,NUTS,2010,BE1,1,65.807
2019,NUTS,2010,BE1,1,76.661
1993,NUTS,2010,BE10,2,14.98
1994,NUTS,2010,BE10,2,16.55
1995,NUTS,2010,BE10,2,17.3
1996,NUTS,2010,BE10,2,19.31
1997,NUTS,2010,BE10,2,20.14
1998,NUTS,2010,BE10,2,21.18
1999,NUTS,2010,BE10,2,21.8
2000,NUTS,2010,BE10,2,24.563
2001,NUTS,2010,BE10,2,26.998
2002,NUTS,2010,BE10,2,29.052
2003,NUTS,2010,BE10,2,28.867
2004,NUTS,2010,BE10,2,40.624
2005,NUTS,2010,BE10,2,34.714
2006,NUTS,2010,BE10,2,43.307
2007,NUTS,2010,BE10,2,39.748
2008,NUTS,2010,BE10,2,25.077
2009,NUTS,2010,BE10,2,26.326
2010,NUTS,2010,BE10,2,24.676
2011,NUTS,2010,BE10,2,28.238
2012,NUTS,2010,BE10,2,20.573
2013,NUTS,2010,BE10,2,19.7
2014,NUTS,2010,BE10,2,28.29
2015,NUTS,2010,BE10,2,33.411
2016,NUTS,2010,BE10,2,39.474
2017,NUTS,2010,BE10,2,39.09
2018,NUTS,2010,BE10,2,65.807
2019,NUTS,2010,BE10,2,76.661
1993,NUTS,2010,BE2,1,29.08
1994,NUTS,2010,BE2,1,32.37
1995,NUTS,2010,BE2,1,31.07
1996,NUTS,2010,BE2,1,31.67
1997,NUTS,2010,BE2,1,32.05
1998,NUTS,2010,BE2,1,32.36
1999,NUTS,2010,BE2,1,32.72
2000,NUTS,2010,BE2,1,33.903
2001,NUTS,2010,BE2,1,34.928
2002,NUTS,2010,BE2,1,36.266
2003,NUTS,2010,BE2,1,36.225
2004,NUTS,2010,BE2,1,36.881
2005,NUTS,2010,BE2,1,38.125
2006,NUTS,2010,BE2,1,38.579
2007,NUTS,2010,BE2,1,40.038
2008,NUTS,2010,BE2,1,41.787
2009,NUTS,2010,BE2,1,42.828
2010,NUTS,2010,BE2,1,43.614
2011,NUTS,2010,BE2,1,45.197
2012,NUTS,2010,BE2,1,14.645
2013,NUTS,2010,BE2,1,14.464
2014,NUTS,2010,BE2,1,15.334
2015,NUTS,2010,BE2,1,22.104
2016,NUTS,2010,BE2,1,26.43
2017,NUTS,2010,BE2,1,27.16
2018,NUTS,2010,BE2,1,29.406
2019,NUTS,2010,BE2,1,36.759
1998,NUTS,2010,BE3,1,0.0
1999,NUTS,2010,BE3,1,0.0
2000,NUTS,2010,BE3,1,0.0
2001,NUTS,2010,BE3,1,0.0
2002,NUTS,2010,BE3,1,0.0
2003,NUTS,2010,BE3,1,0.0
2004,NUTS,2010,BE3,1,0.0
2005,NUTS,2010,BE3,1,0.0
2006,NUTS,2010,BE3,1,0.0
2007,NUTS,2010,BE3,1,0.0
2008,NUTS,2010,BE3,1,0.0
2009,NUTS,2010,BE3,1,0.0
2010,NUTS,2010,BE3,1,0.185
2011,NUTS,2010,BE3,1,0.149
2012,NUTS,2010,BE3,1,0.0
2013,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.08
2015,NUTS,2010,BE3,1,0.08
2016,NUTS,2010,BE3,1,0.125
2017,NUTS,2010,BE3,1,0.128
2018,NUTS,2010,BE3,1,0.135
2019,NUTS,2010,BE3,1,0.142
1989,NUTS,2010,BEZ,1,30.68
1991,NUTS,2010,BEZ,1,32.52
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
1989,NUTS,2010,BEZZ,2,30.68
1991,NUTS,2010,BEZZ,2,32.52
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1996,NUTS,2010,BG,0,0.036
1997,NUTS,2010,BG,0,0.604
1998,NUTS,2010,BG,0,0.873
1999,NUTS,2010,BG,0,0.14
2000,NUTS,2010,BG,0,0.225
2001,NUTS,2010,BG,0,0.228
2002,NUTS,2010,BG,0,0.054
2003,NUTS,2010,BG,0,0.44
2004,NUTS,2010,BG,0,1.0
2005,NUTS,2010,BG,0,2.472
2006,NUTS,2010,BG,0,2.048
2007,NUTS,2010,BG,0,1.972
2008,NUTS,2010,BG,0,3.42
2009,NUTS,2010,BG,0,2.746
2010,NUTS,2010,BG,0,2.827
2011,NUTS,2010,BG,0,2.937
2012,NUTS,2010,BG,0,7.043
2013,NUTS,2010,BG,0,3.129
2014,NUTS,2010,BG,0,5.028
2015,NUTS,2010,BG,0,4.656
2016,NUTS,2010,BG,0,2.2
2017,NUTS,2010,BG,0,6.459
2018,NUTS,2010,BG,0,4.839
2019,NUTS,2010,BG,0,6.296
2020,NUTS,2010,BG,0,6.873
2003,NUTS,2010,BG3,1,0.0
2004,NUTS,2010,BG3,1,0.013
2005,NUTS,2010,BG3,1,0.0
2006,NUTS,2010,BG3,1,0.0
2007,NUTS,2010,BG3,1,0.0
2009,NUTS,2010,BG3,1,0.03
2011,NUTS,2010,BG3,1,0.099
2012,NUTS,2010,BG3,1,0.031
2014,NUTS,2010,BG3,1,0.256
2015,NUTS,2010,BG3,1,0.246
2016,NUTS,2010,BG3,1,0.048
2017,NUTS,2010,BG3,1,0.164
2018,NUTS,2010,BG3,1,0.36
2019,NUTS,2010,BG3,1,0.127
2003,NUTS,2010,BG31,2,0.0
2004,NUTS,2010,BG31,2,0.013
2005,NUTS,2010,BG31,2,0.0
2006,NUTS,2010,BG31,2,0.0
2007,NUTS,2010,BG31,2,0.0
2008,NUTS,2010,BG31,2,0.0
2009,NUTS,2010,BG31,2,0.0
2010,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2002,NUTS,2010,BG32,2,0.0
2003,NUTS,2010,BG32,2,0.0
2004,NUTS,2010,BG32,2,0.0
2005,NUTS,2010,BG32,2,0.0
2006,NUTS,2010,BG32,2,0.0
2007,NUTS,2010,BG32,2,0.0
2008,NUTS,2010,BG32,2,0.0
2009,NUTS,2010,BG32,2,0.0
2010,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2002,NUTS,2010,BG33,2,0.0
2003,NUTS,2010,BG33,2,0.0
2004,NUTS,2010,BG33,2,0.0
2005,NUTS,2010,BG33,2,0.0
2006,NUTS,2010,BG33,2,0.0
2007,NUTS,2010,BG33,2,0.0
2008,NUTS,2010,BG33,2,0.0
2015,NUTS,2010,BG33,2,0.223
2002,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG34,2,0.0
2004,NUTS,2010,BG34,2,0.0
2005,NUTS,2010,BG34,2,0.0
2006,NUTS,2010,BG34,2,0.0
2007,NUTS,2010,BG34,2,0.0
2010,NUTS,2010,BG34,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG4,1,0.437
2004,NUTS,2010,BG4,1,0.52
2005,NUTS,2010,BG4,1,2.472
2006,NUTS,2010,BG4,1,2.048
2007,NUTS,2010,BG4,1,1.972
2009,NUTS,2010,BG4,1,2.716
2011,NUTS,2010,BG4,1,2.838
2012,NUTS,2010,BG4,1,7.012
2014,NUTS,2010,BG4,1,4.772
2015,NUTS,2010,BG4,1,4.41
2016,NUTS,2010,BG4,1,2.152
2017,NUTS,2010,BG4,1,6.295
2018,NUTS,2010,BG4,1,4.479
2019,NUTS,2010,BG4,1,6.169
1999,NUTS,2010,BG41,2,0.142
2000,NUTS,2010,BG41,2,0.225
2002,NUTS,2010,BG41,2,0.053
2003,NUTS,2010,BG41,2,0.437
2005,NUTS,2010,BG41,2,2.396
2008,NUTS,2010,BG41,2,3.383
2010,NUTS,2010,BG41,2,2.225
2012,NUTS,2010,BG41,2,6.79
2013,NUTS,2010,BG41,2,2.257
2014,NUTS,2010,BG41,2,4.667
2015,NUTS,2010,BG41,2,4.253
2016,NUTS,2010,BG41,2,1.017
2017,NUTS,2010,BG41,2,4.872
2018,NUTS,2010,BG41,2,3.033
2019,NUTS,2010,BG41,2,3.627
2003,NUTS,2010,BG42,2,0.0
2005,NUTS,2010,BG42,2,0.076
2012,NUTS,2010,BG42,2,0.222
2014,NUTS,2010,BG42,2,0.105
2015,NUTS,2010,BG42,2,0.157
2016,NUTS,2010,BG42,2,1.135
2017,NUTS,2010,BG42,2,1.423
2018,NUTS,2010,BG42,2,1.446
2019,NUTS,2010,BG42,2,2.542
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1983,NUTS,2010,CH,0,148.0
1986,NUTS,2010,CH,0,224.0
1989,NUTS,2010,CH,0,70.0
1992,NUTS,2010,CH,0,110.0
1996,NUTS,2010,CH,0,250.0
2000,NUTS,2010,CH,0,205.0
2004,NUTS,2010,CH,0,300.0
2008,NUTS,2010,CH,0,260.0
2012,NUTS,2010,CH,0,340.0
2015,NUTS,2010,CH,0,523.58
2017,NUTS,2010,CH,0,525.94
2019,NUTS,2010,CH,0,610.24
1983,NUTS,2010,CH0,1,148.0
1986,NUTS,2010,CH0,1,224.0
1989,NUTS,2010,CH0,1,70.0
1992,NUTS,2010,CH0,1,110.0
1996,NUTS,2010,CH0,1,250.0
2000,NUTS,2010,CH0,1,205.0
2004,NUTS,2010,CH0,1,300.0
2008,NUTS,2010,CH0,1,260.0
2012,NUTS,2010,CH0,1,340.0
2015,NUTS,2010,CH0,1,523.58
2017,NUTS,2010,CH0,1,525.94
2019,NUTS,2010,CH0,1,610.24
1991,NUTS,2010,CY,0,0.154
1992,NUTS,2010,CY,0,0.171
1998,NUTS,2010,CY,0,0.889
1999,NUTS,2010,CY,0,1.35
2000,NUTS,2010,CY,0,1.76
2001,NUTS,2010,CY,0,2.45
2002,NUTS,2010,CY,0,3.142
2003,NUTS,2010,CY,0,3.147
2004,NUTS,2010,CY,0,3.441
2005,NUTS,2010,CY,0,3.94
2006,NUTS,2010,CY,0,4.514
2007,NUTS,2010,CY,0,5.386
2008,NUTS,2010,CY,0,7.756
2009,NUTS,2010,CY,0,11.334
2010,NUTS,2010,CY,0,11.567
2011,NUTS,2010,CY,0,13.876
2012,NUTS,2010,CY,0,10.996
2013,NUTS,2010,CY,0,11.021
2014,NUTS,2010,CY,0,13.527
2015,NUTS,2010,CY,0,12.158
2016,NUTS,2010,CY,0,12.425
2017,NUTS,2010,CY,0,12.869
2018,NUTS,2010,CY,0,14.661
2019,NUTS,2010,CY,0,18.595
2020,NUTS,2010,CY,0,20.0
1991,NUTS,2010,CY0,1,0.154
1992,NUTS,2010,CY0,1,0.171
1998,NUTS,2010,CY0,1,0.889
1999,NUTS,2010,CY0,1,1.35
2000,NUTS,2010,CY0,1,1.76
2001,NUTS,2010,CY0,1,2.45
2002,NUTS,2010,CY0,1,3.142
2003,NUTS,2010,CY0,1,3.147
2004,NUTS,2010,CY0,1,3.441
2005,NUTS,2010,CY0,1,3.94
2006,NUTS,2010,CY0,1,4.514
2007,NUTS,2010,CY0,1,5.386
2008,NUTS,2010,CY0,1,7.756
2009,NUTS,2010,CY0,1,11.334
2010,NUTS,2010,CY0,1,11.567
2011,NUTS,2010,CY0,1,13.876
2012,NUTS,2010,CY0,1,10.996
2013,NUTS,2010,CY0,1,11.021
2014,NUTS,2010,CY0,1,13.527
2015,NUTS,2010,CY0,1,12.158
2016,NUTS,2010,CY0,1,12.425
2017,NUTS,2010,CY0,1,12.869
2018,NUTS,2010,CY0,1,14.661
2019,NUTS,2010,CY0,1,18.595
2020,NUTS,2010,CY0,1,20.0
1991,NUTS,2010,CY00,2,0.154
1992,NUTS,2010,CY00,2,0.171
1998,NUTS,2010,CY00,2,0.889
1999,NUTS,2010,CY00,2,1.35
2000,NUTS,2010,CY00,2,1.76
2001,NUTS,2010,CY00,2,2.45
2002,NUTS,2010,CY00,2,3.142
2003,NUTS,2010,CY00,2,3.147
2004,NUTS,2010,CY00,2,3.441
2005,NUTS,2010,CY00,2,3.94
2006,NUTS,2010,CY00,2,4.514
2007,NUTS,2010,CY00,2,5.386
2008,NUTS,2010,CY00,2,7.756
2009,NUTS,2010,CY00,2,11.334
2010,NUTS,2010,CY00,2,11.567
2011,NUTS,2010,CY00,2,13.876
2012,NUTS,2010,CY00,2,10.996
2013,NUTS,2010,CY00,2,11.021
2014,NUTS,2010,CY00,2,13.527
2015,NUTS,2010,CY00,2,12.158
2016,NUTS,2010,CY00,2,12.425
2017,NUTS,2010,CY00,2,12.869
2018,NUTS,2010,CY00,2,14.661
2019,NUTS,2010,CY00,2,18.595
2020,NUTS,2010,CY00,2,20.0
1996,NUTS,2010,CZ,0,13.8
1997,NUTS,2010,CZ,0,279.7
1998,NUTS,2010,CZ,0,57.1
1999,NUTS,2010,CZ,0,130.0
2000,NUTS,2010,CZ,0,134.3
2001,NUTS,2010,CZ,0,133.7
2002,NUTS,2010,CZ,0,95.2
2003,NUTS,2010,CZ,0,132.162
2004,NUTS,2010,CZ,0,132.652
2005,NUTS,2010,CZ,0,193.514
2006,NUTS,2010,CZ,0,203.578
2007,NUTS,2010,CZ,0,198.944
2008,NUTS,2010,CZ,0,208.097
2009,NUTS,2010,CZ,0,273.838
2010,NUTS,2010,CZ,0,324.183
2011,NUTS,2010,CZ,0,345.292
2012,NUTS,2010,CZ,0,369.395
2013,NUTS,2010,CZ,0,267.478
2014,NUTS,2010,CZ,0,350.871
2015,NUTS,2010,CZ,0,342.557
2016,NUTS,2010,CZ,0,197.192
2017,NUTS,2010,CZ,0,252.348
2018,NUTS,2010,CZ,0,227.142
2019,NUTS,2010,CZ,0,316.889
2020,NUTS,2010,CZ,0,331.107
1996,NUTS,2010,CZ0,1,13.8
1997,NUTS,2010,CZ0,1,279.7
1998,NUTS,2010,CZ0,1,57.1
1999,NUTS,2010,CZ0,1,130.0
2000,NUTS,2010,CZ0,1,134.3
2001,NUTS,2010,CZ0,1,133.7
2002,NUTS,2010,CZ0,1,95.2
2003,NUTS,2010,CZ0,1,132.162
2004,NUTS,2010,CZ0,1,132.652
2005,NUTS,2010,CZ0,1,193.514
2006,NUTS,2010,CZ0,1,203.578
2007,NUTS,2010,CZ0,1,198.944
2008,NUTS,2010,CZ0,1,208.097
2009,NUTS,2010,CZ0,1,273.838
2010,NUTS,2010,CZ0,1,324.183
2011,NUTS,2010,CZ0,1,345.292
2012,NUTS,2010,CZ0,1,369.395
2013,NUTS,2010,CZ0,1,267.478
2014,NUTS,2010,CZ0,1,350.871
2015,NUTS,2010,CZ0,1,342.557
2016,NUTS,2010,CZ0,1,197.192
2017,NUTS,2010,CZ0,1,252.348
2018,NUTS,2010,CZ0,1,227.142
2019,NUTS,2010,CZ0,1,316.889
2020,NUTS,2010,CZ0,1,331.107
2001,NUTS,2010,CZ01,2,71.706
2002,NUTS,2010,CZ01,2,64.124
2003,NUTS,2010,CZ01,2,76.838
2004,NUTS,2010,CZ01,2,91.926
2005,NUTS,2010,CZ01,2,155.346
2006,NUTS,2010,CZ01,2,162.536
2007,NUTS,2010,CZ01,2,164.009
2008,NUTS,2010,CZ01,2,165.356
2009,NUTS,2010,CZ01,2,201.276
2010,NUTS,2010,CZ01,2,201.602
2011,NUTS,2010,CZ01,2,163.033
2012,NUTS,2010,CZ01,2,177.469
2013,NUTS,2010,CZ01,2,145.426
2014,NUTS,2010,CZ01,2,153.199
2015,NUTS,2010,CZ01,2,142.998
2016,NUTS,2010,CZ01,2,138.946
2017,NUTS,2010,CZ01,2,147.286
2018,NUTS,2010,CZ01,2,123.607
2019,NUTS,2010,CZ01,2,163.128
2020,NUTS,2010,CZ01,2,168.482
2001,NUTS,2010,CZ02,2,3.243
2002,NUTS,2010,CZ02,2,2.795
2003,NUTS,2010,CZ02,2,4.736
2004,NUTS,2010,CZ02,2,1.556
2005,NUTS,2010,CZ02,2,3.505
2006,NUTS,2010,CZ02,2,2.052
2007,NUTS,2010,CZ02,2,1.316
2008,NUTS,2010,CZ02,2,1.133
2009,NUTS,2010,CZ02,2,0.824
2010,NUTS,2010,CZ02,2,0.87
2011,NUTS,2010,CZ02,2,4.066
2012,NUTS,2010,CZ02,2,4.456
2013,NUTS,2010,CZ02,2,19.516
2014,NUTS,2010,CZ02,2,8.974
2015,NUTS,2010,CZ02,2,9.036
2016,NUTS,2010,CZ02,2,4.649
2017,NUTS,2010,CZ02,2,5.65
2018,NUTS,2010,CZ02,2,3.191
2019,NUTS,2010,CZ02,2,1.936
2020,NUTS,2010,CZ02,2,2.715
2001,NUTS,2010,CZ03,2,41.383
2002,NUTS,2010,CZ03,2,4.087
2003,NUTS,2010,CZ03,2,22.442
2004,NUTS,2010,CZ03,2,22.279
