year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_smc
2004,NUTS,2010,AT113,3,15.743
2006,NUTS,2010,AT113,3,28.203
2007,NUTS,2010,AT113,3,27.395
2008,NUTS,2010,AT113,3,27.452
2009,NUTS,2010,AT113,3,10.238
2010,NUTS,2010,AT113,3,20.493
2011,NUTS,2010,AT113,3,5.125
2012,NUTS,2010,AT113,3,17.908
2001,NUTS,2010,AT12,2,1.299
2002,NUTS,2010,AT12,2,0.757
2004,NUTS,2010,AT12,2,0.257
2005,NUTS,2010,AT12,2,0.848
2006,NUTS,2010,AT12,2,1.791
2007,NUTS,2010,AT12,2,2.153
2008,NUTS,2010,AT12,2,2.087
2009,NUTS,2010,AT12,2,0.624
2010,NUTS,2010,AT12,2,1.245
2011,NUTS,2010,AT12,2,1.864
2012,NUTS,2010,AT12,2,0.465
2006,NUTS,2010,AT121,3,1.041
2008,NUTS,2010,AT121,3,4.151
2009,NUTS,2010,AT121,3,4.142
2010,NUTS,2010,AT121,3,4.147
2011,NUTS,2010,AT121,3,10.374
2001,NUTS,2010,AT122,3,6.118
2011,NUTS,2010,AT122,3,1.979
2012,NUTS,2010,AT122,3,0.988
2002,NUTS,2010,AT123,3,4.707
2005,NUTS,2010,AT123,3,3.442
2006,NUTS,2010,AT123,3,6.834
2008,NUTS,2010,AT123,3,0.746
2006,NUTS,2010,AT124,3,3.377
2007,NUTS,2010,AT124,3,4.514
2005,NUTS,2010,AT125,3,4.053
2006,NUTS,2010,AT125,3,4.045
2007,NUTS,2010,AT125,3,13.501
2008,NUTS,2010,AT125,3,8.967
2001,NUTS,2010,AT126,3,1.813
2002,NUTS,2010,AT126,3,1.799
2005,NUTS,2010,AT126,3,1.151
2007,NUTS,2010,AT126,3,0.849
2008,NUTS,2010,AT126,3,3.354
2004,NUTS,2010,AT127,3,1.339
2006,NUTS,2010,AT127,3,1.076
2007,NUTS,2010,AT127,3,1.613
2008,NUTS,2010,AT127,3,0.352
2010,NUTS,2010,AT127,3,3.155
2012,NUTS,2010,AT127,3,1.558
2001,NUTS,2010,AT13,2,2.626
2002,NUTS,2010,AT13,2,3.927
2003,NUTS,2010,AT13,2,2.875
2004,NUTS,2010,AT13,2,4.049
2005,NUTS,2010,AT13,2,0.153
2006,NUTS,2010,AT13,2,9.277
2007,NUTS,2010,AT13,2,14.748
2008,NUTS,2010,AT13,2,3.644
2009,NUTS,2010,AT13,2,0.595
2011,NUTS,2010,AT13,2,0.587
2012,NUTS,2010,AT13,2,1.019
2001,NUTS,2010,AT130,3,2.626
2002,NUTS,2010,AT130,3,3.927
2003,NUTS,2010,AT130,3,2.875
2004,NUTS,2010,AT130,3,4.049
2005,NUTS,2010,AT130,3,0.153
2006,NUTS,2010,AT130,3,9.277
2007,NUTS,2010,AT130,3,14.748
2008,NUTS,2010,AT130,3,3.644
2009,NUTS,2010,AT130,3,0.595
2011,NUTS,2010,AT130,3,0.587
2012,NUTS,2010,AT130,3,1.019
2000,NUTS,2010,AT2,1,8.012
2001,NUTS,2010,AT2,1,9.948
2002,NUTS,2010,AT2,1,11.916
2003,NUTS,2010,AT2,1,14.875
2004,NUTS,2010,AT2,1,14.701
2005,NUTS,2010,AT2,1,9.968
2006,NUTS,2010,AT2,1,23.964
2007,NUTS,2010,AT2,1,12.617
2008,NUTS,2010,AT2,1,12.016
2009,NUTS,2010,AT2,1,20.666
2010,NUTS,2010,AT2,1,11.872
2011,NUTS,2010,AT2,1,8.977
2012,NUTS,2010,AT2,1,15.793
2000,NUTS,2010,AT21,2,15.16
2001,NUTS,2010,AT21,2,14.886
2002,NUTS,2010,AT21,2,22.913
2003,NUTS,2010,AT21,2,23.988
2004,NUTS,2010,AT21,2,13.207
2005,NUTS,2010,AT21,2,12.667
2006,NUTS,2010,AT21,2,9.834
2007,NUTS,2010,AT21,2,10.726
2008,NUTS,2010,AT21,2,4.467
2009,NUTS,2010,AT21,2,28.367
2010,NUTS,2010,AT21,2,4.48
2011,NUTS,2010,AT21,2,5.694
2012,NUTS,2010,AT21,2,2.698
2001,NUTS,2010,AT211,3,27.27
2002,NUTS,2010,AT211,3,34.605
2003,NUTS,2010,AT211,3,36.166
2004,NUTS,2010,AT211,3,19.902
2005,NUTS,2010,AT211,3,24.897
2006,NUTS,2010,AT211,3,11.014
2007,NUTS,2010,AT211,3,17.671
2008,NUTS,2010,AT211,3,3.642
2009,NUTS,2010,AT211,3,43.089
2010,NUTS,2010,AT211,3,9.068
2011,NUTS,2010,AT211,3,6.956
2012,NUTS,2010,AT211,3,5.417
2001,NUTS,2010,AT212,3,7.598
2002,NUTS,2010,AT212,3,7.596
2003,NUTS,2010,AT212,3,9.531
2004,NUTS,2010,AT212,3,7.638
2005,NUTS,2010,AT212,3,2.522
2006,NUTS,2010,AT212,3,11.513
2007,NUTS,2010,AT212,3,6.388
2008,NUTS,2010,AT212,3,11.571
2009,NUTS,2010,AT212,3,16.806
2011,NUTS,2010,AT212,3,7.834
2002,NUTS,2010,AT213,3,15.756
2003,NUTS,2010,AT213,3,15.201
2004,NUTS,2010,AT213,3,6.358
2006,NUTS,2010,AT213,3,6.385
2007,NUTS,2010,AT213,3,2.114
2009,NUTS,2010,AT213,3,11.816
2011,NUTS,2010,AT213,3,1.633
2000,NUTS,2010,AT22,2,4.624
2001,NUTS,2010,AT22,2,7.611
2002,NUTS,2010,AT22,2,6.733
2003,NUTS,2010,AT22,2,10.594
2004,NUTS,2010,AT22,2,15.401
2005,NUTS,2010,AT22,2,8.707
2006,NUTS,2010,AT22,2,30.545
2007,NUTS,2010,AT22,2,13.497
2008,NUTS,2010,AT22,2,15.527
2009,NUTS,2010,AT22,2,17.09
2010,NUTS,2010,AT22,2,15.294
2011,NUTS,2010,AT22,2,10.5
2012,NUTS,2010,AT22,2,21.817
2001,NUTS,2010,AT221,3,15.213
2002,NUTS,2010,AT221,3,8.226
2003,NUTS,2010,AT221,3,25.792
2004,NUTS,2010,AT221,3,30.51
2005,NUTS,2010,AT221,3,14.36
2006,NUTS,2010,AT221,3,47.649
2007,NUTS,2010,AT221,3,21.298
2008,NUTS,2010,AT221,3,10.048
2009,NUTS,2010,AT221,3,32.725
2010,NUTS,2010,AT221,3,25.567
2011,NUTS,2010,AT221,3,19.116
2012,NUTS,2010,AT221,3,46.119
2008,NUTS,2010,AT222,3,1.738
2009,NUTS,2010,AT222,3,1.742
2011,NUTS,2010,AT222,3,6.28
2001,NUTS,2010,AT223,3,1.87
2004,NUTS,2010,AT223,3,2.892
2005,NUTS,2010,AT223,3,1.919
2006,NUTS,2010,AT223,3,14.584
2008,NUTS,2010,AT223,3,11.126
2009,NUTS,2010,AT223,3,2.976
2010,NUTS,2010,AT223,3,1.98
2011,NUTS,2010,AT223,3,3.021
2012,NUTS,2010,AT223,3,6.263
2001,NUTS,2010,AT224,3,1.232
2002,NUTS,2010,AT224,3,1.867
2004,NUTS,2010,AT224,3,0.522
2005,NUTS,2010,AT224,3,1.23
2006,NUTS,2010,AT224,3,12.892
2007,NUTS,2010,AT224,3,2.796
2008,NUTS,2010,AT224,3,11.192
2009,NUTS,2010,AT224,3,1.233
2010,NUTS,2010,AT224,3,0.636
2012,NUTS,2010,AT224,3,2.625
2001,NUTS,2010,AT225,3,15.354
2002,NUTS,2010,AT225,3,23.679
2003,NUTS,2010,AT225,3,16.312
2004,NUTS,2010,AT225,3,33.457
2005,NUTS,2010,AT225,3,22.703
2006,NUTS,2010,AT225,3,65.489
2007,NUTS,2010,AT225,3,38.026
2008,NUTS,2010,AT225,3,48.961
2009,NUTS,2010,AT225,3,35.379
2010,NUTS,2010,AT225,3,34.783
2011,NUTS,2010,AT225,3,21.035
2012,NUTS,2010,AT225,3,31.26
2008,NUTS,2010,AT226,3,3.984
2010,NUTS,2010,AT226,3,11.253
2000,NUTS,2010,AT3,1,3.098
2001,NUTS,2010,AT3,1,1.797
2002,NUTS,2010,AT3,1,1.474
2003,NUTS,2010,AT3,1,1.902
2004,NUTS,2010,AT3,1,2.093
2005,NUTS,2010,AT3,1,3.439
2006,NUTS,2010,AT3,1,4.017
2007,NUTS,2010,AT3,1,4.486
2008,NUTS,2010,AT3,1,3.364
2009,NUTS,2010,AT3,1,7.485
2010,NUTS,2010,AT3,1,10.595
2011,NUTS,2010,AT3,1,8.776
2012,NUTS,2010,AT3,1,5.066
2000,NUTS,2010,AT31,2,2.723
2001,NUTS,2010,AT31,2,1.202
2002,NUTS,2010,AT31,2,2.301
2003,NUTS,2010,AT31,2,2.047
2004,NUTS,2010,AT31,2,3.726
2005,NUTS,2010,AT31,2,6.252
2006,NUTS,2010,AT31,2,5.756
2007,NUTS,2010,AT31,2,4.574
2008,NUTS,2010,AT31,2,4.076
2009,NUTS,2010,AT31,2,10.287
2010,NUTS,2010,AT31,2,16.363
2011,NUTS,2010,AT31,2,11.317
2012,NUTS,2010,AT31,2,5.114
2001,NUTS,2010,AT311,3,2.396
2003,NUTS,2010,AT311,3,5.501
2004,NUTS,2010,AT311,3,7.325
2005,NUTS,2010,AT311,3,10.955
2006,NUTS,2010,AT311,3,7.401
2007,NUTS,2010,AT311,3,1.203
2008,NUTS,2010,AT311,3,8.188
2009,NUTS,2010,AT311,3,43.578
2010,NUTS,2010,AT311,3,77.333
2011,NUTS,2010,AT311,3,44.974
2012,NUTS,2010,AT311,3,22.294
2001,NUTS,2010,AT312,3,1.911
2002,NUTS,2010,AT312,3,6.04
2003,NUTS,2010,AT312,3,1.57
2004,NUTS,2010,AT312,3,5.955
2005,NUTS,2010,AT312,3,10.661
2006,NUTS,2010,AT312,3,10.796
2007,NUTS,2010,AT312,3,9.618
2008,NUTS,2010,AT312,3,4.554
2009,NUTS,2010,AT312,3,3.641
2010,NUTS,2010,AT312,3,2.536
2011,NUTS,2010,AT312,3,3.495
2012,NUTS,2010,AT312,3,1.503
2006,NUTS,2010,AT313,3,0.982
2009,NUTS,2010,AT313,3,2.448
2007,NUTS,2010,AT314,3,2.478
2011,NUTS,2010,AT314,3,9.305
2012,NUTS,2010,AT314,3,1.641
2003,NUTS,2010,AT315,3,2.209
2007,NUTS,2010,AT315,3,2.181
2008,NUTS,2010,AT315,3,4.362
2010,NUTS,2010,AT315,3,1.744
2011,NUTS,2010,AT315,3,1.09
2007,NUTS,2010,AT32,2,1.901
2009,NUTS,2010,AT32,2,0.627
2012,NUTS,2010,AT32,2,2.511
2007,NUTS,2010,AT323,3,2.924
2009,NUTS,2010,AT323,3,0.961
2012,NUTS,2010,AT323,3,3.842
2000,NUTS,2010,AT33,2,2.996
2003,NUTS,2010,AT33,2,3.679
2004,NUTS,2010,AT33,2,1.463
2005,NUTS,2010,AT33,2,0.697
2006,NUTS,2010,AT33,2,0.36
2007,NUTS,2010,AT33,2,5.737
2008,NUTS,2010,AT33,2,2.073
2009,NUTS,2010,AT33,2,6.164
2010,NUTS,2010,AT33,2,6.273
2011,NUTS,2010,AT33,2,0.707
2012,NUTS,2010,AT33,2,2.558
2003,NUTS,2010,AT331,3,63.054
2007,NUTS,2010,AT331,3,55.07
2003,NUTS,2010,AT332,3,1.856
2004,NUTS,2010,AT332,3,3.687
2005,NUTS,2010,AT332,3,1.752
2006,NUTS,2010,AT332,3,0.904
2007,NUTS,2010,AT332,3,3.591
2008,NUTS,2010,AT332,3,3.578
2009,NUTS,2010,AT332,3,14.234
2010,NUTS,2010,AT332,3,3.536
2011,NUTS,2010,AT332,3,1.757
2012,NUTS,2010,AT332,3,5.752
2008,NUTS,2010,AT333,3,3.983
2007,NUTS,2010,AT335,3,5.277
2008,NUTS,2010,AT335,3,1.052
2009,NUTS,2010,AT335,3,1.38
2010,NUTS,2010,AT335,3,14.268
2012,NUTS,2010,AT335,3,0.702
2000,NUTS,2010,AT34,2,9.329
2001,NUTS,2010,AT34,2,10.225
2002,NUTS,2010,AT34,2,3.233
2003,NUTS,2010,AT34,2,0.705
2005,NUTS,2010,AT34,2,2.777
2006,NUTS,2010,AT34,2,10.121
2007,NUTS,2010,AT34,2,5.49
2008,NUTS,2010,AT34,2,7.933
2009,NUTS,2010,AT34,2,9.072
2010,NUTS,2010,AT34,2,11.945
2011,NUTS,2010,AT34,2,27.078
2012,NUTS,2010,AT34,2,13.345
2009,NUTS,2010,AT341,3,16.981
2010,NUTS,2010,AT341,3,15.866
2011,NUTS,2010,AT341,3,32.205
2012,NUTS,2010,AT341,3,15.137
2001,NUTS,2010,AT342,3,13.58
2002,NUTS,2010,AT342,3,4.295
2003,NUTS,2010,AT342,3,0.936
2005,NUTS,2010,AT342,3,3.681
2006,NUTS,2010,AT342,3,13.401
2007,NUTS,2010,AT342,3,7.258
2008,NUTS,2010,AT342,3,10.46
2009,NUTS,2010,AT342,3,6.566
2010,NUTS,2010,AT342,3,10.709
2011,NUTS,2010,AT342,3,25.477
2012,NUTS,2010,AT342,3,12.789
1990,NUTS,2010,BE,0,0.821
1991,NUTS,2010,BE,0,0.526
1992,NUTS,2010,BE,0,0.432
1993,NUTS,2010,BE,0,0.883
1994,NUTS,2010,BE,0,0.367
1995,NUTS,2010,BE,0,1.656
1996,NUTS,2010,BE,0,0.935
1997,NUTS,2010,BE,0,2.925
1998,NUTS,2010,BE,0,3.852
1999,NUTS,2010,BE,0,3.716
2000,NUTS,2010,BE,0,3.067
2001,NUTS,2010,BE,0,4.76
2002,NUTS,2010,BE,0,4.463
2003,NUTS,2010,BE,0,5.053
2004,NUTS,2010,BE,0,4.133
2005,NUTS,2010,BE,0,5.728
2006,NUTS,2010,BE,0,5.321
2007,NUTS,2010,BE,0,4.658
2008,NUTS,2010,BE,0,4.778
2009,NUTS,2010,BE,0,6.453
2010,NUTS,2010,BE,0,4.754
2011,NUTS,2010,BE,0,6.338
2012,NUTS,2010,BE,0,5.852
2000,NUTS,2010,BE1,1,1.793
2001,NUTS,2010,BE1,1,9.851
2002,NUTS,2010,BE1,1,1.278
2003,NUTS,2010,BE1,1,2.187
2004,NUTS,2010,BE1,1,7.361
2005,NUTS,2010,BE1,1,1.162
2006,NUTS,2010,BE1,1,4.368
2007,NUTS,2010,BE1,1,3.074
2008,NUTS,2010,BE1,1,4.244
2009,NUTS,2010,BE1,1,5.306
2010,NUTS,2010,BE1,1,1.386
2011,NUTS,2010,BE1,1,6.536
2012,NUTS,2010,BE1,1,4.209
2000,NUTS,2010,BE10,2,1.793
2001,NUTS,2010,BE10,2,9.851
2002,NUTS,2010,BE10,2,1.278
2003,NUTS,2010,BE10,2,2.187
2004,NUTS,2010,BE10,2,7.361
2005,NUTS,2010,BE10,2,1.162
2006,NUTS,2010,BE10,2,4.368
2007,NUTS,2010,BE10,2,3.074
2008,NUTS,2010,BE10,2,4.244
2009,NUTS,2010,BE10,2,5.306
2010,NUTS,2010,BE10,2,1.386
2011,NUTS,2010,BE10,2,6.536
2012,NUTS,2010,BE10,2,4.209
2000,NUTS,2010,BE100,3,1.793
2001,NUTS,2010,BE100,3,9.851
2002,NUTS,2010,BE100,3,1.278
2003,NUTS,2010,BE100,3,2.187
2004,NUTS,2010,BE100,3,7.361
2005,NUTS,2010,BE100,3,1.162
2006,NUTS,2010,BE100,3,4.368
2007,NUTS,2010,BE100,3,3.074
2008,NUTS,2010,BE100,3,4.244
2009,NUTS,2010,BE100,3,5.306
2010,NUTS,2010,BE100,3,1.386
2011,NUTS,2010,BE100,3,6.536
2012,NUTS,2010,BE100,3,4.209
2000,NUTS,2010,BE2,1,4.48
2001,NUTS,2010,BE2,1,5.703
2002,NUTS,2010,BE2,1,6.503
2003,NUTS,2010,BE2,1,7.756
2004,NUTS,2010,BE2,1,4.978
2005,NUTS,2010,BE2,1,8.676
2006,NUTS,2010,BE2,1,7.186
2007,NUTS,2010,BE2,1,6.866
2008,NUTS,2010,BE2,1,5.601
2009,NUTS,2010,BE2,1,7.723
2010,NUTS,2010,BE2,1,5.933
2011,NUTS,2010,BE2,1,8.084
2012,NUTS,2010,BE2,1,8.406
2000,NUTS,2010,BE21,2,2.354
2001,NUTS,2010,BE21,2,7.195
2002,NUTS,2010,BE21,2,6.251
2003,NUTS,2010,BE21,2,4.136
2004,NUTS,2010,BE21,2,3.194
2005,NUTS,2010,BE21,2,5.409
2006,NUTS,2010,BE21,2,4.815
2007,NUTS,2010,BE21,2,2.999
2008,NUTS,2010,BE21,2,2.722
2009,NUTS,2010,BE21,2,5.153
2010,NUTS,2010,BE21,2,3.152
2011,NUTS,2010,BE21,2,1.083
2012,NUTS,2010,BE21,2,3.026
2000,NUTS,2010,BE211,3,3.036
2001,NUTS,2010,BE211,3,8.856
2002,NUTS,2010,BE211,3,9.975
2003,NUTS,2010,BE211,3,3.636
2004,NUTS,2010,BE211,3,3.704
2005,NUTS,2010,BE211,3,4.511
2006,NUTS,2010,BE211,3,4.85
2007,NUTS,2010,BE211,3,1.862
2008,NUTS,2010,BE211,3,2.496
2009,NUTS,2010,BE211,3,1.023
2010,NUTS,2010,BE211,3,1.857
2011,NUTS,2010,BE211,3,0.249
2012,NUTS,2010,BE211,3,3.609
2000,NUTS,2010,BE212,3,3.37
2001,NUTS,2010,BE212,3,7.017
2002,NUTS,2010,BE212,3,1.626
2003,NUTS,2010,BE212,3,0.648
2004,NUTS,2010,BE212,3,4.292
2005,NUTS,2010,BE212,3,12.971
2006,NUTS,2010,BE212,3,3.182
2007,NUTS,2010,BE212,3,8.949
2008,NUTS,2010,BE212,3,3.666
2009,NUTS,2010,BE212,3,11.405
2010,NUTS,2010,BE212,3,6.167
2011,NUTS,2010,BE212,3,1.525
2001,NUTS,2010,BE213,3,3.532
2002,NUTS,2010,BE213,3,1.221
2003,NUTS,2010,BE213,3,7.893
2004,NUTS,2010,BE213,3,1.208
2005,NUTS,2010,BE213,3,1.801
2006,NUTS,2010,BE213,3,5.958
2007,NUTS,2010,BE213,3,1.134
2008,NUTS,2010,BE213,3,2.529
2009,NUTS,2010,BE213,3,9.843
2010,NUTS,2010,BE213,3,3.837
2011,NUTS,2010,BE213,3,2.657
2012,NUTS,2010,BE213,3,3.942
2000,NUTS,2010,BE22,2,3.059
2001,NUTS,2010,BE22,2,0.503
2002,NUTS,2010,BE22,2,1.252
2003,NUTS,2010,BE22,2,9.52
2004,NUTS,2010,BE22,2,2.482
2006,NUTS,2010,BE22,2,4.088
2007,NUTS,2010,BE22,2,1.365
2008,NUTS,2010,BE22,2,4.258
2009,NUTS,2010,BE22,2,4.849
2010,NUTS,2010,BE22,2,5.569
2011,NUTS,2010,BE22,2,0.779
2012,NUTS,2010,BE22,2,1.854
2000,NUTS,2010,BE221,3,4.126
2001,NUTS,2010,BE221,3,1.04
2002,NUTS,2010,BE221,3,2.589
2003,NUTS,2010,BE221,3,5.148
2004,NUTS,2010,BE221,3,1.281
2006,NUTS,2010,BE221,3,5.493
2007,NUTS,2010,BE221,3,1.608
2008,NUTS,2010,BE221,3,7.016
2009,NUTS,2010,BE221,3,6.978
2010,NUTS,2010,BE221,3,10.824
2011,NUTS,2010,BE221,3,1.598
2012,NUTS,2010,BE221,3,3.006
2000,NUTS,2010,BE222,3,2.286
2003,NUTS,2010,BE222,3,24.417
2004,NUTS,2010,BE222,3,6.699
2006,NUTS,2010,BE222,3,2.207
2007,NUTS,2010,BE222,3,1.447
2008,NUTS,2010,BE222,3,1.09
2009,NUTS,2010,BE222,3,3.977
2012,NUTS,2010,BE222,3,1.399
2000,NUTS,2010,BE223,3,1.742
2003,NUTS,2010,BE223,3,1.046
2006,NUTS,2010,BE223,3,3.471
2007,NUTS,2010,BE223,3,0.721
2008,NUTS,2010,BE223,3,2.304
2009,NUTS,2010,BE223,3,1.477
2010,NUTS,2010,BE223,3,1.266
2000,NUTS,2010,BE23,2,4.061
2001,NUTS,2010,BE23,2,4.143
2002,NUTS,2010,BE23,2,2.612
2003,NUTS,2010,BE23,2,3.795
2004,NUTS,2010,BE23,2,0.91
2005,NUTS,2010,BE23,2,6.159
2006,NUTS,2010,BE23,2,2.245
2007,NUTS,2010,BE23,2,1.273
2008,NUTS,2010,BE23,2,1.775
2009,NUTS,2010,BE23,2,0.936
2010,NUTS,2010,BE23,2,1.536
2011,NUTS,2010,BE23,2,2.988
2000,NUTS,2010,BE231,3,2.021
2001,NUTS,2010,BE231,3,0.762
2002,NUTS,2010,BE231,3,0.534
2003,NUTS,2010,BE231,3,0.952
2005,NUTS,2010,BE231,3,8.526
2006,NUTS,2010,BE231,3,0.941
2007,NUTS,2010,BE231,3,1.871
2008,NUTS,2010,BE231,3,3.414
2000,NUTS,2010,BE232,3,1.072
2002,NUTS,2010,BE232,3,1.337
2005,NUTS,2010,BE232,3,1.331
2006,NUTS,2010,BE232,3,5.294
2009,NUTS,2010,BE232,3,2.611
2011,NUTS,2010,BE232,3,5.146
2000,NUTS,2010,BE233,3,1.636
2001,NUTS,2010,BE233,3,8.435
2011,NUTS,2010,BE233,3,2.055
2000,NUTS,2010,BE234,3,6.783
2001,NUTS,2010,BE234,3,7.39
2002,NUTS,2010,BE234,3,5.976
2003,NUTS,2010,BE234,3,8.726
2004,NUTS,2010,BE234,3,2.488
2005,NUTS,2010,BE234,3,4.948
2006,NUTS,2010,BE234,3,2.299
2007,NUTS,2010,BE234,3,2.498
2008,NUTS,2010,BE234,3,1.936
2009,NUTS,2010,BE234,3,1.591
2010,NUTS,2010,BE234,3,0.379
2011,NUTS,2010,BE234,3,2.489
2000,NUTS,2010,BE235,3,2.886
2001,NUTS,2010,BE235,3,9.791
2003,NUTS,2010,BE235,3,2.879
2005,NUTS,2010,BE235,3,30.335
2006,NUTS,2010,BE235,3,6.029
2008,NUTS,2010,BE235,3,4.911
2010,NUTS,2010,BE235,3,12.501
2011,NUTS,2010,BE235,3,8.285
2000,NUTS,2010,BE236,3,4.471
2002,NUTS,2010,BE236,3,0.889
2003,NUTS,2010,BE236,3,1.107
2010,NUTS,2010,BE236,3,2.109
2011,NUTS,2010,BE236,3,3.461
2000,NUTS,2010,BE24,2,13.373
2001,NUTS,2010,BE24,2,14.101
2002,NUTS,2010,BE24,2,22.125
2003,NUTS,2010,BE24,2,22.815
2004,NUTS,2010,BE24,2,20.709
2005,NUTS,2010,BE24,2,29.9
2006,NUTS,2010,BE24,2,25.686
2007,NUTS,2010,BE24,2,30.642
2008,NUTS,2010,BE24,2,20.345
2009,NUTS,2010,BE24,2,27.759
2010,NUTS,2010,BE24,2,22.499
2011,NUTS,2010,BE24,2,37.412
2012,NUTS,2010,BE24,2,41.533
2000,NUTS,2010,BE241,3,5.822
2001,NUTS,2010,BE241,3,2.374
2002,NUTS,2010,BE241,3,7.207
2003,NUTS,2010,BE241,3,2.351
2004,NUTS,2010,BE241,3,3.516
2005,NUTS,2010,BE241,3,2.759
2006,NUTS,2010,BE241,3,1.215
2007,NUTS,2010,BE241,3,2.55
2008,NUTS,2010,BE241,3,2.276
2009,NUTS,2010,BE241,3,1.614
2010,NUTS,2010,BE241,3,2.275
2011,NUTS,2010,BE241,3,0.75
2012,NUTS,2010,BE241,3,2.758
2000,NUTS,2010,BE242,3,22.608
2001,NUTS,2010,BE242,3,28.412
2002,NUTS,2010,BE242,3,40.418
2003,NUTS,2010,BE242,3,47.87
2004,NUTS,2010,BE242,3,41.826
2005,NUTS,2010,BE242,3,63.3
2006,NUTS,2010,BE242,3,55.797
2007,NUTS,2010,BE242,3,65.182
2008,NUTS,2010,BE242,3,42.537
2009,NUTS,2010,BE242,3,59.821
2010,NUTS,2010,BE242,3,47.325
2011,NUTS,2010,BE242,3,82.483
2012,NUTS,2010,BE242,3,89.272
2000,NUTS,2010,BE25,2,1.09
2001,NUTS,2010,BE25,2,1.504
2002,NUTS,2010,BE25,2,1.157
2003,NUTS,2010,BE25,2,2.946
2005,NUTS,2010,BE25,2,3.364
2006,NUTS,2010,BE25,2,1.997
2007,NUTS,2010,BE25,2,1.527
2008,NUTS,2010,BE25,2,1.956
2009,NUTS,2010,BE25,2,3.462
2010,NUTS,2010,BE25,2,0.431
2011,NUTS,2010,BE25,2,2.997
2012,NUTS,2010,BE25,2,0.852
2000,NUTS,2010,BE251,3,2.584
2001,NUTS,2010,BE251,3,1.842
2002,NUTS,2010,BE251,3,0.809
2006,NUTS,2010,BE251,3,2.113
2007,NUTS,2010,BE251,3,1.82
2009,NUTS,2010,BE251,3,1.812
2011,NUTS,2010,BE251,3,1.799
2002,NUTS,2010,BE252,3,4.58
2003,NUTS,2010,BE252,3,22.483
2007,NUTS,2010,BE252,3,5.147
2002,NUTS,2010,BE253,3,2.112
2005,NUTS,2010,BE253,3,9.59
2006,NUTS,2010,BE253,3,9.569
2011,NUTS,2010,BE253,3,3.1
2000,NUTS,2010,BE254,3,0.467
2003,NUTS,2010,BE254,3,0.901
2005,NUTS,2010,BE254,3,4.221
2006,NUTS,2010,BE254,3,0.721
2007,NUTS,2010,BE254,3,2.696
2008,NUTS,2010,BE254,3,6.28
2000,NUTS,2010,BE255,3,2.808
2001,NUTS,2010,BE255,3,8.395
2002,NUTS,2010,BE255,3,1.39
2003,NUTS,2010,BE255,3,13.871
2005,NUTS,2010,BE255,3,4.574
2006,NUTS,2010,BE255,3,3.395
2009,NUTS,2010,BE255,3,13.308
2010,NUTS,2010,BE255,3,3.315
2011,NUTS,2010,BE255,3,10.946
2012,NUTS,2010,BE255,3,6.509
2007,NUTS,2010,BE256,3,1.751
2008,NUTS,2010,BE256,3,3.482
2009,NUTS,2010,BE256,3,3.469
2002,NUTS,2010,BE257,3,4.995
2005,NUTS,2010,BE257,3,11.296
2009,NUTS,2010,BE257,3,11.106
2011,NUTS,2010,BE257,3,10.995
