year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_gov_rse_hc
2004,NUTS,2010,AT3,1,87.0
2006,NUTS,2010,AT3,1,
2007,NUTS,2010,AT3,1,130.0
2009,NUTS,2010,AT3,1,
2011,NUTS,2010,AT3,1,
2013,NUTS,2010,AT3,1,
2015,NUTS,2010,AT3,1,
2017,NUTS,2010,AT3,1,
2019,NUTS,2010,AT3,1,353.0
2002,NUTS,2010,AT31,2,21.0
2004,NUTS,2010,AT31,2,22.0
2006,NUTS,2010,AT31,2,44.0
2007,NUTS,2010,AT31,2,49.0
2009,NUTS,2010,AT31,2,51.0
2011,NUTS,2010,AT31,2,53.0
2013,NUTS,2010,AT31,2,40.0
2015,NUTS,2010,AT31,2,65.0
2017,NUTS,2010,AT31,2,92.0
2019,NUTS,2010,AT31,2,92.0
2002,NUTS,2010,AT32,2,32.0
2004,NUTS,2010,AT32,2,27.0
2006,NUTS,2010,AT32,2,34.0
2007,NUTS,2010,AT32,2,
2009,NUTS,2010,AT32,2,65.0
2011,NUTS,2010,AT32,2,
2013,NUTS,2010,AT32,2,
2015,NUTS,2010,AT32,2,149.0
2017,NUTS,2010,AT32,2,143.0
2019,NUTS,2010,AT32,2,139.0
2002,NUTS,2010,AT33,2,25.0
2004,NUTS,2010,AT33,2,28.0
2006,NUTS,2010,AT33,2,39.0
2007,NUTS,2010,AT33,2,
2009,NUTS,2010,AT33,2,
2011,NUTS,2010,AT33,2,
2013,NUTS,2010,AT33,2,47.0
2015,NUTS,2010,AT33,2,
2017,NUTS,2010,AT33,2,
2019,NUTS,2010,AT33,2,74.0
2002,NUTS,2010,AT34,2,11.0
2004,NUTS,2010,AT34,2,10.0
2006,NUTS,2010,AT34,2,
2007,NUTS,2010,AT34,2,
2009,NUTS,2010,AT34,2,
2011,NUTS,2010,AT34,2,27.0
2013,NUTS,2010,AT34,2,29.0
2015,NUTS,2010,AT34,2,36.0
2017,NUTS,2010,AT34,2,40.0
2019,NUTS,2010,AT34,2,48.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,15.0
2013,NUTS,2010,BA,0,29.0
2014,NUTS,2010,BA,0,24.0
2019,NUTS,2010,BA,0,27.0
2002,NUTS,2010,BE,0,633.0
2003,NUTS,2010,BE,0,657.0
2004,NUTS,2010,BE,0,757.0
2005,NUTS,2010,BE,0,789.0
2006,NUTS,2010,BE,0,780.0
2007,NUTS,2010,BE,0,820.0
2008,NUTS,2010,BE,0,998.0
2009,NUTS,2010,BE,0,1056.0
2010,NUTS,2010,BE,0,1029.0
2011,NUTS,2010,BE,0,1077.0
2012,NUTS,2010,BE,0,1420.0
2013,NUTS,2010,BE,0,1481.0
2014,NUTS,2010,BE,0,1642.0
2015,NUTS,2010,BE,0,1675.0
2016,NUTS,2010,BE,0,1734.0
2017,NUTS,2010,BE,0,1811.0
2018,NUTS,2010,BE,0,2069.0
2019,NUTS,2010,BE,0,2134.0
2002,NUTS,2010,BE1,1,212.0
2003,NUTS,2010,BE1,1,212.0
2004,NUTS,2010,BE1,1,223.0
2005,NUTS,2010,BE1,1,240.0
2006,NUTS,2010,BE1,1,291.0
2007,NUTS,2010,BE1,1,311.0
2008,NUTS,2010,BE1,1,282.0
2009,NUTS,2010,BE1,1,295.0
2010,NUTS,2010,BE1,1,299.0
2011,NUTS,2010,BE1,1,298.0
2012,NUTS,2010,BE1,1,519.0
2013,NUTS,2010,BE1,1,538.0
2014,NUTS,2010,BE1,1,552.0
2015,NUTS,2010,BE1,1,584.0
2016,NUTS,2010,BE1,1,612.0
2017,NUTS,2010,BE1,1,605.0
2018,NUTS,2010,BE1,1,659.0
2019,NUTS,2010,BE1,1,696.0
2002,NUTS,2010,BE10,2,212.0
2003,NUTS,2010,BE10,2,212.0
2004,NUTS,2010,BE10,2,223.0
2005,NUTS,2010,BE10,2,240.0
2006,NUTS,2010,BE10,2,291.0
2007,NUTS,2010,BE10,2,311.0
2008,NUTS,2010,BE10,2,282.0
2009,NUTS,2010,BE10,2,295.0
2010,NUTS,2010,BE10,2,299.0
2011,NUTS,2010,BE10,2,298.0
2012,NUTS,2010,BE10,2,519.0
2013,NUTS,2010,BE10,2,538.0
2014,NUTS,2010,BE10,2,552.0
2015,NUTS,2010,BE10,2,584.0
2016,NUTS,2010,BE10,2,612.0
2017,NUTS,2010,BE10,2,605.0
2018,NUTS,2010,BE10,2,659.0
2019,NUTS,2010,BE10,2,696.0
2002,NUTS,2010,BE2,1,381.0
2003,NUTS,2010,BE2,1,405.0
2004,NUTS,2010,BE2,1,494.0
2005,NUTS,2010,BE2,1,505.0
2006,NUTS,2010,BE2,1,445.0
2007,NUTS,2010,BE2,1,464.0
2008,NUTS,2010,BE2,1,612.0
2009,NUTS,2010,BE2,1,648.0
2010,NUTS,2010,BE2,1,699.0
2011,NUTS,2010,BE2,1,734.0
2012,NUTS,2010,BE2,1,824.0
2013,NUTS,2010,BE2,1,868.0
2014,NUTS,2010,BE2,1,968.0
2015,NUTS,2010,BE2,1,965.0
2016,NUTS,2010,BE2,1,1032.0
2017,NUTS,2010,BE2,1,1115.0
2018,NUTS,2010,BE2,1,1310.0
2019,NUTS,2010,BE2,1,1338.0
2010,NUTS,2010,BE21,2,
2011,NUTS,2010,BE21,2,
2012,NUTS,2010,BE21,2,
2013,NUTS,2010,BE21,2,
2014,NUTS,2010,BE21,2,
2015,NUTS,2010,BE21,2,
2016,NUTS,2010,BE21,2,
2017,NUTS,2010,BE21,2,
2018,NUTS,2010,BE21,2,
2019,NUTS,2010,BE21,2,
2010,NUTS,2010,BE22,2,
2011,NUTS,2010,BE22,2,
2012,NUTS,2010,BE22,2,
2013,NUTS,2010,BE22,2,
2014,NUTS,2010,BE22,2,
2015,NUTS,2010,BE22,2,
2016,NUTS,2010,BE22,2,
2017,NUTS,2010,BE22,2,
2018,NUTS,2010,BE22,2,
2019,NUTS,2010,BE22,2,
2010,NUTS,2010,BE23,2,
2011,NUTS,2010,BE23,2,
2012,NUTS,2010,BE23,2,
2013,NUTS,2010,BE23,2,
2014,NUTS,2010,BE23,2,
2015,NUTS,2010,BE23,2,
2016,NUTS,2010,BE23,2,
2017,NUTS,2010,BE23,2,
2018,NUTS,2010,BE23,2,
2019,NUTS,2010,BE23,2,
2010,NUTS,2010,BE24,2,
2011,NUTS,2010,BE24,2,
2012,NUTS,2010,BE24,2,
2013,NUTS,2010,BE24,2,
2014,NUTS,2010,BE24,2,
2015,NUTS,2010,BE24,2,
2016,NUTS,2010,BE24,2,
2017,NUTS,2010,BE24,2,
2018,NUTS,2010,BE24,2,
2019,NUTS,2010,BE24,2,
2010,NUTS,2010,BE25,2,
2011,NUTS,2010,BE25,2,
2012,NUTS,2010,BE25,2,
2013,NUTS,2010,BE25,2,
2014,NUTS,2010,BE25,2,
2015,NUTS,2010,BE25,2,
2016,NUTS,2010,BE25,2,
2017,NUTS,2010,BE25,2,
2018,NUTS,2010,BE25,2,
2019,NUTS,2010,BE25,2,
2002,NUTS,2010,BE3,1,40.0
2003,NUTS,2010,BE3,1,40.0
2004,NUTS,2010,BE3,1,40.0
2005,NUTS,2010,BE3,1,44.0
2006,NUTS,2010,BE3,1,44.0
2007,NUTS,2010,BE3,1,45.0
2008,NUTS,2010,BE3,1,104.0
2009,NUTS,2010,BE3,1,113.0
2010,NUTS,2010,BE3,1,31.0
2011,NUTS,2010,BE3,1,45.0
2012,NUTS,2010,BE3,1,77.0
2013,NUTS,2010,BE3,1,75.0
2014,NUTS,2010,BE3,1,122.0
2015,NUTS,2010,BE3,1,126.0
2016,NUTS,2010,BE3,1,90.0
2017,NUTS,2010,BE3,1,91.0
2018,NUTS,2010,BE3,1,100.0
2019,NUTS,2010,BE3,1,100.0
2010,NUTS,2010,BE31,2,
2011,NUTS,2010,BE31,2,
2012,NUTS,2010,BE31,2,
2013,NUTS,2010,BE31,2,
2014,NUTS,2010,BE31,2,
2015,NUTS,2010,BE31,2,
2016,NUTS,2010,BE31,2,
2017,NUTS,2010,BE31,2,
2018,NUTS,2010,BE31,2,
2019,NUTS,2010,BE31,2,
2010,NUTS,2010,BE32,2,
2011,NUTS,2010,BE32,2,
2012,NUTS,2010,BE32,2,
2013,NUTS,2010,BE32,2,
2014,NUTS,2010,BE32,2,
2015,NUTS,2010,BE32,2,
2016,NUTS,2010,BE32,2,
2017,NUTS,2010,BE32,2,
2018,NUTS,2010,BE32,2,
2019,NUTS,2010,BE32,2,
2010,NUTS,2010,BE33,2,
2011,NUTS,2010,BE33,2,
2012,NUTS,2010,BE33,2,
2013,NUTS,2010,BE33,2,
2014,NUTS,2010,BE33,2,
2015,NUTS,2010,BE33,2,
2016,NUTS,2010,BE33,2,
2017,NUTS,2010,BE33,2,
2018,NUTS,2010,BE33,2,
2019,NUTS,2010,BE33,2,
2010,NUTS,2010,BE34,2,
2011,NUTS,2010,BE34,2,
2012,NUTS,2010,BE34,2,
2013,NUTS,2010,BE34,2,
2014,NUTS,2010,BE34,2,
2015,NUTS,2010,BE34,2,
2018,NUTS,2010,BE34,2,
2019,NUTS,2010,BE34,2,
2010,NUTS,2010,BE35,2,
2011,NUTS,2010,BE35,2,
2012,NUTS,2010,BE35,2,
2013,NUTS,2010,BE35,2,
2014,NUTS,2010,BE35,2,
2015,NUTS,2010,BE35,2,
2016,NUTS,2010,BE35,2,
2017,NUTS,2010,BE35,2,
2018,NUTS,2010,BE35,2,
2019,NUTS,2010,BE35,2,
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1993,NUTS,2010,BG,0,6388.0
1994,NUTS,2010,BG,0,3673.0
1995,NUTS,2010,BG,0,3449.0
1996,NUTS,2010,BG,0,3912.0
1997,NUTS,2010,BG,0,4112.0
1998,NUTS,2010,BG,0,3978.0
1999,NUTS,2010,BG,0,3716.0
2000,NUTS,2010,BG,0,3301.0
2001,NUTS,2010,BG,0,3146.0
2002,NUTS,2010,BG,0,3188.0
2003,NUTS,2010,BG,0,3235.0
2004,NUTS,2010,BG,0,3291.0
2005,NUTS,2010,BG,0,3263.0
2006,NUTS,2010,BG,0,3308.0
2007,NUTS,2010,BG,0,3417.0
2008,NUTS,2010,BG,0,3323.0
2009,NUTS,2010,BG,0,3249.0
2010,NUTS,2010,BG,0,3191.0
2011,NUTS,2010,BG,0,3233.0
2012,NUTS,2010,BG,0,3026.0
2013,NUTS,2010,BG,0,3079.0
2014,NUTS,2010,BG,0,3023.0
2015,NUTS,2010,BG,0,2689.0
2016,NUTS,2010,BG,0,2913.0
2017,NUTS,2010,BG,0,2852.0
2018,NUTS,2010,BG,0,2734.0
2019,NUTS,2010,BG,0,2782.0
2003,NUTS,2010,BG3,1,218.0
2004,NUTS,2010,BG3,1,255.0
2005,NUTS,2010,BG3,1,253.0
2006,NUTS,2010,BG3,1,257.0
2007,NUTS,2010,BG3,1,275.0
2008,NUTS,2010,BG3,1,291.0
2009,NUTS,2010,BG3,1,255.0
2010,NUTS,2010,BG3,1,343.0
2011,NUTS,2010,BG3,1,271.0
2012,NUTS,2010,BG3,1,317.0
2013,NUTS,2010,BG3,1,310.0
2014,NUTS,2010,BG3,1,263.0
2015,NUTS,2010,BG3,1,242.0
2016,NUTS,2010,BG3,1,
2017,NUTS,2010,BG3,1,249.0
2018,NUTS,2010,BG3,1,244.0
2019,NUTS,2010,BG3,1,
2003,NUTS,2010,BG31,2,72.0
2004,NUTS,2010,BG31,2,71.0
2005,NUTS,2010,BG31,2,69.0
2006,NUTS,2010,BG31,2,71.0
2007,NUTS,2010,BG31,2,69.0
2008,NUTS,2010,BG31,2,
2009,NUTS,2010,BG31,2,58.0
2010,NUTS,2010,BG31,2,93.0
2011,NUTS,2010,BG31,2,75.0
2012,NUTS,2010,BG31,2,89.0
2013,NUTS,2010,BG31,2,80.0
2014,NUTS,2010,BG31,2,69.0
2015,NUTS,2010,BG31,2,68.0
2016,NUTS,2010,BG31,2,66.0
2017,NUTS,2010,BG31,2,
2018,NUTS,2010,BG31,2,72.0
2019,NUTS,2010,BG31,2,
2003,NUTS,2010,BG32,2,26.0
2004,NUTS,2010,BG32,2,31.0
2005,NUTS,2010,BG32,2,33.0
2006,NUTS,2010,BG32,2,27.0
2007,NUTS,2010,BG32,2,26.0
2008,NUTS,2010,BG32,2,25.0
2009,NUTS,2010,BG32,2,33.0
2010,NUTS,2010,BG32,2,37.0
2011,NUTS,2010,BG32,2,29.0
2012,NUTS,2010,BG32,2,27.0
2013,NUTS,2010,BG32,2,44.0
2014,NUTS,2010,BG32,2,26.0
2015,NUTS,2010,BG32,2,
2016,NUTS,2010,BG32,2,
2017,NUTS,2010,BG32,2,
2018,NUTS,2010,BG32,2,
2019,NUTS,2010,BG32,2,17.0
2003,NUTS,2010,BG33,2,70.0
2004,NUTS,2010,BG33,2,98.0
2005,NUTS,2010,BG33,2,98.0
2006,NUTS,2010,BG33,2,97.0
2007,NUTS,2010,BG33,2,118.0
2008,NUTS,2010,BG33,2,137.0
2009,NUTS,2010,BG33,2,105.0
2010,NUTS,2010,BG33,2,148.0
2011,NUTS,2010,BG33,2,101.0
2012,NUTS,2010,BG33,2,125.0
2013,NUTS,2010,BG33,2,122.0
2014,NUTS,2010,BG33,2,112.0
2015,NUTS,2010,BG33,2,98.0
2016,NUTS,2010,BG33,2,102.0
2017,NUTS,2010,BG33,2,
2018,NUTS,2010,BG33,2,99.0
2019,NUTS,2010,BG33,2,115.0
2003,NUTS,2010,BG34,2,50.0
2004,NUTS,2010,BG34,2,55.0
2005,NUTS,2010,BG34,2,53.0
2006,NUTS,2010,BG34,2,62.0
2007,NUTS,2010,BG34,2,62.0
2008,NUTS,2010,BG34,2,
2009,NUTS,2010,BG34,2,59.0
2010,NUTS,2010,BG34,2,65.0
2011,NUTS,2010,BG34,2,66.0
2012,NUTS,2010,BG34,2,76.0
2013,NUTS,2010,BG34,2,64.0
2014,NUTS,2010,BG34,2,56.0
2015,NUTS,2010,BG34,2,
2016,NUTS,2010,BG34,2,54.0
2017,NUTS,2010,BG34,2,
2018,NUTS,2010,BG34,2,
2019,NUTS,2010,BG34,2,
2003,NUTS,2010,BG4,1,3017.0
2004,NUTS,2010,BG4,1,3036.0
2005,NUTS,2010,BG4,1,3010.0
2006,NUTS,2010,BG4,1,3051.0
2007,NUTS,2010,BG4,1,3142.0
2008,NUTS,2010,BG4,1,3032.0
2009,NUTS,2010,BG4,1,2994.0
2010,NUTS,2010,BG4,1,2848.0
2011,NUTS,2010,BG4,1,2962.0
2012,NUTS,2010,BG4,1,2709.0
2013,NUTS,2010,BG4,1,2769.0
2014,NUTS,2010,BG4,1,2760.0
2015,NUTS,2010,BG4,1,2447.0
2016,NUTS,2010,BG4,1,
2017,NUTS,2010,BG4,1,2603.0
2018,NUTS,2010,BG4,1,2490.0
2019,NUTS,2010,BG4,1,
1999,NUTS,2010,BG41,2,3333.0
2000,NUTS,2010,BG41,2,3029.0
2003,NUTS,2010,BG41,2,2916.0
2004,NUTS,2010,BG41,2,
2005,NUTS,2010,BG41,2,2896.0
2006,NUTS,2010,BG41,2,2938.0
2007,NUTS,2010,BG41,2,3019.0
2008,NUTS,2010,BG41,2,2848.0
2009,NUTS,2010,BG41,2,2849.0
2010,NUTS,2010,BG41,2,2690.0
2011,NUTS,2010,BG41,2,2776.0
2012,NUTS,2010,BG41,2,2525.0
2013,NUTS,2010,BG41,2,2587.0
2014,NUTS,2010,BG41,2,2544.0
2015,NUTS,2010,BG41,2,2278.0
2016,NUTS,2010,BG41,2,2495.0
2017,NUTS,2010,BG41,2,
2018,NUTS,2010,BG41,2,2313.0
2019,NUTS,2010,BG41,2,2322.0
2003,NUTS,2010,BG42,2,101.0
2004,NUTS,2010,BG42,2,
2005,NUTS,2010,BG42,2,114.0
2006,NUTS,2010,BG42,2,113.0
2007,NUTS,2010,BG42,2,123.0
2008,NUTS,2010,BG42,2,184.0
2009,NUTS,2010,BG42,2,145.0
2010,NUTS,2010,BG42,2,158.0
2011,NUTS,2010,BG42,2,186.0
2012,NUTS,2010,BG42,2,184.0
2013,NUTS,2010,BG42,2,182.0
2014,NUTS,2010,BG42,2,216.0
2015,NUTS,2010,BG42,2,169.0
2016,NUTS,2010,BG42,2,
2017,NUTS,2010,BG42,2,
2018,NUTS,2010,BG42,2,177.0
2019,NUTS,2010,BG42,2,
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1996,NUTS,2010,CH,0,240.0
1998,NUTS,2010,CH,0,190.0
2000,NUTS,2010,CH,0,150.0
2002,NUTS,2010,CH,0,230.0
2004,NUTS,2010,CH,0,245.0
2006,NUTS,2010,CH,0,280.0
2008,NUTS,2010,CH,0,337.0
2010,NUTS,2010,CH,0,328.0
2012,NUTS,2010,CH,0,326.0
2014,NUTS,2010,CH,0,379.0
2015,NUTS,2010,CH,0,394.0
2017,NUTS,2010,CH,0,378.0
2019,NUTS,2010,CH,0,522.0
1998,NUTS,2010,CY,0,48.0
1999,NUTS,2010,CY,0,50.0
2000,NUTS,2010,CY,0,56.0
2001,NUTS,2010,CY,0,73.0
2002,NUTS,2010,CY,0,72.0
2003,NUTS,2010,CY,0,87.0
2004,NUTS,2010,CY,0,88.0
2005,NUTS,2010,CY,0,98.0
2006,NUTS,2010,CY,0,99.0
2007,NUTS,2010,CY,0,99.0
2008,NUTS,2010,CY,0,99.0
2009,NUTS,2010,CY,0,93.0
2010,NUTS,2010,CY,0,99.0
2011,NUTS,2010,CY,0,103.0
2012,NUTS,2010,CY,0,98.0
2013,NUTS,2010,CY,0,96.0
2014,NUTS,2010,CY,0,98.0
2015,NUTS,2010,CY,0,99.0
2016,NUTS,2010,CY,0,102.0
2017,NUTS,2010,CY,0,113.0
2018,NUTS,2010,CY,0,114.0
2019,NUTS,2010,CY,0,123.0
1999,NUTS,2010,CZ,0,2300.0
2000,NUTS,2010,CZ,0,2488.0
2001,NUTS,2010,CZ,0,2549.0
2002,NUTS,2010,CZ,0,2582.0
2003,NUTS,2010,CZ,0,2611.0
2004,NUTS,2010,CZ,0,2883.0
2005,NUTS,2010,CZ,0,3454.0
2006,NUTS,2010,CZ,0,3621.0
2007,NUTS,2010,CZ,0,3679.0
2008,NUTS,2010,CZ,0,3862.0
2009,NUTS,2010,CZ,0,3451.0
2010,NUTS,2010,CZ,0,3301.0
2011,NUTS,2010,CZ,0,3475.0
2012,NUTS,2010,CZ,0,3393.0
2013,NUTS,2010,CZ,0,3633.0
2014,NUTS,2010,CZ,0,3625.0
2015,NUTS,2010,CZ,0,3847.0
2016,NUTS,2010,CZ,0,3966.0
2017,NUTS,2010,CZ,0,4308.0
2018,NUTS,2010,CZ,0,4320.0
2019,NUTS,2010,CZ,0,4354.0
2020,NUTS,2010,CZ,0,4484.0
1999,NUTS,2010,CZ0,1,2300.0
2000,NUTS,2010,CZ0,1,2488.0
2001,NUTS,2010,CZ0,1,2549.0
2002,NUTS,2010,CZ0,1,2582.0
2003,NUTS,2010,CZ0,1,2611.0
2004,NUTS,2010,CZ0,1,2883.0
2005,NUTS,2010,CZ0,1,3454.0
2006,NUTS,2010,CZ0,1,3621.0
2007,NUTS,2010,CZ0,1,3679.0
2008,NUTS,2010,CZ0,1,3862.0
2009,NUTS,2010,CZ0,1,3451.0
2010,NUTS,2010,CZ0,1,3301.0
2011,NUTS,2010,CZ0,1,3475.0
2012,NUTS,2010,CZ0,1,3393.0
2013,NUTS,2010,CZ0,1,3633.0
2014,NUTS,2010,CZ0,1,3625.0
2015,NUTS,2010,CZ0,1,3847.0
2016,NUTS,2010,CZ0,1,3966.0
2017,NUTS,2010,CZ0,1,4308.0
2018,NUTS,2010,CZ0,1,4320.0
2019,NUTS,2010,CZ0,1,4354.0
2020,NUTS,2010,CZ0,1,4484.0
2001,NUTS,2010,CZ01,2,1755.0
2002,NUTS,2010,CZ01,2,1775.0
2003,NUTS,2010,CZ01,2,1811.0
2004,NUTS,2010,CZ01,2,1995.0
2005,NUTS,2010,CZ01,2,2512.0
2006,NUTS,2010,CZ01,2,2558.0
2007,NUTS,2010,CZ01,2,2664.0
2008,NUTS,2010,CZ01,2,2779.0
2009,NUTS,2010,CZ01,2,2590.0
2010,NUTS,2010,CZ01,2,2427.0
2011,NUTS,2010,CZ01,2,2548.0
2012,NUTS,2010,CZ01,2,2575.0
2013,NUTS,2010,CZ01,2,2586.0
2014,NUTS,2010,CZ01,2,2618.0
2015,NUTS,2010,CZ01,2,2555.0
2016,NUTS,2010,CZ01,2,2615.0
2017,NUTS,2010,CZ01,2,2908.0
2018,NUTS,2010,CZ01,2,2888.0
2019,NUTS,2010,CZ01,2,2838.0
2020,NUTS,2010,CZ01,2,2919.0
2001,NUTS,2010,CZ02,2,114.0
2002,NUTS,2010,CZ02,2,176.0
2003,NUTS,2010,CZ02,2,195.0
2004,NUTS,2010,CZ02,2,221.0
2005,NUTS,2010,CZ02,2,204.0
2006,NUTS,2010,CZ02,2,230.0
2007,NUTS,2010,CZ02,2,224.0
2008,NUTS,2010,CZ02,2,234.0
2009,NUTS,2010,CZ02,2,185.0
2010,NUTS,2010,CZ02,2,176.0
2011,NUTS,2010,CZ02,2,193.0
2012,NUTS,2010,CZ02,2,154.0
2013,NUTS,2010,CZ02,2,215.0
2014,NUTS,2010,CZ02,2,225.0
2015,NUTS,2010,CZ02,2,439.0
2016,NUTS,2010,CZ02,2,440.0
2017,NUTS,2010,CZ02,2,438.0
2018,NUTS,2010,CZ02,2,435.0
2019,NUTS,2010,CZ02,2,448.0
2020,NUTS,2010,CZ02,2,444.0
2001,NUTS,2010,CZ03,2,143.0
2002,NUTS,2010,CZ03,2,146.0
2003,NUTS,2010,CZ03,2,136.0
2004,NUTS,2010,CZ03,2,122.0
2005,NUTS,2010,CZ03,2,177.0
2006,NUTS,2010,CZ03,2,219.0
2007,NUTS,2010,CZ03,2,216.0
2008,NUTS,2010,CZ03,2,234.0
2009,NUTS,2010,CZ03,2,156.0
2010,NUTS,2010,CZ03,2,158.0
2011,NUTS,2010,CZ03,2,133.0
2012,NUTS,2010,CZ03,2,92.0
2013,NUTS,2010,CZ03,2,156.0
2014,NUTS,2010,CZ03,2,229.0
2015,NUTS,2010,CZ03,2,175.0
2016,NUTS,2010,CZ03,2,217.0
2017,NUTS,2010,CZ03,2,218.0
2018,NUTS,2010,CZ03,2,215.0
2019,NUTS,2010,CZ03,2,263.0
2020,NUTS,2010,CZ03,2,257.0
2001,NUTS,2010,CZ04,2,58.0
