year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_nr_avi
1984,NUTS,2010,AT31,2,1.0
1987,NUTS,2010,AT31,2,2.0
1988,NUTS,2010,AT31,2,1.0
1992,NUTS,2010,AT31,2,1.0
1993,NUTS,2010,AT31,2,2.0
1995,NUTS,2010,AT31,2,1.0
1997,NUTS,2010,AT31,2,3.0
1998,NUTS,2010,AT31,2,1.0
1999,NUTS,2010,AT31,2,1.0
2001,NUTS,2010,AT31,2,3.2
2002,NUTS,2010,AT31,2,1.0
2003,NUTS,2010,AT31,2,1.0
2006,NUTS,2010,AT31,2,1.0
2007,NUTS,2010,AT31,2,0.33
2008,NUTS,2010,AT31,2,0.5
2010,NUTS,2010,AT31,2,3.0
2011,NUTS,2010,AT31,2,1.0
2012,NUTS,2010,AT31,2,2.0
1987,NUTS,2010,AT311,3,0.67
1992,NUTS,2010,AT311,3,1.0
1993,NUTS,2010,AT311,3,1.0
1995,NUTS,2010,AT311,3,1.0
1997,NUTS,2010,AT311,3,3.0
1998,NUTS,2010,AT311,3,1.0
2001,NUTS,2010,AT311,3,3.0
2003,NUTS,2010,AT311,3,1.0
2008,NUTS,2010,AT311,3,0.5
2010,NUTS,2010,AT311,3,2.0
1987,NUTS,2010,AT312,3,1.33
1988,NUTS,2010,AT312,3,0.5
1993,NUTS,2010,AT312,3,0.5
1999,NUTS,2010,AT312,3,1.0
2002,NUTS,2010,AT312,3,1.0
2006,NUTS,2010,AT312,3,1.0
2007,NUTS,2010,AT312,3,0.33
2011,NUTS,2010,AT312,3,1.0
1980,NUTS,2010,AT313,3,0.5
1984,NUTS,2010,AT313,3,0.5
1988,NUTS,2010,AT313,3,0.5
1993,NUTS,2010,AT313,3,0.5
1980,NUTS,2010,AT315,3,0.5
1984,NUTS,2010,AT315,3,0.5
2001,NUTS,2010,AT315,3,0.2
2010,NUTS,2010,AT315,3,1.0
2012,NUTS,2010,AT315,3,2.0
1996,NUTS,2010,AT32,2,1.0
2001,NUTS,2010,AT32,2,2.0
2008,NUTS,2010,AT32,2,2.0
2011,NUTS,2010,AT32,2,1.0
1996,NUTS,2010,AT322,3,1.0
2001,NUTS,2010,AT323,3,2.0
2008,NUTS,2010,AT323,3,2.0
2011,NUTS,2010,AT323,3,1.0
1997,NUTS,2010,AT33,2,1.0
2000,NUTS,2010,AT33,2,2.0
2001,NUTS,2010,AT33,2,1.0
2003,NUTS,2010,AT33,2,1.0
2006,NUTS,2010,AT33,2,1.0
2007,NUTS,2010,AT33,2,0.33
2009,NUTS,2010,AT33,2,1.0
2000,NUTS,2010,AT332,3,2.0
2003,NUTS,2010,AT332,3,1.0
2001,NUTS,2010,AT333,3,1.0
1997,NUTS,2010,AT335,3,1.0
2006,NUTS,2010,AT335,3,1.0
2007,NUTS,2010,AT335,3,0.33
2009,NUTS,2010,AT335,3,1.0
1989,NUTS,2010,AT34,2,1.0
2004,NUTS,2010,AT34,2,2.0
2005,NUTS,2010,AT34,2,0.5
2009,NUTS,2010,AT34,2,1.0
2011,NUTS,2010,AT34,2,6.0
1989,NUTS,2010,AT341,3,1.0
2004,NUTS,2010,AT342,3,2.0
2005,NUTS,2010,AT342,3,0.5
2009,NUTS,2010,AT342,3,1.0
2011,NUTS,2010,AT342,3,6.0
2010,NUTS,2010,ATX,1,0.2
2010,NUTS,2010,ATXX,2,0.2
2010,NUTS,2010,ATXXX,3,0.2
1983,NUTS,2010,BE,0,1.0
1984,NUTS,2010,BE,0,1.0
1986,NUTS,2010,BE,0,1.0
1987,NUTS,2010,BE,0,1.0
1990,NUTS,2010,BE,0,1.0
1991,NUTS,2010,BE,0,1.0
1993,NUTS,2010,BE,0,1.0
1995,NUTS,2010,BE,0,3.0
1996,NUTS,2010,BE,0,6.67
1997,NUTS,2010,BE,0,2.0
1998,NUTS,2010,BE,0,0.5
1999,NUTS,2010,BE,0,2.5
2000,NUTS,2010,BE,0,5.0
2001,NUTS,2010,BE,0,4.7
2002,NUTS,2010,BE,0,6.5
2003,NUTS,2010,BE,0,5.0
2004,NUTS,2010,BE,0,2.5
2005,NUTS,2010,BE,0,6.0
2006,NUTS,2010,BE,0,6.75
2007,NUTS,2010,BE,0,5.25
2008,NUTS,2010,BE,0,3.0
2009,NUTS,2010,BE,0,2.0
2010,NUTS,2010,BE,0,4.5
2011,NUTS,2010,BE,0,0.9
2012,NUTS,2010,BE,0,1.0
1991,NUTS,2010,BE1,1,1.0
1996,NUTS,2010,BE1,1,2.0
1997,NUTS,2010,BE1,1,1.0
1999,NUTS,2010,BE1,1,0.33
2001,NUTS,2010,BE1,1,1.75
2004,NUTS,2010,BE1,1,0.25
2005,NUTS,2010,BE1,1,0.25
2007,NUTS,2010,BE1,1,0.83
2010,NUTS,2010,BE1,1,0.25
1991,NUTS,2010,BE10,2,1.0
1996,NUTS,2010,BE10,2,2.0
1997,NUTS,2010,BE10,2,1.0
1999,NUTS,2010,BE10,2,0.33
2001,NUTS,2010,BE10,2,1.75
2004,NUTS,2010,BE10,2,0.25
2005,NUTS,2010,BE10,2,0.25
2007,NUTS,2010,BE10,2,0.83
2010,NUTS,2010,BE10,2,0.25
1991,NUTS,2010,BE100,3,1.0
1996,NUTS,2010,BE100,3,2.0
1997,NUTS,2010,BE100,3,1.0
1999,NUTS,2010,BE100,3,0.33
2001,NUTS,2010,BE100,3,1.75
2004,NUTS,2010,BE100,3,0.25
2005,NUTS,2010,BE100,3,0.25
2007,NUTS,2010,BE100,3,0.83
2010,NUTS,2010,BE100,3,0.25
1983,NUTS,2010,BE2,1,1.0
1984,NUTS,2010,BE2,1,1.0
1986,NUTS,2010,BE2,1,1.0
1987,NUTS,2010,BE2,1,1.0
1990,NUTS,2010,BE2,1,1.0
1995,NUTS,2010,BE2,1,3.0
1996,NUTS,2010,BE2,1,4.67
1998,NUTS,2010,BE2,1,0.5
1999,NUTS,2010,BE2,1,1.0
2000,NUTS,2010,BE2,1,1.0
2001,NUTS,2010,BE2,1,1.75
2002,NUTS,2010,BE2,1,3.5
2003,NUTS,2010,BE2,1,3.0
2004,NUTS,2010,BE2,1,0.5
2005,NUTS,2010,BE2,1,3.5
2006,NUTS,2010,BE2,1,4.5
2007,NUTS,2010,BE2,1,1.92
2008,NUTS,2010,BE2,1,2.0
2009,NUTS,2010,BE2,1,1.33
2010,NUTS,2010,BE2,1,3.5
2011,NUTS,2010,BE2,1,0.5
1995,NUTS,2010,BE21,2,1.0
2000,NUTS,2010,BE21,2,1.0
2001,NUTS,2010,BE21,2,0.25
2002,NUTS,2010,BE21,2,2.0
2005,NUTS,2010,BE21,2,0.5
2006,NUTS,2010,BE21,2,2.5
2007,NUTS,2010,BE21,2,1.08
2008,NUTS,2010,BE21,2,0.5
2009,NUTS,2010,BE21,2,1.0
2010,NUTS,2010,BE21,2,0.33
2011,NUTS,2010,BE21,2,0.5
2000,NUTS,2010,BE211,3,1.0
2002,NUTS,2010,BE211,3,2.0
2007,NUTS,2010,BE211,3,0.58
2010,NUTS,2010,BE211,3,0.33
2011,NUTS,2010,BE211,3,0.5
2001,NUTS,2010,BE212,3,0.25
2006,NUTS,2010,BE212,3,2.5
2007,NUTS,2010,BE212,3,0.5
2008,NUTS,2010,BE212,3,0.5
2009,NUTS,2010,BE212,3,1.0
1995,NUTS,2010,BE213,3,1.0
2005,NUTS,2010,BE213,3,0.5
2004,NUTS,2010,BE22,2,0.5
2008,NUTS,2010,BE22,2,0.5
2010,NUTS,2010,BE22,2,1.0
2008,NUTS,2010,BE221,3,0.5
2010,NUTS,2010,BE221,3,0.5
2004,NUTS,2010,BE222,3,0.5
2010,NUTS,2010,BE223,3,0.5
1986,NUTS,2010,BE23,2,0.5
1987,NUTS,2010,BE23,2,0.5
2010,NUTS,2010,BE23,2,0.67
2010,NUTS,2010,BE231,3,0.33
2010,NUTS,2010,BE234,3,0.33
1986,NUTS,2010,BE235,3,0.5
1987,NUTS,2010,BE235,3,0.5
1983,NUTS,2010,BE24,2,1.0
1984,NUTS,2010,BE24,2,1.0
1990,NUTS,2010,BE24,2,1.0
1995,NUTS,2010,BE24,2,2.0
1996,NUTS,2010,BE24,2,4.67
1998,NUTS,2010,BE24,2,0.5
1999,NUTS,2010,BE24,2,1.0
2001,NUTS,2010,BE24,2,1.5
2002,NUTS,2010,BE24,2,1.5
2003,NUTS,2010,BE24,2,3.0
2005,NUTS,2010,BE24,2,2.0
2006,NUTS,2010,BE24,2,2.0
2007,NUTS,2010,BE24,2,0.83
2008,NUTS,2010,BE24,2,0.5
2009,NUTS,2010,BE24,2,0.33
2010,NUTS,2010,BE24,2,1.5
1983,NUTS,2010,BE241,3,1.0
1984,NUTS,2010,BE241,3,0.5
1990,NUTS,2010,BE241,3,1.0
1996,NUTS,2010,BE241,3,3.83
2001,NUTS,2010,BE241,3,0.75
2002,NUTS,2010,BE241,3,1.0
2003,NUTS,2010,BE241,3,1.33
2005,NUTS,2010,BE241,3,1.75
2006,NUTS,2010,BE241,3,1.0
2007,NUTS,2010,BE241,3,0.25
2008,NUTS,2010,BE241,3,0.5
2009,NUTS,2010,BE241,3,0.17
2010,NUTS,2010,BE241,3,1.0
1984,NUTS,2010,BE242,3,0.5
1995,NUTS,2010,BE242,3,2.0
1996,NUTS,2010,BE242,3,0.83
1998,NUTS,2010,BE242,3,0.5
1999,NUTS,2010,BE242,3,1.0
2001,NUTS,2010,BE242,3,0.75
2002,NUTS,2010,BE242,3,0.5
2003,NUTS,2010,BE242,3,1.67
2005,NUTS,2010,BE242,3,0.25
2006,NUTS,2010,BE242,3,1.0
2007,NUTS,2010,BE242,3,0.58
2009,NUTS,2010,BE242,3,0.17
2010,NUTS,2010,BE242,3,0.5
1986,NUTS,2010,BE25,2,0.5
1987,NUTS,2010,BE25,2,0.5
2005,NUTS,2010,BE25,2,1.0
2008,NUTS,2010,BE25,2,0.5
1986,NUTS,2010,BE251,3,0.5
1987,NUTS,2010,BE251,3,0.5
2008,NUTS,2010,BE251,3,0.5
2005,NUTS,2010,BE253,3,1.0
1993,NUTS,2010,BE3,1,1.0
1997,NUTS,2010,BE3,1,1.0
1999,NUTS,2010,BE3,1,1.17
2000,NUTS,2010,BE3,1,4.0
2001,NUTS,2010,BE3,1,1.2
2002,NUTS,2010,BE3,1,3.0
2003,NUTS,2010,BE3,1,2.0
2004,NUTS,2010,BE3,1,1.75
2005,NUTS,2010,BE3,1,2.25
2006,NUTS,2010,BE3,1,2.25
2007,NUTS,2010,BE3,1,2.5
2008,NUTS,2010,BE3,1,1.0
2009,NUTS,2010,BE3,1,0.67
2010,NUTS,2010,BE3,1,0.75
2011,NUTS,2010,BE3,1,0.4
2012,NUTS,2010,BE3,1,1.0
2000,NUTS,2010,BE31,2,1.0
2001,NUTS,2010,BE31,2,0.67
2002,NUTS,2010,BE31,2,1.0
2004,NUTS,2010,BE31,2,0.75
2005,NUTS,2010,BE31,2,1.25
2007,NUTS,2010,BE31,2,0.33
2008,NUTS,2010,BE31,2,0.33
2009,NUTS,2010,BE31,2,0.17
2012,NUTS,2010,BE31,2,0.5
2000,NUTS,2010,BE310,3,1.0
2001,NUTS,2010,BE310,3,0.67
2002,NUTS,2010,BE310,3,1.0
2004,NUTS,2010,BE310,3,0.75
2005,NUTS,2010,BE310,3,1.25
2007,NUTS,2010,BE310,3,0.33
2008,NUTS,2010,BE310,3,0.33
2009,NUTS,2010,BE310,3,0.17
2012,NUTS,2010,BE310,3,0.5
1993,NUTS,2010,BE32,2,1.0
2001,NUTS,2010,BE32,2,0.33
2002,NUTS,2010,BE32,2,2.0
2003,NUTS,2010,BE32,2,0.5
2006,NUTS,2010,BE32,2,2.0
2007,NUTS,2010,BE32,2,0.67
2008,NUTS,2010,BE32,2,0.67
2009,NUTS,2010,BE32,2,0.17
2011,NUTS,2010,BE32,2,0.2
2012,NUTS,2010,BE32,2,0.5
2007,NUTS,2010,BE321,3,0.33
2012,NUTS,2010,BE321,3,0.5
1993,NUTS,2010,BE322,3,1.0
2001,NUTS,2010,BE322,3,0.33
2002,NUTS,2010,BE322,3,2.0
2007,NUTS,2010,BE322,3,0.33
2008,NUTS,2010,BE322,3,0.33
2003,NUTS,2010,BE323,3,0.5
2011,NUTS,2010,BE323,3,0.2
2009,NUTS,2010,BE325,3,0.17
2006,NUTS,2010,BE326,3,2.0
2008,NUTS,2010,BE326,3,0.33
1999,NUTS,2010,BE33,2,1.17
2000,NUTS,2010,BE33,2,3.0
2001,NUTS,2010,BE33,2,0.2
2004,NUTS,2010,BE33,2,0.25
2005,NUTS,2010,BE33,2,1.0
2006,NUTS,2010,BE33,2,0.25
2007,NUTS,2010,BE33,2,1.5
2009,NUTS,2010,BE33,2,0.33
2010,NUTS,2010,BE33,2,0.75
2011,NUTS,2010,BE33,2,0.2
1999,NUTS,2010,BE331,3,0.5
2000,NUTS,2010,BE331,3,0.5
2005,NUTS,2010,BE331,3,0.5
2011,NUTS,2010,BE331,3,0.2
2000,NUTS,2010,BE332,3,2.5
2001,NUTS,2010,BE332,3,0.2
2004,NUTS,2010,BE332,3,0.25
2005,NUTS,2010,BE332,3,0.5
2007,NUTS,2010,BE332,3,1.0
2009,NUTS,2010,BE332,3,0.33
2010,NUTS,2010,BE332,3,0.75
1999,NUTS,2010,BE334,3,0.33
2007,NUTS,2010,BE334,3,0.25
1999,NUTS,2010,BE335,3,0.33
2007,NUTS,2010,BE335,3,0.25
2006,NUTS,2010,BE336,3,0.25
1997,NUTS,2010,BE35,2,1.0
2003,NUTS,2010,BE35,2,1.5
2004,NUTS,2010,BE35,2,0.75
2004,NUTS,2010,BE351,3,0.75
1997,NUTS,2010,BE352,3,1.0
2003,NUTS,2010,BE352,3,1.5
1985,NUTS,2010,BG,0,1.0
2012,NUTS,2010,BG,0,0.5
2012,NUTS,2010,BG3,1,0.25
2012,NUTS,2010,BG33,2,0.25
2012,NUTS,2010,BG332,3,0.25
1985,NUTS,2010,BG4,1,1.0
2012,NUTS,2010,BG4,1,0.25
1985,NUTS,2010,BG41,2,1.0
1985,NUTS,2010,BG411,3,1.0
2012,NUTS,2010,BG42,2,0.25
2012,NUTS,2010,BG421,3,0.25
1978,NUTS,2010,CH,0,1.0
1980,NUTS,2010,CH,0,1.0
1981,NUTS,2010,CH,0,4.0
1984,NUTS,2010,CH,0,1.0
1985,NUTS,2010,CH,0,3.0
1986,NUTS,2010,CH,0,5.0
1987,NUTS,2010,CH,0,6.5
1988,NUTS,2010,CH,0,8.0
1989,NUTS,2010,CH,0,3.0
1990,NUTS,2010,CH,0,3.0
1991,NUTS,2010,CH,0,1.0
1992,NUTS,2010,CH,0,3.0
1993,NUTS,2010,CH,0,1.0
1994,NUTS,2010,CH,0,3.0
1995,NUTS,2010,CH,0,4.14
1996,NUTS,2010,CH,0,4.0
1997,NUTS,2010,CH,0,3.0
1998,NUTS,2010,CH,0,15.83
1999,NUTS,2010,CH,0,8.0
2000,NUTS,2010,CH,0,8.0
2001,NUTS,2010,CH,0,5.5
2002,NUTS,2010,CH,0,4.5
2003,NUTS,2010,CH,0,7.75
2004,NUTS,2010,CH,0,5.58
2005,NUTS,2010,CH,0,6.33
2006,NUTS,2010,CH,0,7.17
2007,NUTS,2010,CH,0,6.11
2008,NUTS,2010,CH,0,3.0
2009,NUTS,2010,CH,0,13.62
2010,NUTS,2010,CH,0,5.54
2011,NUTS,2010,CH,0,3.0
2012,NUTS,2010,CH,0,1.75
1978,NUTS,2010,CH0,1,1.0
1980,NUTS,2010,CH0,1,1.0
1981,NUTS,2010,CH0,1,4.0
1984,NUTS,2010,CH0,1,1.0
1985,NUTS,2010,CH0,1,3.0
1986,NUTS,2010,CH0,1,5.0
1987,NUTS,2010,CH0,1,6.5
1988,NUTS,2010,CH0,1,8.0
1989,NUTS,2010,CH0,1,3.0
1990,NUTS,2010,CH0,1,3.0
1991,NUTS,2010,CH0,1,1.0
1992,NUTS,2010,CH0,1,3.0
1993,NUTS,2010,CH0,1,1.0
1994,NUTS,2010,CH0,1,3.0
1995,NUTS,2010,CH0,1,4.14
1996,NUTS,2010,CH0,1,4.0
1997,NUTS,2010,CH0,1,3.0
1998,NUTS,2010,CH0,1,15.83
1999,NUTS,2010,CH0,1,7.0
2000,NUTS,2010,CH0,1,8.0
2001,NUTS,2010,CH0,1,5.5
2002,NUTS,2010,CH0,1,4.5
2003,NUTS,2010,CH0,1,7.75
2004,NUTS,2010,CH0,1,5.58
2005,NUTS,2010,CH0,1,6.0
2006,NUTS,2010,CH0,1,7.17
2007,NUTS,2010,CH0,1,6.11
2008,NUTS,2010,CH0,1,3.0
2009,NUTS,2010,CH0,1,13.62
2010,NUTS,2010,CH0,1,5.54
2011,NUTS,2010,CH0,1,3.0
2012,NUTS,2010,CH0,1,1.75
1978,NUTS,2010,CH01,2,1.0
1981,NUTS,2010,CH01,2,0.5
1985,NUTS,2010,CH01,2,1.0
1986,NUTS,2010,CH01,2,1.0
1987,NUTS,2010,CH01,2,0.5
1988,NUTS,2010,CH01,2,2.0
1990,NUTS,2010,CH01,2,2.0
1992,NUTS,2010,CH01,2,1.0
1994,NUTS,2010,CH01,2,1.0
1995,NUTS,2010,CH01,2,0.5
1998,NUTS,2010,CH01,2,1.5
1999,NUTS,2010,CH01,2,1.0
2000,NUTS,2010,CH01,2,1.0
2001,NUTS,2010,CH01,2,0.5
2002,NUTS,2010,CH01,2,0.5
2004,NUTS,2010,CH01,2,1.58
2005,NUTS,2010,CH01,2,2.0
2006,NUTS,2010,CH01,2,1.0
2007,NUTS,2010,CH01,2,1.5
2008,NUTS,2010,CH01,2,2.0
2009,NUTS,2010,CH01,2,5.95
2012,NUTS,2010,CH01,2,0.85
1985,NUTS,2010,CH011,3,1.0
1986,NUTS,2010,CH011,3,1.0
1988,NUTS,2010,CH011,3,1.0
1990,NUTS,2010,CH011,3,1.0
1999,NUTS,2010,CH011,3,1.0
2001,NUTS,2010,CH011,3,0.5
2002,NUTS,2010,CH011,3,0.5
2004,NUTS,2010,CH011,3,0.58
2007,NUTS,2010,CH011,3,0.5
2009,NUTS,2010,CH011,3,5.7
2012,NUTS,2010,CH011,3,0.8
1978,NUTS,2010,CH012,3,1.0
1981,NUTS,2010,CH012,3,0.5
1987,NUTS,2010,CH012,3,0.5
1988,NUTS,2010,CH012,3,1.0
1992,NUTS,2010,CH012,3,1.0
1994,NUTS,2010,CH012,3,1.0
1995,NUTS,2010,CH012,3,0.5
1998,NUTS,2010,CH012,3,1.5
2006,NUTS,2010,CH012,3,1.0
2007,NUTS,2010,CH012,3,1.0
2012,NUTS,2010,CH012,3,0.05
1990,NUTS,2010,CH013,3,1.0
2000,NUTS,2010,CH013,3,1.0
2004,NUTS,2010,CH013,3,1.0
2005,NUTS,2010,CH013,3,2.0
2008,NUTS,2010,CH013,3,2.0
2009,NUTS,2010,CH013,3,0.25
1985,NUTS,2010,CH02,2,1.0
1986,NUTS,2010,CH02,2,2.0
1988,NUTS,2010,CH02,2,1.5
1990,NUTS,2010,CH02,2,1.0
1992,NUTS,2010,CH02,2,1.0
1995,NUTS,2010,CH02,2,1.0
1996,NUTS,2010,CH02,2,0.75
1998,NUTS,2010,CH02,2,0.83
1999,NUTS,2010,CH02,2,2.0
2000,NUTS,2010,CH02,2,3.0
2001,NUTS,2010,CH02,2,2.0
2002,NUTS,2010,CH02,2,0.5
2003,NUTS,2010,CH02,2,2.0
2006,NUTS,2010,CH02,2,2.0
2007,NUTS,2010,CH02,2,0.61
2009,NUTS,2010,CH02,2,1.0
2012,NUTS,2010,CH02,2,0.11
1988,NUTS,2010,CH021,3,1.5
1990,NUTS,2010,CH021,3,1.0
1992,NUTS,2010,CH021,3,1.0
1996,NUTS,2010,CH021,3,0.5
1998,NUTS,2010,CH021,3,0.83
1999,NUTS,2010,CH021,3,2.0
2000,NUTS,2010,CH021,3,3.0
2001,NUTS,2010,CH021,3,1.0
2003,NUTS,2010,CH021,3,2.0
1985,NUTS,2010,CH022,3,1.0
1986,NUTS,2010,CH022,3,1.0
2001,NUTS,2010,CH022,3,1.0
2006,NUTS,2010,CH022,3,1.0
2007,NUTS,2010,CH022,3,0.11
2009,NUTS,2010,CH022,3,1.0
2012,NUTS,2010,CH022,3,0.05
1986,NUTS,2010,CH023,3,1.0
1995,NUTS,2010,CH023,3,1.0
1996,NUTS,2010,CH023,3,0.25
2012,NUTS,2010,CH023,3,0.05
2002,NUTS,2010,CH024,3,0.5
2006,NUTS,2010,CH024,3,1.0
2007,NUTS,2010,CH024,3,0.5
1984,NUTS,2010,CH03,2,1.0
1985,NUTS,2010,CH03,2,1.0
1986,NUTS,2010,CH03,2,1.0
1988,NUTS,2010,CH03,2,1.0
1989,NUTS,2010,CH03,2,2.0
1991,NUTS,2010,CH03,2,1.0
1992,NUTS,2010,CH03,2,1.0
1997,NUTS,2010,CH03,2,1.0
1998,NUTS,2010,CH03,2,2.0
1999,NUTS,2010,CH03,2,1.0
2000,NUTS,2010,CH03,2,1.0
