year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_eur_bes
1999,NUTS,2010,EL42,2,0.67
2003,NUTS,2010,EL42,2,0.55
2005,NUTS,2010,EL42,2,0.754
2007,NUTS,2010,EL42,2,0.0
2011,NUTS,2010,EL42,2,0.659
2013,NUTS,2010,EL42,2,0.22
2015,NUTS,2010,EL42,2,0.05
2017,NUTS,2010,EL42,2,0.06
2018,NUTS,2010,EL42,2,0.49
2019,NUTS,2010,EL42,2,0.59
1986,NUTS,2010,EL43,2,0.074
1988,NUTS,2010,EL43,2,0.264
1989,NUTS,2010,EL43,2,0.21
1991,NUTS,2010,EL43,2,0.363
1993,NUTS,2010,EL43,2,1.332
1995,NUTS,2010,EL43,2,0.99
1996,NUTS,2010,EL43,2,1.617
1997,NUTS,2010,EL43,2,3.007
1999,NUTS,2010,EL43,2,2.772
2003,NUTS,2010,EL43,2,2.06
2005,NUTS,2010,EL43,2,5.646
2007,NUTS,2010,EL43,2,4.451
2011,NUTS,2010,EL43,2,6.5
2013,NUTS,2010,EL43,2,5.61
2015,NUTS,2010,EL43,2,9.24
2017,NUTS,2010,EL43,2,12.88
2018,NUTS,2010,EL43,2,13.92
2019,NUTS,2010,EL43,2,12.43
2011,NUTS,2010,EL5,1,63.125
2013,NUTS,2010,EL5,1,44.66
2015,NUTS,2010,EL5,1,49.28
2017,NUTS,2010,EL5,1,154.72
2018,NUTS,2010,EL5,1,135.58
2019,NUTS,2010,EL5,1,112.22
1986,NUTS,2010,EL51,2,0.694
1988,NUTS,2010,EL51,2,0.427
1989,NUTS,2010,EL51,2,0.495
1991,NUTS,2010,EL51,2,0.878
1993,NUTS,2010,EL51,2,2.322
1995,NUTS,2010,EL51,2,3.621
1996,NUTS,2010,EL51,2,2.03
1997,NUTS,2010,EL51,2,3.04
1999,NUTS,2010,EL51,2,5.628
2003,NUTS,2010,EL51,2,6.84
2005,NUTS,2010,EL51,2,1.394
2007,NUTS,2010,EL51,2,0.932
2011,NUTS,2010,EL51,2,13.726
2013,NUTS,2010,EL51,2,10.06
2015,NUTS,2010,EL51,2,5.69
2017,NUTS,2010,EL51,2,14.45
2018,NUTS,2010,EL51,2,13.63
2019,NUTS,2010,EL51,2,11.78
1986,NUTS,2010,EL52,2,3.447
1988,NUTS,2010,EL52,2,5.673
1989,NUTS,2010,EL52,2,5.488
1991,NUTS,2010,EL52,2,5.553
1993,NUTS,2010,EL52,2,16.366
1995,NUTS,2010,EL52,2,14.912
1996,NUTS,2010,EL52,2,14.721
1997,NUTS,2010,EL52,2,17.502
1999,NUTS,2010,EL52,2,20.962
2003,NUTS,2010,EL52,2,43.0
2005,NUTS,2010,EL52,2,40.037
2007,NUTS,2010,EL52,2,31.636
2011,NUTS,2010,EL52,2,47.491
2013,NUTS,2010,EL52,2,30.18
2015,NUTS,2010,EL52,2,37.98
2017,NUTS,2010,EL52,2,120.19
2018,NUTS,2010,EL52,2,107.6
2019,NUTS,2010,EL52,2,89.72
1988,NUTS,2010,EL53,2,0.102
1989,NUTS,2010,EL53,2,0.019
1991,NUTS,2010,EL53,2,0.424
1993,NUTS,2010,EL53,2,0.368
1995,NUTS,2010,EL53,2,3.801
1996,NUTS,2010,EL53,2,1.651
1997,NUTS,2010,EL53,2,1.839
1999,NUTS,2010,EL53,2,0.356
2003,NUTS,2010,EL53,2,2.74
2005,NUTS,2010,EL53,2,0.183
2007,NUTS,2010,EL53,2,0.0
2011,NUTS,2010,EL53,2,0.689
2013,NUTS,2010,EL53,2,0.99
2015,NUTS,2010,EL53,2,2.13
2017,NUTS,2010,EL53,2,2.05
2018,NUTS,2010,EL53,2,4.81
2019,NUTS,2010,EL53,2,3.5
1989,NUTS,2010,EL54,2,0.133
1991,NUTS,2010,EL54,2,0.514
1993,NUTS,2010,EL54,2,0.799
1995,NUTS,2010,EL54,2,0.81
1996,NUTS,2010,EL54,2,2.007
1997,NUTS,2010,EL54,2,1.586
1999,NUTS,2010,EL54,2,0.764
2003,NUTS,2010,EL54,2,0.11
2005,NUTS,2010,EL54,2,0.219
2007,NUTS,2010,EL54,2,0.812
2011,NUTS,2010,EL54,2,1.219
2013,NUTS,2010,EL54,2,3.43
2015,NUTS,2010,EL54,2,3.48
2017,NUTS,2010,EL54,2,18.03
2018,NUTS,2010,EL54,2,9.54
2019,NUTS,2010,EL54,2,7.22
2011,NUTS,2010,EL6,1,49.428
2013,NUTS,2010,EL6,1,48.95
2015,NUTS,2010,EL6,1,48.78
2017,NUTS,2010,EL6,1,69.49
2018,NUTS,2010,EL6,1,97.69
2019,NUTS,2010,EL6,1,122.34
1986,NUTS,2010,EL61,2,0.372
1988,NUTS,2010,EL61,2,1.606
1989,NUTS,2010,EL61,2,1.429
1991,NUTS,2010,EL61,2,0.636
1993,NUTS,2010,EL61,2,2.842
1995,NUTS,2010,EL61,2,4.06
1996,NUTS,2010,EL61,2,3.725
1997,NUTS,2010,EL61,2,3.304
1999,NUTS,2010,EL61,2,4.08
2003,NUTS,2010,EL61,2,5.64
2005,NUTS,2010,EL61,2,0.532
2007,NUTS,2010,EL61,2,0.402
2011,NUTS,2010,EL61,2,1.124
2013,NUTS,2010,EL61,2,4.26
2015,NUTS,2010,EL61,2,2.5
2017,NUTS,2010,EL61,2,9.15
2018,NUTS,2010,EL61,2,17.63
2019,NUTS,2010,EL61,2,23.48
1993,NUTS,2010,EL62,2,0.431
1995,NUTS,2010,EL62,2,0.113
1996,NUTS,2010,EL62,2,0.39
1997,NUTS,2010,EL62,2,0.341
1999,NUTS,2010,EL62,2,0.073
2003,NUTS,2010,EL62,2,0.0
2005,NUTS,2010,EL62,2,0.119
2007,NUTS,2010,EL62,2,0.114
2011,NUTS,2010,EL62,2,0.226
2013,NUTS,2010,EL62,2,0.09
2015,NUTS,2010,EL62,2,0.81
2017,NUTS,2010,EL62,2,0.78
2018,NUTS,2010,EL62,2,2.72
2019,NUTS,2010,EL62,2,3.18
1986,NUTS,2010,EL63,2,3.422
1988,NUTS,2010,EL63,2,3.294
1989,NUTS,2010,EL63,2,3.525
1991,NUTS,2010,EL63,2,0.726
1993,NUTS,2010,EL63,2,0.419
1995,NUTS,2010,EL63,2,3.194
1996,NUTS,2010,EL63,2,4.037
1997,NUTS,2010,EL63,2,4.108
1999,NUTS,2010,EL63,2,6.611
2003,NUTS,2010,EL63,2,2.77
2005,NUTS,2010,EL63,2,12.063
2007,NUTS,2010,EL63,2,16.206
2011,NUTS,2010,EL63,2,12.066
2013,NUTS,2010,EL63,2,12.39
2015,NUTS,2010,EL63,2,14.86
2017,NUTS,2010,EL63,2,18.85
2018,NUTS,2010,EL63,2,21.59
2019,NUTS,2010,EL63,2,25.36
1986,NUTS,2010,EL64,2,4.835
1988,NUTS,2010,EL64,2,3.091
1989,NUTS,2010,EL64,2,3.62
1991,NUTS,2010,EL64,2,9.336
1993,NUTS,2010,EL64,2,7.714
1995,NUTS,2010,EL64,2,10.38
1996,NUTS,2010,EL64,2,9.134
1997,NUTS,2010,EL64,2,8.426
1999,NUTS,2010,EL64,2,14.739
2003,NUTS,2010,EL64,2,4.87
2005,NUTS,2010,EL64,2,7.242
2007,NUTS,2010,EL64,2,4.728
2011,NUTS,2010,EL64,2,28.886
2013,NUTS,2010,EL64,2,24.69
2015,NUTS,2010,EL64,2,27.34
2017,NUTS,2010,EL64,2,30.76
2018,NUTS,2010,EL64,2,31.63
2019,NUTS,2010,EL64,2,44.73
1986,NUTS,2010,EL65,2,0.174
1988,NUTS,2010,EL65,2,0.508
1989,NUTS,2010,EL65,2,0.305
1991,NUTS,2010,EL65,2,1.074
1993,NUTS,2010,EL65,2,2.69
1995,NUTS,2010,EL65,2,4.364
1996,NUTS,2010,EL65,2,3.022
1997,NUTS,2010,EL65,2,4.935
1999,NUTS,2010,EL65,2,25.889
2003,NUTS,2010,EL65,2,6.89
2005,NUTS,2010,EL65,2,0.055
2007,NUTS,2010,EL65,2,0.141
2011,NUTS,2010,EL65,2,7.127
2013,NUTS,2010,EL65,2,7.52
2015,NUTS,2010,EL65,2,3.27
2017,NUTS,2010,EL65,2,9.95
2018,NUTS,2010,EL65,2,24.12
2019,NUTS,2010,EL65,2,25.59
2003,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZ,1,0.0
2018,NUTS,2010,ELZ,1,0.0
2003,NUTS,2010,ELZZ,2,0.0
2015,NUTS,2010,ELZZ,2,0.0
2018,NUTS,2010,ELZZ,2,0.0
1981,NUTS,2010,ES,0,322.578
1982,NUTS,2010,ES,0,435.71
1983,NUTS,2010,ES,0,408.959
1984,NUTS,2010,ES,0,516.798
1985,NUTS,2010,ES,0,664.399
1986,NUTS,2010,ES,0,802.742
1987,NUTS,2010,ES,0,891.295
1988,NUTS,2010,ES,0,1187.272
1989,NUTS,2010,ES,0,1465.749
1990,NUTS,2010,ES,0,1902.705
1991,NUTS,2010,ES,0,2089.523
1992,NUTS,2010,ES,0,2057.77
1993,NUTS,2010,ES,0,1784.829
1994,NUTS,2010,ES,0,1612.911
1995,NUTS,2010,ES,0,1747.889
1996,NUTS,2010,ES,0,1927.979
1997,NUTS,2010,ES,0,1976.782
1998,NUTS,2010,ES,0,2445.443
1999,NUTS,2010,ES,0,2597.097
2000,NUTS,2010,ES,0,3068.99
2001,NUTS,2010,ES,0,3261.031
2002,NUTS,2010,ES,0,3926.339
2003,NUTS,2010,ES,0,4443.438
2004,NUTS,2010,ES,0,4864.93
2005,NUTS,2010,ES,0,5485.034
2006,NUTS,2010,ES,0,6557.529
2007,NUTS,2010,ES,0,7453.902
2008,NUTS,2010,ES,0,8073.521
2009,NUTS,2010,ES,0,7567.596
2010,NUTS,2010,ES,0,7506.443
2011,NUTS,2010,ES,0,7396.369
2012,NUTS,2010,ES,0,7094.281
2013,NUTS,2010,ES,0,6906.396
2014,NUTS,2010,ES,0,6784.311
2015,NUTS,2010,ES,0,6920.0
2016,NUTS,2010,ES,0,7126.0
2017,NUTS,2010,ES,0,7729.0
2018,NUTS,2010,ES,0,8445.0
2019,NUTS,2010,ES,0,8741.0
2020,NUTS,2010,ES,0,8767.0
1986,NUTS,2010,ES1,1,27.539
1987,NUTS,2010,ES1,1,27.996
1988,NUTS,2010,ES1,1,35.248
1989,NUTS,2010,ES1,1,44.693
1990,NUTS,2010,ES1,1,52.597
1991,NUTS,2010,ES1,1,57.298
1992,NUTS,2010,ES1,1,69.228
1993,NUTS,2010,ES1,1,54.167
1994,NUTS,2010,ES1,1,48.948
1995,NUTS,2010,ES1,1,43.354
1996,NUTS,2010,ES1,1,47.832
1997,NUTS,2010,ES1,1,65.125
1998,NUTS,2010,ES1,1,107.265
1999,NUTS,2010,ES1,1,97.28
2000,NUTS,2010,ES1,1,132.58
2001,NUTS,2010,ES1,1,125.9
2002,NUTS,2010,ES1,1,168.1
2003,NUTS,2010,ES1,1,198.51
2004,NUTS,2010,ES1,1,206.06
2005,NUTS,2010,ES1,1,261.431
2006,NUTS,2010,ES1,1,317.075
2007,NUTS,2010,ES1,1,444.314
2008,NUTS,2010,ES1,1,433.68
2009,NUTS,2010,ES1,1,379.147
2010,NUTS,2010,ES1,1,387.941
2011,NUTS,2010,ES1,1,400.035
2012,NUTS,2010,ES1,1,371.34
2013,NUTS,2010,ES1,1,350.3
2014,NUTS,2010,ES1,1,352.146
2015,NUTS,2010,ES1,1,331.0
2016,NUTS,2010,ES1,1,349.0
2017,NUTS,2010,ES1,1,426.0
2018,NUTS,2010,ES1,1,456.0
2019,NUTS,2010,ES1,1,489.0
1986,NUTS,2010,ES11,2,10.241
1987,NUTS,2010,ES11,2,11.575
1988,NUTS,2010,ES11,2,14.196
1989,NUTS,2010,ES11,2,14.43
1990,NUTS,2010,ES11,2,21.407
1991,NUTS,2010,ES11,2,22.523
1992,NUTS,2010,ES11,2,36.51
1993,NUTS,2010,ES11,2,29.968
1994,NUTS,2010,ES11,2,27.076
1995,NUTS,2010,ES11,2,25.898
1996,NUTS,2010,ES11,2,28.569
1997,NUTS,2010,ES11,2,36.79
1998,NUTS,2010,ES11,2,48.219
1999,NUTS,2010,ES11,2,50.17
2000,NUTS,2010,ES11,2,67.23
2001,NUTS,2010,ES11,2,66.0
2002,NUTS,2010,ES11,2,112.6
2003,NUTS,2010,ES11,2,135.48
2004,NUTS,2010,ES11,2,137.62
2005,NUTS,2010,ES11,2,175.97
2006,NUTS,2010,ES11,2,198.17
2007,NUTS,2010,ES11,2,307.466
2008,NUTS,2010,ES11,2,280.742
2009,NUTS,2010,ES11,2,232.331
2010,NUTS,2010,ES11,2,239.501
2011,NUTS,2010,ES11,2,254.781
2012,NUTS,2010,ES11,2,224.415
2013,NUTS,2010,ES11,2,214.937
2014,NUTS,2010,ES11,2,227.243
2015,NUTS,2010,ES11,2,223.0
2016,NUTS,2010,ES11,2,239.0
2017,NUTS,2010,ES11,2,288.0
2018,NUTS,2010,ES11,2,296.0
2019,NUTS,2010,ES11,2,330.0
1986,NUTS,2010,ES12,2,15.095
1987,NUTS,2010,ES12,2,13.799
1988,NUTS,2010,ES12,2,14.268
1989,NUTS,2010,ES12,2,24.139
1990,NUTS,2010,ES12,2,22.049
1991,NUTS,2010,ES12,2,26.745
1992,NUTS,2010,ES12,2,25.386
1993,NUTS,2010,ES12,2,16.088
1994,NUTS,2010,ES12,2,14.543
1995,NUTS,2010,ES12,2,12.944
1996,NUTS,2010,ES12,2,14.274
1997,NUTS,2010,ES12,2,19.649
1998,NUTS,2010,ES12,2,29.349
1999,NUTS,2010,ES12,2,31.26
2000,NUTS,2010,ES12,2,56.35
2001,NUTS,2010,ES12,2,41.52
2002,NUTS,2010,ES12,2,37.1
2003,NUTS,2010,ES12,2,46.41
2004,NUTS,2010,ES12,2,50.85
2005,NUTS,2010,ES12,2,65.578
2006,NUTS,2010,ES12,2,88.03
2007,NUTS,2010,ES12,2,96.564
2008,NUTS,2010,ES12,2,99.076
2009,NUTS,2010,ES12,2,93.954
2010,NUTS,2010,ES12,2,97.862
2011,NUTS,2010,ES12,2,98.377
2012,NUTS,2010,ES12,2,101.587
2013,NUTS,2010,ES12,2,96.662
2014,NUTS,2010,ES12,2,88.901
2015,NUTS,2010,ES12,2,71.0
2016,NUTS,2010,ES12,2,74.0
2017,NUTS,2010,ES12,2,98.0
2018,NUTS,2010,ES12,2,113.0
2019,NUTS,2010,ES12,2,114.0
1986,NUTS,2010,ES13,2,2.215
1987,NUTS,2010,ES13,2,2.622
1988,NUTS,2010,ES13,2,6.784
1989,NUTS,2010,ES13,2,6.137
1990,NUTS,2010,ES13,2,9.141
1991,NUTS,2010,ES13,2,8.03
1992,NUTS,2010,ES13,2,7.332
1993,NUTS,2010,ES13,2,8.111
1994,NUTS,2010,ES13,2,7.329
1995,NUTS,2010,ES13,2,4.522
1996,NUTS,2010,ES13,2,4.989
1997,NUTS,2010,ES13,2,8.696
1998,NUTS,2010,ES13,2,29.688
1999,NUTS,2010,ES13,2,15.85
2000,NUTS,2010,ES13,2,9.0
2001,NUTS,2010,ES13,2,18.38
2002,NUTS,2010,ES13,2,18.4
2003,NUTS,2010,ES13,2,16.61
2004,NUTS,2010,ES13,2,17.58
2005,NUTS,2010,ES13,2,19.883
2006,NUTS,2010,ES13,2,30.874
2007,NUTS,2010,ES13,2,40.283
2008,NUTS,2010,ES13,2,53.862
2009,NUTS,2010,ES13,2,52.862
2010,NUTS,2010,ES13,2,50.578
2011,NUTS,2010,ES13,2,46.878
2012,NUTS,2010,ES13,2,45.338
2013,NUTS,2010,ES13,2,38.701
2014,NUTS,2010,ES13,2,36.001
2015,NUTS,2010,ES13,2,36.0
2016,NUTS,2010,ES13,2,36.0
2017,NUTS,2010,ES13,2,40.0
2018,NUTS,2010,ES13,2,47.0
2019,NUTS,2010,ES13,2,45.0
1986,NUTS,2010,ES2,1,118.158
1987,NUTS,2010,ES2,1,141.69
1988,NUTS,2010,ES2,1,186.518
1989,NUTS,2010,ES2,1,243.799
1990,NUTS,2010,ES2,1,302.777
1991,NUTS,2010,ES2,1,352.895
1992,NUTS,2010,ES2,1,321.482
1993,NUTS,2010,ES2,1,296.408
1994,NUTS,2010,ES2,1,267.857
1995,NUTS,2010,ES2,1,327.644
1996,NUTS,2010,ES2,1,361.402
1997,NUTS,2010,ES2,1,361.956
1998,NUTS,2010,ES2,1,455.046
1999,NUTS,2010,ES2,1,470.63
2000,NUTS,2010,ES2,1,513.68
2001,NUTS,2010,ES2,1,602.66
2002,NUTS,2010,ES2,1,647.6
2003,NUTS,2010,ES2,1,761.1
2004,NUTS,2010,ES2,1,912.33
2005,NUTS,2010,ES2,1,968.565
2006,NUTS,2010,ES2,1,1169.35
2007,NUTS,2010,ES2,1,1430.983
2008,NUTS,2010,ES2,1,1587.941
2009,NUTS,2010,ES2,1,1560.965
2010,NUTS,2010,ES2,1,1488.873
2011,NUTS,2010,ES2,1,1544.174
2012,NUTS,2010,ES2,1,1523.548
2013,NUTS,2010,ES2,1,1405.894
2014,NUTS,2010,ES2,1,1401.664
2015,NUTS,2010,ES2,1,1334.0
2016,NUTS,2010,ES2,1,1382.0
2017,NUTS,2010,ES2,1,1467.0
2018,NUTS,2010,ES2,1,1560.0
2019,NUTS,2010,ES2,1,1596.0
1986,NUTS,2010,ES21,2,95.412
1987,NUTS,2010,ES21,2,111.365
1988,NUTS,2010,ES21,2,149.94
1989,NUTS,2010,ES21,2,189.092
1990,NUTS,2010,ES21,2,234.469
1991,NUTS,2010,ES21,2,279.433
1992,NUTS,2010,ES21,2,249.956
1993,NUTS,2010,ES21,2,225.527
1994,NUTS,2010,ES21,2,203.811
1995,NUTS,2010,ES21,2,250.408
1996,NUTS,2010,ES21,2,276.203
1997,NUTS,2010,ES21,2,280.161
1998,NUTS,2010,ES21,2,330.703
1999,NUTS,2010,ES21,2,324.5
2000,NUTS,2010,ES21,2,359.37
2001,NUTS,2010,ES21,2,434.3
2002,NUTS,2010,ES21,2,439.5
2003,NUTS,2010,ES21,2,511.87
2004,NUTS,2010,ES21,2,616.03
2005,NUTS,2010,ES21,2,644.687
2006,NUTS,2010,ES21,2,751.868
2007,NUTS,2010,ES21,2,990.946
2008,NUTS,2010,ES21,2,1088.583
2009,NUTS,2010,ES21,2,1036.434
2010,NUTS,2010,ES21,2,982.282
2011,NUTS,2010,ES21,2,1065.789
2012,NUTS,2010,ES21,2,1085.6
2013,NUTS,2010,ES21,2,995.73
2014,NUTS,2010,ES21,2,975.297
2015,NUTS,2010,ES21,2,937.0
2016,NUTS,2010,ES21,2,979.0
2017,NUTS,2010,ES21,2,1014.0
2018,NUTS,2010,ES21,2,1104.0
2019,NUTS,2010,ES21,2,1125.0
1986,NUTS,2010,ES22,2,8.8
1987,NUTS,2010,ES22,2,12.5
1988,NUTS,2010,ES22,2,15.345
1989,NUTS,2010,ES22,2,22.876
1990,NUTS,2010,ES22,2,29.995
1991,NUTS,2010,ES22,2,31.291
1992,NUTS,2010,ES22,2,30.257
1993,NUTS,2010,ES22,2,30.849
1994,NUTS,2010,ES22,2,27.871
1995,NUTS,2010,ES22,2,31.656
1996,NUTS,2010,ES22,2,34.914
1997,NUTS,2010,ES22,2,34.223
1998,NUTS,2010,ES22,2,47.164
1999,NUTS,2010,ES22,2,58.19
2000,NUTS,2010,ES22,2,61.82
2001,NUTS,2010,ES22,2,79.94
2002,NUTS,2010,ES22,2,90.2
2003,NUTS,2010,ES22,2,128.27
2004,NUTS,2010,ES22,2,166.78
2005,NUTS,2010,ES22,2,170.044
2006,NUTS,2010,ES22,2,214.725
2007,NUTS,2010,ES22,2,219.091
2008,NUTS,2010,ES22,2,247.314
2009,NUTS,2010,ES22,2,267.254
2010,NUTS,2010,ES22,2,253.568
2011,NUTS,2010,ES22,2,265.726
2012,NUTS,2010,ES22,2,237.298
2013,NUTS,2010,ES22,2,217.831
2014,NUTS,2010,ES22,2,216.137
2015,NUTS,2010,ES22,2,204.0
2016,NUTS,2010,ES22,2,211.0
2017,NUTS,2010,ES22,2,239.0
2018,NUTS,2010,ES22,2,233.0
2019,NUTS,2010,ES22,2,238.0
1986,NUTS,2010,ES23,2,1.235
1987,NUTS,2010,ES23,2,0.363
1988,NUTS,2010,ES23,2,1.729
1989,NUTS,2010,ES23,2,3.394
1990,NUTS,2010,ES23,2,2.456
1991,NUTS,2010,ES23,2,4.676
1992,NUTS,2010,ES23,2,4.733
1993,NUTS,2010,ES23,2,5.199
1994,NUTS,2010,ES23,2,4.701
1995,NUTS,2010,ES23,2,6.676
1996,NUTS,2010,ES23,2,7.37
1997,NUTS,2010,ES23,2,6.439
1998,NUTS,2010,ES23,2,11.774
1999,NUTS,2010,ES23,2,10.84
2000,NUTS,2010,ES23,2,16.76
2001,NUTS,2010,ES23,2,13.79
2002,NUTS,2010,ES23,2,17.3
2003,NUTS,2010,ES23,2,23.35
2004,NUTS,2010,ES23,2,26.9
2005,NUTS,2010,ES23,2,29.25
2006,NUTS,2010,ES23,2,50.447
2007,NUTS,2010,ES23,2,57.065
2008,NUTS,2010,ES23,2,45.606
2009,NUTS,2010,ES23,2,46.702
2010,NUTS,2010,ES23,2,42.006
2011,NUTS,2010,ES23,2,43.565
2012,NUTS,2010,ES23,2,36.18
2013,NUTS,2010,ES23,2,30.283
2014,NUTS,2010,ES23,2,39.339
2015,NUTS,2010,ES23,2,34.0
2016,NUTS,2010,ES23,2,32.0
2017,NUTS,2010,ES23,2,39.0
2018,NUTS,2010,ES23,2,33.0
2019,NUTS,2010,ES23,2,32.0
1986,NUTS,2010,ES24,2,12.71
1987,NUTS,2010,ES24,2,17.463
1988,NUTS,2010,ES24,2,19.504
1989,NUTS,2010,ES24,2,28.438
1990,NUTS,2010,ES24,2,35.858
1991,NUTS,2010,ES24,2,37.495
1992,NUTS,2010,ES24,2,36.522
1993,NUTS,2010,ES24,2,34.832
1994,NUTS,2010,ES24,2,31.473
1995,NUTS,2010,ES24,2,38.914
1996,NUTS,2010,ES24,2,42.915
1997,NUTS,2010,ES24,2,41.123
1998,NUTS,2010,ES24,2,65.406
1999,NUTS,2010,ES24,2,77.11
2000,NUTS,2010,ES24,2,75.72
2001,NUTS,2010,ES24,2,74.63
2002,NUTS,2010,ES24,2,100.6
2003,NUTS,2010,ES24,2,97.61
2004,NUTS,2010,ES24,2,102.61
2005,NUTS,2010,ES24,2,124.584
2006,NUTS,2010,ES24,2,152.31
2007,NUTS,2010,ES24,2,163.881
2008,NUTS,2010,ES24,2,206.439
2009,NUTS,2010,ES24,2,210.576
2010,NUTS,2010,ES24,2,211.016
2011,NUTS,2010,ES24,2,169.094
2012,NUTS,2010,ES24,2,164.471
2013,NUTS,2010,ES24,2,162.051
2014,NUTS,2010,ES24,2,170.892
2015,NUTS,2010,ES24,2,160.0
2016,NUTS,2010,ES24,2,160.0
2017,NUTS,2010,ES24,2,175.0
2018,NUTS,2010,ES24,2,189.0
2019,NUTS,2010,ES24,2,200.0
1986,NUTS,2010,ES3,1,355.49
1987,NUTS,2010,ES3,1,398.479
1988,NUTS,2010,ES3,1,490.339
1989,NUTS,2010,ES3,1,639.615
1990,NUTS,2010,ES3,1,873.695
1991,NUTS,2010,ES3,1,915.503
1992,NUTS,2010,ES3,1,872.706
1993,NUTS,2010,ES3,1,724.936
1994,NUTS,2010,ES3,1,655.115
1995,NUTS,2010,ES3,1,637.158
1996,NUTS,2010,ES3,1,702.805
1997,NUTS,2010,ES3,1,681.555
1998,NUTS,2010,ES3,1,772.532
1999,NUTS,2010,ES3,1,850.86
2000,NUTS,2010,ES3,1,954.49
2001,NUTS,2010,ES3,1,1095.53
2002,NUTS,2010,ES3,1,1318.3
2003,NUTS,2010,ES3,1,1332.6
2004,NUTS,2010,ES3,1,1383.22
2005,NUTS,2010,ES3,1,1673.772
2006,NUTS,2010,ES3,1,2074.409
2007,NUTS,2010,ES3,1,2114.083
2008,NUTS,2010,ES3,1,2237.034
2009,NUTS,2010,ES3,1,2135.309
2010,NUTS,2010,ES3,1,2098.234
2011,NUTS,2010,ES3,1,2065.925
2012,NUTS,2010,ES3,1,1886.452
2013,NUTS,2010,ES3,1,1946.0
2014,NUTS,2010,ES3,1,1840.574
2015,NUTS,2010,ES3,1,1999.0
2016,NUTS,2010,ES3,1,1993.0
2017,NUTS,2010,ES3,1,2127.0
2018,NUTS,2010,ES3,1,2306.0
2019,NUTS,2010,ES3,1,2399.0
1986,NUTS,2010,ES30,2,355.49
1987,NUTS,2010,ES30,2,398.479
1988,NUTS,2010,ES30,2,490.339
1989,NUTS,2010,ES30,2,639.615
1990,NUTS,2010,ES30,2,873.695
1991,NUTS,2010,ES30,2,915.503
1992,NUTS,2010,ES30,2,872.706
1993,NUTS,2010,ES30,2,724.936
1994,NUTS,2010,ES30,2,655.115
1995,NUTS,2010,ES30,2,637.158
1996,NUTS,2010,ES30,2,702.805
1997,NUTS,2010,ES30,2,681.555
1998,NUTS,2010,ES30,2,772.532
1999,NUTS,2010,ES30,2,850.86
2000,NUTS,2010,ES30,2,954.49
2001,NUTS,2010,ES30,2,1095.53
2002,NUTS,2010,ES30,2,1318.3
2003,NUTS,2010,ES30,2,1332.6
2004,NUTS,2010,ES30,2,1383.22
2005,NUTS,2010,ES30,2,1673.772
2006,NUTS,2010,ES30,2,2074.409
2007,NUTS,2010,ES30,2,2114.083
2008,NUTS,2010,ES30,2,2237.034
2009,NUTS,2010,ES30,2,2135.309
2010,NUTS,2010,ES30,2,2098.234
2011,NUTS,2010,ES30,2,2065.925
2012,NUTS,2010,ES30,2,1886.452
2013,NUTS,2010,ES30,2,1946.0
2014,NUTS,2010,ES30,2,1840.574
2015,NUTS,2010,ES30,2,1999.0
2016,NUTS,2010,ES30,2,1993.0
2017,NUTS,2010,ES30,2,2127.0
2018,NUTS,2010,ES30,2,2306.0
2019,NUTS,2010,ES30,2,2399.0
1986,NUTS,2010,ES4,1,57.402
1987,NUTS,2010,ES4,1,28.02
1988,NUTS,2010,ES4,1,67.509
1989,NUTS,2010,ES4,1,68.117
1990,NUTS,2010,ES4,1,84.353
1991,NUTS,2010,ES4,1,88.227
1992,NUTS,2010,ES4,1,98.23
1993,NUTS,2010,ES4,1,94.5
1994,NUTS,2010,ES4,1,85.394
1995,NUTS,2010,ES4,1,90.843
1996,NUTS,2010,ES4,1,100.197
1997,NUTS,2010,ES4,1,110.351
1998,NUTS,2010,ES4,1,107.474
1999,NUTS,2010,ES4,1,117.77
2000,NUTS,2010,ES4,1,183.77
2001,NUTS,2010,ES4,1,190.85
2002,NUTS,2010,ES4,1,219.5
2003,NUTS,2010,ES4,1,250.7
2004,NUTS,2010,ES4,1,298.22
2005,NUTS,2010,ES4,1,321.205
2006,NUTS,2010,ES4,1,383.302
2007,NUTS,2010,ES4,1,493.496
2008,NUTS,2010,ES4,1,637.75
2009,NUTS,2010,ES4,1,474.409
2010,NUTS,2010,ES4,1,488.807
2011,NUTS,2010,ES4,1,488.02
2012,NUTS,2010,ES4,1,552.11
2013,NUTS,2010,ES4,1,442.78
2014,NUTS,2010,ES4,1,427.352
2015,NUTS,2010,ES4,1,410.0
2016,NUTS,2010,ES4,1,512.0
2017,NUTS,2010,ES4,1,596.0
2018,NUTS,2010,ES4,1,660.0
2019,NUTS,2010,ES4,1,705.0
1986,NUTS,2010,ES41,2,48.457
1987,NUTS,2010,ES41,2,18.282
1988,NUTS,2010,ES41,2,53.168
1989,NUTS,2010,ES41,2,55.014
1990,NUTS,2010,ES41,2,70.134
1991,NUTS,2010,ES41,2,69.577
1992,NUTS,2010,ES41,2,74.124
1993,NUTS,2010,ES41,2,75.957
1994,NUTS,2010,ES41,2,68.642
1995,NUTS,2010,ES41,2,43.344
1996,NUTS,2010,ES41,2,47.8
1997,NUTS,2010,ES41,2,46.831
