year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_nr_lsr
2008,NUTS,2010,AT126,3,0.25
2011,NUTS,2010,AT126,3,0.5
1999,NUTS,2010,AT127,3,1.5
2000,NUTS,2010,AT127,3,0.83
2002,NUTS,2010,AT127,3,0.4
2007,NUTS,2010,AT127,3,0.25
2011,NUTS,2010,AT127,3,0.25
1978,NUTS,2010,AT13,2,0.5
1980,NUTS,2010,AT13,2,0.5
1981,NUTS,2010,AT13,2,0.5
1990,NUTS,2010,AT13,2,1.0
1992,NUTS,2010,AT13,2,0.75
1993,NUTS,2010,AT13,2,1.0
1995,NUTS,2010,AT13,2,0.5
1998,NUTS,2010,AT13,2,0.5
1999,NUTS,2010,AT13,2,2.0
2000,NUTS,2010,AT13,2,0.83
2002,NUTS,2010,AT13,2,0.87
2003,NUTS,2010,AT13,2,1.5
2004,NUTS,2010,AT13,2,0.5
2005,NUTS,2010,AT13,2,1.0
2006,NUTS,2010,AT13,2,1.0
2007,NUTS,2010,AT13,2,2.08
2008,NUTS,2010,AT13,2,0.75
2010,NUTS,2010,AT13,2,1.0
2011,NUTS,2010,AT13,2,1.5
1978,NUTS,2010,AT130,3,0.5
1980,NUTS,2010,AT130,3,0.5
1981,NUTS,2010,AT130,3,0.5
1990,NUTS,2010,AT130,3,1.0
1992,NUTS,2010,AT130,3,0.75
1993,NUTS,2010,AT130,3,1.0
1995,NUTS,2010,AT130,3,0.5
1998,NUTS,2010,AT130,3,0.5
1999,NUTS,2010,AT130,3,2.0
2000,NUTS,2010,AT130,3,0.83
2002,NUTS,2010,AT130,3,0.87
2003,NUTS,2010,AT130,3,1.5
2004,NUTS,2010,AT130,3,0.5
2005,NUTS,2010,AT130,3,1.0
2006,NUTS,2010,AT130,3,1.0
2007,NUTS,2010,AT130,3,2.08
2008,NUTS,2010,AT130,3,0.75
2010,NUTS,2010,AT130,3,1.0
2011,NUTS,2010,AT130,3,1.5
1992,NUTS,2010,AT2,1,0.25
1995,NUTS,2010,AT2,1,0.25
2003,NUTS,2010,AT2,1,1.6
2006,NUTS,2010,AT2,1,1.75
1995,NUTS,2010,AT21,2,0.25
2003,NUTS,2010,AT21,2,1.6
2006,NUTS,2010,AT21,2,1.5
2003,NUTS,2010,AT211,3,1.6
2006,NUTS,2010,AT211,3,1.5
1995,NUTS,2010,AT213,3,0.25
1992,NUTS,2010,AT22,2,0.25
2006,NUTS,2010,AT22,2,0.25
1992,NUTS,2010,AT221,3,0.25
2006,NUTS,2010,AT221,3,0.25
1991,NUTS,2010,AT3,1,1.0
1992,NUTS,2010,AT3,1,1.0
1995,NUTS,2010,AT3,1,1.25
1999,NUTS,2010,AT3,1,3.0
2000,NUTS,2010,AT3,1,1.0
2001,NUTS,2010,AT3,1,2.75
2003,NUTS,2010,AT3,1,3.33
2004,NUTS,2010,AT3,1,2.0
2007,NUTS,2010,AT3,1,2.5
2008,NUTS,2010,AT3,1,2.0
2009,NUTS,2010,AT3,1,6.25
2010,NUTS,2010,AT3,1,2.0
2011,NUTS,2010,AT3,1,1.0
2012,NUTS,2010,AT3,1,1.0
1992,NUTS,2010,AT31,2,0.5
1992,NUTS,2010,AT311,3,0.5
1992,NUTS,2010,AT32,2,0.5
2001,NUTS,2010,AT32,2,0.25
1992,NUTS,2010,AT323,3,0.5
2001,NUTS,2010,AT323,3,0.25
1991,NUTS,2010,AT33,2,1.0
1995,NUTS,2010,AT33,2,0.25
2009,NUTS,2010,AT33,2,1.0
2011,NUTS,2010,AT33,2,1.0
2009,NUTS,2010,AT333,3,0.33
1991,NUTS,2010,AT335,3,1.0
1995,NUTS,2010,AT335,3,0.25
2009,NUTS,2010,AT335,3,0.67
2011,NUTS,2010,AT335,3,1.0
1995,NUTS,2010,AT34,2,1.0
1999,NUTS,2010,AT34,2,3.0
2000,NUTS,2010,AT34,2,1.0
2001,NUTS,2010,AT34,2,2.5
2003,NUTS,2010,AT34,2,3.33
2004,NUTS,2010,AT34,2,2.0
2007,NUTS,2010,AT34,2,2.5
2008,NUTS,2010,AT34,2,2.0
2009,NUTS,2010,AT34,2,5.25
2010,NUTS,2010,AT34,2,2.0
2012,NUTS,2010,AT34,2,1.0
1995,NUTS,2010,AT342,3,1.0
1999,NUTS,2010,AT342,3,3.0
2000,NUTS,2010,AT342,3,1.0
2001,NUTS,2010,AT342,3,2.5
2003,NUTS,2010,AT342,3,3.33
2004,NUTS,2010,AT342,3,2.0
2007,NUTS,2010,AT342,3,2.5
2008,NUTS,2010,AT342,3,2.0
2009,NUTS,2010,AT342,3,5.25
2010,NUTS,2010,AT342,3,2.0
2012,NUTS,2010,AT342,3,1.0
2003,NUTS,2010,ATX,1,0.4
2006,NUTS,2010,ATX,1,0.25
2003,NUTS,2010,ATXX,2,0.4
2006,NUTS,2010,ATXX,2,0.25
2003,NUTS,2010,ATXXX,3,0.4
2006,NUTS,2010,ATXXX,3,0.25
1981,NUTS,2010,BE,0,1.0
1985,NUTS,2010,BE,0,0.5
1987,NUTS,2010,BE,0,1.0
1988,NUTS,2010,BE,0,1.0
1990,NUTS,2010,BE,0,1.2
1992,NUTS,2010,BE,0,2.0
1993,NUTS,2010,BE,0,1.83
1995,NUTS,2010,BE,0,1.0
1996,NUTS,2010,BE,0,1.0
1997,NUTS,2010,BE,0,2.0
1998,NUTS,2010,BE,0,2.73
1999,NUTS,2010,BE,0,5.33
2000,NUTS,2010,BE,0,1.0
2001,NUTS,2010,BE,0,5.17
2002,NUTS,2010,BE,0,1.07
2003,NUTS,2010,BE,0,1.0
2004,NUTS,2010,BE,0,0.78
2005,NUTS,2010,BE,0,5.5
2006,NUTS,2010,BE,0,4.25
2008,NUTS,2010,BE,0,0.33
2009,NUTS,2010,BE,0,1.0
2010,NUTS,2010,BE,0,3.67
2011,NUTS,2010,BE,0,2.43
1993,NUTS,2010,BE1,1,0.17
2001,NUTS,2010,BE1,1,0.2
2002,NUTS,2010,BE1,1,0.2
2004,NUTS,2010,BE1,1,0.45
2006,NUTS,2010,BE1,1,1.0
1993,NUTS,2010,BE10,2,0.17
2001,NUTS,2010,BE10,2,0.2
2002,NUTS,2010,BE10,2,0.2
2004,NUTS,2010,BE10,2,0.45
2006,NUTS,2010,BE10,2,1.0
1993,NUTS,2010,BE100,3,0.17
2001,NUTS,2010,BE100,3,0.2
2002,NUTS,2010,BE100,3,0.2
2004,NUTS,2010,BE100,3,0.45
2006,NUTS,2010,BE100,3,1.0
1981,NUTS,2010,BE2,1,1.0
1987,NUTS,2010,BE2,1,1.0
1988,NUTS,2010,BE2,1,1.0
1990,NUTS,2010,BE2,1,1.0
1992,NUTS,2010,BE2,1,2.0
1993,NUTS,2010,BE2,1,1.67
1995,NUTS,2010,BE2,1,1.0
1996,NUTS,2010,BE2,1,1.0
1997,NUTS,2010,BE2,1,2.0
1998,NUTS,2010,BE2,1,2.73
1999,NUTS,2010,BE2,1,4.33
2000,NUTS,2010,BE2,1,1.0
2001,NUTS,2010,BE2,1,4.97
2002,NUTS,2010,BE2,1,0.33
2003,NUTS,2010,BE2,1,1.0
2005,NUTS,2010,BE2,1,5.0
2006,NUTS,2010,BE2,1,3.25
2008,NUTS,2010,BE2,1,0.33
2009,NUTS,2010,BE2,1,1.0
2010,NUTS,2010,BE2,1,3.67
2011,NUTS,2010,BE2,1,2.43
1993,NUTS,2010,BE21,2,0.5
1995,NUTS,2010,BE21,2,0.5
1998,NUTS,2010,BE21,2,1.0
2001,NUTS,2010,BE21,2,0.4
2005,NUTS,2010,BE21,2,0.75
2006,NUTS,2010,BE21,2,0.25
2009,NUTS,2010,BE21,2,0.5
2010,NUTS,2010,BE21,2,0.2
1993,NUTS,2010,BE211,3,0.5
1995,NUTS,2010,BE211,3,0.5
1998,NUTS,2010,BE211,3,1.0
2001,NUTS,2010,BE211,3,0.4
2005,NUTS,2010,BE211,3,0.58
2006,NUTS,2010,BE211,3,0.25
2010,NUTS,2010,BE211,3,0.2
2009,NUTS,2010,BE212,3,0.5
2005,NUTS,2010,BE213,3,0.17
2006,NUTS,2010,BE22,2,0.33
2006,NUTS,2010,BE223,3,0.33
1987,NUTS,2010,BE23,2,1.0
1988,NUTS,2010,BE23,2,1.0
1990,NUTS,2010,BE23,2,1.0
1992,NUTS,2010,BE23,2,1.5
1993,NUTS,2010,BE23,2,0.5
1996,NUTS,2010,BE23,2,0.75
1997,NUTS,2010,BE23,2,1.0
1998,NUTS,2010,BE23,2,0.4
1999,NUTS,2010,BE23,2,3.33
2000,NUTS,2010,BE23,2,1.0
2001,NUTS,2010,BE23,2,3.82
2002,NUTS,2010,BE23,2,0.33
2005,NUTS,2010,BE23,2,2.33
2006,NUTS,2010,BE23,2,0.5
2010,NUTS,2010,BE23,2,2.8
2011,NUTS,2010,BE23,2,2.18
1987,NUTS,2010,BE231,3,0.33
1993,NUTS,2010,BE231,3,0.5
1996,NUTS,2010,BE231,3,0.25
2010,NUTS,2010,BE232,3,0.2
2001,NUTS,2010,BE233,3,0.67
2011,NUTS,2010,BE233,3,0.25
1987,NUTS,2010,BE234,3,0.67
1988,NUTS,2010,BE234,3,1.0
1990,NUTS,2010,BE234,3,1.0
1992,NUTS,2010,BE234,3,1.5
1996,NUTS,2010,BE234,3,0.5
1997,NUTS,2010,BE234,3,1.0
1998,NUTS,2010,BE234,3,0.4
1999,NUTS,2010,BE234,3,3.33
2000,NUTS,2010,BE234,3,1.0
2001,NUTS,2010,BE234,3,3.15
2002,NUTS,2010,BE234,3,0.33
2005,NUTS,2010,BE234,3,2.33
2006,NUTS,2010,BE234,3,0.5
2010,NUTS,2010,BE234,3,1.6
2011,NUTS,2010,BE234,3,1.93
2010,NUTS,2010,BE236,3,1.0
1993,NUTS,2010,BE24,2,0.67
1995,NUTS,2010,BE24,2,0.5
1997,NUTS,2010,BE24,2,1.0
1998,NUTS,2010,BE24,2,1.0
2003,NUTS,2010,BE24,2,1.0
2005,NUTS,2010,BE24,2,1.67
2006,NUTS,2010,BE24,2,2.17
2009,NUTS,2010,BE24,2,0.5
2010,NUTS,2010,BE24,2,0.67
1993,NUTS,2010,BE241,3,0.17
1995,NUTS,2010,BE241,3,0.5
2005,NUTS,2010,BE241,3,1.33
2006,NUTS,2010,BE241,3,1.5
2009,NUTS,2010,BE241,3,0.5
2010,NUTS,2010,BE241,3,0.67
1993,NUTS,2010,BE242,3,0.5
1997,NUTS,2010,BE242,3,1.0
1998,NUTS,2010,BE242,3,1.0
2003,NUTS,2010,BE242,3,1.0
2005,NUTS,2010,BE242,3,0.33
2006,NUTS,2010,BE242,3,0.67
1981,NUTS,2010,BE25,2,1.0
1992,NUTS,2010,BE25,2,0.5
1996,NUTS,2010,BE25,2,0.25
1998,NUTS,2010,BE25,2,0.33
1999,NUTS,2010,BE25,2,1.0
2001,NUTS,2010,BE25,2,0.75
2005,NUTS,2010,BE25,2,0.25
2008,NUTS,2010,BE25,2,0.33
2011,NUTS,2010,BE25,2,0.25
1981,NUTS,2010,BE251,3,1.0
1996,NUTS,2010,BE251,3,0.25
1998,NUTS,2010,BE251,3,0.33
1999,NUTS,2010,BE251,3,1.0
2001,NUTS,2010,BE251,3,0.5
2008,NUTS,2010,BE251,3,0.33
2001,NUTS,2010,BE253,3,0.25
1992,NUTS,2010,BE254,3,0.5
2011,NUTS,2010,BE254,3,0.25
2005,NUTS,2010,BE257,3,0.25
1985,NUTS,2010,BE3,1,0.5
1990,NUTS,2010,BE3,1,0.2
1999,NUTS,2010,BE3,1,1.0
2002,NUTS,2010,BE3,1,0.2
2004,NUTS,2010,BE3,1,0.33
2005,NUTS,2010,BE3,1,0.5
1999,NUTS,2010,BE31,2,0.33
2002,NUTS,2010,BE31,2,0.2
1999,NUTS,2010,BE310,3,0.33
2002,NUTS,2010,BE310,3,0.2
2004,NUTS,2010,BE32,2,0.33
2004,NUTS,2010,BE323,3,0.33
1985,NUTS,2010,BE33,2,0.5
1990,NUTS,2010,BE33,2,0.2
2005,NUTS,2010,BE33,2,0.5
2005,NUTS,2010,BE332,3,0.5
1985,NUTS,2010,BE336,3,0.5
1990,NUTS,2010,BE336,3,0.2
1999,NUTS,2010,BE35,2,0.67
1999,NUTS,2010,BE352,3,0.67
2002,NUTS,2010,BEX,1,0.33
2002,NUTS,2010,BEXX,2,0.33
2002,NUTS,2010,BEXXX,3,0.33
2003,NUTS,2010,BG,0,0.25
2005,NUTS,2010,BG,0,0.33
2003,NUTS,2010,BG4,1,0.25
2005,NUTS,2010,BG4,1,0.33
2003,NUTS,2010,BG41,2,0.25
2005,NUTS,2010,BG41,2,0.33
2003,NUTS,2010,BG411,3,0.25
2005,NUTS,2010,BG411,3,0.33
1977,NUTS,2010,CH,0,1.0
1978,NUTS,2010,CH,0,3.0
1979,NUTS,2010,CH,0,1.0
1980,NUTS,2010,CH,0,1.0
1981,NUTS,2010,CH,0,2.0
1982,NUTS,2010,CH,0,2.0
1983,NUTS,2010,CH,0,2.0
1984,NUTS,2010,CH,0,2.5
1985,NUTS,2010,CH,0,2.5
1986,NUTS,2010,CH,0,4.0
1987,NUTS,2010,CH,0,3.25
1988,NUTS,2010,CH,0,9.25
1989,NUTS,2010,CH,0,9.5
1990,NUTS,2010,CH,0,9.25
1991,NUTS,2010,CH,0,8.25
1992,NUTS,2010,CH,0,6.75
1993,NUTS,2010,CH,0,3.33
1994,NUTS,2010,CH,0,3.0
1995,NUTS,2010,CH,0,7.0
1996,NUTS,2010,CH,0,4.25
1997,NUTS,2010,CH,0,5.14
1998,NUTS,2010,CH,0,8.39
1999,NUTS,2010,CH,0,11.8
2000,NUTS,2010,CH,0,15.25
2001,NUTS,2010,CH,0,11.25
2002,NUTS,2010,CH,0,7.0
2003,NUTS,2010,CH,0,9.42
2004,NUTS,2010,CH,0,10.8
2005,NUTS,2010,CH,0,6.0
2006,NUTS,2010,CH,0,6.38
2007,NUTS,2010,CH,0,5.67
2008,NUTS,2010,CH,0,3.75
2009,NUTS,2010,CH,0,3.5
2010,NUTS,2010,CH,0,10.42
2011,NUTS,2010,CH,0,7.33
2012,NUTS,2010,CH,0,3.75
1977,NUTS,2010,CH0,1,1.0
1978,NUTS,2010,CH0,1,2.0
1979,NUTS,2010,CH0,1,1.0
1980,NUTS,2010,CH0,1,1.0
1981,NUTS,2010,CH0,1,2.0
1982,NUTS,2010,CH0,1,2.0
1983,NUTS,2010,CH0,1,2.0
1984,NUTS,2010,CH0,1,0.5
1985,NUTS,2010,CH0,1,2.5
1986,NUTS,2010,CH0,1,4.0
1987,NUTS,2010,CH0,1,2.75
1988,NUTS,2010,CH0,1,9.25
1989,NUTS,2010,CH0,1,8.5
1990,NUTS,2010,CH0,1,9.25
1991,NUTS,2010,CH0,1,8.25
1992,NUTS,2010,CH0,1,6.75
1993,NUTS,2010,CH0,1,2.33
1994,NUTS,2010,CH0,1,3.0
1995,NUTS,2010,CH0,1,7.0
1996,NUTS,2010,CH0,1,4.25
1997,NUTS,2010,CH0,1,5.14
1998,NUTS,2010,CH0,1,8.39
1999,NUTS,2010,CH0,1,11.8
2000,NUTS,2010,CH0,1,14.92
2001,NUTS,2010,CH0,1,11.25
2002,NUTS,2010,CH0,1,7.0
2003,NUTS,2010,CH0,1,9.42
2004,NUTS,2010,CH0,1,10.8
2005,NUTS,2010,CH0,1,5.0
2006,NUTS,2010,CH0,1,6.38
2007,NUTS,2010,CH0,1,5.67
2008,NUTS,2010,CH0,1,3.75
2009,NUTS,2010,CH0,1,3.5
2010,NUTS,2010,CH0,1,10.27
2011,NUTS,2010,CH0,1,7.33
2012,NUTS,2010,CH0,1,3.75
1977,NUTS,2010,CH01,2,1.0
1978,NUTS,2010,CH01,2,0.5
1981,NUTS,2010,CH01,2,1.0
1984,NUTS,2010,CH01,2,0.5
1988,NUTS,2010,CH01,2,1.5
1990,NUTS,2010,CH01,2,2.33
1991,NUTS,2010,CH01,2,0.5
1995,NUTS,2010,CH01,2,0.5
1996,NUTS,2010,CH01,2,0.33
1997,NUTS,2010,CH01,2,2.25
1998,NUTS,2010,CH01,2,0.33
1999,NUTS,2010,CH01,2,0.33
2001,NUTS,2010,CH01,2,2.0
2002,NUTS,2010,CH01,2,0.75
2003,NUTS,2010,CH01,2,1.0
2004,NUTS,2010,CH01,2,1.5
2005,NUTS,2010,CH01,2,0.87
2006,NUTS,2010,CH01,2,1.39
2007,NUTS,2010,CH01,2,0.98
2008,NUTS,2010,CH01,2,1.33
2009,NUTS,2010,CH01,2,1.67
2010,NUTS,2010,CH01,2,1.14
2012,NUTS,2010,CH01,2,0.93
1978,NUTS,2010,CH011,3,0.5
1981,NUTS,2010,CH011,3,1.0
1984,NUTS,2010,CH011,3,0.5
1990,NUTS,2010,CH011,3,2.33
1991,NUTS,2010,CH011,3,0.5
1995,NUTS,2010,CH011,3,0.5
1996,NUTS,2010,CH011,3,0.33
1997,NUTS,2010,CH011,3,1.75
1998,NUTS,2010,CH011,3,0.33
1999,NUTS,2010,CH011,3,0.33
2001,NUTS,2010,CH011,3,2.0
2002,NUTS,2010,CH011,3,0.75
2003,NUTS,2010,CH011,3,1.0
2004,NUTS,2010,CH011,3,1.5
2005,NUTS,2010,CH011,3,0.67
2006,NUTS,2010,CH011,3,1.39
2007,NUTS,2010,CH011,3,0.4
2008,NUTS,2010,CH011,3,0.33
2009,NUTS,2010,CH011,3,1.67
2010,NUTS,2010,CH011,3,1.0
2012,NUTS,2010,CH011,3,0.93
2005,NUTS,2010,CH012,3,0.2
2007,NUTS,2010,CH012,3,0.58
2010,NUTS,2010,CH012,3,0.14
1977,NUTS,2010,CH013,3,1.0
1988,NUTS,2010,CH013,3,1.5
1997,NUTS,2010,CH013,3,0.5
2008,NUTS,2010,CH013,3,1.0
1978,NUTS,2010,CH02,2,0.5
1979,NUTS,2010,CH02,2,1.0
1980,NUTS,2010,CH02,2,1.0
1981,NUTS,2010,CH02,2,1.0
1982,NUTS,2010,CH02,2,0.5
1985,NUTS,2010,CH02,2,2.0
1986,NUTS,2010,CH02,2,2.0
1987,NUTS,2010,CH02,2,1.75
1988,NUTS,2010,CH02,2,2.25
1989,NUTS,2010,CH02,2,1.5
1990,NUTS,2010,CH02,2,1.5
1992,NUTS,2010,CH02,2,1.0
1993,NUTS,2010,CH02,2,1.0
1994,NUTS,2010,CH02,2,1.0
1995,NUTS,2010,CH02,2,3.5
1996,NUTS,2010,CH02,2,0.67
1997,NUTS,2010,CH02,2,1.14
1998,NUTS,2010,CH02,2,2.39
1999,NUTS,2010,CH02,2,3.0
2000,NUTS,2010,CH02,2,9.0
2001,NUTS,2010,CH02,2,1.0
2003,NUTS,2010,CH02,2,0.5
2004,NUTS,2010,CH02,2,1.0
2005,NUTS,2010,CH02,2,2.0
2006,NUTS,2010,CH02,2,3.24
2007,NUTS,2010,CH02,2,0.6
2008,NUTS,2010,CH02,2,0.67
2010,NUTS,2010,CH02,2,4.0
2011,NUTS,2010,CH02,2,1.0
2012,NUTS,2010,CH02,2,1.07
1979,NUTS,2010,CH021,3,1.0
1980,NUTS,2010,CH021,3,1.0
1981,NUTS,2010,CH021,3,1.0
1982,NUTS,2010,CH021,3,0.5
1985,NUTS,2010,CH021,3,2.0
1986,NUTS,2010,CH021,3,2.0
1987,NUTS,2010,CH021,3,1.25
1988,NUTS,2010,CH021,3,1.0
1989,NUTS,2010,CH021,3,0.5
1990,NUTS,2010,CH021,3,1.0
1994,NUTS,2010,CH021,3,0.5
1996,NUTS,2010,CH021,3,0.67
1997,NUTS,2010,CH021,3,1.0
1998,NUTS,2010,CH021,3,0.67
1999,NUTS,2010,CH021,3,2.0
2000,NUTS,2010,CH021,3,5.0
2003,NUTS,2010,CH021,3,0.5
2005,NUTS,2010,CH021,3,2.0
2006,NUTS,2010,CH021,3,0.5
2007,NUTS,2010,CH021,3,0.2
2008,NUTS,2010,CH021,3,0.67
2010,NUTS,2010,CH021,3,4.0
2011,NUTS,2010,CH021,3,1.0
2012,NUTS,2010,CH021,3,0.67
1978,NUTS,2010,CH022,3,0.5
1988,NUTS,2010,CH022,3,0.25
1993,NUTS,2010,CH022,3,1.0
1987,NUTS,2010,CH023,3,0.5
1990,NUTS,2010,CH023,3,0.5
1988,NUTS,2010,CH024,3,1.0
1989,NUTS,2010,CH024,3,1.0
1992,NUTS,2010,CH024,3,1.0
1994,NUTS,2010,CH024,3,0.5
1995,NUTS,2010,CH024,3,3.5
1997,NUTS,2010,CH024,3,0.14
1998,NUTS,2010,CH024,3,1.72
1999,NUTS,2010,CH024,3,1.0
2000,NUTS,2010,CH024,3,4.0
2001,NUTS,2010,CH024,3,1.0
2004,NUTS,2010,CH024,3,1.0
2006,NUTS,2010,CH024,3,2.74
2007,NUTS,2010,CH024,3,0.4
2012,NUTS,2010,CH024,3,0.4
1982,NUTS,2010,CH03,2,0.5
1983,NUTS,2010,CH03,2,0.67
1987,NUTS,2010,CH03,2,0.75
1988,NUTS,2010,CH03,2,1.25
1990,NUTS,2010,CH03,2,1.5
1991,NUTS,2010,CH03,2,1.33
1992,NUTS,2010,CH03,2,1.0
1995,NUTS,2010,CH03,2,1.0
2000,NUTS,2010,CH03,2,1.67
2001,NUTS,2010,CH03,2,2.0
2002,NUTS,2010,CH03,2,1.0
2003,NUTS,2010,CH03,2,0.33
2004,NUTS,2010,CH03,2,1.0
2006,NUTS,2010,CH03,2,0.5
2008,NUTS,2010,CH03,2,0.58
2010,NUTS,2010,CH03,2,0.4
2011,NUTS,2010,CH03,2,1.33
1991,NUTS,2010,CH031,3,0.17
2000,NUTS,2010,CH031,3,1.67
1987,NUTS,2010,CH032,3,0.17
1991,NUTS,2010,CH032,3,0.17
1982,NUTS,2010,CH033,3,0.5
1983,NUTS,2010,CH033,3,0.67
1987,NUTS,2010,CH033,3,0.58
1988,NUTS,2010,CH033,3,1.25
1990,NUTS,2010,CH033,3,1.5
1991,NUTS,2010,CH033,3,1.0
1992,NUTS,2010,CH033,3,1.0
1995,NUTS,2010,CH033,3,1.0
2001,NUTS,2010,CH033,3,2.0
2002,NUTS,2010,CH033,3,1.0
2003,NUTS,2010,CH033,3,0.33
2004,NUTS,2010,CH033,3,1.0
2006,NUTS,2010,CH033,3,0.5
2008,NUTS,2010,CH033,3,0.58
2010,NUTS,2010,CH033,3,0.4
2011,NUTS,2010,CH033,3,1.33
1978,NUTS,2010,CH04,2,1.0
1982,NUTS,2010,CH04,2,1.0
1983,NUTS,2010,CH04,2,1.33
1986,NUTS,2010,CH04,2,2.0
1988,NUTS,2010,CH04,2,4.25
1989,NUTS,2010,CH04,2,5.25
1990,NUTS,2010,CH04,2,3.25
1991,NUTS,2010,CH04,2,6.42
1992,NUTS,2010,CH04,2,4.75
1993,NUTS,2010,CH04,2,1.33
1994,NUTS,2010,CH04,2,1.67
1995,NUTS,2010,CH04,2,2.0
1996,NUTS,2010,CH04,2,1.25
1997,NUTS,2010,CH04,2,1.25
1998,NUTS,2010,CH04,2,4.73
1999,NUTS,2010,CH04,2,6.47
2000,NUTS,2010,CH04,2,2.25
2001,NUTS,2010,CH04,2,3.5
2002,NUTS,2010,CH04,2,5.25
2003,NUTS,2010,CH04,2,5.25
2004,NUTS,2010,CH04,2,1.97
2005,NUTS,2010,CH04,2,1.4
2006,NUTS,2010,CH04,2,1.25
2007,NUTS,2010,CH04,2,1.08
2008,NUTS,2010,CH04,2,1.17
2009,NUTS,2010,CH04,2,1.0
2010,NUTS,2010,CH04,2,3.86
2011,NUTS,2010,CH04,2,0.5
2012,NUTS,2010,CH04,2,0.5
1978,NUTS,2010,CH040,3,1.0
1982,NUTS,2010,CH040,3,1.0
1983,NUTS,2010,CH040,3,1.33
1986,NUTS,2010,CH040,3,2.0
1988,NUTS,2010,CH040,3,4.25
1989,NUTS,2010,CH040,3,5.25
1990,NUTS,2010,CH040,3,3.25
1991,NUTS,2010,CH040,3,6.42
1992,NUTS,2010,CH040,3,4.75
1993,NUTS,2010,CH040,3,1.33
1994,NUTS,2010,CH040,3,1.67
1995,NUTS,2010,CH040,3,2.0
1996,NUTS,2010,CH040,3,1.25
1997,NUTS,2010,CH040,3,1.25
1998,NUTS,2010,CH040,3,4.73
1999,NUTS,2010,CH040,3,6.47
2000,NUTS,2010,CH040,3,2.25
2001,NUTS,2010,CH040,3,3.5
2002,NUTS,2010,CH040,3,5.25
2003,NUTS,2010,CH040,3,5.25
2004,NUTS,2010,CH040,3,1.97
2005,NUTS,2010,CH040,3,1.4
2006,NUTS,2010,CH040,3,1.25
2007,NUTS,2010,CH040,3,1.08
2008,NUTS,2010,CH040,3,1.17
2009,NUTS,2010,CH040,3,1.0
2010,NUTS,2010,CH040,3,3.86
