year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_pps_pnp
2011,NUTS,2010,BG4,1,3.018
2012,NUTS,2010,BG4,1,7.477
2014,NUTS,2010,BG4,1,5.171
2015,NUTS,2010,BG4,1,4.671
2016,NUTS,2010,BG4,1,2.241
2017,NUTS,2010,BG4,1,6.392
2018,NUTS,2010,BG4,1,4.467
2019,NUTS,2010,BG4,1,5.957
1999,NUTS,2010,BG41,2,0.226
2000,NUTS,2010,BG41,2,0.349
2002,NUTS,2010,BG41,2,0.078
2003,NUTS,2010,BG41,2,0.641
2005,NUTS,2010,BG41,2,3.289
2008,NUTS,2010,BG41,2,3.873
2010,NUTS,2010,BG41,2,2.488
2012,NUTS,2010,BG41,2,7.24
2013,NUTS,2010,BG41,2,2.394
2014,NUTS,2010,BG41,2,5.057
2015,NUTS,2010,BG41,2,4.505
2016,NUTS,2010,BG41,2,1.059
2017,NUTS,2010,BG41,2,4.947
2018,NUTS,2010,BG41,2,3.025
2019,NUTS,2010,BG41,2,3.502
2003,NUTS,2010,BG42,2,0.0
2005,NUTS,2010,BG42,2,0.104
2012,NUTS,2010,BG42,2,0.237
2014,NUTS,2010,BG42,2,0.114
2015,NUTS,2010,BG42,2,0.166
2016,NUTS,2010,BG42,2,1.182
2017,NUTS,2010,BG42,2,1.445
2018,NUTS,2010,BG42,2,1.442
2019,NUTS,2010,BG42,2,2.455
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1996,NUTS,2010,CH,0,112.289
2000,NUTS,2010,CH,0,95.19
2004,NUTS,2010,CH,0,144.865
2008,NUTS,2010,CH,0,135.114
2012,NUTS,2010,CH,0,185.488
2015,NUTS,2010,CH,0,304.566
2017,NUTS,2010,CH,0,304.082
2019,NUTS,2010,CH,0,352.638
1996,NUTS,2010,CH0,1,112.289
2000,NUTS,2010,CH0,1,95.19
2004,NUTS,2010,CH0,1,144.865
2008,NUTS,2010,CH0,1,135.114
2012,NUTS,2010,CH0,1,185.488
2015,NUTS,2010,CH0,1,304.566
2017,NUTS,2010,CH0,1,304.082
2019,NUTS,2010,CH0,1,352.638
1998,NUTS,2010,CY,0,1.039
1999,NUTS,2010,CY,0,1.565
2000,NUTS,2010,CY,0,2.039
2001,NUTS,2010,CY,0,2.849
2002,NUTS,2010,CY,0,3.625
2003,NUTS,2010,CY,0,3.508
2004,NUTS,2010,CY,0,3.832
2005,NUTS,2010,CY,0,4.463
2006,NUTS,2010,CY,0,5.054
2007,NUTS,2010,CY,0,6.125
2008,NUTS,2010,CY,0,8.674
2009,NUTS,2010,CY,0,12.546
2010,NUTS,2010,CY,0,12.504
2011,NUTS,2010,CY,0,14.806
2012,NUTS,2010,CY,0,11.493
2013,NUTS,2010,CY,0,11.568
2014,NUTS,2010,CY,0,14.259
2015,NUTS,2010,CY,0,13.179
2016,NUTS,2010,CY,0,13.863
2017,NUTS,2010,CY,0,14.364
2018,NUTS,2010,CY,0,16.236
2019,NUTS,2010,CY,0,20.529
2020,NUTS,2010,CY,0,21.834
1998,NUTS,2010,CY0,1,1.039
1999,NUTS,2010,CY0,1,1.565
2000,NUTS,2010,CY0,1,2.039
2001,NUTS,2010,CY0,1,2.849
2002,NUTS,2010,CY0,1,3.625
2003,NUTS,2010,CY0,1,3.508
2004,NUTS,2010,CY0,1,3.832
2005,NUTS,2010,CY0,1,4.463
2006,NUTS,2010,CY0,1,5.054
2007,NUTS,2010,CY0,1,6.125
2008,NUTS,2010,CY0,1,8.674
2009,NUTS,2010,CY0,1,12.546
2010,NUTS,2010,CY0,1,12.504
2011,NUTS,2010,CY0,1,14.806
2012,NUTS,2010,CY0,1,11.493
2013,NUTS,2010,CY0,1,11.568
2014,NUTS,2010,CY0,1,14.259
2015,NUTS,2010,CY0,1,13.179
2016,NUTS,2010,CY0,1,13.863
2017,NUTS,2010,CY0,1,14.364
2018,NUTS,2010,CY0,1,16.236
2019,NUTS,2010,CY0,1,20.529
2020,NUTS,2010,CY0,1,21.834
1998,NUTS,2010,CY00,2,1.039
1999,NUTS,2010,CY00,2,1.565
2000,NUTS,2010,CY00,2,2.039
2001,NUTS,2010,CY00,2,2.849
2002,NUTS,2010,CY00,2,3.625
2003,NUTS,2010,CY00,2,3.508
2004,NUTS,2010,CY00,2,3.832
2005,NUTS,2010,CY00,2,4.463
2006,NUTS,2010,CY00,2,5.054
2007,NUTS,2010,CY00,2,6.125
2008,NUTS,2010,CY00,2,8.674
2009,NUTS,2010,CY00,2,12.546
2010,NUTS,2010,CY00,2,12.504
2011,NUTS,2010,CY00,2,14.806
2012,NUTS,2010,CY00,2,11.493
2013,NUTS,2010,CY00,2,11.568
2014,NUTS,2010,CY00,2,14.259
2015,NUTS,2010,CY00,2,13.179
2016,NUTS,2010,CY00,2,13.863
2017,NUTS,2010,CY00,2,14.364
2018,NUTS,2010,CY00,2,16.236
2019,NUTS,2010,CY00,2,20.529
2020,NUTS,2010,CY00,2,21.834
1996,NUTS,2010,CZ,0,0.969
1997,NUTS,2010,CZ,0,18.136
1998,NUTS,2010,CZ,0,3.397
1999,NUTS,2010,CZ,0,7.634
2000,NUTS,2010,CZ,0,7.783
2001,NUTS,2010,CZ,0,7.725
2002,NUTS,2010,CZ,0,5.397
2003,NUTS,2010,CZ,0,7.654
2004,NUTS,2010,CZ,0,7.512
2005,NUTS,2010,CZ,0,10.881
2006,NUTS,2010,CZ,0,11.225
2007,NUTS,2010,CZ,0,11.016
2008,NUTS,2010,CZ,0,11.602
2009,NUTS,2010,CZ,0,15.16
2010,NUTS,2010,CZ,0,17.945
2011,NUTS,2010,CZ,0,19.287
2012,NUTS,2010,CZ,0,20.521
2013,NUTS,2010,CZ,0,15.093
2014,NUTS,2010,CZ,0,19.79
2015,NUTS,2010,CZ,0,19.033
2016,NUTS,2010,CZ,0,10.887
2017,NUTS,2010,CZ,0,13.947
2018,NUTS,2010,CZ,0,12.452
2019,NUTS,2010,CZ,0,17.024
2020,NUTS,2010,CZ,0,17.295
1996,NUTS,2010,CZ0,1,0.969
1997,NUTS,2010,CZ0,1,18.136
1998,NUTS,2010,CZ0,1,3.397
1999,NUTS,2010,CZ0,1,7.634
2000,NUTS,2010,CZ0,1,7.783
2001,NUTS,2010,CZ0,1,7.725
2002,NUTS,2010,CZ0,1,5.397
2003,NUTS,2010,CZ0,1,7.654
2004,NUTS,2010,CZ0,1,7.512
2005,NUTS,2010,CZ0,1,10.881
2006,NUTS,2010,CZ0,1,11.225
2007,NUTS,2010,CZ0,1,11.016
2008,NUTS,2010,CZ0,1,11.602
2009,NUTS,2010,CZ0,1,15.16
2010,NUTS,2010,CZ0,1,17.945
2011,NUTS,2010,CZ0,1,19.287
2012,NUTS,2010,CZ0,1,20.521
2013,NUTS,2010,CZ0,1,15.093
2014,NUTS,2010,CZ0,1,19.79
2015,NUTS,2010,CZ0,1,19.033
2016,NUTS,2010,CZ0,1,10.887
2017,NUTS,2010,CZ0,1,13.947
2018,NUTS,2010,CZ0,1,12.452
2019,NUTS,2010,CZ0,1,17.024
2020,NUTS,2010,CZ0,1,17.295
2001,NUTS,2010,CZ01,2,4.143
2002,NUTS,2010,CZ01,2,3.635
2003,NUTS,2010,CZ01,2,4.45
2004,NUTS,2010,CZ01,2,5.206
2005,NUTS,2010,CZ01,2,8.735
2006,NUTS,2010,CZ01,2,8.962
2007,NUTS,2010,CZ01,2,9.081
2008,NUTS,2010,CZ01,2,9.219
2009,NUTS,2010,CZ01,2,11.143
2010,NUTS,2010,CZ01,2,11.16
2011,NUTS,2010,CZ01,2,9.106
2012,NUTS,2010,CZ01,2,9.859
2013,NUTS,2010,CZ01,2,8.206
2014,NUTS,2010,CZ01,2,8.641
2015,NUTS,2010,CZ01,2,7.945
2016,NUTS,2010,CZ01,2,7.671
2017,NUTS,2010,CZ01,2,8.14
2018,NUTS,2010,CZ01,2,6.776
2019,NUTS,2010,CZ01,2,8.764
2020,NUTS,2010,CZ01,2,8.8
2001,NUTS,2010,CZ02,2,0.187
2002,NUTS,2010,CZ02,2,0.158
2003,NUTS,2010,CZ02,2,0.274
2004,NUTS,2010,CZ02,2,0.088
2005,NUTS,2010,CZ02,2,0.197
2006,NUTS,2010,CZ02,2,0.113
2007,NUTS,2010,CZ02,2,0.073
2008,NUTS,2010,CZ02,2,0.063
2009,NUTS,2010,CZ02,2,0.046
2010,NUTS,2010,CZ02,2,0.048
2011,NUTS,2010,CZ02,2,0.227
2012,NUTS,2010,CZ02,2,0.248
2013,NUTS,2010,CZ02,2,1.101
2014,NUTS,2010,CZ02,2,0.506
2015,NUTS,2010,CZ02,2,0.502
2016,NUTS,2010,CZ02,2,0.257
2017,NUTS,2010,CZ02,2,0.312
2018,NUTS,2010,CZ02,2,0.175
2019,NUTS,2010,CZ02,2,0.104
2020,NUTS,2010,CZ02,2,0.142
2001,NUTS,2010,CZ03,2,2.391
2002,NUTS,2010,CZ03,2,0.232
2003,NUTS,2010,CZ03,2,1.3
2004,NUTS,2010,CZ03,2,1.262
2005,NUTS,2010,CZ03,2,0.822
2006,NUTS,2010,CZ03,2,0.967
2007,NUTS,2010,CZ03,2,0.206
2008,NUTS,2010,CZ03,2,0.336
2009,NUTS,2010,CZ03,2,2.068
2010,NUTS,2010,CZ03,2,1.995
2011,NUTS,2010,CZ03,2,1.046
2012,NUTS,2010,CZ03,2,2.907
2013,NUTS,2010,CZ03,2,0.597
2014,NUTS,2010,CZ03,2,1.308
2015,NUTS,2010,CZ03,2,4.995
2016,NUTS,2010,CZ03,2,1.565
2017,NUTS,2010,CZ03,2,2.713
2018,NUTS,2010,CZ03,2,2.436
2019,NUTS,2010,CZ03,2,1.9
2020,NUTS,2010,CZ03,2,1.907
2001,NUTS,2010,CZ04,2,0.044
2002,NUTS,2010,CZ04,2,0.065
2003,NUTS,2010,CZ04,2,0.215
2004,NUTS,2010,CZ04,2,0.079
2005,NUTS,2010,CZ04,2,0.0
2006,NUTS,2010,CZ04,2,0.0
2007,NUTS,2010,CZ04,2,0.237
2008,NUTS,2010,CZ04,2,0.039
2009,NUTS,2010,CZ04,2,0.041
2010,NUTS,2010,CZ04,2,0.0
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.026
2019,NUTS,2010,CZ04,2,0.046
2020,NUTS,2010,CZ04,2,0.048
2001,NUTS,2010,CZ05,2,0.118
2002,NUTS,2010,CZ05,2,0.169
2003,NUTS,2010,CZ05,2,0.22
2004,NUTS,2010,CZ05,2,0.229
2005,NUTS,2010,CZ05,2,0.254
2006,NUTS,2010,CZ05,2,0.18
2007,NUTS,2010,CZ05,2,0.126
2008,NUTS,2010,CZ05,2,0.123
2009,NUTS,2010,CZ05,2,0.125
2010,NUTS,2010,CZ05,2,0.994
2011,NUTS,2010,CZ05,2,2.192
2012,NUTS,2010,CZ05,2,1.827
2013,NUTS,2010,CZ05,2,2.358
2014,NUTS,2010,CZ05,2,0.725
2015,NUTS,2010,CZ05,2,0.149
2016,NUTS,2010,CZ05,2,0.119
2017,NUTS,2010,CZ05,2,0.514
2018,NUTS,2010,CZ05,2,0.007
2019,NUTS,2010,CZ05,2,3.476
2020,NUTS,2010,CZ05,2,3.749
2001,NUTS,2010,CZ06,2,0.36
2002,NUTS,2010,CZ06,2,0.407
2003,NUTS,2010,CZ06,2,0.537
2004,NUTS,2010,CZ06,2,0.302
2005,NUTS,2010,CZ06,2,0.311
2006,NUTS,2010,CZ06,2,0.283
2007,NUTS,2010,CZ06,2,0.275
2008,NUTS,2010,CZ06,2,0.835
2009,NUTS,2010,CZ06,2,0.973
2010,NUTS,2010,CZ06,2,2.473
2011,NUTS,2010,CZ06,2,2.927
2012,NUTS,2010,CZ06,2,1.514
2013,NUTS,2010,CZ06,2,2.178
2014,NUTS,2010,CZ06,2,2.467
2015,NUTS,2010,CZ06,2,4.381
2016,NUTS,2010,CZ06,2,0.543
2017,NUTS,2010,CZ06,2,0.912
2018,NUTS,2010,CZ06,2,1.407
2019,NUTS,2010,CZ06,2,1.051
2020,NUTS,2010,CZ06,2,1.082
