year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_rse_fte_bes
2002,NUTS,2010,AT21,2,72.0
2004,NUTS,2010,AT21,2,122.0
2006,NUTS,2010,AT21,2,147.0
2007,NUTS,2010,AT21,2,179.0
2009,NUTS,2010,AT21,2,197.0
2011,NUTS,2010,AT21,2,174.0
2013,NUTS,2010,AT21,2,156.0
2015,NUTS,2010,AT21,2,209.0
2017,NUTS,2010,AT21,2,395.0
2019,NUTS,2010,AT21,2,461.0
2002,NUTS,2010,AT22,2,187.0
2004,NUTS,2010,AT22,2,254.0
2006,NUTS,2010,AT22,2,330.0
2007,NUTS,2010,AT22,2,374.0
2009,NUTS,2010,AT22,2,467.0
2011,NUTS,2010,AT22,2,583.0
2013,NUTS,2010,AT22,2,706.0
2015,NUTS,2010,AT22,2,741.0
2017,NUTS,2010,AT22,2,871.0
2019,NUTS,2010,AT22,2,1084.0
2002,NUTS,2010,AT3,1,349.0
2004,NUTS,2010,AT3,1,447.0
2006,NUTS,2010,AT3,1,472.0
2007,NUTS,2010,AT3,1,547.0
2009,NUTS,2010,AT3,1,681.0
2011,NUTS,2010,AT3,1,777.0
2013,NUTS,2010,AT3,1,1120.0
2015,NUTS,2010,AT3,1,1228.0
2017,NUTS,2010,AT3,1,1548.0
2019,NUTS,2010,AT3,1,1681.0
2002,NUTS,2010,AT31,2,127.0
2004,NUTS,2010,AT31,2,151.0
2006,NUTS,2010,AT31,2,191.0
2007,NUTS,2010,AT31,2,217.0
2009,NUTS,2010,AT31,2,280.0
2011,NUTS,2010,AT31,2,353.0
2013,NUTS,2010,AT31,2,541.0
2015,NUTS,2010,AT31,2,591.0
2017,NUTS,2010,AT31,2,649.0
2019,NUTS,2010,AT31,2,860.0
2002,NUTS,2010,AT32,2,36.0
2004,NUTS,2010,AT32,2,36.0
2006,NUTS,2010,AT32,2,42.0
2007,NUTS,2010,AT32,2,44.0
2009,NUTS,2010,AT32,2,64.0
2011,NUTS,2010,AT32,2,88.0
2013,NUTS,2010,AT32,2,103.0
2015,NUTS,2010,AT32,2,113.0
2017,NUTS,2010,AT32,2,152.0
2019,NUTS,2010,AT32,2,196.0
2002,NUTS,2010,AT33,2,151.0
2004,NUTS,2010,AT33,2,209.0
2006,NUTS,2010,AT33,2,206.0
2007,NUTS,2010,AT33,2,245.0
2009,NUTS,2010,AT33,2,283.0
2011,NUTS,2010,AT33,2,282.0
2013,NUTS,2010,AT33,2,385.0
2015,NUTS,2010,AT33,2,432.0
2017,NUTS,2010,AT33,2,629.0
2019,NUTS,2010,AT33,2,497.0
2002,NUTS,2010,AT34,2,35.0
2004,NUTS,2010,AT34,2,51.0
2006,NUTS,2010,AT34,2,33.0
2007,NUTS,2010,AT34,2,41.0
2009,NUTS,2010,AT34,2,53.0
2011,NUTS,2010,AT34,2,55.0
2013,NUTS,2010,AT34,2,92.0
2015,NUTS,2010,AT34,2,93.0
2017,NUTS,2010,AT34,2,118.0
2019,NUTS,2010,AT34,2,127.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,40.0
2013,NUTS,2010,BA,0,49.0
2014,NUTS,2010,BA,0,30.0
2019,NUTS,2010,BA,0,102.0
1999,NUTS,2010,BE,0,2648.0
2000,NUTS,2010,BE,0,2831.0
2001,NUTS,2010,BE,0,3030.0
2002,NUTS,2010,BE,0,3029.0
2003,NUTS,2010,BE,0,3055.0
2004,NUTS,2010,BE,0,3193.0
2005,NUTS,2010,BE,0,3415.0
2006,NUTS,2010,BE,0,3694.0
2007,NUTS,2010,BE,0,3812.0
2008,NUTS,2010,BE,0,3736.0
2009,NUTS,2010,BE,0,3756.0
2010,NUTS,2010,BE,0,4354.0
2011,NUTS,2010,BE,0,4658.0
1999,NUTS,2010,BE1,1,299.0
2000,NUTS,2010,BE1,1,307.0
2001,NUTS,2010,BE1,1,320.0
2002,NUTS,2010,BE1,1,339.0
2003,NUTS,2010,BE1,1,325.0
2004,NUTS,2010,BE1,1,365.0
2005,NUTS,2010,BE1,1,378.0
2006,NUTS,2010,BE1,1,491.0
2007,NUTS,2010,BE1,1,512.0
2008,NUTS,2010,BE1,1,655.0
2009,NUTS,2010,BE1,1,659.0
2010,NUTS,2010,BE1,1,529.0
2011,NUTS,2010,BE1,1,534.0
1999,NUTS,2010,BE10,2,299.0
2000,NUTS,2010,BE10,2,307.0
2001,NUTS,2010,BE10,2,320.0
2002,NUTS,2010,BE10,2,339.0
2003,NUTS,2010,BE10,2,325.0
2004,NUTS,2010,BE10,2,365.0
2005,NUTS,2010,BE10,2,378.0
2006,NUTS,2010,BE10,2,491.0
2007,NUTS,2010,BE10,2,512.0
2008,NUTS,2010,BE10,2,655.0
2009,NUTS,2010,BE10,2,659.0
2010,NUTS,2010,BE10,2,529.0
2011,NUTS,2010,BE10,2,534.0
1999,NUTS,2010,BE2,1,1566.0
2000,NUTS,2010,BE2,1,1744.0
2001,NUTS,2010,BE2,1,1864.0
2002,NUTS,2010,BE2,1,1720.0
2003,NUTS,2010,BE2,1,1725.0
2004,NUTS,2010,BE2,1,1817.0
2005,NUTS,2010,BE2,1,1975.0
2006,NUTS,2010,BE2,1,2268.0
2007,NUTS,2010,BE2,1,2339.0
2008,NUTS,2010,BE2,1,2193.0
2009,NUTS,2010,BE2,1,2202.0
2010,NUTS,2010,BE2,1,2699.0
2011,NUTS,2010,BE2,1,2862.0
1999,NUTS,2010,BE3,1,784.0
2000,NUTS,2010,BE3,1,781.0
2001,NUTS,2010,BE3,1,845.0
2002,NUTS,2010,BE3,1,970.0
2003,NUTS,2010,BE3,1,1005.0
2004,NUTS,2010,BE3,1,1010.0
2005,NUTS,2010,BE3,1,1061.0
2006,NUTS,2010,BE3,1,934.0
2007,NUTS,2010,BE3,1,961.0
2008,NUTS,2010,BE3,1,888.0
2009,NUTS,2010,BE3,1,895.0
2010,NUTS,2010,BE3,1,1125.0
2011,NUTS,2010,BE3,1,1261.0
2000,NUTS,2010,BE32,2,781.0
2001,NUTS,2010,BE32,2,845.0
1993,NUTS,2010,BG,0,2467.0
1994,NUTS,2010,BG,0,829.0
1995,NUTS,2010,BG,0,890.0
1996,NUTS,2010,BG,0,788.0
1997,NUTS,2010,BG,0,791.0
1998,NUTS,2010,BG,0,833.0
1999,NUTS,2010,BG,0,561.0
2000,NUTS,2010,BG,0,570.0
2001,NUTS,2010,BG,0,555.0
2002,NUTS,2010,BG,0,503.0
2003,NUTS,2010,BG,0,611.0
2004,NUTS,2010,BG,0,603.0
2005,NUTS,2010,BG,0,581.0
2006,NUTS,2010,BG,0,502.0
2007,NUTS,2010,BG,0,532.0
2008,NUTS,2010,BG,0,651.0
2009,NUTS,2010,BG,0,777.0
2010,NUTS,2010,BG,0,694.0
2011,NUTS,2010,BG,0,721.0
2012,NUTS,2010,BG,0,916.0
2013,NUTS,2010,BG,0,1193.0
2014,NUTS,2010,BG,0,1426.0
2015,NUTS,2010,BG,0,2139.0
2016,NUTS,2010,BG,0,2401.0
2017,NUTS,2010,BG,0,2333.0
2018,NUTS,2010,BG,0,2746.0
2019,NUTS,2010,BG,0,2990.0
2003,NUTS,2010,BG3,1,158.0
2004,NUTS,2010,BG3,1,136.0
2005,NUTS,2010,BG3,1,54.0
2006,NUTS,2010,BG3,1,89.0
2007,NUTS,2010,BG3,1,128.0
2010,NUTS,2010,BG3,1,122.0
2011,NUTS,2010,BG3,1,117.0
2012,NUTS,2010,BG3,1,173.0
2015,NUTS,2010,BG3,1,562.0
2016,NUTS,2010,BG3,1,490.0
2017,NUTS,2010,BG3,1,559.0
2018,NUTS,2010,BG3,1,692.0
2019,NUTS,2010,BG3,1,747.0
2017,NUTS,2010,BG31,2,148.0
2018,NUTS,2010,BG31,2,186.0
2019,NUTS,2010,BG31,2,184.0
2002,NUTS,2010,BG32,2,28.0
2003,NUTS,2010,BG32,2,42.0
2004,NUTS,2010,BG32,2,48.0
2005,NUTS,2010,BG32,2,4.0
2008,NUTS,2010,BG32,2,30.0
2009,NUTS,2010,BG32,2,22.0
2010,NUTS,2010,BG32,2,12.0
2011,NUTS,2010,BG32,2,14.0
2012,NUTS,2010,BG32,2,37.0
2013,NUTS,2010,BG32,2,53.0
2014,NUTS,2010,BG32,2,68.0
2016,NUTS,2010,BG32,2,107.0
2017,NUTS,2010,BG32,2,153.0
2018,NUTS,2010,BG32,2,190.0
2019,NUTS,2010,BG32,2,195.0
2006,NUTS,2010,BG33,2,25.0
2007,NUTS,2010,BG33,2,21.0
2008,NUTS,2010,BG33,2,40.0
2009,NUTS,2010,BG33,2,35.0
2011,NUTS,2010,BG33,2,30.0
2012,NUTS,2010,BG33,2,37.0
2014,NUTS,2010,BG33,2,27.0
2015,NUTS,2010,BG33,2,141.0
2017,NUTS,2010,BG33,2,148.0
2018,NUTS,2010,BG33,2,180.0
2019,NUTS,2010,BG33,2,214.0
2002,NUTS,2010,BG34,2,44.0
2003,NUTS,2010,BG34,2,74.0
2004,NUTS,2010,BG34,2,68.0
2005,NUTS,2010,BG34,2,33.0
2006,NUTS,2010,BG34,2,52.0
2007,NUTS,2010,BG34,2,69.0
2008,NUTS,2010,BG34,2,110.0
2009,NUTS,2010,BG34,2,147.0
2010,NUTS,2010,BG34,2,49.0
2015,NUTS,2010,BG34,2,151.0
2016,NUTS,2010,BG34,2,101.0
2017,NUTS,2010,BG34,2,110.0
2018,NUTS,2010,BG34,2,136.0
2019,NUTS,2010,BG34,2,154.0
2003,NUTS,2010,BG4,1,453.0
2004,NUTS,2010,BG4,1,467.0
2005,NUTS,2010,BG4,1,527.0
2006,NUTS,2010,BG4,1,413.0
2007,NUTS,2010,BG4,1,404.0
2010,NUTS,2010,BG4,1,572.0
2011,NUTS,2010,BG4,1,604.0
2012,NUTS,2010,BG4,1,743.0
2015,NUTS,2010,BG4,1,1577.0
2016,NUTS,2010,BG4,1,1911.0
2017,NUTS,2010,BG4,1,1774.0
2018,NUTS,2010,BG4,1,2054.0
2019,NUTS,2010,BG4,1,2243.0
1999,NUTS,2010,BG41,2,359.0
2000,NUTS,2010,BG41,2,396.0
2002,NUTS,2010,BG41,2,364.0
2003,NUTS,2010,BG41,2,416.0
2004,NUTS,2010,BG41,2,440.0
2005,NUTS,2010,BG41,2,482.0
2006,NUTS,2010,BG41,2,367.0
2007,NUTS,2010,BG41,2,325.0
2009,NUTS,2010,BG41,2,421.0
2010,NUTS,2010,BG41,2,430.0
2011,NUTS,2010,BG41,2,468.0
2012,NUTS,2010,BG41,2,640.0
2015,NUTS,2010,BG41,2,1407.0
2016,NUTS,2010,BG41,2,1737.0
2017,NUTS,2010,BG41,2,1549.0
2018,NUTS,2010,BG41,2,1796.0
2019,NUTS,2010,BG41,2,1971.0
2003,NUTS,2010,BG42,2,37.0
2004,NUTS,2010,BG42,2,27.0
2005,NUTS,2010,BG42,2,45.0
2006,NUTS,2010,BG42,2,46.0
2007,NUTS,2010,BG42,2,79.0
2010,NUTS,2010,BG42,2,142.0
2011,NUTS,2010,BG42,2,136.0
2012,NUTS,2010,BG42,2,103.0
2014,NUTS,2010,BG42,2,79.0
2015,NUTS,2010,BG42,2,170.0
2016,NUTS,2010,BG42,2,174.0
2017,NUTS,2010,BG42,2,225.0
2018,NUTS,2010,BG42,2,258.0
2019,NUTS,2010,BG42,2,272.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1998,NUTS,2010,CY,0,12.0
1999,NUTS,2010,CY,0,15.0
2000,NUTS,2010,CY,0,21.0
2001,NUTS,2010,CY,0,25.0
2002,NUTS,2010,CY,0,33.0
2003,NUTS,2010,CY,0,27.0
2004,NUTS,2010,CY,0,29.0
2005,NUTS,2010,CY,0,36.0
2006,NUTS,2010,CY,0,41.0
2007,NUTS,2010,CY,0,46.0
2008,NUTS,2010,CY,0,61.0
2009,NUTS,2010,CY,0,64.0
2010,NUTS,2010,CY,0,60.0
2011,NUTS,2010,CY,0,57.0
2012,NUTS,2010,CY,0,59.0
2013,NUTS,2010,CY,0,64.0
2014,NUTS,2010,CY,0,68.0
2015,NUTS,2010,CY,0,62.0
2016,NUTS,2010,CY,0,72.0
2017,NUTS,2010,CY,0,88.0
2018,NUTS,2010,CY,0,123.0
2019,NUTS,2010,CY,0,145.0
2000,NUTS,2010,CZ,0,908.0
2001,NUTS,2010,CZ,0,939.0
2002,NUTS,2010,CZ,0,1001.0
2003,NUTS,2010,CZ,0,1051.0
2004,NUTS,2010,CZ,0,1061.0
2005,NUTS,2010,CZ,0,1370.0
2006,NUTS,2010,CZ,0,1338.0
2007,NUTS,2010,CZ,0,1525.0
2008,NUTS,2010,CZ,0,1702.0
2009,NUTS,2010,CZ,0,1686.0
2010,NUTS,2010,CZ,0,1633.0
2011,NUTS,2010,CZ,0,1832.0
2012,NUTS,2010,CZ,0,2040.0
2013,NUTS,2010,CZ,0,2218.0
2014,NUTS,2010,CZ,0,2468.0
2015,NUTS,2010,CZ,0,2362.0
2016,NUTS,2010,CZ,0,2328.0
2017,NUTS,2010,CZ,0,2445.0
2018,NUTS,2010,CZ,0,2583.0
2019,NUTS,2010,CZ,0,2790.0
2020,NUTS,2010,CZ,0,3020.0
2000,NUTS,2010,CZ0,1,908.0
2001,NUTS,2010,CZ0,1,939.0
2002,NUTS,2010,CZ0,1,1001.0
2003,NUTS,2010,CZ0,1,1051.0
2004,NUTS,2010,CZ0,1,1061.0
2005,NUTS,2010,CZ0,1,1370.0
2006,NUTS,2010,CZ0,1,1338.0
2007,NUTS,2010,CZ0,1,1525.0
2008,NUTS,2010,CZ0,1,1702.0
2009,NUTS,2010,CZ0,1,1686.0
2010,NUTS,2010,CZ0,1,1633.0
2011,NUTS,2010,CZ0,1,1832.0
2012,NUTS,2010,CZ0,1,2040.0
2013,NUTS,2010,CZ0,1,2218.0
2014,NUTS,2010,CZ0,1,2468.0
2015,NUTS,2010,CZ0,1,2362.0
2016,NUTS,2010,CZ0,1,2328.0
2017,NUTS,2010,CZ0,1,2445.0
2018,NUTS,2010,CZ0,1,2583.0
2019,NUTS,2010,CZ0,1,2790.0
2020,NUTS,2010,CZ0,1,3020.0
2001,NUTS,2010,CZ01,2,378.0
2002,NUTS,2010,CZ01,2,335.0
2003,NUTS,2010,CZ01,2,351.0
2004,NUTS,2010,CZ01,2,374.0
2005,NUTS,2010,CZ01,2,364.0
2006,NUTS,2010,CZ01,2,313.0
2007,NUTS,2010,CZ01,2,425.0
2008,NUTS,2010,CZ01,2,417.0
2009,NUTS,2010,CZ01,2,325.0
2010,NUTS,2010,CZ01,2,344.0
2011,NUTS,2010,CZ01,2,434.0
2012,NUTS,2010,CZ01,2,525.0
2013,NUTS,2010,CZ01,2,631.0
2014,NUTS,2010,CZ01,2,624.0
2015,NUTS,2010,CZ01,2,635.0
2016,NUTS,2010,CZ01,2,829.0
2017,NUTS,2010,CZ01,2,748.0
2018,NUTS,2010,CZ01,2,817.0
2019,NUTS,2010,CZ01,2,826.0
2020,NUTS,2010,CZ01,2,828.0
2001,NUTS,2010,CZ02,2,204.0
2002,NUTS,2010,CZ02,2,266.0
2003,NUTS,2010,CZ02,2,261.0
2004,NUTS,2010,CZ02,2,206.0
2005,NUTS,2010,CZ02,2,284.0
2006,NUTS,2010,CZ02,2,300.0
2007,NUTS,2010,CZ02,2,293.0
2008,NUTS,2010,CZ02,2,397.0
2009,NUTS,2010,CZ02,2,420.0
2010,NUTS,2010,CZ02,2,342.0
2011,NUTS,2010,CZ02,2,391.0
2012,NUTS,2010,CZ02,2,422.0
2013,NUTS,2010,CZ02,2,340.0
2014,NUTS,2010,CZ02,2,307.0
2015,NUTS,2010,CZ02,2,318.0
2016,NUTS,2010,CZ02,2,164.0
2017,NUTS,2010,CZ02,2,238.0
2018,NUTS,2010,CZ02,2,291.0
2019,NUTS,2010,CZ02,2,317.0
2020,NUTS,2010,CZ02,2,335.0
2001,NUTS,2010,CZ03,2,28.0
2002,NUTS,2010,CZ03,2,35.0
2003,NUTS,2010,CZ03,2,39.0
2004,NUTS,2010,CZ03,2,39.0
2005,NUTS,2010,CZ03,2,66.0
2006,NUTS,2010,CZ03,2,66.0
2007,NUTS,2010,CZ03,2,60.0
2008,NUTS,2010,CZ03,2,55.0
2009,NUTS,2010,CZ03,2,79.0
2010,NUTS,2010,CZ03,2,71.0
2011,NUTS,2010,CZ03,2,86.0
2012,NUTS,2010,CZ03,2,99.0
2013,NUTS,2010,CZ03,2,117.0
2014,NUTS,2010,CZ03,2,123.0
2015,NUTS,2010,CZ03,2,132.0
2016,NUTS,2010,CZ03,2,138.0
2017,NUTS,2010,CZ03,2,155.0
2018,NUTS,2010,CZ03,2,172.0
2019,NUTS,2010,CZ03,2,198.0
2020,NUTS,2010,CZ03,2,204.0
2001,NUTS,2010,CZ04,2,30.0
2002,NUTS,2010,CZ04,2,38.0
2003,NUTS,2010,CZ04,2,40.0
2004,NUTS,2010,CZ04,2,38.0
2005,NUTS,2010,CZ04,2,52.0
2006,NUTS,2010,CZ04,2,65.0
2007,NUTS,2010,CZ04,2,64.0
2008,NUTS,2010,CZ04,2,71.0
2009,NUTS,2010,CZ04,2,69.0
2010,NUTS,2010,CZ04,2,70.0
2011,NUTS,2010,CZ04,2,62.0
2012,NUTS,2010,CZ04,2,65.0
2013,NUTS,2010,CZ04,2,95.0
2014,NUTS,2010,CZ04,2,75.0
2015,NUTS,2010,CZ04,2,76.0
2016,NUTS,2010,CZ04,2,77.0
2017,NUTS,2010,CZ04,2,88.0
2018,NUTS,2010,CZ04,2,86.0
2019,NUTS,2010,CZ04,2,90.0
2020,NUTS,2010,CZ04,2,84.0
2001,NUTS,2010,CZ05,2,90.0
2002,NUTS,2010,CZ05,2,113.0
2003,NUTS,2010,CZ05,2,112.0
2004,NUTS,2010,CZ05,2,137.0
2005,NUTS,2010,CZ05,2,201.0
2006,NUTS,2010,CZ05,2,216.0
2007,NUTS,2010,CZ05,2,228.0
2008,NUTS,2010,CZ05,2,251.0
2009,NUTS,2010,CZ05,2,253.0
2010,NUTS,2010,CZ05,2,248.0
2011,NUTS,2010,CZ05,2,253.0
2012,NUTS,2010,CZ05,2,334.0
2013,NUTS,2010,CZ05,2,338.0
2014,NUTS,2010,CZ05,2,306.0
2015,NUTS,2010,CZ05,2,339.0
2016,NUTS,2010,CZ05,2,327.0
2017,NUTS,2010,CZ05,2,383.0
2018,NUTS,2010,CZ05,2,343.0
2019,NUTS,2010,CZ05,2,342.0
2020,NUTS,2010,CZ05,2,395.0
2001,NUTS,2010,CZ06,2,91.0
2002,NUTS,2010,CZ06,2,106.0
2003,NUTS,2010,CZ06,2,127.0
2004,NUTS,2010,CZ06,2,135.0
2005,NUTS,2010,CZ06,2,244.0
2006,NUTS,2010,CZ06,2,188.0
2007,NUTS,2010,CZ06,2,258.0
2008,NUTS,2010,CZ06,2,305.0
2009,NUTS,2010,CZ06,2,320.0
2010,NUTS,2010,CZ06,2,327.0
2011,NUTS,2010,CZ06,2,347.0
2012,NUTS,2010,CZ06,2,311.0
2013,NUTS,2010,CZ06,2,438.0
2014,NUTS,2010,CZ06,2,775.0
2015,NUTS,2010,CZ06,2,565.0
2016,NUTS,2010,CZ06,2,501.0
2017,NUTS,2010,CZ06,2,500.0
2018,NUTS,2010,CZ06,2,531.0
2019,NUTS,2010,CZ06,2,606.0
2020,NUTS,2010,CZ06,2,722.0
2001,NUTS,2010,CZ07,2,61.0
2002,NUTS,2010,CZ07,2,64.0
2003,NUTS,2010,CZ07,2,68.0
2004,NUTS,2010,CZ07,2,69.0
2005,NUTS,2010,CZ07,2,107.0
2006,NUTS,2010,CZ07,2,133.0
2007,NUTS,2010,CZ07,2,133.0
2008,NUTS,2010,CZ07,2,141.0
2009,NUTS,2010,CZ07,2,139.0
2010,NUTS,2010,CZ07,2,139.0
2011,NUTS,2010,CZ07,2,158.0
2012,NUTS,2010,CZ07,2,156.0
2013,NUTS,2010,CZ07,2,155.0
2014,NUTS,2010,CZ07,2,160.0
2015,NUTS,2010,CZ07,2,181.0
2016,NUTS,2010,CZ07,2,161.0
2017,NUTS,2010,CZ07,2,156.0
2018,NUTS,2010,CZ07,2,159.0
2019,NUTS,2010,CZ07,2,215.0
2020,NUTS,2010,CZ07,2,242.0
2001,NUTS,2010,CZ08,2,57.0
2002,NUTS,2010,CZ08,2,44.0
2003,NUTS,2010,CZ08,2,53.0
2004,NUTS,2010,CZ08,2,63.0
2005,NUTS,2010,CZ08,2,53.0
2006,NUTS,2010,CZ08,2,58.0
2007,NUTS,2010,CZ08,2,64.0
2008,NUTS,2010,CZ08,2,66.0
2009,NUTS,2010,CZ08,2,83.0
2010,NUTS,2010,CZ08,2,93.0
2011,NUTS,2010,CZ08,2,100.0
2012,NUTS,2010,CZ08,2,128.0
2013,NUTS,2010,CZ08,2,104.0
2014,NUTS,2010,CZ08,2,98.0
2015,NUTS,2010,CZ08,2,116.0
2016,NUTS,2010,CZ08,2,130.0
2017,NUTS,2010,CZ08,2,177.0
2018,NUTS,2010,CZ08,2,185.0
2019,NUTS,2010,CZ08,2,197.0
2020,NUTS,2010,CZ08,2,211.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
1997,NUTS,2010,DE,0,22150.0
1999,NUTS,2010,DE,0,14414.0
2001,NUTS,2010,DE,0,18544.0
2003,NUTS,2010,DE,0,18035.0
2005,NUTS,2010,DE,0,19013.0
2007,NUTS,2010,DE,0,19682.0
2009,NUTS,2010,DE,0,22961.0
2011,NUTS,2010,DE,0,26485.0
2013,NUTS,2010,DE,0,27136.0
2015,NUTS,2010,DE,0,32926.0
2017,NUTS,2010,DE,0,36035.0
2019,NUTS,2010,DE,0,40101.0
2017,NUTS,2010,DE1,1,9706.0
2019,NUTS,2010,DE1,1,10450.0
2017,NUTS,2010,DE11,2,5306.0
2019,NUTS,2010,DE11,2,5482.0
2017,NUTS,2010,DE12,2,2061.0
2019,NUTS,2010,DE12,2,2242.0
2017,NUTS,2010,DE13,2,856.0
2019,NUTS,2010,DE13,2,984.0
2017,NUTS,2010,DE14,2,1484.0
2019,NUTS,2010,DE14,2,1742.0
2017,NUTS,2010,DE2,1,7198.0
2019,NUTS,2010,DE2,1,8371.0
2017,NUTS,2010,DE21,2,4149.0
2019,NUTS,2010,DE21,2,4910.0
2017,NUTS,2010,DE22,2,240.0
2019,NUTS,2010,DE22,2,283.0
2017,NUTS,2010,DE23,2,443.0
2019,NUTS,2010,DE23,2,570.0
2017,NUTS,2010,DE24,2,347.0
2019,NUTS,2010,DE24,2,445.0
2017,NUTS,2010,DE25,2,952.0
2019,NUTS,2010,DE25,2,1057.0
2017,NUTS,2010,DE26,2,564.0
2019,NUTS,2010,DE26,2,597.0
2017,NUTS,2010,DE27,2,503.0
2019,NUTS,2010,DE27,2,507.0
2017,NUTS,2010,DE3,1,1973.0
2019,NUTS,2010,DE3,1,2165.0
2017,NUTS,2010,DE30,2,1973.0
2019,NUTS,2010,DE30,2,2165.0
