year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_hc_f
2013,NUTS,2010,BE2,1,11563.0
2014,NUTS,2010,BE2,1,12469.0
2015,NUTS,2010,BE2,1,12753.0
2016,NUTS,2010,BE2,1,12865.0
2017,NUTS,2010,BE2,1,12933.0
2018,NUTS,2010,BE2,1,13705.0
2019,NUTS,2010,BE2,1,14015.0
2012,NUTS,2010,BE3,1,4384.0
2013,NUTS,2010,BE3,1,4342.0
2014,NUTS,2010,BE3,1,4680.0
2015,NUTS,2010,BE3,1,4554.0
2016,NUTS,2010,BE3,1,4943.0
2017,NUTS,2010,BE3,1,5104.0
2018,NUTS,2010,BE3,1,5621.0
2019,NUTS,2010,BE3,1,5614.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,3903.0
2012,NUTS,2010,BG,0,4011.0
2013,NUTS,2010,BG,0,4088.0
2014,NUTS,2010,BG,0,4858.0
2015,NUTS,2010,BG,0,4894.0
2016,NUTS,2010,BG,0,5254.0
2017,NUTS,2010,BG,0,4915.0
2018,NUTS,2010,BG,0,5265.0
2019,NUTS,2010,BG,0,5178.0
2011,NUTS,2010,BG3,1,1505.0
2013,NUTS,2010,BG3,1,1840.0
2014,NUTS,2010,BG3,1,2297.0
2015,NUTS,2010,BG3,1,2391.0
2016,NUTS,2010,BG3,1,2117.0
2017,NUTS,2010,BG3,1,2165.0
2018,NUTS,2010,BG3,1,2287.0
2019,NUTS,2010,BG3,1,2300.0
2011,NUTS,2010,BG32,2,485.0
2012,NUTS,2010,BG32,2,483.0
2013,NUTS,2010,BG32,2,502.0
2014,NUTS,2010,BG32,2,621.0
2015,NUTS,2010,BG32,2,672.0
2016,NUTS,2010,BG32,2,509.0
2017,NUTS,2010,BG32,2,547.0
2018,NUTS,2010,BG32,2,559.0
2019,NUTS,2010,BG32,2,473.0
2011,NUTS,2010,BG33,2,577.0
2012,NUTS,2010,BG33,2,642.0
2013,NUTS,2010,BG33,2,760.0
2014,NUTS,2010,BG33,2,1097.0
2012,NUTS,2010,BG34,2,497.0
2016,NUTS,2010,BG34,2,471.0
2017,NUTS,2010,BG34,2,437.0
2011,NUTS,2010,BG4,1,2398.0
2013,NUTS,2010,BG4,1,2248.0
2014,NUTS,2010,BG4,1,2561.0
2015,NUTS,2010,BG4,1,2503.0
2016,NUTS,2010,BG4,1,3137.0
2017,NUTS,2010,BG4,1,2750.0
2018,NUTS,2010,BG4,1,2978.0
2019,NUTS,2010,BG4,1,2878.0
2012,NUTS,2010,BG41,2,1847.0
2013,NUTS,2010,BG41,2,1767.0
2014,NUTS,2010,BG41,2,1943.0
2016,NUTS,2010,BG41,2,2558.0
2017,NUTS,2010,BG41,2,1994.0
2018,NUTS,2010,BG41,2,2184.0
2019,NUTS,2010,BG41,2,1810.0
2013,NUTS,2010,BG42,2,481.0
2014,NUTS,2010,BG42,2,618.0
2016,NUTS,2010,BG42,2,579.0
2017,NUTS,2010,BG42,2,756.0
2018,NUTS,2010,BG42,2,794.0
2019,NUTS,2010,BG42,2,1068.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,27514.0
2015,NUTS,2010,CH,0,28672.0
2017,NUTS,2010,CH,0,29975.0
2019,NUTS,2010,CH,0,32326.0
2011,NUTS,2010,CN_X_HK,5,230197.0
2012,NUTS,2010,CN_X_HK,5,254407.0
2013,NUTS,2010,CN_X_HK,5,277034.0
2014,NUTS,2010,CN_X_HK,5,305306.0
2015,NUTS,2010,CN_X_HK,5,347313.0
2016,NUTS,2010,CN_X_HK,5,358727.0
2017,NUTS,2010,CN_X_HK,5,392795.0
2018,NUTS,2010,CN_X_HK,5,428250.0
2019,NUTS,2010,CN_X_HK,5,462421.0
2011,NUTS,2010,CY,0,570.0
2012,NUTS,2010,CY,0,577.0
2013,NUTS,2010,CY,0,707.0
2014,NUTS,2010,CY,0,667.0
2015,NUTS,2010,CY,0,655.0
2016,NUTS,2010,CY,0,653.0
2017,NUTS,2010,CY,0,693.0
2018,NUTS,2010,CY,0,739.0
2019,NUTS,2010,CY,0,812.0
2011,NUTS,2010,CZ,0,12106.0
2012,NUTS,2010,CZ,0,12444.0
2013,NUTS,2010,CZ,0,13639.0
2014,NUTS,2010,CZ,0,13495.0
2015,NUTS,2010,CZ,0,14217.0
2016,NUTS,2010,CZ,0,13015.0
2017,NUTS,2010,CZ,0,13925.0
2018,NUTS,2010,CZ,0,15123.0
2019,NUTS,2010,CZ,0,15508.0
2020,NUTS,2010,CZ,0,15963.0
2011,NUTS,2010,CZ0,1,12106.0
2012,NUTS,2010,CZ0,1,12444.0
2013,NUTS,2010,CZ0,1,13639.0
2014,NUTS,2010,CZ0,1,13495.0
2015,NUTS,2010,CZ0,1,14217.0
2016,NUTS,2010,CZ0,1,13015.0
2017,NUTS,2010,CZ0,1,13925.0
2018,NUTS,2010,CZ0,1,15123.0
2019,NUTS,2010,CZ0,1,15508.0
2020,NUTS,2010,CZ0,1,15963.0
2011,NUTS,2010,CZ01,2,4753.0
2012,NUTS,2010,CZ01,2,4270.0
2013,NUTS,2010,CZ01,2,5045.0
2014,NUTS,2010,CZ01,2,4915.0
2015,NUTS,2010,CZ01,2,4827.0
2016,NUTS,2010,CZ01,2,4150.0
2017,NUTS,2010,CZ01,2,4797.0
2018,NUTS,2010,CZ01,2,5042.0
2019,NUTS,2010,CZ01,2,5213.0
2020,NUTS,2010,CZ01,2,5312.0
2011,NUTS,2010,CZ02,2,73.0
2012,NUTS,2010,CZ02,2,75.0
2013,NUTS,2010,CZ02,2,79.0
2014,NUTS,2010,CZ02,2,104.0
2015,NUTS,2010,CZ02,2,132.0
2016,NUTS,2010,CZ02,2,105.0
2017,NUTS,2010,CZ02,2,100.0
2018,NUTS,2010,CZ02,2,106.0
2019,NUTS,2010,CZ02,2,122.0
2020,NUTS,2010,CZ02,2,124.0
2011,NUTS,2010,CZ03,2,1221.0
2012,NUTS,2010,CZ03,2,1229.0
2013,NUTS,2010,CZ03,2,1275.0
2014,NUTS,2010,CZ03,2,1349.0
2015,NUTS,2010,CZ03,2,1328.0
2016,NUTS,2010,CZ03,2,1340.0
2017,NUTS,2010,CZ03,2,1436.0
2018,NUTS,2010,CZ03,2,1493.0
2019,NUTS,2010,CZ03,2,1447.0
2020,NUTS,2010,CZ03,2,1484.0
2011,NUTS,2010,CZ04,2,146.0
2012,NUTS,2010,CZ04,2,141.0
2013,NUTS,2010,CZ04,2,195.0
2014,NUTS,2010,CZ04,2,198.0
2015,NUTS,2010,CZ04,2,199.0
2016,NUTS,2010,CZ04,2,208.0
2017,NUTS,2010,CZ04,2,216.0
2018,NUTS,2010,CZ04,2,247.0
2019,NUTS,2010,CZ04,2,209.0
2020,NUTS,2010,CZ04,2,276.0
2011,NUTS,2010,CZ05,2,1073.0
2012,NUTS,2010,CZ05,2,1027.0
2013,NUTS,2010,CZ05,2,1210.0
2014,NUTS,2010,CZ05,2,1234.0
2015,NUTS,2010,CZ05,2,1227.0
2016,NUTS,2010,CZ05,2,1157.0
2017,NUTS,2010,CZ05,2,1246.0
2018,NUTS,2010,CZ05,2,1361.0
2019,NUTS,2010,CZ05,2,1420.0
2020,NUTS,2010,CZ05,2,1494.0
2011,NUTS,2010,CZ06,2,2639.0
2012,NUTS,2010,CZ06,2,3109.0
2013,NUTS,2010,CZ06,2,3332.0
2014,NUTS,2010,CZ06,2,3199.0
2015,NUTS,2010,CZ06,2,3780.0
2016,NUTS,2010,CZ06,2,3338.0
2017,NUTS,2010,CZ06,2,3608.0
2018,NUTS,2010,CZ06,2,3968.0
2019,NUTS,2010,CZ06,2,4102.0
2020,NUTS,2010,CZ06,2,4242.0
2011,NUTS,2010,CZ07,2,975.0
2012,NUTS,2010,CZ07,2,1217.0
2013,NUTS,2010,CZ07,2,1396.0
2014,NUTS,2010,CZ07,2,1405.0
2015,NUTS,2010,CZ07,2,1555.0
2016,NUTS,2010,CZ07,2,1562.0
2017,NUTS,2010,CZ07,2,1394.0
2018,NUTS,2010,CZ07,2,1487.0
2019,NUTS,2010,CZ07,2,1631.0
2020,NUTS,2010,CZ07,2,1706.0
2011,NUTS,2010,CZ08,2,1226.0
2012,NUTS,2010,CZ08,2,1376.0
2013,NUTS,2010,CZ08,2,1107.0
2014,NUTS,2010,CZ08,2,1091.0
2015,NUTS,2010,CZ08,2,1169.0
2016,NUTS,2010,CZ08,2,1155.0
2017,NUTS,2010,CZ08,2,1128.0
2018,NUTS,2010,CZ08,2,1419.0
2019,NUTS,2010,CZ08,2,1364.0
2020,NUTS,2010,CZ08,2,1325.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,135163.0
2012,NUTS,2010,DE,0,140513.0
2013,NUTS,2010,DE,0,148984.0
2014,NUTS,2010,DE,0,151518.0
2015,NUTS,2010,DE,0,154040.0
2016,NUTS,2010,DE,0,155173.0
2017,NUTS,2010,DE,0,158616.0
2018,NUTS,2010,DE,0,163166.0
2019,NUTS,2010,DE,0,166593.0
2011,NUTS,2010,DK,0,15228.0
2012,NUTS,2010,DK,0,17664.0
2013,NUTS,2010,DK,0,18415.0
2014,NUTS,2010,DK,0,16133.0
2015,NUTS,2010,DK,0,17411.0
2016,NUTS,2010,DK,0,17364.0
2017,NUTS,2010,DK,0,17024.0
2018,NUTS,2010,DK,0,17757.0
2019,NUTS,2010,DK,0,17909.0
2011,NUTS,2010,DK0,1,15711.0
2012,NUTS,2010,DK0,1,17664.0
2013,NUTS,2010,DK0,1,18415.0
2014,NUTS,2010,DK0,1,16133.0
2015,NUTS,2010,DK0,1,17411.0
2016,NUTS,2010,DK0,1,17364.0
2017,NUTS,2010,DK0,1,17024.0
2018,NUTS,2010,DK0,1,17757.0
2019,NUTS,2010,DK0,1,17909.0
2011,NUTS,2010,DK01,2,8433.0
2012,NUTS,2010,DK01,2,8424.0
2013,NUTS,2010,DK01,2,9011.0
2014,NUTS,2010,DK01,2,8126.0
2015,NUTS,2010,DK01,2,9217.0
2016,NUTS,2010,DK01,2,9098.0
2017,NUTS,2010,DK01,2,9074.0
2019,NUTS,2010,DK01,2,9444.0
2011,NUTS,2010,DK02,2,859.0
2012,NUTS,2010,DK02,2,835.0
2013,NUTS,2010,DK02,2,843.0
2014,NUTS,2010,DK02,2,832.0
2015,NUTS,2010,DK02,2,750.0
2016,NUTS,2010,DK02,2,900.0
2017,NUTS,2010,DK02,2,840.0
2019,NUTS,2010,DK02,2,915.0
2011,NUTS,2010,DK03,2,1619.0
2012,NUTS,2010,DK03,2,1738.0
2013,NUTS,2010,DK03,2,1782.0
2014,NUTS,2010,DK03,2,1846.0
2015,NUTS,2010,DK03,2,2024.0
2016,NUTS,2010,DK03,2,1968.0
2017,NUTS,2010,DK03,2,1560.0
2019,NUTS,2010,DK03,2,1599.0
2011,NUTS,2010,DK04,2,3542.0
2012,NUTS,2010,DK04,2,4912.0
2013,NUTS,2010,DK04,2,5004.0
2014,NUTS,2010,DK04,2,3642.0
2015,NUTS,2010,DK04,2,3758.0
2016,NUTS,2010,DK04,2,3833.0
2017,NUTS,2010,DK04,2,3633.0
2019,NUTS,2010,DK04,2,3787.0
2011,NUTS,2010,DK05,2,1258.0
2012,NUTS,2010,DK05,2,1755.0
2013,NUTS,2010,DK05,2,1775.0
2014,NUTS,2010,DK05,2,1687.0
2015,NUTS,2010,DK05,2,1662.0
2016,NUTS,2010,DK05,2,1565.0
2017,NUTS,2010,DK05,2,1917.0
2019,NUTS,2010,DK05,2,2164.0
2011,NUTS,2010,EA19,2,486799.0
2012,NUTS,2010,EA19,2,499265.0
2013,NUTS,2010,EA19,2,510571.0
2014,NUTS,2010,EA19,2,519618.0
2015,NUTS,2010,EA19,2,532449.0
2016,NUTS,2010,EA19,2,533025.0
2017,NUTS,2010,EA19,2,546892.0
2018,NUTS,2010,EA19,2,562000.0
2019,NUTS,2010,EA19,2,576607.0
2011,NUTS,2010,EE,0,2925.0
2012,NUTS,2010,EE,0,3108.0
2013,NUTS,2010,EE,0,3221.0
2014,NUTS,2010,EE,0,3309.0
2015,NUTS,2010,EE,0,3130.0
2016,NUTS,2010,EE,0,2915.0
2017,NUTS,2010,EE,0,2907.0
2018,NUTS,2010,EE,0,2934.0
2019,NUTS,2010,EE,0,2934.0
2011,NUTS,2010,EL,0,20687.0
2013,NUTS,2010,EL,0,26717.0
2015,NUTS,2010,EL,0,25118.0
2017,NUTS,2010,EL,0,20999.0
2019,NUTS,2010,EL,0,24805.0
2011,NUTS,2010,EL3,1,7302.0
2011,NUTS,2010,EL30,2,7302.0
2011,NUTS,2010,EL4,1,2817.0
2011,NUTS,2010,EL41,2,682.0
2011,NUTS,2010,EL42,2,413.0
2011,NUTS,2010,EL43,2,1722.0
2011,NUTS,2010,EL5,1,6247.0
2011,NUTS,2010,EL51,2,1448.0
2011,NUTS,2010,EL52,2,3262.0
2011,NUTS,2010,EL53,2,360.0
2011,NUTS,2010,EL54,2,1177.0
2011,NUTS,2010,EL6,1,4321.0
2011,NUTS,2010,EL61,2,2441.0
2011,NUTS,2010,EL62,2,200.0
2011,NUTS,2010,EL63,2,1313.0
2011,NUTS,2010,EL64,2,100.0
2011,NUTS,2010,EL65,2,267.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,73133.0
2012,NUTS,2010,ES,0,69659.0
2013,NUTS,2010,ES,0,67012.0
2014,NUTS,2010,ES,0,67610.0
2015,NUTS,2010,ES,0,68757.0
2016,NUTS,2010,ES,0,68881.0
2017,NUTS,2010,ES,0,71311.0
2018,NUTS,2010,ES,0,73242.0
2019,NUTS,2010,ES,0,75709.0
2011,NUTS,2010,ES1,1,6525.0
2013,NUTS,2010,ES1,1,6784.0
2015,NUTS,2010,ES1,1,6539.0
2016,NUTS,2010,ES1,1,6406.0
2017,NUTS,2010,ES1,1,6571.0
2018,NUTS,2010,ES1,1,6424.0
2011,NUTS,2010,ES11,2,4137.0
2012,NUTS,2010,ES11,2,4428.0
2014,NUTS,2010,ES11,2,4230.0
2015,NUTS,2010,ES11,2,4266.0
2016,NUTS,2010,ES11,2,4265.0
2017,NUTS,2010,ES11,2,4346.0
2018,NUTS,2010,ES11,2,4429.0
2019,NUTS,2010,ES11,2,4623.0
2011,NUTS,2010,ES12,2,1491.0
2012,NUTS,2010,ES12,2,1375.0
2013,NUTS,2010,ES12,2,1544.0
2014,NUTS,2010,ES12,2,1328.0
2015,NUTS,2010,ES12,2,1414.0
2016,NUTS,2010,ES12,2,1302.0
2017,NUTS,2010,ES12,2,1388.0
2018,NUTS,2010,ES12,2,1142.0
2019,NUTS,2010,ES12,2,1352.0
2011,NUTS,2010,ES13,2,897.0
2015,NUTS,2010,ES13,2,859.0
2016,NUTS,2010,ES13,2,839.0
2017,NUTS,2010,ES13,2,837.0
2018,NUTS,2010,ES13,2,853.0
2011,NUTS,2010,ES2,1,6934.0
2013,NUTS,2010,ES2,1,7089.0
2019,NUTS,2010,ES2,1,7871.0
2011,NUTS,2010,ES21,2,3280.0
2012,NUTS,2010,ES21,2,3545.0
2013,NUTS,2010,ES21,2,3530.0
2014,NUTS,2010,ES21,2,3560.0
2015,NUTS,2010,ES21,2,3665.0
2016,NUTS,2010,ES21,2,3647.0
2017,NUTS,2010,ES21,2,3776.0
2018,NUTS,2010,ES21,2,3841.0
2019,NUTS,2010,ES21,2,3958.0
2011,NUTS,2010,ES22,2,1343.0
2011,NUTS,2010,ES23,2,248.0
2012,NUTS,2010,ES23,2,263.0
2014,NUTS,2010,ES23,2,338.0
2015,NUTS,2010,ES23,2,314.0
2016,NUTS,2010,ES23,2,439.0
2017,NUTS,2010,ES23,2,367.0
2018,NUTS,2010,ES23,2,426.0
2011,NUTS,2010,ES24,2,2063.0
2012,NUTS,2010,ES24,2,2138.0
2013,NUTS,2010,ES24,2,2135.0
2014,NUTS,2010,ES24,2,2265.0
2015,NUTS,2010,ES24,2,2335.0
2016,NUTS,2010,ES24,2,2260.0
2017,NUTS,2010,ES24,2,2313.0
2018,NUTS,2010,ES24,2,2388.0
2011,NUTS,2010,ES3,1,15526.0
2012,NUTS,2010,ES3,1,12903.0
2013,NUTS,2010,ES3,1,12294.0
2014,NUTS,2010,ES3,1,12641.0
2015,NUTS,2010,ES3,1,12833.0
2016,NUTS,2010,ES3,1,12077.0
2017,NUTS,2010,ES3,1,12695.0
2018,NUTS,2010,ES3,1,13647.0
2019,NUTS,2010,ES3,1,14313.0
2011,NUTS,2010,ES30,2,15526.0
2012,NUTS,2010,ES30,2,12903.0
2013,NUTS,2010,ES30,2,12294.0
2014,NUTS,2010,ES30,2,12641.0
2015,NUTS,2010,ES30,2,12833.0
2016,NUTS,2010,ES30,2,12077.0
2017,NUTS,2010,ES30,2,12695.0
2018,NUTS,2010,ES30,2,13647.0
2019,NUTS,2010,ES30,2,14313.0
2011,NUTS,2010,ES4,1,7869.0
2013,NUTS,2010,ES4,1,6314.0
2014,NUTS,2010,ES4,1,6375.0
2015,NUTS,2010,ES4,1,6549.0
2016,NUTS,2010,ES4,1,6625.0
2018,NUTS,2010,ES4,1,7020.0
2019,NUTS,2010,ES4,1,7057.0
2011,NUTS,2010,ES41,2,5050.0
2012,NUTS,2010,ES41,2,4826.0
2013,NUTS,2010,ES41,2,4624.0
2014,NUTS,2010,ES41,2,4687.0
2015,NUTS,2010,ES41,2,4784.0
2016,NUTS,2010,ES41,2,4848.0
2017,NUTS,2010,ES41,2,4927.0
2018,NUTS,2010,ES41,2,5187.0
2019,NUTS,2010,ES41,2,5314.0
2011,NUTS,2010,ES42,2,1902.0
2012,NUTS,2010,ES42,2,1665.0
2013,NUTS,2010,ES42,2,777.0
2014,NUTS,2010,ES42,2,803.0
2015,NUTS,2010,ES42,2,910.0
2017,NUTS,2010,ES42,2,956.0
2011,NUTS,2010,ES43,2,917.0
2013,NUTS,2010,ES43,2,913.0
2014,NUTS,2010,ES43,2,885.0
2015,NUTS,2010,ES43,2,855.0
2011,NUTS,2010,ES5,1,22305.0
2012,NUTS,2010,ES5,1,21990.0
2013,NUTS,2010,ES5,1,21246.0
2014,NUTS,2010,ES5,1,21795.0
2015,NUTS,2010,ES5,1,21918.0
2016,NUTS,2010,ES5,1,22448.0
2017,NUTS,2010,ES5,1,22984.0
2018,NUTS,2010,ES5,1,23307.0
2011,NUTS,2010,ES51,2,13253.0
2012,NUTS,2010,ES51,2,13056.0
2013,NUTS,2010,ES51,2,12738.0
2014,NUTS,2010,ES51,2,12486.0
2015,NUTS,2010,ES51,2,12438.0
2016,NUTS,2010,ES51,2,12810.0
2017,NUTS,2010,ES51,2,13045.0
2018,NUTS,2010,ES51,2,13287.0
2019,NUTS,2010,ES51,2,13829.0
2011,NUTS,2010,ES52,2,8121.0
2012,NUTS,2010,ES52,2,7980.0
2013,NUTS,2010,ES52,2,7592.0
2014,NUTS,2010,ES52,2,8371.0
2015,NUTS,2010,ES52,2,8487.0
2016,NUTS,2010,ES52,2,8699.0
2017,NUTS,2010,ES52,2,9028.0
2018,NUTS,2010,ES52,2,9055.0
2019,NUTS,2010,ES52,2,9594.0
2011,NUTS,2010,ES53,2,931.0
2012,NUTS,2010,ES53,2,954.0
2013,NUTS,2010,ES53,2,916.0
2014,NUTS,2010,ES53,2,938.0
2015,NUTS,2010,ES53,2,993.0
2016,NUTS,2010,ES53,2,939.0
2017,NUTS,2010,ES53,2,911.0
2018,NUTS,2010,ES53,2,965.0
2011,NUTS,2010,ES6,1,12376.0
2012,NUTS,2010,ES6,1,11993.0
2013,NUTS,2010,ES6,1,11786.0
2014,NUTS,2010,ES6,1,11643.0
2015,NUTS,2010,ES6,1,12031.0
2016,NUTS,2010,ES6,1,12276.0
2017,NUTS,2010,ES6,1,13026.0
2018,NUTS,2010,ES6,1,13271.0
2019,NUTS,2010,ES6,1,13460.0
2011,NUTS,2010,ES61,2,10445.0
2012,NUTS,2010,ES61,2,10081.0
2013,NUTS,2010,ES61,2,9831.0
2014,NUTS,2010,ES61,2,9668.0
2015,NUTS,2010,ES61,2,9944.0
2016,NUTS,2010,ES61,2,10059.0
2017,NUTS,2010,ES61,2,10664.0
2018,NUTS,2010,ES61,2,10837.0
2019,NUTS,2010,ES61,2,10900.0
2011,NUTS,2010,ES62,2,1892.0
2012,NUTS,2010,ES62,2,1875.0
2013,NUTS,2010,ES62,2,1919.0
2014,NUTS,2010,ES62,2,1924.0
2015,NUTS,2010,ES62,2,2036.0
2016,NUTS,2010,ES62,2,2157.0
2018,NUTS,2010,ES62,2,2317.0
2019,NUTS,2010,ES62,2,2446.0
2011,NUTS,2010,ES63,2,13.0
2011,NUTS,2010,ES64,2,26.0
2011,NUTS,2010,ES7,1,1598.0
2012,NUTS,2010,ES7,1,1515.0
2013,NUTS,2010,ES7,1,1499.0
2014,NUTS,2010,ES7,1,1441.0
2015,NUTS,2010,ES7,1,1445.0
2016,NUTS,2010,ES7,1,1564.0
2017,NUTS,2010,ES7,1,1614.0
2018,NUTS,2010,ES7,1,1680.0
2011,NUTS,2010,ES70,2,1598.0
2012,NUTS,2010,ES70,2,1515.0
2013,NUTS,2010,ES70,2,1499.0
2014,NUTS,2010,ES70,2,1441.0
2015,NUTS,2010,ES70,2,1445.0
2016,NUTS,2010,ES70,2,1564.0
2017,NUTS,2010,ES70,2,1614.0
2018,NUTS,2010,ES70,2,1680.0
2011,NUTS,2010,ESZ,1,0.0
2011,NUTS,2010,ESZZ,2,0.0
2011,NUTS,2010,EU27_2020,7,607189.0
2012,NUTS,2010,EU27_2020,7,623359.0
2013,NUTS,2010,EU27_2020,7,635754.0
2014,NUTS,2010,EU27_2020,7,644821.0
2015,NUTS,2010,EU27_2020,7,657930.0
2016,NUTS,2010,EU27_2020,7,660429.0
2017,NUTS,2010,EU27_2020,7,690475.0
2018,NUTS,2010,EU27_2020,7,715058.0
2019,NUTS,2010,EU27_2020,7,734943.0
2011,NUTS,2010,FI,0,14451.0
2012,NUTS,2010,FI,0,14429.0
2013,NUTS,2010,FI,0,13903.0
2014,NUTS,2010,FI,0,13935.0
2015,NUTS,2010,FI,0,13619.0
2016,NUTS,2010,FI,0,13599.0
2017,NUTS,2010,FI,0,14152.0
2018,NUTS,2010,FI,0,14863.0
2019,NUTS,2010,FI,0,15467.0
2011,NUTS,2010,FR,0,60487.0
2012,NUTS,2010,FR,0,60626.0
2013,NUTS,2010,FR,0,61095.0
2014,NUTS,2010,FR,0,71114.0
2016,NUTS,2010,FR,0,83101.0
2017,NUTS,2010,FR,0,83273.0
2011,NUTS,2010,HR,0,4837.0
2012,NUTS,2010,HR,0,4699.0
2013,NUTS,2010,HR,0,4787.0
