year,region_type,region_year_spec,region_id,region_level,education_count
2020,NUTS,2016,ES,0,6
2020,NUTS,2016,ES1,1,1
2020,NUTS,2016,ES11,2,1
2020,NUTS,2016,ES114,3,1
2020,NUTS,2016,ES2,1,1
2020,NUTS,2016,ES22,2,1
2020,NUTS,2016,ES220,3,1
2020,NUTS,2016,ES3,1,3
2020,NUTS,2016,ES30,2,3
2020,NUTS,2016,ES300,3,3
2020,NUTS,2016,ES5,1,1
2020,NUTS,2016,ES51,2,1
2020,NUTS,2016,ES514,3,1
2020,NUTS,2016,FR,0,6
2020,NUTS,2016,FR1,1,5
2020,NUTS,2016,FR10,2,5
2020,NUTS,2016,FR101,3,3
2020,NUTS,2016,FR103,3,1
2020,NUTS,2016,FR104,3,1
2020,NUTS,2016,FRG,1,1
2020,NUTS,2016,FRG0,2,1
2020,NUTS,2016,FRG01,3,1
2020,NUTS,2016,IT,0,9
2020,NUTS,2016,ITC,1,5
2020,NUTS,2016,ITC1,2,3
2020,NUTS,2016,ITC11,3,3
2020,NUTS,2016,ITC4,2,2
2020,NUTS,2016,ITC4C,3,2
2020,NUTS,2016,ITF,1,1
2020,NUTS,2016,ITF4,2,1
2020,NUTS,2016,ITF47,3,1
2020,NUTS,2016,ITH,1,2
2020,NUTS,2016,ITH3,2,1
2020,NUTS,2016,ITH35,3,1
2020,NUTS,2016,ITH4,2,1
2020,NUTS,2016,ITH44,3,1
2020,NUTS,2016,ITI,1,1
2020,NUTS,2016,ITI4,2,1
2020,NUTS,2016,ITI43,3,1
2020,NUTS,2016,NL,0,4
2020,NUTS,2016,NL3,1,4
2020,NUTS,2016,NL32,2,1
2020,NUTS,2016,NL329,3,1
2020,NUTS,2016,NL33,2,3
2020,NUTS,2016,NL333,3,3
2020,NUTS,2016,NO,0,2
2020,NUTS,2016,NO0,1,2
2020,NUTS,2016,NO01,2,2
2020,NUTS,2016,NO011,3,2
2020,NUTS,2016,SE,0,3
2020,NUTS,2016,SE1,1,1
2020,NUTS,2016,SE11,2,1
2020,NUTS,2016,SE110,3,1
2020,NUTS,2016,SE2,1,2
2020,NUTS,2016,SE22,2,1
2020,NUTS,2016,SE224,3,1
2020,NUTS,2016,SE23,2,1
2020,NUTS,2016,SE232,3,1
2020,NUTS,2016,UK,0,101
2020,NUTS,2016,UKD,1,7
2020,NUTS,2016,UKD3,2,4
2020,NUTS,2016,UKD33,3,4
2020,NUTS,2016,UKD4,2,2
2020,NUTS,2016,UKD44,3,1
2020,NUTS,2016,UKD45,3,1
2020,NUTS,2016,UKD7,2,1
2020,NUTS,2016,UKD72,3,1
2020,NUTS,2016,UKE,1,4
2020,NUTS,2016,UKE2,2,1
2020,NUTS,2016,UKE21,3,1
2020,NUTS,2016,UKE3,2,2
2020,NUTS,2016,UKE32,3,2
2020,NUTS,2016,UKE4,2,1
2020,NUTS,2016,UKE42,3,1
2020,NUTS,2016,UKF,1,4
2020,NUTS,2016,UKF1,2,1
2020,NUTS,2016,UKF14,3,1
2020,NUTS,2016,UKF2,2,3
2020,NUTS,2016,UKF21,3,3
2020,NUTS,2016,UKG,1,7
2020,NUTS,2016,UKG1,2,2
2020,NUTS,2016,UKG13,3,2
2020,NUTS,2016,UKG2,2,2
2020,NUTS,2016,UKG24,3,2
2020,NUTS,2016,UKG3,2,3
2020,NUTS,2016,UKG31,3,3
2020,NUTS,2016,UKH,1,9
2020,NUTS,2016,UKH1,2,5
2020,NUTS,2016,UKH12,3,2
2020,NUTS,2016,UKH14,3,1
2020,NUTS,2016,UKH17,3,2
2020,NUTS,2016,UKH2,2,4
2020,NUTS,2016,UKH23,3,3
2020,NUTS,2016,UKH25,3,1
2020,NUTS,2016,UKI,1,22
2020,NUTS,2016,UKI3,2,20
2020,NUTS,2016,UKI31,3,5
2020,NUTS,2016,UKI32,3,7
2020,NUTS,2016,UKI33,3,7
2020,NUTS,2016,UKI34,3,1
2020,NUTS,2016,UKI4,2,2
2020,NUTS,2016,UKI42,3,2
2020,NUTS,2016,UKJ,1,20
2020,NUTS,2016,UKJ1,2,11
2020,NUTS,2016,UKJ14,3,11
2020,NUTS,2016,UKJ2,2,1
2020,NUTS,2016,UKJ22,3,1
2020,NUTS,2016,UKJ3,2,8
2020,NUTS,2016,UKJ32,3,8
2020,NUTS,2016,UKK,1,15
2020,NUTS,2016,UKK1,2,10
2020,NUTS,2016,UKK11,3,9
2020,NUTS,2016,UKK12,3,1
2020,NUTS,2016,UKK4,2,5
2020,NUTS,2016,UKK43,3,5
2020,NUTS,2016,UKL,1,2
2020,NUTS,2016,UKL2,2,2
2020,NUTS,2016,UKL22,3,2
2020,NUTS,2016,UKM,1,10
2020,NUTS,2016,UKM5,2,4
2020,NUTS,2016,UKM50,3,4
2020,NUTS,2016,UKM6,2,1
2020,NUTS,2016,UKM62,3,1
2020,NUTS,2016,UKM7,2,4
2020,NUTS,2016,UKM72,3,1
2020,NUTS,2016,UKM75,3,2
2020,NUTS,2016,UKM77,3,1
2020,NUTS,2016,UKM8,2,1
2020,NUTS,2016,UKM82,3,1
2020,NUTS,2016,UKN,1,1
2020,NUTS,2016,UKN0,2,1
2020,NUTS,2016,UKN06,3,1
2021,NUTS,2021,CH,0,1
2021,NUTS,2021,CH0,1,1
2021,NUTS,2021,CH01,2,1
2021,NUTS,2021,CH013,3,1
2021,NUTS,2021,DE,0,1
2021,NUTS,2021,DE3,1,1
2021,NUTS,2021,DE30,2,1
2021,NUTS,2021,DE300,3,1
2021,NUTS,2021,ES,0,1
2021,NUTS,2021,ES5,1,1
2021,NUTS,2021,ES51,2,1
2021,NUTS,2021,ES511,3,1
2021,NUTS,2021,IT,0,3
2021,NUTS,2021,ITH,1,2
2021,NUTS,2021,ITH3,2,1
2021,NUTS,2021,ITH35,3,1
2021,NUTS,2021,ITH5,2,1
2021,NUTS,2021,ITH55,3,1
2021,NUTS,2021,ITI,1,1
2021,NUTS,2021,ITI1,2,1
2021,NUTS,2021,ITI14,3,1
2021,NUTS,2021,NL,0,1
2021,NUTS,2021,NL3,1,1
2021,NUTS,2021,NL32,2,1
2021,NUTS,2021,NL329,3,1
2021,NUTS,2021,NO,0,2
2021,NUTS,2021,NO0,1,2
2021,NUTS,2021,NO06,2,1
2021,NUTS,2021,NO060,3,1
2021,NUTS,2021,NO08,2,1
2021,NUTS,2021,NO081,3,1
2021,NUTS,2021,PT,0,1
2021,NUTS,2021,PT1,1,1
2021,NUTS,2021,PT11,2,1
2021,NUTS,2021,PT11A,3,1
2021,NUTS,2021,SE,0,2
2021,NUTS,2021,SE1,1,1
2021,NUTS,2021,SE11,2,1
2021,NUTS,2021,SE110,3,1
2021,NUTS,2021,SE2,1,1
2021,NUTS,2021,SE22,2,1
2021,NUTS,2021,SE221,3,1
2021,NUTS,2021,UK,0,6
2021,NUTS,2021,UKE,1,1
2021,NUTS,2021,UKE3,2,1
2021,NUTS,2021,UKE32,3,1
2021,NUTS,2021,UKF,1,1
2021,NUTS,2021,UKF2,2,1
2021,NUTS,2021,UKF21,3,1
2021,NUTS,2021,UKG,1,1
2021,NUTS,2021,UKG3,2,1
2021,NUTS,2021,UKG31,3,1
2021,NUTS,2021,UKH,1,1
2021,NUTS,2021,UKH1,2,1
2021,NUTS,2021,UKH17,3,1
2021,NUTS,2021,UKK,1,2
2021,NUTS,2021,UKK1,2,1
2021,NUTS,2021,UKK11,3,1
2021,NUTS,2021,UKK4,2,1
2021,NUTS,2021,UKK43,3,1
