year,region_type,region_year_spec,region_id,region_level,serology_lq
2020,NUTS,2016,ITH36,3,1.64
2020,NUTS,2016,ITH55,3,0.92
2020,NUTS,2016,ITI14,3,1.17
2020,NUTS,2016,ITI17,3,0.59
2020,NUTS,2016,ITI19,3,1.42
2020,NUTS,2016,LU000,3,3.52
2020,NUTS,2016,LV006,3,2.55
2020,NUTS,2016,NL226,3,0.43
2020,NUTS,2016,NL310,3,2.78
2020,NUTS,2016,NL329,3,0.71
2020,NUTS,2016,NL337,3,0.49
2020,NUTS,2016,NL33C,3,1.4
2020,NUTS,2016,NL412,3,4.52
2020,NUTS,2016,NO011,3,0.79
2020,NUTS,2016,SE110,3,2.49
2020,NUTS,2016,SE121,3,2.31
2020,NUTS,2016,SE232,3,0.54
2020,NUTS,2016,SI041,3,1.26
2020,NUTS,2016,TR721,3,5.13
2020,NUTS,2016,TRA11,3,6.48
2020,NUTS,2016,UKC22,3,1.13
2020,NUTS,2016,UKD33,3,0.99
2020,NUTS,2016,UKD72,3,2.75
2020,NUTS,2016,UKE32,3,0.57
2020,NUTS,2016,UKE42,3,2.06
2020,NUTS,2016,UKF14,3,1.27
2020,NUTS,2016,UKF25,3,22.39
2020,NUTS,2016,UKG13,3,1.11
2020,NUTS,2016,UKG31,3,2.5
2020,NUTS,2016,UKG39,3,3.45
2020,NUTS,2016,UKH11,3,28.98
2020,NUTS,2016,UKH12,3,1.78
2020,NUTS,2016,UKH17,3,5.46
2020,NUTS,2016,UKH23,3,6.31
2020,NUTS,2016,UKI31,3,1.82
2020,NUTS,2016,UKI32,3,1.07
2020,NUTS,2016,UKI33,3,1.44
2020,NUTS,2016,UKI34,3,3.15
2020,NUTS,2016,UKI42,3,1.07
2020,NUTS,2016,UKI74,3,1.92
2020,NUTS,2016,UKJ13,3,3.76
2020,NUTS,2016,UKJ14,3,1.65
2020,NUTS,2016,UKJ25,3,1.46
2020,NUTS,2016,UKJ27,3,30.79
2020,NUTS,2016,UKJ32,3,4.02
2020,NUTS,2016,UKJ36,3,8.08
2020,NUTS,2016,UKJ37,3,12.97
2020,NUTS,2016,UKJ41,3,24.63
2020,NUTS,2016,UKJ44,3,3.62
2020,NUTS,2016,UKK11,3,1.01
2020,NUTS,2016,UKK13,3,7.82
2020,NUTS,2016,UKL21,3,4.98
2020,NUTS,2016,UKL22,3,0.49
2020,NUTS,2016,UKM50,3,1.53
2020,NUTS,2016,UKM71,3,2.95
2020,NUTS,2016,UKM75,3,1.23
2020,NUTS,2016,UKN06,3,0.96
2020,NUTS,2016,UKN14,3,6.24
2021,NUTS,2021,AT,0,2.66
2021,NUTS,2021,CH,0,2.47
2021,NUTS,2021,DE,0,0.94
2021,NUTS,2021,DK,0,4.13
2021,NUTS,2021,ES,0,0.46
2021,NUTS,2021,FI,0,1.79
2021,NUTS,2021,FR,0,0.6
2021,NUTS,2021,IE,0,1.25
2021,NUTS,2021,IT,0,0.7
2021,NUTS,2021,PT,0,1.18
2021,NUTS,2021,SE,0,1.56
2021,NUTS,2021,UK,0,1.36
2021,NUTS,2021,AT1,1,2.85
2021,NUTS,2021,AT3,1,4.35
2021,NUTS,2021,CH0,1,2.47
2021,NUTS,2021,DE2,1,1.59
2021,NUTS,2021,DE3,1,1.19
2021,NUTS,2021,DE7,1,1.99
2021,NUTS,2021,DEA,1,0.86
2021,NUTS,2021,DED,1,2.28
2021,NUTS,2021,DK0,1,4.13
2021,NUTS,2021,ES5,1,1.5
2021,NUTS,2021,FI1,1,1.79
2021,NUTS,2021,FR1,1,0.56
2021,NUTS,2021,FRF,1,4.56
2021,NUTS,2021,IE0,1,1.25
2021,NUTS,2021,ITC,1,1.27
2021,NUTS,2021,ITH,1,0.55
2021,NUTS,2021,ITI,1,0.51
2021,NUTS,2021,PT1,1,1.19
2021,NUTS,2021,SE1,1,2.33
2021,NUTS,2021,UKF,1,1.94
2021,NUTS,2021,UKG,1,1.75
2021,NUTS,2021,UKH,1,1.9
2021,NUTS,2021,UKI,1,2.46
2021,NUTS,2021,UKJ,1,1.54
2021,NUTS,2021,UKK,1,0.99
2021,NUTS,2021,AT13,2,3.22
2021,NUTS,2021,AT32,2,30.23
2021,NUTS,2021,CH01,2,5.07
2021,NUTS,2021,CH03,2,2.87
2021,NUTS,2021,DE21,2,1.15
2021,NUTS,2021,DE26,2,14.77
2021,NUTS,2021,DE30,2,1.19
2021,NUTS,2021,DE71,2,4.87
2021,NUTS,2021,DEA4,2,11.82
2021,NUTS,2021,DED4,2,3.3
2021,NUTS,2021,DK01,2,7.75
2021,NUTS,2021,ES51,2,2.08
2021,NUTS,2021,FI1B,2,3.27
2021,NUTS,2021,FR10,2,0.56
2021,NUTS,2021,FRF3,2,13.27
2021,NUTS,2021,IE06,2,2.11
2021,NUTS,2021,ITC4,2,1.73
2021,NUTS,2021,ITH2,2,8.28
2021,NUTS,2021,ITI1,2,1.71
2021,NUTS,2021,PT17,2,2.9
2021,NUTS,2021,SE11,2,3.32
2021,NUTS,2021,UKF1,2,3.92
2021,NUTS,2021,UKG1,2,7.47
2021,NUTS,2021,UKH1,2,1.32
2021,NUTS,2021,UKH2,2,4.03
2021,NUTS,2021,UKI3,2,2.27
2021,NUTS,2021,UKI7,2,17.81
2021,NUTS,2021,UKJ1,2,2.41
2021,NUTS,2021,UKK1,2,1.37
2021,NUTS,2021,AT130,3,3.22
2021,NUTS,2021,AT323,3,30.23
2021,NUTS,2021,CH011,3,2.65
2021,NUTS,2021,CH013,3,6.59
2021,NUTS,2021,CH031,3,3.04
2021,NUTS,2021,DE212,3,1.18
2021,NUTS,2021,DE263,3,14.77
2021,NUTS,2021,DE300,3,1.19
2021,NUTS,2021,DE718,3,72.22
2021,NUTS,2021,DEA41,3,14.94
2021,NUTS,2021,DED41,3,3.4
2021,NUTS,2021,DK011,3,7.8
2021,NUTS,2021,DK012,3,7.47
2021,NUTS,2021,ES511,3,2.27
2021,NUTS,2021,FI1B1,3,3.27
2021,NUTS,2021,FR104,3,0.85
2021,NUTS,2021,FRF31,3,13.27
2021,NUTS,2021,IE061,3,2.45
2021,NUTS,2021,ITC4C,3,2.24
2021,NUTS,2021,ITH20,3,8.28
2021,NUTS,2021,ITI17,3,4.25
2021,NUTS,2021,PT170,3,2.9
2021,NUTS,2021,SE110,3,3.32
2021,NUTS,2021,UKF14,3,2.54
2021,NUTS,2021,UKF16,3,13.98
2021,NUTS,2021,UKG13,3,7.78
2021,NUTS,2021,UKH12,3,1.51
2021,NUTS,2021,UKH23,3,4.41
2021,NUTS,2021,UKI31,3,5.15
2021,NUTS,2021,UKI32,3,0.72
2021,NUTS,2021,UKI33,3,0.96
2021,NUTS,2021,UKI74,3,16.88
2021,NUTS,2021,UKI75,3,32.5
2021,NUTS,2021,UKJ14,3,2.59
2021,NUTS,2021,UKK11,3,1.87
