year,region_type,region_year_spec,region_id,region_level,image_detection_count
2020,NUTS,2016,UK,0,31
2020,NUTS,2016,UKD,1,4
2020,NUTS,2016,UKD3,2,1
2020,NUTS,2016,UKD33,3,1
2020,NUTS,2016,UKD4,2,3
2020,NUTS,2016,UKD44,3,2
2020,NUTS,2016,UKD47,3,1
2020,NUTS,2016,UKE,1,2
2020,NUTS,2016,UKE4,2,2
2020,NUTS,2016,UKE41,3,1
2020,NUTS,2016,UKE42,3,1
2020,NUTS,2016,UKF,1,3
2020,NUTS,2016,UKF1,2,1
2020,NUTS,2016,UKF14,3,1
2020,NUTS,2016,UKF2,2,2
2020,NUTS,2016,UKF21,3,2
2020,NUTS,2016,UKG,1,5
2020,NUTS,2016,UKG3,2,5
2020,NUTS,2016,UKG31,3,4
2020,NUTS,2016,UKG39,3,1
2020,NUTS,2016,UKH,1,3
2020,NUTS,2016,UKH1,2,2
2020,NUTS,2016,UKH12,3,2
2020,NUTS,2016,UKH2,2,1
2020,NUTS,2016,UKH21,3,1
2020,NUTS,2016,UKI,1,9
2020,NUTS,2016,UKI3,2,8
2020,NUTS,2016,UKI31,3,7
2020,NUTS,2016,UKI33,3,1
2020,NUTS,2016,UKI7,2,1
2020,NUTS,2016,UKI74,3,1
2020,NUTS,2016,UKJ,1,4
2020,NUTS,2016,UKJ1,2,3
2020,NUTS,2016,UKJ13,3,1
2020,NUTS,2016,UKJ14,3,2
2020,NUTS,2016,UKJ2,2,1
2020,NUTS,2016,UKJ25,3,1
2020,NUTS,2016,UKM,1,1
2020,NUTS,2016,UKM7,2,1
2020,NUTS,2016,UKM75,3,1
2021,NUTS,2021,CY,0,1
2021,NUTS,2021,CY0,1,1
2021,NUTS,2021,CY00,2,1
2021,NUTS,2021,CY000,3,1
2021,NUTS,2021,DE,0,4
2021,NUTS,2021,DE2,1,3
2021,NUTS,2021,DE21,2,3
2021,NUTS,2021,DE212,3,3
2021,NUTS,2021,DE3,1,1
2021,NUTS,2021,DE30,2,1
2021,NUTS,2021,DE300,3,1
2021,NUTS,2021,ES,0,1
2021,NUTS,2021,ES6,1,1
2021,NUTS,2021,ES61,2,1
2021,NUTS,2021,ES614,3,1
2021,NUTS,2021,IT,0,2
2021,NUTS,2021,ITC,1,2
2021,NUTS,2021,ITC1,2,1
2021,NUTS,2021,ITC11,3,1
2021,NUTS,2021,ITC4,2,1
2021,NUTS,2021,ITC4C,3,1
2021,NUTS,2021,SK,0,2
2021,NUTS,2021,SK0,1,2
2021,NUTS,2021,SK04,2,2
2021,NUTS,2021,SK042,3,2
2021,NUTS,2021,TR,0,1
2021,NUTS,2021,TR2,1,1
2021,NUTS,2021,TR22,2,1
2021,NUTS,2021,TR222,3,1
2021,NUTS,2021,UK,0,5
2021,NUTS,2021,UKG,1,1
2021,NUTS,2021,UKG1,2,1
2021,NUTS,2021,UKG13,3,1
2021,NUTS,2021,UKH,1,1
2021,NUTS,2021,UKH1,2,1
2021,NUTS,2021,UKH12,3,1
2021,NUTS,2021,UKI,1,3
2021,NUTS,2021,UKI3,2,3
2021,NUTS,2021,UKI31,3,2
2021,NUTS,2021,UKI33,3,1
