year,region_type,region_year_spec,region_id,region_level,vaccination_programmes_count
2020,NUTS,2016,FI,0,2
2020,NUTS,2016,FI1,1,2
2020,NUTS,2016,FI1B,2,2
2020,NUTS,2016,FI1B1,3,2
2020,NUTS,2016,FR,0,5
2020,NUTS,2016,FR1,1,4
2020,NUTS,2016,FR10,2,4
2020,NUTS,2016,FR104,3,3
2020,NUTS,2016,FR107,3,1
2020,NUTS,2016,FRL,1,1
2020,NUTS,2016,FRL0,2,1
2020,NUTS,2016,FRL04,3,1
2020,NUTS,2016,IE,0,1
2020,NUTS,2016,IE0,1,1
2020,NUTS,2016,IE06,2,1
2020,NUTS,2016,IE061,3,1
2020,NUTS,2016,IT,0,13
2020,NUTS,2016,ITC,1,4
2020,NUTS,2016,ITC1,2,2
2020,NUTS,2016,ITC11,3,1
2020,NUTS,2016,ITC16,3,1
2020,NUTS,2016,ITC4,2,2
2020,NUTS,2016,ITC41,3,1
2020,NUTS,2016,ITC4C,3,1
2020,NUTS,2016,ITG,1,1
2020,NUTS,2016,ITG2,2,1
2020,NUTS,2016,ITG27,3,1
2020,NUTS,2016,ITH,1,6
2020,NUTS,2016,ITH3,2,5
2020,NUTS,2016,ITH31,3,2
2020,NUTS,2016,ITH36,3,3
2020,NUTS,2016,ITH4,2,1
2020,NUTS,2016,ITH44,3,1
2020,NUTS,2016,ITI,1,2
2020,NUTS,2016,ITI1,2,2
2020,NUTS,2016,ITI14,3,2
2020,NUTS,2016,NL,0,9
2020,NUTS,2016,NL2,1,3
2020,NUTS,2016,NL22,2,3
2020,NUTS,2016,NL221,3,2
2020,NUTS,2016,NL226,3,1
2020,NUTS,2016,NL3,1,6
2020,NUTS,2016,NL31,2,3
2020,NUTS,2016,NL310,3,3
2020,NUTS,2016,NL32,2,2
2020,NUTS,2016,NL329,3,2
2020,NUTS,2016,NL33,2,1
2020,NUTS,2016,NL337,3,1
2020,NUTS,2016,NO,0,1
2020,NUTS,2016,NO0,1,1
2020,NUTS,2016,NO01,2,1
2020,NUTS,2016,NO011,3,1
2020,NUTS,2016,PT,0,1
2020,NUTS,2016,PT1,1,1
2020,NUTS,2016,PT11,2,1
2020,NUTS,2016,PT11A,3,1
2020,NUTS,2016,SE,0,5
2020,NUTS,2016,SE1,1,4
2020,NUTS,2016,SE11,2,3
2020,NUTS,2016,SE110,3,3
2020,NUTS,2016,SE12,2,1
2020,NUTS,2016,SE121,3,1
2020,NUTS,2016,SE2,1,1
2020,NUTS,2016,SE22,2,1
2020,NUTS,2016,SE224,3,1
2020,NUTS,2016,TR,0,2
2020,NUTS,2016,TR6,1,2
2020,NUTS,2016,TR62,2,2
2020,NUTS,2016,TR622,3,2
2020,NUTS,2016,UK,0,82
2020,NUTS,2016,UKD,1,10
2020,NUTS,2016,UKD4,2,10
2020,NUTS,2016,UKD44,3,10
2020,NUTS,2016,UKE,1,1
2020,NUTS,2016,UKE2,2,1
2020,NUTS,2016,UKE21,3,1
2020,NUTS,2016,UKF,1,1
2020,NUTS,2016,UKF1,2,1
2020,NUTS,2016,UKF14,3,1
2020,NUTS,2016,UKG,1,6
2020,NUTS,2016,UKG1,2,3
2020,NUTS,2016,UKG13,3,3
2020,NUTS,2016,UKG3,2,3
2020,NUTS,2016,UKG31,3,3
2020,NUTS,2016,UKH,1,7
2020,NUTS,2016,UKH1,2,4
2020,NUTS,2016,UKH12,3,2
2020,NUTS,2016,UKH17,3,2
2020,NUTS,2016,UKH2,2,3
2020,NUTS,2016,UKH23,3,3
2020,NUTS,2016,UKI,1,38
2020,NUTS,2016,UKI3,2,37
2020,NUTS,2016,UKI31,3,11
2020,NUTS,2016,UKI32,3,12
2020,NUTS,2016,UKI33,3,14
2020,NUTS,2016,UKI4,2,1
2020,NUTS,2016,UKI42,3,1
2020,NUTS,2016,UKJ,1,10
2020,NUTS,2016,UKJ1,2,9
2020,NUTS,2016,UKJ14,3,9
2020,NUTS,2016,UKJ3,2,1
2020,NUTS,2016,UKJ32,3,1
2020,NUTS,2016,UKM,1,9
2020,NUTS,2016,UKM7,2,5
2020,NUTS,2016,UKM71,3,1
2020,NUTS,2016,UKM75,3,3
2020,NUTS,2016,UKM77,3,1
2020,NUTS,2016,UKM8,2,2
2020,NUTS,2016,UKM82,3,2
2020,NUTS,2016,UKM9,2,2
2020,NUTS,2016,UKM92,3,2
2021,NUTS,2021,CH,0,1
2021,NUTS,2021,CH0,1,1
2021,NUTS,2021,CH03,2,1
2021,NUTS,2021,CH031,3,1
2021,NUTS,2021,FR,0,2
2021,NUTS,2021,FR1,1,2
2021,NUTS,2021,FR10,2,2
2021,NUTS,2021,FR101,3,1
2021,NUTS,2021,FR107,3,1
2021,NUTS,2021,IT,0,5
2021,NUTS,2021,ITC,1,1
2021,NUTS,2021,ITC4,2,1
2021,NUTS,2021,ITC4C,3,1
2021,NUTS,2021,ITG,1,1
2021,NUTS,2021,ITG2,2,1
2021,NUTS,2021,ITG2D,3,1
2021,NUTS,2021,ITH,1,3
2021,NUTS,2021,ITH3,2,1
2021,NUTS,2021,ITH36,3,1
2021,NUTS,2021,ITH4,2,2
2021,NUTS,2021,ITH44,3,2
2021,NUTS,2021,NO,0,1
2021,NUTS,2021,NO0,1,1
2021,NUTS,2021,NO08,2,1
2021,NUTS,2021,NO081,3,1
2021,NUTS,2021,UK,0,35
2021,NUTS,2021,UKC,1,4
2021,NUTS,2021,UKC1,2,1
2021,NUTS,2021,UKC11,3,1
2021,NUTS,2021,UKC2,2,3
2021,NUTS,2021,UKC22,3,3
2021,NUTS,2021,UKD,1,2
2021,NUTS,2021,UKD4,2,2
2021,NUTS,2021,UKD44,3,2
2021,NUTS,2021,UKH,1,10
2021,NUTS,2021,UKH1,2,8
2021,NUTS,2021,UKH12,3,5
2021,NUTS,2021,UKH17,3,3
2021,NUTS,2021,UKH2,2,2
2021,NUTS,2021,UKH21,3,1
2021,NUTS,2021,UKH23,3,1
2021,NUTS,2021,UKI,1,14
2021,NUTS,2021,UKI3,2,13
2021,NUTS,2021,UKI31,3,3
2021,NUTS,2021,UKI32,3,2
2021,NUTS,2021,UKI33,3,7
2021,NUTS,2021,UKI34,3,1
2021,NUTS,2021,UKI4,2,1
2021,NUTS,2021,UKI42,3,1
2021,NUTS,2021,UKJ,1,3
2021,NUTS,2021,UKJ1,2,3
2021,NUTS,2021,UKJ11,3,2
2021,NUTS,2021,UKJ14,3,1
2021,NUTS,2021,UKK,1,1
2021,NUTS,2021,UKK1,2,1
2021,NUTS,2021,UKK11,3,1
2021,NUTS,2021,UKM,1,1
2021,NUTS,2021,UKM7,2,1
2021,NUTS,2021,UKM75,3,1
