year,region_type,region_year_spec,region_id,region_level,detection_diagnosis_lq
2020,NUTS,2016,UKF,1,2.02
2020,NUTS,2016,UKH,1,1.28
2020,NUTS,2016,UKI,1,1.89
2020,NUTS,2016,UKJ,1,2.01
2020,NUTS,2016,UKL,1,0.88
2020,NUTS,2016,UKM,1,0.87
2020,NUTS,2016,AT13,2,2.2
2020,NUTS,2016,AT33,2,3.3
2020,NUTS,2016,BE10,2,2.79
2020,NUTS,2016,BE23,2,3.47
2020,NUTS,2016,BE24,2,4.56
2020,NUTS,2016,CH01,2,0.44
2020,NUTS,2016,CH04,2,2.59
2020,NUTS,2016,CY00,2,2.76
2020,NUTS,2016,DE12,2,4.85
2020,NUTS,2016,DE13,2,1.85
2020,NUTS,2016,DE14,2,2.83
2020,NUTS,2016,DE21,2,0.38
2020,NUTS,2016,DE30,2,1.0
2020,NUTS,2016,DE60,2,5.35
2020,NUTS,2016,DE71,2,5.66
2020,NUTS,2016,DE91,2,1.95
2020,NUTS,2016,DE92,2,2.96
2020,NUTS,2016,DEA2,2,0.66
2020,NUTS,2016,DEA5,2,8.21
2020,NUTS,2016,DEE0,2,3.76
2020,NUTS,2016,DK01,2,1.19
2020,NUTS,2016,DK03,2,4.82
2020,NUTS,2016,EL43,2,9.18
2020,NUTS,2016,ES21,2,8.29
2020,NUTS,2016,ES51,2,0.53
2020,NUTS,2016,ES70,2,11.75
2020,NUTS,2016,FI1B,2,1.4
2020,NUTS,2016,FR10,2,0.23
2020,NUTS,2016,FRJ1,2,5.08
2020,NUTS,2016,IE05,2,7.12
2020,NUTS,2016,IS00,2,3.6
2020,NUTS,2016,ITF3,2,1.12
2020,NUTS,2016,ITH4,2,1.73
2020,NUTS,2016,ITI1,2,0.6
2020,NUTS,2016,ITI4,2,0.77
2020,NUTS,2016,NL22,2,1.11
2020,NUTS,2016,NL32,2,1.41
2020,NUTS,2016,NL33,2,3.32
2020,NUTS,2016,SE11,2,5.28
2020,NUTS,2016,TR31,2,4.75
2020,NUTS,2016,TR51,2,2.75
2020,NUTS,2016,UKD1,2,56.29
2020,NUTS,2016,UKD4,2,2.84
2020,NUTS,2016,UKD7,2,0.79
2020,NUTS,2016,UKE3,2,1.62
2020,NUTS,2016,UKF1,2,1.99
2020,NUTS,2016,UKF2,2,2.22
2020,NUTS,2016,UKH1,2,1.11
2020,NUTS,2016,UKH2,2,2.22
2020,NUTS,2016,UKI3,2,2.18
2020,NUTS,2016,UKI7,2,3.91
2020,NUTS,2016,UKJ1,2,1.26
2020,NUTS,2016,UKJ2,2,4.54
2020,NUTS,2016,UKJ3,2,2.17
2020,NUTS,2016,UKJ4,2,4.59
2020,NUTS,2016,UKL2,2,1.32
2020,NUTS,2016,UKM7,2,0.98
2020,NUTS,2016,UKM8,2,0.91
2020,NUTS,2016,AT130,3,2.2
2020,NUTS,2016,AT332,3,3.3
2020,NUTS,2016,BE100,3,2.79
2020,NUTS,2016,BE234,3,3.47
2020,NUTS,2016,BE242,3,10.23
2020,NUTS,2016,CH013,3,0.82
2020,NUTS,2016,CH040,3,2.59
2020,NUTS,2016,CY000,3,2.76
2020,NUTS,2016,DE122,3,4.03
2020,NUTS,2016,DE125,3,5.77
2020,NUTS,2016,DE138,3,12.73
2020,NUTS,2016,DE142,3,2.46
2020,NUTS,2016,DE144,3,3.37
2020,NUTS,2016,DE212,3,0.38
2020,NUTS,2016,DE300,3,1.0
2020,NUTS,2016,DE600,3,5.35
2020,NUTS,2016,DE712,3,7.49
2020,NUTS,2016,DE911,3,10.31
2020,NUTS,2016,DE929,3,3.0
2020,NUTS,2016,DEA23,3,2.82
2020,NUTS,2016,DEA51,3,7.43
2020,NUTS,2016,DEA56,3,19.51
2020,NUTS,2016,DEE02,3,8.61
2020,NUTS,2016,DK011,3,1.56
2020,NUTS,2016,DK031,3,4.83
2020,NUTS,2016,EL431,3,17.85
2020,NUTS,2016,EL433,3,6.74
2020,NUTS,2016,ES213,3,8.84
2020,NUTS,2016,ES511,3,0.58
2020,NUTS,2016,ES709,3,13.07
2020,NUTS,2016,FI1B1,3,1.4
2020,NUTS,2016,FR101,3,0.89
2020,NUTS,2016,FRJ13,3,5.3
2020,NUTS,2016,IE051,3,6.53
2020,NUTS,2016,IE053,3,8.82
2020,NUTS,2016,IS001,3,3.67
2020,NUTS,2016,ITF33,3,1.48
2020,NUTS,2016,ITH42,3,5.69
2020,NUTS,2016,ITI14,3,1.16
2020,NUTS,2016,ITI43,3,0.78
2020,NUTS,2016,NL226,3,1.27
2020,NUTS,2016,NL329,3,1.41
2020,NUTS,2016,NL337,3,4.37
2020,NUTS,2016,NL33C,3,4.16
2020,NUTS,2016,SE110,3,5.28
2020,NUTS,2016,TR310,3,4.75
2020,NUTS,2016,TR510,3,2.75
2020,NUTS,2016,UKD12,3,63.63
2020,NUTS,2016,UKD44,3,3.89
2020,NUTS,2016,UKD72,3,0.82
2020,NUTS,2016,UKE32,3,1.68
2020,NUTS,2016,UKF14,3,2.52
2020,NUTS,2016,UKF21,3,2.65
2020,NUTS,2016,UKH12,3,1.25
2020,NUTS,2016,UKH23,3,2.5
2020,NUTS,2016,UKI31,3,3.25
2020,NUTS,2016,UKI32,3,1.06
2020,NUTS,2016,UKI33,3,2.56
2020,NUTS,2016,UKI74,3,5.69
2020,NUTS,2016,UKJ14,3,1.36
2020,NUTS,2016,UKJ25,3,8.65
2020,NUTS,2016,UKJ37,3,77.02
2020,NUTS,2016,UKJ44,3,5.38
2020,NUTS,2016,UKL22,3,1.46
2020,NUTS,2016,UKM75,3,1.22
2020,NUTS,2016,UKM82,3,0.95
2021,NUTS,2021,AT,0,5.01
2021,NUTS,2021,BE,0,9.25
2021,NUTS,2021,DE,0,1.76
2021,NUTS,2021,IT,0,1.32
2021,NUTS,2021,NL,0,1.78
2021,NUTS,2021,UK,0,0.92
2021,NUTS,2021,AT1,1,8.04
2021,NUTS,2021,BE2,1,17.18
2021,NUTS,2021,DE3,1,13.43
2021,NUTS,2021,ITC,1,3.57
2021,NUTS,2021,NL2,1,7.53
2021,NUTS,2021,UKG,1,9.85
2021,NUTS,2021,UKH,1,2.68
2021,NUTS,2021,AT13,2,9.08
2021,NUTS,2021,BE21,2,22.62
2021,NUTS,2021,BE23,2,21.81
2021,NUTS,2021,DE30,2,13.43
2021,NUTS,2021,ITC4,2,4.86
2021,NUTS,2021,NL22,2,8.36
2021,NUTS,2021,UKG3,2,15.11
2021,NUTS,2021,UKH1,2,3.72
2021,NUTS,2021,AT130,3,9.08
2021,NUTS,2021,BE211,3,28.73
2021,NUTS,2021,BE234,3,21.81
2021,NUTS,2021,DE300,3,13.43
2021,NUTS,2021,ITC48,3,24.34
2021,NUTS,2021,ITC4C,3,3.15
2021,NUTS,2021,NL226,3,9.15
2021,NUTS,2021,UKG31,3,19.11
2021,NUTS,2021,UKH17,3,32.42
