year,region_type,region_year_spec,region_id,region_level,airborne_count
2020,NUTS,2016,UKC22,3,1
2020,NUTS,2016,UKD,1,6
2020,NUTS,2016,UKD3,2,1
2020,NUTS,2016,UKD33,3,1
2020,NUTS,2016,UKD7,2,5
2020,NUTS,2016,UKD72,3,5
2020,NUTS,2016,UKE,1,3
2020,NUTS,2016,UKE4,2,3
2020,NUTS,2016,UKE42,3,3
2020,NUTS,2016,UKG,1,2
2020,NUTS,2016,UKG1,2,1
2020,NUTS,2016,UKG13,3,1
2020,NUTS,2016,UKG3,2,1
2020,NUTS,2016,UKG31,3,1
2020,NUTS,2016,UKH,1,7
2020,NUTS,2016,UKH1,2,6
2020,NUTS,2016,UKH12,3,6
2020,NUTS,2016,UKH2,2,1
2020,NUTS,2016,UKH23,3,1
2020,NUTS,2016,UKI,1,12
2020,NUTS,2016,UKI3,2,8
2020,NUTS,2016,UKI31,3,2
2020,NUTS,2016,UKI32,3,2
2020,NUTS,2016,UKI33,3,4
2020,NUTS,2016,UKI4,2,3
2020,NUTS,2016,UKI42,3,3
2020,NUTS,2016,UKI7,2,1
2020,NUTS,2016,UKI75,3,1
2020,NUTS,2016,UKJ,1,5
2020,NUTS,2016,UKJ1,2,1
2020,NUTS,2016,UKJ13,3,1
2020,NUTS,2016,UKJ2,2,4
2020,NUTS,2016,UKJ22,3,2
2020,NUTS,2016,UKJ25,3,2
2020,NUTS,2016,UKK,1,5
2020,NUTS,2016,UKK1,2,4
2020,NUTS,2016,UKK11,3,4
2020,NUTS,2016,UKK3,2,1
2020,NUTS,2016,UKK30,3,1
2020,NUTS,2016,UKL,1,3
2020,NUTS,2016,UKL2,2,3
2020,NUTS,2016,UKL22,3,3
2020,NUTS,2016,UKM,1,8
2020,NUTS,2016,UKM7,2,6
2020,NUTS,2016,UKM75,3,6
2020,NUTS,2016,UKM8,2,2
2020,NUTS,2016,UKM82,3,2
2021,NUTS,2021,BE,0,3
2021,NUTS,2021,BE2,1,1
2021,NUTS,2021,BE23,2,1
2021,NUTS,2021,BE234,3,1
2021,NUTS,2021,BE3,1,2
2021,NUTS,2021,BE33,2,1
2021,NUTS,2021,BE332,3,1
2021,NUTS,2021,BE35,2,1
2021,NUTS,2021,BE352,3,1
2021,NUTS,2021,CH,0,1
2021,NUTS,2021,CH0,1,1
2021,NUTS,2021,CH03,2,1
2021,NUTS,2021,CH031,3,1
2021,NUTS,2021,DE,0,3
2021,NUTS,2021,DE1,1,1
2021,NUTS,2021,DE13,2,1
2021,NUTS,2021,DE131,3,1
2021,NUTS,2021,DE2,1,1
2021,NUTS,2021,DE21,2,1
2021,NUTS,2021,DE212,3,1
2021,NUTS,2021,DEG,1,1
2021,NUTS,2021,DEG0,2,1
2021,NUTS,2021,DEG05,3,1
2021,NUTS,2021,FR,0,2
2021,NUTS,2021,FRH,1,1
2021,NUTS,2021,FRH0,2,1
2021,NUTS,2021,FRH03,3,1
2021,NUTS,2021,FRL,1,1
2021,NUTS,2021,FRL0,2,1
2021,NUTS,2021,FRL04,3,1
2021,NUTS,2021,IS,0,1
2021,NUTS,2021,IS0,1,1
2021,NUTS,2021,IS00,2,1
2021,NUTS,2021,IS001,3,1
2021,NUTS,2021,IT,0,1
2021,NUTS,2021,ITI,1,1
2021,NUTS,2021,ITI4,2,1
2021,NUTS,2021,ITI45,3,1
2021,NUTS,2021,NL,0,2
2021,NUTS,2021,NL3,1,2
2021,NUTS,2021,NL32,2,1
2021,NUTS,2021,NL329,3,1
2021,NUTS,2021,NL33,2,1
2021,NUTS,2021,NL333,3,1
2021,NUTS,2021,UK,0,6
2021,NUTS,2021,UKH,1,1
2021,NUTS,2021,UKH1,2,1
2021,NUTS,2021,UKH12,3,1
2021,NUTS,2021,UKI,1,1
2021,NUTS,2021,UKI3,2,1
2021,NUTS,2021,UKI33,3,1
2021,NUTS,2021,UKJ,1,1
2021,NUTS,2021,UKJ3,2,1
2021,NUTS,2021,UKJ32,3,1
2021,NUTS,2021,UKK,1,3
2021,NUTS,2021,UKK1,2,3
2021,NUTS,2021,UKK11,3,2
2021,NUTS,2021,UKK12,3,1
