year,region_type,region_year_spec,region_id,region_level,impact_studies_2_count
2020,NUTS,2016,ES,0,5
2020,NUTS,2016,ES3,1,3
2020,NUTS,2016,ES30,2,3
2020,NUTS,2016,ES300,3,3
2020,NUTS,2016,ES5,1,2
2020,NUTS,2016,ES51,2,2
2020,NUTS,2016,ES511,3,2
2020,NUTS,2016,FR,0,12
2020,NUTS,2016,FR1,1,7
2020,NUTS,2016,FR10,2,7
2020,NUTS,2016,FR104,3,6
2020,NUTS,2016,FR107,3,1
2020,NUTS,2016,FRC,1,1
2020,NUTS,2016,FRC1,2,1
2020,NUTS,2016,FRC11,3,1
2020,NUTS,2016,FRI,1,1
2020,NUTS,2016,FRI1,2,1
2020,NUTS,2016,FRI12,3,1
2020,NUTS,2016,FRK,1,1
2020,NUTS,2016,FRK2,2,1
2020,NUTS,2016,FRK26,3,1
2020,NUTS,2016,FRL,1,2
2020,NUTS,2016,FRL0,2,2
2020,NUTS,2016,FRL04,3,2
2020,NUTS,2016,HR,0,3
2020,NUTS,2016,HR0,1,3
2020,NUTS,2016,HR04,2,3
2020,NUTS,2016,HR041,3,3
2020,NUTS,2016,IE,0,3
2020,NUTS,2016,IE0,1,3
2020,NUTS,2016,IE06,2,3
2020,NUTS,2016,IE061,3,3
2020,NUTS,2016,IT,0,10
2020,NUTS,2016,ITC,1,7
2020,NUTS,2016,ITC4,2,7
2020,NUTS,2016,ITC47,3,2
2020,NUTS,2016,ITC4C,3,5
2020,NUTS,2016,ITF,1,2
2020,NUTS,2016,ITF3,2,1
2020,NUTS,2016,ITF33,3,1
2020,NUTS,2016,ITF4,2,1
2020,NUTS,2016,ITF47,3,1
2020,NUTS,2016,ITI,1,1
2020,NUTS,2016,ITI4,2,1
2020,NUTS,2016,ITI43,3,1
2020,NUTS,2016,LU,0,1
2020,NUTS,2016,LU0,1,1
2020,NUTS,2016,LU00,2,1
2020,NUTS,2016,LU000,3,1
2020,NUTS,2016,NL,0,20
2020,NUTS,2016,NL1,1,2
2020,NUTS,2016,NL11,2,2
2020,NUTS,2016,NL113,3,2
2020,NUTS,2016,NL2,1,4
2020,NUTS,2016,NL22,2,4
2020,NUTS,2016,NL221,3,2
2020,NUTS,2016,NL226,3,2
2020,NUTS,2016,NL3,1,14
2020,NUTS,2016,NL31,2,3
2020,NUTS,2016,NL310,3,3
2020,NUTS,2016,NL32,2,2
2020,NUTS,2016,NL329,3,2
2020,NUTS,2016,NL33,2,9
2020,NUTS,2016,NL332,3,1
2020,NUTS,2016,NL337,3,2
2020,NUTS,2016,NL33C,3,6
2020,NUTS,2016,NO,0,1
2020,NUTS,2016,NO0,1,1
2020,NUTS,2016,NO01,2,1
2020,NUTS,2016,NO011,3,1
2020,NUTS,2016,PL,0,3
2020,NUTS,2016,PL6,1,2
2020,NUTS,2016,PL63,2,2
2020,NUTS,2016,PL633,3,2
2020,NUTS,2016,PL8,1,1
2020,NUTS,2016,PL81,2,1
2020,NUTS,2016,PL814,3,1
2020,NUTS,2016,SE,0,4
2020,NUTS,2016,SE1,1,2
2020,NUTS,2016,SE11,2,1
2020,NUTS,2016,SE110,3,1
2020,NUTS,2016,SE12,2,1
2020,NUTS,2016,SE121,3,1
2020,NUTS,2016,SE2,1,2
2020,NUTS,2016,SE23,2,2
2020,NUTS,2016,SE232,3,2
2020,NUTS,2016,UK,0,38
2020,NUTS,2016,UKC,1,1
2020,NUTS,2016,UKC1,2,1
2020,NUTS,2016,UKC14,3,1
2020,NUTS,2016,UKD,1,15
2020,NUTS,2016,UKD3,2,5
2020,NUTS,2016,UKD33,3,4
2020,NUTS,2016,UKD34,3,1
2020,NUTS,2016,UKD7,2,10
2020,NUTS,2016,UKD72,3,10
2020,NUTS,2016,UKH,1,5
2020,NUTS,2016,UKH1,2,3
2020,NUTS,2016,UKH12,3,3
2020,NUTS,2016,UKH2,2,2
2020,NUTS,2016,UKH23,3,2
2020,NUTS,2016,UKI,1,3
2020,NUTS,2016,UKI3,2,3
2020,NUTS,2016,UKI31,3,2
2020,NUTS,2016,UKI33,3,1
2020,NUTS,2016,UKJ,1,6
2020,NUTS,2016,UKJ1,2,5
2020,NUTS,2016,UKJ14,3,5
2020,NUTS,2016,UKJ4,2,1
2020,NUTS,2016,UKJ44,3,1
2020,NUTS,2016,UKK,1,4
2020,NUTS,2016,UKK1,2,2
2020,NUTS,2016,UKK11,3,2
2020,NUTS,2016,UKK4,2,2
2020,NUTS,2016,UKK41,3,2
2020,NUTS,2016,UKM,1,2
2020,NUTS,2016,UKM7,2,1
2020,NUTS,2016,UKM75,3,1
2020,NUTS,2016,UKM8,2,1
2020,NUTS,2016,UKM82,3,1
2020,NUTS,2016,UKN,1,2
2020,NUTS,2016,UKN0,2,2
2020,NUTS,2016,UKN06,3,2
2021,NUTS,2021,DE,0,4
2021,NUTS,2021,DE1,1,2
2021,NUTS,2021,DE12,2,2
2021,NUTS,2021,DE125,3,2
2021,NUTS,2021,DE2,1,1
2021,NUTS,2021,DE21,2,1
2021,NUTS,2021,DE212,3,1
2021,NUTS,2021,DE9,1,1
2021,NUTS,2021,DE92,2,1
2021,NUTS,2021,DE929,3,1
2021,NUTS,2021,ES,0,1
2021,NUTS,2021,ES5,1,1
2021,NUTS,2021,ES51,2,1
2021,NUTS,2021,ES511,3,1
2021,NUTS,2021,FR,0,1
2021,NUTS,2021,FRK,1,1
2021,NUTS,2021,FRK2,2,1
2021,NUTS,2021,FRK24,3,1
2021,NUTS,2021,NL,0,1
2021,NUTS,2021,NL3,1,1
2021,NUTS,2021,NL33,2,1
2021,NUTS,2021,NL332,3,1
2021,NUTS,2021,SE,0,2
2021,NUTS,2021,SE1,1,2
2021,NUTS,2021,SE11,2,1
2021,NUTS,2021,SE110,3,1
2021,NUTS,2021,SE12,2,1
2021,NUTS,2021,SE121,3,1
2021,NUTS,2021,UK,0,6
2021,NUTS,2021,UKD,1,1
2021,NUTS,2021,UKD7,2,1
2021,NUTS,2021,UKD72,3,1
2021,NUTS,2021,UKH,1,2
2021,NUTS,2021,UKH1,2,2
2021,NUTS,2021,UKH12,3,2
2021,NUTS,2021,UKI,1,1
2021,NUTS,2021,UKI3,2,1
2021,NUTS,2021,UKI31,3,1
2021,NUTS,2021,UKJ,1,1
2021,NUTS,2021,UKJ1,2,1
2021,NUTS,2021,UKJ14,3,1
2021,NUTS,2021,UKM,1,1
2021,NUTS,2021,UKM7,2,1
2021,NUTS,2021,UKM75,3,1
