year,region_type,region_year_spec,region_id,region_level,variants_count
2020,NUTS,2016,ES111,3,1
2020,NUTS,2016,ES114,3,1
2020,NUTS,2016,ES2,1,1
2020,NUTS,2016,ES22,2,1
2020,NUTS,2016,ES220,3,1
2020,NUTS,2016,ES3,1,6
2020,NUTS,2016,ES30,2,6
2020,NUTS,2016,ES300,3,6
2020,NUTS,2016,ES4,1,3
2020,NUTS,2016,ES41,2,3
2020,NUTS,2016,ES412,3,1
2020,NUTS,2016,ES413,3,2
2020,NUTS,2016,ES5,1,2
2020,NUTS,2016,ES52,2,2
2020,NUTS,2016,ES523,3,2
2020,NUTS,2016,FI,0,3
2020,NUTS,2016,FI1,1,3
2020,NUTS,2016,FI1B,2,3
2020,NUTS,2016,FI1B1,3,3
2020,NUTS,2016,FR,0,7
2020,NUTS,2016,FR1,1,5
2020,NUTS,2016,FR10,2,5
2020,NUTS,2016,FR101,3,4
2020,NUTS,2016,FR104,3,1
2020,NUTS,2016,FRK,1,1
2020,NUTS,2016,FRK2,2,1
2020,NUTS,2016,FRK26,3,1
2020,NUTS,2016,FRL,1,1
2020,NUTS,2016,FRL0,2,1
2020,NUTS,2016,FRL04,3,1
2020,NUTS,2016,HU,0,5
2020,NUTS,2016,HU1,1,2
2020,NUTS,2016,HU11,2,2
2020,NUTS,2016,HU110,3,2
2020,NUTS,2016,HU2,1,2
2020,NUTS,2016,HU23,2,2
2020,NUTS,2016,HU231,3,2
2020,NUTS,2016,HU3,1,1
2020,NUTS,2016,HU33,2,1
2020,NUTS,2016,HU333,3,1
2020,NUTS,2016,IE,0,2
2020,NUTS,2016,IE0,1,2
2020,NUTS,2016,IE04,2,2
2020,NUTS,2016,IE042,3,2
2020,NUTS,2016,IT,0,26
2020,NUTS,2016,ITC,1,17
2020,NUTS,2016,ITC1,2,1
2020,NUTS,2016,ITC11,3,1
2020,NUTS,2016,ITC4,2,16
2020,NUTS,2016,ITC47,3,2
2020,NUTS,2016,ITC48,3,1
2020,NUTS,2016,ITC4C,3,13
2020,NUTS,2016,ITF,1,1
2020,NUTS,2016,ITF4,2,1
2020,NUTS,2016,ITF47,3,1
2020,NUTS,2016,ITH,1,1
2020,NUTS,2016,ITH5,2,1
2020,NUTS,2016,ITH55,3,1
2020,NUTS,2016,ITI,1,7
2020,NUTS,2016,ITI1,2,4
2020,NUTS,2016,ITI14,3,3
2020,NUTS,2016,ITI19,3,1
2020,NUTS,2016,ITI4,2,3
2020,NUTS,2016,ITI43,3,3
2020,NUTS,2016,LV,0,2
2020,NUTS,2016,LV0,1,2
2020,NUTS,2016,LV00,2,2
2020,NUTS,2016,LV006,3,2
2020,NUTS,2016,NL,0,11
2020,NUTS,2016,NL2,1,5
2020,NUTS,2016,NL22,2,5
2020,NUTS,2016,NL226,3,5
2020,NUTS,2016,NL3,1,6
2020,NUTS,2016,NL31,2,1
2020,NUTS,2016,NL310,3,1
2020,NUTS,2016,NL32,2,2
2020,NUTS,2016,NL329,3,2
2020,NUTS,2016,NL33,2,3
2020,NUTS,2016,NL333,3,1
2020,NUTS,2016,NL33C,3,2
2020,NUTS,2016,NO,0,2
2020,NUTS,2016,NO0,1,2
2020,NUTS,2016,NO01,2,2
2020,NUTS,2016,NO011,3,2
2020,NUTS,2016,PL,0,1
2020,NUTS,2016,PL4,1,1
2020,NUTS,2016,PL41,2,1
2020,NUTS,2016,PL415,3,1
2020,NUTS,2016,PT,0,1
2020,NUTS,2016,PT1,1,1
2020,NUTS,2016,PT17,2,1
2020,NUTS,2016,PT170,3,1
2020,NUTS,2016,SE,0,2
2020,NUTS,2016,SE1,1,2
2020,NUTS,2016,SE11,2,1
2020,NUTS,2016,SE110,3,1
2020,NUTS,2016,SE12,2,1
2020,NUTS,2016,SE121,3,1
2020,NUTS,2016,SI,0,1
2020,NUTS,2016,SI0,1,1
2020,NUTS,2016,SI04,2,1
2020,NUTS,2016,SI041,3,1
2020,NUTS,2016,TR,0,4
2020,NUTS,2016,TR1,1,3
2020,NUTS,2016,TR10,2,3
2020,NUTS,2016,TR100,3,3
2020,NUTS,2016,TRA,1,1
2020,NUTS,2016,TRA2,2,1
2020,NUTS,2016,TRA22,3,1
2020,NUTS,2016,UK,0,97
2020,NUTS,2016,UKC,1,1
2020,NUTS,2016,UKC1,2,1
2020,NUTS,2016,UKC14,3,1
2020,NUTS,2016,UKD,1,2
2020,NUTS,2016,UKD7,2,2
2020,NUTS,2016,UKD72,3,2
2020,NUTS,2016,UKE,1,1
2020,NUTS,2016,UKE3,2,1
2020,NUTS,2016,UKE32,3,1
2020,NUTS,2016,UKF,1,1
2020,NUTS,2016,UKF1,2,1
2020,NUTS,2016,UKF14,3,1
2020,NUTS,2016,UKG,1,8
2020,NUTS,2016,UKG1,2,2
2020,NUTS,2016,UKG13,3,2
2020,NUTS,2016,UKG3,2,6
2020,NUTS,2016,UKG31,3,6
2020,NUTS,2016,UKH,1,25
2020,NUTS,2016,UKH1,2,21
2020,NUTS,2016,UKH12,3,14
2020,NUTS,2016,UKH15,3,1
2020,NUTS,2016,UKH17,3,6
2020,NUTS,2016,UKH2,2,4
2020,NUTS,2016,UKH23,3,4
2020,NUTS,2016,UKI,1,20
2020,NUTS,2016,UKI3,2,19
2020,NUTS,2016,UKI31,3,10
2020,NUTS,2016,UKI32,3,1
2020,NUTS,2016,UKI33,3,8
2020,NUTS,2016,UKI7,2,1
2020,NUTS,2016,UKI74,3,1
2020,NUTS,2016,UKJ,1,21
2020,NUTS,2016,UKJ1,2,17
2020,NUTS,2016,UKJ14,3,17
2020,NUTS,2016,UKJ2,2,1
2020,NUTS,2016,UKJ25,3,1
2020,NUTS,2016,UKJ3,2,3
2020,NUTS,2016,UKJ32,3,2
2020,NUTS,2016,UKJ37,3,1
2020,NUTS,2016,UKK,1,1
2020,NUTS,2016,UKK1,2,1
2020,NUTS,2016,UKK11,3,1
2020,NUTS,2016,UKL,1,2
2020,NUTS,2016,UKL2,2,2
2020,NUTS,2016,UKL22,3,2
2020,NUTS,2016,UKM,1,15
2020,NUTS,2016,UKM7,2,12
2020,NUTS,2016,UKM72,3,1
2020,NUTS,2016,UKM75,3,11
2020,NUTS,2016,UKM8,2,3
2020,NUTS,2016,UKM82,3,3
2021,NUTS,2021,CH,0,12
2021,NUTS,2021,CH0,1,12
2021,NUTS,2021,CH01,2,3
2021,NUTS,2021,CH011,3,1
2021,NUTS,2021,CH013,3,2
2021,NUTS,2021,CH02,2,2
2021,NUTS,2021,CH021,3,2
2021,NUTS,2021,CH03,2,3
2021,NUTS,2021,CH031,3,3
2021,NUTS,2021,CH04,2,4
2021,NUTS,2021,CH040,3,4
2021,NUTS,2021,CY,0,1
2021,NUTS,2021,CY0,1,1
2021,NUTS,2021,CY00,2,1
2021,NUTS,2021,CY000,3,1
2021,NUTS,2021,DE,0,7
2021,NUTS,2021,DE3,1,1
2021,NUTS,2021,DE30,2,1
2021,NUTS,2021,DE300,3,1
2021,NUTS,2021,DE4,1,2
2021,NUTS,2021,DE40,2,2
2021,NUTS,2021,DE404,3,2
2021,NUTS,2021,DE7,1,1
2021,NUTS,2021,DE73,2,1
2021,NUTS,2021,DE731,3,1
2021,NUTS,2021,DE9,1,2
2021,NUTS,2021,DE92,2,2
2021,NUTS,2021,DE929,3,2
2021,NUTS,2021,DEA,1,1
2021,NUTS,2021,DEA4,2,1
2021,NUTS,2021,DEA41,3,1
2021,NUTS,2021,DK,0,1
2021,NUTS,2021,DK0,1,1
2021,NUTS,2021,DK03,2,1
2021,NUTS,2021,DK031,3,1
2021,NUTS,2021,EL,0,4
2021,NUTS,2021,EL3,1,1
2021,NUTS,2021,EL30,2,1
2021,NUTS,2021,EL303,3,1
2021,NUTS,2021,EL5,1,2
2021,NUTS,2021,EL51,2,1
2021,NUTS,2021,EL512,3,1
2021,NUTS,2021,EL52,2,1
2021,NUTS,2021,EL522,3,1
2021,NUTS,2021,EL6,1,1
2021,NUTS,2021,EL65,2,1
2021,NUTS,2021,EL651,3,1
2021,NUTS,2021,ES,0,1
2021,NUTS,2021,ES3,1,1
2021,NUTS,2021,ES30,2,1
2021,NUTS,2021,ES300,3,1
2021,NUTS,2021,FR,0,1
2021,NUTS,2021,FRY,1,1
2021,NUTS,2021,FRY4,2,1
2021,NUTS,2021,FRY40,3,1
2021,NUTS,2021,IE,0,3
2021,NUTS,2021,IE0,1,3
2021,NUTS,2021,IE05,2,1
2021,NUTS,2021,IE052,3,1
2021,NUTS,2021,IE06,2,2
2021,NUTS,2021,IE061,3,2
2021,NUTS,2021,IT,0,3
2021,NUTS,2021,ITC,1,1
2021,NUTS,2021,ITC1,2,1
2021,NUTS,2021,ITC11,3,1
2021,NUTS,2021,ITH,1,1
2021,NUTS,2021,ITH3,2,1
2021,NUTS,2021,ITH31,3,1
2021,NUTS,2021,ITI,1,1
2021,NUTS,2021,ITI4,2,1
2021,NUTS,2021,ITI43,3,1
2021,NUTS,2021,NL,0,1
2021,NUTS,2021,NL2,1,1
2021,NUTS,2021,NL22,2,1
2021,NUTS,2021,NL226,3,1
2021,NUTS,2021,PL,0,2
2021,NUTS,2021,PL9,1,2
2021,NUTS,2021,PL91,2,2
2021,NUTS,2021,PL911,3,2
2021,NUTS,2021,SE,0,2
2021,NUTS,2021,SE2,1,1
2021,NUTS,2021,SE23,2,1
2021,NUTS,2021,SE232,3,1
2021,NUTS,2021,SE3,1,1
2021,NUTS,2021,SE33,2,1
2021,NUTS,2021,SE331,3,1
2021,NUTS,2021,UK,0,27
2021,NUTS,2021,UKD,1,1
2021,NUTS,2021,UKD3,2,1
2021,NUTS,2021,UKD33,3,1
2021,NUTS,2021,UKF,1,1
2021,NUTS,2021,UKF2,2,1
2021,NUTS,2021,UKF21,3,1
2021,NUTS,2021,UKG,1,1
2021,NUTS,2021,UKG1,2,1
2021,NUTS,2021,UKG13,3,1
2021,NUTS,2021,UKH,1,4
2021,NUTS,2021,UKH1,2,2
2021,NUTS,2021,UKH12,3,2
2021,NUTS,2021,UKH2,2,2
2021,NUTS,2021,UKH23,3,2
2021,NUTS,2021,UKI,1,5
2021,NUTS,2021,UKI3,2,5
2021,NUTS,2021,UKI31,3,3
2021,NUTS,2021,UKI32,3,1
2021,NUTS,2021,UKI33,3,1
2021,NUTS,2021,UKJ,1,4
2021,NUTS,2021,UKJ1,2,4
2021,NUTS,2021,UKJ14,3,4
2021,NUTS,2021,UKK,1,1
2021,NUTS,2021,UKK1,2,1
2021,NUTS,2021,UKK12,3,1
2021,NUTS,2021,UKL,1,1
2021,NUTS,2021,UKL2,2,1
2021,NUTS,2021,UKL21,3,1
2021,NUTS,2021,UKM,1,9
2021,NUTS,2021,UKM7,2,6
2021,NUTS,2021,UKM72,3,1
2021,NUTS,2021,UKM75,3,5
2021,NUTS,2021,UKM8,2,3
2021,NUTS,2021,UKM82,3,3
