year,region_type,region_year_spec,region_id,region_level,indirect_impacts_count
2020,NUTS,2016,UKG24,3,2
2020,NUTS,2016,UKG3,2,9
2020,NUTS,2016,UKG31,3,8
2020,NUTS,2016,UKG33,3,1
2020,NUTS,2016,UKH,1,12
2020,NUTS,2016,UKH1,2,9
2020,NUTS,2016,UKH12,3,9
2020,NUTS,2016,UKH2,2,3
2020,NUTS,2016,UKH23,3,3
2020,NUTS,2016,UKI,1,49
2020,NUTS,2016,UKI3,2,41
2020,NUTS,2016,UKI31,3,12
2020,NUTS,2016,UKI32,3,18
2020,NUTS,2016,UKI33,3,11
2020,NUTS,2016,UKI4,2,8
2020,NUTS,2016,UKI42,3,2
2020,NUTS,2016,UKI43,3,1
2020,NUTS,2016,UKI44,3,5
2020,NUTS,2016,UKJ,1,17
2020,NUTS,2016,UKJ1,2,6
2020,NUTS,2016,UKJ14,3,6
2020,NUTS,2016,UKJ2,2,1
2020,NUTS,2016,UKJ22,3,1
2020,NUTS,2016,UKJ3,2,7
2020,NUTS,2016,UKJ32,3,5
2020,NUTS,2016,UKJ36,3,2
2020,NUTS,2016,UKJ4,2,3
2020,NUTS,2016,UKJ44,3,3
2020,NUTS,2016,UKK,1,15
2020,NUTS,2016,UKK1,2,15
2020,NUTS,2016,UKK11,3,8
2020,NUTS,2016,UKK12,3,4
2020,NUTS,2016,UKK13,3,2
2020,NUTS,2016,UKK15,3,1
2020,NUTS,2016,UKL,1,3
2020,NUTS,2016,UKL1,2,2
2020,NUTS,2016,UKL18,3,2
2020,NUTS,2016,UKL2,2,1
2020,NUTS,2016,UKL21,3,1
2020,NUTS,2016,UKM,1,16
2020,NUTS,2016,UKM5,2,1
2020,NUTS,2016,UKM50,3,1
2020,NUTS,2016,UKM7,2,5
2020,NUTS,2016,UKM75,3,5
2020,NUTS,2016,UKM8,2,10
2020,NUTS,2016,UKM82,3,10
2020,NUTS,2016,UKN,1,1
2020,NUTS,2016,UKN0,2,1
2020,NUTS,2016,UKN06,3,1
2021,NUTS,2021,DE,0,1
2021,NUTS,2021,DE7,1,1
2021,NUTS,2021,DE73,2,1
2021,NUTS,2021,DE731,3,1
2021,NUTS,2021,DK,0,1
2021,NUTS,2021,DK0,1,1
2021,NUTS,2021,DK04,2,1
2021,NUTS,2021,DK042,3,1
2021,NUTS,2021,NO,0,1
2021,NUTS,2021,NO0,1,1
2021,NUTS,2021,NO08,2,1
2021,NUTS,2021,NO081,3,1
2021,NUTS,2021,UK,0,10
2021,NUTS,2021,UKG,1,2
2021,NUTS,2021,UKG1,2,1
2021,NUTS,2021,UKG13,3,1
2021,NUTS,2021,UKG3,2,1
2021,NUTS,2021,UKG31,3,1
2021,NUTS,2021,UKH,1,1
2021,NUTS,2021,UKH1,2,1
2021,NUTS,2021,UKH12,3,1
2021,NUTS,2021,UKI,1,4
2021,NUTS,2021,UKI3,2,4
2021,NUTS,2021,UKI31,3,1
2021,NUTS,2021,UKI32,3,2
2021,NUTS,2021,UKI33,3,1
2021,NUTS,2021,UKJ,1,3
2021,NUTS,2021,UKJ1,2,3
2021,NUTS,2021,UKJ14,3,3
