region_id,region_level,region_type,region_year_spec,sdg_03_project_count,year
BG4,1,NUTS,2013,0,2015
CY0,1,NUTS,2013,0,2015
CZ0,1,NUTS,2013,18,2015
DE1,1,NUTS,2013,79,2015
DE2,1,NUTS,2013,58,2015
DE3,1,NUTS,2013,48,2015
DE4,1,NUTS,2013,20,2015
DE5,1,NUTS,2013,8,2015
DE6,1,NUTS,2013,10,2015
DE7,1,NUTS,2013,23,2015
DE8,1,NUTS,2013,7,2015
DE9,1,NUTS,2013,25,2015
DEA,1,NUTS,2013,59,2015
DEB,1,NUTS,2013,9,2015
DEC,1,NUTS,2013,6,2015
DED,1,NUTS,2013,22,2015
DEE,1,NUTS,2013,3,2015
DEF,1,NUTS,2013,11,2015
DEG,1,NUTS,2013,9,2015
DK0,1,NUTS,2013,96,2015
EE0,1,NUTS,2013,17,2015
ES1,1,NUTS,2013,4,2015
ES2,1,NUTS,2013,12,2015
ES3,1,NUTS,2013,67,2015
ES4,1,NUTS,2013,8,2015
ES5,1,NUTS,2013,71,2015
ES6,1,NUTS,2013,9,2015
ES7,1,NUTS,2013,2,2015
FI1,1,NUTS,2013,52,2015
FR1,1,NUTS,2013,189,2015
FR2,1,NUTS,2013,4,2015
FR3,1,NUTS,2013,7,2015
FR4,1,NUTS,2013,9,2015
FR5,1,NUTS,2013,5,2015
FR6,1,NUTS,2013,7,2015
FR7,1,NUTS,2013,22,2015
FR8,1,NUTS,2013,14,2015
HR0,1,NUTS,2013,11,2015
HU1,1,NUTS,2013,18,2015
HU2,1,NUTS,2013,2,2015
HU3,1,NUTS,2013,14,2015
IE0,1,NUTS,2013,48,2015
ITC,1,NUTS,2013,126,2015
ITF,1,NUTS,2013,11,2015
ITG,1,NUTS,2013,3,2015
ITH,1,NUTS,2013,54,2015
ITI,1,NUTS,2013,84,2015
LT0,1,NUTS,2013,4,2015
LU0,1,NUTS,2013,6,2015
LV0,1,NUTS,2013,5,2015
MT0,1,NUTS,2013,0,2015
NL1,1,NUTS,2013,22,2015
NL2,1,NUTS,2013,67,2015
NL3,1,NUTS,2013,224,2015
NL4,1,NUTS,2013,63,2015
PL1,1,NUTS,2013,6,2015
PL2,1,NUTS,2013,0,2015
PL3,1,NUTS,2013,1,2015
PL4,1,NUTS,2013,0,2015
PL5,1,NUTS,2013,1,2015
PL6,1,NUTS,2013,0,2015
PT1,1,NUTS,2013,49,2015
PT2,1,NUTS,2013,0,2015
PT3,1,NUTS,2013,0,2015
RO1,1,NUTS,2013,1,2015
RO2,1,NUTS,2013,0,2015
RO3,1,NUTS,2013,1,2015
RO4,1,NUTS,2013,0,2015
SE1,1,NUTS,2013,86,2015
SE2,1,NUTS,2013,15,2015
SE3,1,NUTS,2013,1,2015
SI0,1,NUTS,2013,15,2015
SK0,1,NUTS,2013,6,2015
UKC,1,NUTS,2013,1,2015
UKD,1,NUTS,2013,15,2015
UKE,1,NUTS,2013,15,2015
UKF,1,NUTS,2013,22,2015
UKG,1,NUTS,2013,15,2015
UKH,1,NUTS,2013,14,2015
UKI,1,NUTS,2013,132,2015
UKJ,1,NUTS,2013,34,2015
UKK,1,NUTS,2013,4,2015
UKL,1,NUTS,2013,8,2015
UKM,1,NUTS,2013,27,2015
UKN,1,NUTS,2013,5,2015
AT1,1,NUTS,2016,62,2016
AT2,1,NUTS,2016,6,2016
AT3,1,NUTS,2016,15,2016
BE1,1,NUTS,2016,47,2016
BE2,1,NUTS,2016,76,2016
BE3,1,NUTS,2016,18,2016
BG3,1,NUTS,2016,0,2016
BG4,1,NUTS,2016,0,2016
CY0,1,NUTS,2016,2,2016
CZ0,1,NUTS,2016,8,2016
DE1,1,NUTS,2016,75,2016
DE2,1,NUTS,2016,59,2016
DE3,1,NUTS,2016,36,2016
DE4,1,NUTS,2016,1,2016
DE5,1,NUTS,2016,4,2016
DE6,1,NUTS,2016,20,2016
DE7,1,NUTS,2016,33,2016
DE8,1,NUTS,2016,2,2016
DE9,1,NUTS,2016,19,2016
DEA,1,NUTS,2016,59,2016
DEB,1,NUTS,2016,11,2016
DEC,1,NUTS,2016,6,2016
DED,1,NUTS,2016,17,2016
DEE,1,NUTS,2016,0,2016
DEF,1,NUTS,2016,8,2016
DEG,1,NUTS,2016,10,2016
DK0,1,NUTS,2016,102,2016
EE0,1,NUTS,2016,8,2016
ES1,1,NUTS,2016,3,2016
ES2,1,NUTS,2016,24,2016
ES3,1,NUTS,2016,57,2016
ES4,1,NUTS,2016,4,2016
ES5,1,NUTS,2016,57,2016
ES6,1,NUTS,2016,9,2016
ES7,1,NUTS,2016,2,2016
FI1,1,NUTS,2016,41,2016
FR1,1,NUTS,2016,170,2016
FRB,1,NUTS,2016,3,2016
FRC,1,NUTS,2016,3,2016
FRD,1,NUTS,2016,1,2016
FRE,1,NUTS,2016,12,2016
FRF,1,NUTS,2016,9,2016
FRG,1,NUTS,2016,3,2016
FRH,1,NUTS,2016,6,2016
FRI,1,NUTS,2016,11,2016
FRJ,1,NUTS,2016,3,2016
FRK,1,NUTS,2016,20,2016
FRL,1,NUTS,2016,7,2016
FRY,1,NUTS,2016,0,2016
HR0,1,NUTS,2016,3,2016
HU1,1,NUTS,2016,9,2016
HU2,1,NUTS,2016,3,2016
HU3,1,NUTS,2016,5,2016
IE0,1,NUTS,2016,52,2016
ITC,1,NUTS,2016,102,2016
ITF,1,NUTS,2016,15,2016
ITG,1,NUTS,2016,2,2016
ITH,1,NUTS,2016,53,2016
ITI,1,NUTS,2016,79,2016
LT0,1,NUTS,2016,6,2016
LU0,1,NUTS,2016,13,2016
LV0,1,NUTS,2016,6,2016
MT0,1,NUTS,2016,0,2016
NL1,1,NUTS,2016,28,2016
NL2,1,NUTS,2016,52,2016
NL3,1,NUTS,2016,236,2016
NL4,1,NUTS,2016,67,2016
PL2,1,NUTS,2016,1,2016
PL4,1,NUTS,2016,0,2016
PL5,1,NUTS,2016,3,2016
PL6,1,NUTS,2016,1,2016
PL7,1,NUTS,2016,0,2016
PL8,1,NUTS,2016,0,2016
PL9,1,NUTS,2016,1,2016
PT1,1,NUTS,2016,29,2016
PT2,1,NUTS,2016,0,2016
PT3,1,NUTS,2016,0,2016
RO1,1,NUTS,2016,0,2016
RO2,1,NUTS,2016,1,2016
RO3,1,NUTS,2016,0,2016
RO4,1,NUTS,2016,0,2016
SE1,1,NUTS,2016,72,2016
SE2,1,NUTS,2016,29,2016
SE3,1,NUTS,2016,4,2016
SI0,1,NUTS,2016,16,2016
SK0,1,NUTS,2016,5,2016
UKC,1,NUTS,2016,1,2016
UKD,1,NUTS,2016,25,2016
UKE,1,NUTS,2016,18,2016
UKF,1,NUTS,2016,14,2016
UKG,1,NUTS,2016,20,2016
UKH,1,NUTS,2016,10,2016
UKI,1,NUTS,2016,143,2016
UKJ,1,NUTS,2016,23,2016
UKK,1,NUTS,2016,6,2016
UKL,1,NUTS,2016,7,2016
UKM,1,NUTS,2016,25,2016
UKN,1,NUTS,2016,14,2016
AT1,1,NUTS,2016,44,2017
AT2,1,NUTS,2016,12,2017
AT3,1,NUTS,2016,13,2017
BE1,1,NUTS,2016,34,2017
BE2,1,NUTS,2016,104,2017
BE3,1,NUTS,2016,17,2017
BG3,1,NUTS,2016,0,2017
BG4,1,NUTS,2016,0,2017
CH0,1,NUTS,2016,1,2017
CY0,1,NUTS,2016,1,2017
CZ0,1,NUTS,2016,13,2017
DE1,1,NUTS,2016,74,2017
DE2,1,NUTS,2016,66,2017
DE3,1,NUTS,2016,34,2017
DE4,1,NUTS,2016,5,2017
DE5,1,NUTS,2016,2,2017
DE6,1,NUTS,2016,13,2017
DE7,1,NUTS,2016,31,2017
DE8,1,NUTS,2016,4,2017
DE9,1,NUTS,2016,21,2017
DEA,1,NUTS,2016,46,2017
DEB,1,NUTS,2016,10,2017
DEC,1,NUTS,2016,9,2017
DED,1,NUTS,2016,18,2017
DEE,1,NUTS,2016,3,2017
DEF,1,NUTS,2016,6,2017
DEG,1,NUTS,2016,4,2017
DK0,1,NUTS,2016,84,2017
EE0,1,NUTS,2016,10,2017
ES1,1,NUTS,2016,6,2017
ES2,1,NUTS,2016,20,2017
ES3,1,NUTS,2016,61,2017
ES4,1,NUTS,2016,6,2017
ES5,1,NUTS,2016,68,2017
ES6,1,NUTS,2016,4,2017
ES7,1,NUTS,2016,1,2017
FI1,1,NUTS,2016,32,2017
FR1,1,NUTS,2016,204,2017
FRB,1,NUTS,2016,1,2017
FRC,1,NUTS,2016,3,2017
FRD,1,NUTS,2016,1,2017
FRE,1,NUTS,2016,10,2017
FRF,1,NUTS,2016,9,2017
FRG,1,NUTS,2016,1,2017
FRH,1,NUTS,2016,2,2017
FRI,1,NUTS,2016,11,2017
FRJ,1,NUTS,2016,4,2017
FRK,1,NUTS,2016,14,2017
FRL,1,NUTS,2016,11,2017
FRY,1,NUTS,2016,0,2017
HR0,1,NUTS,2016,4,2017
HU1,1,NUTS,2016,11,2017
HU2,1,NUTS,2016,1,2017
HU3,1,NUTS,2016,4,2017
IE0,1,NUTS,2016,30,2017
ITC,1,NUTS,2016,83,2017
ITF,1,NUTS,2016,9,2017
ITG,1,NUTS,2016,4,2017
ITH,1,NUTS,2016,61,2017
ITI,1,NUTS,2016,74,2017
LT0,1,NUTS,2016,4,2017
LU0,1,NUTS,2016,14,2017
LV0,1,NUTS,2016,0,2017
MT0,1,NUTS,2016,0,2017
NL1,1,NUTS,2016,20,2017
NL2,1,NUTS,2016,49,2017
NL3,1,NUTS,2016,169,2017
NL4,1,NUTS,2016,39,2017
PL2,1,NUTS,2016,0,2017
PL4,1,NUTS,2016,0,2017
PL5,1,NUTS,2016,1,2017
PL6,1,NUTS,2016,0,2017
PL7,1,NUTS,2016,2,2017
PL8,1,NUTS,2016,2,2017
PL9,1,NUTS,2016,3,2017
PT1,1,NUTS,2016,32,2017
PT3,1,NUTS,2016,0,2017
RO1,1,NUTS,2016,1,2017
RO2,1,NUTS,2016,0,2017
RO3,1,NUTS,2016,2,2017
RO4,1,NUTS,2016,0,2017
SE1,1,NUTS,2016,67,2017
SE2,1,NUTS,2016,29,2017
SE3,1,NUTS,2016,2,2017
SI0,1,NUTS,2016,9,2017
SK0,1,NUTS,2016,1,2017
UKC,1,NUTS,2016,0,2017
UKD,1,NUTS,2016,9,2017
UKE,1,NUTS,2016,16,2017
UKF,1,NUTS,2016,10,2017
UKG,1,NUTS,2016,18,2017
UKH,1,NUTS,2016,6,2017
UKI,1,NUTS,2016,119,2017
UKJ,1,NUTS,2016,27,2017
UKK,1,NUTS,2016,4,2017
UKL,1,NUTS,2016,8,2017
UKM,1,NUTS,2016,16,2017
UKN,1,NUTS,2016,2,2017
AT1,1,NUTS,2016,45,2018
AT2,1,NUTS,2016,16,2018
AT3,1,NUTS,2016,20,2018
BE1,1,NUTS,2016,41,2018
BE2,1,NUTS,2016,95,2018
BE3,1,NUTS,2016,27,2018
BG3,1,NUTS,2016,0,2018
BG4,1,NUTS,2016,2,2018
CY0,1,NUTS,2016,0,2018
CZ0,1,NUTS,2016,10,2018
DE1,1,NUTS,2016,89,2018
DE2,1,NUTS,2016,49,2018
DE3,1,NUTS,2016,38,2018
DE4,1,NUTS,2016,2,2018
DE5,1,NUTS,2016,3,2018
DE6,1,NUTS,2016,16,2018
DE7,1,NUTS,2016,20,2018
DE8,1,NUTS,2016,2,2018
DE9,1,NUTS,2016,23,2018
DEA,1,NUTS,2016,46,2018
DEB,1,NUTS,2016,18,2018
DEC,1,NUTS,2016,8,2018
DED,1,NUTS,2016,9,2018
DEE,1,NUTS,2016,1,2018
DEF,1,NUTS,2016,3,2018
DEG,1,NUTS,2016,17,2018
DK0,1,NUTS,2016,98,2018
EE0,1,NUTS,2016,6,2018
ES1,1,NUTS,2016,5,2018
ES2,1,NUTS,2016,20,2018
ES3,1,NUTS,2016,51,2018
ES4,1,NUTS,2016,6,2018
ES5,1,NUTS,2016,61,2018
ES6,1,NUTS,2016,6,2018
ES7,1,NUTS,2016,2,2018
FI1,1,NUTS,2016,36,2018
FR1,1,NUTS,2016,168,2018
FRB,1,NUTS,2016,0,2018
FRC,1,NUTS,2016,4,2018
FRD,1,NUTS,2016,0,2018
FRE,1,NUTS,2016,7,2018
FRF,1,NUTS,2016,8,2018
FRG,1,NUTS,2016,2,2018
FRH,1,NUTS,2016,2,2018
FRI,1,NUTS,2016,6,2018
FRJ,1,NUTS,2016,12,2018
FRK,1,NUTS,2016,6,2018
FRL,1,NUTS,2016,3,2018
HR0,1,NUTS,2016,13,2018
HU1,1,NUTS,2016,8,2018
HU2,1,NUTS,2016,1,2018
HU3,1,NUTS,2016,1,2018
IE0,1,NUTS,2016,49,2018
ITC,1,NUTS,2016,116,2018
ITF,1,NUTS,2016,10,2018
ITG,1,NUTS,2016,3,2018
ITH,1,NUTS,2016,59,2018
ITI,1,NUTS,2016,65,2018
LT0,1,NUTS,2016,4,2018
LU0,1,NUTS,2016,14,2018
LV0,1,NUTS,2016,4,2018
MT0,1,NUTS,2016,0,2018
NL1,1,NUTS,2016,26,2018
NL2,1,NUTS,2016,52,2018
NL3,1,NUTS,2016,172,2018
NL4,1,NUTS,2016,51,2018
PL2,1,NUTS,2016,4,2018
PL4,1,NUTS,2016,2,2018
PL5,1,NUTS,2016,5,2018
PL6,1,NUTS,2016,2,2018
PL7,1,NUTS,2016,0,2018
PL8,1,NUTS,2016,1,2018
PL9,1,NUTS,2016,12,2018
PT1,1,NUTS,2016,37,2018
PT3,1,NUTS,2016,0,2018
RO1,1,NUTS,2016,2,2018
RO2,1,NUTS,2016,1,2018
RO3,1,NUTS,2016,1,2018
RO4,1,NUTS,2016,0,2018
SE1,1,NUTS,2016,62,2018
SE2,1,NUTS,2016,25,2018
SE3,1,NUTS,2016,1,2018
SI0,1,NUTS,2016,13,2018
SK0,1,NUTS,2016,7,2018
UKC,1,NUTS,2016,2,2018
UKD,1,NUTS,2016,11,2018
UKE,1,NUTS,2016,15,2018
UKF,1,NUTS,2016,13,2018
UKG,1,NUTS,2016,18,2018
UKH,1,NUTS,2016,8,2018
UKI,1,NUTS,2016,97,2018
UKJ,1,NUTS,2016,20,2018
UKK,1,NUTS,2016,7,2018
UKL,1,NUTS,2016,8,2018
UKM,1,NUTS,2016,16,2018
UKN,1,NUTS,2016,3,2018
AT1,1,NUTS,2016,64,2019
AT2,1,NUTS,2016,18,2019
AT3,1,NUTS,2016,20,2019
BE1,1,NUTS,2016,74,2019
BE2,1,NUTS,2016,138,2019
BE3,1,NUTS,2016,17,2019
BG3,1,NUTS,2016,0,2019
BG4,1,NUTS,2016,0,2019
CH0,1,NUTS,2016,0,2019
CY0,1,NUTS,2016,1,2019
CZ0,1,NUTS,2016,27,2019
DE1,1,NUTS,2016,82,2019
DE2,1,NUTS,2016,73,2019
DE3,1,NUTS,2016,66,2019
DE4,1,NUTS,2016,4,2019
DE5,1,NUTS,2016,3,2019
DE6,1,NUTS,2016,17,2019
DE7,1,NUTS,2016,36,2019
DE8,1,NUTS,2016,2,2019
DE9,1,NUTS,2016,27,2019
DEA,1,NUTS,2016,82,2019
DEB,1,NUTS,2016,14,2019
DEC,1,NUTS,2016,7,2019
DED,1,NUTS,2016,19,2019
DEE,1,NUTS,2016,0,2019
DEF,1,NUTS,2016,17,2019
DEG,1,NUTS,2016,7,2019
DK0,1,NUTS,2016,106,2019
EE0,1,NUTS,2016,15,2019
ES1,1,NUTS,2016,7,2019
ES2,1,NUTS,2016,24,2019
ES3,1,NUTS,2016,70,2019
ES4,1,NUTS,2016,5,2019
ES5,1,NUTS,2016,72,2019
ES6,1,NUTS,2016,15,2019
ES7,1,NUTS,2016,0,2019
FI1,1,NUTS,2016,57,2019
FR1,1,NUTS,2016,229,2019
FRB,1,NUTS,2016,2,2019
FRC,1,NUTS,2016,4,2019
FRD,1,NUTS,2016,0,2019
FRE,1,NUTS,2016,3,2019
FRF,1,NUTS,2016,9,2019
FRG,1,NUTS,2016,2,2019
FRH,1,NUTS,2016,11,2019
FRI,1,NUTS,2016,6,2019
FRJ,1,NUTS,2016,8,2019
FRK,1,NUTS,2016,29,2019
FRL,1,NUTS,2016,8,2019
FRY,1,NUTS,2016,0,2019
HR0,1,NUTS,2016,8,2019
HU1,1,NUTS,2016,20,2019
HU2,1,NUTS,2016,4,2019
HU3,1,NUTS,2016,4,2019
IE0,1,NUTS,2016,70,2019
ITC,1,NUTS,2016,133,2019
